[00:00:23.413 --> 00:00:30.157]  Welcome ladies and gentlemen to this Friday, October 14, 2011 edition of the InfoWars Nightly News.
[00:17:18.368 --> 00:17:22.752]  And we just hope more people will join you there in Dallas or at Federal Reserves all across the country.
[00:17:23.152 --> 00:17:24.454]  Thanks so much, Rick Warden.
[00:17:24.494 --> 00:17:26.317]  Continue to occupy, please.
[00:17:26.777 --> 00:17:31.084]  And we'll be back after this break with more on the InfoWars Nightly News.
[00:17:31.204 --> 00:17:31.745]  Stay tuned.
[00:17:35.290 --> 00:17:41.692]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:17:41.992 --> 00:17:42.873]  We've got the new G.I.
[00:17:42.913 --> 00:17:44.853]  Joe InfoWars t-shirts.
[00:17:45.233 --> 00:17:51.336]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:17:51.896 --> 00:17:56.237]  We've got a new DVD, Sinus Under Attack, the Don't Tread On Me flag.
[00:17:56.957 --> 00:18:00.899]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:18:01.579 --> 00:18:02.220]  It's all there.
[00:18:02.320 --> 00:18:05.062]  Wristbands, citizen rule books, in every order.
[00:18:05.523 --> 00:18:08.245]  Order online at InfoWars.com today.
[00:18:08.505 --> 00:18:11.528]  The water filters, the canteens, it's all there.
[00:18:11.929 --> 00:18:12.809]  InfoWars.com
[00:18:19.369 --> 00:18:20.870]  And we are back from break again.
[00:18:20.950 --> 00:18:22.911]  I'm Aaron Dyk sitting in for Alex.
[00:18:23.331 --> 00:18:26.493]  He's still doing the radio show and he'll be back next week.
[00:18:26.893 --> 00:18:31.855]  Now I just want to put in a quick reminder that on November 3rd we're going to have another money bomb.
[00:18:31.935 --> 00:18:33.396]  We are not corporate supported.
[00:18:33.716 --> 00:18:42.481]  We depend on your support and your subscriptions at PrisonPlanet.tv and through special outreaches like the November 3rd money bomb.
[00:18:42.901 --> 00:18:48.184]  Now in other news, the FBI has admitted and really promoted that it's recording talk radio
[00:18:48.624 --> 00:18:49.304]  We're good to go.
[00:19:07.353 --> 00:19:14.964]  Missouri Information Analysis Center and Homeland Security targeting the right-wing extremists and other radical groups.
[00:19:15.004 --> 00:19:22.374]  They're really just trying to institute an overall chilling on free speech, trying to make people feel uncomfortable speaking out.
[00:19:23.291 --> 00:19:24.112]  Just ridiculous.
[00:19:24.873 --> 00:19:29.518]  Also, Curt Nemo writes, House Bill would criminalize satire of TSA.
[00:19:29.979 --> 00:19:33.222]  This is in regards to Bill H.R.
[00:19:33.242 --> 00:19:39.950]  3011 introduced in the House entitled Transportation Security Administration Authorization Act of 2011 with curious language about
[00:19:42.833 --> 00:19:51.743]  Colorable imitation or such words, initials, and likeness of the Transportation Security Administration or various Federal Air Marshal Services.
[00:19:52.263 --> 00:19:59.811]  The use of the insignia or badge on apparel or in connection with advertisements, books, software, and other publications.
[00:20:00.851 --> 00:20:24.228]  And what they're really talking about is if you attempt to portray yourself as representing the official legal entity of the TSA, but at the same time, we know there has been, like I said, a chilling on free speech and they may use this kind of bill to target satire as well, to put people on the defensive, that they need to put a disclaimer that they don't officially represent the TSA.
[00:20:24.648 --> 00:20:30.032]  Of course you have a right to satire, to parody, or to even just show official photos.
[00:20:30.532 --> 00:20:41.042]  The TSA has already tried to intimidate you out of filming at checkpoints, intimidate you out of showing press release photos and reporting on them, and this is just another step in that direction.
[00:20:41.362 --> 00:20:51.131]  It's already illegal to impersonate a law enforcement official or other authority, so this is really an unnecessary move, but here it is anyway.
[00:20:51.852 --> 00:20:56.197]  Now, we're going to take you to two interviews on the fluoride subject.
[00:20:56.237 --> 00:21:02.684]  We have an in-studio guest coming up at the end of the broadcast, Laura Presley, PhD, on some of the tactics of removing fluoride.
[00:21:02.984 --> 00:21:08.229]  And before that, Tony Cosso, who successfully lobbied Pinellas County to remove the fluoride.
[00:21:08.570 --> 00:21:12.254]  But first, we want to talk about New Plymouth in New Zealand.
[00:21:12.654 --> 00:21:16.976]  Where they just agreed to remove fluoride yesterday, October 13th.
[00:21:17.456 --> 00:21:22.778]  Today, New Plymouth District Council decided to stop fluoridating the water supply for the New Plymouth area.
[00:21:23.258 --> 00:21:32.381]  And again, towns everywhere are starting to wise up that there's no good science to water fluoridation, that's in fact very dangerous, and it's not right to mass medicate people.
[00:21:32.862 --> 00:21:41.805]  In fact, the Water Authority for Great Neck North, which is in the Long Island area of New York, has for many years admitted that fluoridation of community water
[00:21:42.265 --> 00:21:45.527]  Is no longer considered a priority or even desirable.
[00:21:46.288 --> 00:21:52.092]  Even despite the fact that the CDC has called it one of their 10 greatest achievements in the 20th century.
[00:21:52.952 --> 00:21:58.056]  Now more on that Pinellas County Commission vote to stop putting fluoride in the water supply.
[00:21:58.496 --> 00:22:02.859]  That happened back on October 5th and we are again going to be talking with Tony Casso.
[00:22:03.299 --> 00:22:06.762]  He's quoted in this article as saying fluoride is a toxic substance.
[00:22:07.302 --> 00:22:09.104]  He's called a Tea Party activist.
[00:22:09.144 --> 00:22:10.325]  He's really just an activist.
[00:22:10.665 --> 00:22:19.593]  This is all part of an agenda that's being pushed forth by the so-called globalists in our government and the world government to keep the people stupid so they don't realize what's going on.
[00:22:20.033 --> 00:22:24.017]  Adding, this is the US of A, not the Soviet Socialist Republic.
[00:22:25.049 --> 00:22:26.129]  And of course that's true.
[00:22:26.289 --> 00:22:35.492]  If anything, fluoride decisions should be made locally, not pushed from the top down using various funding mechanisms to make it seem mandatory.
[00:22:35.832 --> 00:22:45.014]  For more on the removal of fluoride in Pinellas County, we turn now to Tony Casso, one of the men who helped get fluoride removed from the water supply there.
[00:22:45.514 --> 00:22:46.774]  Tony, thanks for joining us.
[00:22:47.234 --> 00:22:49.295]  What can you tell us about how this process happened?
[00:22:49.835 --> 00:23:00.780]  They took a consensus back in 2003, right, to put the fluoride in, which was really not a vote of the public.
[00:23:01.641 --> 00:23:04.022]  And we've been against this from the beginning.
[00:23:05.963 --> 00:23:14.306]  And it actually emulated as being part of the budget process in our county.
[00:23:14.326 --> 00:23:17.348]  They were looking for ways to cut money.
[00:23:18.976 --> 00:23:24.978]  Right, because they were evidently not balancing the budget.
[00:23:26.899 --> 00:23:32.780]  And this came up as an item, and it left us an opening to go after it.
[00:23:33.341 --> 00:23:35.161]  Well sure, that's an issue in all these towns.
[00:23:35.181 --> 00:23:37.522]  We had to pay to essentially poison ourselves.
[00:23:38.262 --> 00:23:38.962]  Exactly.
[00:23:40.083 --> 00:23:46.285]  And even though it's not a very large budget item, it's still a savings.
[00:23:47.386 --> 00:23:48.988]  To the citizens of the county.
[00:23:49.308 --> 00:23:51.830]  Pinellas County, what are the major cities in that area?
[00:23:52.451 --> 00:23:53.912]  How big of an area does this cover?
[00:23:54.573 --> 00:23:59.797]  Well, it's one of the largest, if not the largest county in Florida, population-wise.
[00:24:00.816 --> 00:24:05.178]  There's close to a million people living in Pinellas County, right?
[00:24:05.298 --> 00:24:09.040]  We're due west of Tampa, right?
[00:24:09.200 --> 00:24:13.922]  The city of Clearwater is part of Pinellas County, so is St.
[00:24:13.982 --> 00:24:22.587]  Petersburg, Taupin Springs, and it's pretty much your northern boundary to your southern boundary of the county, right?
[00:24:22.627 --> 00:24:26.969]  We're not the largest in land mass, but we're one of the largest in population.
[00:24:27.833 --> 00:24:36.175]  And what did you mean by the quote in the article when you talk about the globalists pushing for the fluoridation as part of their larger agenda?
[00:24:36.195 --> 00:24:37.496]  Can you clarify those statements?
[00:24:38.296 --> 00:24:44.838]  Well, as far as the globalist part goes, I've also been fighting UN Agenda 21.
[00:24:45.218 --> 00:24:50.839]  Now, I know a lot of people think it's a conspiracy theory, but it's not.
[00:24:51.639 --> 00:24:53.380]  It's real, and it's here.
[00:24:55.823 --> 00:24:59.784]  When we speak about it, they just say we're a bunch of nutjobs.
[00:25:00.744 --> 00:25:13.966]  But if people get on their computers and do the research, they'll see that the UN Agenda 21 is involved in every part of local government.
[00:25:15.286 --> 00:25:23.488]  And every one of the programs that they're doing is related.
[00:25:24.781 --> 00:25:28.344]  To UN Agenda 21 on the local level.
[00:25:28.784 --> 00:25:44.676]  Well sure it's not even real fluoride and that's always been one of the larger issues is that they sell this as a medical health benefit but why would you take it internally and part of all food so that's in foods at restaurants, foods everywhere, part of food preparation and the water you drink and drinks you buy from stores.
[00:25:45.416 --> 00:25:47.898]  I mean that's really the larger issue we're trying to fight here isn't it?
[00:25:48.518 --> 00:25:53.182]  We're not asking them to remove the natural fluoride.
[00:25:55.649 --> 00:26:08.736]  We just don't want them adding a toxic substance to create fluoride, or what they call fluoride, into our water system.
[00:26:11.738 --> 00:26:15.040]  And I don't know if they have a license to medicate us.
[00:26:16.690 --> 00:26:17.150]  Exactly.
[00:26:17.170 --> 00:26:18.771]  Yeah, it's forced mass medication.
[00:26:18.811 --> 00:26:23.774]  Now, the larger national issue here is that for years they told us you can't remove fluoride.
[00:26:23.814 --> 00:26:25.375]  It's been trickling in everywhere.
[00:26:25.735 --> 00:26:28.136]  It only came into Pinellas County, I believe, in 2004.
[00:26:30.017 --> 00:26:33.859]  But now there's a larger movement across the country of people fighting to get it removed.
[00:26:34.239 --> 00:26:35.319]  And we've had a lot of victories.
[00:26:35.359 --> 00:26:38.841]  There's been at least 250 cities where the fluoride has been removed.
[00:26:39.241 --> 00:26:41.621]  This was a major victory in Pinellas County.
[00:26:41.962 --> 00:26:49.344]  What can you tell people out there who haven't been able to remove the fluoride yet from their cities, but are looking to fight and win that battle?
[00:26:50.632 --> 00:26:58.956]  Well, to fight it, what the people have to do is get every piece of information there is on the fluoride.
[00:27:00.076 --> 00:27:02.077]  Send it to your county commissioners.
[00:27:02.917 --> 00:27:04.198]  Send it by email.
[00:27:04.278 --> 00:27:06.159]  It goes into the public record.
[00:27:08.419 --> 00:27:08.760]  Right?
[00:27:10.460 --> 00:27:14.282]  There's a lot of good information on the internet.
[00:27:14.342 --> 00:27:16.483]  You got the Fluoride Action Network.
[00:27:17.967 --> 00:27:18.227]  Right?
[00:27:18.327 --> 00:27:23.092]  You can take them right from the EPA and CDC reports.
[00:27:23.973 --> 00:27:29.399]  Because if you actually read them, they tell you in there how bad it is.
[00:27:31.040 --> 00:27:35.485]  Unfortunately, most people only read the first two pages and they don't go any further.
[00:27:36.055 --> 00:27:36.455]  That's right.
[00:27:36.475 --> 00:27:43.899]  All these government agencies have had to admit how dangerous it is and have had to recommend, even openly, to lower the amount of fluoride if not remove it.
[00:27:44.199 --> 00:27:48.382]  Now tell us, did you appeal to the county commissioners individually in the town?
[00:27:48.402 --> 00:27:49.442]  Did you educate them?
[00:27:49.862 --> 00:27:52.404]  Or did you get a mass number of people to show up at these meetings?
[00:27:52.464 --> 00:27:54.745]  What was key to the victory in Pinellas County?
[00:27:55.646 --> 00:27:57.927]  Well, it was a combination effort.
[00:27:58.007 --> 00:28:05.431]  The combination effort was to start as soon as they came up with reducing the budget.
[00:28:07.189 --> 00:28:14.631]  We started bombarding them with every piece of information out there that we had on the fluoride issue.
[00:28:16.271 --> 00:28:19.952]  Plus, we do attend every County Commission meeting.
[00:28:20.912 --> 00:28:24.313]  And every chance we had to speak up against it, we did.
[00:28:25.973 --> 00:28:27.774]  Until we got through
