[00:00:10.478 --> 00:00:14.460]  Today in the studio we talked to Stuart Rose, the founder of Oath Keepers.
[00:10:39.200 --> 00:10:40.981]  But it's the Federal Reserve itself
[00:10:41.781 --> 00:10:43.723]  That is the counterfeiter.
[00:10:43.803 --> 00:10:45.425]  They've been in control of our currency since 1913.
[00:10:45.886 --> 00:10:48.729]  You know, the dollar says fellow reserve note.
[00:10:49.450 --> 00:10:50.752]  It doesn't say U.S.
[00:10:50.812 --> 00:10:50.932]  note.
[00:10:50.952 --> 00:10:52.354]  It's not backed by gold or silver.
[00:10:52.794 --> 00:10:53.835]  But I want to cover that more later.
[00:10:53.855 --> 00:10:56.679]  The reason I brought that up, Stuart, is that
[00:10:57.944 --> 00:11:07.948]  Since they passed the Patriot Act more than nine years ago, since its passage, I constantly see articles out of Alabama, Texas, California, New York with similar headlines.
[00:11:08.689 --> 00:11:15.672]  Police and prosecutors use Patriot Act in thousands of non-terror related cases, marijuana, domestic disputes.
[00:11:16.432 --> 00:11:25.336]  They are overturning our entire system of checks and balances and admittedly using all of this new anti-terror law
[00:11:26.277 --> 00:11:27.458]  Against the general public.
[00:11:27.939 --> 00:11:31.964]  And if you read Section 802 of the Patriot Act, it states that it's for the general public.
[00:11:32.004 --> 00:11:33.886]  I mean, this is really tyranny.
[00:11:34.226 --> 00:11:35.929]  And that's what Oath Keepers is there for.
[00:11:36.189 --> 00:11:38.031]  When you talk to a group of police officers...
[00:11:38.985 --> 00:11:41.566]  And military men and women, what do you say to them?
[00:11:42.266 --> 00:11:52.349]  What I tell them is that, look, the powers that were being expanded, the powers of the government that were expanded in the name of fighting against Islamist terrorism are now being swung inward on us.
[00:11:52.709 --> 00:11:55.590]  And I use the MIAC report that you helped expose.
[00:11:56.190 --> 00:11:58.991]  I use the DHS reports on returning veterans.
[00:11:59.231 --> 00:12:00.051]  And they get it.
[00:12:00.071 --> 00:12:00.871]  They understand.
[00:12:01.091 --> 00:12:06.113]  They can see that the current crop in the White House and in charge of the government
[00:12:06.673 --> 00:12:08.134]  They can see that they don't like them.
[00:12:08.434 --> 00:12:10.236]  That most police officers are veterans.
[00:12:10.476 --> 00:12:11.417]  So they do get it.
[00:12:11.477 --> 00:12:18.102]  Right now we have a window of opportunity to deprogram them after the indoctrination of the Bush years to just go along with a lot of this stuff.
[00:12:18.342 --> 00:12:26.688]  So they see that Southern Poverty Law Center's characterization of veterans and even current serving military with an oath keepers, they can see it's nonsense.
[00:12:26.968 --> 00:12:33.233]  And so they are starting to wake up and pay attention to what's really going on, is that if you dare to talk about
[00:12:33.573 --> 00:12:37.800]  Or act like their founding fathers wanted us to behave as a free people.
[00:12:38.060 --> 00:12:43.589]  You'll be demonized, you'll be attacked, you'll be labeled an enemy of the state and a terrorist.
[00:12:43.829 --> 00:12:46.654]  And the cops and the military understand what's going on.
[00:12:47.509 --> 00:12:57.359]  Well, going back to the MIAC report and subsequent reports that have been leaked, there's a reason state police and federal marshals and others have sent me these type of documents.
[00:12:57.379 --> 00:13:05.708]  It's because they understand how bizarre and Orwellian it is to say, if you've got a Ron Paul bumper sticker or an American flag or get us out of the U.N.
[00:13:06.549 --> 00:13:08.811]  or if you want to end the private Federal Reserve.
[00:13:11.866 --> 00:13:33.221]  It's so indicative of how illegitimate the power structure is and the private interests that have taken control of Washington are that they see the police and military that are awake as their enemy because they are tyrants, they are criminals, they are usurpers and so in truth good red-blooded American police and military
[00:13:34.540 --> 00:13:35.981]  Are the enemy of the New World Order.
[00:13:36.382 --> 00:13:38.384]  So they're really tipping their hand there.
[00:13:38.764 --> 00:13:46.851]  It's just that police and military who are not awake to this, who haven't been informed, who haven't been able to see my information or your information, they're really in the dark.
[00:13:46.891 --> 00:13:49.894]  But that threat is still there, even if they're ignorant.
[00:13:49.914 --> 00:13:57.781]  So that's why I want to ask every person out there watching this at PrisonPlanet.tv or on YouTube and across the web, send this to everybody you know.
[00:13:57.861 --> 00:13:58.582]  Send this video.
[00:13:59.022 --> 00:14:01.763]  And send this link to your police chief, to your sheriff.
[00:14:02.063 --> 00:14:03.264]  Burn it off on disk.
[00:14:03.604 --> 00:14:04.785]  Hand deliver it to them.
[00:14:05.245 --> 00:14:16.030]  Because if we can reach out to our military and police and show them the historical facts of what we're covering and show them that history is repeating itself, it's a major checkmate to the globalists.
[00:14:16.490 --> 00:14:21.873]  Go over some of the ten orders that you guys will not follow.
[00:14:22.493 --> 00:14:24.634]  Well, number one is we will not obey orders
[00:14:25.074 --> 00:14:25.535]  We're good to go.
[00:14:42.194 --> 00:14:42.474]  I think so.
[00:14:58.160 --> 00:15:01.003]  And to stop us from doing, it's like the werewolf, right?
[00:15:01.344 --> 00:15:01.944]  Lon Chaney.
[00:15:02.124 --> 00:15:02.965]  Chain me down!
[00:15:03.306 --> 00:15:07.050]  When I go crazy under the full moon, I'm going to do, you know, wrong things.
[00:15:07.330 --> 00:15:11.855]  That's what the Bill of Rights is supposed to be, is to chain ourselves down when we're afraid.
[00:15:12.155 --> 00:15:18.462]  You need the First Amendment and the Second Amendment and the Third and Fourth and Fifth, especially during wartime and during emergency.
[00:15:18.542 --> 00:15:19.203]  That's what they're for.
[00:15:19.383 --> 00:15:19.723]  I think so.
[00:15:38.459 --> 00:15:42.882]  Detain American citizens as unlawful enemy combatants or subject them to the military tribunal.
[00:15:43.203 --> 00:15:50.688]  Article 3 of the Treason Clause mandates a civilian trial and two witnesses to the overt act when you're accused of making war against your own country.
[00:15:50.988 --> 00:15:58.194]  That's the constitutional remedy, not spiriting you away to Gitmo or just a military brig in South Carolina where you don't get a lawyer.
[00:15:58.694 --> 00:15:59.655]  So we won't do these things.
[00:15:59.675 --> 00:16:04.558]  We will not obey orders to impose martial law or a state of emergency on a state.
[00:16:04.678 --> 00:16:06.560]  Article 4, Section 4 makes very clear
[00:16:07.000 --> 00:16:08.001]  That the U.S.
[00:16:08.021 --> 00:16:13.005]  government can't come into a state without being invited by the state legislature or the governor.
[00:16:13.125 --> 00:16:15.267]  And just to briefly interrupt, I want you to go back to that.
[00:16:16.888 --> 00:16:25.536]  I remember going to urban warfare drills 12, 14 years ago, different events, and seeing the military train with role players to fight the American people.
[00:16:26.937 --> 00:16:29.759]  And I've studied enough history to know, wow, this is treason.
[00:16:30.200 --> 00:16:31.100]  This is dangerous.
[00:16:31.721 --> 00:16:35.244]  This is what's happened in every other country over and over again, especially third world nations.
[00:16:36.457 --> 00:16:39.338]  And I came out and made films like Police State 2000 and others.
[00:16:39.378 --> 00:16:41.339]  People keep saying, when's the Marshall Law coming?
[00:16:41.820 --> 00:16:48.803]  Well, the Marshall Law is coming when the TSA says, we don't care if federal law says we've got to have radiology tests on these machines.
[00:16:48.823 --> 00:16:49.463]  We're not doing it.
[00:16:50.104 --> 00:16:54.546]  We don't care if local prosecutors say it's illegal for us to stick our hands down people's pants.
[00:16:54.886 --> 00:16:56.366]  And FBI agents can't even do it.
[00:16:56.667 --> 00:16:57.167]  We can.
[00:16:57.207 --> 00:16:58.007]  It's an emergency.
[00:16:58.948 --> 00:16:59.708]  We don't care
[00:17:02.060 --> 00:17:03.601]  If you have a right to your bank account.
[00:17:03.701 --> 00:17:04.501]  It's an emergency.
[00:17:04.521 --> 00:17:05.581]  We're going to hold those funds.
[00:17:06.141 --> 00:17:10.763]  We're already being eased into this emergency atmosphere.
[00:17:11.003 --> 00:17:12.823]  They're never going to call it martial law.
[00:17:13.183 --> 00:17:18.165]  We're being just phased in incrementally into it right now from my research.
[00:17:18.205 --> 00:17:21.306]  Stuart, from your deep research, do you concur with that?
[00:17:21.426 --> 00:17:27.228]  That we're basically already in the first stages of what could be really deemed classical martial law?
[00:17:27.508 --> 00:17:28.448]  Well, in part.
[00:17:28.808 --> 00:17:30.729]  What they've done is claim that
[00:17:31.209 --> 00:17:39.713]  Through emergency powers of the President that he can do things that, you know, through executive order or by fiat that otherwise are nowhere in our Constitution.
[00:17:39.833 --> 00:17:42.575]  Or if the UN gives him the authority, he doesn't have to go to Congress for a new war.
[00:17:42.715 --> 00:17:42.895]  Right.
[00:17:42.915 --> 00:17:43.875]  So that's partly true.
[00:17:44.096 --> 00:17:49.018]  But true martial law is where they, where it's the will of the commander on the battlefield.
[00:17:49.338 --> 00:17:50.639]  And they have made this claim.
[00:17:50.959 --> 00:17:56.491]  That's what Bush claimed, is that he can bring the international laws of war and apply them to the American people.
[00:17:56.811 --> 00:17:57.894]  That's martial law.
[00:17:58.194 --> 00:18:01.902]  That means that he can treat you the same as though he were a tank commander
[00:18:02.484 --> 00:18:04.626]  In the Iraqi desert, and you're some local villager.
[00:18:04.966 --> 00:18:08.508]  His claim is he could do the same thing with you that he could do over there as Commander-in-Chief.
[00:18:08.528 --> 00:18:24.418]  And there's a legal precept there, and explain this to me, because I remember three or four years ago, the head of the Air Force was in the news saying, we've got to use these microwave guns against the American people, because under Geneva we can't use them against populations in Iraq.
[00:18:24.859 --> 00:18:31.483]  But he was reversing that, saying laws of war, if we can use them on our people, then that changes things somehow.
[00:18:31.923 --> 00:18:33.665]  And then we can use them on the Iraqis.
[00:18:47.563 --> 00:18:54.424]  They can treat us all as though we were foreign enemies in wartime and apply international law, the law of war, to us.
[00:18:55.425 --> 00:18:59.005]  So that was the undercurrent beneath the NSA spying on Americans.
[00:18:59.265 --> 00:19:05.146]  Or in that situation there, they said, oh look, the Fourth Amendment doesn't apply to, the Bill of Rights doesn't apply at all.
[00:19:05.366 --> 00:19:06.027]  This is war.
[00:19:06.347 --> 00:19:09.627]  This is not an exception under the Fourth Amendment for criminal law.
[00:19:09.867 --> 00:19:11.087]  This is a whole new paradigm.
[00:19:11.107 --> 00:19:12.888]  This is simply the laws of war.
[00:19:13.128 --> 00:19:13.748]  That's the claim.
[00:19:14.039 --> 00:19:14.639]  See what I'm saying?
[00:19:14.839 --> 00:19:19.742]  Notice we have the drug war and we have the war on illiteracy and it's all for a federal power grab.
[00:19:19.982 --> 00:19:24.665]  They always use this term war as their excuse to basically have a power grab.
[00:19:24.745 --> 00:19:26.485]  Well they do that in conventional law also.
[00:19:27.066 --> 00:19:31.228]  The claim is in the war on drugs you must allow asset forfeiture for example.
[00:19:31.547 --> 00:19:34.728]  To seize the proceeds of drug crime.
[00:19:34.748 --> 00:19:39.911]  Then they wind up using it against a man who was out, you know, trolling for prostitutes.
[00:19:40.151 --> 00:19:41.591]  And he took his wife's car.
[00:19:41.611 --> 00:19:43.712]  That's what was the case the Supreme Court upheld.
[00:19:44.012 --> 00:19:48.234]  And so it winds up being for this particular really bad thing that it expands out.
[00:19:48.434 --> 00:19:50.315]  Well, the same is going on in the war paradigm.
[00:19:50.495 --> 00:19:53.437]  There's a normal legal paradigm where they've chipped away at the Bill of Rights.
[00:19:53.637 --> 00:19:58.699]  But now there's this war paradigm where it used to be you could only use the laws of war against a foreign enemy.
[00:19:58.979 --> 00:20:02.104]  They now say, well, oh, but this one foreign enemy was a US citizen.
[00:20:02.817 --> 00:20:03.817]  This is World War II.
[00:20:03.857 --> 00:20:08.859]  The eight German saboteurs, one of them was an American, became the shortest to blow up factories.
[00:20:09.039 --> 00:20:10.479]  Well, they tried him by tribunal.
[00:20:10.699 --> 00:20:11.400]  Only one man.
[00:20:11.660 --> 00:20:21.022]  And in that case, that upholding of that trial of an American citizen under the laws of war sat dormant, almost forgotten, until after 9-11.
[00:20:21.223 --> 00:20:29.325]  Then Bush reached back and reactivated that idea and said, oh yeah, in the war on terror now, which could be almost anything, terrorism is a tactic,
[00:20:29.645 --> 00:20:33.875]  Now we can use the same claim power to try any American we accuse of terrorism.
[00:20:34.055 --> 00:20:37.884]  And then at the G20 a few years ago in Pittsburgh, some of my crew got arrested.
[00:20:38.996 --> 00:20:48.641]  The military just went and told the local police that my guys were terrorists and the police came after them and interrogated them and said, were you planning to attack the military?
[00:20:49.001 --> 00:20:51.783]  And my guys were there publicly with their press badges.
[00:20:51.823 --> 00:20:52.803]  They're interviewing people.
[00:20:53.444 --> 00:21:01.488]  And when they were arresting the college students, the college students hadn't even been demonstrating.
[00:21:01.528 --> 00:21:02.809]  They were outside at a park.
[00:21:05.048 --> 00:21:12.551]  And the police could find no one in Pittsburgh that dare break their Tiananmen Square type order that no one could be outside during the day or night.
[00:21:13.032 --> 00:21:18.434]  And they would just come in and attack the students with enjoyment.
[00:21:18.734 --> 00:21:21.875]  And they arrested Rob Dues over there running camera right now.
[00:21:21.975 --> 00:21:29.058]  And when they got him to an old prison, they had the military and police there and were bringing in some of the protesters.
[00:21:29.378 --> 00:21:39.241]  We've got footage all over the city of kids even playing with balls outside at like 3 or 4 in the afternoon.
[00:21:39.942 --> 00:21:42.522]  And loudspeakers saying no one's allowed to be on the streets.
[00:21:43.223 --> 00:21:48.204]  And we saw YouTube videos of women coming out of stores, older women, with bags who'd been shopping.
[00:21:48.224 --> 00:21:49.605]  And they're like, Officer, I'm shopping.
[00:21:49.965 --> 00:21:52.426]  And the cop says, I don't care and releases a police dog on them.
[00:21:53.906 --> 00:21:56.167]  We're seeing this in Toronto, they did the same thing.
[00:21:57.127 --> 00:22:04.589]  A year later, we're seeing it in Pittsburgh, where they're setting the precedent in England, where they actually have beaten people to death who were just delivering newspapers.
[00:22:04.989 --> 00:22:09.510]  They just say, we allow no one to be outside while the banker heads are meeting in this town.
[00:22:10.050 --> 00:22:22.574]  And the police from all over the country travel there to mix with the military and private contractors, and they were there snatching protesters randomly to terrorize everyone and throwing them into unmarked vehicles, speeding away.
[00:22:23.334 --> 00:22:25.295]  I mean, if that isn't martial law, Stuart, what is?
[00:22:25.455 --> 00:22:28.556]  Well, they're behaving as though they were in a third world junta.
[00:22:29.077 --> 00:22:37.500]  And you can look at what's being done in Central America, or in the Middle East, or any place like that where there is tyranny, and that's the future, unless we stand up and stop it.
[00:22:37.740 --> 00:22:43.783]  So one part, one answer, is to teach the military and police what is really constitutional and what's not.
[00:22:44.423 --> 00:22:45.444]  Get them to stand down.
[00:22:45.604 --> 00:22:47.646]  But the other side of it is, we have to stand up.
[00:22:47.807 --> 00:22:48.988]  But that's my question to you.
[00:22:49.448 --> 00:22:51.731]  And that's why I'm basically interrogating you on these facts.
[00:22:51.751 --> 00:22:53.672]  I don't want you to go over the rest of them.
[00:22:53.693 --> 00:22:56.996]  I know a lot of police and military individually are good people.
[00:22:57.036 --> 00:22:57.596]  I've talked to them.
[00:22:58.177 --> 00:23:02.501]  But when they get in a mob psychology, they followed orders in Katrina to go to the high and dry areas.
[00:23:02.562 --> 00:23:03.603]  Not all of them did.
[00:23:03.943 --> 00:23:05.505]  I know some said, no, I want you to speak to that.
[00:23:06.025 --> 00:23:07.647]  And the media didn't want us to know about that.
[00:23:08.752 --> 00:23:09.614]  That was a beta test.
[00:23:10.315 --> 00:23:19.394]  But when I see something like what happened in Pittsburgh, the military and the police waged war against the people and it was all orchestrated.
[00:23:20.138 --> 00:23:23.580]  To chill political free speech in this country.
[00:23:24.940 --> 00:23:25.701]  So respond to that.
[00:23:26.241 --> 00:23:27.562]  Well, sure, they're being conditioned.
[00:23:27.582 --> 00:23:32.764]  I mean, they've been conditioned for decades to serve under UN command, for example.
[00:23:32.804 --> 00:23:37.326]  And you had only Michael New, one man out of his whole battalion, stood up and said no.
[00:23:37.767 --> 00:23:39.507]  And so we're trying to counter that conditioning.
[00:23:39.688 --> 00:23:42.049]  And now they're being conditioned to be used here at home.
[00:23:42.269 --> 00:23:46.791]  Not just Katrina, but also, as you know, North Com and the 1st Combat Brigade of the 3rd
[00:23:47.151 --> 00:23:48.932]  Infantry Division is being assigned here at home.
[00:23:48.972 --> 00:23:50.953]  And it's signed deals to use foreign troops in America.
[00:23:51.693 --> 00:23:53.574]  Well, we had some during Katrina.
[00:23:53.594 --> 00:23:55.134]  They were Mexican troops that assisted.
[00:23:55.555 --> 00:24:01.977]  So, of course, you know before, you exposed a long time ago, these agreements with Canada to bring troops into the United States.
[00:24:02.177 --> 00:24:05.759]  And we're seeing reports all the time of increasing activity of foreign troops.
[00:24:05.799 --> 00:24:12.101]  Just the other day, I got a call from a guy in Tennessee, upset about seeing Canadian vehicles running around the world.
[00:24:12.362 --> 00:24:12.782]  He was a cop.
[00:24:13.622 --> 00:24:14.823]  He didn't know why they were there.
[00:24:15.043 --> 00:24:16.063]  His local sheriff got in.
[00:24:16.103 --> 00:24:18.444]  Two years ago, we had a state rep on in Tennessee.
[00:24:18.745 --> 00:24:22.927]  They had a gaggle of more than ten federal agencies shutting down major highways.
[00:24:22.967 --> 00:24:24.607]  The governor said, you can't do that, get out of here.
[00:24:25.308 --> 00:24:26.728]  And Homeland Security said, go to hell.
[00:24:27.469 --> 00:24:32.991]  Right, so now they're... I mean, we're talking checkpoints, and now they're... Paul Watson in northern England.
[00:24:33.391 --> 00:24:39.594]  They had Eastern European Ukrainian troops in a UN event running checkpoints.
[00:24:39.614 --> 00:24:40.595]  This is happening everywhere.
[00:24:41.271 --> 00:24:41.651]  Well, certainly.
[00:24:41.751 --> 00:24:45.072]  So the conditioning, they're flipping the Founders' design on its head.
[00:24:45.492 --> 00:24:48.913]  They're taking away the sovereignty and the independence of local police departments.
[00:24:49.154 --> 00:24:52.475]  They're making them subservient to Washington, D.C.
[00:24:52.715 --> 00:24:57.256]  They're sending in liaisons from the military to work with the police to condition them to work together.
[00:24:57.576 --> 00:24:58.457]  All the things you've been exposed to.
[00:24:58.477 --> 00:24:59.477]  The threat fusion centers.
