[00:00:21.272 --> 00:00:32.863]  It is August 19th, 2011, and this is a InfoWars.com breaking news report on this Friday evening.
[00:07:32.700 --> 00:07:40.912]  His entourage is, you know, procuring strippers for him, renting the hotel rooms, calling the escort services.
[00:07:41.593 --> 00:07:43.195]  Then recently, this week,
[00:07:44.036 --> 00:07:59.299]  Yet another young lady who's friends with yet another popular Austin longtime escort said that, yeah, you know, this lady, you know, her friend had a tryst with Rick Perry in one of the nicer hotels in Austin, Texas.
[00:07:59.779 --> 00:08:00.859]  So that's three right there.
[00:08:00.899 --> 00:08:04.380]  And I've been unable to get these people to go public for obvious reasons.
[00:08:04.420 --> 00:08:12.221]  You know, trying to get a stripper or an escort or a gay, a closeted gay man to go public is very difficult for obvious reasons.
[00:08:12.901 --> 00:08:13.881]  Hence my ad.
[00:08:14.242 --> 00:08:31.549]  So I took out this ad, have you ever had sex with Rick Perry, as a plea to the greater community to quit covering for Rick Perry, this, you know, Christian buzzword spouting hypocrite who's leading a double life.
[00:08:33.450 --> 00:08:38.672]  Well, I've got to say, Robert, that we've seen what's happened with the New York governor.
[00:08:39.775 --> 00:08:47.818]  Who passed a law to take the property away from men that hired prostitutes and throw them under the jail while he was visiting high-end prostitutes.
[00:08:47.858 --> 00:08:52.540]  We've seen all these Republican leaders caught in bathrooms and going after their pages.
[00:08:53.040 --> 00:08:54.361]  We know about Bohemian Grove.
[00:08:54.981 --> 00:09:06.146]  And so, doing my research, I know to get into the upper echelons of the Republican Party especially, they don't feel comfortable around you unless you've done some things that they can use against you.
[00:09:06.966 --> 00:09:11.530]  And the main way to enter the upper echelons of the Republican Party is homosexual sex.
[00:09:12.051 --> 00:09:17.336]  That's what goes on at Skull and Bones, at Yale, that's what goes on at the same time at Bohemian Grove.
[00:09:18.117 --> 00:09:19.278]  So I know that stuff goes on.
[00:09:20.098 --> 00:09:22.340]  Again, I mainly stick with issues that I can prove.
[00:09:23.081 --> 00:09:25.003]  And we've all heard these rumors living in Austin.
[00:09:25.584 --> 00:09:28.127]  There's been newscasts about the rumors of Rick Perry.
[00:09:29.529 --> 00:09:41.142]  I would completely still ignore all of this if he wasn't out there saying, I'm a Christian conservative leader, you need to get behind me, and then knowing that
[00:09:41.883 --> 00:09:44.664]  He's actually the opposite in his real policies.
[00:09:45.184 --> 00:09:53.107]  And even in the last election cycle for governor, conservative groups did actually discover his bankrolling of porno parlors across Texas.
[00:09:54.107 --> 00:09:55.688]  And that's now a big issue again.
[00:09:56.168 --> 00:09:58.469]  And then when I first saw this, I didn't believe it.
[00:09:58.529 --> 00:10:01.250]  I went and found it on the State Ethics Commission website.
[00:10:01.850 --> 00:10:10.753]  It is true that when he was in Florida, in a famously alternative lifestyle area, and I want you to talk about that, he visited the La Te Da
[00:10:11.874 --> 00:10:16.152]  Uh, men in drag, uh, cabaret.
[00:10:17.857 --> 00:10:21.620]  And he later said, well, no, that my wife visited that.
[00:10:21.680 --> 00:10:22.160]  Yeah, right.
[00:10:22.660 --> 00:10:25.102]  So it just continues to crop up.
[00:10:25.142 --> 00:10:32.247]  And so because it was Christian conservatives that have gone after him in the last few campaigns over some of these reports, he's now trying to become that.
[00:10:32.667 --> 00:10:38.631]  And I saw Ron Paul supporters really getting after him at events the last few years.
[00:10:38.931 --> 00:10:40.372]  So now he's trying to become Ron Paul.
[00:10:40.412 --> 00:10:42.354]  He is a political chameleon.
[00:10:42.874 --> 00:10:45.216]  And so the question comes down to,
[00:10:46.471 --> 00:10:48.880]  Is this some elaborate hoax where people are lying to you?
[00:10:49.482 --> 00:10:50.285]  Are you lying?
[00:10:50.787 --> 00:10:52.233]  Which people that know you say you're not?
[00:10:53.357 --> 00:10:55.779]  Or is this a dirty trick of disinformation?
[00:10:55.919 --> 00:10:57.400]  Or is it true?
[00:10:57.440 --> 00:11:05.405]  But what do you say about the porno parlor bankrolling and the transvestite visiting?
[00:11:05.645 --> 00:11:05.965]  Okay.
[00:11:06.685 --> 00:11:09.467]  Well, Alex, as you know, you and I are living here in Austin, Texas.
[00:11:10.288 --> 00:11:18.273]  The rumors of Rick Perry's homosexuality and gay affairs have been voluminous, intense, and they will just not go away.
[00:11:19.133 --> 00:11:22.395]  Oh, when you type Rick Perry into Google for years, gay comes up.
[00:11:23.516 --> 00:11:24.317]  The first thing.
[00:11:49.053 --> 00:11:50.894]  Bisexual adulterer.
[00:11:50.954 --> 00:11:54.576]  Not just strippers and young hotties, but gay men as well.
[00:11:54.696 --> 00:12:02.501]  Because on this Monday, before I even ran this ad, an incensed homosexual man contacted me and he says, you know what?
[00:12:03.101 --> 00:12:12.106]  After seeing Rick Perry on that stage in Houston, with all those extremist preachers, all that, you know, hardcore anti-gay rhetoric, I just can't take it anymore.
[00:12:12.586 --> 00:12:15.028]  He said that an ex of his ex
[00:12:15.768 --> 00:12:31.012]  Had sex with Rick Perry, a gay fling, many years before he became governor, and that he wants to take this guy public, and that he and his friend are going to approach this man who had sex with Rick Perry, according to them, and get him to go public.
[00:12:31.132 --> 00:12:37.354]  And I said, what I did was I gave him to a reporter who was working the gay angle on Rick Perry, and he's having some progress, by the way.
[00:12:38.534 --> 00:12:56.582]  And so maybe eventually, in a few months, after these reporters work these stories, nail down those sources, we will move beyond the hearsay stage on Rick Perry as a rampant bisexual adulterer to the credibility stage with people coming forward.
[00:12:56.602 --> 00:12:59.343]  So the whole point of me running that ad is, folks,
[00:12:59.943 --> 00:13:03.248]  There's so much stuff out there on Rick Perry.
[00:13:03.268 --> 00:13:11.780]  If you've been involved with him sexually at all or you know people who have, please come forward and let's go on the record and get it above board that people need to know.
[00:13:12.674 --> 00:13:14.454]  Well, these rumors have been rampant.
[00:13:14.894 --> 00:13:23.216]  I mean, I've lived here in Austin since high school, but they could just be that political retribution against Perry by his enemies.
[00:13:23.696 --> 00:13:30.658]  Then the rumor gets picked up and gets parroted by people that are seeking kind of private attention.
[00:13:30.778 --> 00:13:31.858]  Oh, I know Rick Perry.
[00:13:32.258 --> 00:13:38.239]  I mean, that could be a possibility here where it's a self-fulfilling prophecy that this rumor got started.
[00:13:38.619 --> 00:13:41.220]  And so now different groups are lying to you.
[00:13:42.080 --> 00:13:49.785]  Well, Alex, on the womanizing, I'm not just 99% sure that Rick Perry's been running around with strippers and hookers.
[00:13:49.946 --> 00:13:52.868]  I'm 100% sure on that.
[00:13:53.068 --> 00:14:01.274]  Well, you told me that you like these women and that you do go to some of these and that separately
[00:14:02.094 --> 00:14:05.196]  Without them knowing that you're politically active, they were volunteering this?
[00:14:05.356 --> 00:14:22.369]  Yeah, what makes their story so credible is that these ladies who are about the age of Rick Perry's 24-year-old daughter, Sydney, they're in their mid-twenties, they told me these things in confidence and not in the context of a presidential campaign or a gubernatorial campaign.
[00:14:22.809 --> 00:14:23.770]  It was just chit-chat.
[00:14:24.310 --> 00:14:26.272]  They had no idea I was a political activist.
[00:14:26.712 --> 00:14:30.915]  They had no idea that I hated Rick Perry's guts for other reasons, you know, political reasons and so forth.
[00:14:31.015 --> 00:14:32.629]  Well, have you talked to them since?
[00:14:33.553 --> 00:14:38.014]  I've tried to contact them recently and I've been unable to get them to come public.
[00:14:38.054 --> 00:14:40.075]  I'm certainly not going to out them at all.
[00:14:40.375 --> 00:14:48.417]  The whole point is, I think a lot of them, they really need to send me an email at FamilyValuesHypocrite at gmail.com.
[00:14:48.477 --> 00:14:49.677]  I'll repeat that one more time.
[00:14:50.198 --> 00:14:53.218]  FamilyValuesHypocrite at gmail.com.
[00:14:53.799 --> 00:14:55.979]  I will get them in contact with a reporter.
[00:14:56.359 --> 00:14:57.800]  They don't have to go on the record.
[00:14:58.060 --> 00:15:02.061]  They can give this reporter background information and let him build his story and build his case.
[00:15:02.421 --> 00:15:05.123]  Well, this looks like something Taylor made for Larry Flynt.
[00:15:06.685 --> 00:15:07.305]  It sure does.
[00:15:08.006 --> 00:15:12.550]  Larry Flynt has outed a lot of hypocritical politicians like Rick Perry.
[00:15:14.158 --> 00:15:17.640]  All right, we've only got five minutes or so left here, Robert.
[00:15:17.740 --> 00:15:20.262]  And I've told you this, what you're doing is dangerous.
[00:15:20.802 --> 00:15:23.004]  Whether this is true or not, it's very dangerous.
[00:15:23.044 --> 00:15:24.545]  But I live here in Austin.
[00:15:24.645 --> 00:15:27.046]  I've heard about this for a decade since he's been governor.
[00:15:28.047 --> 00:15:31.049]  And it's been a huge issue here in town.
[00:15:31.869 --> 00:15:33.150]  It's a big joke here in town.
[00:15:33.550 --> 00:15:35.472]  So whether it's true or not,
[00:15:36.528 --> 00:15:41.915]  It needs to be debated now, because if it is true, they're going to be able to blackmail Rick Perry.
[00:15:42.515 --> 00:15:42.996]  Absolutely.
[00:15:43.717 --> 00:15:47.822]  And people ask, why is this so common in high-level politics?
[00:15:48.122 --> 00:15:52.247]  Because the system is comfortable with these type of people, because they have dirt on them.
[00:15:52.287 --> 00:15:55.411]  And Rick Perry's done things like order little girls to take a vaccine.
[00:15:56.292 --> 00:15:58.554]  That he knew was killing people in trials.
[00:15:59.014 --> 00:16:05.440]  He's done things like try to hand 8,000 miles of Texas roads over to center of Spain even though it was political suicide.
[00:16:07.302 --> 00:16:14.968]  He's done things that are very suspicious and then you get being heavily invested in the porno parlor chain.
[00:16:17.290 --> 00:16:19.552]  Then you get the Latida.
[00:16:20.413 --> 00:16:21.474]  Yeah, the transvestite
[00:16:23.783 --> 00:16:26.545]  And that's confirmed.
[00:16:27.666 --> 00:16:29.227]  You get all of this going on.
[00:16:32.350 --> 00:16:41.217]  It's just sickening that if it's true, or if any part of it's true, that he's strutting around up there with all the Christian values.
[00:16:41.257 --> 00:16:46.661]  But I think these guys, if it is true, gravitate towards that because they see it as a political cover.
[00:16:46.861 --> 00:16:50.564]  But how many big preachers, as it turned out, are doing this type of thing?
[00:16:51.442 --> 00:16:52.743]  Well, you had Ted Haggart.
[00:16:53.143 --> 00:17:00.207]  Rick Perry reminds me a lot of Ted Haggart, the preacher in Colorado that was secretly gay and using crystal meth.
[00:17:00.587 --> 00:17:09.373]  And remember, I want to emphasize this again, this stripper told me that when she was with Rick Perry, her direct words were, I think he was too coked up.
[00:17:09.693 --> 00:17:12.935]  I think meaning too coked up to perform sexually, to get it up.
[00:17:13.895 --> 00:17:17.457]  And I figured, wow, you know, he's incapacitated, too.
[00:17:17.537 --> 00:17:23.019]  So Rick Perry, as far as I know, is arrogant and entitled and reckless.
[00:17:23.659 --> 00:17:27.041]  And we don't need arrogant and reckless in the White House, Alex.
[00:17:27.321 --> 00:17:31.403]  Well, building up to this on Monday and Tuesday, my crew was bringing me articles.
[00:17:32.404 --> 00:17:37.350]  Actually, we posted, when it was already all over the web, one of your articles, and I actually called my writer and said, pull that.
[00:17:38.232 --> 00:17:40.575]  So it was on InfoWars for a while, I don't know if you're aware of that.
[00:17:41.797 --> 00:17:48.185]  Just because I said, I don't know, we can't prove this, I don't want to be associated with this, I want to be associated with people's record.
[00:17:49.807 --> 00:17:53.432]  Well, that article you're talking about has gone viral, and I'll just name the title of it.
[00:17:53.472 --> 00:18:00.220]  If you Google, Tea Party Fraud Rick Perry is Political Herpes, you'll learn a lot about Rick Perry.
[00:18:00.361 --> 00:18:03.605]  Tea Party Fraud Rick Perry is Political Herpes.
[00:18:04.145 --> 00:18:07.089]  Well, I mean, my point in saying, you know, here that
[00:18:07.990 --> 00:18:15.335]  I wasn't going to go with this story, because, and I told my whole crew this, I said this on Tuesday night.
[00:18:16.476 --> 00:18:33.148]  We went out to eat, worked up here late, went out to eat at about 10 o'clock at night, and I actually had one of my writers that posted it, and I was excoriating him, and I said, it's probably, you know, where there's smoke, there's fire, but I said, and I don't care if it's all over the internet, I said, you watch, and my
[00:18:34.480 --> 00:18:35.360]  Five of the guys were there.
[00:18:35.380 --> 00:18:36.101]  They all saw this.
[00:18:36.681 --> 00:18:37.541]  I said, you watch.
[00:18:38.461 --> 00:18:45.484]  They're going to grab this and come up with it in the news and attack Ron Paul and say, look, one of his supporters did this.
[00:18:45.604 --> 00:18:51.046]  And I said, whether it's true or not, that's how this is going to be spun.
[00:18:51.366 --> 00:18:53.667]  And it is being spun that way.
[00:18:53.987 --> 00:18:57.348]  So what is your concern with that?
[00:18:57.469 --> 00:18:58.329]  Or do you have any?
[00:18:59.110 --> 00:19:03.992]  Well, Ron Paul, as you know, is a man of sterling character.
[00:19:04.112 --> 00:19:06.853]  He's been married to Carol Paul for 54 years.
[00:19:08.094 --> 00:19:14.877]  Ron Paul doesn't hang out with the same kind of girls that me and Rick Perry and Rick Perry's entourage do.
[00:19:14.937 --> 00:19:17.098]  So Ron Paul had nothing to do with this at all.
[00:19:17.378 --> 00:19:19.419]  And Ron Paul doesn't get into scandals and sex.
[00:19:19.559 --> 00:19:25.200]  Right, Ron Paul gets into... Ron Paul threw Barat off of him, or Bruno, or whatever the guy's real name is.
[00:19:25.340 --> 00:19:25.841]  Yeah, yeah.
[00:19:25.861 --> 00:19:26.581]  Sacha Baron Cohen.
[00:19:26.621 --> 00:19:30.482]  Yeah, when Sacha Baron Cohen tried to make a pass at Ron Paul, Ron Paul walked out of the room.
[00:19:30.522 --> 00:19:32.823]  Now, Rick Perry, it may have been a different story.
[00:19:33.263 --> 00:19:43.986]  But I will tell you this, Rick Perry, Alex, is sitting on a keg of slut-fueled nitroglycerin that if it ever exploded would make Anthony Weiner look like a mere pimple popping.
[00:19:45.660 --> 00:20:03.466]  Well, I'll say this, and I'm on record over a year ago, 14 months ago, I was told by a Fox News reporter, high level, and I was told, you're allowed to talk about this, but just don't give their name, that Rick Perry cornered them at a Texas Tea Party and said, I'm really worried about two people, Ron Paul and Alex Jones.
[00:20:03.486 --> 00:20:05.007]  And I'm on record saying that.
[00:20:05.347 --> 00:20:11.329]  And I just don't understand why Rick Perry is afraid of me at the end of the day.
[00:20:11.369 --> 00:20:14.710]  And I also know I was at La Hueva Leone Mexican food restaurant.
[00:20:15.270 --> 00:20:23.015]  A few years ago when Perry came over and kind of leaned over the table and said, I want you to have a blessed Thanksgiving coming up, Alex.
[00:20:23.035 --> 00:20:26.977]  But while he said it, he looked at me with just crazed Captain Morgan eyes.
[00:20:28.037 --> 00:20:30.419]  So there's no doubt Rick Perry is pretty wound up.
[00:20:32.724 --> 00:20:34.565]  Rick Perry is very wound up.
[00:20:34.865 --> 00:20:46.473]  The reports that are coming in, and I don't know how many of these people are going to actually go public, and we want them to, is that Rick Perry has been a rampant bisexual adulterer for many years.
[00:20:46.533 --> 00:20:52.397]  If you'll notice, when they're in public, Anita Perry almost never lets Rick Perry kiss her on the lips.
[00:20:53.117 --> 00:20:53.838]  I think I know why.
[00:20:55.782 --> 00:21:00.404]  Well, I know that they had to come out and tell the public, no, we're happily married, everything's fine.
[00:21:00.464 --> 00:21:03.546]  I don't know if this is some deep psy-op or political trick.
[00:21:04.226 --> 00:21:05.226]  I don't know if it's real.
[00:21:05.787 --> 00:21:08.348]  I just know that it's now a huge national story.
[00:21:08.388 --> 00:21:09.468]  We're here in Austin, Texas.
[00:21:09.488 --> 00:21:10.629]  You reached out to us first.
[00:21:11.449 --> 00:21:12.330]  I think so.
[00:21:28.641 --> 00:21:29.542]  Popped up to do this.
[00:21:45.461 --> 00:21:51.267]  A historian just released the tapes that Jackie said LBJ did have Kennedy killed.
[00:21:51.447 --> 00:21:57.813]  Who in America, besides Rick Perry's campaign, believes the official story on the JFK assassination in the year 2011?
[00:21:57.853 --> 00:21:58.313]  Not many people.
[00:22:00.455 --> 00:22:09.082]  Well, the fact that they're using the conspiracy theorist label on you in the Houston Chronicle and literally hundreds of papers, I don't think is going to hold water.
[00:22:09.122 --> 00:22:16.529]  Well, Robert, as this unfolds, we'll continue to track it and people can, of course, contact you at 512-306-1510 or familyvalueshypocrite at gmail.com.
[00:22:16.549 --> 00:22:17.510]  Thank you for
[00:22:22.834 --> 00:22:30.382]  Thank you for coming in and I never thought I'd be covering a sex scandal but it's happening in Austin, Texas and so we're now covering it.
[00:22:30.402 --> 00:22:31.263]  Thank you for being here with us.
[00:22:31.643 --> 00:22:32.123]  Good to be here, Alex.
[00:22:32.384 --> 00:22:33.024]  Alright, thank you.
[00:22:33.365 --> 00:22:36.087]  Ladies and gentlemen, that's it for this special Friday.
[00:22:36.188 --> 00:22:39.991]  PrisonPlanet.tv, InfoWars.com, special breaking news report.
[00:22:40.232 --> 00:22:44.095]  Don't forget, starting September 1st, just in a week and a half, we'll have the
[00:22:44.696 --> 00:22:45.216]  We're good to go.
[00:23:24.671 --> 00:23:29.954]  Infowars.com, for 16 years, has led the charge against the technocrats.
[00:23:30.235 --> 00:23:38.200]  We have had unrivaled success in unlocking minds, expanding paradigms, and rallying the people to face the new world order.
[00:23:38.500 --> 00:23:49.507]  No one can deny that our media operation is the tip of the spear, and it's because of our success that we have a responsibility to intensify our operations against the globalists 110%.
[00:23:51.468 --> 00:23:55.311]  We're only a month away from launching a weeknight news broadcast.
[00:23:55.471 --> 00:23:57.793]  The social network is nearing completion as well.
[00:23:57.933 --> 00:24:00.575]  The free newsletter is reaching hundreds of thousands.
[00:24:00.855 --> 00:24:04.938]  Please spread the word about InfoWars.com and PrisonPlanet.com.
[00:24:05.119 --> 00:24:14.205]  Sign up at the top of InfoWars.com for the free InfoWars insider email with exclusive video and text reports as well as breaking news.
[00:24:14.586 --> 00:24:14.786]  Look
[00:24:15.126 --> 00:24:18.029]  In the mirror, you are the resistance.
[00:24:18.289 --> 00:24:23.915]  It is up to us, the Info Warriors, to take the initiative and to defeat the globalists.
