[00:00:22.096 --> 00:00:27.679]  Good evening and welcome to this Wednesday, December 7, 2011 edition of the InfoWars Nightly News.
[00:12:35.070 --> 00:12:41.276]  Three elderly women say TSA agents made them pull down their pants in underwear that's in local10.com.
[00:12:41.737 --> 00:12:42.477]  It's degrading.
[00:12:42.637 --> 00:12:44.479]  It's like someone raped you, Sherman said.
[00:12:44.519 --> 00:12:45.440]  That's one of the victims.
[00:12:45.760 --> 00:12:48.143]  They didn't know how to handle a human being.
[00:12:48.523 --> 00:12:48.983]  That's right.
[00:12:49.043 --> 00:12:51.566]  I've seen this at airports many times.
[00:12:52.326 --> 00:12:54.689]  For instance, an old woman in a wheelchair.
[00:12:55.069 --> 00:12:59.913]  They'll prop her up against a post, make her stand when who knows if she even can stand.
[00:13:00.313 --> 00:13:04.536]  I don't know all the cases, but I've seen a lot of targeting of the very elderly.
[00:13:05.657 --> 00:13:09.220]  Goes on to describe people with colostomy bags and everything.
[00:13:09.600 --> 00:13:17.026]  And among other issues, the TSA people are not even aware of some of these medical conditions that older people have to deal with.
[00:13:17.186 --> 00:13:18.047]  And it is degrading.
[00:13:18.647 --> 00:13:30.587]  Of course, they say, however, proper procedures were followed in the cases of the elderly strip search, and they say that's not strip searching anyway, we just call it a, you know, such-and-such procedure.
[00:13:31.148 --> 00:13:31.348]  Just...
[00:13:32.763 --> 00:13:40.751]  The American Dream has nine examples of elderly Americans being strip-searched or sexually molested by TSA agents at airports.
[00:13:40.791 --> 00:13:42.993]  These are, for the most part, all recent cases.
[00:13:43.374 --> 00:13:47.858]  Lenore Ziberman, that's the old lady, 110 pounds, you've heard about in the news.
[00:13:48.379 --> 00:13:56.307]  Also, Ruth Sherman, who's got herself in the news, saying, this is private for me, it's bad enough that I have it, I had to pull down my sweatpants and my underwear
[00:13:56.647 --> 00:13:57.387]  My underwear
[00:14:16.195 --> 00:14:22.820]  Urasomy bag when he was patted down, which ended in him having urine all over his legs and pants.
[00:14:23.581 --> 00:14:30.206]  The TSA agent didn't even acknowledge that he had caused the urine to be spilled all over his body, sending him on his way to the flight.
[00:14:30.266 --> 00:14:33.128]  Of course, none of these people are terrorists, not even close.
[00:14:33.768 --> 00:14:38.151]  Back in June, a 95-year-old woman with cancer was forced to remove her adult diaper.
[00:14:38.752 --> 00:14:40.573]  I think that was the case where it was leaking.
[00:14:40.593 --> 00:14:42.495]  A female cancer survivor
[00:14:43.055 --> 00:14:45.858]  ...was required to show her prosthetic breast.
[00:14:45.998 --> 00:14:49.881]  A 71-year-old man with knee replacement surgery had his pants forcibly ripped off.
[00:14:50.782 --> 00:14:57.208]  A 94-year-old woman pulled out of line, publicly molested by TSA agents at Rally Durham International.
[00:14:57.468 --> 00:14:59.010]  They groped her all over her body.
[00:14:59.190 --> 00:15:06.717]  Another cancer survivor treated at JFK Airport in New York was asked to step aside and have her breast area examined.
[00:15:07.498 --> 00:15:08.899]  She was a breast cancer patient.
[00:15:09.119 --> 00:15:10.100]  We're good to go.
[00:15:29.694 --> 00:15:30.995]  Why do they do these things?
[00:15:31.135 --> 00:15:33.797]  It all has to do with that indefinite detention stuff.
[00:15:33.817 --> 00:15:37.420]  They're getting us ready to all be treated like slaves no matter what.
[00:15:37.820 --> 00:15:45.846]  Now if the economy breaks down and there's civil unrest anywhere, I would imagine we're going to be treated this way just absolutely anywhere in public.
[00:15:45.947 --> 00:15:47.408]  Streets, malls, you name it.
[00:15:47.428 --> 00:15:48.669]  They've all talked about it.
[00:15:49.414 --> 00:15:55.620]  Now, in other news, a school in the UK has turned off the heat to, quote, save the planet.
[00:15:56.701 --> 00:16:03.308]  Head Rob Binsey switched off the radiators to show how the secondary school could cut down on its carbon footprint.
[00:16:03.668 --> 00:16:05.970]  He said it was an experiment and that it was successful.
[00:16:06.310 --> 00:16:10.895]  A lot of the parents and teachers were outraged, but I guess we can expect to see more of that
[00:16:11.335 --> 00:16:17.918]  Now, meanwhile, in Spain, toilet paper restrictions are imposed on school children under the latest austerity cuts.
[00:16:17.938 --> 00:16:31.724]  You notice how the stuff to save the environment is the same kind of things they do under austerity, just always giving you less, keeping you from being able to consume or do basic stuff like use toilet paper, the stuff that happens in communist countries.
[00:16:31.764 --> 00:16:40.408]  I've heard first-hand accounts in places like Cuba where you can't even buy toilet paper because of the way the country is controlled and the other issues there.
[00:16:40.888 --> 00:16:41.689]  Just disgusting.
[00:16:42.089 --> 00:16:54.542]  Firefighters watch as couple's home burns to the ground because they hadn't paid a $75 subscription fee that happened in Tennessee, but the mayor said there's no exceptions and they refused to put out the fire.
[00:16:54.582 --> 00:16:56.123]  I've heard other cases like this.
[00:16:57.573 --> 00:17:05.356]  The woman told local TV station WPSD 911 said the fire department were in fact dispatched and they showed that they were on the scene.
[00:17:05.716 --> 00:17:11.458]  You can look at my mom's trailer and see the truck sitting at a distance on the South Fulton Fire Department website.
[00:17:11.499 --> 00:17:22.483]  Their mission statement reads that the mission is to protect the lives and property of its citizens, but only if you pay the fee, and provide good public relations through fire safety education to all businesses and schools.
[00:17:23.483 --> 00:17:29.487]  Uh, and it goes on to describe how the home of Jean Kranick, who also lives outside the city limits, burned down last October.
[00:17:29.947 --> 00:17:34.790]  She had forgotten to pay the fee and begged the firemen with money to put out the fire, but they refused.
[00:17:34.830 --> 00:17:41.815]  Now why couldn't they just give some kind of punitive fee after the fact, rather than actually letting the home or trailer or whatever the case may be
[00:17:42.375 --> 00:18:06.903]  burned down seems a bit extreme uh... but then again if you look at the history of fire departments back in the roman days it was basically organized mafia where if you didn't pay the fee they would burn your house down on purpose uh... you probably also remember back in the early days of new york city depicted as depicted in gangs of new york uh... volunteer forces were a threat unto themselves while they posed as firefighters
[00:18:07.523 --> 00:18:15.989]  They allowed buildings to burn and firefighters recruited volunteers from street gangs who then brawled and beat up rivals in other companies rather than putting out the fire.
[00:18:16.009 --> 00:18:17.390]  I think we have a clip from that now.
[00:18:17.410 --> 00:18:25.797]  There were 37 amateur fire brigades and they all fought each other.
[00:18:34.300 --> 00:18:35.001]  OK, boys!
[00:18:35.102 --> 00:18:38.750]  Get the hose out!
[00:18:45.289 --> 00:18:45.970]  It's the best joke!
[00:18:45.990 --> 00:18:46.430]  Go get him, boys!
[00:18:46.470 --> 00:18:47.591]  Give those Bowery Boys hell!
[00:18:47.631 --> 00:18:49.153]  Back before there's nothing left!
[00:18:49.193 --> 00:18:50.114]  Go back to the Bowery, you fools!
[00:18:50.134 --> 00:18:51.455]  For God's sake, they're taking everything!
[00:18:51.475 --> 00:18:53.817]  In your next time of trouble, ma'am, call on Tammany first!
[00:18:53.837 --> 00:18:55.378]  It's not too late, you can still save my house!
[00:18:55.399 --> 00:18:55.439]  No!
[00:19:07.591 --> 00:19:17.296]  Now we have some breaking news coming up after this short break on Fast and Furious, but first I want to remind you we have a holiday special going on for PrisonPlanet.tv memberships.
[00:19:17.356 --> 00:19:23.159]  It's one of the best ways you can help fund this operation and get out our message to as many people as possible.
[00:19:23.499 --> 00:19:25.720]  We're trying to reach TV platforms and a whole lot more.
[00:19:26.080 --> 00:19:33.124]  You can get really good discounts on that, and there's another discount where you can get it with 18 packaged DVDs in the plastic wrap and everything.
[00:19:33.604 --> 00:19:42.368]  Perfect way to give presents this holiday season by giving information rather than plastic junk you get from somewhere that was made in China, blah, blah, blah.
[00:19:42.688 --> 00:19:45.230]  Anyway, $39.95 for the yearly subscription.
[00:19:45.250 --> 00:19:46.690]  You can share it with five people.
[00:19:47.331 --> 00:19:54.254]  $129.95 for the subscription that you could share with 18 DVDs you can give or watch yourself.
[00:19:54.694 --> 00:19:56.295]  So we'll be back after this break.
[00:19:56.335 --> 00:20:02.258]  Of course, we have an exclusive interview Alex did with Austin Police Chief Art Acevedo as well.
[00:20:02.298 --> 00:20:02.638]  Coming up.
[00:20:06.141 --> 00:20:08.102]  What's up with these sorry politicians?
[00:20:08.383 --> 00:20:09.043]  Lots of bark.
[00:20:09.163 --> 00:20:12.025]  When it's showtime, whimpering like little shih tzus.
[00:20:12.305 --> 00:20:13.466]  You want big cuts?
[00:20:13.766 --> 00:20:15.687]  Ron Paul's been screaming it for years.
[00:20:16.048 --> 00:20:16.788]  Budget crisis?
[00:20:17.008 --> 00:20:17.709]  No problem.
[00:20:17.909 --> 00:20:19.430]  Got a trillion bucks year one.
[00:20:19.650 --> 00:20:22.672]  That's trillion with a T. Department of Education?
[00:20:22.912 --> 00:20:23.333]  Gone.
[00:20:23.613 --> 00:20:24.153]  Interior?
[00:20:24.353 --> 00:20:24.713]  Energy?
[00:20:24.854 --> 00:20:25.174]  HUD?
[00:20:25.354 --> 00:20:25.754]  Commerce?
[00:20:25.974 --> 00:20:26.355]  Gone.
[00:20:26.735 --> 00:20:27.976]  Later bureaucrats.
[00:20:28.236 --> 00:20:30.077]  That's how Ron Paul rolls.
[00:20:30.497 --> 00:20:31.578]  Want to drain the swamp?
[00:20:31.938 --> 00:20:32.639]  Ron Paul.
[00:20:32.999 --> 00:20:33.379]  Do it.
[00:20:33.780 --> 00:20:35.721]  I'm Ron Paul and I approve this message.
[00:20:36.561 --> 00:20:42.986]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:20:43.286 --> 00:20:44.167]  We've got the new G.I.
[00:20:44.207 --> 00:20:46.148]  Joe InfoWars t-shirts.
[00:20:46.508 --> 00:20:52.632]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:20:53.193 --> 00:20:57.556]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:20:58.256 --> 00:21:02.199]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:21:02.859 --> 00:21:03.479]  It's all there.
[00:21:03.500 --> 00:21:04.160]  Wristbands.
[00:21:04.240 --> 00:21:05.241]  Citizen rule books.
[00:21:05.621 --> 00:21:06.341]  In every order.
[00:21:06.802 --> 00:21:09.524]  Order online at InfoWars.com today.
[00:21:09.784 --> 00:21:10.604]  The water filters.
[00:21:10.644 --> 00:21:11.425]  The canteens.
[00:21:12.105 --> 00:21:12.806]  It's all there.
[00:21:13.206 --> 00:21:14.087]  InfoWars.com.
[00:21:21.149 --> 00:21:23.630]  Aaron Dykes back on the InfoWars Nightly News.
[00:21:24.070 --> 00:21:27.371]  As I mentioned, we do have the Art Acevedo exclusive interview coming up.
[00:21:27.671 --> 00:21:29.191]  But first, we have breaking news.
[00:21:29.572 --> 00:21:35.633]  Paul Joseph Watson writes, confirmed ATF plotted to use Fast and Furious to demonize the Second Amendment.
[00:21:36.054 --> 00:21:39.214]  ATF created the problem so they could be the solution to it.
[00:21:39.595 --> 00:21:40.875]  The old Hegelian formula.
[00:21:41.295 --> 00:21:55.122]  As we postulated when the scandal broke, the Fast and Furious program that saw the same ATF deliver guns into the hands of Mexican drug gangs was admittedly exploited to demonize the Second Amendment and push new gun control regulations.
[00:21:55.563 --> 00:22:05.388]  Documents obtained by CBS News show the BATF discussed using their covert operation Fast and Furious to argue for controversial new rules about gun sales.
[00:22:05.728 --> 00:22:07.669]  And then we have those CBS documents now.
[00:22:09.947 --> 00:22:14.529]  Uh, where they discuss, uh, how they've uncovered, you know, the connection to these gun rules.
[00:22:14.969 --> 00:22:20.490]  Bill, you can see if these guns were all purchased from the same licensed gun dealer and at one time.
[00:22:20.810 --> 00:22:26.832]  We are looking at anecdotal gu- cases to support a demand letter on long gun multiple sales thanks.
[00:22:27.212 --> 00:22:28.693]  So, of course, they cannot
[00:22:29.173 --> 00:22:55.695]  demonize and do away with the second amendment all in one blow as it's a fundamental right number two in the list of bill of rights under the constitution not supposed to be violated under any conditions uh... yet they want to whittle away at it eroded uh... you know you saw where they tried to make the four border states comply with purchases of more than two guns uh... reporting you know a two-page sheet on all the buyers details meanwhile they knowingly
[00:22:56.075 --> 00:22:58.757]  Put the guns into the Mexican drug gangs' hands.
[00:22:58.857 --> 00:23:04.721]  They knowingly allow these cartels to ship in the drugs with cover and everything.
[00:23:04.781 --> 00:23:07.203]  Just disgusting what goes on in this government.
[00:23:07.543 --> 00:23:12.167]  And we knew all along they were using this to try to target the Second Amendment.
[00:23:12.467 --> 00:23:16.150]  There's Obama's quotes with the Brady campaign talking about
[00:23:17.301 --> 00:23:21.383]  You know, going after the Second Amendment by stealth and so forth and so on.
[00:23:21.724 --> 00:23:25.126]  We'll keep an eye on that and we'll of course have more information on it tomorrow.
[00:23:25.586 --> 00:23:27.527]  Alex will be back live on the radio.
[00:23:28.047 --> 00:23:41.816]  Meanwhile, the Saudi Prince has called for the Kingdom to acquire WMDs and moreover wants a unified armed force and defense structure for the entire Gulf Cooperation Council, which is pretty much the entire peninsula minus Yemen.
[00:23:42.336 --> 00:23:47.940]  Ben Turkey told his audience, why shouldn't we commence the building of a unified military force with a clear chain of command?
[00:23:48.281 --> 00:24:11.759]  But if our efforts and the efforts of the world community fail to bring about the dismantling of the Israeli arsenal of nuclear, chemical, and biological weapons, and from preventing Iran acquiring the same, then why shouldn't we at least seriously study all available options, including acquiring WMDs so our future generations will not blame us for neglecting any courses of action that will keep looming dangers away from us?
[00:24:13.019 --> 00:24:14.640]  That's somewhat sensible, I suppose.
[00:24:14.700 --> 00:24:16.101]  Everyone has a right to defense.
[00:24:16.861 --> 00:24:23.204]  Of course, we don't want to see the region go further into flames or escalate into a World War III scenario.
[00:24:23.545 --> 00:24:31.609]  Now, if we're going to go after Iran for developing nuclear energy, why don't we go after Bill Gates, who's going nuclear with China?
[00:24:32.569 --> 00:24:35.151]  And a new plan to use depleted uranium.
[00:24:35.511 --> 00:24:44.676]  His company, TerraPower, says its traveling wave reactor would run for decades on depleted uranium and produce significantly smaller amounts of nuclear waste than conventional reactors.
[00:24:45.016 --> 00:24:48.999]  All these new designs are going to be incredibly safe, Gates told the audience.
[00:24:49.319 --> 00:24:53.121]  They require no human action at all to remain safe at all times.
[00:24:53.561 --> 00:24:59.865]  So let's let a billionaire run free and unilaterally, you know, geoengineer the planet.
[00:25:00.725 --> 00:25:14.554]  Push GMO on Africa and all regions of the world, run a seed bank in the Arctic, and then sell nuclear power to China, stuff that wouldn't be legally allowed in the United States, and say, oh, I hope for the best, it's always going to be safe.
[00:25:15.034 --> 00:25:21.018]  Well, why don't we put sanctions on his foundation and his splinter companies and go after him instead of Iran?
[00:25:21.078 --> 00:25:24.781]  I'd be, well, I'd sleep better at night that way anyway.
[00:25:25.561 --> 00:25:32.505]  In other news, this was a few days ago, but we didn't cover it, how microchip jerseys are changing hockey fans' experience.
[00:25:33.005 --> 00:25:47.814]  This year, the Tampa Bay Lightning introduced a replica team jersey equipped with a radio frequency chip embedded in the sleeve that fans can scan at stadium stores to receive discounts on refreshments and team merchandise for all season ticket holders.
[00:25:48.174 --> 00:25:52.877]  The promotion has worked and helped spur a near two-fold increase in season ticket sales this year.
[00:25:53.953 --> 00:25:56.675]  The chip isn't the only difference in the new exclusive jerseys.
[00:25:57.036 --> 00:26:06.564]  They also have a patch identifying wearers as season ticket members and giving the most loyal fans the options to personalize their jerseys with custom names and numbers.
[00:26:07.005 --> 00:26:08.226]  Ooh, very trendy.
[00:26:08.786 --> 00:26:14.332]  Meanwhile, each chip also has a unique ID allowing the team to track who buys what.
[00:26:14.892 --> 00:26:15.693]  So there you have it.
[00:26:15.953 --> 00:26:19.735]  Once again, under the guise of bread and circuses, they bring in the police state.
[00:26:20.235 --> 00:26:21.556]  I guess, what else do you expect?
[00:26:21.616 --> 00:26:22.897]  It's all very trendy.
[00:26:22.917 --> 00:26:24.838]  Of course, that's how it's always been.
[00:26:25.419 --> 00:26:37.927]  Alex was reporting on the nightclubs and whatnot that were doing VIP RFID chips and playing it under the skin that people took voluntarily to get in the cooler parts of these clubs.
[00:26:38.447 --> 00:26:39.769]  Ooh, it's Glamorous!
[00:26:39.829 --> 00:26:42.513]  Sham press event to promote Glamorous Bee System.
[00:26:42.933 --> 00:26:45.797]  And Alex said it doesn't get any more bone-chilling than this.
[00:26:45.817 --> 00:26:49.502]  They're going to sell microchips as the ultimate in trendiness.
[00:26:49.963 --> 00:26:53.527]  And now we have the exclusive, very trendy, team jerseys.
[00:26:53.988 --> 00:26:55.209]  With the microchips in there.
[00:26:55.229 --> 00:26:56.770]  Nice graphic by the way.
[00:26:57.731 --> 00:27:04.556]  RFID gets under the skin from 2006, bringing up how access control and security systems.
[00:27:04.916 --> 00:27:08.779]  So the United States is behind in embracing the technology, not trendy enough.
[00:27:09.159 --> 00:27:18.745]  For example, workers at the Organized Crime Division of Mexico's Attorney General's Office in Mexico City used Verichip for access control to high-level security areas.
[00:27:19.146 --> 00:27:21.968]  Some 50 state employees had them implanted.
[00:27:22.388 --> 00:27:23.108]  Go figure.
[00:27:23.469 --> 00:27:27.151]  Meanwhile, another kind of futuristic thing has come home to roost.
[00:27:27.191 --> 00:27:31.574]  Gizmodo reports this man had his thumb replaced by his toe.
[00:27:32.094 --> 00:27:36.317]  The operation was a success, although he still can't fully move the thumb naturally.
[00:27:39.259 --> 00:27:39.660]  Yes, I am.
