[00:00:00.109 --> 00:00:00.990]  Well, so does he.
[00:10:12.488 --> 00:10:18.533]  And in fact, there's a new study that's just been put out by the US National Institutes of Health, the NIH.
[00:10:20.094 --> 00:10:42.579]  Which states, quote, nearly 25 years after the accident at the Chernobyl nuclear power plant in Ukraine, exposure to radioactive iodine-131 from fallout may be responsible for the thyroid cancers that are still occurring amongst people who lived in the Chernobyl area and were children or adolescents at the time of the accident.
[00:10:43.709 --> 00:10:58.344]  And so, just like the kids in Belarus who were told that splashing about in yellow radioactive puddles was perfectly safe because it was, quote, pollen, now we have Tokyo being bathed in this same yellow rain.
[00:10:59.445 --> 00:11:04.230]  And just like the victims of Chernobyl, they're being told the same thing, that it's pollen.
[00:11:05.211 --> 00:11:20.362]  Well, for their sake, I hope it is, but everything about this disaster, from the cover-ups about the safety of the plant before the disaster, to the ongoing deception about the radiation levels in surrounding areas.
[00:11:20.942 --> 00:11:27.427]  Remember, in the two prefectures surrounding Fukushima, they won't even divulge what the radiation levels are.
[00:11:29.048 --> 00:11:39.265]  It clearly indicates that they're not to be trusted, which is why people in Tokyo have emptied the shelves of bottled water even after the authorities said it was now safe to drink again.
[00:11:41.516 --> 00:11:53.850]  And again, the whole lack of trust only creates a vacuum that is then filled with alarm and panic, which is why we've been trying to get accurate information so people can make the right decisions.
[00:11:53.910 --> 00:12:00.118]  It's why we've been talking to people like Busby and Bowman on the Alex Jones Show over the past two weeks.
[00:12:01.718 --> 00:12:09.980]  But what really galls me is not just the likes of Ann Coulter claiming that, you know, radiation is nutritious.
[00:12:10.420 --> 00:12:24.183]  And again, the offer is still on the table, an all-expenses-paid trip to Fukushima for Ann Coulter, as she still thinks that, you know, radioactive iodine, caesium and plutonium are healthy and nutritious.
[00:12:24.223 --> 00:12:26.844]  The offer's on the table, not being accepted yet.
[00:12:28.164 --> 00:12:39.631]  But what gets me is the self-proclaimed environmentalists, the people who, you know, scream bloody murder all day long about man-made climate change devastating the planet.
[00:12:40.011 --> 00:12:51.258]  But then, when a real environmental catastrophe occurs, like plutonium releases that can make soil infertile for 24,000 years, something to be worried about, you'd think.
[00:12:52.259 --> 00:12:53.760]  You know, it's all fine and dandy.
[00:12:54.781 --> 00:12:58.384]  And it proves that they don't really give a damn about the environment.
[00:12:58.444 --> 00:13:10.372]  They're only interested in the environment when they can use it to demonize the likes of carbon dioxide emissions because they know it's the lifeblood of a free and prosperous society.
[00:13:12.233 --> 00:13:16.015]  Specifically, I'm talking about George Monbiot, who writes for The Guardian.
[00:13:16.315 --> 00:13:20.558]  Now, Monbiot is Britain's foremost eco-control freak.
[00:13:21.498 --> 00:13:32.025]  He's the environmentalist icon for a whole generation of deluded, ignorant leftists who think they're saving Mother Earth by picking up a copy of The Guardian and reading his article.
[00:13:33.723 --> 00:13:38.649]  And what did Monbiot write in The Guardian in response to the Fukushima disaster?
[00:13:38.910 --> 00:13:44.697]  He wrote a story entitled, Why Fukushima Made Me Stop Worrying and Love Nuclear Power.
[00:13:46.096 --> 00:13:54.980]  And in this article he says that critics of the nuclear industry have quote, wildly exaggerated the dangers of radioactive pollution.
[00:13:55.380 --> 00:14:04.944]  So this is a self-proclaimed environmentalist saying that radioactive pollution, which makes the soil infertile for 24,000 years, is nothing to worry about.
[00:14:09.256 --> 00:14:17.593]  And that quote is gonna come back to haunt him in light of the fact that we now have Reactor 3 spewing this, uh, MOX uranium plutonium mix.
[00:14:18.991 --> 00:14:21.213]  But here's another quote from the article.
[00:14:21.653 --> 00:14:26.336]  As a result of the disaster at Fukushima, I am no longer nuclear neutral.
[00:14:26.657 --> 00:14:29.699]  I now support the technology, writes Mombiot.
[00:14:31.000 --> 00:14:46.591]  So God forbid should anyone point out the dangers of, you know, catastrophes that can devastate whole regions, make them environmentally inhabitable for decades, radiation that causes nearly a million people to get cancer in the case of Chernobyl,
[00:14:47.652 --> 00:14:52.433]  And fertility rates in Europe plunging through the floor as a result of the fallout.
[00:14:53.513 --> 00:15:00.635]  No, according to Monbiot, the real threat is those smokestacks emitting the harmless life-giving gas CO2.
[00:15:02.215 --> 00:15:06.676]  So I ask Monbiot, how many people have coal plants killed?
[00:15:07.656 --> 00:15:15.138]  How many rivers and fields of coal plants turned into radioactive swamps as the regions around Chernobyl were in 1986?
[00:15:18.055 --> 00:15:39.975]  And yet here's Mombiot, you know, lauding the virtues of nutritious plutonium, like Ann Coulter, and saying that we need more of it, if only to stop the construction of those dastardly clean-burning coal plants that, God forbid, should allow the scum human population to keep their evil automobiles fuelled without going bankrupt.
[00:15:40.876 --> 00:15:43.478]  With the gas prices going through the roof because of oil.
[00:15:44.259 --> 00:15:51.906]  Going up day by day with the Obama administration's publicly admitted war on the nuclear, sorry, the coal plant industry.
[00:15:52.446 --> 00:15:59.052]  And of course the blackouts in recent months attributed to that in no small part.
[00:16:00.600 --> 00:16:18.633]  So, George Monbiot has basically confirmed his position as the ultimate eco-hypocrite and proved once again that these people don't give a damn about real environmental catastrophes if they can't exploit them for their own control freak ends.
[00:16:20.394 --> 00:16:29.301]  And you know, Monbiot is the same moron who claims that islands like Tuvulu are completely inhabited due to man-made climate change when
[00:16:30.578 --> 00:16:44.151]  You know, the real population in the case of Tavullo has doubled over the past three decades and yet you've got Mombiot and the likes of the UNIPCC claiming that they're completely deserted because the sea levels have overrun them.
[00:16:44.992 --> 00:16:47.695]  Again, a total pack of lies.
[00:16:49.056 --> 00:16:56.200]  When these people want to exploit something for their own agenda, it's a real environmental catastrophe, even if it's completely made up.
[00:16:56.861 --> 00:17:03.424]  But when there actually is a real environmental catastrophe, like Fukushima, they're not interested.
[00:17:03.545 --> 00:17:05.606]  And in fact, Monbiot is applauding it.
[00:17:05.626 --> 00:17:07.987]  He's saying, we need more Fukushima plants.
[00:17:08.487 --> 00:17:12.470]  We need more nutritious plutonium in the atmosphere.
[00:17:15.230 --> 00:17:33.504]  But we're going to get into that more in the next hour with Chris Busby and I'm going to try and get him to address Monbiot's article in the Guardian because I think Busby was in fact on the Green Party in Britain so he probably knows quite a bit about Monbiot so I'm going to try and get his reaction to that.
[00:17:35.233 --> 00:17:36.574]  But we need to move on now.
[00:17:37.014 --> 00:17:49.503]  We'll get back into Fukushima and talk about the attack on Libya and the ongoing globalist agenda to hijack revolutions so they can re-engineer the entire Middle East.
[00:17:49.784 --> 00:17:54.507]  And I want to take your calls on this also after the bottom of the hour, which we'll get to.
[00:17:55.828 --> 00:18:06.560]  Because now, of course, they've managed to con the world into accepting the lie that they're attacking Libya to protect, quote, protesters.
[00:18:07.461 --> 00:18:12.986]  Remember right at the start of this, the media called them protesters, which is funny because
[00:18:14.096 --> 00:18:20.500]  I can't really remember seeing too many protesters that drive tanks and fly fighter jets.
[00:18:20.560 --> 00:18:21.341]  I don't know about you.
[00:18:21.361 --> 00:18:25.564]  Not something I've seen quite often when there's a protest occurring.
[00:18:27.485 --> 00:18:35.611]  And naturally, of course, it has nothing whatsoever to do with the claims of protecting the people from the Gaddafi reign of terror.
[00:18:35.851 --> 00:18:38.453]  It's about supporting one side in a civil war.
[00:18:40.717 --> 00:18:43.819]  And it's got nothing to do with a humanitarian intervention.
[00:18:43.859 --> 00:18:50.464]  These are the same people that told us Q80 babies were being tossed out of incubators by Iraqi soldiers.
[00:18:51.721 --> 00:18:59.888]  These are the same people that told us Bosnians were being incarcerated in Serbian Nazi-style concentration camps.
[00:19:00.368 --> 00:19:06.353]  As we've proven, completely fraudulent, completely contrived, completely made up.
[00:19:06.773 --> 00:19:15.701]  But they always need an emotional trigger, a selling point, on which to base the foundation of any, quote, humanitarian war.
[00:19:17.554 --> 00:19:18.855]  But what's it really all about?
[00:19:19.696 --> 00:19:27.224]  It's about keeping the taps open for this wave of hijacked revolutions in the Middle East to continue to flood the region.
[00:19:27.304 --> 00:19:32.029]  And now we're seeing open calls for an attack on Syria.
[00:19:32.529 --> 00:19:36.814]  And we'll get into that after the break on the Alex Jones Show, live at PrisonPlanet.tv.
[00:19:36.894 --> 00:19:37.495]  Stay tuned.
[00:19:49.430 --> 00:19:50.997]  America, you've been warned.
[00:19:56.237 --> 00:19:58.218]  People shake the very foundations of our nation.
[00:19:58.418 --> 00:20:01.439]  We've told you about the video that details this shocking prediction.
[00:20:01.779 --> 00:20:05.241]  So far, over 6 million people have watched this free video online.
[00:20:05.461 --> 00:20:05.901]  Have you?
[00:20:06.281 --> 00:20:17.365]  Again, this big event has nothing to do with war or the stock market, yet it could change everything about your normal way of life, the way you shop, travel, invest, educate your children, and even how you take care of your health and your family.
[00:20:17.565 --> 00:20:18.586]  Could this really happen?
[00:20:18.746 --> 00:20:22.407]  Well, the man who created this video has been right about many predictions in his career.
[00:20:22.748 --> 00:20:23.948]  He was among the first to predict the
[00:20:30.503 --> 00:20:31.164]  We're good to go.
[00:20:49.289 --> 00:21:12.305]  Due to the extreme conditions from the Japanese earthquake and the fallout of depleted uranium, HempUSA.org recommends new important products that are loaded with iodine, micro plant powder, green life kelp powder, raw unprocessed red palm oil, and our 10% roll-on clear iodine that heals the skin and naturally puts iodine back into your entire body.
[00:21:12.485 --> 00:21:14.726]  Call 908-691-2608 or visit us at HempUSA.org today!
[00:21:18.649 --> 00:21:27.935]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:27.975 --> 00:21:28.716]  This capitalism?
[00:21:28.756 --> 00:21:34.920]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:35.040 --> 00:21:35.800]  Hi, Ted Anderson.
[00:21:35.840 --> 00:21:38.943]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:39.003 --> 00:21:39.903]  Call for your copy 800-686-2237.
[00:21:39.923 --> 00:21:41.284]  It's time to understand the system.
[00:21:41.324 --> 00:21:41.624]  Call 800-686-2237.
[00:21:41.664 --> 00:21:41.925]  That's 800-686-2237.
[00:21:48.809 --> 00:21:55.194]  Dr. David Barry has provided excellent advice for all those interested in practical economics and sound money.
[00:21:55.634 --> 00:21:56.955]  It's certainly worth reading.
[00:21:57.256 --> 00:22:05.142]  That's what Congressman Ron Paul said about Cha-Ching Wisdom, 123 Practical Universal Truths About Money, the new book by Dr. David Barry.
[00:22:05.322 --> 00:22:14.269]  The cool part of this book, certainly it'll speak to you personally, your life, your lifestyle, your money, your investments, but it also can be generalized into the nation, what's going on as a nation.
[00:22:14.329 --> 00:22:16.691]  We do these same things personally that we do as a nation.
[00:22:17.091 --> 00:22:26.779]  Dr. Barry's book, Cha-Ching Wisdom, presents many facets of your relationship with the once-almighty dollar and how current national and international politics affect your daily life.
[00:22:26.919 --> 00:22:28.540]  Some of the other things are about that.
[00:22:28.640 --> 00:22:31.182]  They're not just economic, they're philosophical.
[00:22:31.242 --> 00:22:32.903]  There's psychology involved in this book.
[00:22:32.923 --> 00:22:34.384]  There's philosophy involved in this book.
[00:22:34.585 --> 00:22:37.247]  Read Cha-Ching Wisdom by Dr. David Barry, only $9.95.
[00:22:38.367 --> 00:22:40.429]  Available at cha-chingwisdom.com.
[00:22:40.709 --> 00:22:44.612]  That's C-H-A-C-H-I-N-G-wisdom.com.
[00:22:45.053 --> 00:22:46.033]  cha-chingwisdom.com.
[00:22:49.304 --> 00:22:56.250]  The blistering anti-globalist and the cool-from-the-rock band, Ravel and Key.
[00:22:56.270 --> 00:23:00.813]  Back in Rome's half-dead tombs.
[00:23:00.853 --> 00:23:06.318]  Slaves who filled their teeth with their bones.
[00:23:07.278 --> 00:23:20.907]  Spring and a new growing season are here.
[00:23:21.168 --> 00:23:24.950]  Plant a healthy garden easy and fast with OrganicaSeed.com.
[00:23:25.230 --> 00:23:32.315]  Easy because OrganicaSeed.com offers one of the largest online selections of organic, heirloom, non-hybrid, and untreated seeds.
[00:23:32.555 --> 00:23:33.576]  This is the end
[00:24:03.956 --> 00:24:15.484]  We're back on the Alex Jones Show, Friday, March 25th, 2011.
[00:24:17.065 --> 00:24:20.247]  I'm Paul Joseph Watson, filling in for Alex today.
[00:24:20.407 --> 00:24:31.875]  And in the second half of the broadcast, you'll be able to see Mike Adams, the editor of NaturalNews.com, in studio, going through the latest health news, and of course, taking your calls.
[00:24:32.435 --> 00:24:38.700]  We'll also be taking your calls after the bottom of the hour at 800-259-9231.
[00:24:38.740 --> 00:24:39.620]  That's 800-259-9231.
[00:24:39.700 --> 00:24:52.269]  And of course, at the top of the hour, I'll be joined by Dr. Chris Busby, nuclear and radiation expert, to talk about the deepening crisis in Fukushima.
[00:24:54.784 --> 00:25:04.207]  If the globalists can't get this domino to drop in Libya, it's going to be a lot harder for them to overthrow the next Middle Eastern country.
[00:25:05.167 --> 00:25:09.408]  And now we know, of course, who the next target of this regime change will be.
[00:25:10.089 --> 00:25:10.969]  And it's Syria.
[00:25:11.449 --> 00:25:17.371]  US Defence Secretary Robert Gates, who, remember, days before the bombardment of Libya,
[00:25:17.831 --> 00:25:46.431]  was caught joking about the plan to attack the country on camera has now made it clear that Assad is the next target for the US military-industrial complex and of course as we know Syria has been one of the primary targets for regime change on behalf of the PNAC neocons for over a decade and now they're getting ready to exploit this wave of hijacked revolutions as their prime opportunity.
[00:25:47.452 --> 00:25:53.013]  Financial Times reports today, Gates calls for Syrian forces to move aside.
[00:25:53.693 --> 00:26:00.455]  Syria should follow Egypt's lead and the Syrian army should, quote, empower a revolution, Robert Gates, U.S.
[00:26:00.495 --> 00:26:05.116]  Secretary of Defense, argued, as thousands marched in a southern city.
[00:26:05.576 --> 00:26:09.136]  Mr. Gates made his comments some of the toughest remarks to date by a U.S.
[00:26:09.156 --> 00:26:16.538]  official about the rule of Bashar al-Assad, Syria's president, on a day of further upheaval in the Middle East and
[00:26:17.358 --> 00:26:17.819]  Beyond.
[00:26:17.919 --> 00:26:19.160]  So now we've got the U.S.
[00:26:19.200 --> 00:26:25.948]  Defense, that's Defense Secretary, calling for a revolution in a Middle Eastern country.
[00:26:27.031 --> 00:26:43.631]  Now, if you care to scratch one inch under the surface, just as happened with Egypt, the kind of people behind this latest faux revolution are the very same characters we saw getting rid of Mubarak there in Egypt.
[00:26:44.031 --> 00:26:46.955]  And we've got an article posted on PrisonPlanet.com today.
[00:26:48.325 --> 00:26:52.748]  by Tony Carthalucci, which goes through this in detail.
[00:26:52.928 --> 00:27:07.139]  And he writes, a prominent Syrian opposition figure says the country is, quote, a bomb ready to explode as protesters demand freedom and an end to President Bashir al-Assad's cancerous regime, reports Australia's ABC News.
[00:27:07.680 --> 00:27:15.866]  This prominent Syrian opposition figure is, quote, human rights activist Haitham Mali of the Human Rights Association of Syria.
[00:27:16.606 --> 00:27:18.787]  ...recently released from a Syrian prison.
[00:27:19.447 --> 00:27:31.830]  Haitham Malleh and Mohammed al-Hassani, another activist whose plight is being used to stir up unrest, both received pro bono legal services from the CFR-stacked Freedom Now organization.
[00:27:32.450 --> 00:27:41.572]  Freedom Now receives funding from the Mariah Fund, the Lantos Foundation, which includes Israeli President Shimon Peres, as an advisor.
[00:27:42.719 --> 00:27:52.327]  Real Networks Foundation, which also funds Democracy Now!, and the Charles Bronfman Prize, which proclaims on its website, quote, Jewish values, global impact.
[00:27:53.208 --> 00:27:53.828]  Freedom Now!
[00:27:53.908 --> 00:28:00.774]  also receives pro bono legal support from the Pillsbury law firm, a CFR corporate member.
[00:28:00.974 --> 00:28:11.363]  So once again, just as with Egypt, we see these Soros and Brzezinski and CFR-linked globalist foundations behind the so-called revolutionaries.
[00:28:12.648 --> 00:28:21.894]  As Cartalucci writes, once again we see an entire movement fermented and propelled by Western-backed opposition in tandem with a corporate-owned media.
[00:28:22.374 --> 00:28:28.598]  This is all part of the now irrefutable larger plot consuming the Middle East and Northern Africa.
[00:28:28.678 --> 00:28:32.221]  And speaking of Northern Africa, take Egypt for example.
[00:28:34.196 --> 00:28:39.538]  I mean, to suggest that there's been a revolution in Egypt is beyond comprehension.
[00:28:39.558 --> 00:28:41.319]  There's been no revolution whatsoever.
[00:28:41.759 --> 00:28:56.805]  You've got two presidential candidates waiting to take over, one of which is this Arab League yes-man, and the other of which is the ultimate globalist stooge linked with Brzezinski and Soros, ElBaradei.
[00:28:57.802 --> 00:29:05.461]  Meanwhile, the same army that backed Mubarak is still exercising ruthless control over the population with an iron fist.
[00:29:06.809 --> 00:29:08.069]  Where's the revolution?
[00:29:08.530 --> 00:29:24.114]  The post-revolution administration in Egypt that, you know, the globalists and the mass media are so enamored with, and they're upholding it as this glorious example for democracy in the rest of the Middle East, have just passed a law that makes protest illegal!
[00:29:24.314 --> 00:29:28.876]  And now they're beating and raping women protesters Abu Ghraib style!
[00:29:28.996 --> 00:29:32.397]  And the globalists and the mass media love it because that's how they roll.
[00:29:32.437 --> 00:29:35.678]  We'll be back after the break to talk more about it on the Alex Jones Show.
[00:29:39.332 --> 00:29:42.321]  We're on the march, the empire's on the run.
[00:29:42.341 --> 00:29:45.951]  Alex Jones and the GCN Radio Network.
[00:29:50.282 --> 00:29:56.945]  Alex has told you that the Mideast uprisings over food prices and shortages caused by fuel costs are spreading worldwide.
[00:29:57.305 --> 00:29:59.546]  We're seeing the impact right here in the United States.
