[00:00:22.076 --> 00:00:27.884]  Good evening and welcome to the Wednesday, December 28, 2011 edition of the InfoWars Nightly News.
[00:02:54.375 --> 00:03:04.942]  While Ron Paul has the solid voters, he has the independent and democratic voters who are going to vote in Iowa, he has the young voters, and he has that lead over Romney.
[00:03:05.382 --> 00:03:07.323]  But let's wait and see if they steal it from him.
[00:03:07.363 --> 00:03:11.326]  They've already laid their plans to ignore Iowa if Ron Paul wins.
[00:03:11.806 --> 00:03:15.429]  Surely they won't do that if Romney ends up winning, which is also a possibility.
[00:03:16.669 --> 00:03:18.630]  As artificial as he may be as a candidate.
[00:03:18.970 --> 00:03:25.033]  Meanwhile, even more serious news, Iran promises to close down oil route if sanctions imposed.
[00:03:25.773 --> 00:03:33.657]  For the second time in two days, Iran has threatened to shut down the Strait of Hormuz if new sanctions are imposed in response to its nuclear program.
[00:03:34.037 --> 00:03:40.300]  If they can impose sanctions on Iran's oil exports, then even one drop of oil cannot flow from the Strait of Hormuz.
[00:03:40.720 --> 00:03:45.962]  Rahimi said, of course, they're doing drills there now to do just that, and they've said it's very easy.
[00:03:46.342 --> 00:03:52.504]  The Strait of Hormuz is the only access point for eight Gulf Arab states producing oil for foreign markets.
[00:03:53.024 --> 00:03:57.286]  It's the world's most important oil choke point, according to the U.S.
[00:03:57.306 --> 00:04:02.447]  Department of Energy, and so that will just totally escalate things in World War III.
[00:04:02.807 --> 00:04:03.988]  That's, of course, if the U.S.
[00:04:04.028 --> 00:04:05.628]  goes through with sanctions as planned.
[00:04:06.349 --> 00:04:09.530]  In the weeks past, Paul Watson and many other reporters
[00:04:10.570 --> 00:04:26.483]  Uh, talked about how oil would skyrocket to three to even five hundred dollars a barrel if they close the straight of whore moves as Iran has routinely played on the card because they can't get a fair hearing in the world court system of public opinion.
[00:04:27.103 --> 00:04:27.963]  Seemingly, anyway.
[00:04:27.983 --> 00:04:29.504]  We'll keep an eye on that.
[00:04:29.584 --> 00:04:35.085]  Meanwhile, Montanans organized to remove senators who voted for Trader's Detainment Bill.
[00:04:35.465 --> 00:04:43.088]  There's a recall clause in Montana and I believe eight or nine other states, depending on exactly which details you look at.
[00:04:43.248 --> 00:04:54.611]  One thing is clear with the passage of the legislation, National Defense Authorization Act, it is those senators and congressmen who voted for its passage that are violating their oaths to support and protect the Constitution
[00:04:55.071 --> 00:04:55.251]  I think?
[00:05:16.738 --> 00:05:28.129]  We're just completely doing away with the 6th Amendment, the 5th Amendment, the 7th Amendment, the 8th Amendment, and continuing to damage the 4th Amendment as well, of course, along with any other amendment they can come across.
[00:05:28.509 --> 00:05:40.120]  Now while the Montana Constitution and those of other states allows for a recall to take place, there is some question about whether those powers will be recognized if taken to federal court because they're not
[00:05:40.740 --> 00:05:47.403]  Explicitly defined in the US Constitution, but of course all those powers are reserved to the states where they're not given to the federal powers.
[00:05:47.864 --> 00:06:02.171]  Other states who can also recall senators as well as congressmen who voted for the NDAA include Arizona, Colorado, Louisiana, Michigan, Nevada, North Dakota, Oregon, Wisconsin, and from what I looked at, it looked like Washington as well.
[00:06:02.771 --> 00:06:05.794]  New Jersey's on that list, but it was strucken down in New Jersey.
[00:06:06.234 --> 00:06:08.196]  Something to keep an eye on at any rate.
[00:06:08.216 --> 00:06:15.243]  A recall effort would send a clear message to Washington that the people are upset about what they've done.
[00:06:16.004 --> 00:06:17.885]  They know what's going on and they're not happy about it.
[00:06:18.266 --> 00:06:23.431]  So I think in that respect it's something worth supporting, whether or not it actually came into full fruition.
[00:06:24.972 --> 00:06:28.993]  You've heard about MF Global and the very controversial John Corzine.
[00:06:29.033 --> 00:06:31.253]  He was, of course, a Goldman Sachs executive.
[00:06:31.613 --> 00:06:37.834]  He was also a senator and governor in New Jersey, and we have more developments there.
[00:06:38.474 --> 00:06:52.277]  Of course, we have Vice President Joe Biden just in an absolute love fest of John Corzine, saying they were relying on him in the opening days of the Obama administration to fix the economy, even though their firm MF Global
[00:06:52.797 --> 00:07:01.559]  Before we were sworn in, when Barack Obama and I were literally sitting at a desk in a high-rise in Chicago, beginning to plan how we would try to get this economy out of a ditch, literally, the first guy I called was John Corzine.
[00:07:20.845 --> 00:07:21.825]  What do we talk about?
[00:07:21.845 --> 00:07:26.088]  The first question they want to raise with us is whether we might have to call a bank holiday.
[00:07:26.948 --> 00:07:28.009]  A bank holiday.
[00:07:28.649 --> 00:07:30.850]  On our, the day after we were sworn in.
[00:07:31.490 --> 00:07:36.613]  Ladies and gentlemen, the President and I weren't back there blaming John Corzine.
[00:07:36.633 --> 00:07:37.553]  They know what we were doing.
[00:07:37.953 --> 00:07:40.835]  We were on the phone calling John Corzine.
[00:07:42.335 --> 00:07:52.120]  Now it shouldn't be a big surprise that they were calling John Corzine to fix these problems since he was slated to be probably the next Secretary of the Treasury after Geithner.
[00:07:52.180 --> 00:07:56.182]  First they put in a Federal Reserve guy, then an out-and-out Goldman Sachs guy.
[00:07:56.222 --> 00:07:57.683]  It's all a close circle.
[00:07:58.463 --> 00:08:08.508]  But there's even more ties as the Washington Times exposes the MF Global Chief missing $1.2 billion, who is also a financial advisor to the EPA.
[00:08:08.528 --> 00:08:11.170]  Of course, the EPA has become very controversial
[00:08:11.550 --> 00:08:11.650]  For
[00:08:31.829 --> 00:08:36.532]  But at the head of that effort is Lisa Jackson, head of the EPA right now.
[00:08:36.612 --> 00:08:37.393]  Who was she?
[00:08:37.793 --> 00:08:41.876]  But chief of staff to John Corzine in New Jersey when he was governor.
[00:08:42.236 --> 00:08:46.179]  She was also the head of New Jersey's EPA at one point.
[00:08:46.599 --> 00:08:56.406]  And then this article brings up MF Global's current chief operating officer, Bradley Abelow, who was prior to Lisa Jackson,
[00:09:01.252 --> 00:09:16.290]  The Washington Times article gets into how Bradley Abelow has not disclosed and how they haven't asked questions about in Congress his ties to the EPA as the chief financial advisor
[00:09:16.770 --> 00:09:32.735]  He is the chairman of its financial advisory board and advises on the spending of $8.6 billion for this bloated government agency that looks for more and more money, how to tax Americans into oblivion through what I've already called economic sanctions.
[00:09:33.176 --> 00:09:39.998]  And then we have the quote here, even as he finds himself the public face of a bankruptcy, it admitted to lawmakers that he had no idea
[00:09:40.638 --> 00:09:42.279]  How client funds disappeared.
[00:09:42.620 --> 00:09:51.746]  Congress and the administration have voiced no public concern about Mr. Abelow's role advising the $8.6 billion government agency on its finances.
[00:09:52.647 --> 00:10:05.697]  But what's going on here, besides whether or not they ask questions to this Bradley Abelow, is why the Obama administration has not only the Chicago mob, but apparently this New Jersey and Goldman Sachs mob in its midst.
[00:10:06.037 --> 00:10:08.779]  Bradley Abelow is not only Chief of Staff
[00:10:09.259 --> 00:10:13.103]  For Governor John Corzine, he was also a top Goldman Sachs executive.
[00:10:13.163 --> 00:10:21.791]  Many people at the time questioned how he could even become the Chief of Staff as he had no relevant political experience but only banking experience.
[00:10:22.311 --> 00:10:27.916]  And now you see what happens when you put these financial firms in charge of the economy and what direction that goes.
[00:10:28.057 --> 00:10:32.561]  Interesting to see the EPA ties to MF Global come to a head.
[00:10:32.941 --> 00:10:41.579]  Between Lisa Jackson, currently in Obama's White House as EPA head administrator, and Bradley Abelow, now chief of MF Global that can't account for the money.
[00:10:42.981 --> 00:10:48.723]  Now, on a totally different subject, I've done a lot of eugenics research here with Alex.
[00:10:48.763 --> 00:11:00.067]  I've read literally hundreds of publications, looked at everything, and this is the first time I've ever seen in detail a single-page smoking gun document that just covers so much of it.
[00:11:00.408 --> 00:11:08.531]  Everything you've heard about ecoscience, which was published in 1977 from the White House, science advisor John P. Holdren,
[00:11:09.691 --> 00:11:10.231]  Yes, we are.
[00:11:26.698 --> 00:11:33.141]  The President of Planned Parenthood World Population, Frederick S. Jaffe.
[00:11:33.442 --> 00:11:38.604]  Jaffe's the one who wrote this memo and it outlines proposed measures to reduce U.S.
[00:11:38.664 --> 00:11:42.906]  fertility by universality or selectivity of impact.
[00:11:43.247 --> 00:11:45.488]  That means ways they're going to constrain the population.
[00:11:45.888 --> 00:12:09.710]  Now of course they've been doing this in third world countries for decades, but this key document came out only a couple years before they started arguing in 1971 for Roe vs. Wade, effectively legalizing abortion in this country, which would later become a tool to target particularly the black population, but also all kinds of Americans, now more than 50 million aborted babies in this country.
[00:12:10.370 --> 00:12:18.815]  Anyway, what's important in this document is how they specifically target the family and even talk about putting fertility control agents in the water supply.
[00:12:19.135 --> 00:12:25.639]  Why do we have all this BPA, all these pharmaceuticals, all these weird substances and the fluoride as well in the water?
[00:12:25.999 --> 00:12:35.004]  Why do we have all these bad chemicals in our food, all the genetically modified problems they know about but won't stop and keep pushing through with automatic regulation in the FDA?
[00:12:35.424 --> 00:12:37.606]  It's because they want to lower the population.
[00:12:37.906 --> 00:12:40.589]  They've been doing it across the country, across the world.
[00:12:40.649 --> 00:12:42.291]  Now they want to do it in this country.
[00:12:42.571 --> 00:12:44.253]  They've been doing it actively since 69.
[00:12:44.333 --> 00:12:52.300]  It talks about restructuring the family, getting people to postpone or avoid marriage, altering the image of the ideal size of family.
[00:12:52.320 --> 00:12:57.886]  It talks about compulsory education of children, encouragement of increased homosexuality.
[00:12:58.306 --> 00:12:59.006]  Right here on paper.
[00:12:59.046 --> 00:13:00.187]  I'm not making this up, people.
[00:13:00.687 --> 00:13:05.570]  Educate for Family Limitation Fertility Control Agents in Water Supply.
[00:13:05.590 --> 00:13:06.871]  It's right here on this memo.
[00:13:07.231 --> 00:13:12.214]  Came out in this Frederick Jaffe's papers while he was at Planned Parenthood years later.
[00:13:12.234 --> 00:13:15.396]  And it also encourages women to work.
[00:13:15.916 --> 00:13:20.500]  So they can't be at home taking care of their families and having more babies.
[00:13:20.660 --> 00:13:21.881]  Instead, they must go to work.
[00:13:22.201 --> 00:13:25.044]  But they're not going to treat those women well, according to this document.
[00:13:25.284 --> 00:13:31.249]  They're going to do everything they can to take away the tax incentives for married couples, for people with more than two children.
[00:13:31.649 --> 00:13:36.013]  It says right here, under a subject I don't even understand, chronic depression,
[00:13:36.773 --> 00:13:40.676]  It says, require women to work and provide few childcare facilities.
[00:13:41.096 --> 00:13:49.861]  Limit and eliminate public finance, medical care, scholarships, housings, loans, subsidies, everything for families with too many children.
[00:13:50.182 --> 00:14:01.389]  And it even talks about having permits to be allowed to have children, limiting childbirth to only a certain sector of adults, and compulsory abortion for out-of-wedlock pregnancies.
[00:14:01.769 --> 00:14:02.890]  Whether or not you think
[00:14:03.690 --> 00:14:08.057]  Some of these ideas individually might be advisable because you think there's too many people.
[00:14:08.457 --> 00:14:12.143]  This is draconian authoritarianism, and they tried to bring it to America.
[00:14:12.163 --> 00:14:13.985]  It was written about in Ecoscience.
[00:14:14.346 --> 00:14:19.173]  But, as I'm going to show you in these clips, it was practiced in countries including China.
[00:14:20.214 --> 00:14:23.897]  is the world model for the stuff that's on this document for the United States.
[00:14:24.198 --> 00:14:47.157]  Before they had the one-child policy, they had their family planning programs, which is part of the Worldwide Planned Parenthood group, advising people, encouraging them, using propaganda, loudspeakers, everything to get people to have first only two children, first to delay their marriage, but then as you see, later to only be allowed to have one child at the penalty of the police state's gun.
[00:14:48.017 --> 00:14:55.625]  Let's play some of those clips right now from the Barefoot Doctors of China in 1975, four years before the one-child policy.
[00:14:57.987 --> 00:15:03.192]  One of the most important aspects of China's family planning campaign is providing jobs for women.
[00:15:05.074 --> 00:15:08.617]  Women comprise 80% of the employees at this lock factory.
[00:15:10.458 --> 00:15:16.975]  The factory's barefoot doctors keep track of the women's menstrual cycles and deliver birth control pills at the proper time.
[00:15:16.995 --> 00:15:18.198]  Okay, stop it right there.
[00:15:19.488 --> 00:15:28.372]  So I just want to point out they have admitted they're encouraging women to work as a major plank of their family planning program and even regulating their menstrual cycles.
[00:15:29.112 --> 00:15:30.152]  We think this is okay.
[00:15:30.232 --> 00:15:32.593]  No, it's a scientific takeover of humanity.
[00:15:33.253 --> 00:15:36.355]  They're restricting the natural birth cycle of humans.
[00:15:36.715 --> 00:15:43.437]  Whether or not you think there's too many people or whatever, I don't think we want an authoritarian scientific dictatorship in charge.
[00:15:43.457 --> 00:15:44.618]  Let's go on with the clips, please.
[00:15:45.316 --> 00:15:48.377]  The government encourages late marriages and small families.
[00:15:48.397 --> 00:15:49.778]  There it is, from this document.
[00:15:50.118 --> 00:15:51.879]  Postpone or avoid marriage.
[00:15:52.319 --> 00:15:54.280]  Alter the image of the ideal family size.
[00:15:54.320 --> 00:15:55.040]  Keep going, please.
[00:15:57.141 --> 00:16:01.503]  Parents should have only two children, with a recommended spacing of four years.
[00:16:04.144 --> 00:16:05.105]  And these are short clips.
[00:16:05.145 --> 00:16:14.492]  We have longer ones posted on InfoWars, including in the article I wrote over the weekend, China's slave state where the family is outlawed and the rich breed in secret.
[00:16:14.832 --> 00:16:20.516]  That's right, in the one-child state, the rich are having test tube babies eight at a time in this particular case.
[00:16:20.937 --> 00:16:31.505]  But the bigger point here is that you've got this Planned Parenthood mechanism and the Rockefeller Foundation-funded Population Council producing these propaganda videos,
[00:16:32.105 --> 00:16:41.253]  And encouraging these publications where they're trying to brainwash the population into having fewer children and for the state to dictate how many children you could have.
[00:16:41.273 --> 00:16:41.893]  That's the key.
[00:16:41.953 --> 00:16:45.676]  The state is who decides what kind of family you should have.
[00:16:46.237 --> 00:16:55.164]  And that's why this is so alarming, especially when it comes to putting fertility control agents in the water supply and hormonally changing people, including
[00:16:55.965 --> 00:16:57.547]  Encouraging homosexuality?
[00:16:57.607 --> 00:17:06.857]  I mean, it's just nightmarish what this government and their related NGOs and the United Nations foundations like UNESCO think they can do to us.
[00:17:07.278 --> 00:17:08.679]  I know Alex has covered this in depth.
[00:17:08.759 --> 00:17:14.346]  I don't want to get too much into it, but this is a shocking document and you will find it at Infowars.com.
[00:17:14.366 --> 00:17:15.547]  We covered it in depth there.
[00:17:17.429 --> 00:17:21.510]  When we come back from break, we have that exclusive interview with Colonel Craig Roberts.
[00:17:21.850 --> 00:17:28.813]  It's going to be dynamite, but first we want to play a short clip from him in the film, A Noble Lie, on the Oklahoma City bombing of 1995.
[00:17:29.033 --> 00:17:31.653]  This is a powerful film.
[00:17:31.694 --> 00:17:32.754]  I've seen it for myself.
[00:17:33.194 --> 00:17:33.974]  I was blown away.
[00:17:34.034 --> 00:17:35.535]  I cannot recommend it enough.
[00:17:35.575 --> 00:17:40.436]  We have it here at InfoWars, but we've been selling out because people are so interested in this topic right now.
[00:17:41.176 --> 00:17:45.238]  So get it and share it with other people, then buy more copies to support the filmmakers.
[00:17:46.178 --> 00:17:47.499]  Again, that's at Infowars.com.
[00:17:47.539 --> 00:17:50.000]  Let's go to that clip of Colonel Craig Roberts right now.
[00:17:50.521 --> 00:17:57.585]  Day one, hour two of the bombing, the most significant event that happened is when they said they found other bombs in the building.
[00:17:57.625 --> 00:18:01.827]  The second most significant event was when they moved everybody back and held them back.
[00:18:02.127 --> 00:18:14.935]  There were still people alive trapped in the building, but they came in with two trucks and backed them up to the Murrah building and a bunch of these guys dressed in blue jackets with no letters on the back started taking boxes of files out and putting them on this truck.
[00:18:15.578 --> 00:18:21.361]  And it was during this time that early in the investigation that I started receiving some various phone calls.
[00:18:22.202 --> 00:18:24.923]  One of them was a phone call from Little Rock, Arkansas.
[00:18:25.404 --> 00:18:27.085]  The guy said that he was a federal agent.
[00:18:27.265 --> 00:18:28.686]  He was not an FBI agent.
[00:18:28.706 --> 00:18:30.227]  He was not ATF.
[00:18:30.407 --> 00:18:33.749]  But what he did say was, during their investigation of the Clintons,
[00:18:34.950 --> 00:18:49.302]  On all the drug running that went through Mena, Arkansas, and you know, Lassiter's Ranch, and all of that stuff that was going on at the time during our encontra, that those records, when Clinton went to Washington, were transferred from there to the Murrah Building.
[00:18:49.582 --> 00:18:55.067]  Of course, the other kill he's healed is the videotapes of the building itself from the different surveillance cameras that no one's seen.
[00:18:56.107 --> 00:19:01.512]  If McVeigh was Lee Harvey McVeigh all by himself, the lone nut with a truck,
[00:19:02.751 --> 00:19:05.193]  Then why don't they show us the videotapes of the truck?
[00:19:05.253 --> 00:19:06.634]  Show us the videotapes of him getting out.
[00:19:06.794 --> 00:19:08.215]  Or was there more than him in the truck?
[00:19:32.891 --> 00:19:35.074]  And support us and this broadcast.
[00:19:35.114 --> 00:19:36.216]  Help us get the word out.
[00:19:36.576 --> 00:19:37.518]  All at a discount.
[00:19:37.818 --> 00:19:40.662]  Our Christmas specials are still running, I think, to the end of the year.
[00:19:41.062 --> 00:19:43.926]  At any rate, they're active today, so help us out today.
[00:19:44.327 --> 00:19:45.048]  Get a membership.
[00:19:45.068 --> 00:19:47.271]  We'll be back in just a moment after this short break.
[00:19:52.182 --> 00:19:55.783]  We were brought up loving our country and our Constitution.
[00:19:55.803 --> 00:19:59.425]  That in the United States of America, we were free.
[00:20:00.545 --> 00:20:03.386]  And that's an attitude that we've tried to instill in our children.
[00:20:03.406 --> 00:20:07.088]  I met my wife while in the Air Force.
[00:20:07.188 --> 00:20:08.908]  I was a combat pilot in Vietnam.
[00:20:09.509 --> 00:20:11.309]  I served in Desert Storm as a commander.
[00:20:12.690 --> 00:20:16.371]  When I graduated from the Academy, I took the oath of office.
[00:20:17.271 --> 00:20:21.113]  And as a commander, I administered that oath to many people.
[00:20:23.490 --> 00:20:31.396]  Now I wonder about the understanding people have of our Constitution and I think about our candidates for President of the United States.
[00:20:33.358 --> 00:20:47.669]  It's interesting to see the support Ron Paul gets from the military and if we think back to the Code of Conduct and people raising their right hand that they were going to support and defend the Constitution of the United States.
[00:20:48.609 --> 00:20:49.750]  Why would those same people
[00:20:50.999 --> 00:20:53.444]  Support in great numbers on Paul.
[00:20:55.387 --> 00:20:59.274]  I think it's because they know that he supports the Constitution of the United States.
[00:21:00.247 --> 00:21:02.148]  It doesn't mean you have to go to war to do it.
[00:21:02.168 --> 00:21:05.329]  It means you have to understand what the Constitution is.
[00:21:06.249 --> 00:21:13.511]  And be a supporter inside of your own country, whether you're in the military or not, of that Constitution.
[00:21:13.851 --> 00:21:15.312]  And make the United States strong.
[00:21:16.412 --> 00:21:17.993]  And Ron Paul does that.
[00:21:18.533 --> 00:21:19.293]  That's his feeling.
[00:21:19.373 --> 00:21:20.113]  That's his thrust.
[00:21:20.833 --> 00:21:28.156]  And that's why if you look at the percentages that support him in the military, it's huge.
[00:21:29.136 --> 00:21:29.698]  Why is that?
[00:21:30.399 --> 00:21:31.943]  Because they've raised their right hands.
[00:21:32.384 --> 00:21:35.793]  And they're putting their lives on the line for us here in the United States.
[00:21:36.414 --> 00:21:38.078]  And they know that Ron Paul does the same.
[00:21:45.967 --> 00:21:47.970]  We are back on the InfoWars Nightly News.
[00:21:48.010 --> 00:21:51.916]  We are joined now by Colonel Craig Roberts as we showed you before the break.
[00:21:52.276 --> 00:21:58.726]  He appears in the film A Noble Lie, a wonderful expose of the Oklahoma City false flag bombing.
[00:21:59.046 --> 00:22:01.149]  He's a retired Tulsa police officer.
[00:22:01.570 --> 00:22:05.091]  He's on the Fugitive Squad, the Bomb Squad, the Police Helicopter Pilot.
[00:22:05.431 --> 00:22:14.293]  He's also an Army Intelligence Officer and a Marine Corps Sniper in Vietnam, as well as an author of numerous books and has worked in TV.
[00:22:14.753 --> 00:22:17.634]  He joins us now to talk about the Oklahoma City bombing.
[00:22:18.014 --> 00:22:19.034]  Thank you, Colonel Roberts.
[00:22:21.375 --> 00:22:22.115]  Glad to be with you.
[00:22:24.697 --> 00:22:36.788]  Now, for those who haven't seen the film, give us an overview of what this film covers, and as we talked about before this interview began, how there's so much more to the story than they could even put in this two-hour documentary.
[00:22:38.294 --> 00:22:43.279]  Well yeah, I spent eight years on the case myself.
[00:22:44.319 --> 00:22:53.187]  Six months while I was still a police officer and then after I retired I continued working on the case because there's just so much more out there that didn't come before the public.
[00:22:54.088 --> 00:22:56.270]  The media wouldn't bring it up, wouldn't touch it with a stick.
[00:22:57.211 --> 00:22:59.493]  We chased so many leads, so many different directions.
[00:22:59.613 --> 00:23:03.297]  We know that there's a lot more people involved than just McVeigh and Nichols.
[00:23:05.378 --> 00:23:19.547]  And basically the bottom line in the movie is Charles Key, the state representative from Oklahoma that was real involved in trying to get to the bottom of the bombing when it occurred back in 1995 and stayed with it for a while after that.
[00:23:20.427 --> 00:23:29.989]  And the Oklahoma Bombing Investigation Commission that was formed that had several different people involved in that working on the case, most of them civilians.
[00:23:32.570 --> 00:23:40.772]  The whole key there, the whole thing that they were trying to get out and put forth in the movie was proof that the government had foreknowledge that this was going to happen before it happened.
[00:23:40.792 --> 00:23:44.873]  There's so many things that led up to it that we found out later.
[00:23:45.933 --> 00:23:52.098]  Why was the the Oklahoma County Sheriff's Office bomb squad at the building at six o'clock in the morning with a bomb truck?
[00:23:52.638 --> 00:23:54.500]  Why were there dogs there searching the area?
[00:23:55.340 --> 00:24:00.784]  Why was the building staked out by the Sheriff's Office prior to the riders truck ever showing up?
[00:24:00.844 --> 00:24:04.487]  I've seen photographs of us from a stakeout camera.
[00:24:05.047 --> 00:24:12.012]  The front of the Murrah building where a UPS truck drives up just before nine o'clock in the morning right in front of the front door and they've got a picture of it.
[00:24:12.092 --> 00:24:14.294]  They're sitting there taking pictures of the building.
[00:24:15.054 --> 00:24:18.837]  UPS truck leaves and then of course the rider truck shows up a little bit later.
[00:24:20.578 --> 00:24:22.579]  So we know that that occurred at the time.
[00:24:23.600 --> 00:24:32.204]  We've got, you know, so many different eyewitnesses that saw Middle Easterners leave the front of the building that held the parking place for the Ryder truck so McVeigh could pull it up.
[00:24:33.204 --> 00:24:34.785]  And there was other people in the Ryder truck.
[00:24:34.825 --> 00:24:44.590]  How many we don't know because the FBI has never showed us any of the dozens of surveillance videotapes that were taken at the scene.
[00:24:45.010 --> 00:24:47.351]  You know, you look at the Kennedy assassination,
[00:24:48.191 --> 00:24:53.876]  And at least you've got the Zapruder film that, whether it's been doctored since then or not, is irrelevant.
[00:24:53.896 --> 00:24:55.597]  The problem is we've got the Zapruder film.
[00:24:55.637 --> 00:24:56.698]  It was released to the public.
[00:24:56.738 --> 00:25:05.024]  Anybody can watch it and see the assassination of John F. Kennedy, but yet we're not allowed to see any of the videotapes of the Oklahoma City bombing case.
[00:25:05.425 --> 00:25:12.050]  Now, if there's no others out there, if it was McVeigh and Nichols and the case is closed, then show us the tapes.
[00:25:12.310 --> 00:25:13.071]  What's the problem?
[00:25:13.131 --> 00:25:17.034]  That's the Achilles heel of the whole case right there is the videotapes.
[00:25:17.634 --> 00:25:28.477]  There are so many aspects to this case, so many facets that you can explore that just don't make sense, or they do make sense, and you can't do anything with them.
[00:25:29.258 --> 00:25:30.958]  Jayna Davis did a fantastic job.
[00:25:31.618 --> 00:25:35.620]  She was a reporter for KFOR down there on Channel 14 television news.
[00:25:36.600 --> 00:25:43.943]  And she was working on the Middle Eastern Connections, all of the different people involved that she had, you know, surveillance pictures of.
[00:25:44.003 --> 00:25:45.764]  She had their names.
[00:25:46.784 --> 00:25:49.485]  She knew where they came from, who they worked for, the whole bit.
[00:25:50.246 --> 00:25:51.786]  And she got depositions.
[00:25:51.826 --> 00:25:52.547]  She got everything.
[00:25:52.987 --> 00:25:54.567]  And she couldn't give it to the FBI.
[00:25:54.607 --> 00:25:59.589]  She couldn't make the Justice Department even take all the evidence that she collected in this case.
[00:26:00.330 --> 00:26:02.571]  You know, I give her a lot of credit for doing a lot of work on this.
[00:26:02.711 --> 00:26:04.391]  And she ended up losing her job over it.
[00:26:04.411 --> 00:26:05.452]  She did such a great job.
[00:26:06.192 --> 00:26:12.536]  That her station was bought out and she was fired just to shut her up.
[00:26:14.737 --> 00:26:28.146]  But going back to the beginning of this, Charles Key's objective in it, and especially the folks that put this documentary together, the thrust of it, the hook, is did the government have foreknowledge of this in advance?
[00:26:28.206 --> 00:26:29.267]  Could it have been stopped?
[00:26:29.667 --> 00:26:31.688]  Was it a sting operation gone awry?
[00:26:33.349 --> 00:26:34.250]  Who in the government knew?
[00:26:35.150 --> 00:26:36.151]  How much did they know?
[00:26:36.791 --> 00:26:37.632]  When did they know it?
[00:26:37.712 --> 00:26:39.172]  How far in advance did they know it?
[00:26:39.733 --> 00:26:45.676]  And when you start getting into those aspects of the film, you can see all of the stuff that was turned up, or at least a lot of it.
[00:26:45.696 --> 00:26:46.836]  There's just so much out there.
[00:26:46.876 --> 00:26:54.681]  I've got, when I retired, I had five boxes of files on just this case that went all kinds of different directions.
[00:26:55.601 --> 00:27:04.047]  So the documentary itself, which I was glad to help with, exposes so much that went on that was not in the mainstream news.
[00:27:04.308 --> 00:27:10.552]  In fact, I was assigned the case on the third day, on Friday of that week.
[00:27:10.592 --> 00:27:12.294]  It happened on a Wednesday, the 19th of April, 1995.
[00:27:13.074 --> 00:27:19.139]  And Friday afternoon, I was asked by the local officer of the FBI, through our chief's office, if I could help them.
[00:27:19.599 --> 00:27:24.302]  Because as an investigative journalist, besides being a police officer, I had a lot of contacts that they didn't have.
[00:27:25.183 --> 00:27:31.210]  And because they didn't have those contacts and couldn't get those contacts or even buy those contacts, they wanted me to see what I could find out about the case.
[00:27:31.270 --> 00:27:32.952]  Especially, who was McVeigh?
[00:27:32.972 --> 00:27:34.033]  Has he ever been to Oklahoma?
[00:27:34.073 --> 00:27:34.995]  If so, where has he been?
[00:27:35.055 --> 00:27:35.815]  Who does he talk to?
[00:27:35.876 --> 00:27:36.596]  And so on and so forth.
[00:27:37.357 --> 00:27:38.499]  But it got bigger than that.
[00:27:38.539 --> 00:27:39.400]  I'm kind of like a pit bull.
[00:27:39.460 --> 00:27:40.901]  Once I get on a case, I'm going to let go of it.
[00:27:41.969 --> 00:27:53.132]  And I started just going different directions all over the country with this case and finding out all kinds of things and ended up linking up with other investigative journalists and other police officers around the country and so on and so forth.
