[00:00:12.483 --> 00:00:15.364]  Hi, I'm Dr. Bob Bowman, Lieutenant Colonel, U.S.
[00:08:27.852 --> 00:08:30.594]  Qaddafi got the bomb, and I said no.
[00:08:31.134 --> 00:08:48.086]  If I was a terrorist or a rogue dictator and finally got my hands on enough plutonium to make a homemade bomb, the last thing in the world I would do would be to start a 15-year development program to build me an ICBM.
[00:08:48.746 --> 00:08:56.151]  I would just float that nuke up the Potomac on a barge or fly it into Red Square in a Cessna.
[00:08:57.423 --> 00:09:03.765]  Well, the whole audience, 4,000 physicians from around the world, erupted in laughter and applause.
[00:09:04.466 --> 00:09:10.848]  You see, at that moment, Matthias Roost's Cessna was sitting there in Red Square.
[00:09:11.755 --> 00:09:13.716]  We had watched it the night before.
[00:09:13.776 --> 00:09:16.337]  I was probably the first person in Moscow to see it coming.
[00:09:16.697 --> 00:09:22.740]  We watched it circle three times, trying to land, and then when people cleared out of the way, it finally landed in Red Square.
[00:09:23.641 --> 00:09:29.984]  And he stood there for half an hour signing autographs, waiting for the police to show up and arrest him.
[00:09:30.604 --> 00:09:33.866]  Later that evening, again this was the night before my
[00:09:35.089 --> 00:09:36.170]  Debate with Matlock.
[00:09:36.691 --> 00:09:45.459]  I was at the rooftop restaurant of the Rossiya Hotel overlooking Red Square and there was Matthias Ruhs Cessna still sitting there in Red Square.
[00:09:45.859 --> 00:09:49.843]  But in the background there were fireworks going off all around the city.
[00:09:50.423 --> 00:09:51.584]  It was Frontier Day.
[00:09:52.465 --> 00:09:56.589]  The Soviets were celebrating the vigilance of their border guards.
[00:09:58.106 --> 00:10:09.431]  So, you can understand where, when I talked the next day about just flying their nuke into Red Square in a Cessna, this was very interesting.
[00:10:09.711 --> 00:10:11.912]  It was even written up in the New Yorker magazine.
[00:10:13.573 --> 00:10:26.839]  So, Star Wars was the time I really came out against the establishment in a big way and became a full-time troublemaker and whistleblower.
[00:10:28.330 --> 00:10:30.071]  I'd had opportunities in the past.
[00:10:30.131 --> 00:10:40.014]  The first time I recognized that the government could lie to the American people was over the assassination of John F. Kennedy.
[00:10:40.034 --> 00:10:55.340]  I mean, I think that anyone who watches the film of Kennedy's head snapping back from the impact of the fatal shot and his wife climbing on the back of the car to retrieve parts of his skull
[00:10:58.393 --> 00:11:08.420]  For them to believe that the only shots came from behind from a lone gunman in the school book depository is ludicrous.
[00:11:09.260 --> 00:11:22.829]  Just as ludicrous as someone who hears the BBC broadcasting news of the collapse of Building 7 20 minutes before it happens.
[00:11:24.375 --> 00:11:37.422]  And seeing film of that building, 47-story building, coming down in what appears to be a perfect controlled demolition of an intact building with no visible fires.
[00:11:38.022 --> 00:11:45.046]  To see that and believe the Bush administration's official conspiracy theory about 9-11.
[00:11:46.387 --> 00:11:47.947]  The difference is that in 1963 we still had
[00:11:51.454 --> 00:11:57.980]  Some free press, and almost everyone alive at that time, heard about the grassy knoll.
[00:11:59.482 --> 00:12:12.174]  But by 2001, the corporate monopoly media was tied as a drum, and almost no one has heard of Building 7, much less
[00:12:15.490 --> 00:12:25.055]  Seen videos of it that absolutely prove that the stories we have been told by our government are out-and-out lies and physical impossibilities.
[00:12:25.996 --> 00:12:27.397]  We're in a situation now where
[00:12:45.089 --> 00:12:52.012]  Most of the American people have been hoodwinked by the big lies of our government.
[00:12:53.452 --> 00:13:00.675]  And a great many people who actually work in the government are likewise hoodwinked by those big lies.
[00:13:01.175 --> 00:13:04.596]  Some of the people who tell those lies even believe in them.
[00:13:06.057 --> 00:13:14.000]  Well, it's time that those of us who know the truth speak it out frequently and loudly
[00:13:15.054 --> 00:13:36.145]  We must convince the American people and people in our government and even the President of the United States that these lies and the evil deeds which flow from them are destroying this nation and that they must rise up.
[00:13:36.686 --> 00:13:39.988]  All of us must rise up as one and say no.
[00:13:41.670 --> 00:13:59.663]  No to the lies, no to the myths, no to the evil actions, no to the Patriot Act, no to the wars of aggression, and no to taking away our liberties given us in the Constitution.
[00:14:00.944 --> 00:14:11.211]  We must tell the truth, because only the truth can preserve this nation and restore our freedom.
[00:14:13.049 --> 00:14:37.097]  Now, having fought Star Wars for so many years and having succeeded in keeping weapons out of space, I've been very, very concerned about the expansion of so-called missile defense into Eastern Europe, encircling the Soviet Union, or what is now Russia.
[00:14:38.598 --> 00:14:41.879]  Missiles in Poland, radars in Czechoslovakia,
[00:14:43.655 --> 00:14:55.300]  These, I don't believe, have a legitimate purpose in protecting Europe or anybody else from nuclear missiles from Iran.
[00:14:58.082 --> 00:15:09.447]  Russia, as bad as they are now, having backslidden from democracy, they have a legitimate concern
[00:15:10.726 --> 00:15:13.627]  About those missiles in Poland.
[00:15:15.387 --> 00:15:39.973]  And my hope is that Obama, who so far is letting this lunacy continue, will, and I've heard he's going to review the policy, and I certainly hope he does, because there are much better and cheaper ways and less threatening ways of defending against nukes from Iran.
[00:15:41.147 --> 00:15:49.411]  And I hope that Obama's review scuttles the missiles in Poland and the radar in Czechoslovakia.
[00:15:49.991 --> 00:16:02.158]  Yeah, I know, we've promised those countries money, we've given all sorts of stuff to them in order to be able to deploy those weapons.
[00:16:02.938 --> 00:16:08.621]  Well, give them the money, but don't deploy the weapons, because they make
[00:16:09.665 --> 00:16:18.910]  Nuclear war more likely and they do not promote our national security.
[00:16:19.691 --> 00:16:24.974]  Now many who voted for Obama are shocked and saddened by what is going on now.
[00:16:26.915 --> 00:16:30.157]  I'm not surprised because we knew
[00:16:31.328 --> 00:16:39.472]  Before Obama was elected, that his mentor, his foreign policy advisor, was Zbigniew Brzezinski.
[00:16:40.532 --> 00:16:50.457]  Someone who comes from the old Chicago school that Brzezinski and Kissinger and all those folks had an inside track to Obama's ear.
[00:16:51.618 --> 00:16:56.120]  And so it isn't surprising that the chess game
[00:16:57.168 --> 00:17:05.592]  That Obama is playing is carrying out what Brzezinski wrote about years and years ago.
[00:17:06.793 --> 00:17:21.700]  We need to, again, reach out to Obama and certainly to our so-called representatives in Congress, who unfortunately don't represent us but the big money interests that feed them.
[00:17:23.160 --> 00:17:24.221]  We must reach out
[00:17:25.798 --> 00:17:27.899]  and say no to this chess game.
[00:17:29.420 --> 00:17:31.441]  It is dangerous.
[00:17:33.202 --> 00:17:35.443]  It doesn't promote our security.
[00:17:36.444 --> 00:17:37.844]  It weakens it.
[00:17:39.285 --> 00:17:46.389]  And it is only designed to support imperial aims.
[00:17:47.259 --> 00:17:52.760]  And those imperial aims are not for the United States of America.
[00:17:53.340 --> 00:18:06.043]  They are using the United States of America to promote an imperialism of these global elites, multinational corporations, and banks.
[00:18:07.443 --> 00:18:16.765]  We don't want to live under a world government of the corporations, by the corporations, and for the corporations.
[00:18:18.271 --> 00:18:39.143]  The United States must return to a constitutional foreign policy, where we seek not to be king of the hill, nor subservient to the World Trade Organization, but simply seek to be a sovereign, responsible member of the family of nations.
[00:18:39.543 --> 00:18:41.965]  Nothing more, and nothing less.
[00:18:43.826 --> 00:18:45.727]  When I ran for president in 2006, I discovered
[00:18:47.802 --> 00:18:55.207]  That there was not much difference between conservative Republicans and liberal Democrats.
[00:18:55.927 --> 00:19:04.633]  That those on the far left and the far right had the same concerns, the same issues, the same problems with our government.
[00:19:05.514 --> 00:19:10.977]  Both love our country but fear our government, with good reason.
[00:19:13.219 --> 00:19:16.461]  Sometimes the left and the right use different language to
[00:19:17.861 --> 00:19:19.162]  Discuss the same things.
[00:19:20.924 --> 00:19:21.925]  But we're one people.
[00:19:23.266 --> 00:19:30.253]  And we need to understand that we have been artificially divided for far too long.
[00:19:31.014 --> 00:19:39.222]  The global elites have divided us into Democrat and Republican, left and right, conservative and liberal.
[00:19:40.902 --> 00:19:48.147]  They have divided us with hot button issues like abortion and gay rights and gun control and prayer in schools.
[00:19:50.088 --> 00:19:58.134]  And by doing so, they have given us, the electorate, the illusion that we have a choice.
[00:19:59.455 --> 00:20:00.536]  When in reality,
[00:20:01.448 --> 00:20:07.611]  Both the Republican and Democratic parties are owned by the same global elites.
[00:20:08.452 --> 00:20:14.735]  And on issues that matter to those global elites, they act as one.
[00:20:18.457 --> 00:20:26.842]  When it comes to conducting a war of aggression for an oil pipeline,
[00:20:28.404 --> 00:20:31.207]  There's no difference between Democrat and Republican.
[00:20:31.807 --> 00:20:44.219]  When it comes to signing a trade deal to drive down wages and increase profits of the corporations, there's no difference between Republican and Democrat.
[00:20:44.299 --> 00:20:52.888]  Remember, it was Bill Clinton who gave us NAFTA, and it was Al Gore, the hero of the environmental movement,
[00:20:53.885 --> 00:21:01.486]  Who was the hatchet man for the Clinton administration to cram NAFTA down the throats of a reluctant Congress.
[00:21:04.047 --> 00:21:06.607]  This is not a party issue.
[00:21:07.867 --> 00:21:10.108]  This is not a left-right issue.
[00:21:11.248 --> 00:21:16.189]  The question is not, should we have big government or little government?
[00:21:17.109 --> 00:21:20.389]  The question is, who should government serve?
[00:21:21.930 --> 00:21:23.290]  And it should serve the people.
[00:21:24.500 --> 00:21:26.020]  And it hasn't been doing it.
[00:21:26.801 --> 00:21:28.541]  And it still isn't doing it.
[00:21:29.181 --> 00:21:35.383]  And changing from Republican to Democrat or Democrat to Republican is not going to change that.
[00:21:37.584 --> 00:21:43.345]  The only thing that will change that is the American people understanding the truth.
[00:21:44.686 --> 00:21:46.706]  Understanding what's happened to them.
[00:21:47.306 --> 00:21:52.348]  Understanding that their wages now are a third of what they were in the 1950s.
[00:21:55.026 --> 00:22:06.131]  Understanding that they have been stolen from massively, not by the government in taxes, but by the corporations with overhead and profits.
[00:22:07.112 --> 00:22:15.976]  The overhead and profits that the corporation makes on the back of workers is about 200 times what the government takes in taxes.
[00:22:17.617 --> 00:22:23.480]  And the American people, having been educated as to the truth,
[00:22:24.315 --> 00:22:29.217]  The enemy we face is not a Democratic president or a Republican president.
[00:22:53.374 --> 00:22:57.297]  It's a global conspiracy.
[00:22:57.837 --> 00:22:58.978]  Yes, a conspiracy.
[00:22:59.678 --> 00:23:09.285]  Whenever more than two people get together to plan evil, illegal deeds, it is a conspiracy.
[00:23:09.325 --> 00:23:10.386]  And that's what we're facing.
[00:23:12.787 --> 00:23:22.454]  At the top of this conspiracy are a handful of ultra-wealthy multi-billionaires in the world.
[00:23:24.821 --> 00:23:29.725]  Some of them have been conspiring for more than a century.
[00:23:31.746 --> 00:23:47.819]  Their tools are the Council on Foreign Relations, the Bilderbergers, the Trilateral Commission, and they have tools in other countries as well.
[00:23:50.161 --> 00:23:52.302]  And then, of course, there are
[00:23:53.362 --> 00:24:02.804]  Thousands of think tanks and entities which serve their purposes.
[00:24:04.485 --> 00:24:14.327]  Their ultimate goal is to get all power unto themselves and to enrich themselves
[00:24:15.578 --> 00:24:16.698]  Beyond all reason.
[00:24:16.778 --> 00:24:25.300]  Well, most of them are already wealthy beyond all reason, but the more wealth you get, it seems, the more you want.
[00:24:25.460 --> 00:24:27.760]  And they're never satisfied.
[00:24:28.020 --> 00:24:28.861]  They want more.
[00:24:29.781 --> 00:24:31.681]  More wealth and more power.
[00:24:32.981 --> 00:24:40.943]  And this drive causes them to want absolute control over us, the people.
[00:24:43.328 --> 00:24:46.230]  That's not what America was founded to be.
[00:24:47.090 --> 00:24:52.593]  We were founded to be a government where the people are sovereign.
[00:24:54.214 --> 00:24:56.355]  And we must be that again.
[00:24:56.375 --> 00:25:10.864]  There's been a dangerous trend lately of the government co-opting churches and their clergy and using them to push their nefarious schemes to
[00:25:12.132 --> 00:25:17.638]  Round up the American people, especially us dissenters, and get rid of us.
[00:25:20.041 --> 00:25:27.730]  What the clergy needs to do is to tell their people
[00:25:29.062 --> 00:25:31.263]  Number one, about the nonviolent Jesus.
[00:25:31.763 --> 00:25:45.168]  And if they just can't bring themselves to preach nonviolence, at least teach them the just war principles, which have been violated in every one of our conflicts through our lifetimes.
[00:25:47.669 --> 00:25:56.233]  And tell your people that participation in wars which do not follow the just war principles
[00:25:58.669 --> 00:26:07.714]  are sinful and immoral, and every bullet they fire is another nail in the body of Jesus.
[00:26:08.194 --> 00:26:16.818]  If you can't tell your people that, why don't you just take off your collar, put down your Bible, and get an honest job?
[00:26:18.219 --> 00:26:26.183]  The Constitution, and in particular the First Amendment, is the source of what we now call separation of church and state.
[00:26:27.722 --> 00:26:36.248]  It means that the state doesn't mess with the churches and the churches don't mess with the state.
[00:26:37.749 --> 00:26:49.958]  As 501c3s, churches may not come out in favor or against particular candidates for office or particular pieces of legislation.
[00:26:50.378 --> 00:26:53.080]  They can't tell their people, vote against bill number so-and-so.
[00:26:54.701 --> 00:26:55.622]  At the same time,
[00:26:57.418 --> 00:27:11.122]  The government must not use the churches to set forth their nefarious schemes of control.
[00:27:12.202 --> 00:27:15.963]  This is totally against the First Amendment to the Constitution.
[00:27:17.024 --> 00:27:22.265]  All too often, we, the people, have been allowed ourselves to be manipulated by fear.
[00:27:23.486 --> 00:27:24.646]  Fear of terrorism,
[00:27:25.865 --> 00:27:27.646]  Fear of economic collapse.
[00:27:28.686 --> 00:27:30.647]  Fear of swine flu, for goodness sakes.
[00:27:32.248 --> 00:27:39.251]  And they have things that they want to feed us to cure these ills.
[00:27:40.432 --> 00:27:42.613]  And, of course, this means more control.
[00:27:44.453 --> 00:27:50.236]  We see in their solutions some horrible things.
[00:27:53.479 --> 00:28:00.461]  Complete takeover of agriculture by Archer Daniels, Midland and Monsanto, for example.
[00:28:02.381 --> 00:28:15.904]  In their food safety regulations, which they want passed, they're going to practically eliminate the family farmer.
[00:28:17.541 --> 00:28:30.475]  And when it comes to animals, livestock, even pets, they want a national ID for all of those animals.
[00:28:31.336 --> 00:28:33.439]  And they want a small farmer
[00:28:34.500 --> 00:28:39.083]  Who takes a cow or a pig to the county fair to show him.
[00:28:39.663 --> 00:28:44.527]  They have to fill out paperwork every time one of their animals leaves their property.
[00:28:46.148 --> 00:28:48.269]  They want to mate with the bull next door.
[00:28:48.729 --> 00:28:50.631]  Gotta report it to the federal government.
[00:28:51.951 --> 00:29:02.258]  They're making it impossible for small farmers to obey the rules and to own any livestock.
[00:29:04.235 --> 00:29:17.307]  It's interesting, the big growers, the big livestock raisers, like Tyson Chicken, for example, are totally exempt from these new regulations.
[00:29:19.529 --> 00:29:31.279]  We must educate the people so that the people just pound the members of Congress until we get this kind of stuff killed.
[00:29:32.748 --> 00:29:45.236]  We can't afford to have the government and the giant agribusiness corporations taking over and eliminating all competition.
[00:29:46.697 --> 00:29:55.122]  One of the things Monsanto wants, and is very near to getting, is a global monopoly on seeds.
[00:29:57.624 --> 00:29:59.005]  If we allow them
[00:30:00.851 --> 00:30:20.128]  To make it impossible for farmers to keep their own seeds and reuse seeds year after year because they're fertile and have to use Monsanto's Terminator seeds, which have no offspring.
[00:30:22.970 --> 00:30:25.453]  Then Monsanto rules
[00:30:26.943 --> 00:30:28.264]  The world's food supply.
[00:30:29.025 --> 00:30:43.935]  This is just one example of the ways in which this New World Order is designed to create corporate monopolies in food, in water, in energy.
[00:30:43.955 --> 00:30:46.637]  You name it, they want it.
[00:30:47.918 --> 00:30:53.983]  And if we allow them to have it, they have absolute power over our lives.
[00:30:56.002 --> 00:31:12.274]  I don't know how we're going to do it, but short of squirreling away a few live seeds, retreating to a mountaintop, and barricading yourself from the rest of the world, growing your own food,
[00:31:13.289 --> 00:31:14.870]  Generating your own energy.
[00:31:15.431 --> 00:31:18.613]  And believe me, we've considered that for our family.
[00:31:19.294 --> 00:31:31.444]  Short of that, the only other option is to defeat these global elites, to prevent them getting these monopolies, and to return power to the people.
[00:31:32.525 --> 00:31:33.726]  I've got a large family.
[00:31:33.826 --> 00:31:37.248]  Seven children, 21 grandchildren, four great-grandchildren.
[00:31:38.329 --> 00:31:41.552]  My wife keeps talking about having a retreat that we can
[00:31:42.369 --> 00:31:51.355]  Bring them all to where they'll be safe and where we'll have our own water supply and grow our own food and generate our own energy with windmills.
[00:31:52.256 --> 00:31:53.016]  It sounds great.
[00:31:54.397 --> 00:32:06.566]  But if that's what we all do, we abdicate all power to these elites and they'll eventually come get us.
[00:32:08.936 --> 00:32:09.836]  We can't do that.
[00:32:10.257 --> 00:32:12.177]  We can't give up on America.
[00:32:12.698 --> 00:32:15.179]  We can't give up on the Constitution.
[00:32:15.599 --> 00:32:17.400]  We can't give up on the truth.
[00:32:17.820 --> 00:32:21.522]  We must come together and win this battle.
[00:32:22.482 --> 00:32:24.623]  We the people can win.
[00:32:26.124 --> 00:32:28.245]  We the people must win.
[00:32:30.506 --> 00:32:35.548]  Banning into space a layered defense to protect the country from nuclear devastation.
[00:32:37.000 --> 00:32:37.301]  U.S.
[00:32:37.321 --> 00:32:39.845]  spy satellites would watch the world below.
[00:32:40.707 --> 00:32:42.851]  Detect Soviet missiles blasting off.
[00:32:43.812 --> 00:32:46.357]  Compute the position and speed of each missile.
[00:32:46.978 --> 00:32:49.683]  Alert battle stations in space, on Earth.
