[00:00:03.302 --> 00:00:04.002]  I'm Chuck Baldwin.
[00:03:33.943 --> 00:03:36.244]  And, of course, that's something that I would never do.
[00:03:36.284 --> 00:03:51.729]  In fact, when I found out about it, I told my church here in Pensacola that not only would I never encourage them to give up their firearms, I would instead encourage them to go buy one if they didn't have one, and buy more if they already had one.
[00:03:51.809 --> 00:04:02.033]  So, obviously, I have not received a personal invitation to one of these seminars, but I certainly have understood and believe that they do exist and are continuing.
[00:04:03.517 --> 00:04:11.723]  We know that since the National Security Act was passed back in 1947, we've had black budgets and unaccountable CIA and other activity.
[00:04:12.363 --> 00:04:24.712]  And earlier this year, the Washington Post reported that in top secret USA, we now have more than 800,000 people working under national security clearance, basically totally untrackable,
[00:04:25.165 --> 00:04:29.187]  Could you speak to that and how we should address accountability in government?
[00:04:29.567 --> 00:04:31.208]  I wrote a column on that as a matter of fact.
[00:04:32.449 --> 00:04:38.592]  And I think my good friend Joel Skousen over in Utah has done some really great research into that as well.
[00:04:39.392 --> 00:04:47.356]  It's really unbelievable that this kind of dark operation would be taking place behind the scenes.
[00:04:48.116 --> 00:04:49.797]  We have many good federal agents
[00:04:50.290 --> 00:05:09.427]  In every level of government and every agency that have no idea whatsoever that these dark operations are going on behind the scenes and out of view, many times illegally, unlawfully, unconstitutionally, and almost always surreptitiously.
[00:05:10.328 --> 00:05:18.397]  So, and I've talked to federal agents myself who have indicated some of the things that they've seen and are very concerned about.
[00:05:18.998 --> 00:05:27.147]  There's no question that these rogue elements are in existence behind the scenes within our federal government.
[00:05:28.464 --> 00:05:35.707]  You know, I think the Founding Fathers tried to avert this kind of a thing as best they could by the way they established this form of government.
[00:05:35.747 --> 00:05:40.109]  For example, we have three equal branches of government within the federal government.
[00:05:40.169 --> 00:05:42.630]  Each was designed to be a check and balance against the other.
[00:05:43.670 --> 00:05:46.973]  Obviously, for the last several decades, that check and balance has not worked.
[00:05:47.773 --> 00:05:56.381]  Beyond that, they incorporated into the Bill of Rights the Second Amendment, which gives the right of the people to defend themselves against tyrannical government.
[00:05:56.461 --> 00:06:00.084]  And the Second Amendment was never about duck hunting or target shooting.
[00:06:00.484 --> 00:06:06.709]  It was always about the right of the people to defend themselves against tyrannical government within their own country.
[00:06:07.373 --> 00:06:22.661]  But then they also, I think, very brilliantly incorporated something that's never really been tried before in the annals of human government, and that is the principle of federalism, which means you have two existing authorities and jurisdictions operating side by side.
[00:06:23.081 --> 00:06:26.102]  You have the federal central government and you have state government.
[00:06:26.322 --> 00:06:29.204]  Each has its own sphere of authority and jurisdiction.
[00:06:29.964 --> 00:06:43.310]  And because of that, we have states, especially certain states, that see what's happening, many times, and the usurpation of constitutional jurisdiction, and they're beginning to rise up.
[00:06:44.270 --> 00:06:49.132]  We've got the Montana Firearms Freedom Act, and the Tennessee Firearms Freedom Act, we've got Arizona,
[00:06:49.672 --> 00:06:51.854]  Fighting the federal government over illegal immigration.
[00:06:52.675 --> 00:06:58.040]  There are some 20 states that are in lawsuit right now against the federal government over the Obamacare plan, etc, etc.
[00:06:58.641 --> 00:07:12.914]  So I really believe that the future hope for America in terms of freedom and liberty is going to be in those states that are willing to stand for their own authority and jurisdiction as prescribed by the Constitution.
[00:07:14.248 --> 00:07:21.614]  The Anti-Federalists obviously were not in favor of the newly proposed Constitution at all.
[00:07:22.535 --> 00:07:27.499]  And they felt that it was actually worse than the Articles of Confederation, which it replaced.
[00:07:28.263 --> 00:07:38.727]  And without the implementation of the Bill of Rights, the first ten articles, there's no question that the Constitution would not have passed in the state legislatures.
[00:07:39.307 --> 00:07:41.468]  And there would not be a Constitution as we know it today.
[00:07:42.368 --> 00:07:44.069]  The Bill of Rights was absolutely critical
[00:07:44.722 --> 00:07:48.803]  Essential to the adoption of the Constitution.
[00:07:50.123 --> 00:07:57.445]  And the states obviously did not, at that point in time in 1787, give up their own personal sovereignty.
[00:07:57.565 --> 00:07:59.965]  And that's the thing that so many people have forgotten.
[00:08:00.025 --> 00:08:03.166]  The states created the federal government, not the other way around.
[00:08:03.846 --> 00:08:08.227]  And after the federal government was created in 1787 by the enactment of the Constitution,
[00:08:09.577 --> 00:08:18.282]  The states still retain all of their jurisdiction and authority and as Thomas Jefferson said in the Declaration, the states are free and independent.
[00:08:18.382 --> 00:08:36.993]  They were before the Constitution was ratified and they were after the Constitution was ratified and so I think that once again the state rights movement is going to be the surest way for freedom-loving citizens in 21st century America to regain
[00:08:37.788 --> 00:08:42.231]  The liberties that have been usurped by the federal government in Washington, D.C.
[00:08:42.912 --> 00:08:54.941]  People are beginning to realize that the CFR and the Bilderbergers and the Trilateral is not just a social club for people to get together once a year or however to play golf.
[00:08:55.921 --> 00:09:01.265]  That these people really are the movers and shakers of governments around the world.
[00:09:01.745 --> 00:09:06.709]  And so much of what is decided about what's going to happen internationally
[00:09:07.467 --> 00:09:35.343]  is determined not by the legislative or even executive bodies of government but in these international cabals known as CFR and all these related organizations that are really probably the ones that are most influential in determining international affairs.
[00:09:36.687 --> 00:09:40.811]  I think the Tea Party started out admirably.
[00:09:41.692 --> 00:09:55.065]  What most people don't want to admit is that the Tea Party actually began in 2007 as a part of Congressman Ron Paul's bid for the presidency.
[00:09:55.603 --> 00:10:07.647]  In the 2008 election, it was at that time pretty much exclusively a Ron Paul for president organization or at least an organization affiliated with his campaign.
[00:10:08.067 --> 00:10:14.129]  It was grassroots then, of course it's still grassroots now, but I think over the years since the election in 2008, I think
[00:10:16.030 --> 00:10:45.222]  The Tea Party movement, because it has shown a great deal of success and influence in the political process, I think that many within the neocon population of the Republican Party see the Tea Party as antithetical to their agenda and therefore rather than try and oppose it
[00:10:46.343 --> 00:10:47.143]  I think so.
[00:11:08.339 --> 00:11:09.499]  The pro-Constitution.
[00:11:09.980 --> 00:11:11.880]  They're not enamored with either major party.
[00:11:12.521 --> 00:11:18.123]  They don't go in for this left-right or Republican-Democrat paradigm, as you talked about.
[00:11:18.603 --> 00:11:19.543]  They're independent.
[00:11:19.823 --> 00:11:21.824]  They believe in the Constitution, limited government.
[00:11:22.624 --> 00:11:25.365]  You know, everything that I talk about.
[00:11:26.326 --> 00:11:27.286]  Then you've got, I think,
[00:11:27.947 --> 00:11:31.952]  The infiltration of the Newt Gingrich side of the aisle.
[00:11:32.673 --> 00:11:40.202]  Men that are basically liberals in conservative clothing that are trying to hijack the party.
[00:11:40.931 --> 00:11:45.254]  And I think that it's yet to be seen exactly which way the Tea Party is going to go.
[00:11:46.554 --> 00:11:52.418]  I'm excited about what they've done, and I'm excited about some of the things that they appear to be doing.
[00:11:53.238 --> 00:12:00.582]  But again, between now and 2012, it's going to be seen as to what exactly becomes of the Tea Parties.
[00:12:00.802 --> 00:12:04.024]  I've spoken at Tea Party groups all over the country.
[00:12:04.469 --> 00:12:05.230]  Large and small.
[00:12:05.930 --> 00:12:14.175]  And most of the people I've met are just really great people and they got their priorities right and so forth.
[00:12:14.475 --> 00:12:24.520]  But again, I'm a little concerned about the Neil Conn, Newt Gingrich part of the movement.
[00:12:25.661 --> 00:12:31.865]  If they continue to get more and more influential within the Tea Party movement, then as far as I'm concerned,
[00:12:32.998 --> 00:12:41.908]  The push and the movement toward constitutional government, limited government, etc., etc., is going to be DOA in 2012.
[00:12:43.409 --> 00:12:52.579]  If the Tea Party movement will retain its integrity, if they will stick to its principles, and they will continue to uncompromisingly
[00:12:53.584 --> 00:13:03.033]  Promote the Constitution, limited government, the Bill of Rights, all the things that we have heard about in association with the Tea Party movement.
[00:13:03.293 --> 00:13:14.404]  If they'll continue to do that, I think they could be extremely influential, both in 2010 in the fall elections and more importantly in 2012 as the momentum will continue to grow.
[00:13:15.104 --> 00:13:31.152]  If, however, they begin to compromise their convictions, and they begin to abandon their principles, and they begin to follow the pied pipers of the neocon agenda like Newt Gingrich, then they will be neutered to the point that their effectiveness will be all but destroyed.
[00:13:31.192 --> 00:13:32.132]  And by 2012, they will be a non-issue.
[00:13:34.537 --> 00:13:39.379]  As Barry Goldwater said in 1968, there isn't a dime's worth of difference between the GOP and the Democrats.
[00:13:40.100 --> 00:13:43.781]  And as Pat Buchanan said, they're two wings of the same bird of prey.
[00:13:45.282 --> 00:13:47.663]  They're both walking in the same direction.
[00:13:47.703 --> 00:13:51.405]  That's why it doesn't matter if you elect Bill Clinton or George W. Bush.
[00:13:51.945 --> 00:13:52.626]  Nothing changes.
[00:13:52.966 --> 00:13:56.087]  It doesn't matter whether you have the Republicans in charge of the Congress or the Democrats.
[00:13:56.588 --> 00:13:57.588]  Very little changes.
[00:13:57.748 --> 00:13:59.609]  It's the same overall direction.
[00:14:00.669 --> 00:14:03.631]  More and more government, more and more internationalism,
[00:14:04.632 --> 00:14:06.794]  The UN is augmented and strengthened.
[00:14:07.475 --> 00:14:10.097]  States and individual rights continue to be trampled.
[00:14:10.117 --> 00:14:14.722]  We see this burgeoning police state, the Patriot Act and all the related
[00:14:16.016 --> 00:14:25.380]  Agencies and so forth that come as a result of that have happened under both the Republican and Democrat administrations and Congresses.
[00:14:25.801 --> 00:14:27.982]  So, again, it's a national level.
[00:14:28.022 --> 00:14:40.807]  I think it goes back to maybe what you're talking about with some of these other more influential groups that seem to be much more effective in exerting their will upon Washington politics regardless of which party is in power.
[00:14:40.847 --> 00:14:43.509]  Until the American people, I think, wake up
[00:14:44.509 --> 00:15:05.588]  And throw away this ridiculous two-party partisanship and just get into the issues of right and wrong and the Constitution and limited government and the principles upon which America was built.
[00:15:06.429 --> 00:15:10.793]  Until we do that, we're not going to have any lasting solution.
[00:15:11.954 --> 00:15:33.656]  Whenever America decided that they would accept the Federal Reserve System, and whenever they decided that they would allow a private cartel of international bankers control the economic wherewithal of the United States,
[00:15:34.796 --> 00:15:45.621]  Through the implementation of the Federal Reserve Act and the direct income tax and I would even add to that the way they expunge the principles of the 17th Amendment.
[00:15:45.641 --> 00:15:47.161]  I think all that goes together.
[00:15:48.042 --> 00:15:54.905]  The net result was America left sound money principles that had guided it from its very inception.
[00:15:55.205 --> 00:16:01.468]  The founders were absolutely crystal clear that America must retain its
[00:16:02.788 --> 00:16:03.609]  Thank you.
[00:16:21.488 --> 00:16:22.008]  We're good to go.
[00:16:39.324 --> 00:16:41.366]  We're good to go.
[00:17:00.499 --> 00:17:02.639]  We've got to eliminate the Fed.
[00:17:03.060 --> 00:17:05.040]  We've got to get rid of the Federal Reserve.
[00:17:05.480 --> 00:17:07.960]  And we've got to bring America back to sound money principles.
[00:17:08.080 --> 00:17:11.341]  And again, this is where the states can rise to the occasion.
[00:17:11.641 --> 00:17:21.323]  The states have the power and the authority to, in their own states, have sound money principles established within the borders of their states.
[00:17:21.543 --> 00:17:24.203]  And I think, ultimately, that's what they're going to have to do.
[00:17:24.883 --> 00:17:27.684]  But the encouraging thing is the Federal Reserve, for instance,
[00:17:28.483 --> 00:17:35.549]  Correct, and I think that's because of Ron Paul's campaign in 2008.
[00:17:36.569 --> 00:17:47.418]  I believe that he was the one that articulated that issue when nobody else was willing to talk about it, and even though he lost the election, his ideas prevailed.
[00:17:47.618 --> 00:17:49.960]  And since 2008, what's happened to the economy?
[00:17:50.600 --> 00:17:51.961]  What's happened to our money supply?
[00:17:52.001 --> 00:17:56.045]  What's happened to the overall economic well-being of our country?
[00:17:56.565 --> 00:18:01.069]  Everything that Ron Paul said in 2008 has come to pass in the next two years.
[00:18:01.449 --> 00:18:09.596]  And so now the American people are looking back at the message that Ron Paul delivered in 2008 and they're saying, you know, he was right.
[00:18:10.296 --> 00:18:12.838]  And everybody else on the platform was wrong.
[00:18:13.179 --> 00:18:14.640]  And that's why I think we have
[00:18:15.240 --> 00:18:25.326]  People today that are for the first time as you as you noted being willing to at least look at the idea of either auditing the Fed or as I suggest getting rid of the Fed altogether.
[00:18:26.920 --> 00:18:29.461]  You know, the MIAC report was not new.
[00:18:30.382 --> 00:18:31.882]  It was just at that time the latest.
[00:18:32.162 --> 00:18:51.651]  But the thing that was new in the MIAC report was, for the first time, a police agency, in this particular case, the Missouri State Police Agency, but as you know, they receive their information from the effusion centers, which is controlled by the Department of Homeland Security.
[00:18:52.691 --> 00:18:56.213]  For the first time, that report identified
[00:18:57.552 --> 00:19:06.857]  Three individuals by name, and accused their followers of being potential violent extremists.
[00:19:07.437 --> 00:19:12.500]  And those three individuals were myself, Chuck Baldwin, Ron Paul, and Bob Barr.
[00:19:12.740 --> 00:19:15.202]  Now that was the thing that was unique about the Mayak Report.
[00:19:16.344 --> 00:19:31.108]  Interestingly, they received so much opposition, not only from the citizens of Missouri, but from people all over America, that they later recanted and apologized for that, and they actually took that report down.
[00:19:31.593 --> 00:19:36.117]  Off of their internet page, and they retracted it from their state agency.
[00:19:36.417 --> 00:19:38.279]  But, of course, the damage was done.
[00:19:39.040 --> 00:19:44.084]  And I believe that this kind of activity will continue.
[00:19:44.504 --> 00:19:55.254]  In other words, what they're trying to do is to demonize and marginalize those persons whose ideas they abhor.
[00:19:56.371 --> 00:20:24.361]  And anyone, such as myself or Ron Paul, who promotes the principles of federalism, constitutionalism, a limited government, etc., etc., especially when we attack things like the Federal Reserve and the United Nations and these ever-growing foreign wars and all these things, they cannot allow those ideas to
[00:20:26.001 --> 00:20:29.184]  Become dominant within the thinking of the American people.
[00:20:30.064 --> 00:20:36.470]  So to try and thwart the message, they try to marginalize the messenger.
[00:20:37.130 --> 00:20:37.871]  And that's what they're doing.
[00:20:38.571 --> 00:20:42.815]  They're trying to make us appear to be radicals, extremists, etc.
[00:20:43.295 --> 00:20:49.200]  so that people, when they hear what we have to say, will dismiss the message as being radical and extremist.
[00:20:49.541 --> 00:20:51.822]  It is a blatant attempt by the federal government
[00:20:52.723 --> 00:20:53.044]  Thank you.
[00:21:09.528 --> 00:21:11.791]  Oath Keepers is a wonderful organization.
[00:21:12.773 --> 00:21:17.159]  Stuart Rhodes, I know personally and I know that he's a great man and he's a real patriot.
[00:21:17.980 --> 00:21:24.389]  I would encourage every police officer and every military man, whether retired or active duty,
[00:21:25.130 --> 00:21:26.571]  to become part of the Oath Keepers.
[00:21:26.651 --> 00:21:27.652]  It's a great group.
[00:21:27.732 --> 00:21:31.954]  It's basically what they're saying is we are going to stand for the Constitution.
[00:21:32.094 --> 00:21:39.879]  We are not going to allow anyone within the federal government to circumvent the laws prescribed in the Constitution.
[00:21:40.219 --> 00:21:49.025]  Everyone who takes an oath of office, whether it is a military man or a law enforcement officer or a politician, they all swear an oath
[00:21:49.525 --> 00:21:51.526]  To preserve, protect, and defend the Constitution.
[00:21:51.867 --> 00:21:56.410]  And what Oath Keepers is saying is that we take our oath seriously.
[00:21:56.770 --> 00:21:59.312]  And we are going to keep our oath to the Constitution.
[00:21:59.692 --> 00:22:06.297]  And we're not going to allow someone else, even someone else in government, to force us to disobey our oath to the Constitution.
[00:22:06.597 --> 00:22:15.563]  Again, it's more of the same trying to demonize and marginalize those individuals whose ideas the powers that be find repugnant.
[00:22:17.159 --> 00:22:21.260]  I would compare the war on terror to the war on drugs.
[00:22:23.521 --> 00:22:34.103]  They pick an adversary, an external adversary, and then they rally not only the government but the American people at large against this enemy.
[00:22:34.783 --> 00:22:46.486]  The problem is, is that by the time they're finished implementing the strategies and techniques that they're going to use against the contrived enemy, they wind up
[00:22:47.447 --> 00:22:51.571]  Focusing primarily, as you just noted, on the American citizenry.
[00:22:52.011 --> 00:22:55.975]  And that's happened in the war on drugs, and it's happening in the war on terror.
[00:22:56.015 --> 00:23:10.450]  I mean, we would have never had the Patriot Act, and all of this incessant eavesdropping, and recording our phone calls, and intercepting our emails, and listening to our cell phone conversations, and the loss, the total loss of privacy,
[00:23:11.910 --> 00:23:20.453]  The abridgment of habeas corpus, the Fourth Amendment, the Fifth Amendment, and so forth and so on, if it had not been for, quote-unquote, the war on terror.
[00:23:21.194 --> 00:23:39.280]  I remember whenever Congressman Bob Barr was telling us, whenever he was in Congress, and you had Bill Clinton in the White House, Al Gore as Vice President, the Republicans had the Congress, the same exact bill, the same exact bill, was introduced in the Congress at that time.
[00:23:40.040 --> 00:23:51.068]  But the Republicans that controlled the Congress rejected the bill, rightly so, because they recognize it to be an overreach by the federal government into the private lives of the American people.
[00:23:51.508 --> 00:24:01.436]  But voila, you put a Republican in the White House, and then you have the events of 9-11 and the so-called terror attacks in New York City and Washington, D.C.
[00:24:03.297 --> 00:24:21.695]  Without hardly a protest, the same bill that was vehemently rejected by conservatives in Congress in the 1990s was now readily and immediately accepted by that same group in Congress.
[00:24:22.495 --> 00:24:27.400]  Again, it just shows that the act of terrorism
[00:24:28.227 --> 00:24:34.693]  was an excuse to implement something that they had already designed to do.
[00:24:35.033 --> 00:24:37.755]  Something that they had already attempted to do.
[00:24:38.336 --> 00:24:43.300]  And now we're able to do because of the so-called terror attack.
[00:24:43.740 --> 00:24:51.126]  Therefore, we have been enduring the abridgements of our freedoms and our liberties and our constitutional rights ever since.
[00:24:51.346 --> 00:24:52.688]  And the American citizenry
[00:24:56.770 --> 00:25:06.487]  Can you talk about the Oklahoma City bombing and how that event was used against states' rights and against
[00:25:07.605 --> 00:25:09.546]  militia movements and patriotic groups.
[00:25:09.806 --> 00:25:10.026]  Right.
[00:25:10.186 --> 00:25:25.272]  Bill Clinton, I will remember those days, Bill Clinton, Janet Reno did everything they can, everything they could do at that time to again demonize and marginalize quote-unquote citizen militia groups.
[00:25:26.532 --> 00:25:34.355]  The Oklahoma City bombing was the excuse that they used at that time just as the attack in 9-11
[00:25:36.176 --> 00:25:41.461]  Is the excuse that the George Bush administration and now the Obama administration are using
[00:25:42.394 --> 00:25:47.258]  to continue their acts of aggression against the liberties of the American people.
[00:25:48.639 --> 00:26:00.788]  I think anybody that has eyes to see can recognize that there's a pattern here and no matter who's in the White House or who's in Congress the pattern really doesn't change much.
[00:26:01.509 --> 00:26:10.996]  We're still marching in the same direction toward more and more government, less and less freedom and I think we are now to the point where that
[00:26:11.856 --> 00:26:34.820]  Individual states are going to have to start standing up immediately for the independence and sovereignty of the people of their state, representing the sovereigns of their state, the citizens of their states, or this Leviathan is going to devour virtually all the freedoms and liberties that were bequeathed to us by our founding fathers.
[00:26:36.060 --> 00:26:39.601]  If they can broad brush a group of people
[00:26:40.394 --> 00:26:52.419]  And tie us into someone with obvious radical views, someone who does obviously have a personal agenda of some sort, whatever it may be.
[00:26:53.620 --> 00:26:54.520]  They're going to do that.
[00:26:54.980 --> 00:26:56.241]  I don't think there's anything new about that.
[00:26:57.181 --> 00:26:59.222]  Trying to picture all of us
[00:26:59.790 --> 00:27:00.090]  I don't
[00:27:17.208 --> 00:27:20.590]  That's proving to be a futile strategy.
[00:27:21.030 --> 00:27:32.019]  I think more and more people are waking up to the reality that you cannot, with a broad brush, put everyone in a pigeonhole.
[00:27:36.437 --> 00:27:38.079]  Make whatever point you want to make.
[00:27:38.239 --> 00:27:46.129]  I think that the American people, for the most part, are thinking enough for themselves to recognize the fallacy of that.
[00:27:46.209 --> 00:27:49.433]  But there's no question they would try to do that.
[00:27:51.573 --> 00:27:54.874]  I caution people not to become too enamored with Fox News.
[00:27:56.454 --> 00:28:04.436]  I think that it's a mistake for the American people to trust any of these major television news networks.
[00:28:05.957 --> 00:28:09.538]  And I've said this in my columns, I've said the major difference between Fox News and CNN
[00:28:10.638 --> 00:28:24.151]  Is that CNN will defend the Democrats while attacking all things Republican and Fox News will defend the Republicans while attacking all things Democrat.
[00:28:24.871 --> 00:28:28.354]  It's not really that they are marching in a different direction.
[00:28:28.975 --> 00:28:34.240]  It's that they just approach it from a different angle and that's why
[00:28:34.813 --> 00:28:50.575]  People have got to start thinking for themselves and recognizing that the same people that are in charge of Fox News, for example, are the same people that are promoting Hillary Clinton when she ran for the Senate.
[00:28:51.556 --> 00:29:07.872]  Financing her campaign, the same people that are whining and dining the global elite, they're whining and dining the intellectual elite and the political elite and the commercial elite from both sides of the ocean, are the same ones that are in charge of
[00:29:08.693 --> 00:29:08.993]  I think so.
[00:29:27.982 --> 00:29:48.747]  And thinking of some of these major TV news shows as some kind of iconic, heroic figures, pied pipers of freedom, etc., when the fact of the matter is, sometimes they could actually be diluting the real message of freedom.
[00:29:49.467 --> 00:29:53.793]  And confusing the real message of freedom.
[00:29:54.173 --> 00:30:04.226]  So I just caution the American people to be careful about the way they're enamored with Fox News or any other major TV news network.
[00:30:05.481 --> 00:30:07.504]  Who was it that first said, follow the money?
[00:30:08.104 --> 00:30:14.352]  Whoever said it first got it exactly right because that's what you need to always remember.
[00:30:14.853 --> 00:30:21.621]  When you start following the money, it doesn't matter whether it's in politics or business or the media or even in big religion.
[00:30:22.422 --> 00:30:28.906]  When you start following the money, you're going to find that the bulk of it is going to wind up in the same place.
[00:30:29.526 --> 00:30:37.970]  It's the same cabal of people that are pulling the strings behind most of these endeavors.
[00:30:38.751 --> 00:30:39.351]  And that's why
[00:30:40.603 --> 00:31:08.879]  No matter whether it's a big television network, a big media outlet, or whether it's a big newspaper, or whether it's a big religion and super mega churches, or whether it's the business community or the political establishment, again, you're going to come back, if you follow the money, to the same basic group of people that are benefiting from
[00:31:09.795 --> 00:31:14.816]  The promotion of whatever angle that they choose to promote.
[00:31:16.877 --> 00:31:20.097]  There's a lot of things that Glynn Beck says that I really like.
[00:31:22.358 --> 00:31:35.661]  And he said things on major, if you want to call Fox a major network news, at least it's a major cable news network, that few other people were willing to say.
[00:31:37.146 --> 00:31:43.688]  And so for those reasons, I admire some of the things he said.
[00:31:45.169 --> 00:31:58.153]  But on the other hand, he will turn right around and either impugn or denigrate true champions of constitutional government, such as Ron Paul.
[00:32:00.390 --> 00:32:06.353]  And we'll also promote the candidacies of big government neocons.
[00:32:06.913 --> 00:32:14.737]  I think one of the biggest examples of that, in relation to Fox News in general, is the way they promote Newt Gingrich.
[00:32:15.797 --> 00:32:20.820]  Newt Gingrich is a... he is a Fox
[00:32:23.425 --> 00:32:26.527]  A wolf in sheep's clothing.
[00:32:27.428 --> 00:32:34.253]  He will say anything he needs to say to fool conservatives into supporting him.
[00:32:34.993 --> 00:32:42.798]  When he was Speaker of the House and the contract with America took place back in 1994 elections, and the Republicans took over both the House and Senate.
[00:32:43.659 --> 00:32:45.900]  First time in, what, over 40 years at that time?
[00:32:46.841 --> 00:32:58.067]  Promising to eliminate five federal departments to reduce slash the overall spending and size and scope of the federal government, etc, etc.
[00:32:59.008 --> 00:33:02.189]  What happened after the Republicans took both houses?
[00:33:02.690 --> 00:33:08.433]  It was Newt Gingrich and Trent Lott who deliberately
[00:33:09.478 --> 00:33:30.689]  Uh, reneged on their promises, and actually led the Republicans, and tried to influence and coerce the Republicans, including the freshman who had just been elected in 94, into doing the opposite of what they had campaigned for, and promoting more taxes, bigger government, and look at what happened by the time 1995 came and went.
[00:33:33.149 --> 00:33:37.372]  All the promises of the 94 campaign were history.
[00:33:37.913 --> 00:33:45.438]  All of the agencies, not only the federal agencies, not only were they funded equally, they increased their funding.
[00:33:45.738 --> 00:33:47.680]  And the federal government in D.C.
[00:33:47.820 --> 00:34:00.890]  grew in size, shape, and scope under Newt Gingrich as Speaker of the House in 1995 and beyond, as it had been doing before the Contract of America was ever invented.
[00:34:01.690 --> 00:34:20.583]  Newt Gingrich, if he is allowed to become influential, if he, God forbid, becomes the Republican standard-bearer in 2010, you can kiss any form of constitutional renewal, constitutional revival, you can kiss it goodbye.
[00:34:20.943 --> 00:34:24.366]  He will absolutely destroy, he'll destroy the Tea Party,
[00:34:25.526 --> 00:34:33.852]  He'll destroy the conservative movement, whatever's left in the Republican Party, and yet look at the way Fox promotes Newt Gingrich.
[00:34:34.793 --> 00:34:35.873]  That's just one example.
[00:34:36.674 --> 00:34:45.260]  I think that it's almost like they're playing both sides of the street at the same time.
[00:34:46.580 --> 00:34:48.362]  Glenn Beck, I thought,
[00:34:49.281 --> 00:35:02.156]  was probably the one that may have doomed the candidacy of Deborah Medina in Texas with, in my opinion, kind of a hatchet job on his show relative to her candidacy.
[00:35:02.497 --> 00:35:09.105]  And supported Brick Perry, who's running with the Bilderberg Group and been a slave of the system and used to be a Democrat.
[00:35:10.524 --> 00:35:11.384]  I don't mean to interrupt you.
[00:35:11.745 --> 00:35:12.945]  No, exactly right.
[00:35:12.965 --> 00:35:13.986]  That's what I was going to say.
[00:35:14.726 --> 00:35:19.728]  So again, on the one hand, you hear him saying some truly wonderful things.
[00:35:20.488 --> 00:35:25.651]  On the other hand, you see him doing some very, very harmful things.
[00:35:27.011 --> 00:35:29.052]  So again, I have mixed emotions.
[00:35:29.432 --> 00:35:39.257]  Another thing that kind of gives me paused about Glenn Beck is, you know, when we were running as an independent Constitution Party candidate in 2008,
[00:35:41.391 --> 00:35:52.081]  My staff tried to get me on every single one of the major cable and network news programs, including Lim Beck.
[00:35:54.163 --> 00:35:55.865]  And they would not have us on.
[00:35:56.185 --> 00:36:05.815]  The only television talk show host that would have me on was Lou Dobbs.
[00:36:06.883 --> 00:36:07.423]  On CNN.
[00:36:08.204 --> 00:36:11.887]  And look what happened to Lou Dobbs after the election.
[00:36:13.128 --> 00:36:14.509]  Glenn Beck would not have me on.
