[00:00:20.083 --> 00:00:21.365]  Welcome ladies and gentlemen.
[00:06:48.597 --> 00:06:50.258]  No law shall be established
[00:06:51.513 --> 00:06:52.795]  Barring the Second Amendment.
[00:06:53.075 --> 00:06:57.001]  And that's assuming that the executive branch isn't going to be making law anyway.
[00:06:57.461 --> 00:06:59.764]  Yet they are now doing so by decree.
[00:06:59.824 --> 00:07:07.976]  Here's the letter we received from a gun dealer here in Austin, telling dealers that they will have to report again on anyone buying two or more guns.
[00:07:08.576 --> 00:07:16.182]  Even as the executive branch is essentially arming these Mexican drug gangs, Obama refuses to enforce the border.
[00:07:17.303 --> 00:07:23.148]  Senator Kyle came out earlier this year saying he's not going to enforce the border until we can have immigration reform.
[00:07:23.488 --> 00:07:29.733]  Here we see them refusing to deal with drug and gang violence, which is largely CIA sponsored, School of America sponsored.
[00:07:30.954 --> 00:07:34.758]  They can hold hostage Americans' right to buy guns, particularly in the Southwest.
[00:07:34.838 --> 00:07:36.359]  It's totally outrageous.
[00:07:36.399 --> 00:07:50.972]  There are very large constitutional grabbing going on, destruction of the Constitution, and Alex Jones will be getting more into that tomorrow, but we wanted to put out a special report now to let you know the Super Congress mechanism is coming after the guns.
[00:07:51.072 --> 00:07:54.635]  We'll be back in just a moment after this trailer for Endgame.
[00:08:05.325 --> 00:08:06.766]  It is a big idea.
[00:08:06.786 --> 00:08:08.908]  A new world order.
[00:08:13.252 --> 00:08:17.956]  In the near future, Earth is dominated by a powerful world government.
[00:08:18.577 --> 00:08:22.320]  It's known as the Bilderberg Group.
[00:08:22.360 --> 00:08:24.602]  Could their objective be world domination?
[00:08:26.784 --> 00:08:29.207]  For thousands of years, their dark order grew.
[00:08:30.103 --> 00:08:37.626]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:08:44.268 --> 00:08:49.290]  For the first time in history, the elite's plan for world government is blown wide open.
[00:08:51.164 --> 00:08:54.645]  You will learn the secret that drives the entire New World Order agenda.
[00:08:55.386 --> 00:08:58.387]  Bilderberg is making great progress toward a world government.
[00:08:58.787 --> 00:09:05.010]  And only an educated and informed public can stop them in their tracks.
[00:09:05.550 --> 00:09:08.611]  For the first time, all the pieces have been put together.
[00:09:09.271 --> 00:09:15.274]  The dots have been connected, and the picture is crystal clear.
[00:09:15.734 --> 00:09:18.155]  Endgame, blueprint for global enslavement.
[00:09:18.555 --> 00:09:19.756]  You have been warned.
[00:09:45.253 --> 00:09:46.674]  Welcome back, ladies and gentlemen.
[00:09:46.714 --> 00:09:50.375]  We've received even more breaking news as we took a break there.
[00:09:50.775 --> 00:09:58.219]  The AP is reporting that the House has now okayed the debt bill with Representative Gabrielle Giffords in attendance.
[00:09:58.619 --> 00:10:06.202]  They're saying that the Senate on Tuesday is virtually assured of approving the deal and that the President is poised to sign it.
[00:10:06.582 --> 00:10:10.124]  So here we have devastating legislation bringing in a Trojan horse
[00:10:10.624 --> 00:10:28.369]  Even as the president has begun his gun control moves through executive fiat power and here we have the symbolic Gabrielle Giffords shot in Tucson back in January in attendance for the signing of this bill which will establish a new superstructure over Congress.
[00:10:28.509 --> 00:10:34.570]  We already have the president ruling by decree on so many fronts so when is it a dictatorship?
[00:10:35.070 --> 00:10:36.991]  Let's check out this clip for more discussion.
[00:10:37.871 --> 00:10:41.313]  The Bush administration tells us they have such a plan.
[00:10:41.733 --> 00:10:49.797]  They introduced a little sketchy public version that's clearly inadequate and doesn't really tell us what they have in mind.
[00:10:50.117 --> 00:10:53.159]  But they said, don't worry, there's a detailed classified version.
[00:10:53.743 --> 00:11:07.018]  But now they've denied the entire Homeland Security Committee of the United States House of Representatives access to their so-called detailed plan to provide for continuity of government.
[00:11:07.058 --> 00:11:08.080]  They say trust us.
[00:11:08.440 --> 00:11:08.961]  Trust us?
[00:11:09.401 --> 00:11:14.845]  Continuity of government powers, special secret executive emergency clauses.
[00:11:14.865 --> 00:11:31.518]  This is dictatorship and it's all a move to circumvent the normal checks and balances set up by the Constitution, the appropriate branches of power where the executive is equal to Congress, itself split into two houses, co-equal with the judicial branch.
[00:11:31.919 --> 00:11:38.204]  Instead, we see this new move with under the debt ceiling Trojan horse legislation to circumvent Congress
[00:11:38.624 --> 00:11:53.576]  And we further see the President, not just Obama as you just saw, President Bush, with a secret plan that keeps Congress from even knowing what's written in the agreement, absolutely establishes an executive branch dictatorship.
[00:11:53.936 --> 00:12:00.542]  But of course it's not just a person, it's the special appointments inside there, it's the advisors, it's a backdoor
[00:12:01.042 --> 00:12:01.722]  We're good to go.
[00:12:18.107 --> 00:12:21.890]  Superseding that anyway and making rules as they want by Fiat.
[00:12:22.230 --> 00:12:27.914]  Of course we heard from Obama since the beginning of his term that he's not going to pursue gun control outright.
[00:12:27.954 --> 00:12:29.975]  He's going to do it under the radar.
[00:12:30.476 --> 00:12:33.818]  Last week he issued this new order through the ATF.
[00:12:34.298 --> 00:12:47.406]  Requiring gun dealers, requiring sellers to report on their customers for anyone buying two or more guns, putting them under suspicion, and using this false flag to clamp down on the Second Amendment.
[00:12:47.786 --> 00:12:56.791]  These kind of powers are completely undermining our Constitution and really making a dictatorship around the system that was in place.
[00:12:57.192 --> 00:13:00.954]  Now this council, this committee, this Soviet,
[00:13:01.334 --> 00:13:01.934]  We're good to go.
[00:13:19.322 --> 00:13:20.563]  Anyone can be an emperor.
[00:13:20.883 --> 00:13:24.706]  That means the next stooge from the GOP who's put into the White House.
[00:13:25.366 --> 00:13:28.568]  That means the next gun grabber who looks like a conservative.
[00:13:29.089 --> 00:13:35.113]  Anyone can make absolute moves and just devastate this country as they continue to ship out jobs.
[00:13:35.673 --> 00:13:39.996]  As this recession, actually depression, keeps this country from recovering.
[00:13:40.316 --> 00:13:40.616]  I think so.
[00:13:58.172 --> 00:14:23.946]  Emergency powers have put in the place of the President, that he is ruling on the war in Libya without consulting Congress, that the President has taken United Nations foreign titles sitting over their Security Council body earlier in his term, that the President, when they couldn't pass legislation to tax and regulate carbon, totally made up a bubble for their buddies to profit on,
[00:14:24.286 --> 00:14:33.890]  That they use the EPA, simply an executive agency, to intimidate the states and individual businesses into complying with their regulations.
[00:14:34.390 --> 00:14:40.792]  This is unacceptable, but it's been a continuation through many of the past presidents.
[00:14:40.972 --> 00:14:42.073]  Totally bipartisan.
[00:14:42.593 --> 00:14:45.094]  Ladies and gentlemen, this is not acceptable.
[00:14:45.914 --> 00:14:47.155]  And we'll be back with more.
[00:14:47.315 --> 00:14:49.576]  Alex is going to continue to cover this throughout the week.
[00:14:49.977 --> 00:14:51.898]  You will see reports at m4wars.com.
[00:14:51.938 --> 00:14:54.279]  Thanks for tuning in to this special report.
[00:14:54.479 --> 00:15:00.363]  I'm Aaron Dyches, live on this August 1st, 2011, Monday night.
[00:15:00.963 --> 00:15:02.344]  There are many things in the works.
[00:15:02.384 --> 00:15:04.226]  We have to be vigilant, as always.
[00:15:04.626 --> 00:15:04.846]  Thank you.
