[00:00:02.734 --> 00:00:05.198]  We are under chemical and biological attack.
[00:07:12.136 --> 00:07:12.877]  With the U.S.
[00:07:12.917 --> 00:07:16.943]  government, the U.N., to industrialize China and finance them if they do this.
[00:07:17.244 --> 00:07:24.935]  And now I see articles where they have forced abortions, where they're arresting people or taking their property if they have more children than the state says they can have.
[00:07:26.077 --> 00:07:27.479]  China is the model of the world.
[00:07:27.879 --> 00:07:29.140]  Break out of this matrix.
[00:07:29.741 --> 00:07:40.970]  Realize that you live in a controlled society and an artificially constructed civilization that is designed to dehumanize you and strip you of what it is to be a human.
[00:07:41.190 --> 00:07:43.973]  Taking over our very reproductive process.
[00:07:44.533 --> 00:07:48.396]  Chemically altering men and women at an early age and even in utero.
[00:07:48.496 --> 00:07:50.058]  And what happens when I point this out?
[00:07:50.098 --> 00:07:55.542]  How does the establishment, the mainstream media, these corporate dinosaur
[00:07:56.523 --> 00:07:58.103]  Mercenaries of propaganda.
[00:07:58.724 --> 00:08:00.924]  These prostitutes, how do they respond?
[00:08:01.484 --> 00:08:02.525]  Same way they've done for years.
[00:08:03.205 --> 00:08:19.909]  Last week there were articles in CBS News, ABC News, you name it, attacking myself and Ron Paul, saying Ron Paul goes on Alex Jones' show, and Alex Jones says the government's putting chemicals in your food and water.
[00:08:20.709 --> 00:08:21.730]  To make you gay.
[00:08:22.210 --> 00:08:30.218]  You see, they know people are reading that, and so they take all this research and they just turn it into, Alex says they want to make you gay, and look, Ron Paul goes on their show.
[00:08:31.800 --> 00:08:40.303]  When what I've really shown here is this is being done to reduce fertility, to increase cancer, and to destroy our normal gender roles.
[00:08:40.583 --> 00:08:43.604]  You're taking people's choices to have children away.
[00:08:44.245 --> 00:08:48.266]  You're taking people's choices to choose their sexual preference away.
[00:08:48.286 --> 00:08:52.488]  You know, they spin it and say you're born this way, and certainly there's different variants of it.
[00:08:52.888 --> 00:08:54.068]  Some of it is natural.
[00:08:54.428 --> 00:08:57.810]  But they're artificially adding chemicals that are making rats.
[00:08:59.045 --> 00:09:01.226]  Be confused about their gender, male and female.
[00:09:01.646 --> 00:09:02.846]  You're being chemically altered.
[00:09:03.126 --> 00:09:04.027]  Here are the documents.
[00:09:04.347 --> 00:09:06.887]  Here's the White House science art calling for adding stuff to the water.
[00:09:07.207 --> 00:09:09.328]  And their answer is, oh, Alex doesn't like gay people.
[00:09:10.008 --> 00:09:12.589]  That has nothing to do with this.
[00:09:12.629 --> 00:09:17.831]  This is about science and being manipulated by a technocracy that's playing God.
[00:09:18.171 --> 00:09:28.154]  The Centers for Disease Control has come out after public pressure and after scientific pressure and admitted that what's in the printer ink and the receipt ink and on the money
[00:09:29.014 --> 00:09:49.565]  And in thousands of products, TV dinners, you name it, toilet paper that people are touching is an estrogen mimicker and was chosen out of thousands of different varieties to be a chemical in the environment to reduce fertility and to basically turn men into servile creatures.
[00:09:50.006 --> 00:09:55.769]  The globalists just want to subdue the population so they can engage in chemical and biological warfare against us.
[00:09:56.389 --> 00:09:59.291]  Our water, our food, it's all being manipulated.
[00:09:59.611 --> 00:10:04.034]  And it's admitted now that the majority of water supplies in the U.S.
[00:10:04.314 --> 00:10:11.979]  have high levels of Prozac, high levels of female hormones, high levels of hundreds and hundreds of other chemicals that are, quote, runoff.
[00:10:12.440 --> 00:10:14.241]  The problem is, I've seen the major studies.
[00:10:15.082 --> 00:10:19.725]  In some cases, this stuff is 200, 300, 400 times higher than it could be from sewage runoff.
[00:10:20.145 --> 00:10:22.747]  It's being added to the water.
[00:10:23.717 --> 00:10:29.145]  There's a reason the American people and the people of Western Europe will put up with such incredible tyranny.
[00:10:29.686 --> 00:10:33.372]  It's because we've been chemically and biologically manipulated.
[00:10:33.592 --> 00:10:35.455]  And you find out what it's doing to people.
[00:10:35.855 --> 00:10:37.297]  It is mind-boggling.
[00:10:37.337 --> 00:10:39.441]  This is a holocaust that's going on.
[00:10:40.438 --> 00:10:43.681]  This is an attack on the human species itself.
[00:10:44.081 --> 00:10:46.523]  So these eugenicists can bring in their world government.
[00:10:46.823 --> 00:10:47.704]  Look at this headline.
[00:10:47.964 --> 00:10:52.528]  Bisphenol A now linked to male infertility and gender confusion.
[00:10:53.069 --> 00:10:53.629]  Here's another one.
[00:10:53.949 --> 00:11:01.976]  Sperm counts continue to plummet, say researchers connected to bisphenol A. Greenpeace finds toxic chemicals in branded clothing.
[00:11:02.497 --> 00:11:07.481]  Canned food may expose people to BPA, the little juice box liners.
[00:11:07.961 --> 00:11:11.103]  Canada declares BPA toxic, sets stage for more bans.
[00:11:11.523 --> 00:11:14.905]  FDA faulted for stance on chemicals in plastics.
[00:11:15.266 --> 00:11:16.026]  Here's the good news.
[00:11:16.987 --> 00:11:21.349]  A decade ago, when you talked about Bisphenol A and other issues similar to it, you were laughed at.
[00:11:22.090 --> 00:11:23.651]  That isn't happening now.
[00:11:25.848 --> 00:11:30.810]  The Canadian government, different European governments have moved in the last four years to have it removed by law.
[00:11:31.331 --> 00:11:36.273]  Here in the United States, retailers have come out and advertised that they're bisphenol A free.
[00:11:36.933 --> 00:11:39.915]  But the establishment and the eugenicists have struck back.
[00:11:40.694 --> 00:11:48.823]  They're now having it added to literally thousands of different products, as I mentioned earlier, even toilet paper, so that it's incredibly hard to avoid this stuff.
[00:11:49.344 --> 00:11:55.071]  These nasty little globalist control freaks count on you being lazy, count on you being trusting.
[00:11:55.571 --> 00:12:00.417]  They count on you not researching and finding out the full horror of what they're involved in.
[00:12:00.817 --> 00:12:09.140]  This is a total takeover of the biosphere of our planet, just like Monsanto's coming out with seeds, the Terminator seeds, that don't reproduce.
[00:12:09.420 --> 00:12:10.720]  You've got to go to them each time.
[00:12:10.960 --> 00:12:16.022]  There's a new report out, International Journal of Biomedical Sciences, very prestigious.
[00:12:16.442 --> 00:12:19.303]  Monsanto GMO corn linked to organ failure.
[00:12:19.563 --> 00:12:29.986]  When you read deeper in the study, it's causing massive infertility in all mammal species, and within three generations, near total infertility in guinea pigs, rats.
[00:12:30.566 --> 00:12:31.707]  There are no human studies.
[00:12:31.727 --> 00:12:32.948]  Do you understand?
[00:12:32.968 --> 00:12:37.252]  We're already a generation and a half or so into this, and we see fertility plummeting.
[00:12:38.093 --> 00:12:44.639]  Within three generations in all mammal species they tested in, 99% infertility and incredible deformities.
[00:12:44.799 --> 00:12:52.205]  And now because there's such incredible infertility, the globalists are coming out with the infertility treatments, which they sell at incredible cost to the public.
[00:12:52.626 --> 00:12:53.026]  They had to
[00:12:53.046 --> 00:12:53.366]  I don't know.
[00:13:10.191 --> 00:13:10.391]  I think?
[00:13:28.297 --> 00:13:29.678]  Population reduction.
[00:13:30.098 --> 00:13:32.180]  That's what their world government is about.
[00:13:32.580 --> 00:13:38.424]  That's why the big megabanks that run this system want to destroy the world economy so that everybody is dependent on government.
[00:13:38.724 --> 00:13:40.485]  They don't want you to be self-sufficient.
[00:13:40.865 --> 00:13:42.787]  They want you to be dumbed down and controlled.
[00:13:43.107 --> 00:13:54.434]  But if you're aware of the chemical and biological cocktails that are assaulting you, we can fight our way out of this by making choices that limit the amount of exposure we have to this form of warfare.
[00:13:54.755 --> 00:13:57.977]  There's a reason all these diseases are increasing.
[00:13:58.438 --> 00:14:00.903]  Because we are being slow killed.
[00:14:00.983 --> 00:14:02.146]  We are being soft killed.
[00:14:02.527 --> 00:14:05.714]  We are being murdered by a cocktail of poisons.
[00:14:06.707 --> 00:14:08.148]  This is the ultimate revolution.
[00:14:08.308 --> 00:14:14.674]  This is the human revolution against the technocratic, psychopathic, control freak elite who are playing God.
[00:14:15.514 --> 00:14:19.117]  Warn everyone you know about Bisphenol A. It's in almost everything.
[00:14:19.217 --> 00:14:22.240]  Clothes, printer ink, packaging.
[00:14:22.440 --> 00:14:23.321]  It's everywhere.
[00:14:23.881 --> 00:14:28.224]  And retail workers and factory workers that are around this are being devastated by it.
[00:14:29.025 --> 00:14:30.605]  Let's reclaim our humanity together.
[00:14:31.006 --> 00:14:35.947]  Don't let them use little cliches about, oh, we're bashing gay people, or, oh, we're conspiracy theorists.
[00:14:36.507 --> 00:14:48.650]  When these criminals attack us with propaganda, we need to shove the facts right back in their face and say, we see you, we know what you're doing, we've got the facts, and we're not laying down and taking it anymore.
[00:14:48.990 --> 00:14:58.032]  Humanity is awakening to the crimes that you, the eugenicists, have been committing against us, and you will be brought to justice.
[00:14:58.652 --> 00:14:59.753]  Now the rest is up to you!
[00:15:00.013 --> 00:15:02.575]  Get this information out to everyone you know!
[00:15:02.875 --> 00:15:04.557]  The ball is in your court!
[00:15:05.237 --> 00:15:11.542]  The information you've seen is only a tiny fraction of the accumulated research that InfoWars.com has amassed.
[00:15:12.423 --> 00:15:19.108]  It's now up to you to do your own research, to fully awaken, and then begin the task of awakening others.
[00:15:20.269 --> 00:15:27.535]  Our species is strong, and we can defeat this tiny group of psychopaths attempting to set themselves up as God.
