[00:00:22.403 --> 00:00:23.643]  Good evening and welcome.
[00:02:41.942 --> 00:02:46.745]  Meanwhile, the debt crisis shows again that Angela Merkel is the boss
[00:02:47.385 --> 00:02:59.998]  And this article from CNBC gets into how having spent billions of euros they didn't have, governments across Europe are now finding out the hard way that without money they have to accept things they would rather not be doing.
[00:03:00.038 --> 00:03:05.224]  Namely, taking orders from Angela Merkel in Berlin and Mario Draghi in Frankfurt.
[00:03:05.344 --> 00:03:08.327]  And it gets into how Ireland's Minister Kenny
[00:03:09.007 --> 00:03:32.984]  We'll have to visit Berlin to get approval of his spending plans for 2012 and it gets into how Italy and Greece are now forcing through austerity measures with the orders from the same entities and how Cameron and the UK has been told not to allow a referendum vote as they're trying to discourage referendums all across Europe in attempt to jam through this new
[00:03:33.584 --> 00:03:46.832]  ...bailout vehicle that will take away sovereignty uniformly across Europe, especially from the failed countries, imposing new restrictions and attempting to set up a new political union throughout Europe.
[00:03:47.152 --> 00:03:58.779]  Furthermore, the Telegraph gets into Germany's secret plan to derail a British referendum on the EU, going into further detail on the restrictions for David Cameron in the UK.
[00:03:59.199 --> 00:04:04.085]  Germany has drawn up secret plans to prevent a British referendum on the overhaul of the European Union.
[00:04:04.465 --> 00:04:10.872]  Amid concerns it could derail the Eurozone rescue package, leaked documents obtained by the Telegraph disclosed.
[00:04:11.213 --> 00:04:13.596]  The leaked memo, written by the German forest...
[00:04:14.116 --> 00:04:14.356]  I think?
[00:04:34.574 --> 00:04:34.914]  We're good to go.
[00:05:00.267 --> 00:05:06.069]  And furthermore, they have outlined ways to limit treaty changes and speed up reforms, i.e.
[00:05:06.149 --> 00:05:14.752]  preventing votes amongst the people in these countries, hoping instead to rubber stamp a bailout mechanism they hope will have unlimited money.
[00:05:14.832 --> 00:05:17.973]  They called it previously an unlimited monetary bazooka.
[00:05:18.333 --> 00:05:19.374]  We'll see what happens there.
[00:05:20.154 --> 00:05:20.855]  And indeed.
[00:05:21.215 --> 00:05:25.898]  Meanwhile, Russian warships enter Syrian waters to prevent NATO attack.
[00:05:25.958 --> 00:05:34.265]  Paul Joseph Watson writes about how Moscow, in an aggressive move to stop another humanitarian intervention, has moved in its warships.
[00:05:34.665 --> 00:05:41.330]  Russian warships are due to arrive at Syrian territorial waters, indicating that the move represented a clear message to the West,
[00:05:41.750 --> 00:05:48.035]  Moscow would resist any foreign intervention in the country's civil unrest, and obviously things are heating up there.
[00:05:48.155 --> 00:05:53.820]  Syria and Iran, among others, on the globalist hit list to take out in the Middle East.
[00:05:54.160 --> 00:06:03.347]  They've already dealt with Iraq, Afghanistan, Libya, and other countries in that Central Asian, Middle Eastern, and Northern African area.
[00:06:03.887 --> 00:06:06.148]  And we can just expect tensions to escalate.
[00:06:06.188 --> 00:06:14.510]  We hope it will not lead to any kind of World War III scenario, although the interest posed for Russia and China make that increasingly likely.
[00:06:15.030 --> 00:06:19.971]  Now, another story we have for you tonight was based on a tip we got on the radio today.
[00:06:20.452 --> 00:06:32.875]  Alex and myself heard from a caller talking about an article in Game Informer, the world's number one video game magazine, and it promised to explore the volatile political climate
[00:06:33.195 --> 00:06:36.976]  With a groundbreaking and controversial look at homegrown terror.
[00:06:38.037 --> 00:06:46.499]  And it gets into an article about the new Rainbow Six Patriots game, which is one of several games based on the Tom Clancy novels.
[00:06:47.240 --> 00:06:49.480]  And this article is called The Enemy Within.
[00:06:49.500 --> 00:06:53.882]  It says, you've fought Nazi, Russian, North Korean, and Middle Eastern threats.
[00:06:54.742 --> 00:07:00.906]  Now, in Rainbow Six Patriots, you're asked, can you turn the weapon on your fellow countrymen?
[00:07:01.346 --> 00:07:03.168]  Can you turn the weapon on your fellow countrymen?
[00:07:03.468 --> 00:07:06.150]  I want to read part of this blurb here, because it's very informative.
[00:07:06.610 --> 00:07:09.011]  Americans are angry, and why shouldn't they be?
[00:07:09.732 --> 00:07:17.277]  Goes through everything, dealing with debt, foreclosures, bailouts, the degrading infrastructure, the job market, and a whole lot more.
[00:07:17.617 --> 00:07:28.940]  It says, in response to the gradual erosion of our beloved nation, resentful citizens of all kinds and backgrounds are rising up in the form of new political movements like the Tea Party and Occupy Wall Street.
[00:07:29.480 --> 00:07:42.423]  But unlike the 60s, they have proven largely ineffective at slowing or reversing the downward trajectory, and the media is not helping matters going on to blame internet and talk radio among other things.
[00:07:43.224 --> 00:07:44.184]  Case in point,
[00:07:45.006 --> 00:07:52.855]  Okay, it says history proves that if leaders don't move swiftly to address the grievances, the political rage can sometimes find a more violent channel of expression.
[00:07:53.236 --> 00:07:56.880]  Case in point, the meteoric rise of militias in the past few years.
[00:07:57.240 --> 00:08:04.609]  And who's to quote but the Southern Poverty Law Center and extremely politically biased groups that have long sought to target
[00:08:05.109 --> 00:08:05.589]  We're good.
[00:08:20.580 --> 00:08:39.681]  It says that in 2009, the Southern Poverty Law Center reported a massive resurgence in anti-government paramilitary groups, which jumped from 43 militias in 2007 to nearly 300 in 2010, and this was noticed by Homeland Security, NSA, CIA, FBI, and others as a real threat to the stability of the nation.
[00:08:41.087 --> 00:09:00.516]  Then it goes on to how America's volatile political climate serves as the jumping off point for Rainbow Six Patriots, where the tactical shooter series eschews the exhaustive Russian, Chinese, and Middle Eastern crises that were so common, now to replace them with the roles of elite tactical units with homegrown terrorists.
[00:09:01.693 --> 00:09:08.719]  And the civilians caught in the Christ fire, do you have what it takes to pull the trigger on a fellow citizen?
[00:09:09.500 --> 00:09:22.752]  And so they've set the scenario for Homeland Security talking points where they're targeting returning veterans, which are mentioned in this lengthy six-page article, militia groups, radical political groups throughout the country and more.
[00:09:23.312 --> 00:09:39.503]  In the game they have a scenario where the True Patriots is a combine made up of various militia groups throughout the country, headed by a charismatic figure named Treadway, who hopes to restore civil liberties and the Constitution, and it says he can strike anywhere.
[00:09:39.563 --> 00:09:52.432]  He'd like to overthrow the government, but he's really smart, and he knows that a movement today won't conclusively have lasting change tomorrow, thus other types of movements there, which the game gets into.
[00:09:53.275 --> 00:09:54.046]  And, uh...
[00:09:55.862 --> 00:09:57.043]  There's an added bonus.
[00:09:57.423 --> 00:10:02.286]  It says, in previous games, allowing a civilian to die was game over.
[00:10:02.366 --> 00:10:04.347]  That means you lose the game, you have to start over.
[00:10:04.787 --> 00:10:07.449]  Now you're not exempt from tough situational decisions.
[00:10:07.989 --> 00:10:18.435]  Do you kill one civilian now and potentially spare hundreds of lives, or is the lone human life too critical to lose, even if it means thousands of others may meet untimely death down the road?
[00:10:18.835 --> 00:10:23.798]  In Patriots, you make the call whether or not to kill American civilian citizens.
[00:10:25.476 --> 00:10:26.896]  And this is just disgusting.
[00:10:27.016 --> 00:10:51.682]  It matches perfectly the MIAC report that leaked in 2009, the very similar Homeland Security report, identifying third-party political groups, constitutionalists, and a whole lot more as part of the growing domestic terrorism situation that TSA and the rest of them are supposed to be on the lookout for, thus justifying checkpoints and everything else on the highways, at train stations, bus stations,
[00:10:52.162 --> 00:10:57.728]  Now in shopping malls, they have people watching at hotels now, they say, and a whole lot more.
[00:10:58.149 --> 00:11:00.251]  And this is just disgusting indoctrination.
[00:11:00.271 --> 00:11:08.801]  There's a lot of youth who play these games who will later be joining the military and essentially brainwashed through, I think the average video game takes at least
[00:11:09.301 --> 00:11:16.227]  Forty hours of playing to complete, so it's a lot more time you spend in these games than with a movie or a TV program.
[00:11:16.928 --> 00:11:22.734]  And through the first-person shooter, you're repeating these actions over and over, so you really kind of get indoctrinated with it.
[00:11:23.554 --> 00:11:34.665]  Just a dangerous precedent, and you can see where government propaganda is in these big, expensive games, which rake in more money now than a lot of movies and TV programs as well.
[00:11:35.245 --> 00:11:38.406]  So, an interesting tip we got, and it is certainly true.
[00:11:38.466 --> 00:11:40.687]  You can check that out again in Game Informer.
[00:11:41.407 --> 00:11:46.689]  And we're going to keep an eye on what possible effect that Rainbow Six Patriots could have.
[00:11:46.989 --> 00:11:52.250]  Now, we're going to be back from break in just a minute with exclusive coverage of the United Nations takeover.
[00:11:52.790 --> 00:11:56.812]  But first, let's play some video from Rainbow Six Patriots.
[00:11:57.992 --> 00:11:59.553]  Very nice place you've got here.
[00:12:01.033 --> 00:12:04.254]  You really did cash in on everyone else getting foreclosed, didn't you?
[00:12:06.291 --> 00:12:07.571]  Today you're going to make up for that.
[00:12:09.472 --> 00:12:14.353]  Listen, you hold this down until Times Square or your family gets a hold of it.
[00:12:15.133 --> 00:12:15.873]  We're taking fire!
[00:12:18.794 --> 00:12:23.215]  If they kill him, everybody on this bridge is going to be blown sky high.
[00:12:23.295 --> 00:12:24.535]  Engage NYPD immediately.
[00:12:24.615 --> 00:12:26.656]  Are you ordering friendly fire?
[00:12:35.430 --> 00:12:36.853]  Remote detonator?
[00:12:36.893 --> 00:12:37.634]  This is bad.
[00:12:38.075 --> 00:12:40.158]  There's more than a hundred people still in the kill radius.
[00:12:40.539 --> 00:12:41.941]  We're out of time.
[00:12:42.342 --> 00:12:43.904]  I'm sorry.
[00:12:44.245 --> 00:12:45.387]  Over here, now!
[00:12:48.031 --> 00:12:48.572]  What did you do?
[00:12:48.873 --> 00:12:49.474]  What I had to do.
[00:12:52.390 --> 00:13:10.618]  And really, in other ways, this game just goes along with the same indoctrination of series like 24 with Jack Bauer, where it's okay to torture people, you decide if it's worth it to kill civilians to stop a terrorist attack, especially when it's American citizens as part of a homegrown effort.
[00:13:11.098 --> 00:13:25.243]  Now, we're going to be back from break in just a minute with exclusive coverage and some of Alex's clips from America Destroyed by Design and other updates on the United Nations takeover of much of our parks and wildlife land and a whole lot more, as well as more news.
[00:13:25.583 --> 00:13:29.045]  But I first want to remind you about the Christmas specials.
[00:13:29.165 --> 00:13:31.886]  There's a Patriot offer for $39.95, super discounted, 44% off.
[00:13:35.287 --> 00:13:50.497]  A yearly subscription to PrisonPlanet.tv that now includes the nightly news, Alex's daily radio TV show, which is three hours long every day, all the special video reports we do, the online books, the other videos we offer, and a whole lot more.
[00:13:50.817 --> 00:13:58.021]  You can also get that yearly special with 18 physical copies of Alex's film on DVD for $129.95, an incredible deal.
[00:14:00.743 --> 00:14:13.126]  And there's nothing like Christmas time when you're giving gifts during the holiday to have a physical, nicely packaged plastic wrap, something to give to that friend, family, or loved one to let them know, oh, what is this?
[00:14:13.206 --> 00:14:14.646]  What is this you want me to check out?
[00:14:15.126 --> 00:14:19.607]  And a lot of times they will, along with the other junk you get around the holiday times.
[00:14:20.247 --> 00:14:21.168]  So something to keep in mind.
[00:14:21.188 --> 00:14:22.768]  We'll be back in just a moment for break.
[00:14:26.178 --> 00:14:32.599]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:14:32.899 --> 00:14:33.779]  We've got the new G.I.
[00:14:33.819 --> 00:14:35.760]  Joe InfoWars t-shirts.
[00:14:36.120 --> 00:14:42.241]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:14:42.781 --> 00:14:47.162]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:14:47.842 --> 00:14:51.803]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:14:52.463 --> 00:14:53.104]  It's all there.
[00:14:53.124 --> 00:14:55.967]  Wristbands, citizen rule books, in every order.
[00:14:56.428 --> 00:14:59.131]  Order online at InfoWars.com today.
[00:14:59.391 --> 00:15:02.415]  The water filters, the canteens, it's all there.
[00:15:02.835 --> 00:15:03.776]  InfoWars.com.
[00:15:11.016 --> 00:15:12.096]  We are back from break.
[00:15:12.156 --> 00:15:16.338]  I'm Aaron Dykes here again on this Friday edition of the InfoWars Nightly News.
[00:15:16.798 --> 00:15:32.344]  As you know, we've been trying to bring you more and more special coverage of stuff the mainstream media won't touch and stuff that even a lot of our long-time listeners are aware of but may have fallen off the path as far as specific details and putting the bigger picture together.
[00:15:32.384 --> 00:15:33.224]  With that in mind,
[00:15:33.604 --> 00:15:43.467]  We want to review some of Alex's first film, America Destroyed by Design, from 1997, where he covers the United Nations takeover of U.S.
[00:15:43.547 --> 00:15:47.628]  national parks and wildlife land, as well as parks throughout the entire world.
[00:15:48.068 --> 00:16:02.452]  It's all part of the larger Agenda 21 United Nations Biosphere Takeover, where they're going to move populations away from those areas into concentrated cities and really restrict that usage for kind of the
[00:16:03.252 --> 00:16:06.013]  Our story starts in Southern Arizona, where the U.N.
[00:16:06.033 --> 00:16:06.914]  is taking over.
[00:16:29.329 --> 00:16:33.050]  Just look at the size of this beautiful organ pipe cactus.
[00:16:33.850 --> 00:16:45.193]  And the biggest concentration of these in the world is now part of this 500,000 acre UN UNESCO environmentalist biosphere.
[00:16:46.053 --> 00:16:47.894]  Has nothing to do with the environment.
[00:16:48.114 --> 00:16:50.194]  It has to do with control of resources.
[00:16:50.774 --> 00:16:51.254]  Gorgeous.
[00:16:51.294 --> 00:16:51.895]  Just look at it.
[00:16:53.615 --> 00:16:54.875]  Look at the size of that thing.
[00:16:55.275 --> 00:16:57.536]  It's gotta be, what, 40 feet tall?
[00:16:58.826 --> 00:17:02.388]  You're looking at the Certificate of Ownership of our National Parks.
[00:17:02.528 --> 00:17:13.933]  They started the precedent way back in 1968 and by 1976 the Organ Pipe Cactus National Monument was beginning to come under international control under the guise of environmentalism.
[00:17:14.993 --> 00:17:17.714]  But in 1996 you'll find teeth were added.
[00:17:18.054 --> 00:17:25.418]  Now we're fixing to go inside the main visitor center and talk to the head ranger and find out if he's aware of this massive loss of U.S.
[00:17:25.438 --> 00:17:25.878]  sovereignty.
[00:17:28.024 --> 00:17:29.645]  Have you seen this photograph right here?
[00:17:30.225 --> 00:17:36.470]  And I called Bruce Babbitt's office, and talked to some of their people, and they told me that that was true.
[00:17:37.450 --> 00:17:45.455]  At Mammoth Cave, United Nations, a World Heritage Site, an International Biosphere Reserve, and they said yes, and we took it down because people didn't like it.
[00:17:48.057 --> 00:17:50.158]  See, y'all don't have that, and y'all never did.
[00:17:50.178 --> 00:17:54.201]  And that's the funny part, they only did it in certain parts of the country, and now they've taken the signs down.
[00:17:54.221 --> 00:17:56.182]  But you do have this plaque, don't you?
[00:17:56.202 --> 00:17:57.163]  You said you have a brass plaque?
[00:17:58.010 --> 00:18:00.792]  Just like that one?
[00:18:02.953 --> 00:18:09.577]  Well, parks have to respond to the local community, and I suppose people in the local community objected to those signs.
[00:18:10.618 --> 00:18:15.881]  And they complied with them by taking down the sign.
[00:18:18.082 --> 00:18:20.544]  But they did not take down the international order.
[00:18:20.584 --> 00:18:22.986]  It's not a requirement that they have the sign in the first place.
[00:18:23.266 --> 00:18:23.686]  I got you.
[00:18:23.706 --> 00:18:26.688]  So in order to be accommodating, they went along with the local community.
[00:18:29.570 --> 00:18:31.672]  We don't have a sign, so it must not be required.
[00:18:31.692 --> 00:18:32.272]  Gotcha.
[00:18:32.653 --> 00:18:33.393]  Well, thanks a lot, sir.
[00:18:33.413 --> 00:18:34.114]  Appreciate that.
[00:18:34.134 --> 00:18:35.034]  Ranger David?
[00:18:35.535 --> 00:18:35.775]  DeWitt.
[00:18:36.315 --> 00:18:36.855]  David DeWitt.
[00:18:37.376 --> 00:18:37.776]  Thank you, sir.
[00:18:38.697 --> 00:18:42.880]  Here we are at the Oregon Pipe Cactus National Monument at the Park Ranger's office.
[00:18:43.900 --> 00:18:51.686]  And he told us that he didn't see a problem with the international designation, but
[00:18:53.118 --> 00:18:56.140]  He did have to admit, why are they taking down the U.N.
[00:18:56.200 --> 00:18:59.581]  signs, but leaving the executive order there?
[00:18:59.821 --> 00:19:03.783]  See, they're taking away the contracts from in front of your face, so you don't see what's happening.
[00:19:05.004 --> 00:19:07.345]  But then they're just continuing with their plans, right here.
[00:19:07.986 --> 00:19:13.368]  United Nations Educational, Scientific and Cultural Organization Program on Man and Biosphere.
[00:19:13.608 --> 00:19:16.010]  Now, these clips are, there's a lot of clips.
[00:19:16.110 --> 00:19:17.390]  Alex confronts a lot of parks.
[00:19:17.410 --> 00:19:20.172]  We're going to play them again in a minute, where they begin to harass Alex.
[00:19:20.672 --> 00:19:27.594]  Now what you're looking at is a international United Nations-based takeover of these lands through many layers.
[00:19:27.634 --> 00:19:30.155]  There are a lot of different agreements that factor into this.
[00:19:30.555 --> 00:19:32.896]  It's not just the Man and Biosphere Program.
[00:19:33.216 --> 00:19:39.158]  Although notice the rather occultic Egyptian Ankh that's been integrated into that logo.
[00:19:39.178 --> 00:19:41.918]  I don't know if you can see that now on the overhead screen here.
[00:19:41.998 --> 00:19:43.639]  Man and Biosphere Program.
[00:19:44.599 --> 00:19:53.045]  But Alex does confront those signs at these UNESCO-held World Heritage Park sites and other important places.
[00:19:53.065 --> 00:19:54.126]  There's about 20 of those.
[00:19:54.166 --> 00:19:57.928]  And then there's another 47 biosphere-restricted sites.
[00:19:57.988 --> 00:20:00.870]  But there are other sites, too, as we're going to get into.
[00:20:01.190 --> 00:20:03.952]  But first, let's play another clip from America Destroyed by Design.
[00:20:06.241 --> 00:20:07.081]  Yes, they had U.N.
[00:20:07.101 --> 00:20:08.542]  signs there didn't they?
[00:20:09.002 --> 00:20:12.844]  They just put the United Nations... We were there about three months ago.
[00:20:20.547 --> 00:20:27.609]  I have just a question for you.
[00:20:27.629 --> 00:20:30.349]  I know this isn't a policy question.
[00:20:30.869 --> 00:20:31.989]  It's just a question of other things.
[00:20:33.290 --> 00:20:38.131]  Why do we need the United Nations to put up its signs and to help us oversee our own national parks?
[00:20:38.411 --> 00:20:40.951]  We're not necessarily overseeing our own national parks.
[00:20:40.991 --> 00:20:47.533]  Part of what the Biosphere Reserve does, especially in Kentucky, is that it's not for the park, it's for the area outside the park.
[00:20:47.573 --> 00:20:48.733]  Now stop the tape right there!
[00:20:50.034 --> 00:20:52.776]  I stopped the tape right there because she said something very important.
[00:20:53.076 --> 00:20:59.881]  The United Nations designation over that park is not so much necessarily the park itself as for the land around it.
[00:21:00.181 --> 00:21:14.791]  That's because they have the core protected areas but they also have other areas where they have restricted usage for humans and a further zone that they can restrict if they choose, if they deem that protected area to be in danger
[00:21:15.211 --> 00:21:16.532]  For a wide variety of reasons.
[00:21:16.552 --> 00:21:21.094]  There's a lot of tyranny that can open up through these layers of designation zones.
[00:21:21.414 --> 00:21:23.015]  That's something Michael Coffman's covered too.
[00:21:23.035 --> 00:21:23.856]  We're going to get more into that.
[00:21:23.896 --> 00:21:24.576]  Play the clip again.
[00:21:26.037 --> 00:21:32.860]  Part of what the biosphere reserve does, especially in Kentucky, is that it's not for the park, it's for the area outside the park.
[00:21:32.900 --> 00:21:33.221]  Yes, yes.
[00:21:33.501 --> 00:21:39.364]  But, are you familiar with the executive orders setting up a precedent for
[00:21:40.720 --> 00:21:42.922]  World governorship of world parks?
[00:21:43.722 --> 00:21:48.186]  I've heard that it has, but I haven't read enough about it to say in particular.
[00:21:49.127 --> 00:21:50.368]  But you have seen the UN signs?
[00:21:50.928 --> 00:21:51.188]  Yeah.
[00:21:51.488 --> 00:21:52.109]  But they're not here.
[00:21:53.150 --> 00:21:53.950]  See, that's funny though.
[00:21:54.511 --> 00:21:56.833]  This park is under that, but they don't put the signs out.
[00:21:57.253 --> 00:22:02.477]  I think if it's such a thing of pride that we're getting into the international community, we ought to put the signs out.
[00:22:03.118 --> 00:22:03.298]  Right.
[00:22:03.318 --> 00:22:06.681]  Well, those symbols don't have anything to do with how the park runs.
[00:22:06.861 --> 00:22:10.764]  It's just an honorary title, basically.
[00:22:11.044 --> 00:22:12.605]  Oh, it's honorary to go to U.N.
[00:22:12.865 --> 00:22:13.066]  insignia?
[00:22:13.106 --> 00:22:19.170]  Yeah, but it's not anything... It helps us maybe get some grants with research and things like that, but that's all it does.
[00:22:19.190 --> 00:22:21.272]  It doesn't help control the park in any way.
[00:22:21.292 --> 00:22:24.174]  You mean international money coming in doesn't affect the way the parks would be run?
[00:22:24.514 --> 00:22:25.835]  It's for research and things like that.
[00:22:25.855 --> 00:22:26.635]  How does that affect the park?
[00:22:26.895 --> 00:22:34.820]  Well, how it affects it is, is researchers give recommendations to the parks and to the states, locales, and the federal government.
[00:22:35.160 --> 00:22:35.781]  Right.
[00:22:36.021 --> 00:22:38.462]  And by doing that, they are paying the researchers.
[00:22:38.522 --> 00:22:39.603]  That's the key.
[00:22:39.643 --> 00:22:40.724]  That's the keystone.
[00:22:40.764 --> 00:22:41.544]  That's the Trojan horse.
[00:22:41.844 --> 00:22:48.348]  Then they will give the information that the people... You've probably heard the term, if you want to survey, you can pay for whatever you want.
[00:22:48.668 --> 00:22:49.849]  You tell them what you want to survey.
[00:22:50.302 --> 00:22:51.763]  Yeah, I've heard that before.
[00:22:51.803 --> 00:23:10.556]  Because I really support the parks, I just feel like that I see too much big, I mean, I don't even mean corporations, I mean super old money banks in Europe and other places are really out for big land grabs and they're instituting the policies we're hearing at the universities, the call, it's almost fascistic measures sometimes.
[00:23:13.077 --> 00:23:18.241]  Is there anybody that I can, who will just tell me the same thing you did, but just where I can have a mic on and things?
[00:23:18.837 --> 00:23:21.699]  Well, we have a Public Affairs Officer right here.
[00:23:22.379 --> 00:23:26.402]  Well, you heard me just ask him to just politely talk to Public Affairs Officer.
[00:23:26.442 --> 00:23:30.445]  We were sitting down for about 10 minutes with our cameras off and barely got a shot of her.
[00:23:30.485 --> 00:23:31.545]  That's all we had to freeze it.
[00:23:31.565 --> 00:23:33.006]  We only got about a half a second of her.
[00:23:33.807 --> 00:23:38.290]  She was very rude and drug me in the back and threatened to arrest me for dare to ask questions.
[00:23:38.350 --> 00:23:39.691]  Was I some type of terrorist?
[00:23:40.371 --> 00:23:42.693]  And you should have seen the monster they had in the back with us.
[00:23:43.393 --> 00:23:44.534]  This is all part of America.
[00:23:45.399 --> 00:23:48.622]  Yes, if you ask questions, you must be some type of weirdo.
[00:23:49.022 --> 00:23:54.866]  Now there you have a World Heritage Site sign, one of the two UN designations that the Grand Canyon has.
[00:23:55.347 --> 00:24:04.414]  And under these, I've already told you many times, the Executive Order 12986, which turns over control to the international community as collateral on the national debt.
[00:24:05.214 --> 00:24:05.975]  I want to make a point.
[00:24:07.080 --> 00:24:11.627]  All the Rangers and people we talked to up to the point at the office were very kind and polite and helpful.
[00:24:11.967 --> 00:24:19.378]  It was only the bigwigs, and they openly told us behind closed doors that they had heard about types like us that were asking questions about the UN.
[00:24:20.259 --> 00:24:21.721]  We have to be watched!
[00:24:23.001 --> 00:24:28.844]  And there you have it, Alex got himself in trouble with those little petty bureaucrats over asking questions about the United Nations.
[00:24:29.544 --> 00:24:33.326]  But what are we talking about here with these biosphere programs and the rest of it?
[00:24:33.866 --> 00:24:35.847]  We have a few articles to help point to that.
[00:24:35.867 --> 00:24:44.031]  The first, I believe, is Man and the Biosphere Program off of UNESCO's website, defining the program that started in 1971, 40 years out now.
[00:24:47.072 --> 00:24:56.419]  And it's an intergovernmental scientific program aiming to set a scientific basis for the improvement of the relationships between people and the environment globally.
[00:24:56.819 --> 00:25:00.161]  Sounds nice and friendly and like they want to protect wildlife.
[00:25:01.322 --> 00:25:15.652]  By the way, the UNESCO founder Julian Huxley worked with Prince Philip and Prince Bernhard, the Bilderberg founder, and also a member of the Nazi Party to fund the World Wildlife Fund, which also works in
[00:25:16.112 --> 00:25:42.857]  Concert with these groups now who owns our biospheres and World Heritage sites This is an article from Michael S Kaufman PhD He's pretty much the leading figure when it comes to the takeover of American lands based on biological diversity he first found out when he attended the Convention on biological diversity and Really began to uncover the bankers plan behind this takeover.
[00:25:42.937 --> 00:25:44.377]  You saw him in an endgame and
[00:25:44.797 --> 00:25:52.523]  And I refer you to that for even more information on the Agenda 21 takeover and the attempt to confine human activity.
[00:25:52.903 --> 00:26:02.470]  But among other things, he says one only has to look at the Champlain Adirondack Biosphere Reserve in Vermont and New York to see how this would work.
[00:26:02.550 --> 00:26:07.995]  A parallel concept has actually been implemented since 1972 with the Adirondack State Park
[00:26:08.635 --> 00:26:09.615]  by New York State.
[00:26:09.695 --> 00:26:34.504]  Instead of the robust, thriving communities promised in USMAB literature, that's Man in the Biosphere program, the Adirondack economy has been devastated, culture and much of the infrastructure frozen in time, and the people repressed by a communal feudal land tenure structure where a non-elected, non-represented, NGO-controlled Adirondack Park Agency develops
[00:26:35.024 --> 00:26:39.686]  And enforces arbitrary and capricious regulations across multiple countries.
[00:26:40.027 --> 00:26:54.374]  And he gets into that after explaining how yes, the United States did constitutionally agree to the World Heritage Treaty in 1972, as misguided as it may have been as the Senate has powers over international treaties.
[00:26:54.814 --> 00:27:05.541]  But, Congress never passed any law related to UNESCO's International Biosphere Program, which began its first convention back in 1968, if I'm not mistaken.
[00:27:05.962 --> 00:27:14.387]  So basically, through executive orders and complicity in our own government, we have signed on to this international management.
[00:27:14.808 --> 00:27:16.069]  And yet, it still affects us all.
[00:27:17.229 --> 00:27:30.213]  Now, in this article, United Nations Biosphere Reserve Land Grabs, published by Spy Witness News back in September 2009, it just highlights a little of the things that you may find off-putting about United Nations control.
[00:27:30.693 --> 00:27:35.835]  For instance, what do the Statue of Liberty, Independence Hall, and Monticello have in common?
[00:27:36.295 --> 00:27:39.659]  What about the Great Smoky Mountains, Yellowstone Park, and the Grand Canyon?
[00:27:40.059 --> 00:27:46.586]  Would it surprise you to learn that every one of these unique American landmarks is also controlled by the United Nations?
[00:27:47.167 --> 00:27:52.473]  And it gets into more detail about the 72 World Heritage Treaty and the 68 UNESCO BIO
[00:27:53.714 --> 00:27:54.594]  It's amazing, but true.
