[00:00:28.151 --> 00:00:28.711]  Good evening.
[00:02:41.337 --> 00:02:43.720]  That was the name of the officer that actually did that.
[00:02:43.740 --> 00:02:46.623]  You can't make this stuff up out of central casting.
[00:02:47.163 --> 00:02:48.745]  The name certainly fits.
[00:02:48.785 --> 00:02:49.946]  Mr. Tony Bologna.
[00:02:49.966 --> 00:02:53.289]  I'm not bashing folks with the name Bologna, but you've got to admit it's funny.
[00:02:53.309 --> 00:02:54.030]  This is Bologna.
[00:02:54.070 --> 00:02:54.691]  This is happening.
[00:02:55.842 --> 00:03:05.870]  And now it's been confirmed that multiple journalists, you see one of the articles on screen, would just be trying to videotape or photograph from a distance, and cops would beat them up.
[00:03:06.331 --> 00:03:09.934]  And then, of course, that was caught on camera, and then they would beat up that person.
[00:03:09.954 --> 00:03:14.357]  But there's so many cameras, they can't stop the signal from getting out to people.
[00:03:14.397 --> 00:03:21.203]  And regardless of what you think of the Wall Street protesters, you should support their free speech, or we're just like China with Tiananmen Square.
[00:03:21.903 --> 00:03:30.153]  All right, we're going to go ahead and go to this very important interview with Dr. Paul Conant on the documented dangers of fluoride.
[00:03:31.874 --> 00:03:37.019]  I think the most important thing to recognize about fluoride is that it's extremely toxic.
[00:03:37.500 --> 00:03:43.166]  It is very active biologically, interfering with many basic biochemical processes.
[00:03:43.926 --> 00:03:47.530]  Enzymes, G-proteins, hydrogen bonds and so on.
[00:03:47.590 --> 00:03:54.897]  So it shouldn't surprise us that there's a wide range of health effects that are attributed to fluoride.
[00:03:55.518 --> 00:04:11.177]  But the bottom line is that fluoride is extremely active biologically, that the first opponents of fluoridation going back to the 1950s were biochemists, including scientists like James Sumner, who won a Nobel Prize for enzyme chemistry.
[00:04:11.838 --> 00:04:24.314]  And incidentally, there is no doubt that fluoride damages health because millions of people in India, China and parts of Africa have had their health ruined by fluoride.
[00:04:24.334 --> 00:04:28.199]  The people have been crippled by fluoride and many other health effects.
[00:04:28.519 --> 00:04:29.280]  The argument
[00:04:29.801 --> 00:04:48.791]  As far as fluoridation is concerned, is there an adequate margin of safety between the doses which cause this known harm, and incidentally, documented in this report by the National Research Council, published in 2006, here in a fairly independent, balanced panel, looked at the literature for three years,
[00:04:50.094 --> 00:05:05.582]  And in this 507 page report, and 1100 references, indicated that the EPA safe drinking water standard for fluoridation, for fluoride, is four parts a million, it's not safe, it's not protective of health, and needs to be lowered.
[00:05:06.142 --> 00:05:13.506]  But before I get into the health effects, let me explain my first concern, which remains my top concern.
[00:05:14.127 --> 00:05:16.448]  The level of fluoride in mother's milk
[00:05:17.068 --> 00:05:21.252]  Mother's breast milk, baby's first meal, is extremely low.
[00:05:21.992 --> 00:05:26.196]  It's 0.004 parts per million.
[00:05:26.976 --> 00:05:41.709]  That means a bottle-fed baby in a fluoridated community in the United States, where we fluoridate the water at one part per million, is getting 250 times higher dose of fluoride than a breastfed baby.
[00:05:42.329 --> 00:05:44.971]  And that is extremely disturbing.
[00:05:45.712 --> 00:05:47.114]  This is a hazardous waste.
[00:05:47.655 --> 00:05:48.516]  No question about it.
[00:05:48.716 --> 00:05:52.781]  It's not only hexafluorosilicic acid, but it's a lot of crap that Neil was talking about.
[00:05:53.202 --> 00:05:58.769]  It's got lead and arsenic and mercury and radioactive isotopes, Moby Tracer amounts.
[00:05:59.510 --> 00:06:03.275]  They can't dump that into the sea by international law.
[00:06:04.653 --> 00:06:08.134]  They can't dump it locally because it's too concentrated.
[00:06:08.614 --> 00:06:09.494]  But wait for it.
[00:06:10.074 --> 00:06:17.756]  If someone buys it from them, you take away the label, hazardous waste, and it becomes a product.
[00:06:19.136 --> 00:06:19.837]  Becomes a product.
[00:06:21.117 --> 00:06:23.338]  And who's going to buy this stuff from them?
[00:06:23.538 --> 00:06:24.998]  Oh, our water department!
[00:06:25.778 --> 00:06:33.280]  So the water departments buy this hazardous waste, it becomes a product, and now they put it in our drinking water.
[00:06:34.238 --> 00:06:37.760]  And now, let me go through the list of health concerns.
[00:06:38.521 --> 00:06:40.642]  Some of them are more certain than others.
[00:06:41.002 --> 00:06:42.704]  Let me begin with the certain one.
[00:06:43.444 --> 00:06:44.465]  Dental fluorosis.
[00:06:44.965 --> 00:06:50.489]  Fluoride causes a discoloration, mottling of the tooth enamel.
[00:06:51.489 --> 00:07:02.576]  When this practice began in 1945, the promoters of fluoridation thought they could limit dental fluorosis to 10% of the children in its very mild form.
[00:07:03.136 --> 00:07:11.181]  And the very mild form has little specks of white opaque patches on the cusp of the teeth, up to 25%.
[00:07:12.282 --> 00:07:14.963]  And they thought that only dentists would notice this.
[00:07:15.464 --> 00:07:20.287]  And was an acceptable trade-off with what they thought would be a lowering of tooth decay.
[00:07:21.348 --> 00:07:35.545]  Well, in November of 2010, the Center for Disease Control told us that children aged 12 to 15 in the United States, 41% of them now have dental fluorosis.
[00:07:36.306 --> 00:07:38.508]  And not only the very mild,
[00:07:39.269 --> 00:07:55.198]  But the mild, which impacts up to 50% of the tooth surface, moderate, which impacts up to 100% of the tooth surface, and severe, where you not only have the whole surface impacted, but indentations, chipping of the teeth, and so on.
[00:07:55.978 --> 00:08:05.464]  And 3.6% of children aged 12 to 15 in the United States have either moderate or severe dental fluorosis.
[00:08:06.224 --> 00:08:17.294]  So that trade-off between lowering tooth decay and producing dental fluorosis but holding it only to 10% clearly was a failure.
[00:08:17.334 --> 00:08:22.839]  We have four times more dental fluorosis as intended and as desired.
[00:08:23.519 --> 00:08:34.187]  Our attitude is that when you see this dental fluorosis, it means the child has been overexposed to fluoride, and the question is, what other tissues have been affected?
[00:08:34.647 --> 00:08:38.870]  So let's start with the bone, because the teeth are a window into the bone.
[00:08:38.930 --> 00:08:43.013]  In fact, the teeth actually grow out of the jaw, the jaw bone.
[00:08:43.434 --> 00:08:48.738]  And by the time the permanent teeth have come out, the jaw bone has been loaded up with fluoride.
[00:08:49.218 --> 00:08:58.046]  And so, if you can see the damage to the growing tooth cells, what did the fluoride do to the growing bone cells during this 8, 9, 10 period?
[00:08:58.706 --> 00:09:14.180]  In fact, the first study that was published on this in 1955 indicated that the children in the fluoridated community, which was Newburgh, New York, had twice as much cortical bone defects as the children in the non-fluoridated community.
[00:09:14.620 --> 00:09:25.025]  Now the cortical bone is the outside layer of the bone, and that's the layer, it's a lamellar structure, and that part of the bone is meant to protect against fractures.
[00:09:25.926 --> 00:09:30.588]  And so the concern then is whether we're increasing bone fractures in children.
[00:09:31.209 --> 00:09:39.213]  Well we had to wait until 2001 before someone investigated this, and researchers in Mexico found
[00:09:40.054 --> 00:09:56.517]  A linear correlation, as the severity of dental fluorosis went up, meaning the amount of fluoride the child had been exposed to before the permanent teeth had erupted, as that went up, so did bone fractures in the children.
[00:09:56.997 --> 00:10:03.301]  And it was quite striking when you go from no dental fluorosis to very mild dental fluorosis, it doubled.
[00:10:04.081 --> 00:10:05.142]  The bone fractures doubled.
[00:10:05.502 --> 00:10:07.403]  Very mild to mild, doubled again.
[00:10:07.703 --> 00:10:09.684]  Mild to moderate, doubled again.
[00:10:10.124 --> 00:10:18.229]  The next concern about bone is that the first symptoms of bone poisoning in an adult are just like arthritis.
[00:10:19.209 --> 00:10:23.352]  Stiff joints, pains in the joints, pains in the bone.
[00:10:24.352 --> 00:10:28.736]  In the United States, we have one in three adults now with some form of arthritis.
[00:10:29.177 --> 00:10:36.103]  And if you ask a doctor what's causing it, they will say, well, we don't really know, but we think it's got something to do with aging.
[00:10:37.782 --> 00:10:44.344]  Well, what also parallels aging, of course, is the number of years you've spent in a fluoridated community.
[00:10:44.605 --> 00:10:49.727]  10 years, 20 years, 30 years, 40 years, 50 years, eventually 60, 70, and so on.
[00:10:50.607 --> 00:10:59.850]  The next concern is, as the fluoride continues to build up in the bone, and I should say that up to 50% of all the fluoride that we take in each day accumulates in the bone.
[00:10:59.870 --> 00:11:01.571]  The fluoride is bioaccumulative.
[00:11:02.651 --> 00:11:03.652]  The bones get more brittle.
[00:11:04.532 --> 00:11:08.634]  And another major concern is increased hip fractures in adults.
[00:11:09.095 --> 00:11:33.128]  The studies done in China, as documented in this National Research Council report, and we further elaborated in our book, The Case Against Fluoride, indicates that levels as low as three milligrams per day, that's three liters of fluoridated water per day, may increase hip fractures in the elderly.
[00:11:34.540 --> 00:11:38.904]  Now, my major concern is not the bones, although I think that's significant.
[00:11:38.944 --> 00:11:46.532]  My major concern is the brain, because when the baby is born, the blood-brain barrier is not fully formed.
[00:11:47.153 --> 00:11:56.542]  We think the blood-brain barrier keeps fluoride out of the brain most of the time, but for the first half year of the baby's life, the fluoride can get into the brain.
[00:11:57.843 --> 00:12:07.408]  And this is not the time, in my view, and the view of many other scientists, that a baby should be exposed to fluoride at 250 times the level in mother's milk.
[00:12:08.308 --> 00:12:13.431]  There have now been over a hundred animal studies which shows that fluoride damages the brain.
[00:12:13.991 --> 00:12:27.765]  There have also been 23 IQ studies, most of them from China, but one from India, one from Iran, and one from Mexico, which show an association between moderate exposure to fluoride and lowered IQ in children.
[00:12:28.206 --> 00:12:32.210]  And I actually visited the villages where one of these studies was done.
[00:12:32.230 --> 00:12:33.871]  It was a very good study.
[00:12:33.951 --> 00:12:36.854]  They controlled for lead, they controlled for iodine,
[00:12:37.796 --> 00:12:45.427]  Most of the two villages were almost identical, except for the fact that their well water was different.
[00:12:45.987 --> 00:12:50.935]  And the author of this study estimated that the IQ would be lowered at 1.9 parts per million.
[00:12:52.757 --> 00:13:05.488]  And that offers no adequate margin of safety for children drinking water at one parts per million when you consider the massive range of sensitivity to any toxic effect.
[00:13:05.868 --> 00:13:09.712]  And the fact that once you put fluoride in the water, you can't control the dose.
[00:13:10.032 --> 00:13:16.537]  Another concern which many of us have had for many years is fluoride's impact on the thyroid gland.
[00:13:17.418 --> 00:13:32.848]  For between the 30s and the 50s, doctors in Argentina, France and Germany were giving patients with hyperthyroidism, overactive thyroid gland, sodium fluoride tablets to lower thyroid function.
[00:13:33.789 --> 00:13:44.118]  And the doses that they were using were between 2.5 and 4.5 milligrams per day, which is exceeded by many people drinking fluoridated water.
[00:13:44.358 --> 00:13:49.182]  For example, the Institute of Medicine actually advises people to drink 3 liters of water a day.
[00:13:49.622 --> 00:13:54.046]  So clearly then they would be in the range for lowered thyroid function.
[00:13:54.547 --> 00:14:02.134]  And once again, as in many of these other issues, the fluoridating countries, including the United States, are simply not doing the studies.
[00:14:02.455 --> 00:14:12.464]  They're not investigating to see if there's a relationship between fluoridation and lowered IQ, fluoridation and arthritis, fluoridation and hypothyroidism.
[00:14:13.425 --> 00:14:17.426]  Key health studies have not been done in fluoridated countries.
[00:14:18.287 --> 00:14:20.227]  If you don't look, you don't find.
[00:14:20.768 --> 00:14:25.149]  They would like to imply, because they don't see anything, there's nothing wrong.
[00:14:25.169 --> 00:14:27.310]  But if they're not looking, they won't find.
[00:14:28.410 --> 00:14:32.433]  You often hear the promoters say things like, Oh, we've been doing this for 60 years.
[00:14:32.513 --> 00:14:35.135]  If there's any problem, we would know about it by now.
[00:14:35.435 --> 00:14:38.417]  Oh, no, you wouldn't, unless you were doing the studies.
[00:14:39.037 --> 00:14:49.784]  Another issue that came out in 1997 was a researcher in England found that fluoride accumulated in the human pineal gland.
[00:14:49.844 --> 00:14:55.628]  And the pineal gland is a little gland between the two parts of the brain, the two hemispheres of the brain.
[00:14:56.028 --> 00:14:58.110]  It's not protected by the blood-brain barrier.
[00:14:58.610 --> 00:15:06.019]  It is a high perfusion rate of blood and it also is a calcifying tissue like the teeth and the bones.
[00:15:06.600 --> 00:15:12.507]  And so this researcher hypothesized that fluoride would be attracted to this
[00:15:13.869 --> 00:15:16.471]  ...tissue, this little gland, like a magnet.
[00:15:16.531 --> 00:15:29.399]  And sure enough, when she investigated, the average level of fluoride on these little calcium hydroxyapatite crystals was 9,000 parts per million, up to 21,000 parts per million.
[00:15:29.760 --> 00:15:37.345]  Which means that this little gland has a higher concentration of fluoride than any other tissue in the body, including the bone.
[00:15:38.581 --> 00:15:54.171]  This researcher, Jennifer Luke, also did animal studies, and in the animal studies, she found that fluoride lowered the production of melatonin, the hormone that this little gland makes, and incidentally, it only makes it at night, the hormone of darkness.
[00:15:54.891 --> 00:15:57.713]  This pineal gland reacts to light.
[00:15:58.834 --> 00:16:01.616]  Descartes called it the seat of the soul.
[00:16:02.771 --> 00:16:11.336]  Not only did it lower melatonin levels in these animals, but also shorten the time to puberty, which is absolutely consistent.
[00:16:12.356 --> 00:16:17.119]  Melatonin is thought to act like a biological clock, involved with timing.
[00:16:17.519 --> 00:16:25.323]  Timing of puberty, timing of aging, timing of jet lag and sleeping patterns and so on.
[00:16:25.363 --> 00:16:26.644]  Controls all kinds of things.
[00:16:27.384 --> 00:16:43.646]  And what I think happens with the child at birth, the melatonin levels are high and with childhood they gradually lower and at a certain point the lowered melatonin levels trigger the production of the sex hormones leading to puberty.
[00:16:45.160 --> 00:17:02.166]  Ironically, that first study that was published, which I already referred to in The Bones, also recorded that the young girls in the fluoridated community, Newburgh, were menstruating on average five months earlier than the young girls in the non-fluoridated community.
[00:17:02.446 --> 00:17:04.607]  Now, they didn't think that was significant at the time.
[00:17:05.167 --> 00:17:10.169]  Now, with Jennifer Luke's work, it is clearly, takes on a new perspective.
[00:17:10.589 --> 00:17:12.209]  Kids now are reaching puberty 7, 8, 9.
[00:17:13.870 --> 00:17:15.890]  It has people very, very worried.
[00:17:16.450 --> 00:17:25.332]  But once again, the fluoridating countries have made absolutely no effort to reproduce Jennifer Luke's work.
[00:17:25.352 --> 00:17:27.773]  And it's not difficult, they could have done it easily.
[00:17:28.313 --> 00:17:38.335]  The Department of Health and Human Services has adopted to this, quote, sacred policy of fluoridation, is to deny, deny, deny,
[00:17:40.255 --> 00:17:45.658]  Critique the methodologies, but don't attempt to reproduce the studies.
[00:17:46.138 --> 00:17:48.459]  If you don't look, you don't find.
[00:17:49.379 --> 00:18:01.065]  And they're using the absence of study as if it was the same as the absence of harm, which is absolutely ridiculous, utterly irresponsible.
[00:18:01.585 --> 00:18:12.249]  So now they're giving every indication, particularly the Center of Disease Control that avidly promotes fluoridation around the United States and around the world for that matter.
[00:18:13.090 --> 00:18:25.295]  The impression that they give is that it's more important now to protect this practice than to protect the health of the American people and our babies and our children.
[00:18:25.755 --> 00:18:39.396]  It's almost as if the teeth have become the most important tissue, the most important organ in the body, instead of our brains, instead of our thyroid glands, instead of our pineal glands, instead of our kidneys.
[00:18:41.820 --> 00:18:46.642]  Well, a truly amazing boil down of the highlights of our interview we did.
[00:18:46.742 --> 00:18:48.463]  It's over an hour long with Dr. Paul Conant.
[00:18:48.763 --> 00:18:53.045]  The full interview is posted here at PrisonPlanet.tv as well.
[00:18:53.345 --> 00:18:58.687]  We're going to go to break and come back in studio with the one, the only, the health ranger, Mike Adams.
[00:18:58.727 --> 00:18:59.187]  Stay with us.
[00:19:04.289 --> 00:19:06.290]  Obama is notoriously a liar.
[00:19:09.226 --> 00:19:17.342]  We need to go to where the real architecture of government is and it's not in a precedent.
[00:19:18.163 --> 00:19:20.949]  Wall Street has hijacked Washington in broad daylight.
[00:19:24.045 --> 00:19:25.006]  In the pit!
[00:19:25.426 --> 00:19:26.346]  In the pit!
[00:19:26.767 --> 00:19:27.547]  In the pit!
[00:19:27.587 --> 00:19:28.528]  In the pit!
[00:19:28.548 --> 00:19:30.349]  While Obama's already fudging.
[00:19:30.969 --> 00:19:33.410]  He's fudged since day one in this election.
[00:19:33.670 --> 00:19:43.876]  The elite are using Obama to pacify the public, so they can usher in the North American Union by stealth, launch a new Cold War, and continue the occupation of Iraq and Afghanistan.
[00:19:44.602 --> 00:19:46.264]  The globalists are outside all the nations.
[00:19:46.284 --> 00:19:49.008]  That gives them safety, and they play countries off against each other.
[00:19:49.028 --> 00:19:54.194]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:19:54.695 --> 00:19:58.299]  Partnership and cooperation among nations is not a choice.
[00:19:59.514 --> 00:20:00.575]  That is the only way.
[00:20:01.115 --> 00:20:13.582]  What they're doing is using the existence of the United States to act out their Wall Street fantasies of world domination and maintaining their capital structures and maintaining their system of looting.
[00:20:13.923 --> 00:20:21.907]  The fight that this country has been waging since its inception is for the central bankers not to take over the country.
[00:20:22.247 --> 00:20:26.130]  President Barack Obama is only the tool of a larger agenda.
[00:20:27.375 --> 00:20:30.117]  Senator Obama had a desire to do some meetings.
[00:20:30.397 --> 00:20:34.900]  Others had a desire to meet with him tonight in a private way, and that's what we're doing.
[00:20:36.481 --> 00:20:46.067]  Presidential candidate Barack Obama was publicly criticizing the North American Free Trade Agreement in a bid for votes, but privately telling Canadian officials not to worry about it.
[00:20:47.005 --> 00:20:55.530]  If you talk to our generals, they are desperate for is a civilian counterpart to our military force.
[00:20:55.871 --> 00:21:02.555]  What do you call this thing where you get this false sense of gratification, but because a black man is in office, everything's going to be alright.
[00:21:03.015 --> 00:21:04.496]  No, everything's not going to be alright.
[00:21:05.417 --> 00:21:13.082]  So I know how unpopular it is to be seen as helping banks right now, especially when everyone is suffering in part from their bad decisions.
[00:21:13.582 --> 00:21:14.663]  I promise you, I get it.
[00:21:16.234 --> 00:21:27.693]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv
[00:21:38.083 --> 00:21:44.804]  We are back, it's InfoWars Nightly News on this September 29th, 2011 Thursday edition.
[00:21:45.585 --> 00:21:59.467]  And we've got such an incredible amount of health freedom news right now that I wanted to get Mike Adams of NaturalNews.com, the health ranger, here in studio to recap the incredible last few days.
[00:22:00.007 --> 00:22:07.529]  Their confirmed report with the letter from the Department of Health and Human Services calling out basically harassing people, asking them if they've had their shots,
[00:22:08.209 --> 00:22:15.735]  We've got a judge in Wisconsin ruling that you can't grow your own food or have your own cow for your own milk, saying the police power won't allow that.
[00:22:15.755 --> 00:22:16.416]  Just incredible.
[00:22:16.956 --> 00:22:22.901]  And we have other things happening, like Chuck Norris coming out and saying GMO is dangerous, it should be labeled.
[00:22:24.782 --> 00:22:32.167]  And the reason that's important is he's seen as kind of a right-wing figure, and they've tried to make it left-wing environmental stuff, right-wing, you know, other issues.
[00:22:32.207 --> 00:22:34.289]  The point is, this affects everybody.
[00:22:34.349 --> 00:22:38.312]  And I've noticed that the environmentalists... I want to come to the Chuck Norris thing first with you, Mike.
[00:22:40.046 --> 00:22:46.169]  The system is great at controlling the cancer associations to never look at all the real cures and treatments.
[00:22:46.750 --> 00:22:51.812]  Or they're really great at having government institutions and groups that look at missing children.
[00:22:52.113 --> 00:22:58.216]  Then you find out that's so DynCorp and Halliburton and the UN can actually run the kidnapped kids and not get in trouble.
[00:22:58.536 --> 00:23:02.558]  So the criminals tend to try to lead the resistance to themselves.
[00:23:04.039 --> 00:23:06.160]  And they try to make it a liberal conservative issue.
[00:23:06.180 --> 00:23:07.201]  They have the environmentalist
[00:23:08.081 --> 00:23:19.569]  Going after carbon dioxide that plants live off of, and that is 0.0360% of the atmosphere, and it's very low right now.
[00:23:19.870 --> 00:23:28.616]  But then they want to ignore toxic waste dumping, Fukushima exploding, like a hundred Hiroshima's or Nagasaki's, I mean the biggest nuclear disaster in history.
[00:23:29.937 --> 00:23:32.018]  They don't want to focus on GMO.
[00:23:32.859 --> 00:23:47.490]  We are biological creatures that were developed on this planet through a process and now we're not supposed to even debate hundreds of companies randomly splicing everything and in all the studies of the GMO it's causing sterilization in the rodents.
[00:23:48.631 --> 00:23:52.654]  All the health problems that mirror that happening in our populations
[00:23:54.261 --> 00:24:09.575]  And that's why I wanted to raise this point first, because Mayor Bloomberg came out today, this is Cyber News Service, and said, quote, government's highest duty is to push healthy foods, but he wants to arrest you if you have too much salt in your restaurant in New York, or too much fat.
[00:24:10.697 --> 00:24:11.677]  But see, that's a red herring.
[00:24:11.798 --> 00:24:12.879]  Sure, those things probably aren't good.
[00:24:14.073 --> 00:24:18.495]  It's, oh, the government's going to protect you from things, but we say GMOs and vaccines are good.
[00:24:18.916 --> 00:24:22.257]  So again, they're trying to lead the opposition.
[00:24:22.357 --> 00:24:24.118]  And this is a central point for me.
[00:24:24.778 --> 00:24:30.281]  It's really key to understanding how they co-opt reasonable environmentalism turned into a carbon tax.
[00:24:30.701 --> 00:24:37.325]  Or they co-opt concerns about really unhealthy food we're being fed, and they've actually got us distracted off into fats or salt.
[00:24:37.825 --> 00:24:40.528]  Well, that's nothing compared to GMO and additives.
[00:24:40.829 --> 00:24:44.753]  So here is the expert to talk about that, Mike Adams here in studio.
[00:24:44.793 --> 00:24:45.334]  Mike, great to have you.
[00:24:45.354 --> 00:24:46.074]  Hey Alex, good to be here.
[00:24:46.395 --> 00:24:47.556]  Let's cover this piece first.
[00:24:47.836 --> 00:24:52.502]  Well, I'm really glad you brought up this piece because this issue in particular, we've got to
[00:24:52.722 --> 00:24:56.628]  We've got to get the government out of the way of these processed foods and to stop subsidizing corn syrup, for example.
[00:24:56.648 --> 00:24:57.409]  Stop subsidizing sugar.
[00:25:09.326 --> 00:25:23.574]  What we've got to do is get the government to enable food freedom, so that we can actually choose the kinds of foods that we want to consume, whether it's raw milk or GMO-free foods, or have honest labeling on those foods, so that we're not buying GMOs.
[00:25:24.514 --> 00:25:29.477]  What Bloomberg is saying is that the government should be telling us what to eat and what not to eat.
[00:25:29.817 --> 00:25:41.584]  And if that happens, we're going to get a distorted message that is hijacked by industry, and we're going to end up with very unhealthy processed dead foods rather than healthy foods anyway.
[00:25:41.884 --> 00:25:43.865]  So Bloomberg is wrong on this count.
[00:25:44.126 --> 00:25:47.928]  We've got to get back to freedom and liberty about foods, not government telling us what to eat.
[00:25:48.188 --> 00:26:01.178]  Mike, Chuck Norris is making the point that we at least have a right to have GMO labeled, but government, whether it's salmon that's been crossed with insects or whatever the case is, they don't want us to have a right to know if milk has growth hormone in it.
[00:26:02.880 --> 00:26:14.248]  Obviously, Big Pharma that's created this modern Frankensteinian type system, they know what they're doing, but from your research, what is GMO doing to people?
[00:26:14.288 --> 00:26:16.951]  I mean, looking out there to TV land, tell folks what's in the GMO.
[00:26:17.677 --> 00:26:19.638]  Well, GMO is just based on a pack of lies.
[00:26:19.678 --> 00:26:22.419]  I mean, number one, they say GMOs have higher yields.
[00:26:22.739 --> 00:26:23.260]  They don't.
[00:26:23.600 --> 00:26:25.120]  That's a complete fabrication.
[00:26:25.521 --> 00:26:36.906]  Number two, they say that GMOs are safe for consumption, and yet all the studies consistently show that GMOs have very dangerous and undesirable side effects, including potentially widespread infertility.
[00:26:37.666 --> 00:26:45.630]  The fact that the BT genes in the corn can theoretically then interact with the genetic code of the bacteria in your own gut
[00:26:46.030 --> 00:26:52.331]  It can turn you into a pesticide factory, where you're actually producing pesticide chemicals in your own body.
[00:26:52.711 --> 00:26:55.772]  And from that, it's no wonder that people might have chronic fatigue.
[00:26:56.052 --> 00:26:57.992]  It's no wonder they might have immune suppression.
[00:26:58.333 --> 00:27:01.073]  I mean, people often, they wonder, why do I feel so sick?
[00:27:01.113 --> 00:27:02.353]  Or why do I feel so tired?
[00:27:02.893 --> 00:27:06.274]  GMOs could be a very key part of that answer.
[00:27:07.014 --> 00:27:09.815]  But ultimately, Alex, this is about
[00:27:11.256 --> 00:27:19.423]  It's a campaign of ignorance that the industry is trying to push on the American people to say that you don't have the right to know you're eating GMOs.
[00:27:19.743 --> 00:27:22.766]  The FDA and the USDA, they don't want them labeled.
[00:27:23.026 --> 00:27:27.390]  They don't want you to be able to read a label and say, oh, is there GMO in this food or not?
[00:27:27.990 --> 00:27:35.974]  And even Whole Foods has not taken, in my opinion, enough of a stand to say we're going to eliminate GMOs from our stores.
[00:27:36.475 --> 00:27:38.336]  But I think this is going to change, Alex.
[00:27:38.456 --> 00:27:41.057]  I know there's some good news coming up next week.
[00:27:41.357 --> 00:27:49.042]  I think there are going to be more grassroots efforts to let people know that we demand honest labeling of GMOs so that we can make a choice, Alex.
[00:27:50.470 --> 00:27:53.312]  And they've also capitulated at Whole Foods, where I like to shop.
[00:27:53.832 --> 00:28:01.537]  They, a few months ago, put a sign up, as you know, saying, there's so much GMO, even in so-called organic now, we can no longer say that we're GMO-free.
[00:28:01.577 --> 00:28:06.319]  And you just brought up the fact that this can make microorganisms that produce pesticide.
[00:28:06.640 --> 00:28:11.763]  The public may not know that BT, that's being engineered into a lot of different plants, corn and other things,
[00:28:12.583 --> 00:28:12.783]  Yeah.
[00:28:31.226 --> 00:28:34.650]  That we're getting chronic bowel problems exploding, cancer exploding.
[00:28:34.990 --> 00:28:38.534]  I mean, if you look at the countries with the GMO, they also have the highest vaccination.
[00:28:38.794 --> 00:28:41.777]  North America, New Zealand, Australia, highest cancer rates.
[00:28:42.158 --> 00:28:48.244]  You can follow these maps and you can see that what's happening in the lab animals is also happening with humans.
[00:28:48.544 --> 00:28:51.628]  The problem is you can test the life cycle of a rat in a year or so.
[00:28:52.008 --> 00:29:08.578]  With humans it takes 20, 30, 40, 50 years just to see generationally what's happening, but we're already in the first generation mirroring the reduced fertility, the increased cancer in the first generation, but as you know by the third generation of these major studies that multiple governments and institutions have done.
[00:29:09.378 --> 00:29:10.399]  By third generation.
[00:29:10.879 --> 00:29:12.000]  Rats, guinea pigs, mice.
[00:29:12.380 --> 00:29:14.162]  Near total sterilization.
[00:29:15.262 --> 00:29:16.483]  All sorts of mutations.
[00:29:17.604 --> 00:29:18.144]  My God.
[00:29:18.164 --> 00:29:19.645]  I mean, this is incredible.
