[00:00:00.009 --> 00:00:00.189]  I think?
[00:07:13.100 --> 00:07:15.420]  You've been waiting, and waiting, and waiting to prepare.
[00:07:15.440 --> 00:07:16.680]  And now, it's here now.
[00:07:23.442 --> 00:07:27.543]  With Q's Summer Blowout Sale at TrueWilderness.com, how much will you save?
[00:07:27.763 --> 00:07:29.724]  Up to 70% storewide!
[00:07:29.884 --> 00:07:31.424]  Save this week on Alpine Air No.
[00:07:31.644 --> 00:07:39.247]  10 cans, Wise Food Storage, Berkey Water Filters, Food Dehydrators, Pressure Cookers, Sawyer Water Filters, and much more at up to 70% off!
[00:07:40.327 --> 00:07:42.308]  But only at TrueWilderness.com.
[00:07:42.448 --> 00:07:45.148]  This is the preparedness sale you've been waiting for.
[00:07:45.368 --> 00:07:48.689]  TrueWilderness.com has every item you need for any emergency.
[00:07:48.889 --> 00:07:55.371]  Shelter and backpacks, knives and tools, lighting and radios, first aid, food storage, water filters, and much more.
[00:07:55.591 --> 00:07:58.352]  And now, during the huge summer blowout sale, save up to 70%.
[00:07:58.392 --> 00:07:58.532]  Call 877-573-7173
[00:08:02.873 --> 00:08:04.555]  Or go to TrueWilderness.com.
[00:08:04.715 --> 00:08:05.016]  Hurry!
[00:08:05.196 --> 00:08:10.703]  Call 877-573-7173 or shop online at TrueWilderness.com.
[00:08:10.763 --> 00:08:13.447]  This summer sale is going on now through June 25th.
[00:08:13.467 --> 00:08:15.870]  True Wilderness, an urban survival company.
[00:08:40.609 --> 00:08:43.973]  We're back again on the Alex Jones Show.
[00:08:44.113 --> 00:08:48.278]  I'm Aaron Dyke, sitting in again while Alex is away on assignment.
[00:08:48.998 --> 00:08:55.626]  But we've just watched his video, Obama launching World War III, and unfortunately it hits all the right notes.
[00:08:55.666 --> 00:08:57.187]  They're drawing the Middle East.
[00:08:57.888 --> 00:08:58.388]  into the
[00:09:15.599 --> 00:09:38.968]  A few months back in Egypt and Tunisia, drawing in Libya, now Syria on the cusp of being drawn into war, bombings now in Yemen, tensions escalating in Pakistan, drone killings, civilians, supposed acts of Al-Qaeda going on, still a presence in Iraq and Afghanistan, when will we ever leave there?
[00:09:39.949 --> 00:09:42.810]  It's just really disturbing how they're intentionally
[00:09:43.510 --> 00:09:43.891]  I think?
[00:10:00.692 --> 00:10:07.356]  Whether official or otherwise, that we're going to be sending in big time troops and really heading for a hot war in Libya.
[00:10:07.836 --> 00:10:14.980]  That despite the fact that Congress is trying to hold President Obama accountable for extending past the 60 days war power.
[00:10:15.000 --> 00:10:29.469]  Obama's been very indignant, said it's not necessary, said the level of hostilities don't justify congressional approval for a war, another war that America's been drawn into and that is only getting hotter and hotter.
[00:10:30.231 --> 00:10:30.756]  uh... further
[00:10:31.857 --> 00:10:42.344]  We've always known that if things go to Iran, that it will most likely draw in both Russia and China, possibly creating that World War III scenario.
[00:10:42.444 --> 00:10:47.367]  But as we heard the other day from Dr. Webster Tarpley, it may not even take Iran.
[00:10:47.588 --> 00:10:49.048]  Sure, they want to get to Iran.
[00:10:49.889 --> 00:10:53.892]  They've asked themselves in public papers, what path to Persia?
[00:10:53.912 --> 00:11:01.657]  A new approach for Iran was the document from outgoing Secretary of Defense Robert Gates and Zbigniew Brzezinski.
[00:11:02.337 --> 00:11:03.559]  One of our shadow overlords.
[00:11:04.339 --> 00:11:11.886]  And even if they don't get to Iran anytime soon, Libya may be enough for Russia and China to be drawn into a world war.
[00:11:11.906 --> 00:11:14.768]  It would be incredibly disastrous.
[00:11:15.189 --> 00:11:26.558]  Meanwhile, we have Robert Gates last week, coincidentally, during the Bilderberg conferences, warning NATO, warning Europe that they're not the allies they used to be unless they
[00:11:27.319 --> 00:11:28.980]  Up there, spending of defense.
[00:11:30.322 --> 00:11:34.945]  Robert Gates rebukes European allies in farewell speech, Washington Post.
[00:11:35.666 --> 00:11:40.570]  This was from June 10th, the first day of the Bilderberg Conference, or the second rather.
[00:11:41.030 --> 00:11:52.480]  Defense Secretary Robert M. Gates rebuked some of America's staunchest allies Friday, saying the United States has a dwindling appetite to serve as the heavyweight partner in a military order that has underpinned the U.S.
[00:11:52.520 --> 00:11:54.862]  relationship with Europe since the end of World War II.
[00:11:55.622 --> 00:12:00.666]  An unusually stinging speech made on his valedictory visit to Europe before he retires.
[00:12:01.087 --> 00:12:05.110]  At the end of the month, Gaetz condemned European defense cuts and said the U.S.
[00:12:05.170 --> 00:12:10.214]  is tired of engaging in combat missions for those who don't want to share the risks and costs.
[00:12:10.734 --> 00:12:18.241]  Even Robert Gaetz, who won't back this new war, is really telling the European allies that they need to step it up.
[00:12:18.281 --> 00:12:20.923]  There's been reports that NATO has already been running
[00:12:21.463 --> 00:12:21.823]  I don't think so.
[00:12:41.074 --> 00:12:48.298]  With foreign officials without the knowledge of Congress and yet here he is meeting not directly inside the Sovreta Hotel in St.
[00:12:48.338 --> 00:12:59.705]  Moritz but with a lot of the important Bilderberg members in Europe and really giving them one of those coded messages for the inter-elite not really generally for public consumption.
[00:13:00.206 --> 00:13:05.449]  And then by the same token we have really alarming points here as
[00:13:06.149 --> 00:13:19.013]  Leon Panetta is about to come in from CIA Director into Secretary of Defense position as they heat up Libya as Syria looks like it's probably the next hot area there in the Middle East.
[00:13:19.854 --> 00:13:25.636]  This article by John Galt from yesterday, Living in the Shadows, A World of Black Ops and Cyber Wars.
[00:13:26.616 --> 00:13:37.094]  All about how Leon Panetta, the exiting CIA director, openly admitted that Shadow Wars and Black Ops should be a strategy basically more often imposed.
[00:13:39.841 --> 00:13:42.503]  But that is something we're going to get more into on the other side.
[00:13:42.883 --> 00:13:44.744]  Paul Joseph Watson's going to join me.
[00:13:45.245 --> 00:13:49.688]  And coming up, we're going to get into some of the behind-the-scenes stories from Bilderberg.
[00:13:50.208 --> 00:13:57.773]  And more importantly, we're going to show how their agenda has nexus with this Arab Spring and the looming hot World War III crisis.
[00:13:58.613 --> 00:14:00.475]  On the other side, InfoWars.com.
[00:14:00.975 --> 00:14:01.696]  I'm Aaron Dykes.
[00:14:02.096 --> 00:14:05.118]  You want to check out the YouTube channel too, the Alex Jones Channel.
[00:14:07.728 --> 00:14:10.710]  We're on the march, the empire's on the run.
[00:14:11.651 --> 00:14:14.333]  Alex Jones and the GCN Radio Network.
[00:14:18.234 --> 00:14:22.257]  In the past two months, over 2,000 natural disasters have been recorded.
[00:14:22.518 --> 00:14:26.521]  With the ongoing economic crash, millions of Americans can't afford food.
[00:14:26.841 --> 00:14:31.785]  Also, because of the exploding price of fuel, many farmers can't afford to plant their crops.
[00:14:32.105 --> 00:14:35.248]  We must take control of our greatest dependency, food.
[00:14:35.508 --> 00:14:41.473]  Folks, you can trust eFoods Direct, the 28-year veteran of long-term storable foods, and they're here to help.
[00:14:41.693 --> 00:14:49.477]  For a limited time when you place your order for a three-week supply of the best storable food on the planet, you will receive the fourth week absolutely free.
[00:14:49.598 --> 00:14:54.881]  You will save $75 and receive a full month's supply for less than $8 a day.
[00:14:55.081 --> 00:14:56.762]  This offer ends on June 22nd.
[00:14:56.922 --> 00:15:00.824]  So act now and buy three to get the fourth one free from eFoodsDirect.
[00:15:01.044 --> 00:15:03.066]  Call 800-409-5633 or go online to efoodsdirect.com forward slash Alex.
[00:15:03.106 --> 00:15:04.387]  Your order deadline is June 22nd.
[00:15:04.407 --> 00:15:06.929]  To buy three and get one free, call 800-409-5633 or visit efoodsdirect.com forward slash Alex.
[00:15:21.187 --> 00:15:22.108]  Tyranny is here.
[00:15:22.448 --> 00:15:26.210]  The grim future foretold in 1984 has become reality.
[00:15:26.310 --> 00:15:28.592]  It really says that the state is God.
[00:15:28.612 --> 00:15:34.055]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:15:34.475 --> 00:15:40.719]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:15:41.139 --> 00:15:46.661]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:15:47.102 --> 00:15:50.783]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:15:51.303 --> 00:15:55.305]  Prepare to enter the secretive world of emergency dictatorship.
[00:15:55.585 --> 00:16:01.067]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:16:01.527 --> 00:16:04.489]  It's only the beginning of the New World Order's hellish plan.
[00:16:05.089 --> 00:16:06.489]  The police state isn't coming.
[00:16:07.050 --> 00:16:07.490]  It's here.
[00:16:08.150 --> 00:16:15.176]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:16:17.939 --> 00:16:19.440]  Hi folks, this is Alex Jones.
[00:16:19.660 --> 00:16:24.704]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:16:24.965 --> 00:16:26.306]  Saving means to make money.
[00:16:26.506 --> 00:16:35.274]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:16:36.014 --> 00:16:43.118]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:16:43.538 --> 00:16:51.142]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:16:51.542 --> 00:16:56.464]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:16:56.765 --> 00:16:58.946]  Getting a free catalog is easy by calling 800-340-7091.
[00:17:01.707 --> 00:17:04.610]  Or see Calvin on the web at FiveStarSoap.com.
[00:17:04.930 --> 00:17:07.112]  Take charge of your health now by calling 800-340-7091.
[00:17:07.172 --> 00:17:09.414]  Or see Calvin on the web at FiveStarSoap.com.
[00:17:43.877 --> 00:17:46.879]  We're back again on this Friday, June 17th.
[00:17:47.279 --> 00:17:50.121]  Things are unfortunately just heating up for World War III.
[00:17:50.761 --> 00:18:00.628]  I've just begun to try to slip into the destabilization campaign aimed for the Mideast region as the powers that be.
[00:18:01.188 --> 00:18:04.710]  Look like they're attempting to draw China and Russia into the conflict.
[00:18:04.991 --> 00:18:07.892]  Obviously they've had their eyes on Iran for years and years.
[00:18:09.113 --> 00:18:11.215]  Syria may now be drawn into conflict.
[00:18:12.996 --> 00:18:13.116]  It's...
[00:18:14.787 --> 00:18:20.610]  I wish I was more articulate because this is really the day before the big crisis.
[00:18:20.890 --> 00:18:25.733]  What was it like before World War I and World War II, which they provocateured also?
[00:18:25.753 --> 00:18:26.974]  Untold death.
[00:18:29.620 --> 00:18:30.560]  And untold harm.
[00:18:30.640 --> 00:18:32.641]  I really hope this doesn't happen again.
[00:18:32.761 --> 00:18:38.862]  But they probably actually don't want a World War III that looks like a hot World War III with the big label.
[00:18:39.622 --> 00:18:42.743]  They've always been pitching these wars on the humanitarian crisis.
[00:18:43.563 --> 00:18:54.345]  So much of the Arab Spring that we've been tracking for months and months now really has been under the guise of open democracy, of breaking through these dictator regimes.
[00:18:54.425 --> 00:18:56.706]  And sure, there's a lot of bad regimes in the Middle East.
[00:18:57.426 --> 00:19:01.327]  But I don't think our sabotage here in the United States is really going to help matters.
[00:19:02.068 --> 00:19:05.469]  Just one of those articles, the New York Times from April 14th, U.S.
[00:19:05.509 --> 00:19:07.710]  groups help nurture Arab uprisings.
[00:19:08.550 --> 00:19:10.711]  And I really think it gets back to
[00:19:11.741 --> 00:19:12.561]  An article from 2007.
[00:19:12.661 --> 00:19:15.723]  We have Paul Watson joining me in just a moment.
[00:19:15.963 --> 00:19:21.405]  But remember, revolution, flash mobs and brain chips, a grim vision of the future?
[00:19:22.725 --> 00:19:28.788]  You know, it, ostensibly on the surface, was something aimed for 2035, but why wait?
[00:19:28.888 --> 00:19:31.129]  Why not just craft the revolution?
[00:19:31.889 --> 00:19:36.831]  Make it seem like high-tech online groups, the Twitter revolution, the Facebook revolutions.
[00:19:37.451 --> 00:19:41.233]  Why not make it seem like that's where it's all coming from, when it's really U.S.-backed?
[00:19:41.933 --> 00:19:56.403]  It's just interesting, coming from Bilderberg this week, how many of the high-tech moguls were meeting inside of Bilderberg, and how many of them had very important roles in the Mideast crises.
[00:19:57.403 --> 00:19:59.425]  One of them is Google's Eric Schmidt.
[00:19:59.465 --> 00:20:05.348]  He was there at Bilderberg this year, and one of his executives basically started the protest in Egypt.
[00:20:05.388 --> 00:20:06.729]  He said he was very proud of them.
[00:20:07.550 --> 00:20:08.691]  Let's go now to Paul Watson.
[00:20:08.711 --> 00:20:09.211]  Do we have him?
[00:20:12.338 --> 00:20:13.842]  Hi Paul, thanks for joining me.
[00:20:13.862 --> 00:20:15.485]  It was great to see you in St.
[00:20:15.525 --> 00:20:16.748]  Moritz, Switzerland.
[00:20:16.848 --> 00:20:19.675]  What do you see happening as World War III looms?
[00:20:19.735 --> 00:20:22.120]  How much of this came through the Bilderberg Agenda, Paul?
[00:20:23.749 --> 00:20:24.830]  Good to be on the air, Aaron.
[00:20:25.730 --> 00:20:42.743]  Yeah, basically one of the first things that came out of the Bilderberg conference through Jim Tucker's sources was this fact that the globalists were petrified at the building resistance within Congress to the expansion, the intensification of this bombardment of Libya.
[00:20:43.864 --> 00:20:52.550]  And of course days later we got this information out of Fort Hood saying that the full-scale ground invasion is basically set for October.
[00:20:53.772 --> 00:21:01.760]  Yesterday you had Kucinich and Ron Paul file this federal lawsuit which goes after Obama for violating the War Powers Act.
[00:21:02.761 --> 00:21:12.511]  So again in both these instances this leaked information that Bilderberg were planning to intensify this war in the Middle East and North Africa
[00:21:13.232 --> 00:21:27.860]  Is already coming to fruition within days of the Bilderberg conference ending, so it proves once again that these power brokers don't get together to, you know, merely play tiddlywinks as many of the mainstream media will have us believe.
[00:21:28.941 --> 00:21:37.866]  But the fact that Libya is merely one outpost of this Middle Eastern war that the globalists want to inflame the entire region,
[00:21:40.310 --> 00:21:58.282]  Is proven by the fact that what you were just talking about now that they're talking about Syria of course we had information come out right at the end of the Bilderberg conference at the tail end of the summit that Bilderberg would make its agenda on Syria known in the coming days and weeks and that's precisely
[00:21:58.982 --> 00:22:21.320]  What we saw happen on Tuesday, we had reports that the USS Bataan Amphibia air carrier strike vessel, 2,000 marines, 6 warplanes, 15 attack helicopters, was being moved to a location just off the Syrian coast in preparation for another humanitarian military intervention.
[00:22:22.300 --> 00:22:33.711]  Under the justification of helping the protesters, up to a thousand apparently have been killed by police, about 300 police and military have been killed in the conflict.
[00:22:34.972 --> 00:22:37.954]  So now we're including Syria into the equation, of course.
[00:22:38.875 --> 00:22:51.530]  Similar brutality is occurring in both Bahrain and Saudi Arabia, but because those guys are in the New World Order club, we're not hearing about any kind of humanitarian intervention there for the time being.
[00:22:53.411 --> 00:23:08.956]  It's war is peace, Paul, but I just want to, of course, I want to stick with the geopolitics, but I just want to point out, this isn't my first Bilderberg meeting to observe, and I've learned that the agenda, they say, you're going to see leaks of it in the days immediately following the agenda.
[00:23:09.336 --> 00:23:18.119]  And we've seen that with Libya, we've seen that with Syria, and we've especially seen that with the cyber agenda and the false flag cyber attack they look like they're setting up, Paul.
[00:23:19.619 --> 00:23:38.807]  Well yeah, you've got more hack attacks on the World Bank, the CIA, and isn't it interesting that the fact that we got over 3 million views on Just In TV with our live coverage of Bilderberg using an iPhone 4 streaming live video and then just days after the event
[00:23:39.667 --> 00:23:43.048]  Um, you know, which all these tech moguls are attending.
[00:23:43.609 --> 00:23:52.232]  They come out with this new Apple patent which says that they're gonna block, via infrared sensors, people filming live events.
[00:23:52.352 --> 00:23:54.153]  Now, initially, that's gonna be concerts.
[00:23:54.233 --> 00:24:00.076]  Also, if you read the patent, it says, um, museums are gonna block it and embed their own watermark on it.
[00:24:00.916 --> 00:24:04.139]  But this is another tool with which to strangle the alternative media.
[00:24:04.179 --> 00:24:07.802]  This is going to be used to block police confrontations.
[00:24:07.862 --> 00:24:11.705]  It's going to be used to block people filming protests and political events.
[00:24:12.185 --> 00:24:29.460]  So all manner of subjects that Bilderberg were talking about and that they were looking to pursue and push through come out in the days, doesn't take weeks, doesn't take months, in the very days after the conference, once again debunking the myth that they have no influence over world events.
[00:24:30.561 --> 00:24:31.542]  Give me a break, Paul.
[00:24:31.602 --> 00:24:39.846]  It not only is that they want to cut down on protesters being able to cover the events, but they also want to pursue this anti-trust law agenda.
[00:24:40.566 --> 00:24:43.067]  They've got very important people from both the U.S.
[00:24:43.127 --> 00:24:48.129]  and the EU Commission on this year's member list I can get to in a minute.
[00:24:48.930 --> 00:24:52.131]  They not only want to be able to block what the U.S.
[00:24:52.171 --> 00:24:57.034]  can do, but they simultaneously, contradictorily, hypocritically
[00:24:57.816 --> 00:25:02.458]  Want to quote bankroll shadow internet for dissidents abroad.
[00:25:03.058 --> 00:25:07.980]  I've got this out of the AFP from June 12th, only a few days ago during the conference.
[00:25:08.020 --> 00:25:15.742]  The government is financing the development of shadow internet systems to enable dissidents abroad to get around government censors.
[00:25:15.762 --> 00:25:23.485]  So they're going to enable these people in the dictator countries while they climb down and make our own countries greater dictatorships, Paul.
[00:25:25.182 --> 00:25:36.328]  Well that's right and of course it all comes from this Cass Sunstein cognitive infiltration document which was put out by the Harvard professor Sunstein a year before Obama came to office.
[00:25:36.388 --> 00:25:49.254]  Now of course he's Obama's information czar and it's all about infiltrating, shutting down quote conspiracy theories which of course is anything that differs from the official version of events.
[00:25:49.314 --> 00:25:50.715]  So that's where it all stems from.
[00:25:51.295 --> 00:26:19.306]  Even in the Bush era in 2006 they said that the new war was against quote conspiracy theorists on the internet so this isn't a recent thing this stretches back at least five or six years that they plan to use the internet against us firstly to ferret us out and find out who the quote extremists are and then to shut down our free speech altogether so that was again in evidence at Bilderberg with Microsoft, Facebook, Google all of them
[00:26:19.326 --> 00:26:21.481]  There's been attendance to discuss this.
[00:26:22.523 --> 00:26:28.847]  Yeah, and in fact, the official BilderbergMeetings.org website leaked a very small agenda.
[00:26:28.887 --> 00:26:36.051]  We can only sort of read between the lines and match it up with the more detailed agenda that came out from moles and leaks inside.
[00:26:36.491 --> 00:26:37.892]  But let me just read those topics.
[00:26:38.393 --> 00:26:41.494]  Challenges for growth, innovation and budgetary discipline.
[00:26:41.895 --> 00:26:44.276]  The Euro and challenges for the European Union.
[00:26:44.376 --> 00:26:50.320]  Obviously, we know they're very concerned about the fall of Greece and what it's going to mean for the rest of the European Union.
[00:26:50.800 --> 00:26:53.903]  The role of emerging economies, conflict areas.
[00:26:54.423 --> 00:27:01.570]  If that is any euphemism, they just simply say conflict areas, as nearly the whole region falls into flames, Paul.
[00:27:01.930 --> 00:27:10.658]  They also have demographic challenges about the growing Mideast population and the declining Western populations, demographically speaking.
[00:27:11.298 --> 00:27:14.481]  China is on the list with no detail at all, Paul.
[00:27:14.921 --> 00:27:18.544]  Are they looking at war or peace or just simply the Treasury bond issues?
[00:27:18.984 --> 00:27:20.726]  They're also concerned about Switzerland.
[00:27:20.786 --> 00:27:22.587]  Can it remain successful in the future?
[00:27:23.008 --> 00:27:33.196]  We talked a lot about that, but they're very angry still that Switzerland remains neutral and sovereign and refuses to adopt their euro and European Union even as that begins to fall, Paul.
[00:27:35.097 --> 00:27:41.383]  And they've really just declared an unsafe haven for sovereign countries in the 21st century, so of course they want Switzerland.
[00:27:41.903 --> 00:27:49.090]  But they also talked about new challenges in the Middle East, as well as social networks, connectivity, and security issues.
[00:27:49.950 --> 00:27:55.375]  Just everything shows they're gearing towards this, and they've been covering that agenda for years now, Paul.
[00:27:55.816 --> 00:27:57.717]  Last year in Spain, June 2010,
