[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[00:03:47.572 --> 00:03:49.013]  And why do I raise that point?
[00:03:49.013 --> 00:03:55.698]  And then I'll get into new media and ideas that I can impart to you if you think they have any value.
[00:03:55.698 --> 00:03:58.099]  And it's this.
[00:03:58.099 --> 00:04:03.483]  What's happened is they plan to use the worldwide wiretap, the web,
[00:04:04.793 --> 00:04:07.695]  As a control group, but it did blow back.
[00:04:07.695 --> 00:04:16.741]  There were individuals that recognized what was happening and desperately used that system in a way that the establishment thought we wouldn't.
[00:04:16.741 --> 00:04:26.688]  They overestimated with their humorous and their arrogance because these technocrats literally have serious delusions of grandeur.
[00:04:26.688 --> 00:04:29.370]  And because that's happened now, the population
[00:04:30.583 --> 00:04:32.164]  Has awakened.
[00:04:32.164 --> 00:04:41.747]  Now, they haven't awakened to the full spectrum of what's happening, but they've awakened that there's more going on in the world than the top three or four stories every day.
[00:04:41.747 --> 00:04:46.189]  And they've awakened to that major changes are happening.
[00:04:46.189 --> 00:04:50.370]  And in their gut, they're searching.
[00:04:50.370 --> 00:04:57.853]  And in that searching, and getting outside the box, to use the cliche, and then getting outside of that box and that box, and...
[00:05:01.294 --> 00:05:03.016]  Hi folks, this is Alex Jones.
[00:05:03.016 --> 00:05:08.322]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:08.322 --> 00:05:09.864]  Saving means to make money.
[00:05:09.864 --> 00:05:18.654]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:19.375 --> 00:05:26.919]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:26.919 --> 00:05:34.924]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:34.924 --> 00:05:40.146]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:40.146 --> 00:05:42.308]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:45.089 --> 00:05:48.291]  Or see Calvin on the web at FiveStarSoap.com.
[00:05:48.291 --> 00:05:50.532]  Take charge of your health now by calling 800-340-7091.
[00:05:50.532 --> 00:05:52.794]  Or see Calvin on the web at FiveStarSoap.com.
[00:06:01.152 --> 00:06:05.195]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:06:05.195 --> 00:06:08.418]  This is our last chance to not relive history.
[00:06:08.418 --> 00:06:13.222]  As we're finishing off this agenda, we're pulling the rug from underneath the Americans at home.
[00:06:13.222 --> 00:06:19.627]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:06:19.627 --> 00:06:21.849]  I think it's incumbent upon all of us
[00:06:22.389 --> 00:06:22.689]  Tim Geithner?
[00:06:22.689 --> 00:06:23.189]  Bernanke?
[00:06:23.189 --> 00:06:23.870]  They're arsonists!
[00:06:23.870 --> 00:06:24.990]  They're asking for more matches!
[00:06:24.990 --> 00:06:27.411]  And the Congress is saying, who do we make the check out to?
[00:06:41.297 --> 00:06:48.560]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:06:48.560 --> 00:06:57.684]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:07:00.655 --> 00:07:04.917]  In the past two months, over 2,000 natural disasters have been recorded.
[00:07:04.917 --> 00:07:09.240]  With the ongoing economic crash, millions of Americans can't afford food.
[00:07:09.240 --> 00:07:14.503]  Also, because of the exploding price of fuel, many farmers can't afford to plant their crops.
[00:07:14.503 --> 00:07:17.885]  We must take control of our greatest dependency, food.
[00:07:17.885 --> 00:07:23.868]  Folks, you can trust eFoods Direct, the 28-year veteran of long-term storable foods, and they're here to help.
[00:07:24.108 --> 00:07:32.016]  For a limited time when you place your order for a three-week supply of the best storable food on the planet, you will receive the fourth week absolutely free.
[00:07:32.016 --> 00:07:37.501]  You will save $75 and receive a full month's supply for less than $8 a day.
[00:07:37.501 --> 00:07:39.343]  This offer ends on June 22nd.
[00:07:39.343 --> 00:07:43.247]  So act now and buy three to get the fourth one free from eFoodsDirect.
[00:07:43.447 --> 00:07:49.709]  Call 800-409-5633 or go online to efoodsdirect.com forward slash Alex.
[00:07:49.709 --> 00:07:51.530]  Your order deadline is June 22nd.
[00:07:51.530 --> 00:07:53.091]  To buy three and get one free.
[00:07:53.091 --> 00:08:00.394]  Call 800-409-5633 or visit efoodsdirect.com forward slash Alex.
[00:08:00.394 --> 00:08:05.656]  Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:05.656 --> 00:08:07.937]  Because there's a war on for your mind.
[00:08:16.102 --> 00:08:16.463]  Yeah.
[00:08:34.939 --> 00:09:00.247]  Well, we have some really good news today, also a lot of bad news, but there is a lot of good news on the front of awakening, on the front in the fight that we're waging to attempt to get people to start thinking about who runs our society, the things that we're told by our governments, the things that we're told by the major mega-corporations.
[00:09:01.391 --> 00:09:09.975]  So we are having some major victories in the war that's going on for all of our minds.
[00:09:09.975 --> 00:09:15.078]  Because if we're going to save our civilization, it is going to be an inside job.
[00:09:15.078 --> 00:09:23.282]  It's going to be something that we personally decide to do in our own lives that will then make ripples out from there expanding.
[00:09:24.022 --> 00:09:32.550]  Okay, there's a lot of Middle East news, economy news, big developments on the radiation front out of Japan.
[00:09:32.550 --> 00:09:47.205]  What we reported on two months ago is now mainstream news that the federal government has raised what they claim the safe levels of radiation are.
[00:09:49.721 --> 00:10:04.736]  Here in the United States from Fukushima and there's also some new reports dealing with the situation with the power plant in Nebraska.
[00:10:04.736 --> 00:10:07.880]  So we're going to be going over all of that today as well.
[00:10:10.609 --> 00:10:21.182]  And we do have Gerald Salente popping in to join us to talk about the first great war of the 21st century that is beginning to unfold in North Africa, the Middle East, and Central Asia.
[00:10:21.182 --> 00:10:25.727]  And we're going to examine what is the real definition of a world war.
[00:10:26.448 --> 00:10:31.511]  I put a video out last Friday that's had around 325,000 views.
[00:10:31.511 --> 00:10:36.673]  It should have 300 million views if people really understood how much danger we're all in.
[00:10:36.673 --> 00:10:40.655]  And I've got an addendum, a special report coming out later today.
[00:10:40.655 --> 00:10:50.560]  We may even premiere it here on air where I go through and define from different encyclopedias and different dictionaries
[00:10:52.501 --> 00:10:57.824]  what geopolitical analysts and historians say a world war is.
[00:10:57.824 --> 00:11:05.169]  And by every measurement, we've been in a world war in the last nine years.
[00:11:05.169 --> 00:11:15.895]  And George W. Bush did say in an ABC News interview and other interviews, you can just pull it up, George, you know, President Bush says war on terror is World War III.
[00:11:15.895 --> 00:11:19.217]  And that is exactly how the Pentagon defines it.
[00:11:19.217 --> 00:11:21.859]  They also defined the 50-year Cold War.
[00:11:23.311 --> 00:11:32.061]  Or right under 50 years from 47 to 1991 as the Third World War using proxies.
[00:11:32.061 --> 00:11:38.288]  The Pentagon and many military history historians call that World War Three.
[00:11:38.288 --> 00:11:40.831]  So do you call this then World War Four?
[00:11:43.823 --> 00:11:44.043]  I think?
[00:12:00.287 --> 00:12:03.508]  I mean, the list goes on and on.
[00:12:03.508 --> 00:12:11.251]  As I've pointed out many times and gone over the statistics, around 150 people in the United States die each year from wasp stings.
[00:12:11.251 --> 00:12:22.414]  Right around 105, it varies, but it's generally over 100 die from honeybee stings, and then several hundred die from spider bites.
[00:12:25.395 --> 00:12:30.258]  Close to a thousand die from complications from snake bites.
[00:12:30.258 --> 00:12:34.260]  You can again pull those numbers up online or get it from your World Almanac.
[00:12:34.260 --> 00:12:43.465]  Why then are we talking about giving up all of our liberties and all of our freedoms for the boogeyman of terrorism?
[00:12:43.465 --> 00:12:53.331]  And there's this idea in modern globalist law that they're attempting to basically overwrite European and British and
[00:12:54.824 --> 00:12:55.044]  U.S.
[00:13:25.345 --> 00:13:40.807]  And they are clearly prosecuting a war against the existing order and the existing structure and it has a thin veneer of nanny statism over it.
[00:13:41.567 --> 00:13:41.727]  I think?
[00:14:11.547 --> 00:14:11.707]  I think?
[00:14:29.344 --> 00:14:36.848]  And that's why many suburbs now around the country first license and then ban having a horse in your barn.
[00:14:36.848 --> 00:14:40.010]  Because a horse might throw you and break your back.
[00:14:40.010 --> 00:14:43.852]  A horse might jump out of its fence and run into a car.
[00:14:45.633 --> 00:14:50.957]  In fact, I've seen lately cases of cities grow into the rural areas.
[00:14:50.957 --> 00:14:55.560]  They're saying, well, you may own this 400 acre ranch, but we've now built subdivisions around you.
[00:14:55.560 --> 00:14:59.803]  You can't have your cows because a cow got out and a car ran into it.
[00:14:59.803 --> 00:15:05.567]  And because cows might get out of somebody else's ranch or farm in the future, we're going to ban you having cows.
[00:15:06.550 --> 00:15:08.952]  So it's that idea of prior constraint.
[00:15:08.952 --> 00:15:12.334]  A terrorist might sneak on this airplane and blow it up.
[00:15:12.334 --> 00:15:19.779]  Therefore, you are all treated as if you are guilty until proven innocent.
[00:15:19.779 --> 00:15:20.880]  But it's all for your own safety.
[00:15:22.083 --> 00:15:27.948]  And, oh my gosh, somebody got thrown off a horse and broke their neck.
[00:15:27.948 --> 00:15:35.194]  And so, we're going to ban you having horses in the incorporated county, in this town or that town.
[00:15:35.194 --> 00:15:46.884]  Or, oh, well, I mean, you saw it a few months ago with the new law in New York State, where they're going to, in some cases, 150-year-old summer camps, well established.
[00:15:47.344 --> 00:15:58.325]  And they're saying you can't have dodgeball, you can't have tug-of-war, you can't have king of the hill, capture the flag, you can't have any of this because somebody might get hurt.
[00:15:59.696 --> 00:16:00.797]  Sorry, you can't do it.
[00:16:00.797 --> 00:16:05.461]  You're going to have to stay indoors and play chess because somebody might get hurt.
[00:16:05.461 --> 00:16:06.762]  Well, you're going to get hurt.
[00:16:06.762 --> 00:16:07.843]  You're going to die.
[00:16:07.843 --> 00:16:10.305]  Kids are going to climb trees and break arms.
[00:16:10.305 --> 00:16:16.570]  Sometimes you're going to go swimming and you might gulp in some water and pass out and die.
[00:16:16.570 --> 00:16:18.592]  You're going to die driving down the highway.
[00:16:18.592 --> 00:16:19.473]  Some of us are going to die.
[00:16:21.616 --> 00:16:22.857]  I mean, it's going to happen.
[00:16:22.857 --> 00:16:28.682]  This idea that everything has to be safe and everything has to be pre-controlled.
[00:16:28.682 --> 00:16:30.824]  And that's the idea on speech.
[00:16:30.824 --> 00:16:31.724]  That's what they've done in Europe.
[00:16:31.724 --> 00:16:33.446]  They're now doing it in the United States.
[00:16:33.446 --> 00:16:35.427]  Google has put us on notice that owns YouTube.
[00:16:35.427 --> 00:16:41.152]  They may completely shut the channel down with 117 million views and growing several million a week now.
[00:16:41.152 --> 00:16:42.673]  It's really accelerating.
[00:16:42.673 --> 00:16:44.335]  And they've told us because, well,
[00:16:45.695 --> 00:16:50.297]  What you said about Obama could be construed as racist.
[00:16:50.297 --> 00:16:53.378]  Nothing about his race, nothing about race, period.
[00:16:53.378 --> 00:17:02.522]  We just said he was a tyrant and a thug and that they shouldn't try to censor people putting up Obama joker posters that depict him as a criminal.
[00:17:02.522 --> 00:17:04.783]  Whether you love him or hate him, it's our First Amendment.
[00:17:04.783 --> 00:17:07.144]  And they said, no, it's not.
[00:17:07.984 --> 00:17:11.307]  It's not your First Amendment because it might offend someone.
[00:17:11.307 --> 00:17:13.549]  It might cause someone to get angry.
[00:17:13.549 --> 00:17:17.392]  You might inflame someone's passions.
[00:17:17.392 --> 00:17:20.755]  Well, if you go to a church service, it might inflame your passions.
[00:17:20.755 --> 00:17:28.942]  In Canada, they've banned and have arrested, you can look it up, many preachers for reading anti-gay passages.
[00:17:28.942 --> 00:17:33.226]  Well, whether you love it or hate it, or don't care, it's their right to do it under free speech.
[00:17:34.804 --> 00:17:40.528]  But again, now there's that prior constraint, and the government's sending out letters saying, you might hurt someone's feelings.
[00:17:40.528 --> 00:17:42.109]  You can't say this.
[00:17:42.109 --> 00:17:43.890]  And so it is the end of freedom.
[00:17:43.890 --> 00:17:47.973]  And it's all sold so we can have this loving, utopian system.
[00:17:47.973 --> 00:17:54.697]  But when you look at the so-called liberals, they're not useful idiots, they're not morons, they're not environmental wackos.
[00:17:54.697 --> 00:17:56.978]  They know at the top exactly what they're doing.
[00:17:56.978 --> 00:18:00.441]  When Chris Matthews comes out and says, if you don't want government-run healthcare,
[00:18:01.101 --> 00:18:02.982]  You are a racist.
[00:18:02.982 --> 00:18:04.804]  You hate black people.
[00:18:04.804 --> 00:18:08.967]  That was a talking point on CNN and MSNBC for a year.
[00:18:08.967 --> 00:18:10.208]  Over and over again.
[00:18:10.208 --> 00:18:11.649]  You are a racist.
[00:18:11.649 --> 00:18:14.071]  You don't like the White House budget going up?
[00:18:14.071 --> 00:18:15.092]  You are a racist.
[00:18:15.092 --> 00:18:16.052]  We've played those clips.
[00:18:16.052 --> 00:18:17.493]  You are one.
[00:18:17.493 --> 00:18:26.260]  And the message is sit down and shut up and we're going to inject issues of race into everything.
[00:18:26.260 --> 00:18:26.940]  We're going to
[00:18:30.572 --> 00:18:34.333]  Actually create racism and division because we need it.
[00:18:34.333 --> 00:18:36.473]  We need it to divide and conquer you.
[00:18:36.473 --> 00:18:38.094]  We need it to control you.
[00:18:38.094 --> 00:18:45.796]  We're going to inject issues and make it the big national divisive issue over sexual preferences.
[00:18:45.796 --> 00:18:47.596]  We're going to inject these issues.
[00:18:47.596 --> 00:18:58.499]  We're going to make a third of the time in high school and college be about sex and race instead of reading, writing, and arithmetic and history.
[00:18:58.979 --> 00:19:13.015]  There's a reason we were number one 50 years ago in global test scores and are now, depending on the measurement you look at, 47th, 53rd, way behind, not just first world, but a bunch of third world nations.
[00:19:14.406 --> 00:19:15.607]  It's done by design.
[00:19:15.607 --> 00:19:18.070]  We have the government handbooks.
[00:19:18.070 --> 00:19:23.996]  We just released the Scientific Destruction of Minds video.
[00:19:23.996 --> 00:19:29.562]  We first posted it at PrisonPlanet.TV for the members, then we move it to the YouTube channel for the entire public.
[00:19:29.562 --> 00:19:36.569]  And your support of PrisonPlanet.TV finances these films, these documentaries that are then given to the public.
[00:19:37.190 --> 00:19:42.555]  And that's why it's so important that we get even more members at PrisonPlanet.tv so we can expand.
[00:19:42.555 --> 00:19:47.539]  But I got off on this whole idea of prior constraint and how that's the ultimate tyranny.
[00:19:47.539 --> 00:19:49.942]  We're going to enslave you for your own safety.
[00:19:49.942 --> 00:19:57.569]  Well, who protects us from the protectors, which in history always get on power trips and overreach?
[00:19:58.269 --> 00:20:00.471]  ...and have to be brought back into line.
[00:20:00.471 --> 00:20:05.695]  If you drive for a living, you don't get paid to stop or wait in line.
[00:20:05.695 --> 00:20:08.277]  Keep your wheels moving with PrePass.
[00:20:08.277 --> 00:20:17.524]  Bypass weigh stations, fly by port of entry facilities, stay moving at highway speed, while the guy without PrePass waits in line.
[00:20:20.023 --> 00:20:22.004]  Save time, save money.
[00:20:22.004 --> 00:20:26.968]  Call 888-401-PASS to try prepass free.
[00:20:26.968 --> 00:20:30.310]  That's 888-401-PASS.
[00:20:30.310 --> 00:20:31.631]  Hi, this is Ted Anderson.
[00:20:31.631 --> 00:20:36.174]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:20:36.174 --> 00:20:41.998]  They've been available since 1986, yet the financial industry won't recognize the value of gold before your retirement.
[00:20:41.998 --> 00:20:45.340]  Gold has outperformed paper investments, yet no word about IRAs.
[00:20:45.620 --> 00:20:48.342]  If you would like to have gold for your retirement, call 800-686-2237.
[00:20:48.342 --> 00:20:53.406]  Don't get left behind by rising inflation and low returns.
[00:20:53.406 --> 00:20:55.667]  Call 800-686-2237.
[00:20:55.667 --> 00:20:57.769]  Secure your future and call 1-800-686-2237.
[00:20:57.769 --> 00:21:07.036]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:21:07.316 --> 00:21:18.325]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:21:18.325 --> 00:21:24.150]  All Iodine Protection Packs are in stock, save you money, and ship for free in all 50 states.
[00:21:24.150 --> 00:21:26.793]  Visit hempusa.org or call 908-691-2608 today!
[00:21:29.815 --> 00:21:39.141]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:39.141 --> 00:21:39.942]  This capitalism?
[00:21:39.942 --> 00:21:46.206]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:46.206 --> 00:21:47.087]  Hi, Ted Anderson.
[00:21:47.087 --> 00:21:50.349]  I'm placing a silver dollar in a book explains our monetary system.
[00:21:50.349 --> 00:21:51.129]  Call for your copy 800-686-2237.
[00:21:51.129 --> 00:21:52.550]  It's time to understand the system.
[00:21:52.550 --> 00:21:52.870]  Call 800-686-2237.
[00:21:52.870 --> 00:21:53.151]  That's 800-686-2237.
[00:22:00.175 --> 00:22:02.557]  They helped to create a New World Order.
[00:22:02.557 --> 00:22:04.879]  We are part of a New World Order.
[00:22:04.879 --> 00:22:08.101]  A New World Order based upon collective action.
[00:22:08.101 --> 00:22:13.205]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:22:13.205 --> 00:22:17.388]  The New World Order really is a tool for addressing a new world of possibilities.
[00:22:17.708 --> 00:22:20.052]  It means all the world under their control.
[00:22:20.052 --> 00:22:22.596]  The United Nations would take over America.
[00:22:22.596 --> 00:22:25.860]  The Trilateral Commission would control the world.
[00:22:25.860 --> 00:22:33.472]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:22:33.792 --> 00:22:39.175]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:22:39.175 --> 00:22:42.037]  Global governance with the establishment of the G20.
[00:22:42.037 --> 00:22:45.719]  So it's going to be an inner ruling elite and then everyone else.
[00:22:45.719 --> 00:22:46.780]  And I got news for you.
[00:22:46.780 --> 00:22:48.121]  You're everyone else.
[00:22:48.121 --> 00:22:49.622]  Invisible Empire.
[00:22:49.622 --> 00:22:54.385]  Secure your copy today at InfoWars.com or PrisonPlanet.com.
[00:22:54.385 --> 00:22:57.867]  Or watch it online in the highest quality at PrisonPlanet.tv.
[00:22:59.656 --> 00:23:02.739]  Where can you find a super-strength potassium iodide supplement?
[00:23:02.739 --> 00:23:05.381]  Right here at ThyroidKI.com.
[00:23:05.381 --> 00:23:10.806]  With global radiation levels at record highs, is your thyroid safe from radioactive iodine poisoning?
[00:23:10.806 --> 00:23:17.792]  Potassium iodide, the key ingredient in Thyroid KI, is proven to block radioactive iodine from damaging your thyroid.
[00:23:17.792 --> 00:23:20.855]  Thyroid damage is permanent and can lead to thyroid cancer.
[00:23:21.095 --> 00:23:31.518]  Unlike other potassium iodide products, Thyroid KI is formulated in convenient 32.5 milligram tablets and is independently tested for purity with a 100% money back guarantee.
[00:23:31.518 --> 00:23:33.959]  With limited stock selling fast, act now.
[00:23:33.959 --> 00:23:36.459]  Prepare yourself and protect your family.
[00:23:36.459 --> 00:23:38.520]  Use coupon code THYROID for a 10% discount.
[00:23:39.520 --> 00:23:41.501]  Visit thyroidki.com.
[00:23:41.501 --> 00:23:44.523]  That's thyroid, the letter K, the letter I, dot com.
[00:23:44.523 --> 00:23:46.284]  Thyroidki.com.
[00:23:46.284 --> 00:23:46.745]  Or call 855-599-9444.
[00:23:46.745 --> 00:23:46.805]  855-599-9444.
[00:23:46.805 --> 00:23:47.245]  Again, that's 855-599-9444.
[00:24:09.332 --> 00:24:29.657]  By the way, we were up here till late last night and Rob Jacobson, one of our chief video editors and filmmakers, has not slept to complete the special report with some in-depth information on Rick Perry that undoubtedly is going to make the news.
[00:24:29.657 --> 00:24:37.199]  And we're going to premiere this live video slash audio report coming up in an hour and six minutes from now.
[00:24:38.346 --> 00:24:39.460]  Or technically, um...
[00:24:41.589 --> 00:24:45.851]  1233 Central Time, so about an hour and seven minutes away.
[00:24:45.851 --> 00:24:49.253]  We're gonna premiere that 15-minute report here.
[00:24:49.253 --> 00:24:51.915]  It's not at PrisonPlanet.tv yet.
[00:24:51.915 --> 00:24:59.039]  We're gonna premiere it streaming to the PrisonPlanet.tv subscribers and of course to all the radio listeners.
[00:24:59.039 --> 00:25:09.386]  It is also an in-depth audio report and right now Rob is back there writing up the key report on it, the text that will go along with it.
[00:25:10.406 --> 00:25:26.873]  I would imagine and in fact I meant to talk to him during the break and give him this good news so he could add it to it and I'll give you that good news here in just a moment dealing with the TSA and the fight being led by Texas.
[00:25:26.873 --> 00:25:29.434]  And yes, Rick Perry had his arm twisted
[00:25:30.752 --> 00:25:31.192]  I don't
[00:25:49.662 --> 00:25:51.023]  Almost 100% of the votes.
[00:25:51.023 --> 00:25:56.707]  They had unanimous in the House, and they only had one person claiming they were going to vote against it in the Senate.
[00:25:56.707 --> 00:26:05.993]  So they had a near complete unanimous vote, and he went in and sabotaged it and told people, don't let folks know I'm sabotaging this.
[00:26:05.993 --> 00:26:13.258]  But another senior senator, Dan Patrick, who himself has been groped, said, I'm not putting up with this, buddy boy.
[00:26:13.258 --> 00:26:17.401]  I saw you on the floor with the Justice Department people twisting arms.
[00:26:17.401 --> 00:26:18.321]  I'm coming out against you.
[00:26:18.321 --> 00:26:19.202]  You make me sick.
[00:26:20.303 --> 00:26:36.941]  And we're also working on getting the state rep on who led the fight in the House, Simpson, and he's been involved in exposing the fact that Perry has been caught lying
[00:26:38.021 --> 00:26:41.324]  And he finally called Perry out on the carpet yesterday.
[00:26:41.324 --> 00:26:46.009]  And so last night, Perry announced that he would add it to the special session.
[00:26:46.009 --> 00:26:48.371]  Only the governor could do it.
[00:26:48.371 --> 00:26:52.314]  But not before he got caught lying on video.
[00:26:52.314 --> 00:26:53.916]  Not once, but twice.
[00:26:53.916 --> 00:26:55.918]  That's only part of the special report coming up.
[00:26:55.918 --> 00:26:59.701]  Listen, I would love to have a real Texan as president.
[00:26:59.701 --> 00:27:00.001]  Okay?
[00:27:00.001 --> 00:27:01.303]  I would love to believe in Rick Perry.
[00:27:01.903 --> 00:27:04.904]  But I can't be conned, okay?
[00:27:04.904 --> 00:27:08.906]  And I've been conned in my life, but once bitten, twice shy.
[00:27:08.906 --> 00:27:13.108]  I cannot be willfully conned.
[00:27:13.108 --> 00:27:19.991]  I cannot be willfully ignorant and willfully lie to myself because I have pride in Texas.
[00:27:19.991 --> 00:27:25.333]  And I'm proud of the good people in my state and their history of fighting tyranny, okay?
[00:27:25.333 --> 00:27:27.374]  The frontiersman of the frontiersman.
[00:27:28.166 --> 00:27:50.057]  Okay, uh, the creme de la creme of truly swashbuckling, uh, hardcore people, some of them criminals, uh, a lot of them serious trailblazers, you know, this is really where some of the greatest frontier battles went on across the board against the French, the British, the, I mean, the list, uh, the list goes on and on.
[00:27:51.067 --> 00:28:09.225]  Mexico and and I'm proud of the Alamo in the whole nine yards and I'm sick of George Bush giving Texas a bad name and now Rick Perry and I'm telling you he's going to probably be the next president he's going to be a disaster a disaster for this country just like Obama's been
[00:28:10.419 --> 00:28:14.340]  And that's what they need is a gimmick for the public.
[00:28:14.340 --> 00:28:26.684]  And Obama was a gimmick, literally packaged by Pepsi executives and Google executives, that's on record, with the logoing and he's gonna fix everything so they can just sucker you a few more years.
[00:28:26.684 --> 00:28:31.986]  Then you wake up to Obama and he's now as worthless as used toilet paper.
[00:28:32.955 --> 00:28:37.417]  I mean, he is uncool on campuses, the Obama stickers are coming off.
[00:28:37.417 --> 00:28:39.819]  Come on, folks, couldn't you just listen early on?
[00:28:39.819 --> 00:28:41.559]  Do you have to get totally conned?
[00:28:41.559 --> 00:28:44.141]  And it's the same thing with Rick Perry.
[00:28:44.141 --> 00:28:47.302]  Okay, see, I'm already getting into the special report on Rick Perry.
[00:28:47.302 --> 00:28:50.884]  But I want to give you part of it, the good news here in a few minutes.
[00:28:50.884 --> 00:28:52.805]  And there's lots of good news.
[00:28:52.805 --> 00:28:57.507]  Texas tells feds, shove your lightbulb, ban.
[00:28:57.507 --> 00:29:00.329]  Texas is saying that they're not going to go along with it.
[00:29:01.543 --> 00:29:02.663]  Leading the way again.
[00:29:02.663 --> 00:29:05.804]  And here's the Houston Chronicle headline.
[00:29:05.804 --> 00:29:08.985]  Perry adds anti-groping bill to special session.
[00:29:08.985 --> 00:29:13.185]  The whole nation looks at Texas and the bill that rose from the ashes.
[00:29:13.185 --> 00:29:19.287]  And they even give yours truly credit that we led the first big demonstration that took over the Capitol.
[00:29:19.287 --> 00:29:26.128]  But I'm controversial conspiracy theorist Alex Jones led the first major rally against it.
[00:29:27.728 --> 00:29:28.889]  So good job, folks.
[00:29:28.889 --> 00:29:30.230]  It shows what you can do.
[00:29:30.230 --> 00:29:34.553]  All right, all right.
[00:29:34.553 --> 00:29:40.218]  I've got some really exciting news, some other positive news.
[00:29:40.218 --> 00:29:43.881]  When we come back from break, you're not going to want to miss this transmission today.
[00:29:43.881 --> 00:29:48.905]  Special report coming up at the bottom of the next hour, where we really look at Rick Perry very close.
