[00:00:26.035 --> 00:00:32.323]  Good evening and welcome to the Monday, October 17, 2011 edition of InfoWars Nightly News.
[00:15:23.863 --> 00:15:26.627]  He said to me, it was a turning point in my life, Jeffrey.
[00:15:26.667 --> 00:15:30.412]  I realized what I was doing and what they were doing was diametrically opposed.
[00:15:30.772 --> 00:15:38.883]  I was doing safety studies, but these companies, the Boutte companies, were doing as little as possible to get their foods on the market as quickly as possible.
[00:15:39.724 --> 00:15:40.465]  So he knew
[00:15:41.423 --> 00:16:10.544]  He knew that the crops on the market might be causing the same kind of massive damage to his rats, the potentially precancerous cell growth in their digestive tract, smaller brains, livers, and testicles, partial atrophy of the liver, damaged immune system, because he discovered that those problems did not come from the particular gene that was inserted into the potato, but it was based on the generic process of genetic engineering, and that he had used the same process
[00:16:11.403 --> 00:16:25.073]  That the biotech industry uses to genetically engineer its foods and that none of these problems that he found in his rats would ever be discovered and identified in the superficial and flimsy science that they use to get their crops on the market.
[00:16:25.833 --> 00:16:27.715]  Well, if you could elaborate that on a little.
[00:16:27.875 --> 00:16:32.718]  I know some of the studies are only 90 days or so, not nearly long enough to show some of the effects.
[00:16:33.359 --> 00:16:37.382]  What specifically are we talking about that makes these studies so flimsy and superficial?
[00:16:38.297 --> 00:16:39.979]  Well, yes, the time is one thing.
[00:16:40.419 --> 00:16:47.325]  Second, they confound the design to make it really difficult to find something that's statistically significant.
[00:16:47.826 --> 00:16:48.807]  I'll give you an example.
[00:16:48.847 --> 00:16:59.697]  In Monsanto's 1996 Journal of Nutrition study, which Arpad Pustai told me that everyone in his team knew it was rigged to avoid finding problems.
[00:17:00.589 --> 00:17:06.094]  They basically, and it was other subsequent peer-reviewed studies, have used that as an example of poor science.
[00:17:06.695 --> 00:17:13.522]  They diluted the feed, so they only had one twelfth the amount of protein as the GM soy.
[00:17:13.542 --> 00:17:16.985]  So there's almost no GM soy in this supposed feeding study.
[00:17:17.165 --> 00:17:23.992]  They added too much protein, so that any protein inefficiencies or deficiencies would have been masked out.
[00:17:24.764 --> 00:17:28.446]  They used older animals instead of the young, fast-growing ones.
[00:17:28.766 --> 00:17:38.991]  See, we older adults, we use food mostly as energy, whereas young, fast-growing bodies take the nutrition and form their systems and their organs.
[00:17:39.451 --> 00:17:48.736]  And so that's why they use fast-growing young animals in general nutrition studies, and that's apparently why Monsanto chose older animals so they wouldn't show any problem.
[00:17:49.542 --> 00:17:55.404]  When they wanted to show compositional differences, they wanted to show that the composition of GM and non-GM were the same.
[00:17:55.944 --> 00:18:02.786]  They basically picked crops grown in a wide variety of conditions to make as much background noise as possible.
[00:18:03.006 --> 00:18:03.987]  You're not supposed to do that.
[00:18:04.007 --> 00:18:07.868]  You're supposed to grow in side-by-side equivalent conditions.
[00:18:08.328 --> 00:18:09.989]  They had one place that they did that.
[00:18:10.269 --> 00:18:14.470]  They referred to it in the study, but completely left out the data.
[00:18:15.211 --> 00:18:18.715]  That data was then recovered from the archives of the Journal and made public.
[00:18:18.755 --> 00:18:31.188]  It turns out the reason why Monsanto did not release the full data from their study was it because it showed that their genetically modified soy, when cooked, had as much as seven times the amount of a known allergen.
[00:18:31.728 --> 00:18:36.430]  And about twice the amount of an anti-nutrient, something that blocks the absorption of nutrients.
[00:18:36.891 --> 00:18:44.955]  So when they find problems, they leave it out, and when they conduct their studies, they design it so that it's very difficult to find statistical significance.
[00:18:45.495 --> 00:18:54.539]  There was one study done by another company, it was Aventus, and they found that twice the number of chickens died when they ate their genetically modified corn.
[00:18:55.039 --> 00:19:00.102]  But the study was designed so poorly that even the doubling of the death rate was not statistically significant.
[00:19:01.212 --> 00:19:01.352]  Mm.
[00:19:02.033 --> 00:19:02.514]  Outrageous.
[00:19:02.814 --> 00:19:06.538]  Now talk about some of the findings that have been shown in the independent studies.
[00:19:06.958 --> 00:19:09.001]  I know they've been correlated over the years.
[00:19:09.775 --> 00:19:20.279]  Well, let's do it in the terms of scientists under attack, because I think it's interesting to stick to contrast what these scientists have found and the reaction by the biotech industry.
[00:19:20.800 --> 00:19:23.621]  We'll start already with R. Podpustai, since we're almost there.
[00:19:24.101 --> 00:19:29.403]  He took potatoes genetically engineered to produce an insecticide and fed them to one group of rats.
[00:19:29.903 --> 00:19:38.147]  A second group of rats got non-GM potatoes, and a third group of rats got non-GM potatoes, plus their diet was spiked with the same insecticide
[00:19:38.823 --> 00:19:40.164]  That the GM potato produced.
[00:19:40.805 --> 00:19:44.148]  But only the rats that ate the genetically modified potato got hurt.
[00:19:44.869 --> 00:19:46.530]  So it was not the insecticide.
[00:19:47.091 --> 00:20:00.343]  It was somehow the process of genetic engineering that caused the massive collateral damage in the DNA of the crops, which caused some kind of toxin or some real problem or set of problems in the potato.
[00:20:01.016 --> 00:20:05.317]  And when he discovered the issue, he was invited to go on television and speak.
[00:20:05.657 --> 00:20:07.637]  He was given permission from his director.
[00:20:08.037 --> 00:20:11.198]  And when he spoke on TV, he was a hero at his prestigious institute.
[00:20:11.238 --> 00:20:18.780]  The director took over all of the media, declared his research, you know, world-class and life-changing and all that.
[00:20:19.240 --> 00:20:25.561]  And then two phone calls were placed by the UK Prime Minister's office, forwarded through the receptionist to the director.
[00:20:25.961 --> 00:20:29.922]  And the next day, that same director, who the day before was praising Arpad Pustai,
[00:20:30.442 --> 00:20:34.525]  fired him after 35 years and silenced him with threats of a lawsuit.
[00:20:35.546 --> 00:20:40.070]  Another study, which was talked about in Scientists Under Attack, Irina Ermakova.
[00:20:40.770 --> 00:20:53.241]  She fed genetically modified soy, the same soy grown on 93% of the acreage of soy in the United States, fed soy flour to female rats starting two weeks before they got pregnant.
[00:20:53.941 --> 00:20:56.543]  More than half of their babies died within three weeks.
[00:20:57.184 --> 00:20:59.766]  The babies were also smaller and could not reproduce.
[00:21:00.569 --> 00:21:06.670]  This compared to a death rate of only 10% when the mothers were fed non-GM soy.
[00:21:07.510 --> 00:21:11.611]  So what happened with her is she was immediately attacked by the biotech industry.
[00:21:11.651 --> 00:21:15.292]  She released it as preliminary evidence saying, please repeat this study.
[00:21:15.652 --> 00:21:16.492]  It's inexpensive.
[00:21:16.532 --> 00:21:16.992]  It's easy.
[00:21:17.052 --> 00:21:17.753]  It's shocking.
[00:21:17.793 --> 00:21:18.513]  It's astounding.
[00:21:18.833 --> 00:21:24.014]  Please provide finances so we can take the preserved organs and do a proper analysis.
[00:21:24.614 --> 00:21:26.015]  She never got a repetition.
[00:21:26.135 --> 00:21:27.175]  She never got her money.
[00:21:27.556 --> 00:21:28.416]  She was vilified.
[00:21:28.476 --> 00:21:36.000]  She was set up by Nature Biotechnology, which pretended that she was going to be getting her own essay in their magazine.
[00:21:36.280 --> 00:21:41.503]  And what it was, was a setup so that these pro-biotech scientists could attack her with meaningless criticisms.
[00:21:42.043 --> 00:21:51.232]  She told me, after we spoke at the EU Parliament, that documents were stolen and burnt on her desk, samples were stolen from her laboratory.
[00:21:51.672 --> 00:21:56.817]  One of her colleagues tried to comfort her by saying, well, maybe the GM soy will solve the overpopulation problem.
[00:21:57.751 --> 00:21:58.811]  So that's the Russian.
[00:21:58.851 --> 00:22:10.916]  Now, five years later, another senior scientist at the Russian Academy of Sciences also dared to do GMO research on GM soy, feeding GM soy to hamsters over two years.
[00:22:10.956 --> 00:22:19.279]  By the third generation, most lost the ability to have babies, some had hair growing in their mouths, and the death rate, the infant mortality rate, was four to five times.
[00:22:19.859 --> 00:22:29.423]  Now, this was supposed to be published two months after their announcement in April of 2010, and we haven't seen anything yet, so we're wondering if they've also been stifled.
[00:22:30.323 --> 00:22:31.084]  There's other studies.
[00:22:31.344 --> 00:22:41.868]  For example, a French team, they actually got hold of the raw data from Monsanto studies, which are usually submitted in secret to regulatory agencies.
[00:22:42.358 --> 00:22:50.002]  And so it's complete junk science, but the regulatory agencies are these companies' own minions, and so they just rubber stamp whatever they're given.
[00:22:50.503 --> 00:23:09.794]  But these scientists, through a lawsuit and leaked documents, were able to get the actual rat studies that Monsanto conducted on three of their corn varieties, when Monsanto said the rats passed with flying colors, but when the scientists reanalyzed the data with proper statistics, they found signs of toxicity in the liver and kidneys.
[00:23:10.354 --> 00:23:28.925]  Then they looked at all 19 studies on soy and corn that have been published and found that there were signs of toxicity throughout in the liver and kidneys of rats and that there was a greater incidence in one organ with males and a different organ with females, suggesting hormonal influences, which can be very serious.
[00:23:29.505 --> 00:23:30.786]  And of course they were attacked.
[00:23:31.226 --> 00:23:36.689]  Dr. Seralini was called names by another scientist and he decided to fight back.
[00:23:37.276 --> 00:23:44.484]  What he did is he actually sued the scientist that was attacking him and sued him for libel and won in a French court.
[00:23:45.623 --> 00:23:49.364]  Now, most of the attacks that we see are done verbally.
[00:23:49.744 --> 00:23:50.924]  They're professional setups.
[00:23:51.404 --> 00:23:59.266]  Ignacio Chapella, for example, who's in the film Scientists Under Attack, he was denied tenure and they had to fight back with lawsuits.
[00:23:59.606 --> 00:24:07.607]  There was a fake people that were posting things on the internet that actually would trace back to the Monsanto and their PR company.
[00:24:07.848 --> 00:24:12.308]  So they were just posting as a fake scientist to try and get trouble for Ignacio Chapella.
[00:24:12.609 --> 00:24:14.729]  So most of the attacks are
[00:24:16.910 --> 00:24:21.353]  They try and get the professional organization to censure the scientists.
[00:24:21.713 --> 00:24:25.836]  But there was a physical attack in Argentina which was just horrible.
[00:24:26.457 --> 00:24:37.564]  There was a guy named Andreas Carrasco and he discovered that Roundup, which is the herbicide by Monsanto which is used on most of the genetically modified crops,
[00:24:38.345 --> 00:24:40.206]  Turns out to be related to birth defects.
[00:24:40.866 --> 00:24:55.230]  He'd been hearing these stories of the indigenous people being sprayed by Roundup next to the soy fields and complaining of there was a four-fold increase in birth defects over the decade and a three-fold increase in cancer.
[00:24:55.710 --> 00:25:07.453]  So he took minute amounts of Roundup and injected into embryos of chicken and frogs and sure enough they had the same birth defects that were being complained about by these indigenous people.
[00:25:08.013 --> 00:25:14.438]  Well, certainly he was attacked verbally and people showed up, four aggressive people showed up at his laboratory and tried to interrogate him.
[00:25:14.818 --> 00:25:26.746]  But when he tried to speak in a suburb, actually in a rural area outside of Buenos Aires, an organized group, a mob of about a hundred, physically attacked him and his party.
[00:25:27.087 --> 00:25:30.489]  He was able to make it into his car and they beat his car for two hours.
[00:25:30.949 --> 00:25:32.831]  But some of his friends were not so lucky.
[00:25:32.931 --> 00:25:35.673]  One was knocked unconscious and one ended up paralyzed.
[00:25:36.174 --> 00:25:42.476]  And this was a horrible experience from someone, he said, he wasn't discovering something new, it's been in the literature.
[00:25:43.041 --> 00:25:43.281]  Right.
[00:25:44.442 --> 00:25:46.224]  And we're talking about Scientists Under Attack.
[00:25:46.284 --> 00:25:53.249]  It is at the Infowars store and it's bundled with your other great work too, Jeffrey M. Smith, as well as films like The World According to Monsanto.
[00:25:54.050 --> 00:25:57.733]  Now I want to get into also, let's talk about some of the revolving door issues.
[00:25:57.753 --> 00:26:01.456]  People like Michael Taylor from Monsanto, inside the U.S.
[00:26:01.516 --> 00:26:02.897]  government, at the FDA.
[00:26:03.458 --> 00:26:06.560]  How much does that factor into the suppression of these studies?
[00:26:07.001 --> 00:26:08.242]  Or do you believe that is a factor?
[00:26:08.908 --> 00:26:18.052]  It's a full court press by the biotech industry, on the regulators, on the media, on the academic institutions, on the land-grant universities, on the extension agents.
[00:26:18.593 --> 00:26:23.635]  It's completely unprecedented, and they have an amazing power all over the world.
[00:26:23.675 --> 00:26:28.638]  It's eroding now, but it's still awesome, and I've seen it as I travel to 33 countries.
[00:26:29.198 --> 00:26:33.360]  The role of Michael Taylor is a perfect example
[00:26:33.900 --> 00:26:39.281]  And it explains why we can't trust the FDA in its policies on GMOs.
[00:26:39.341 --> 00:26:44.382]  Michael Taylor was in charge of policy at the FDA when their GMO policy came out.
[00:26:44.642 --> 00:26:47.623]  So he was the person that directed that policy.
[00:26:48.223 --> 00:27:00.545]  And if you read the documents made public from a lawsuit, you can find scientists complaining because every single rewrite of the policy shows that their complaints and concerns about GMOs were systematically removed.
[00:27:01.045 --> 00:27:03.185]  And one person said, what's become of this document?
[00:27:03.226 --> 00:27:04.906]  It's basically a political document.
[00:27:05.206 --> 00:27:09.527]  It has no science in it, and it has no attention to the unexpected side effects.
[00:27:09.987 --> 00:27:20.429]  You see, the overwhelming consensus among the scientists at the FDA were that GMOs were inherently dangerous and could create allergies, toxins, new diseases, and nutritional problems.
[00:27:20.809 --> 00:27:25.150]  They urged over and over to their superiors to require long-term study.
[00:27:26.013 --> 00:27:31.255]  But the policy came out and said, we don't see any real significant difference with GMOs.
[00:27:31.656 --> 00:27:35.017]  It's so similar to other foods, no testing is necessary.
[00:27:35.597 --> 00:27:37.418]  They said no labeling is necessary.
[00:27:37.858 --> 00:27:43.041]  They said companies like Monsanto that make most of the GMOs, they told us that PCBs were safe.
[00:27:43.141 --> 00:27:43.581]  They lied.
[00:27:43.601 --> 00:27:45.742]  They told us that DDT and Agent Orange were safe.
[00:27:45.822 --> 00:27:46.262]  They lied.
[00:27:46.582 --> 00:27:50.744]  But now they can tell us whether their GMOs are safe and not even tell the FDA.
[00:27:51.559 --> 00:28:02.966]  Now, it turns out Michael Taylor was Monsanto's former attorney, and after he presided over the policy, he went to the USDA and worked on biotech issues, and then became Monsanto's vice president.
[00:28:03.326 --> 00:28:06.008]  And now the Obama administration put him in as the U.S.
[00:28:06.048 --> 00:28:06.948]  Food Safety Czar.
[00:28:07.529 --> 00:28:16.194]  So we have the fox guarding the henhouse, and we have people from Monsanto telling us that Monsanto will protect us, we should trust Monsanto.
[00:28:16.829 --> 00:28:21.390]  However, I talked to one Monsanto scientist, and he's a former Monsanto scientist.
[00:28:21.670 --> 00:28:28.032]  He said he saw problems in safety studies on Monsanto's crops.
[00:28:28.372 --> 00:28:30.012]  It was from his friends who were doing the studies.
[00:28:30.392 --> 00:28:38.074]  And instead of withdrawing the crops that were causing the harm to the animals, they simply rewrote the study so it would appear to be less harmful.
[00:28:38.712 --> 00:28:43.795]  He said three of his colleagues at Monsanto were doing safety studies on bovine growth hormone.
[00:28:44.035 --> 00:28:53.021]  They found so much IGF-1 in the milk, which is linked to cancer, these three scientists refused to drink milk thereafter, unless it was organic.
[00:28:53.121 --> 00:29:00.366]  One bought his own cow, because they refused to eat the products that were affected by Monsanto's own genetically modified drug.
[00:29:02.307 --> 00:29:08.028]  We know some of these effects can take as long as the third generation to show up in the rat studies.
[00:29:08.088 --> 00:29:14.310]  Now, if that happens in humans, is there a plausible deniability for Monsanto and the other responsible parties?
[00:29:14.350 --> 00:29:19.551]  What's going to happen when this starts to affect large sectors of the population down the road?
[00:29:20.311 --> 00:29:23.632]  Well, first of all, you're assuming it's going to be down the road.
[00:29:23.852 --> 00:29:26.333]  I interviewed a pediatrician this morning.
[00:29:27.029 --> 00:29:33.453]  And she's describing new ailments that she hasn't seen before that have been on the rise in the last 10 to 15 years.
[00:29:33.934 --> 00:29:48.643]  She's very worried that GMOs are a major contributor to the autism spectrum explosion, to the food allergies, to the enormous problems with digestion in the young, in the babies, and in the whole new generation.
[00:29:49.187 --> 00:29:58.350]  When GMOs were introduced in 1996, 7% of us in America had at least three chronic illnesses, and that jumped to 13% in just nine years.
[00:29:58.670 --> 00:30:00.271]  Reproductive problems have gone up.
[00:30:00.391 --> 00:30:01.511]  Food allergies have gone up.
[00:30:01.792 --> 00:30:03.532]  Gastrointestinal problems have gone up.
