[00:00:00.209 --> 00:00:01.469]  You've got it, brother.
[00:11:36.989 --> 00:11:42.613]  By the way, Jaron was down at his favorite place to watch soccer on television.
[00:11:42.613 --> 00:11:44.794]  You don't mind if I say where you go watch soccer, do you, Jaron?
[00:11:46.923 --> 00:11:47.404]  He loves it.
[00:11:47.404 --> 00:11:48.385]  Fido's down there.
[00:11:48.385 --> 00:11:50.387]  He's always trying to get me to go down there.
[00:11:50.387 --> 00:11:51.368]  And guess who was there?
[00:11:51.368 --> 00:11:53.069]  Robert Plant!
[00:11:53.069 --> 00:12:00.517]  And I almost could strangle Jaren for not going up with his iPhone, his producer phone, and shooting quick interview with Robert Plant.
[00:12:00.517 --> 00:12:01.699]  Nobody was bugging him in there.
[00:12:02.239 --> 00:12:03.919]  Most people didn't even know who he was.
[00:12:03.919 --> 00:12:05.240]  I guess he owns one of the teams.
[00:12:05.240 --> 00:12:07.600]  His team was losing the team he was watching.
[00:12:07.600 --> 00:12:10.161]  And Jaron didn't go over and talk to Robert Plant.
[00:12:10.161 --> 00:12:15.042]  And then Jaron pointed out, well, my iPhone's so old, the producer iPhone is so old, it doesn't shoot video.
[00:12:15.042 --> 00:12:17.003]  So I have to get a new producer phone.
[00:12:17.003 --> 00:12:29.086]  But side issue that got brought up, I heard Jeff Ward on Local 590 AM this week saying that he talked to a cab driver who saw, who had Robert Plant in his car.
[00:12:29.386 --> 00:12:34.668]  I don't know why Robert Plant's here in town, and quite frankly, at the end of the day, he's a great musician, but I really don't care.
[00:12:34.668 --> 00:12:37.310]  I just brought it up because we're talking about rock and roll.
[00:12:37.310 --> 00:12:42.912]  Listen to the words of this song before I come back and get into what's really happening with the 2012 presidential campaign.
[00:12:42.912 --> 00:12:45.513]  Obama, Rick Perry, all of them.
[00:12:45.513 --> 00:12:47.134]  They're all in the same camp.
[00:12:47.134 --> 00:12:48.594]  Different parties, same camp.
[00:12:48.594 --> 00:12:50.935]  Only one guy stands outside of it.
[00:12:50.935 --> 00:12:52.976]  But listen to this.
[00:12:52.976 --> 00:12:53.497]  These words.
[00:12:53.497 --> 00:12:54.597]  Won't get fooled again.
[00:12:54.597 --> 00:12:55.858]  The who?
[00:12:55.858 --> 00:12:58.539]  We'll be fighting in the streets with our children at our feet.
[00:12:59.821 --> 00:13:04.085]  And the morals that they worship will be gone.
[00:13:04.085 --> 00:13:11.952]  And the men who spurred us on said in judgment of all wrong, they decide and the shotgun sings the song.
[00:13:11.952 --> 00:13:13.374]  Talk about revolution.
[00:13:13.374 --> 00:13:21.201]  I'll tip my hat to the new constitution, I'll take a bow for the new revolution, smile and grin at the change all around me, the hope and change.
[00:13:21.942 --> 00:13:23.045]  It's 1971.
[00:13:23.045 --> 00:13:27.796]  Pick up my guitar and play just like yesterday and I'll get on my knees and pray.
[00:13:27.796 --> 00:13:29.440]  We won't get fooled again.
[00:13:29.440 --> 00:13:30.523]  Don't get fooled again.
[00:13:31.741 --> 00:13:33.201]  Change, it had to come.
[00:13:33.201 --> 00:13:38.083]  We knew it all along, but we were liberated from the fall, that's all.
[00:13:38.083 --> 00:13:45.545]  But the world looks just the same and history ain't changed because the banners, they were all flown in the last war.
[00:13:45.545 --> 00:13:49.046]  They're always fighting the last war, not the new, the new con game.
[00:13:49.046 --> 00:13:54.008]  You think of a dictator as Hitler or Stalin and Mao, not as a bureaucracy, not as a banking cartel.
[00:13:55.854 --> 00:14:10.619]  I'll tip my hat to the new constitution, take a bow for the new revolution, smile and grin at the change all around me, pick up my guitar and play just like yesterday, and I'll get on my knees and pray we won't get fooled again, don't get fooled again, no, no.
[00:14:10.619 --> 00:14:17.562]  By the way, I have confirmed from folks that most of the Who are huge fans of the show, and if you're listening out there, you ought to come on the show.
[00:14:17.562 --> 00:14:24.164]  Of course, there's even folks in rock bigger than the Who who I've talked to who are listeners but won't come on.
[00:14:25.863 --> 00:14:32.546]  Continuing here, I'll move myself and my family aside if we happen to be left half alive.
[00:14:32.546 --> 00:14:39.649]  I'll get all my papers and smile at the sky, for I know that the hypnotized never die, do ya?
[00:14:39.649 --> 00:14:42.730]  And it doesn't sound as good when I'm speaking it, sorry folks.
[00:14:42.730 --> 00:14:54.195]  There's nothing in the street that looks any different to me, and the slogans are replaced by the by, and the parting on the left is now the parting on the right,
[00:14:55.129 --> 00:14:59.372]  And the beards have all grown longer overnight.
[00:14:59.372 --> 00:15:01.494]  I'll tip my hat to the new constitution.
[00:15:01.494 --> 00:15:04.115]  I'll take a bow for the new revolution.
[00:15:04.115 --> 00:15:06.397]  Smile and grin at the change all around me.
[00:15:06.397 --> 00:15:08.779]  Pick up my guitar and play just like yesterday.
[00:15:08.779 --> 00:15:12.421]  Then I'll get on my knees and pray we don't get fooled again.
[00:15:12.421 --> 00:15:13.442]  Don't get fooled again.
[00:15:13.442 --> 00:15:14.703]  No, no.
[00:15:14.703 --> 00:15:15.844]  Yeah!
[00:15:15.844 --> 00:15:18.265]  Meet the new boss, same as the old boss.
[00:15:18.265 --> 00:15:20.567]  Folks, do you like being conned?
[00:15:20.567 --> 00:15:23.349]  Do you enjoy being screwed around?
[00:15:24.790 --> 00:15:34.519]  There's one person in the 2012 race who's being attacked by MSNBC and Fox, by CNN and CNBC.
[00:15:34.519 --> 00:15:41.465]  There's one guy in every debate who, when he wins the poll, MSNBC didn't show it and Fox didn't either.
[00:15:41.465 --> 00:15:47.971]  There's one guy that they dubbed booing over whenever he won the CPAC poll two years in a row.
[00:15:47.971 --> 00:15:49.052]  His name's Ron Paul.
[00:15:49.753 --> 00:15:53.738]  We're gonna talk about Rick, Slimeball, Perry, all of them straight ahead.
[00:15:53.738 --> 00:15:58.605]  We're gonna talk about Obama and how pathetic he is and how I told you he would implode.
[00:16:02.213 --> 00:16:06.174]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:16:06.174 --> 00:16:15.037]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:16:15.037 --> 00:16:19.658]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:16:19.658 --> 00:16:30.481]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:16:31.121 --> 00:16:40.623]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[00:16:40.623 --> 00:16:46.065]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:16:46.065 --> 00:16:53.546]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:16:53.546 --> 00:16:56.307]  That's www.SilverLungs.com.
[00:17:00.220 --> 00:17:01.401]  A very wealthy U.S.
[00:17:01.401 --> 00:17:08.326]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:17:08.326 --> 00:17:10.888]  He says it will change everything about our lives.
[00:17:10.888 --> 00:17:16.052]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:17:16.252 --> 00:17:19.293]  Now, this man has made some outrageous predictions over the years.
[00:17:19.293 --> 00:17:21.614]  The crazy part is, he's usually right.
[00:17:21.614 --> 00:17:27.856]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:17:27.856 --> 00:17:31.237]  In fact, Barron's called his work a dire prophecy.
[00:17:31.237 --> 00:17:37.019]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:17:37.019 --> 00:17:38.660]  And it's a real eye-opener.
[00:17:38.660 --> 00:17:39.800]  I can't stress this enough.
[00:17:39.960 --> 00:17:42.623]  You should at least watch this free video online today.
[00:17:42.623 --> 00:17:46.848]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:17:46.848 --> 00:17:51.474]  You can find the video at www.EndOfAmerica3.com.
[00:17:51.474 --> 00:17:54.077]  That's End of America, the number 3.com.
[00:17:54.077 --> 00:17:57.081]  Watch the free video at www.EndOfAmerica3.com.
[00:17:57.081 --> 00:17:57.701]  That's EndOfAmerica3.com.
[00:17:59.904 --> 00:18:04.445]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:18:04.445 --> 00:18:05.365]  Number one.
[00:18:05.365 --> 00:18:08.786]  New climate legislation could easily double or triple your electric bill.
[00:18:08.786 --> 00:18:09.646]  Number two.
[00:18:09.646 --> 00:18:14.547]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:18:14.547 --> 00:18:15.287]  It's true.
[00:18:15.287 --> 00:18:20.148]  Total government control of electricity in the name of smart grid technology is coming.
[00:18:20.148 --> 00:18:20.988]  Number three.
[00:18:20.988 --> 00:18:24.569]  In some areas of the country, the power grid is dangerously overloaded.
[00:18:24.569 --> 00:18:28.250]  And now, new socialist legislation is only compounding the problem.
[00:18:28.470 --> 00:18:29.271]  Number 4.
[00:18:29.271 --> 00:18:32.033]  Dangerous weather is always a threat to local grids.
[00:18:32.033 --> 00:18:35.717]  Every year, thousands of families lose their power from weather-related outages.
[00:18:35.717 --> 00:18:36.498]  Number 5.
[00:18:36.498 --> 00:18:40.661]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:18:40.661 --> 00:18:45.406]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:18:45.706 --> 00:18:49.870]  You can get more information at www.mysolarbackup.com.
[00:18:49.870 --> 00:18:51.651]  That's mysolarbackup.com.
[00:18:51.651 --> 00:18:53.913]  Remember, the government doesn't own the sun.
[00:18:53.913 --> 00:18:56.735]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:18:56.735 --> 00:19:01.319]  Hello friends, Alex Jones here.
[00:19:01.319 --> 00:19:04.482]  You all know I've worked for years with Steve Schenck and eFoods Direct.
[00:19:04.762 --> 00:19:07.324]  I have e-foods for my own emergency food supply.
[00:19:07.324 --> 00:19:10.387]  You know, Steve, life is different now for all of us, isn't it?
[00:19:10.387 --> 00:19:11.187]  Very different.
[00:19:11.187 --> 00:19:21.136]  People are using this great food to survive the present hurricane season, and we've already had $40 billion worth of damage from floods, storms, quakes, and droughts.
[00:19:21.136 --> 00:19:23.398]  And that's just the first eight months of this year.
[00:19:23.398 --> 00:19:27.501]  Natural disasters are newsworthy, but only touch a few of us Americans.
[00:19:27.501 --> 00:19:31.084]  The huge issue of the greatest depression is on everyone's minds.
[00:19:31.144 --> 00:19:37.509]  The unemployment, the loss of homes, lost businesses and skyrocketing food costs are hitting every American.
[00:19:37.509 --> 00:19:39.350]  So everyone needs food security.
[00:19:39.350 --> 00:19:43.253]  Folks, this month you will get free shipping on every food order from eFoodsDirect.
[00:19:43.253 --> 00:19:46.496]  That's right, every order gets free shipping starting September 6th.
[00:19:46.496 --> 00:19:52.801]  Get stocked up with the best storable foods out there with eFoodsDirect and be prepared for any emergency before it happens.
[00:19:52.801 --> 00:19:55.563]  To take advantage of this special call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:20:01.198 --> 00:20:02.719]  Coast to Coast.
[00:20:02.719 --> 00:20:04.780]  Direct from Austin.
[00:20:04.780 --> 00:20:07.983]  You're listening to the Alex Jones Broadcasting Network.
[00:20:36.073 --> 00:20:48.920]  That's right, all of these fools ran from George W. Bush when he was leaving office.
[00:20:50.020 --> 00:20:52.021]  To Barack Obama.
[00:20:52.021 --> 00:20:57.183]  And if you would have voted for McCain, you would have been going to another establishment, bought and paid for individual.
[00:20:57.183 --> 00:21:01.284]  When you actually look at their policies, there's almost no difference.
[00:21:01.284 --> 00:21:03.845]  There's a difference in delivery and style.
[00:21:03.845 --> 00:21:11.888]  But in the final equation, modern American presidents are puppets of the bureaucracy and of the special interests that are put into power.
[00:21:12.688 --> 00:21:16.610]  Now, I know what I'm saying here today is no revelation.
[00:21:16.610 --> 00:21:22.853]  I know that probably over 90% of you are saying, really, Alex, tell us something we don't know.
[00:21:22.853 --> 00:21:24.173]  What are you going to tell us next?
[00:21:24.173 --> 00:21:29.035]  That birds sing, that water's wet, that the sky is blue?
[00:21:29.035 --> 00:21:32.077]  Okay, well, okay, so you know this.
[00:21:32.077 --> 00:21:39.640]  Well, then why is Mitt Romney right now the frontrunner with Rick Perry second and Ron Paul third?
[00:21:41.212 --> 00:21:47.994]  Why are two dyed-in-the-wool establishment hacks in power?
[00:21:47.994 --> 00:21:49.234]  Let me go one further.
[00:21:49.234 --> 00:21:57.076]  Why don't Democrats love Rick Perry and love Mitt Romney?
[00:21:57.076 --> 00:22:02.117]  I mean, they're for torture, they're for wars, they're for big government.
[00:22:02.117 --> 00:22:07.238]  They're bought and paid for by the very same big Wall Street interests that get the trillions in corporate welfare.
[00:22:07.238 --> 00:22:09.939]  I mean, if you really look at who finances all these people,
[00:22:11.954 --> 00:22:13.655]  That's what I used to tell Democrats.
[00:22:13.655 --> 00:22:26.819]  I said, look, you should love George Bush because the very same special interests that are financing your political party are financing him.
[00:22:26.819 --> 00:22:37.462]  And I told Democrats, I said, you're going to love Obama, even though he's going to continue everything Bush did, because that's who the very same special interests are putting money into.
[00:22:37.462 --> 00:22:38.863]  This is not rocket science.
[00:22:40.191 --> 00:22:44.453]  And so the Republican and Democratic leadership will act like they're fighting with each other.
[00:22:44.453 --> 00:23:01.742]  But when you get down to a case like Ron Paul, and I was driving in listening to local radio today and I heard a host asking his listeners, why are you saying Ron Paul is a first-tier when he came in fifth or whatever it was in Florida?
[00:23:02.984 --> 00:23:09.087]  Why do you guys keep insisting he can win, and I heard a few callers who really couldn't articulate things.
[00:23:09.087 --> 00:23:13.388]  Let me articulate things for everybody out there, okay?
[00:23:13.388 --> 00:23:20.011]  Ron Paul has won the two coveted CPAC polls in a row by record percentages.
[00:23:20.011 --> 00:23:25.754]  That is a Republican straw poll of the real Republican faithful.
[00:23:26.775 --> 00:23:35.480]  He got standing ovations when he spoke about non-interventionism and true libertarian constitutionalism, that you can call conservatism.
[00:23:35.480 --> 00:23:36.561]  It's all just labels.
[00:23:36.561 --> 00:23:39.343]  The point is, he's a steadfast.
[00:23:39.343 --> 00:23:46.667]  And this year, when he won, Fox News dubbed booing over it, and got caught and said it was an accident.
[00:23:46.667 --> 00:23:52.731]  Ron Paul has won the New Hampshire, statistically, because he's bought 4,000 votes, that's admitted.
[00:23:52.731 --> 00:23:54.712]  He won the Iowa.
[00:23:54.712 --> 00:23:55.793]  He won the California.
[00:23:56.741 --> 00:24:02.705]  He won most of the other states, or came in second or third place.
[00:24:02.705 --> 00:24:04.766]  But that isn't what matters.
[00:24:04.766 --> 00:24:09.630]  Even though Ronald Reagan won those polls, and even though Ronald Reagan won the CPAC, that's all somewhat important.
[00:24:09.630 --> 00:24:16.094]  What is important is, he is the second biggest collector of money under Mitt Romney.
[00:24:16.094 --> 00:24:20.797]  And it's small donations on average, less than 50 bucks, when Mitt Romney's are in the thousands.
[00:24:20.797 --> 00:24:24.220]  You can go look it up at the Federal Elections Commission.
[00:24:24.220 --> 00:24:25.781]  They're going to be filing more of those numbers soon.
[00:24:27.150 --> 00:24:29.871]  So, number one, he's a big earner.
[00:24:29.871 --> 00:24:32.091]  A big collector of money.
[00:24:32.091 --> 00:24:33.631]  And it's coming from grassroots.
[00:24:33.631 --> 00:24:37.512]  He's gotten over 70% of all military donations combined.
[00:24:37.512 --> 00:24:38.933]  You can just search that term.
[00:24:38.933 --> 00:24:40.733]  Ron Paul gets majority of military donations.
[00:24:40.733 --> 00:24:42.874]  You'll get Politico, Associated Press.
[00:24:42.874 --> 00:24:45.714]  But again, buried in the back of the news.
[00:24:45.714 --> 00:24:48.615]  He gets more than all Republicans and Obama combined.
[00:24:48.615 --> 00:24:48.935]  Ron Paul.
[00:24:51.698 --> 00:24:57.442]  Ron Paul, in every scientific poll I've seen, comes in first, second, or third place.
