[00:00:23.171 --> 00:00:24.232]  And we are back!
[00:02:43.595 --> 00:02:52.663]  Because they say, oh my God, all over the news, Alex Jones says they're adding chemicals to the water and to the printer ink and everything else to reduce fertility and do this to people.
[00:02:53.164 --> 00:02:55.846]  And then they spin it and say it has something to do with gay or straight.
[00:02:56.366 --> 00:02:58.088]  This has to deal with infertility.
[00:02:58.629 --> 00:03:05.535]  And the byproduct is the men are so confused hormonally that they're not even attracted to women.
[00:03:06.195 --> 00:03:07.456]  And this is epidemic.
[00:03:07.537 --> 00:03:09.618]  And then they turn on assault like this
[00:03:10.825 --> 00:03:24.264]  in the oh don't be homophobic just just take the chemicals and join us okay so so it's amazing information and I'm gonna be breaking that down coming up and if you guys are looking for
[00:03:25.782 --> 00:03:30.325]  The article is, Ron Paul Disavows Racist Newsletters Under His Name.
[00:03:30.405 --> 00:03:35.888]  That is the name of the article that we're going to be going over on that front.
[00:03:36.308 --> 00:03:38.189]  This is the mind control we face.
[00:03:38.529 --> 00:03:54.178]  The government, in concert with major corporations, is adding chemicals to the water, to the food, and to the containers that food is in, that in hundreds of studies, including government studies, is massively increasing cancer.
[00:03:55.051 --> 00:03:59.795]  My footnote is, is that it confuses sexuality in men, hyper-feminizes women.
[00:04:01.016 --> 00:04:03.338]  And then the media spins it like it's an attack.
[00:04:04.319 --> 00:04:07.281]  I know there are some people who are naturally attracted to the same sex.
[00:04:07.582 --> 00:04:09.583]  That isn't my issue here on this broadcast.
[00:04:10.484 --> 00:04:13.687]  The point is, this is a sterilization process.
[00:04:14.707 --> 00:04:15.367]  And it's wrong.
[00:04:15.407 --> 00:04:17.129]  People should decide if they're going to have children.
[00:04:17.509 --> 00:04:19.450]  People should be naturally what they are.
[00:04:19.570 --> 00:04:23.833]  This is an attempt to make people something they aren't for population reduction.
[00:04:24.013 --> 00:04:25.133]  I'm going to go with the proof coming up.
[00:04:25.554 --> 00:04:29.236]  Now, let's get into the main body of the news before I get back into that detail here.
[00:04:30.457 --> 00:04:34.919]  Obama to ask for debt limit hike, Treasury official.
[00:04:34.939 --> 00:04:37.061]  Remember, the last debt increase is going to be the last.
[00:04:37.953 --> 00:04:47.220]  And we're going into the debt to the mega banks that own the private Federal Reserve that we bailed out to the tune in one year of 16 plus trillion.
[00:04:47.521 --> 00:04:51.884]  A total in the last four years, 27 trillion and we haven't gotten new numbers in a while.
[00:04:52.384 --> 00:04:59.370]  So we give them trillions and then they come in and loan it back to the American people and we go into debt to them.
[00:05:01.192 --> 00:05:04.413]  The government, of course, loans them the money at zero or lower than zero.
[00:05:04.673 --> 00:05:06.914]  They loan it back to us at massive interest.
[00:05:07.314 --> 00:05:10.295]  And so now the debt ceiling that was $14 trillion went to $15.194 trillion.
[00:05:10.315 --> 00:05:12.056]  Now it's going to $16.394 trillion.
[00:05:16.417 --> 00:05:22.823]  So now it is jumping back up, yet again, in everybody's face.
[00:05:23.364 --> 00:05:34.895]  And this is all part of these money changers, these Ponzi scheme operators, that literally create all this out of nothing, but then we've got to pay taxes on our real labor to them, giving their Ponzi fraud value.
[00:05:35.336 --> 00:05:37.878]  You get how that little magician trick works?
[00:05:37.958 --> 00:05:40.661]  So there is that report on that front.
[00:05:41.653 --> 00:05:55.852]  Now here's another big fat, see I told you so, and it doesn't matter whether it's Obama in office, it doesn't matter whether it's George Bush in office, Mitt Romney, anybody but Ron Paul, it's the same deal because they're all bought and paid for by the same interest.
[00:05:56.213 --> 00:05:57.494]  Here's another big fat,
[00:05:57.995 --> 00:05:58.735]  I told you so.
[00:05:59.115 --> 00:06:08.538]  Because almost ten years ago, I watched C-SPAN and I saw Homeland Security say, you're going to have to have government approval to have a job, to live, to drive, to walk down the street.
[00:06:08.878 --> 00:06:12.680]  If you haven't paid all the taxes, we say, we're going to order your employers to fire you.
[00:06:13.160 --> 00:06:18.681]  I mean, this is like in the ghettos in Germany where they said you can't operate a business now, you've got to wear a yellow star.
[00:06:19.001 --> 00:06:21.702]  This is exactly what tyrannies engage in.
[00:06:22.002 --> 00:06:22.963]  Here's the LA Times.
[00:06:23.863 --> 00:06:26.664]  TSA screenings aren't just for airports anymore.
[00:06:27.580 --> 00:06:33.863]  And it says bus stations, malls, well they're already running ads where they show the TSA at malls and at football games.
[00:06:34.223 --> 00:06:42.586]  We're coming to grab your daughter's genitals, to look in your baby's diaper, to confiscate your cupcakes, that's now happening, to train you that you're a prisoner and you're bad.
[00:06:42.606 --> 00:06:45.668]  And notice they say, critics say it's largely political theater.
[00:06:45.988 --> 00:06:55.232]  No, critics say it's conditioning to train us to be prisoners, dog training, and it's training us we're guilty until proven slaves, not guilty until proven innocent.
[00:06:55.452 --> 00:07:00.253]  Of course, it should be innocent until proven guilty, but now it's just you're guilty, only Homeland Security can be trusted.
[00:07:00.493 --> 00:07:03.974]  The same folks caught shipping drugs into the U.S., guns out of the U.S., on record.
[00:07:04.475 --> 00:07:11.597]  The same crooks with big mega banks laundering hundreds of billions of drug money every year, getting caught, nobody gets in trouble, like Corzine taking all that money and not getting in trouble.
[00:07:11.697 --> 00:07:14.237]  I mean, it's just open a bunch of thugs out of control.
[00:07:14.998 --> 00:07:16.098]  And they don't care that we know.
[00:07:17.278 --> 00:07:18.078]  I guess they do kind of care.
[00:07:18.098 --> 00:07:20.639]  They're moving to start shutting down the free Internet as we know it and admitting it.
[00:07:21.579 --> 00:07:23.080]  So, there's that here.
[00:07:24.266 --> 00:07:26.128]  No, people are mad because it's groping.
[00:07:26.449 --> 00:07:30.734]  I saw numbers of $40 billion a year now lost in tourism in the U.S.
[00:07:30.794 --> 00:07:31.035]  alone.
[00:07:31.335 --> 00:07:32.256]  People won't come here.
[00:07:32.657 --> 00:07:40.967]  Communist China, which is a police state, doesn't do this to go down the road or to go to a shopping mall or to go to an airplane.
[00:07:41.624 --> 00:07:41.904]  Okay?
[00:07:42.405 --> 00:07:43.646]  So, it's amazing.
[00:07:44.107 --> 00:07:45.308]  And so, they're going to be everywhere.
[00:07:45.549 --> 00:07:49.173]  And they just got their funding tripled to do this, so look out.
[00:07:50.034 --> 00:07:50.694]  There's that article.
[00:07:51.275 --> 00:07:57.482]  And look, I could show you us nine and a half years ago in films I made and articles warning you about this, but here we are.
[00:07:58.263 --> 00:08:21.178]  From December 7th of last year, more than a year ago, Americans Outraged as Big Sis launches DHS invasion of society, and in the article we talk about highway checkpoints, telescreens in Walmarts and other locations, saying only trust government, government PSAs, and how they're going to be involved in every aspect of your life doing this.
[00:08:21.238 --> 00:08:27.903]  They were already doing test cases of this, where you pull up and the feds are running local police, and they go, we're going to grow up your family.
[00:08:28.263 --> 00:08:29.103]  Just randomly.
[00:08:29.403 --> 00:08:30.404]  Again, you're all guilty.
[00:08:30.584 --> 00:08:32.765]  How about the government gets groped?
[00:08:33.145 --> 00:08:45.930]  I bet if you actually went and checked what they're doing, you'd find all sorts of horrible stuff because these are a pack of criminals with a bunch of veterans who've been overseas setting up police state systems in other countries, now coming back and filling the ranks.
[00:08:46.980 --> 00:08:49.041]  And again, most veterans come back awake.
[00:08:49.342 --> 00:08:58.107]  They do psychological testing and find the ones that like checkpoints and, you know, groping people and doing all this, and they set them up to wage war against the American people.
[00:08:59.588 --> 00:09:08.614]  Speaking of China and speaking of police states, China has jailed another dissident, Qin Ziyi, for 10 years if I'm pronouncing that right.
[00:09:09.075 --> 00:09:12.237]  And they said because he wrote some blogs criticizing the government,
[00:09:13.935 --> 00:09:23.141]  They said that he had criticized the government, that undermines them, and so he can be arrested and basically disappear into a black hole.
[00:09:23.621 --> 00:09:29.004]  And now our criminal government has put this on paper and says it's the law with the NDAA.
[00:09:29.624 --> 00:09:36.649]  So all over the world, governments are saying, hey, you're inciting subversion through online essays.
[00:09:36.969 --> 00:09:38.450]  You're saying the government's illegitimate.
[00:09:38.830 --> 00:09:40.171]  You disappear into a black hole.
[00:09:40.911 --> 00:09:42.833]  But at least here he had a judge and a trial.
[00:09:43.234 --> 00:09:44.895]  Under the NDAA, you don't even get that.
[00:09:45.836 --> 00:09:46.857]  So, continuing here.
[00:09:49.040 --> 00:09:49.780]  Here's AP.
[00:09:50.421 --> 00:09:51.342]  The so-called U.S.
[00:09:51.382 --> 00:09:52.783]  military is pulled out of Iraq.
[00:09:53.044 --> 00:09:57.488]  They've kept over 100,000 contractors there, got giant embassy bases.
[00:09:57.528 --> 00:09:58.529]  They run the military.
[00:09:58.810 --> 00:10:01.452]  They already want to break the country in three parts, as they always plan to do.
[00:10:02.409 --> 00:10:03.070]  And Al Qaeda.
[00:10:03.890 --> 00:10:07.673]  The same real Al Qaeda groups they're using to attack Iran, their neighbor, who's Shiite.
[00:10:08.473 --> 00:10:14.518]  Our media then, so-called media, says Iran is Al Qaeda, when the Shiites are the opposite of the Wahhabists.
[00:10:15.990 --> 00:10:24.113]  Okay, I mean, the rest of the world laughs at us, but they think our public is so dumb, hey, one brown guy is different, you know, from another brown guy.
[00:10:24.133 --> 00:10:24.954]  I don't think so.
[00:10:25.414 --> 00:10:32.216]  I mean, that's basically how the world sees this, is that we're just totally mindless and absolutely dumbed down.
[00:10:32.877 --> 00:10:35.298]  But here, the average American just says, hey,
[00:10:36.218 --> 00:10:36.659]  You know what?
[00:10:36.999 --> 00:10:38.281]  That must be a SWAT team officer.
[00:10:38.421 --> 00:10:38.962]  Oh, I'm sorry.
[00:10:39.643 --> 00:10:40.784]  I thought terrorists wore masks.
[00:10:41.525 --> 00:10:43.007]  There's an evil Al-Qaeda terrorist.
[00:10:43.047 --> 00:10:43.948]  He's going to try to get us.
[00:10:44.289 --> 00:10:45.530]  We've got to give all our rights up.
[00:10:45.951 --> 00:10:51.598]  And meanwhile, it's admitted that Al-Qaeda works for the criminal banks and they've given them control of Libya.
[00:10:52.219 --> 00:10:53.920]  Now they're invading Syria with them.
[00:10:54.220 --> 00:10:56.880]  They've given them control of so many other countries like Egypt.
[00:10:57.340 --> 00:10:59.821]  Al-Qaeda is a tool of the New World Order period.
[00:11:00.261 --> 00:11:01.462]  And here's the Associated Press.
[00:11:01.802 --> 00:11:12.945]  An Al-Qaeda front group in Iraq has claimed responsibility for a wave of attacks that ripped through markets, cafes and government buildings in Baghdad on a single day last week, killing 69 people and raising new worries about the country's path.
[00:11:14.471 --> 00:11:15.292]  Since the U.S.
[00:11:15.372 --> 00:11:15.672]  left.
[00:11:15.732 --> 00:11:18.654]  So that sells the idea that, oh, without the West, what are you going to do?
[00:11:19.034 --> 00:11:20.895]  You need to keep the contractors in the U.S.
[00:11:20.935 --> 00:11:22.036]  there because Al-Qaeda struck.
[00:11:22.316 --> 00:11:26.239]  The very same Al-Qaeda group on record being funded by the West to attack Iran.
[00:11:26.599 --> 00:11:29.801]  That's how dumb the system thinks we are.
[00:11:30.862 --> 00:11:31.743]  Continuing here.
[00:11:33.004 --> 00:11:47.008]  And this will segue us into the big report that we're about to get to, dealing with chemicals being added to the water, the food, and into the containers that our food and water is held in.
[00:11:48.408 --> 00:11:49.929]  Here's an article in the Huffington Post.
[00:11:51.328 --> 00:11:52.228]  That isn't the issue.
[00:11:52.749 --> 00:12:02.332]  You go to the first link, and it's the International Journal of Bioethical Sciences, analyzing the effects of genetically modified foods on mammalian health.
[00:12:02.372 --> 00:12:03.173]  That's all mammals.
[00:12:03.213 --> 00:12:03.733]  We're mammals.
[00:12:04.253 --> 00:12:10.315]  Researchers found that the agricultural giant Monsanto GM corn is linked to organ damage in rats.
[00:12:11.016 --> 00:12:12.676]  Now, these studies don't just show that.
[00:12:12.696 --> 00:12:13.757]  They've had these for decades.
[00:12:14.077 --> 00:12:15.918]  It also shows massive infertility.
[00:12:16.278 --> 00:12:19.239]  Within three generations, with the average GMO crop,
[00:12:20.362 --> 00:12:25.106]  In rats, guinea pigs, you name it, they cannot have offspring, and they have all sorts of weird deformities.
[00:12:26.126 --> 00:12:45.561]  According to a study which summarized by Randy Ananda at Food Freedom, three varieties of Monsanto GM cord, MON863, insecticide-producing MON810, and Roundup herbicide-absorbing NK603, were approved for consumption by U.S., European, and several other nations' food safety authorities.
[00:12:46.141 --> 00:13:02.811]  But it goes on to break down kidney and liver function, other organs, spleen, blood cells were also found to be damaged, and that it caused all sorts of other problems in the sexual organs, you name it.
[00:13:04.028 --> 00:13:06.650]  So, by the way, it's not just Monsanto.
[00:13:06.750 --> 00:13:09.271]  It's every company as you go down the line.
[00:13:09.511 --> 00:13:15.355]  Because they don't just have the traits that you're told about to last longer, taste better, take less water.
[00:13:15.875 --> 00:13:21.158]  They Trojan Horse the traits in there for fertility, destruction, and cancer.
[00:13:21.398 --> 00:13:22.359]  And that's in all the studies.
[00:13:22.839 --> 00:13:25.300]  So here's just another one right there.
[00:13:25.320 --> 00:13:27.201]  We'll get more into this, why this is happening in a moment.
[00:13:27.421 --> 00:13:28.762]  But I thought I'd show you this.
[00:13:28.842 --> 00:13:29.303]  Now remember,
[00:13:30.493 --> 00:13:41.424]  All of these different industries, fertilizer production, aluminum smelting, uranium purification, they've got all of this massive byproduct of the 40s and 50s.
[00:13:42.104 --> 00:13:42.565]  What do they do?
[00:13:43.005 --> 00:13:47.510]  Well, fluoride reduces fertility, increases cancer, lowers IQ, cognitive development.
[00:13:48.591 --> 00:13:50.633]  It was a well-known poison 200 years ago.
[00:13:51.213 --> 00:13:53.536]  It was used as bug poison as far back as 200 years ago.
[00:13:53.876 --> 00:13:54.356]  They just said,
[00:13:55.177 --> 00:14:00.202]  We'll just go ahead and add it to the water and make cities pay millions of dollars a year like Austin, Texas does.
[00:14:00.482 --> 00:14:01.863]  We've covered this ad infinitum.
[00:14:02.424 --> 00:14:13.374]  But now that the American Medical Association has been forced to admit that it's actually hurting kids and people under five shouldn't have it and that it should be lowered, the amount that's in drinking water, and people are taking their cities back and ordering it removed.
[00:14:15.034 --> 00:14:18.197]  States like Arkansas are passing laws saying it's the law to be in the water.
[00:14:18.557 --> 00:14:23.381]  The Feds, it's always just a recommendation and they lobby and will pay to have it done because they care so much about your teeth.
[00:14:24.161 --> 00:14:26.663]  And they want you to have your teeth fracturing and dental fluorosis.
[00:14:27.364 --> 00:14:28.765]  Now, which it actually causes.
[00:14:29.165 --> 00:14:35.290]  But now they're coming out with mobile fluoride trucks with all sorts of little candies and things with the fluoride in it.
[00:14:35.610 --> 00:14:38.092]  And I remember, I didn't know anything about this when I was in
[00:14:39.281 --> 00:14:40.522]  Kindergarten in Dallas.
[00:14:41.062 --> 00:14:46.424]  But I remember, and my dad had just graduated and was a dentist, so I thought, well, this must be nice.
[00:14:46.725 --> 00:14:47.965]  They'd bring us red little pills.
[00:14:48.465 --> 00:14:56.029]  And I remember throwing up and getting sick and laying in the back of the car vomiting when my mother would pick me up in kindergarten and first grade when they came in.
[00:14:56.049 --> 00:14:57.170]  And I was too dumb.
[00:14:57.190 --> 00:14:58.770]  I didn't know it was in a little candy package.
[00:14:59.150 --> 00:15:01.552]  I'd eat it like I was supposed to and just get deathly ill.
[00:15:02.432 --> 00:15:04.134]  I remember being like five, six, seven years old.
[00:15:04.154 --> 00:15:07.037]  Every time I'd brush my teeth, I'd really have a headache and I'd have to lay down on the couch.
[00:15:07.738 --> 00:15:09.340]  And of course, now I understand.
[00:15:09.360 --> 00:15:13.064]  If you swallow anywhere near a pea size, you're supposed to call poison control.
[00:15:13.084 --> 00:15:14.887]  Of course, kids always swallow that.
[00:15:16.062 --> 00:15:17.824]  See, I didn't need to have the science.
[00:15:18.405 --> 00:15:21.708]  I mean, this was happening when I was a child, and I never heard this.
[00:15:21.849 --> 00:15:25.573]  And my dad didn't know, because the American Dental Association were telling him it was so great.
[00:15:26.534 --> 00:15:33.582]  And they weren't telling him, of course, that under the name fluoride, they add hundreds of chemicals to the toothpaste and to the water supply.
[00:15:34.585 --> 00:15:40.467]  But here it is, mobile fluoride vans to target communities that voted to remove chemical from the public water supply.
[00:15:40.847 --> 00:15:43.428]  They look like basically an ice cream truck and they drive around.
[00:15:43.808 --> 00:15:55.371]  Health officials, not servants, are suggesting the county purchase a mobile fluoride van as an alternative which would drive around town, administer fluoride and other controversial dental services directly to children, like an ice cream truck.
[00:15:56.111 --> 00:15:58.352]  Now, notice this already happened in California.
[00:15:58.712 --> 00:16:02.433]  They signed the law three months ago, Mr. Brown did, saying that
[00:16:04.005 --> 00:16:05.126]  Parents won't even be told.
[00:16:05.926 --> 00:16:08.007]  They're just going to give your kid the vaccines right there.
[00:16:08.507 --> 00:16:10.228]  They're going to ask your child, do you want it?
[00:16:10.248 --> 00:16:11.689]  And show them a film scaring them.
[00:16:12.229 --> 00:16:23.894]  Now, there's a reason that if you have a 16-year-old girlfriend when you're 20, you can go to jail, statutory rape, because they're not of age yet to make the decision, determination they want to get back in the back of your Chevy.
[00:16:24.635 --> 00:16:29.037]  Now, we're talking about 5, 6, 7, 8, 9, 10, 11, 12, 13-year-olds.
[00:16:29.577 --> 00:16:32.979]  The government coming and saying, we don't need your mommy and daddy's
[00:16:34.087 --> 00:16:34.507]  We're good to go.
[00:16:51.246 --> 00:16:54.910]  The fertility reducer, the cancer-causer chemical bioweapon mix.
[00:16:55.331 --> 00:16:56.752]  Then you should be safe, right?
[00:16:56.772 --> 00:16:58.554]  Of course, the studies are out in every case.
[00:16:58.594 --> 00:17:01.538]  The vaccines actually cause the illnesses, lower your immunity.
[00:17:01.778 --> 00:17:02.759]  Look it up for yourself.
[00:17:03.260 --> 00:17:05.883]  They only get away with this crap because you're unconscious.
[00:17:08.925 --> 00:17:15.649]  I'm going to hit the people rioting for the stupid Air Jordans as we go to break and go to the next two interviews.
[00:17:15.809 --> 00:17:24.454]  I want to hit right now, though, because it dovetails with the fluoride bans and the organ failure and the GMO and the fertility attacks with this.
[00:17:26.355 --> 00:17:29.597]  Here is CBS News on screen right there.
[00:17:31.518 --> 00:17:34.100]  Ron Paul disavows racist newsletters under his name.
[00:17:34.240 --> 00:17:38.182]  And the reason I know that this is a talking point
[00:17:39.668 --> 00:17:49.118]  Is because it, in the last three years, has conservatively been in probably a thousand blogs and a couple hundred newspapers and nightly news pieces on national TV.
[00:17:50.117 --> 00:17:51.138]  I mean, it's been everywhere.
[00:17:52.138 --> 00:18:12.933]  Just last week there were hundreds of articles, I couldn't even count them all, if you type Ron Paul, Alex Jones into Google and click it, with ABC, CBS, I mean, you name it, attacking Ron Paul for coming on my radio show and saying he's crazy, he thinks there's a threat to use troops on the streets as Congress votes to get rid of posse comitatus and do that.
[00:18:13.534 --> 00:18:15.695]  And Alex Jones, they have the quote right here,
[00:18:16.836 --> 00:18:27.765]  Alex Jones, it says, who has reportedly accused the government of encouraging homosexuality with chemicals so that people don't have children.
[00:18:28.826 --> 00:18:37.232]  And they went on to say that Ron Paul comes on my show and is worried about military NORTHCOM combatant command, they couldn't even get that right, taking over the nation.
[00:18:39.963 --> 00:18:41.624]  I'm going to explain this again to everybody.
[00:18:42.345 --> 00:18:46.788]  This, this is good that they're attacking me on this because they haven't figured out they're totally discredited yet.
[00:18:48.469 --> 00:18:50.190]  I'll give you a document cam shot of this right here.
[00:18:52.192 --> 00:18:54.714]  I want to talk directly to the scum out there.
[00:18:55.554 --> 00:18:55.834]  Okay?
[00:18:57.556 --> 00:19:01.639]  I have done report after report after report on what I'm about to cover right here.
[00:19:03.040 --> 00:19:03.340]  Okay?
[00:19:04.641 --> 00:19:08.904]  And I have gone over this information ad infinitum to warn people.
[00:19:10.188 --> 00:19:24.940]  If you type in bisphenol A cancer, bisphenol A or BPA breast cancer, you will find everything I'm talking about.
[00:19:25.080 --> 00:19:27.962]  And they're really mad that I'm covering this.
[00:19:28.682 --> 00:19:38.050]  They are very, very angry that we figured this out hiding in plain view and we're not as dumb as these control freaks thought we were.
[00:19:38.973 --> 00:19:40.174]  Let me get to that document in just a moment.
[00:19:41.716 --> 00:19:45.720]  The system knows that we are on to them.
[00:19:46.381 --> 00:19:47.022]  And they're worried.
[00:19:48.143 --> 00:19:55.451]  And so that's why, out of an hour-long report I did a couple years ago, they take that one line that was a quote, by the way.
[00:19:57.469 --> 00:19:58.970]  That's not Alex Jones claiming.
[00:19:59.330 --> 00:20:00.111]  That's UN.
[00:20:00.411 --> 00:20:01.732]  That's Rockefeller Foundation.
[00:20:02.152 --> 00:20:03.173]  That's Planned Parenthood.
[00:20:04.053 --> 00:20:06.315]  That's the Population Global Council.
[00:20:06.695 --> 00:20:09.557]  The Global Council on Population.
[00:20:09.777 --> 00:20:10.758]  We're going to go to that in a moment.
[00:20:13.362 --> 00:20:15.826]  They are attacking what it is to be human itself.
[00:20:15.886 --> 00:20:17.669]  They are attacking the human species.
[00:20:17.689 --> 00:20:21.935]  This is the end of mommy, the end of daddy, the end of little Johnny, the end of little Jenny.
[00:20:22.296 --> 00:20:24.459]  This is the end of everything we've ever been.
[00:20:24.539 --> 00:20:26.903]  This is scientific total domination.
[00:20:27.123 --> 00:20:28.845]  This is humans in a petri dish.
[00:20:30.407 --> 00:20:32.408]  Being manipulated by a bunch of control freaks.
[00:20:32.669 --> 00:20:34.149]  And we've got Bertrand Russell quotes.
[00:20:34.190 --> 00:20:34.910]  We've got U.N.
[00:20:34.970 --> 00:20:35.190]  quotes.
[00:20:35.210 --> 00:20:36.351]  We've got Ted Turner quotes.
[00:20:36.671 --> 00:20:37.972]  We've got Club of Rome quotes.
[00:20:38.012 --> 00:20:40.173]  We've got biological diversity assessment quotes.
[00:20:40.434 --> 00:20:41.714]  I've made films like Endgame.
[00:20:42.035 --> 00:20:50.200]  I've made all these films showing you their own manuals, showing you their own documents, buying their own textbooks, showing you the quotes.
[00:20:50.981 --> 00:20:54.003]  And you'll notice when I read these new documents today to you here in just a moment.
[00:20:54.303 --> 00:20:55.323]  Checking how much time we've got.
[00:20:56.684 --> 00:20:58.706]  You'll notice that when I go over these,
[00:21:00.930 --> 00:21:05.434]  That you've heard all this before, but from other sources, this is what they're into.
[00:21:06.615 --> 00:21:20.827]  And as long as you're obsessed with Monday night football, and as long as the most important thing in your life is acting tough over at your neighbor's house when you play basketball, as long as garbage like that is what's most important to you, they do win.
[00:21:21.548 --> 00:21:22.989]  While we sleep, they live.
[00:21:25.371 --> 00:21:25.691]  Okay?
[00:21:27.293 --> 00:21:27.453]  Now,
[00:21:29.130 --> 00:21:30.071]  I want to go over this.
[00:21:30.151 --> 00:21:43.943]  You just saw CBS News with this talking point that I say the government wants to put chemicals in your food to make you homosexual.
[00:21:46.024 --> 00:21:54.592]  Now, before I get to this document cam shot right here, I want to explain something to people.
[00:21:57.014 --> 00:21:58.934]  I want you to put on your thinking caps.
[00:21:59.034 --> 00:22:02.675]  I don't want you to be under emotional knee-jerk reaction mind control.
[00:22:03.716 --> 00:22:12.558]  The reason they've had hundreds of outfits come after us for this is because they're scared to death that you're going to actually hear the full context of what I'm saying.
[00:22:13.098 --> 00:22:17.539]  This is not a moral discussion about same-sex relationships.
[00:22:17.599 --> 00:22:18.879]  It happens in the animal kingdom.
[00:22:19.159 --> 00:22:20.380]  It's gone on every culture.
[00:22:20.880 --> 00:22:21.340]  It happens.
[00:22:22.182 --> 00:22:25.305]  I'm not making a moral distinction on it.
[00:22:25.685 --> 00:22:31.130]  Quite frankly, I know it makes people have more fun doing this kind of stuff if they think people don't like it.
[00:22:31.430 --> 00:22:34.112]  I don't give a you-know-what, okay?
[00:22:35.914 --> 00:22:37.135]  I'm into the universe.
[00:22:37.275 --> 00:22:38.616]  I'm into the secrets of the world.
[00:22:38.796 --> 00:22:42.399]  I'm into science and ideas and creativity.
[00:22:42.780 --> 00:22:46.443]  I'm not obsessed with what people do with their tally-whackers.
[00:22:47.426 --> 00:22:47.786]  Okay?
[00:22:48.026 --> 00:22:48.827]  Let's get that straight.
[00:22:49.107 --> 00:22:52.129]  So, I'm going to tell you why your wife's dying of breast cancer.
[00:22:52.389 --> 00:22:54.510]  I'm going to tell you why you got prostate cancer at 50.
[00:22:54.650 --> 00:23:01.133]  I'm going to tell you about a program to kill you, to hurt you, to dumb you down, to steal your fertility.
[00:23:01.614 --> 00:23:03.475]  Even if you don't want to have children, you weren't asked.
[00:23:03.495 --> 00:23:08.858]  And then they give you a culture of loving it and getting into it because it's going to become so prolific.
[00:23:09.298 --> 00:23:11.119]  And they're going to sell you on metrosexual.
[00:23:11.319 --> 00:23:15.161]  And they're going to sell you on all this because they want to get rid of the family.
[00:23:15.381 --> 00:23:16.582]  And to do that, you've got to get rid of men.
[00:23:17.102 --> 00:23:20.084]  And you've got to get rid of women as loving providers of children.
[00:23:20.524 --> 00:23:22.766]  And it's all in their own sickening documents.
[00:23:23.066 --> 00:23:25.147]  Gloria Steinem, CIA, on record.
[00:23:25.407 --> 00:23:26.608]  These people are sick!
[00:23:27.248 --> 00:23:30.050]  They want to destroy the wonderful relationships men and women have had.
[00:23:30.370 --> 00:23:34.273]  They don't really, the leadership of this, care about gay and lesbian rights.
[00:23:34.293 --> 00:23:35.173]  It's not about that.
[00:23:36.094 --> 00:23:41.918]  It's about creating political groups that they've actually artificially increased with chemical warfare
[00:23:43.362 --> 00:23:50.187]  To then politically play society off against each other and divert everyone from the chemical warfare that we're under.
[00:23:50.647 --> 00:23:54.510]  Now, CBS News is attacking Alex Jones.
[00:23:55.631 --> 00:24:02.236]  CBS News and others are saying Alex Jones says that the government is adding chemicals to make you gay.
[00:24:02.856 --> 00:24:03.016]  No.
[00:24:04.517 --> 00:24:10.802]  I was reading UN documents and others on that show and they all know fully which show it was that's gotten so much attention.
[00:24:11.082 --> 00:24:12.003]  But let's just go
