[00:00:00.613 --> 00:00:01.216]  Oh, no!
[00:07:40.838 --> 00:07:45.900]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:45.900 --> 00:07:50.081]  You can get more information at www.mysolarbackup.com.
[00:07:50.081 --> 00:07:51.862]  That's mysolarbackup.com.
[00:07:51.862 --> 00:07:56.463]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[00:07:57.183 --> 00:08:06.127]  877-327-0365 Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:06.127 --> 00:08:08.388]  Because there's a war on for your mind.
[00:08:10.902 --> 00:08:24.756]  Well, up at InfoWars.com, PrisonBlinded.com, as well as DrugsReport.com, you can see the civilians, including a young boy, tortured and murdered dead with U.S.
[00:08:24.756 --> 00:08:32.183]  kill teams posing like they've just bagged a 12-point whitetail deer on grandpa's back 40.
[00:08:33.800 --> 00:08:43.447]  Because in America now, being manly is about loving the image of countries being bombed, loving the image of death and skulls and annihilation.
[00:08:43.447 --> 00:08:45.028]  Don't worry U.S.
[00:08:45.028 --> 00:08:47.189]  military that are part of the kill teams.
[00:08:47.189 --> 00:08:49.671]  You think you're big and bad and evil?
[00:08:49.671 --> 00:08:54.054]  The big bankers that run you and use you to power their world government?
[00:08:54.054 --> 00:08:59.458]  Eleven years ago, they signed the deal with the insurance companies to steal all of your death benefits.
[00:09:00.828 --> 00:09:01.288]  I don't know.
[00:09:21.164 --> 00:09:29.673]  You think it's dark and mystic and chic and powerful and has majesty to be into?
[00:09:29.673 --> 00:09:34.939]  Remember what Private Gruckheimer in the Ithaca Times, now nine years ago,
[00:09:36.089 --> 00:09:38.850]  Came back from Afghanistan after his first tour.
[00:09:38.850 --> 00:09:44.153]  Told the paper, we go into villages, we kill men, women, and children, including toddlers.
[00:09:44.153 --> 00:09:50.876]  And the Pentagon came out a day later on Fox News and said, we want to clarify, we only kill everyone in certain villages.
[00:09:50.876 --> 00:09:55.798]  Yes, we walk up to newborn babies and shoot them with M16s.
[00:09:55.798 --> 00:10:00.420]  They go in and they take children and they line them up and they just shotgun them laughing.
[00:10:02.976 --> 00:10:15.503]  And the Army's own report from Abu Ghraib, where they take the children in front of their parents, and they get the battery acid, and they pour it into their orifices, and they engage in satanic death and evil.
[00:10:15.503 --> 00:10:16.944]  Oh, all in the name of America.
[00:10:16.944 --> 00:10:18.024]  And then the U.S.
[00:10:18.024 --> 00:10:24.928]  government releases the photos to further destroy America's name as part of the endgame.
[00:10:24.928 --> 00:10:31.412]  And America takes it hook, line, and sinker like a big bass who's had a purple worm dropped down in front of him.
[00:10:32.654 --> 00:10:36.055]  There's a big Wall Street Journal article today about why do we let them dress that way?
[00:10:36.055 --> 00:10:37.436]  In fact, I forgot to print that.
[00:10:37.436 --> 00:10:38.136]  Print it for me.
[00:10:38.136 --> 00:10:42.458]  Why are 10, 11, 12-year-old girls now dressing as prostitutes as the new style?
[00:10:42.458 --> 00:10:49.380]  Because MTV, it came out five years ago, had a plan to do that, to sexualize the preteens, the tweenies.
[00:10:49.380 --> 00:10:51.881]  And parents buy into that death as well.
[00:10:51.881 --> 00:10:55.202]  It's all engineered for societal death.
[00:10:55.202 --> 00:10:56.903]  Because once they've got your morals,
[00:10:57.643 --> 00:11:07.710]  Once they've got you to become seduced by the dark side, you are weak, you are blind, you have no discernment, and you will fall.
[00:11:07.710 --> 00:11:22.921]  It is the Bill of Rights, it is the Constitution, it is the rule of law, it is all of those hedges of protection that protect the great jewel of liberty that Thomas Jefferson talked about must be protected at all cost.
[00:11:23.661 --> 00:11:41.057]  And that jewel of liberty has now been shattered and thrown into a million different pieces and now the shields are falling, evil and judgment is flowing in as radiation begins to bathe the United States and the media tells you it's actually good for you and Coulter and others.
[00:11:43.194 --> 00:11:51.825]  And as every blessing we had is sucked dry by the vampires, the psychic vampires of the New World Order.
[00:11:51.825 --> 00:12:00.756]  And you walk into the gas station, or you walk into the corner bar, and they've got the war on, not sports, and they're high-fiving every time a cruise missile hits.
[00:12:00.756 --> 00:12:01.276]  Woo-hoo!
[00:12:02.077 --> 00:12:03.877]  I actually heard it in the gas station Saturday.
[00:12:03.877 --> 00:12:04.497]  Woo-hoo!
[00:12:04.497 --> 00:12:05.538]  High-fiving!
[00:12:05.538 --> 00:12:08.898]  Man, the bankers can break international law.
[00:12:08.898 --> 00:12:11.339]  The UN can violate its own charter.
[00:12:11.339 --> 00:12:11.799]  Woo-hoo!
[00:12:11.799 --> 00:12:15.399]  They can try to assassinate some little petty dictator.
[00:12:15.399 --> 00:12:21.480]  Oh, they can send the special forces in with Al-Qaeda backing the whole operation.
[00:12:21.480 --> 00:12:26.181]  And everybody can celebrate and have a wonderful time and feel big and powerful.
[00:12:26.181 --> 00:12:29.962]  I want to show TV viewers a document cam shot, but for others, just go to the London Telegraph.
[00:12:31.206 --> 00:12:34.769]  The West and Al-Qaeda on the same side in Libya.
[00:12:34.769 --> 00:12:44.335]  Statements of support for Libya's revolution by Al-Qaeda and the leading Islamists have led to fears that military action by the West might be playing into the hands
[00:12:45.515 --> 00:12:47.076]  of its ideological enemies.
[00:12:47.076 --> 00:12:53.638]  Al Qaeda was created by the CIA and British SAS, along with Pakistani and Israeli intelligence on record.
[00:12:53.638 --> 00:12:55.819]  Brzezinski's written two books bragging about it.
[00:12:55.819 --> 00:13:03.861]  They were used as the pretext to invade the Serbs, the Muslim extremist attack out of Albania, led by Osama bin Laden on record.
[00:13:03.861 --> 00:13:04.382]  The U.S.
[00:13:04.382 --> 00:13:10.584]  and NATO bombed the power plants, the water plants, the factories for peaceful aircraft and cars.
[00:13:12.503 --> 00:13:15.346]  They blow Serbia into the Stone Age.
[00:13:15.346 --> 00:13:18.149]  They bomb all their major cities with DU.
[00:13:18.149 --> 00:13:25.136]  They roll in with Al Qaeda, and Al Qaeda began massive ethnic cleansing of the Serb Christians, and our media went, woo-hoo!
[00:13:26.636 --> 00:13:29.398]  And it was all done off of a hoax.
[00:13:29.398 --> 00:13:42.966]  All done off of a hoax of a UN facility with one guy that had hepatitis standing trying to get into the food facility and they said that was people in a camp when they were people looking in from the outside.
[00:13:42.966 --> 00:13:46.068]  It turns out the British News asked the guy to take his shirt off.
[00:13:48.217 --> 00:13:51.179]  Just like Saddam had babies in incubators.
[00:13:51.179 --> 00:13:54.582]  When they were throwing the babies out of the incubators and clubbing their heads.
[00:13:54.582 --> 00:13:56.443]  Now admitted a total lie.
[00:13:56.443 --> 00:14:02.748]  Just like WMDs in Iraq.
[00:14:02.748 --> 00:14:04.049]  All lies.
[00:14:04.049 --> 00:14:05.471]  And here it is.
[00:14:05.471 --> 00:14:07.912]  Al-Qaeda pouring in out of Saudi Arabia.
[00:14:07.912 --> 00:14:11.075]  Give me a document cam shot please.
[00:14:11.075 --> 00:14:14.318]  Libya being overrun by Al-Qaeda.
[00:14:14.318 --> 00:14:17.000]  Look at that nice young man there with his ski mask on.
[00:14:18.135 --> 00:14:19.377]  Nice, nice person.
[00:14:19.377 --> 00:14:21.619]  Of course, here's our article came out before theirs.
[00:14:21.619 --> 00:14:21.880]  U.S.
[00:14:21.880 --> 00:14:26.866]  government backs Libya and Al-Qaeda while hyping terror attacks inside the U.S.
[00:14:26.866 --> 00:14:30.310]  And that's the big news now in the New York Times today.
[00:14:30.310 --> 00:14:34.875]  Bracing for Qaddafi to hit us with terror.
[00:14:34.875 --> 00:14:36.037]  He might actually try it.
[00:14:37.619 --> 00:14:44.004]  But, more likely, the globalists will simply activate some sleeper cells of useful idiots or actual operatives.
[00:14:44.004 --> 00:14:49.109]  They'll blow some stuff up, and the TSA will say, see, we're putting you in the naked body scanners.
[00:14:49.109 --> 00:14:50.610]  We're setting up highway checkpoints.
[00:14:50.610 --> 00:14:54.093]  We've got all the local police trained for civil emergency.
[00:14:54.093 --> 00:14:56.915]  That's the code word, buzzword, for martial law.
[00:14:56.915 --> 00:14:58.276]  See, we told you.
[00:14:58.276 --> 00:15:00.118]  And then, oh, we've got to invade.
[00:15:00.118 --> 00:15:04.762]  How dare Qaddafi hit Chicago at the Sears Tower now owned by
[00:15:06.072 --> 00:15:07.613]  Larry Silverstein.
[00:15:07.613 --> 00:15:10.134]  How dare him hit LA!
[00:15:10.134 --> 00:15:12.396]  How dare him hit New York!
[00:15:12.396 --> 00:15:14.457]  How dare him hit Dallas!
[00:15:14.457 --> 00:15:16.598]  How dare him!
[00:15:16.598 --> 00:15:25.964]  Don't worry, the Marines just so happen to be off the coast in their giant amphibious attack systems that offload the hovercraft and the rest of it.
[00:15:25.964 --> 00:15:28.265]  They're ready to invade for America!
[00:15:28.265 --> 00:15:29.766]  Team America!
[00:15:29.766 --> 00:15:32.388]  Oh yeah!
[00:15:32.388 --> 00:15:33.889]  We're gonna get those guys.
[00:15:35.011 --> 00:15:41.797]  Meanwhile, Qaddafi defeated the Al-Qaeda, Egyptian, Saudi Arabian backed forces, but it doesn't matter.
[00:15:41.797 --> 00:15:44.479]  We're bracing right now for Qaddafi.
[00:15:44.479 --> 00:15:48.843]  Everybody's hearing on the news that dirty rat's gonna try to hit us with an Al-Qaeda.
[00:15:48.843 --> 00:15:50.565]  Meanwhile, Al-Qaeda works for the globalists.
[00:15:51.598 --> 00:15:53.019]  They get to take over countries.
[00:15:53.019 --> 00:15:54.160]  They launch them on.
[00:15:54.160 --> 00:15:56.962]  They start wars with the Russians with them.
[00:15:56.962 --> 00:15:58.743]  In 1979, they start wars.
[00:15:58.743 --> 00:16:00.444]  You're not told about it till 83.
[00:16:00.444 --> 00:16:02.605]  They start wars with the Serbs with them.
[00:16:02.605 --> 00:16:06.048]  And if you defend yourself, it doesn't mean the Serbs were angels.
[00:16:06.048 --> 00:16:07.989]  It doesn't mean Gaddafi's a good guy.
[00:16:07.989 --> 00:16:10.931]  The point is it's part of a larger operation.
[00:16:10.931 --> 00:16:13.953]  And people are given this false moral reason.
[00:16:13.953 --> 00:16:15.814]  But then, meanwhile, U.S.
[00:16:15.814 --> 00:16:19.997]  Army kill teams posing with the dead women and children.
[00:16:19.997 --> 00:16:21.538]  It's so manly.
[00:16:23.179 --> 00:16:26.422]  It's not a sad thing when you accidentally kill a kid.
[00:16:26.422 --> 00:16:27.342]  No, it's something to be proud of.
[00:16:27.342 --> 00:16:29.744]  In fact, you kill them on purpose.
[00:16:29.744 --> 00:16:40.433]  And then you pose with the dead little boy, their bloody body, lifting the head up, smiling there with that dead corpse in civilian clothes.
[00:16:40.433 --> 00:16:45.417]  Just like Private Gruckheimer said, we go into villages and we kill the babies.
[00:16:45.417 --> 00:16:46.738]  We kill the women.
[00:16:46.738 --> 00:16:49.320]  And the Army comes out, the Pentagon comes out on Fox News, 2002.
[00:16:52.017 --> 00:16:56.064]  And says, well, only in certain villages.
[00:16:56.064 --> 00:17:00.893]  And those guys are all coming back to be cops and TSA workers.
[00:17:00.893 --> 00:17:03.117]  An army of darkness, an army of hell.
[00:17:04.534 --> 00:17:06.935]  And don't worry, it's now come out in federal court.
[00:17:06.935 --> 00:17:19.479]  Blackwater in Iraq, huge Koch parties, men running around naked together, running around naked outside in major downtown areas, firing into homes, into cars, and just orgies of bloodletting.
[00:17:19.479 --> 00:17:20.999]  The Iraqis reported it at the time.
[00:17:20.999 --> 00:17:22.580]  They said, who are these people?
[00:17:22.580 --> 00:17:24.220]  Is this the army of Satan?
[00:17:24.220 --> 00:17:26.201]  And yes, it is the army of Satan.
[00:17:27.276 --> 00:17:48.784]  America, the biggest user of drugs, the biggest user of porn, the biggest divorce rate, everything degenerating into pure evil and everyone just loving it and worshipping it and worshipping the football and the sports and the dirtier the comedy, the better, just debasing everything so we can be turned into servile, mindless, gibbering
[00:17:49.424 --> 00:18:04.656]  Atomized animals who can't defend each other, who don't have rudders, who don't have compasses intellectually or morally or spiritually, who can't communicate, who won't stand up for each other, who laugh at videos of cops beating people to death or shooting citizens in the back.
[00:18:04.656 --> 00:18:11.502]  Total judgment being prepared to be poured out as America begs to be destroyed.
[00:18:11.502 --> 00:18:15.145]  And don't worry, the bankers know how to deliver judgment.
[00:18:15.145 --> 00:18:16.406]  God always delivers.
[00:18:17.830 --> 00:18:21.113]  His people into the hands of the wicked as judgment.
[00:18:21.113 --> 00:18:22.554]  You want judgment.
[00:18:22.554 --> 00:18:24.815]  You think evil, sexy and cool.
[00:18:24.815 --> 00:18:28.018]  We are going to get what the Iraqis got tenfold in different ways.
[00:18:28.018 --> 00:18:32.221]  The radiation, the fluoride in the water, the poison, the deadly vaccines.
[00:18:32.221 --> 00:18:39.647]  You think the global is pouring out death and dropping fire on men, women and children's heads and lining children up to murder them.
[00:18:39.647 --> 00:18:40.127]  And U.N.
[00:18:40.127 --> 00:18:42.769]  troops in every country caught murdering and raping children.
[00:18:42.769 --> 00:18:44.270]  It constantly comes out in the news.
[00:18:44.270 --> 00:18:45.751]  You think these armies of hell
[00:18:46.832 --> 00:18:47.753]  Are they going to stop?
[00:18:47.753 --> 00:18:48.553]  No.
[00:18:48.553 --> 00:18:53.756]  They're abused, breathing DU, running around demonically, enjoying their own destruction.
[00:18:53.756 --> 00:18:57.399]  It's a spirit of trampling and being trampled upon.
[00:18:57.399 --> 00:19:03.903]  A servile spirit of weakness and defeat and the dull, burning eyes of evil.
[00:19:05.185 --> 00:19:06.606]  That's what you want.
[00:19:06.606 --> 00:19:08.287]  That's what you get.
[00:19:08.287 --> 00:19:09.428]  This is what you want.
[00:19:09.428 --> 00:19:10.629]  This is what you get.
[00:19:10.629 --> 00:19:12.090]  This is what you want.
[00:19:12.090 --> 00:19:13.371]  Depression.
[00:19:13.371 --> 00:19:14.512]  Pain.
[00:19:14.512 --> 00:19:15.392]  Suffering.
[00:19:15.392 --> 00:19:16.493]  Cancer rates up by 3000%.
[00:19:16.493 --> 00:19:18.434]  Diabetes up by over 1000% and growing.
[00:19:21.877 --> 00:19:24.400]  Juvenile onset of brain disorders.
[00:19:24.400 --> 00:19:26.522]  People getting Alzheimer's when they're 30.
[00:19:26.522 --> 00:19:28.624]  Your neighbors dying to your left and right.
[00:19:28.624 --> 00:19:30.185]  Disease spreading.
[00:19:30.185 --> 00:19:31.727]  Allergens in the food.
[00:19:31.727 --> 00:19:32.708]  GMO.
[00:19:32.708 --> 00:19:33.088]  Death.
[00:19:33.088 --> 00:19:33.969]  Destruction.
[00:19:33.969 --> 00:19:34.590]  Pain.
[00:19:34.590 --> 00:19:35.350]  Judgment.
[00:19:35.350 --> 00:19:35.991]  War.
[00:19:35.991 --> 00:19:36.592]  Fire.
[00:19:36.592 --> 00:19:37.393]  Stench.
[00:19:37.393 --> 00:19:38.574]  Rotten bodies.
[00:19:38.574 --> 00:19:40.616]  You want it, you got it.
[00:19:40.616 --> 00:19:42.257]  What Hitler gave you, you're gonna get it.
[00:19:43.191 --> 00:19:45.072]  What Stalin gave you, you're gonna get it.
[00:19:45.072 --> 00:19:46.732]  What Mao gave you, you're gonna get it.
[00:19:46.732 --> 00:19:49.193]  You want it, they're gonna give it to you.
[00:19:49.193 --> 00:19:50.714]  You love laying down to corruption.
[00:19:50.714 --> 00:19:52.194]  You love giggling about it.
[00:19:52.194 --> 00:19:53.355]  You love thinking it's funny.
[00:19:53.355 --> 00:19:54.595]  You love deception.
[00:19:54.595 --> 00:19:55.776]  You love being deceived.
[00:19:55.776 --> 00:19:57.816]  They've got greater deceptions for you.
[00:19:57.816 --> 00:19:59.457]  They've got greater scams for you.
[00:20:00.891 --> 00:20:24.075]  Due to the extreme conditions from the Japanese earthquake and the fallout of depleted uranium, HempUSA.org recommends new important products that are loaded with iodine, micro plant powder, green life kelp powder, raw unprocessed red palm oil, and our 10% roll-on clear iodine that heals the skin and naturally puts iodine back into your entire body.
[00:20:24.075 --> 00:20:26.315]  Call 908-691-2608 or visit us at HempUSA.org today!
[00:20:30.256 --> 00:20:39.582]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:20:39.582 --> 00:20:40.383]  This capitalism?
[00:20:40.383 --> 00:20:46.647]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:20:46.647 --> 00:20:47.448]  Hi, Ted Anderson.
[00:20:47.448 --> 00:20:50.610]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:20:50.610 --> 00:20:51.550]  Call for your copy 800-686-2237.
[00:20:51.550 --> 00:20:52.931]  It's time to understand the system.
[00:20:52.931 --> 00:20:53.251]  Call 800-686-2237.
[00:20:53.251 --> 00:20:53.532]  That's 800-686-2237.
[00:21:00.737 --> 00:21:02.820]  Daddy, I'm hungry.
[00:21:02.820 --> 00:21:04.342]  That little girl will get fed.
[00:21:04.342 --> 00:21:05.143]  For now.
[00:21:05.143 --> 00:21:08.268]  But what if people like Glenn Beck are right about the threats we face?
[00:21:08.268 --> 00:21:08.808]  If the U.S.
[00:21:08.808 --> 00:21:14.296]  dollar loses its status as the global reserve currency, prices on the things you need most will skyrocket.
[00:21:14.296 --> 00:21:16.640]  Food may be unaffordable, or worse, unavailable.
[00:21:17.040 --> 00:21:27.982]  Earthquakes, economic turmoil, continuing unemployment, rampant inflation, and even threats of terrorism are all reasons to let the experts at Ready Reserve Foods help you with a long-term food storage plan.
[00:21:27.982 --> 00:21:33.063]  Ready Reserve Foods has been a premier supplier of long-term storage foods for 37 years.
[00:21:33.063 --> 00:21:37.664]  Their unique process assures the highest quality long-term food storage available worldwide.
[00:21:37.664 --> 00:21:45.005]  Their products have a shelf life of 25 years, and a year's supply of quality food for two people only takes up about as much space as a refrigerator.
[00:21:45.205 --> 00:21:50.729]  For a fraction of what you now pay at the grocery store, you owe it to your family to find out more from Ready Reserve Foods.
[00:21:50.729 --> 00:21:53.191]  Call today for their free full-color catalog at 1-800-453-2202.
[00:21:53.191 --> 00:21:53.552]  That's 1-800-453-2202.
[00:21:53.552 --> 00:21:54.693]  America, you've been warned.
[00:22:07.278 --> 00:22:09.500]  That will shake the very foundations of our nation.
[00:22:09.500 --> 00:22:12.882]  We've told you about the video that details this shocking prediction.
[00:22:12.882 --> 00:22:16.544]  So far, over 6 million people have watched this free video online.
[00:22:16.544 --> 00:22:17.365]  Have you?
[00:22:17.365 --> 00:22:17.865]  Again.
[00:22:17.865 --> 00:22:20.948]  This big event has nothing to do with war, or the stock market.
[00:22:20.948 --> 00:22:23.449]  Yet it could change everything about your normal way of life.
[00:22:23.449 --> 00:22:28.653]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your family.
[00:22:28.653 --> 00:22:29.834]  Could this really happen?
[00:22:29.834 --> 00:22:33.836]  Well, the man who created this video has been right about many predictions in his career.
[00:22:33.836 --> 00:22:35.698]  He was among the first to predict the collapse of GM.
[00:22:42.230 --> 00:22:42.630]  I don't know.
[00:23:00.723 --> 00:23:03.304]  Never buy home canning jar lids again!
[00:23:03.304 --> 00:23:03.985]  No kidding!
[00:23:03.985 --> 00:23:08.387]  When you buy Tadler Reusable Canning Lids once, you'll never buy canning lids ever again.
[00:23:08.387 --> 00:23:11.128]  Safely store emergency preparedness foods for years.
