[00:00:23.638 --> 00:00:28.986]  Welcome ladies and gentlemen to this Friday, October 7th edition of the InfoWars Nightly News.
[00:03:54.326 --> 00:03:59.308]  More reasons why having computerized drones is dangerous foreign policy.
[00:04:01.536 --> 00:04:02.957]  We need to try to hold them accountable.
[00:04:03.637 --> 00:04:11.580]  In economic news, Fitch slices Spain and Italy's credit rating as the EU crisis deepens.
[00:04:12.040 --> 00:04:25.065]  Italy and Spain are embroiled in the region's debt crisis and are reliant on European Central Bank to buy out their government bonds to prevent yields from rising to unsustainable levels and thus they've been downgraded.
[00:04:25.205 --> 00:04:25.885]  Italy from
[00:04:27.315 --> 00:04:31.757]  Now, the Occupy Wall Street protests have been further co-opted by Democratic
[00:04:52.947 --> 00:04:58.660]  ...factions as moveon.org hijacks the Occupy to Push Obama Tax Agenda.
[00:04:59.704 --> 00:05:19.482]  That's a story from Paul Joseph Watson, pointing out how the George Soros funded outfit hopes to turn the Occupy Wall Street protesters into an Obama campaign re-election tool on platforms like taxing the middle class and rich, while the elitists themselves remain offshore, unaccountable to any taxing system.
[00:05:20.062 --> 00:05:23.685]  And it's really dangerous because Obama clearly is hoping that
[00:05:24.326 --> 00:05:24.486]  I think?
[00:05:41.698 --> 00:05:42.819]  We're good to go.
[00:05:57.467 --> 00:06:02.191]  Inflaming the public and saying go get yours because rich people don't deserve it.
[00:06:02.632 --> 00:06:18.926]  I see this inflaming this Paris mob that I hope doesn't ultimately result in a lawlessness where they say well gosh those nice iPads through the window should be mine and why don't I throw a brick through the window to get them because rich people don't deserve to have them when I can't have one.
[00:06:19.540 --> 00:06:27.322]  Now, Rand Paul is warning because, of course, Obama and the Democratic factions are trying to hijack the Occupy Wall Street protests for themselves.
[00:06:27.742 --> 00:06:35.044]  These protests do not have a center and there's a very diverse group of people, none of them with central aims or goals.
[00:06:35.444 --> 00:06:40.846]  And they've been largely non-violent, but there is always a possibility that things could become more violent.
[00:06:40.946 --> 00:06:46.267]  I know there's been many suspected provocateurs as clashes with police have risen a little bit.
[00:06:46.667 --> 00:06:47.588]  And there's been tensions.
[00:06:47.648 --> 00:06:50.710]  We want to remind everyone that nonviolence is the way.
[00:06:50.970 --> 00:06:54.893]  And we want to have a big debate about what to do about this economic crisis.
[00:06:55.193 --> 00:07:02.019]  We want to educate people about ending the Federal Reserve as they're angry about what's happening on Wall Street and throughout the country.
[00:07:02.659 --> 00:07:05.061]  And we need to keep it civil, of course.
[00:07:05.141 --> 00:07:07.302]  We hope nothing becomes further violent.
[00:07:08.203 --> 00:07:11.065]  Now, we've seen Herman Cain rising in the polls.
[00:07:11.485 --> 00:07:18.009]  He's become, really at this moment, according to the most recent polls, the leader of the GOP race for 2012.
[00:07:18.769 --> 00:07:22.811]  He's now been polled at 20 points ahead of even Mitt Romney.
[00:07:24.372 --> 00:07:40.378]  He has kind of that Tea Party coloration, but at the same time he has been an establishment minion and creature of the Federal Reserve, himself being director of the Kansas City branch of the Federal Reserve, and really has spoken out against calls to audit the Fed and hold it into accountable.
[00:07:40.398 --> 00:07:41.378]  Let's play that clip right now.
[00:07:41.957 --> 00:07:46.580]  The Federal Reserve already has so many internal audits, it's ridiculous.
[00:07:47.480 --> 00:07:54.704]  I don't know why people think we're going to learn this great amount of information by auditing the Federal Reserve.
[00:07:55.685 --> 00:07:59.867]  There's no hidden secrets going on in the Federal Reserve to my knowledge.
[00:08:00.547 --> 00:08:03.689]  And I tell people, you know, we've got 12 Federal Reserve banks.
[00:08:04.550 --> 00:08:06.391]  Find out which district you're in.
[00:08:06.771 --> 00:08:08.212]  Call them up and go from there.
[00:08:09.281 --> 00:08:17.225]  Now what Herman Cain is saying here is absolutely ridiculous, and he's just running a smokescreen for the Federal Reserve System, which is holding this country hostage.
[00:08:17.666 --> 00:08:31.373]  If you're an individual, sure, you can call up the Federal Reserve and take a tour, and they'll tell you a few nice things, but the important message here is that even Congress cannot find out what's going on at the Federal Reserve because they're secretive and unaccountable.
[00:08:31.673 --> 00:08:32.134]  We're good to go.
[00:08:47.011 --> 00:08:49.772]  They're not friendly if you just show up at the Federal Reserve Bank.
[00:08:50.132 --> 00:09:01.757]  We did show up there two years ago, unplanned, unannounced, just to film the building at the Kansas City Federal Reserve where Herman Cain worked, and we were threatened with arrest just for filming the building.
[00:09:01.797 --> 00:09:02.818]  We have that clip now.
[00:09:03.978 --> 00:09:25.730]  Now, just to explain what's going on in this video, myself and reporter Rob Jacobson were outside the Kansas City Federal Reserve, not on their property, but several hundred yards away in a World War I memorial public park, yet we were threatened with arrest just for failing to identify, we were, quote, doing nothing wrong, just filming the Federal Reserve Bank.
[00:09:34.335 --> 00:09:34.635]  I'm sorry?
[00:09:35.335 --> 00:09:37.576]  We were just seeing who you were and what you were doing.
[00:09:37.596 --> 00:09:39.077]  What's your name?
[00:09:39.097 --> 00:09:39.597]  My name's Aaron.
[00:09:39.617 --> 00:09:39.697]  Okay.
[00:09:39.957 --> 00:09:40.177]  Hey, Aaron.
[00:09:40.197 --> 00:09:41.278]  You're fine.
[00:09:41.338 --> 00:09:42.879]  You're not doing anything wrong.
[00:09:42.899 --> 00:09:44.199]  We're just checking out this memorial.
[00:09:44.259 --> 00:09:45.340]  You're not doing anything wrong, okay?
[00:09:45.380 --> 00:09:46.380]  What's your last name, sir?
[00:09:46.400 --> 00:09:48.461]  I'm not going to give you my last name.
[00:09:48.481 --> 00:09:49.081]  What are you doing, sir?
[00:09:49.121 --> 00:09:52.763]  What are you guys doing right now?
[00:09:52.783 --> 00:09:54.503]  Are you police officers or security officers?
[00:09:54.523 --> 00:09:56.404]  We are security officers here.
[00:09:56.424 --> 00:09:56.604]  Uh-huh.
[00:09:56.704 --> 00:09:59.906]  And because you're not cooperating, I asked you a simple question.
[00:09:59.946 --> 00:10:01.626]  You're not doing anything wrong.
[00:10:01.646 --> 00:10:02.527]  You're videotaping.
[00:10:02.587 --> 00:10:03.187]  I'm sorry?
[00:10:04.707 --> 00:10:04.987]  Yeah.
[00:10:05.647 --> 00:10:06.587]  Come on guys, let's go.
[00:10:06.607 --> 00:10:08.868]  Why do I have to leave?
[00:10:09.588 --> 00:10:11.109]  Because you're with him.
[00:10:11.149 --> 00:10:13.569]  Where's the property at?
[00:10:13.669 --> 00:10:14.089]  Old Park.
[00:10:14.810 --> 00:10:16.770]  Well, if he gave his name, then he doesn't have to leave.
[00:10:16.870 --> 00:10:19.931]  He did give his name, but it's kind of guilt by association.
[00:10:19.951 --> 00:10:20.811]  You guys need to go ahead and go.
[00:10:20.891 --> 00:10:22.231]  What is guilt by association?
[00:10:22.271 --> 00:10:23.572]  Sir, we're not going to answer your question.
[00:10:23.592 --> 00:10:24.672]  You can go to jail or you can leave.
[00:10:25.012 --> 00:10:26.092]  Are you a police officer, sir?
[00:10:26.652 --> 00:10:27.693]  We do have arrest powers.
[00:10:27.753 --> 00:10:28.393]  Do you want to go to jail?
[00:10:29.335 --> 00:10:30.136]  Am I under arrest?
[00:10:30.676 --> 00:10:31.536]  No, you're not under arrest.
[00:10:31.596 --> 00:10:31.937]  Not yet.
[00:10:32.017 --> 00:10:32.537]  You need to leave.
[00:10:32.657 --> 00:10:34.298]  You're encroaching on our First Amendment right.
[00:10:34.318 --> 00:10:35.079]  No, we are not.
[00:10:35.379 --> 00:10:35.719]  Why not?
[00:10:35.739 --> 00:10:37.400]  This is public property.
[00:10:38.301 --> 00:10:38.861]  We have a right.
[00:10:38.901 --> 00:10:39.421]  Go ahead and go.
[00:10:40.262 --> 00:10:40.402]  Now.
[00:10:41.667 --> 00:10:48.729]  Now these petty authorities were violating a number of constitutional protections including the First Amendment, the Fourth Amendment, the Fifth, and others.
[00:10:49.150 --> 00:11:01.754]  But as you heard at the beginning of the clip, it's a little hard to understand if it's the first time you have seen this clip, the Federal Reserve Bank at Kansas City called up these private security guards and told them to come interrogate us and get our names.
[00:11:01.814 --> 00:11:08.936]  We know it's not the only time the Federal Reserve has been spying on its political opposition who remain peaceful to this day.
[00:11:08.956 --> 00:11:08.996]  In 2008,
[00:11:10.817 --> 00:11:17.240]  In the Fed protests, including the one Alex then attended at the Dallas Federal Reserve, were spied on by Army personnel.
[00:11:17.580 --> 00:11:27.164]  We also know that the Federal Reserve has began tracking bloggers on Facebook and trying to identify key bloggers and monitor conversations about ending the Federal Reserve.
[00:11:27.624 --> 00:11:35.047]  I think that those facts say a lot about why we're not going to learn what's going on at the Fed without a lot more political pressure.
[00:11:35.127 --> 00:11:39.789]  And that is, again, why you should join the Occupy the Federal Reserve movement right now.
[00:11:40.749 --> 00:11:48.595]  And just a quick reminder, Alex is currently at the Occupy the Fed event at the Dallas Federal Reserve in Dallas, Texas.
[00:11:49.016 --> 00:11:58.123]  Join him if you're within the area, and he'll again be at the Houston branch tomorrow, Saturday, and the San Antonio branch Sunday.
[00:11:58.483 --> 00:12:03.307]  Join him there or join him in spirit at Federal Reserve locations everywhere.
[00:12:03.747 --> 00:12:26.187]  Now, we sent reporter Rob Jacobson to New York City this week to cover the Occupy Wall Street protest, and he found what really amounts to a very diverse group of people there for different reasons, and we really need to reach out to those Occupy Wall Street people and try to show them that the Federal Reserve is the most central, most important issue of the larger economic crisis debate.
[00:12:26.547 --> 00:12:28.109]  Let's roll some of that footage right now.
[00:12:28.933 --> 00:12:31.115]  This is Rob Jacobson for InfoWars.com.
[00:12:31.335 --> 00:12:35.418]  I'm standing here at the Occupy Wall Street event.
[00:12:36.019 --> 00:12:38.361]  This is the day that the unions are supposed to show up.
[00:12:38.781 --> 00:12:46.107]  What we've been finding over the last couple of days is that there is no one central organized structure here, no one message.
[00:12:46.528 --> 00:12:51.652]  All the reports on the news showing communist signs, we have not really been able to find many.
[00:12:52.072 --> 00:12:53.693]  It is my estimation that
[00:12:54.474 --> 00:12:59.336]  The news has been cherry picking very selectively, showing communist kind of rhetoric.
[00:12:59.356 --> 00:13:02.417]  It's few and far between people talking like that.
[00:13:03.137 --> 00:13:09.819]  Have you seen any communist signs that they've been showing on places like CNN or other media outlets?
[00:13:10.320 --> 00:13:14.681]  Yeah, and then I see a lot of socialism signs, and then a guy has a don't tread me flag.
[00:13:14.821 --> 00:13:16.622]  Everybody brings their own sort of...
[00:13:17.321 --> 00:13:18.142]  Whatever over here.
[00:13:18.162 --> 00:13:21.103]  This is a movement that is really non-sectarian.
[00:13:21.664 --> 00:13:27.967]  And a lot of the cult left, the sectarian left, has tried to come here and sort of hijack the movement.
[00:13:28.327 --> 00:13:37.533]  If I start saying I'm a communist, you know, right away, 99% of the average citizens in the country are immediately hostile.
[00:13:38.053 --> 00:13:43.997]  I mean, the government and the bankers, we just need to tell them to go sit down and we can do it ourselves.
[00:13:44.257 --> 00:13:48.220]  If you want to know what's going on down here, get your ass off your couch, come down here and talk to people.
[00:13:48.240 --> 00:13:55.525]  You don't have to sit there and have it be interpreted to you by social purveyors, by economic purveyors who are going to break it down for the masses.
[00:13:55.785 --> 00:13:58.127]  People are pissed off and they came down here looking for the truth.
[00:13:58.687 --> 00:14:03.771]  You know, if the news picks up on one and just zooms in and just keeps it there, you can't believe it.
[00:14:03.791 --> 00:14:05.052]  There's going to be a lot of signs all over.
[00:14:05.072 --> 00:14:07.053]  What is your feelings on a communist solution?
[00:14:08.015 --> 00:14:08.695]  It's ridiculous.
[00:14:08.915 --> 00:14:09.956]  I don't agree with any of them.
[00:14:09.976 --> 00:14:10.476]  Five minutes!
[00:14:10.496 --> 00:14:10.756]  Five minutes!
[00:14:10.776 --> 00:14:11.657]  We're going to start marching!
[00:14:11.677 --> 00:14:12.257]  There you have it, folks.
[00:14:12.277 --> 00:14:14.038]  They just announced the march will start in five minutes.
[00:14:14.078 --> 00:14:14.638]  We'll keep you up to date.
[00:14:14.658 --> 00:14:15.158]  Occupy Wall Street!
[00:14:15.178 --> 00:14:15.559]  Occupy Wall Street!
[00:14:15.599 --> 00:14:16.839]  Occupy Wall Street!
[00:14:16.859 --> 00:14:17.299]  Occupy Wall Street!
[00:14:17.319 --> 00:14:17.740]  Occupy Wall Street!
[00:14:17.760 --> 00:14:18.360]  Occupy Wall Street!
[00:14:18.380 --> 00:14:18.920]  Occupy Wall Street!
[00:14:18.940 --> 00:14:19.300]  Occupy Wall Street!
[00:14:19.320 --> 00:14:19.781]  Occupy Wall Street!
[00:14:19.801 --> 00:14:20.221]  Occupy Wall Street!
[00:14:20.241 --> 00:14:20.681]  Occupy Wall Street!
[00:14:20.721 --> 00:14:21.101]  Occupy Wall Street!
[00:14:21.121 --> 00:14:21.962]  Occupy Wall Street!
[00:14:21.982 --> 00:14:22.382]  Occupy Wall Street!
[00:14:22.442 --> 00:14:22.962]  Occupy Wall Street!
[00:14:23.042 --> 00:14:26.524]  Occupy Wall Street!
[00:14:26.584 --> 00:14:27.104]  Occupy Wall Street!
[00:14:27.124 --> 00:14:27.844]  Occupy Wall Street!
[00:14:27.864 --> 00:14:28.505]  Occupy Wall Street!
[00:14:28.525 --> 00:14:29.005]  Occupy Wall Street!
[00:14:29.025 --> 00:14:29.625]  Occupy Wall Street!
[00:14:29.645 --> 00:14:30.305]  Occupy Wall Street!
[00:14:30.325 --> 00:14:30.706]  Occupy Wall Street!
[00:14:30.766 --> 00:14:31.326]  Occupy Wall Street!
[00:14:31.346 --> 00:14:31.966]  Occupy Wall Street!
[00:14:31.986 --> 00:14:32.567]  Occupy Wall Street!
[00:14:32.587 --> 00:14:33.167]  Occupy Wall Street!
[00:14:33.227 --> 00:14:33.827]  Occupy Wall Street!
[00:14:33.907 --> 00:14:35.608]  Occupy Wall
[00:14:36.394 --> 00:14:36.995]  No, of course.
[00:14:37.255 --> 00:14:44.401]  We've been to communist countries and they're not happy places to be.
[00:14:46.803 --> 00:14:50.587]  And the stuff that we're angry about, it's all the same.
[00:14:50.647 --> 00:14:54.070]  I don't care if you're a democrat, libertarian, we're done with the labels.
[00:14:55.498 --> 00:14:58.040]  A lot of people are saying smash quote-unquote capitalism.
[00:14:58.080 --> 00:14:58.840]  Do you agree with that?
[00:14:58.960 --> 00:15:00.121]  I don't know.
[00:15:00.261 --> 00:15:05.344]  I'm hoping that through this there comes some sort of... some sort of... not an answer but some sort of... I don't know.
[00:15:05.404 --> 00:15:08.866]  Maybe make your way towards an answer.
[00:15:08.886 --> 00:15:10.347]  That's the solution.
[00:15:10.387 --> 00:15:11.527]  I don't think it's that easy.
[00:15:11.607 --> 00:15:12.168]  Just saying.
[00:15:14.741 --> 00:15:21.402]  So, as you can see, it's a very diverse group of protesters, many of them well outside of the left-right paradigm.
[00:15:21.722 --> 00:15:22.423]  And we've seen that.
[00:15:22.563 --> 00:15:37.386]  Many of the protests around the country under the Occupy banner, whether it be in San Francisco or in Dallas yesterday, have embraced the End the Federal Reserve message and are participating in the occupation of the Federal Reserve branches around the country.
[00:15:37.726 --> 00:15:40.246]  And we want to continue to welcome people of all stripes.
[00:15:40.426 --> 00:15:43.227]  Ending the Federal Reserve is not a partisan issue.
[00:15:43.767 --> 00:15:55.773]  Although, we have seen the Democrats and Obama trying to co-opt this general movement back into the left-right paradigm, just as the Tea Party movement was co-opted back into the GOP.
[00:15:56.093 --> 00:16:01.535]  We want to break through all that as much as possible and remind people that the Federal Reserve is the important issue.
[00:16:01.816 --> 00:16:08.159]  Now today, Occupy Austin people here in town had a demonstration down at the City Council.
[00:16:09.199 --> 00:16:15.684]  Reporter Darren McBreen found that many of them also embrace the, in the Federal Reserve message, the Occupy the Fed.
[00:16:15.784 --> 00:16:16.925]  Let's check out that footage now.
[00:16:18.526 --> 00:16:26.673]  We're here in front of City Hall in Austin, Texas, where Occupy Wall Street protesters have gathered here to, well, to Occupy Austin.
[00:16:42.827 --> 00:16:45.869]  Now these demonstrations have quickly spread across the country.
[00:16:45.929 --> 00:16:49.332]  They're growing larger in scale and emerging internationally.
[00:16:49.812 --> 00:17:04.384]  Meanwhile, the ruling elite have been hard at work in their attempt to co-opt the movement by sending in their usual suspects to divert the impact of the Occupy Wall Street protest away from the real cause of our economic fallout, the Federal Reserve.
[00:17:05.461 --> 00:17:11.943]  I think we should focus on ending the Fed, because that's really who's enabling the crooks on Wall Street to get away with the money.
[00:17:12.143 --> 00:17:13.463]  It's a private corporation.
[00:17:14.004 --> 00:17:18.745]  It's subject to absolutely no regulation, no oversight, and no representation.
[00:17:18.945 --> 00:17:21.246]  It's what allows the machine to go forward, right?
[00:17:21.366 --> 00:17:25.367]  It's what feeds government, and it impoverishes the people.
[00:17:25.527 --> 00:17:32.209]  They are a for-profit group of bankers, not a part of the federal government, as the deceptive name federal suggests.
[00:17:32.489 --> 00:17:33.790]  That's why they want to keep us stupid.
[00:17:34.071 --> 00:17:37.714]  Federal Reserve's a very complicated thing, so let the politicians worry about it.
[00:17:37.734 --> 00:17:39.375]  You simple people don't worry about it.
[00:17:39.415 --> 00:17:40.456]  We got everything taken care of.
[00:17:40.476 --> 00:17:41.117]  That's their message.
[00:17:41.437 --> 00:17:45.461]  I'm against the Federal Reserve because I don't want them to print worthless money.
[00:17:45.821 --> 00:17:50.326]  We need to go back to a standard where our money stands for something.
[00:17:50.706 --> 00:17:54.710]  Like it stands for actual goods, like gold and silver.
[00:17:54.890 --> 00:17:58.133]  They're giving bailouts to Wall Street, to foreign banks.
[00:17:58.673 --> 00:18:03.814]  This morning, President Obama in a press conference said that he sympathized with the Occupy Wall Street protesters
[00:18:28.499 --> 00:18:29.900]  Now, is it a gimmick?
[00:18:30.000 --> 00:18:32.181]  Is he just blowing smoke up our ass?
[00:18:32.201 --> 00:18:33.181]  President Sotoro?
[00:18:33.801 --> 00:18:34.121]  Obama?
[00:18:34.902 --> 00:18:35.722]  Yeah, it's a gimmick.
[00:18:36.382 --> 00:18:39.884]  The banksters of Wall Street and the Federal Reserve got him into office.
[00:18:40.064 --> 00:18:42.125]  So how can he be against the people that put him into office?
[00:18:42.165 --> 00:18:42.985]  It doesn't make any sense.
[00:18:43.005 --> 00:18:43.726]  So yeah, it's a gimmick.
[00:18:44.146 --> 00:18:46.427]  Where do you think President Obama stands on this?
[00:18:46.447 --> 00:18:49.268]  Do you think he's with the Occupy Wall Street protesters?
[00:18:50.405 --> 00:18:55.469]  Um, I mean, I think that he understands that there's a huge issue we have.
[00:18:56.529 --> 00:19:06.876]  He came into office with a lot of problems already under his belt, and then the way that it's been handled since he's been in office has not really been the best way possible.
[00:19:07.356 --> 00:19:12.700]  Where do you think President Obama stands as far as the Occupy Wall Street protest across the country?
[00:19:12.720 --> 00:19:14.061]  I think he's scared shitless.
[00:19:14.662 --> 00:19:19.326]  He appointed Ben Bernanke from Lehman Brothers or Goldman Sachs.
[00:19:19.766 --> 00:19:21.988]  That's like letting the fox in the hen house.
[00:19:22.589 --> 00:19:24.911]  The immediate removal of Obama is necessary.
[00:19:24.951 --> 00:19:27.333]  We cannot wait for an election to come.
[00:19:27.353 --> 00:19:32.217]  The problem is the political parties pander to the Federal Reserve System to work within our government.
[00:19:32.718 --> 00:19:35.940]  And so we never get past that model, that example, that paradigm as we say.
[00:19:36.941 --> 00:19:40.565]  And so it very well could be the start of the Second American Revolution.
[00:19:40.585 --> 00:19:43.407]  So you're here respecting everybody's First Amendment rights?
[00:19:43.547 --> 00:19:44.148]  Absolutely.
[00:19:44.388 --> 00:19:44.708]  Absolutely.
[00:19:44.728 --> 00:19:49.213]  I mean, if you look around here, the interesting thing, I see half of these activists that we know.
[00:19:50.133 --> 00:19:50.874]  We interact with them.
[00:19:50.914 --> 00:19:52.315]  They're residents of Austin.
[00:19:52.356 --> 00:19:57.080]  And what we want to make sure is that we keep our residents that are exercising their constitutional rights safe.
[00:19:57.520 --> 00:20:00.363]  You always get nervous about somebody from the outside trying to come in and cause problems.
[00:20:00.843 --> 00:20:02.325]  So you don't expect any trouble today?
[00:20:02.915 --> 00:20:03.956]  No, not in Austin.
[00:20:04.436 --> 00:20:09.000]  You know, Austin, Texas shows, and our activists show, how to do things.
[00:20:09.620 --> 00:20:12.723]  You know, you don't let your approach, your message get lost in your approach.
[00:20:13.403 --> 00:20:14.404]  We're peaceful, man.
[00:20:14.444 --> 00:20:19.308]  We're about keeping it weird, but most important, we're about keeping it safe, and that's why we're one of the safest cities in the country.
[00:20:19.328 --> 00:20:20.409]  I'm really proud of the people out here.
[00:20:21.050 --> 00:20:22.551]  Anything you want to say to Alex Jones?
[00:20:22.671 --> 00:20:24.793]  You tell Alex, Alex, I have not seen you.
[00:20:25.193 --> 00:20:26.114]  I haven't heard from you.
[00:20:26.794 --> 00:20:27.215]  Call me.
[00:20:27.275 --> 00:20:30.057]  You called me a communist Cuban the other day, and I want to talk to you about it.
[00:20:30.077 --> 00:20:32.459]  See you, Alex!
[00:20:33.035 --> 00:20:40.703]  Thanks Art, thanks for implementing unconstitutional blood draw checks for DUI checkpoints and other unconstitutional measures.
[00:20:41.324 --> 00:20:45.508]  But of course the police were allowing the protests to go forward, people to have their first amendment.
[00:20:45.829 --> 00:20:53.136]  But that image you see of the binoculars surveying the public, that's the image of the establishment everywhere in cities all across the country.
[00:20:53.857 --> 00:21:06.825]  Being very concerned, watching with extreme caution, that not only is there an anger against Wall Street and the financial system in general, but that it's beginning to swell around the issue of the Federal Reserve and it needs to continue to be.
[00:21:06.925 --> 00:21:15.129]  So I want to urge you again to embrace the Federal Reserve issue wherever you are and occupy that issue if you're going to occupy anything and participate in that.
[00:21:15.470 --> 00:21:21.273]  Now coming up after the break, we do have Stuart Rhodes, founder of Oath Keepers, on why his organization
[00:21:21.693 --> 00:21:26.396]  is joining in the Occupy Wall Street and Occupy Federal Reserve movements.
[00:21:26.896 --> 00:21:36.901]  And we also have a never-before-seen second part of the interview with G. Edward Griffin that Alex recorded yesterday and that you saw part one of on the Nightly News last night.
[00:21:37.242 --> 00:21:38.342]  So stay tuned for that.
[00:21:38.402 --> 00:21:39.863]  We'll be back in just a moment.
[00:21:40.023 --> 00:21:41.384]  InfoWars Nightly News.
[00:21:49.409 --> 00:21:51.450]  Obama is notoriously a liar.
[00:21:54.311 --> 00:22:02.435]  We need to go to where the real architecture of government is, and it's not in a precedent.
[00:22:03.256 --> 00:22:06.057]  Wall Street has hijacked Washington in broad daylight.
[00:22:08.298 --> 00:22:12.781]  While Obama's already fudging,
[00:22:16.098 --> 00:22:18.479]  It's fun since day one of this election.
[00:22:18.759 --> 00:22:29.004]  The elite are using Obama to pacify the public, so they can usher in the North American Union by stealth, launch a new Cold War, and continue the occupation of Iraq and Afghanistan.
[00:22:29.684 --> 00:22:31.365]  The globalists are outside all the nations.
[00:22:31.385 --> 00:22:34.126]  That gives them safety, and they play countries off against each other.
[00:22:34.146 --> 00:22:39.308]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:22:39.788 --> 00:22:43.370]  Partnership and cooperation among nations is not a choice.
[00:22:44.565 --> 00:22:45.686]  It is the only way.
[00:22:46.206 --> 00:22:58.673]  What they're doing is using the existence of the United States to act out their Wall Street fantasies of world domination and maintaining their capital structures and maintaining their system of looting.
[00:22:59.014 --> 00:23:07.298]  The fight that this country has been waging since its inception is for the central bankers not to take over the country.
[00:23:07.338 --> 00:23:11.321]  President Barack Obama is only the tool of a larger agenda.
[00:23:12.458 --> 00:23:15.420]  Senator Obama had a desire to do some meetings.
[00:23:15.481 --> 00:23:19.924]  Others have a desire to meet with him tonight in a private way, and that's what we're doing.
[00:23:21.566 --> 00:23:31.153]  Presidential candidate Barack Obama was publicly criticizing the North American Free Trade Agreement in a bid for votes, but privately telling Canadian officials not to worry about it.
[00:23:32.168 --> 00:23:36.231]  So I know how unpopular it is to be seen as helping banks right now.
[00:23:36.452 --> 00:23:41.636]  Especially when everyone is suffering in part from their bad decisions.
[00:23:41.656 --> 00:23:42.376]  I promise you, I get it.
[00:24:01.018 --> 00:24:02.259]  The Obama Deception.
[00:24:02.699 --> 00:24:04.081]  The truth strikes back.
[00:24:05.662 --> 00:24:12.768]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv
[00:24:21.266 --> 00:24:27.390]  Okay, we are back, and as you see, the Occupy Wall Street movement's a diverse group of people.
[00:24:27.430 --> 00:24:36.055]  There's no central pillars or anything, but at the same time, the establishment is trying to steer that momentum into more big government solutions.
