[00:00:00.049 --> 00:00:01.415]  War on Corruption.
[00:03:15.069 --> 00:03:18.813]  Saying things like, oh, let's see, we're $15 trillion in debt.
[00:03:19.233 --> 00:03:22.637]  Let's get out of that debt by spending another $5 trillion.
[00:03:22.777 --> 00:03:25.380]  Whoo, that's brilliance right there.
[00:03:25.740 --> 00:03:28.103]  I think it's heavy metals poisoning, or at least that could be part of it.
[00:03:28.423 --> 00:03:30.085]  It's got to also be the fluoride.
[00:03:30.325 --> 00:03:36.952]  It's got to be related to the vaccines and the pesticides and, you know, all the chemicals that are out there in the food supply and in the environment.
[00:03:37.947 --> 00:03:41.952]  So we're going to be talking to Dr. Stuart Lonke to get some answers about that.
[00:03:43.013 --> 00:03:49.260]  And if you see me looking at all the notes here, for those of you watching on PrisonPlanet.tv, it's just because we have so much to cover today.
[00:03:49.661 --> 00:03:52.043]  We've got news that will blow your mind.
[00:03:52.083 --> 00:03:55.287]  We've got news about BPA levels spiking 1200% in the blood of people.
[00:03:58.110 --> 00:04:00.231]  After, they eat canned soup!
[00:04:00.692 --> 00:04:04.133]  Yeah, because the lining of the cans contains BPA.
[00:04:04.173 --> 00:04:17.661]  That's the hormone mimicking chemical bisphenol A. It does wonderful things for your body, like giving men breasts, infertility issues related to that, cancer issues related to that.
[00:04:18.421 --> 00:04:19.042]  It's crazy.
[00:04:19.922 --> 00:04:21.283]  We've also got, let's see here.
[00:04:23.066 --> 00:04:25.189]  The turkey fryer terror coming up.
[00:04:25.209 --> 00:04:30.495]  The Department of Homeland Security has issued a warning, an alert, red alert.
[00:04:30.575 --> 00:04:33.599]  If you fry your turkey, you could set your house on fire.
[00:04:33.639 --> 00:04:36.642]  Yes, Janet Napolitano wants to be in your kitchen.
[00:04:37.543 --> 00:04:39.065]  That's kind of scary all by itself.
[00:04:39.306 --> 00:04:41.008]  Janet, stop eating the turkey.
[00:04:42.321 --> 00:04:45.205]  All right, all that and more is coming up here as we return.
[00:04:45.245 --> 00:04:47.088]  We've got all kinds of news coming up.
[00:04:47.188 --> 00:04:51.414]  We're coming back with more details about the Ron Paul appearance in the debates last night.
[00:04:51.735 --> 00:04:54.178]  You are listening to the Alex Jones Show.
[00:04:54.218 --> 00:04:54.779]  Stay with us.
[00:04:54.819 --> 00:04:58.464]  We'll be right back after this break with more breaking news and analysis.
[00:05:07.611 --> 00:05:09.092]  Hi folks, this is Alex Jones.
[00:05:09.313 --> 00:05:14.337]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:14.617 --> 00:05:15.979]  Saving means to make money.
[00:05:16.159 --> 00:05:24.927]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:25.667 --> 00:05:32.792]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:33.212 --> 00:05:40.818]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:41.218 --> 00:05:48.603]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[00:05:51.505 --> 00:06:11.802]  Hey folks, this is Crazy Melvin for eFoods Direct and I'm slashing prices to get you the best deals on your food supply!
[00:06:12.002 --> 00:06:19.909]  Call now and save, save, save on a 25-year food supply that can save your life when disaster strikes because it will strike and it will smack you right upside the head so keep...
[00:06:20.819 --> 00:06:21.819]  Wait a minute, Melvin.
[00:06:21.959 --> 00:06:24.600]  I know eFoodsDirect and they're not full of hype like you.
[00:06:24.840 --> 00:06:29.681]  eFoodsDirect goes to great lengths to ensure you get the best ingredients full of nutrition and flavor.
[00:06:29.862 --> 00:06:30.802]  They are the real deal.
[00:06:30.962 --> 00:06:32.562]  Melvin, you're right about one thing, though.
[00:06:32.642 --> 00:06:39.204]  For Black Friday weekend, eFoods will save you 30% off anything on their website at eFoodsDirect.com slash Alex.
[00:06:39.424 --> 00:06:40.985]  Now, that's a deal with no hype.
[00:06:41.045 --> 00:06:48.507]  Call 800-409-5633 or go to eFoodsDirect.com slash Alex and save 30% off your entire order.
[00:06:48.627 --> 00:06:49.627]  This deal only lasts through
[00:06:49.667 --> 00:06:50.148]  We're good to go.
[00:07:05.933 --> 00:07:10.175]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:07:10.475 --> 00:07:11.116]  Number one.
[00:07:11.396 --> 00:07:14.558]  New climate legislation could easily double or triple your electric bill.
[00:07:14.818 --> 00:07:15.378]  Number two.
[00:07:15.678 --> 00:07:20.241]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:07:20.581 --> 00:07:21.021]  It's true.
[00:07:21.321 --> 00:07:25.864]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:26.184 --> 00:07:26.724]  Number 3.
[00:07:27.004 --> 00:07:30.305]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:30.585 --> 00:07:34.306]  And now, new socialist legislation is only compounding the problem.
[00:07:34.506 --> 00:07:35.046]  Number 4.
[00:07:35.306 --> 00:07:37.667]  Dangerous weather is always a threat to local grids.
[00:07:38.067 --> 00:07:41.448]  Every year, thousands of families lose their power from weather-related outages.
[00:07:41.748 --> 00:07:41.948]  Number 5.
[00:07:42.528 --> 00:07:46.449]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:07:46.669 --> 00:07:51.430]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:51.730 --> 00:07:55.752]  You can get more information at www.mysolarbackup.com.
[00:07:55.893 --> 00:07:57.454]  That's mysolarbackup.com.
[00:07:57.674 --> 00:07:59.775]  Remember, the government doesn't own the sun.
[00:07:59.935 --> 00:08:02.537]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:08:05.038 --> 00:08:13.984]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:14.604 --> 00:08:17.586]  It's Alex Jones and the GCN Radio Network.
[00:08:20.464 --> 00:08:21.464]  All right, welcome folks.
[00:08:21.485 --> 00:08:25.386]  This is the Alex Jones Show on Wednesday, November 23rd, 2011.
[00:08:25.426 --> 00:08:32.029]  I'm the fill-in host today, Mike Adams, the health ranger, the editor of NaturalNews.com.
[00:08:32.690 --> 00:08:35.151]  And today we're going to be covering just a number
[00:08:35.951 --> 00:08:37.553]  ...of mind-blowing topics.
[00:08:37.673 --> 00:08:39.154]  Truly fascinating stuff.
[00:08:39.174 --> 00:08:42.377]  This is one of the most info-packed shows I've ever hosted here.
[00:08:42.938 --> 00:08:57.632]  Starting off with Ron Paul in the debate last night, where he squared off against Newt Gingrich and other globalists, who were all spouting some very scary information about why you shouldn't have your Bill of Rights if they think we're in a war.
[00:08:58.584 --> 00:09:03.126]  And we're going to run a little bit of video from that in a minute, but first, let me set this up and explain.
[00:09:05.066 --> 00:09:09.108]  They started off with a question from Edwin Meese, yeah, the former U.S.
[00:09:09.148 --> 00:09:16.110]  Attorney General, who begins by really spouting a series of lies.
[00:09:16.130 --> 00:09:22.732]  He says, oh, there have been 42 terrorist attacks prevented by the Patriot Act.
[00:09:23.592 --> 00:09:27.274]  And he says the Patriot Act is a tool that's fundamental
[00:09:28.294 --> 00:09:43.124]  To stopping terrorists, and then he asks, shouldn't we have a quote, long-range extension of the Patriot Act so that these law enforcement officers can continue to use this wonderful, wonderful tool to prevent terrorism?
[00:09:44.102 --> 00:09:49.990]  And of course, predictably, all the other globalists on the stage, other than Ron Paul, they agree with Edwin Mies.
[00:09:50.030 --> 00:09:57.780]  Now, in his question, though, he didn't tell you the truth of these, quote, 42 terrorist attacks that have been prevented by the Patriot Act.
[00:09:59.042 --> 00:10:03.746]  Probably 41 out of 42 were attacks that were set up by the FBI, right?
[00:10:04.187 --> 00:10:19.501]  The FBI goes out there on the record, this is now publicly on the record, the FBI goes out there, creates the plots, recruits the so-called terrorists, who are actually normally just innocent people who don't really know what they're involved in.
[00:10:20.612 --> 00:10:26.039]  The FBI provides the money, they provide the weapons, they provide the planning, the motivation, the target lists.
[00:10:26.760 --> 00:10:34.010]  And then, after they hand this over to these would-be terrorists, magically another branch of the FBI shows up and guess what?
[00:10:34.070 --> 00:10:34.971]  Oh, they catch them!
[00:10:35.672 --> 00:10:36.332]  They catch them.
[00:10:36.692 --> 00:10:40.834]  This is like playing Cowboys and Indians in your own backyard sandbox, isn't it?
[00:10:41.294 --> 00:10:49.198]  Kind of like, okay, you play like the Indians or the terrorists, and we'll play like the Cowboys and we'll act like we catch you.
[00:10:49.918 --> 00:11:01.843]  And then we'll report to the media, what a great job we're doing stopping terrorism, and we'll use that as a justification to continue the completely illegal Patriot Act, which is a violation
[00:11:02.523 --> 00:11:08.086]  At so many levels of basic, fundamental, not just human rights, but of course the Bill of Rights.
[00:11:08.386 --> 00:11:11.868]  So this was the question that Edwin Meese led off with.
[00:11:11.928 --> 00:11:15.489]  It was a loaded question, like using loaded dice in a poker game.
[00:11:16.170 --> 00:11:24.534]  And then, of course, Wolf Blitzer added right only that, he said, quote, gee, only this weekend there was an alleged terror plot uncovered in New York City.
[00:11:24.874 --> 00:11:25.354]  Oh my God!
[00:11:26.395 --> 00:11:28.856]  Yeah, probably another one set up by the FBI.
[00:11:29.536 --> 00:11:31.057]  They can do it more than once, you see.
[00:11:32.477 --> 00:11:33.790]  Ah, this makes them think they're important.
[00:11:35.532 --> 00:11:42.458]  So then Gingrich replies, well, you have to have two sets of laws, really.
[00:11:43.179 --> 00:11:46.902]  The Bill of Rights only applies to, quote, criminal investigations.
[00:11:46.922 --> 00:11:52.567]  You know, people who rob others or people who commit acts of violence or common crimes.
[00:11:52.627 --> 00:12:00.153]  But he says, you should have a totally different set of rules when there's a war, when there's national security at risk.
[00:12:00.714 --> 00:12:02.695]  You shouldn't have the Bill of Rights at all.
[00:12:03.436 --> 00:12:05.197]  This is, I'm paraphrasing him, obviously.
[00:12:06.338 --> 00:12:10.601]  He says, basically, the terror threat will be ongoing, probably through multiple generations.
[00:12:10.621 --> 00:12:16.446]  Yeah, because it's working out really well for the globalists to have this scary terror threat out there, even if they have to invent it.
[00:12:17.281 --> 00:12:22.226]  And by the way, Paul Craig Roberts is coming up at the bottom of this hour to give us more commentary on that.
[00:12:22.266 --> 00:12:27.432]  He wrote a great article a few weeks ago about the complete fabrication of the entire war on terror.
[00:12:27.792 --> 00:12:30.675]  That was published at InfoWars.com if you want to check that out.
[00:12:31.356 --> 00:12:38.744]  But Newt Gingrich goes on to say that you shouldn't have a Bill of Rights if there's a war going on.
[00:12:39.224 --> 00:12:42.326]  But, you see, who decides if there's a war?
[00:12:42.626 --> 00:12:44.047]  It certainly wasn't Congress.
[00:12:44.787 --> 00:12:45.908]  They never declared a war.
[00:12:45.968 --> 00:12:49.470]  They never debated a declaration of a war, and Ron Paul points this out.
[00:12:49.790 --> 00:12:55.634]  But Newt Gingrich and the other globalists apparently think that they can just pronounce a war.
[00:12:56.134 --> 00:12:58.896]  Oh, there's a war, or a war-like
[00:12:59.876 --> 00:13:00.156]  I think?
[00:13:19.473 --> 00:13:23.738]  Or a due process 5th Amendment or even 10th Amendment rights for the states.
[00:13:23.778 --> 00:13:36.013]  I mean, it just goes on and on and it is the most obscene example of just runaway, runaway, freedom-grabbing, terror-minded thinking.
[00:13:36.454 --> 00:13:38.076]  The philosophy of these people.
[00:13:38.636 --> 00:13:51.989]  Of these globalists who were on the stage last night, on the CNN debate, I tell you, their philosophy, every one of them, except for Ron Paul, their philosophy is identical to the philosophical foundations of Nazi war criminals.
[00:13:52.429 --> 00:13:52.729]  Alright?
[00:13:53.170 --> 00:13:55.832]  Who justify their actions by saying, we're at war!
[00:13:56.713 --> 00:13:58.215]  So therefore we can do anything!
[00:13:59.178 --> 00:14:02.700]  This is what Newt Gingrich seems to be proposing.
[00:14:02.740 --> 00:14:03.260]  It's incredible.
[00:14:03.581 --> 00:14:16.148]  Let's run some of that video footage of Ron Paul to hear what his answer was to these globalists and their war-mongering, terror-mongering, fear-mongering efforts to scare everybody into giving up their rights.
[00:14:16.188 --> 00:14:17.368]  Go ahead with that if you've got it.
[00:14:17.388 --> 00:14:19.590]  I'm Ron Paul, a congressman from Texas.
[00:14:20.590 --> 00:14:24.434]  I am pleased to be here in the debate because this is a very important debate.
[00:14:25.015 --> 00:14:28.718]  I am convinced that needless and unnecessary wars are a great detriment.
[00:14:29.179 --> 00:14:31.501]  They undermine our prosperity and our liberties.
[00:14:31.521 --> 00:14:34.264]  They add to our deficits and they consume our welfare.
[00:14:34.364 --> 00:14:37.467]  We should take a careful look at our foreign policy.
[00:14:41.013 --> 00:14:42.554]  Alright, let's move ahead.
[00:14:42.614 --> 00:14:47.477]  This is Wolf Blitzer asking the loaded, or handling the loaded question from Edwin Meese.
[00:14:47.497 --> 00:14:49.359]  Go ahead about a minute and a half on that or so.
[00:14:49.379 --> 00:14:55.663]  In the meantime, let me read you a quote that Ron Paul had that he stated in this debate.
[00:14:55.703 --> 00:14:58.265]  He says, quote, I have a personal belief
[00:14:58.965 --> 00:15:00.386]  Yeah, he just said that right there.
[00:15:00.406 --> 00:15:04.427]  I want to bring others in, but do you want to respond, Mr. Speaker?
[00:15:04.447 --> 00:15:04.587]  Yeah.
[00:15:04.607 --> 00:15:05.327]  Timothy McVeigh succeeded.
[00:15:27.537 --> 00:15:28.177]  There's Newt Gingrich.
[00:15:28.197 --> 00:15:31.099]  That's the whole point.
[00:15:31.199 --> 00:15:37.203]  If you look at Newt's face during this debate, he's so arrogant of how Timothy McVeigh succeeded.
[00:15:37.604 --> 00:15:40.245]  Yeah, who set up the Oklahoma City bombing?
[00:15:40.326 --> 00:15:40.586]  Really?
[00:15:40.606 --> 00:15:42.747]  I mean, who was involved in 9-11?
[00:15:43.187 --> 00:15:43.488]  Really?
[00:15:43.508 --> 00:15:44.608]  I mean, come on.
[00:15:44.889 --> 00:15:47.570]  Who's setting up all the fake terror plots across America today?
[00:15:47.650 --> 00:15:48.431]  It's the FBI.
[00:15:48.471 --> 00:15:49.272]  It's the insiders.
[00:15:49.312 --> 00:15:50.132]  We know that's going on.
[00:15:50.452 --> 00:15:52.834]  Who brought down World Trade Center Building 7?
[00:15:53.234 --> 00:15:53.534]  Come on.
[00:15:54.075 --> 00:15:55.095]  Demolition style.
[00:15:55.476 --> 00:15:56.036]  Brought it down.
[00:15:57.777 --> 00:16:05.479]  You know, it's to the point where if you watch that debate, they got a room full of people, hundreds of people, and we'll play more from Ron Paul if you get that queued up there.
[00:16:06.219 --> 00:16:10.220]  You've got hundreds of people in there, you've got all these people on stage, you've got Wolf Blitzer asking questions.
[00:16:11.821 --> 00:16:14.221]  The only sane person in the room is Ron Paul.
[00:16:14.822 --> 00:16:19.443]  Everybody else there is clinically insane, in my opinion.
[00:16:20.741 --> 00:16:25.263]  They are living in an imaginary world where terror threats exist on every street corner.
[00:16:25.303 --> 00:16:26.344]  Terrorists are in your kitchen.
[00:16:26.624 --> 00:16:27.844]  Terrorists are in your shower.
[00:16:28.185 --> 00:16:29.305]  Terrorists are in your luggage.
[00:16:29.325 --> 00:16:30.346]  They're hiding in your luggage.
[00:16:30.886 --> 00:16:32.187]  And they're hiding down your pants.
[00:16:32.567 --> 00:16:35.628]  That's why the TSA has to reach down your pants to check for terrorism.
[00:16:36.429 --> 00:16:43.692]  You know, and Ron Paul replies and says, there wasn't a war declared on anybody, and terrorism is a concept, not a person, not a people.
[00:16:43.952 --> 00:16:45.353]  Go ahead and roll some more from Ron Paul there.
[00:16:45.373 --> 00:16:47.054]  Let's see if we get a good segment here.
[00:16:49.813 --> 00:16:51.175]  That's digging a hole for ourselves.
[00:16:51.215 --> 00:16:52.796]  What if they look like Timothy McVeigh?
[00:16:53.217 --> 00:16:54.638]  You know, he was pretty tough criminal.
[00:16:54.658 --> 00:16:56.420]  He's talking about profiling here.
[00:16:56.440 --> 00:16:59.444]  Too much carelessness in the use of words that we're at war.
[00:16:59.464 --> 00:17:03.688]  I don't remember voting on a declared declaration of war.
[00:17:03.808 --> 00:17:05.010]  Oh, war against terrorism.
[00:17:06.520 --> 00:17:08.041]  And terrorism is a tactic.
[00:17:08.161 --> 00:17:09.322]  It isn't a person.
[00:17:09.402 --> 00:17:10.242]  It isn't a people.
[00:17:10.742 --> 00:17:13.344]  So, this is a barely careless use of words.
[00:17:13.644 --> 00:17:14.384]  What about this?
[00:17:14.824 --> 00:17:17.126]  Sacrifice liberties because they're terrorists?
[00:17:18.006 --> 00:17:19.287]  You're the judge and the jury?
[00:17:19.347 --> 00:17:20.367]  No, they're suspects!
[00:17:20.907 --> 00:17:21.788]  And they have changed?
[00:17:22.508 --> 00:17:28.053]  In the DOD budget, they have changed the wording on the definition of Al-Qaeda and Taliban.
[00:17:28.333 --> 00:17:34.038]  It's anybody associated with organizations, which means almost anybody can be loosely associated.
[00:17:34.158 --> 00:17:36.440]  So that makes all Americans vulnerable.
[00:17:36.540 --> 00:17:40.763]  And now we know that American citizens are vulnerable to assassination.
[00:17:41.084 --> 00:17:44.667]  So I would be very cautious about protecting the rule of law.
[00:17:45.027 --> 00:17:47.249]  It will be a sacrifice that you'll be sorry for.
[00:17:47.449 --> 00:17:49.269]  Herman Cain, let's bring you into this conversation.
[00:17:49.309 --> 00:18:01.412]  Those words should go down in history as the red alert warning from Ron Paul to all free-minded citizens who want to protect the future of their nation here in the United States.
[00:18:02.152 --> 00:18:07.534]  He says again, so I would be very cautious about protecting the rule of law.
[00:18:07.854 --> 00:18:10.094]  He says it will be a sacrifice.
[00:18:10.134 --> 00:18:13.175]  What he means is if you give up the rule of law, if you give up
[00:18:13.795 --> 00:18:14.435]  We're good to go.
[00:18:38.965 --> 00:18:42.226]  And just take out an American citizen without any due process whatsoever.
[00:18:42.586 --> 00:18:44.567]  Do you realize the magnitude of this, people?
[00:18:44.767 --> 00:19:01.711]  I'm hoping that you're really tuning in and really listening to this because, look, before 1776, before America had its independence, we had the British occupying forces over here in North America, and they were speaking the same kind of words that the globalists like Newt Gingrich are speaking today.
[00:19:01.751 --> 00:19:03.252]  They said, we're in a state of war.
[00:19:03.872 --> 00:19:04.292]  We're good to go.
[00:19:24.042 --> 00:19:32.729]  Apparently, apparently, Newt Gingrich now thinks that that same kind of thinking should be the rules that are followed here in America today.
[00:19:33.029 --> 00:19:36.672]  Don't you realize, people, the Bill of Rights was created to prevent that?
[00:19:37.682 --> 00:19:45.149]  Even the 3rd Amendment was about preventing us from having to be forced to quarter British soldiers in our homes, okay?
[00:19:45.529 --> 00:19:49.493]  The 4th Amendment, the 1st, the 2nd, on down the list.
[00:19:49.913 --> 00:19:54.858]  The reason they are there is because we do not want to be ruled by tyrants who declare a state of war.
[00:19:55.478 --> 00:19:56.940]  Stay with us here on the Alex Jones Show.
[00:19:56.960 --> 00:19:58.181]  We've got a lot more coming right back.
[00:19:58.501 --> 00:19:59.122]  Stay with us, alright?
[00:20:09.301 --> 00:20:13.442]  Burglars love easy targets, like a dark house that looks like no one is home.
[00:20:13.742 --> 00:20:15.842]  Don't let your home be the next target.
[00:20:16.042 --> 00:20:19.523]  Make it look like someone is home watching television with Fake TV.
[00:20:19.923 --> 00:20:26.825]  Fake TV is a small electronic device that makes the same light as a real television, so from outside it looks like someone is home watching TV.
[00:20:27.085 --> 00:20:31.266]  Fake TV plugs in just like a lamp on a timer, but is far more convincing to burglars.
[00:20:31.506 --> 00:20:38.207]  Fake TV deters burglars, costs far less than an alarm, comes with AC adapter, and is highly recommended by numerous police departments.
[00:20:38.507 --> 00:20:40.068]  Use it anytime you're away from home.
[00:20:40.289 --> 00:20:45.773]  To order your fake TV for only $34.95, go to faketv.com or call 1-877-5-FAKE-TV.
[00:20:45.874 --> 00:20:52.339]  Each additional fake TV is only $29.95, so get one for you and get one or more for Christmas.
[00:20:52.619 --> 00:20:55.902]  Now through Christmas, get free standard shipping on any quantity fake TV purchase.
[00:20:56.103 --> 00:21:01.407]  Call 877-5-F-A-K-E-TV or go to faketv.com.
[00:21:01.687 --> 00:21:04.350]  Faketv.com, the burglar deterrent.
[00:21:06.195 --> 00:21:10.017]  HempUSA.org brings you pure camembert powder.
[00:21:10.218 --> 00:21:21.565]  This revolutionary powder contains 50 times the vitamin C of an orange, mixes with any juice or liquid, has 227 servings per container, and is made from naturally grown camembert berries.
[00:21:21.865 --> 00:21:23.906]  Not chemically produced in a laboratory.
[00:21:24.246 --> 00:21:26.227]  Order camembert powder today.
[00:21:26.448 --> 00:21:35.113]  Call 908-691-2608 or visit HempUSA.org and see what our powder, seeds, and oil can do for you.
[00:21:35.513 --> 00:21:36.574]  Hi, this is Ted Anderson.
[00:21:36.754 --> 00:21:41.137]  Have you ever wondered why banks, stock workers, investment advisors won't talk about gold IRAs?
[00:21:41.317 --> 00:21:47.041]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:21:47.141 --> 00:21:50.543]  Gold has outperformed paper investments, yet no word about IRAs.
[00:21:50.763 --> 00:21:53.385]  If you would like to have gold for your retirement, call 800-686-2237.
[00:21:53.485 --> 00:21:58.408]  Don't get left behind by rising inflation and low returns.
[00:21:58.548 --> 00:21:58.829]  Call 800-686-2237.
[00:21:58.849 --> 00:22:00.190]  Secure your future and call 1-800-686-2237.
[00:22:05.673 --> 00:22:06.835]  Hello, I'm Alex Jones.
[00:22:07.095 --> 00:22:17.545]  Myself, my family, the InfoWars.com team want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[00:22:17.746 --> 00:22:21.850]  InfoWars.com is leading the fight against the technocrats.
[00:22:22.210 --> 00:22:24.631]  But we can't do that without your help.
[00:22:24.951 --> 00:22:35.835]  By getting the films, bumper stickers, and t-shirts at InfoWars.com, you will wake up people in your area and support our operation as we move to the next level.
[00:22:36.235 --> 00:22:39.376]  We need your help to spread the word like never before.
[00:22:39.716 --> 00:22:45.378]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[00:22:45.838 --> 00:22:55.361]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[00:22:55.741 --> 00:22:56.921]  The war is here.
[00:22:57.241 --> 00:22:58.682]  It's an info war.
[00:22:59.142 --> 00:23:01.943]  The spirit of 1776 versus the mindset of 1984.
[00:23:05.914 --> 00:23:11.961]  Discover a natural way to experience cleaner, healthier indoor air without expensive filters and high-priced machines.
[00:23:12.382 --> 00:23:15.225]  Discover what healthcare professionals have known for decades.
[00:23:15.706 --> 00:23:18.389]  Salt ionizes and purifies indoor air.
[00:23:18.710 --> 00:23:20.992]  That's why you need to visit SilverskyImports.com.
[00:23:21.613 --> 00:23:38.803]  SilverSkyImports.com offers a wide assortment of Himalayan Crystal Salt Lamps, handcrafted from salt crystals that are millions of years old, contain healthy ions that eliminate odor, reduce bacteria, and can even help allergy and asthma sufferers, which means you and your family will breathe better, sleep sounder, and have more energy.
[00:23:39.003 --> 00:23:46.848]  These salt lamps are available in stunning natural colors and shades to accent any home or office, are environmentally friendly, and best of all, they're affordable.
[00:23:47.108 --> 00:23:51.033]  And don't forget SilverskyImports.com also carries gourmet and bath salts.
[00:23:51.473 --> 00:23:53.976]  Order today at SilverskyImports.com or call 800-494-1369.
[00:23:53.996 --> 00:23:54.297]  That's 800-494-1369.
[00:23:54.317 --> 00:23:56.960]  Breathe easier, feel better, live healthier at SilverskyImports.com.
[00:24:16.764 --> 00:24:20.345]  Happy Thanksgiving, everybody, and welcome back to the Alex Jones Show.
[00:24:20.385 --> 00:24:23.247]  I'm Mike Adams, the health ranger filling in for Alex today.
[00:24:23.867 --> 00:24:30.470]  He's on the road, returning to Austin shortly, and will resume his regular duties here on the show.
[00:24:30.490 --> 00:24:32.071]  In the meantime, we're filling in.
[00:24:32.091 --> 00:24:37.113]  We've been talking about Ron Paul during the debates, and thank you again for staying tuned to the Alex Jones Show.
[00:24:37.133 --> 00:24:43.416]  We've got Paul Craig Roberts coming up in just, what is that, about eight minutes, nine minutes, something like that.
[00:24:44.611 --> 00:25:10.026]  And we're going to be talking about the tyranny that is taking over America today, and the concept of trickle-down tyranny, which is what happens when all the local little bureaucrats and power people, they witness what's happening at the federal level, and they think, oh, it must be socially acceptable now to just act like a thug and act like a tyrant, and they replicate that, they mimic that, they shape that behavior.
[00:25:11.046 --> 00:25:12.948]  And become their own little local tyrants.
[00:25:13.008 --> 00:25:27.439]  Alright, but getting back to Ron Paul and the debate, you know, I gotta say, I'm trying to say Happy Thanksgiving, but also at the same time warn you, this may be your last free Thanksgiving.
[00:25:27.459 --> 00:25:29.801]  In other words, your last Thanksgiving as a free citizen.
[00:25:30.566 --> 00:25:46.033]  If we don't get Ron Paul and that kind of philosophy into positions of power in this country, if we end up being ruled by globalists, you're going to be next Thanksgiving, you're going to be looking back at this Thanksgiving and asking yourself, what the heck happened?
[00:25:46.813 --> 00:25:48.034]  What happened to our Bill of Rights?
[00:25:48.054 --> 00:25:49.034]  What happened to our freedoms?
[00:25:49.674 --> 00:25:50.715]  What happened to our bank accounts?
