[00:00:01.291 --> 00:00:05.912]  Here is our sit-down interview with Joel Skousen, editor of World Affairs Brief.
[00:06:12.149 --> 00:06:18.236]  Later on, of course, they destroyed Batista of Cuba in the same way that they did of Mao Zedong in China.
[00:06:19.232 --> 00:06:20.553]  They pulled out military support.
[00:06:21.074 --> 00:06:22.796]  It was the second level of the State Department.
[00:06:23.997 --> 00:06:34.848]  We had planted reporters like Herbert Matthews in the New York Times who would write these knifing, derogatory articles about Batista and these
[00:06:36.229 --> 00:06:36.689]  I don't know.
[00:06:58.726 --> 00:06:59.026]  I think?
[00:07:14.127 --> 00:07:15.748]  They wanted the communists to come to power.
[00:07:16.329 --> 00:07:17.310]  Because they were communists?
[00:07:17.390 --> 00:07:18.090]  I don't think so.
[00:07:18.511 --> 00:07:25.997]  I think it's because the globalist view is that we can use communism to break down the existing social order.
[00:07:27.018 --> 00:07:30.941]  We can use communism to create even more horrific crimes.
[00:07:31.442 --> 00:07:34.664]  And then we, the globalists, a moderate form of socialism,
[00:07:35.740 --> 00:07:40.565]  That intertwines predatory capitalism, mercantilism with socialism.
[00:07:40.605 --> 00:07:49.353]  We can come into the rescue, save people from communism and give them our version of the New World Order, which people will then tend to accept.
[00:07:49.413 --> 00:07:54.518]  And they would not accept were we not to have the horrors of communism to pave the way.
[00:07:56.070 --> 00:08:13.889]  So that's what I feel is the important thing to realize is that communism, socialism, Fabian socialism, and there are tens of other variations of enemies to the free market are all promoted to one degree or another.
[00:08:16.412 --> 00:08:17.353]  In the same sense,
[00:08:19.440 --> 00:08:29.063]  The conspiracy has had the necessity of morphing into different organizations to be able to cover itself from discovery.
[00:08:29.943 --> 00:08:30.704]  We can go back.
[00:08:31.004 --> 00:08:34.585]  I think the conspiracy has been with us since the beginning of time.
[00:08:35.305 --> 00:08:40.707]  But when we begin, whether it's from Cain and Abel or we talk about the Illuminati,
[00:08:41.707 --> 00:08:42.107]  That's right.
[00:08:53.419 --> 00:09:02.467]  And God or Satan follows and sees what God is trying to do to promote liberty and has a counter strategy in everything that comes about.
[00:09:03.068 --> 00:09:15.519]  There are key dates in history like 1776 when you had a massive liberty for movement whereby for the first time in history you'd had some very principled libertarian oriented people come into power.
[00:09:17.472 --> 00:09:20.634]  And at the same time you have this rise of the Illuminati.
[00:09:20.734 --> 00:09:21.735]  It got exposed.
[00:09:22.455 --> 00:09:33.163]  I believe it went underground and then began to use another organization, the Masonic Lodges, to take its place.
[00:09:33.723 --> 00:09:43.551]  When that became exposed, they dropped out the lower levels of the Masonic so that they became rather as good old boy clubs, and they're still in use today.
[00:09:43.571 --> 00:09:45.332]  You can go into certain parts of Texas
[00:09:46.792 --> 00:09:51.555]  And you talk to people and there are most people within a certain county are members of the Lodge.
[00:09:52.176 --> 00:09:57.019]  And they know that if they get a traffic ticket they can flash the ringer and they can get some type of mutiny.
[00:09:57.039 --> 00:10:01.462]  Now it isn't really illegal, it isn't anything to do with these broad range conspiracies.
[00:10:02.483 --> 00:10:11.985]  But it is a good old boys network and it allows people to rise within those networks and to be able to, and the higher ups within those to see, all right, who's corruptible?
[00:10:12.385 --> 00:10:13.265]  Who's predictable?
[00:10:13.705 --> 00:10:17.526]  Who can we bring along to a higher order or understanding?
[00:10:18.006 --> 00:10:24.947]  So it's my opinion that the Masonic level only participates in broad-range conspiracy issues above the 32nd or 33rd level.
[00:10:25.827 --> 00:10:28.748]  In the United States, in Europe, it's a different story.
[00:10:29.767 --> 00:10:36.832]  In Europe, the Masonic Lodges have been much more deeply involved in conspiratorial, globalist, and New World Order issues.
[00:10:39.734 --> 00:10:48.541]  And we find the Masonic lodges are still very powerful in Italy especially, in Spain, Germany, and France.
[00:10:49.842 --> 00:11:05.814]  So what I'm saying or viewing is that conspiratorial forces morph into different forms, they use different crises, and above all, they are able to imitate and co-opt goodness
[00:11:07.662 --> 00:11:08.723]  In a variety of ways.
[00:11:09.804 --> 00:11:14.849]  It's important that this is not, to understand this is not a monolithic conspiracy of power.
[00:11:15.510 --> 00:11:16.831]  There are competing blocks.
[00:11:17.011 --> 00:11:18.753]  There's always competitors.
[00:11:18.793 --> 00:11:25.579]  Just like in the drug trade, the United States runs its own dark side drug trade to finance black operations.
[00:11:27.301 --> 00:11:31.483]  And higher-ups within the DEA and CIA are aware of these things.
[00:11:32.324 --> 00:11:40.328]  But there are always competitors coming up in the drug trade, trying to piggyback onto this very, very lucrative profession.
[00:11:40.849 --> 00:11:42.209]  And so it is this conspiracy.
[00:11:42.390 --> 00:11:45.311]  A conspiracy power has to give certain rewards to people.
[00:11:46.052 --> 00:11:50.474]  And that's why wealth is always a part of it, the inducement of wealth.
[00:11:51.775 --> 00:11:54.397]  It is not true, however, and I want to clarify one thing.
[00:11:55.695 --> 00:12:05.024]  Oftentimes in conspiratorial literature, such as in Alan's book or even in some of my uncle's book, you talk about the wealthy international bankers.
[00:12:05.925 --> 00:12:11.010]  Well, it is not true that every single international banker is involved in the conspiracy.
[00:12:11.030 --> 00:12:14.073]  It is not true that every wealthy banker is part of it.
[00:12:14.993 --> 00:12:17.496]  It is true that everyone who's part of it is wealthy.
[00:12:18.831 --> 00:12:24.555]  But it is not true that all big business is part of it or that all big banks are part of it.
[00:12:25.555 --> 00:12:30.098]  Almost all are now because they don't like competition and they tend to try to co-op.
[00:12:30.899 --> 00:12:34.981]  But there is this continual competition of power.
[00:12:36.262 --> 00:12:39.804]  In the world scene, I believe that there are three predator senators of power.
[00:12:40.665 --> 00:12:41.886]  I believe the most powerful
[00:12:43.044 --> 00:12:51.469]  And the longest running structure of conspiracy to undermine liberty is what we call the Anglo-American Power Center.
[00:12:52.669 --> 00:13:03.055]  Centered primarily in London, but now has got most of its power transferred over to New York and the United States just because that's where most of the wealth is.
[00:13:04.076 --> 00:13:06.596]  The other power is Russia and the other power is China.
[00:13:06.837 --> 00:13:08.217]  I believe that they are competing.
[00:13:08.437 --> 00:13:17.278]  They're temporary allies because they know that eventually they're going to be in a war with the Anglo-American establishment.
[00:13:18.399 --> 00:13:22.099]  But eventually they will have to fight it out among themselves.
[00:13:22.219 --> 00:13:25.120]  And I want to say this about three competing senators of power.
[00:13:25.580 --> 00:13:30.941]  That there has been a significant piece of disinformation which has been put out within our movement.
[00:13:32.149 --> 00:13:34.149]  That started with the Rowan Gaither quote.
[00:13:34.450 --> 00:13:41.771]  This is the quote that my uncle was the first one to publish this in his book, The Naked Capitalist, by W. Cleon Skousen.
[00:13:42.391 --> 00:13:54.574]  He talks about Norman Dodd, under a special house committee, going to interview Rowan Gaither of the Ford Foundation, and asking him, why is it that the foundations are always promoting
[00:13:55.816 --> 00:14:00.657]  Communism and other socialist aspects within the UN and elsewhere.
[00:14:01.457 --> 00:14:16.920]  And he said to Norman Dodd, he said, the powerful forces behind our foundation want to have the Soviet Union and Russia meld itself peacefully into one major organization, one peaceful country.
[00:14:17.780 --> 00:14:19.760]  This, in my opinion, was disinformation.
[00:14:20.020 --> 00:14:24.341]  In the first place, Rowan Gaither, who was an insider, never would tell the real reason
[00:14:25.236 --> 00:14:26.277]  for a conspiracy.
[00:14:26.297 --> 00:14:40.586]  He would give a plausible reason that would allow Norman Dodd to walk away and something that has deceptively deceived many conservative organizations for many years including the John Birch Society which has done many wonderful things.
[00:14:41.447 --> 00:14:53.615]  But it's influenced the Birch Society because of this one quote they have felt for many years that there would never be war between Russia and the United States because the Russians were puppets of the Anglo-American establishment.
[00:14:54.435 --> 00:14:56.697]  This is what the Ron Gaither quote has led to.
[00:14:57.217 --> 00:15:07.146]  That if in fact that the foundations and the powers that be behind the foundations are in control, and that they're controlling both Russia and the United States, there wouldn't be war between them.
[00:15:08.066 --> 00:15:10.528]  In fact, in my analysis, this is not true.
[00:15:11.400 --> 00:15:30.015]  What is true is that Russia is a separate independent predator, but the Anglo-American establishment, using Hegelian conflict creation dialectics, want to build Russia so that it will attack, because the war itself is useful and that Russia will be eliminated in the process of the war.
[00:15:31.085 --> 00:15:33.647]  And that's how I think it's going to play out.
[00:15:54.406 --> 00:16:05.396]  What our vulnerabilities are as a people, as conservatives of liberty, trying to understand or protect ourselves against being co-opted.
[00:16:07.478 --> 00:16:11.742]  People on our side of the spectrum need to understand how to recognize
[00:16:13.039 --> 00:16:14.240]  Wolves in sheep's clothing.
[00:16:14.900 --> 00:16:18.041]  And the various other types of deception that's going on.
[00:16:18.381 --> 00:16:22.702]  This is the most difficult thing for good people, in my estimation, to see.
[00:16:23.523 --> 00:16:30.545]  Is to see that someone, because we're, you know, good people tend to think that everyone else thinks like they do.
[00:16:31.225 --> 00:16:33.326]  They do not understand systematic evil.
[00:16:33.366 --> 00:16:35.287]  They do not understand deceptive evil.
[00:16:37.447 --> 00:16:38.748]  And they tend to explain it away.
[00:16:39.810 --> 00:16:45.754]  But it's important for people to realize that it's not just real evil wolves in sheep's clothing.
[00:16:45.954 --> 00:16:48.937]  There are all different types of deception going on.
[00:16:50.358 --> 00:16:56.002]  The first step is to recognize when someone is parroting or repeating the establishment line.
[00:16:56.022 --> 00:17:04.728]  In other words, good people have to, and I'm trying to take this out of the issue of understanding the right or wrong of what they're saying.
[00:17:06.369 --> 00:17:08.511]  This is how deception occurs with good people.
[00:17:09.585 --> 00:17:13.192]  They see he's saying the truth, therefore he must be good.
[00:17:14.214 --> 00:17:16.377]  It works, therefore it must be right.
[00:17:17.760 --> 00:17:19.643]  Neither of those propositions are true.
[00:17:20.846 --> 00:17:21.687]  Things can work.
[00:17:22.987 --> 00:17:28.868]  Using false philosophies, using false mechanisms, using deception.
[00:17:30.248 --> 00:17:38.230]  People can say the right things for the wrong motive in order to promote themselves in ways of which will further deceive them.
[00:17:38.290 --> 00:17:45.251]  That's what disinformation is all about, is giving a certain portion of truth so that you can drop in major areas that are false.
[00:17:46.191 --> 00:17:51.792]  So it is not enough to judge what is being done by whether or not it's true or false.
[00:17:52.672 --> 00:18:02.641]  One must learn to recognize what is an establishment line of attack, an establishment direction, and learn who is parroting that.
[00:18:02.762 --> 00:18:12.310]  Because real truth never goes very far along an establishment line without diverging from it significantly in truth.
[00:18:12.390 --> 00:18:17.015]  That is why the establishment always says our position is extremist.
[00:18:18.123 --> 00:18:24.989]  Because we diverge from their establishment line on significant points, which they always label extreme.
[00:18:26.009 --> 00:18:31.974]  That's the way they get people to disregard truth that diverges from the establishment line.
[00:18:32.695 --> 00:18:35.838]  This happens whether it's establishment medical protocols.
[00:18:36.558 --> 00:18:39.160]  The best truths are outside those protocols.
[00:18:39.220 --> 00:18:42.043]  That isn't to say that everything within the establishment is false.
[00:18:42.423 --> 00:18:43.063]  Far from it.
[00:18:43.644 --> 00:18:44.605]  Most of it is right.
[00:18:44.825 --> 00:18:45.626]  Most of it is good.
[00:18:46.246 --> 00:18:50.790]  But it's leading through the exclusion of critical truths.
[00:18:50.890 --> 00:18:57.556]  It's leading people in a direction that will keep them blind and keep them from seeing the crucial truths.
[00:18:58.597 --> 00:19:08.025]  So, once you see someone parroting the establishment line, you have to ask, is he part of the establishment or is he not part of it?
[00:19:08.726 --> 00:19:13.170]  I'm going to take you through a truth diagram here of yes or no and then where to go from that.
[00:19:15.433 --> 00:19:24.939]  If a person is not part of the establishment, but he's parroting the establishment line, he's usually being used because of several reasons.
[00:19:25.199 --> 00:19:27.040]  One, either they're too ambitious.
[00:19:27.921 --> 00:19:29.622]  I put Mitt Romney in that category.
[00:19:30.142 --> 00:19:39.948]  Mitt Romney is not a corrupt individual, but he's someone bending over backwards so badly to please the establishment because he wants to be accepted by them.
[00:19:40.369 --> 00:19:41.329]  He wants to rise.
[00:19:41.389 --> 00:19:42.510]  He wants to be president.
[00:19:43.752 --> 00:19:53.884]  So good people can get themselves into a real hole in terms of doing what's right by being too ambitious and wanting too badly to please the establishment.
[00:19:55.182 --> 00:19:57.522]  They can be predictably liberal or moderate.
[00:19:57.762 --> 00:20:02.303]  There are certain people who have an innate sense about right or wrong.
[00:20:02.523 --> 00:20:06.764]  There are certain people who have an innate sense about what's establishment and what's popular.
[00:20:07.324 --> 00:20:12.205]  And they seem like a compass to seek only for those things which will make them more popular.
[00:20:12.245 --> 00:20:13.605]  We see that with kids in school.
[00:20:14.285 --> 00:20:15.806]  There are people who are outsiders.
[00:20:15.826 --> 00:20:18.286]  They're always pushing the edge, whether for good or evil.
[00:20:18.306 --> 00:20:20.186]  And there are people who are right there in the middle of the road.
[00:20:20.606 --> 00:20:23.207]  They're afraid to do anything that will be criticized.
[00:20:24.386 --> 00:20:29.051]  Now, that's a problem, for example, if I can give an example of Glenn Beck.
[00:20:29.711 --> 00:20:36.879]  Glenn Beck got into a lot of problems with drugs and alcohol because he started off in life trying to please people.
[00:20:37.159 --> 00:20:39.601]  Into rock music, he became a DJ.
[00:20:39.761 --> 00:20:42.204]  DJs are noted for their people-pleasing tactics.
[00:20:42.845 --> 00:20:46.608]  Everything about their demeanor as a DJ is pleasing people.
[00:20:47.449 --> 00:20:48.912]  He's got Glenn Beck into trouble.
[00:20:49.753 --> 00:20:57.425]  And even today, even though he is branching out and becoming a strong voice against the establishment in certain areas,
[00:20:58.464 --> 00:21:07.690]  His fear of being criticized keeps him from, even though his research takes him closer and closer to conspiracy.
[00:21:08.170 --> 00:21:17.075]  He's now talking about Carol Quigley in his book, Tragedy and Hope, which talks about the Anglo-American conspiracy without confronting that yourself.
[00:21:17.135 --> 00:21:19.637]  And Glenn Beck is having to confront it in his own mind.
[00:21:19.717 --> 00:21:25.180]  And yet, because of his fear of criticism, he has so eschewed the concept of 9-11 truth
[00:21:26.801 --> 00:21:33.225]  Or of the birth certificate problem with Obama, that he's unwilling to go back and admit that he may be wrong.
[00:21:33.645 --> 00:21:35.386]  Now, he's a work in progress.
[00:21:35.446 --> 00:21:51.816]  I'm not saying that Glenn Beck will not someday overcome that, but I'm saying right now, here's a good example of someone who is a good person, who is on our side, who's trying to do things within certain limits, but steers away because of the fear
[00:21:53.127 --> 00:21:53.528]  Of course!
[00:22:09.971 --> 00:22:10.731]  in this movement.
[00:22:11.011 --> 00:22:16.113]  Sarah Palin, for example, in my estimation, is too predictable.
[00:22:16.173 --> 00:22:17.013]  She's ambitious.
[00:22:17.473 --> 00:22:21.655]  There has to be ego in anyone who promotes themselves to the degree that they do.
[00:22:22.495 --> 00:22:28.557]  I think the latest article, for example, in Vanity Fair by Charles Gross is indicative.
[00:22:29.057 --> 00:22:34.439]  When you have a person who lashes out in anger and who has a great deal of pride and who becomes
[00:22:35.599 --> 00:23:01.646]  uh... dismissive of other people that's got a problem with uh... uh... predictability that the establishment can use oftentimes the establishment uses corruptibility of people which i'll get into on people who are part of it but to a certain extent certain conservatives who start out on the good side they view that they can become corruptible uh... and uh...
[00:23:02.970 --> 00:23:06.851]  I think Rush Limbaugh, for example, started out on the right side.
[00:23:06.911 --> 00:23:07.932]  He was very conservative.
[00:23:07.952 --> 00:23:10.532]  He was very pro understanding of conspiracy.
[00:23:10.552 --> 00:23:15.054]  He warned openly and almost constantly in his radio shows about conspiracy.
[00:23:15.834 --> 00:23:20.555]  At some point they offered him, made an offer that was too big to pass up.
[00:23:22.296 --> 00:23:26.297]  Something like three million dollars to go over and become part of the big radio networks.
[00:23:27.077 --> 00:23:32.119]  But at some point during those negotiations, I believe someday we'll find out
[00:23:33.266 --> 00:23:59.910]  If not in this life on the other side that they gave him a message that part of the deal is that you can't push this conspiracy stuff anymore because literally the first or second show out of the gate under the new radio network he began not only to not just to say which would have been legitimate had he said I have my doubts about my previous thoughts about conspiracy I'm still open but I have doubts about this and because
[00:24:01.977 --> 00:24:04.918]  Conspiracy is something we never have all of the answers about.
[00:24:05.859 --> 00:24:09.661]  But no, he didn't take that moderate position of saying, I have doubts now.
[00:24:10.121 --> 00:24:15.884]  He took the position of vilifying and denigrating and attacking anyone who called up.
[00:24:16.824 --> 00:24:19.645]  And most of his listeners had been used to talking about conspiracy.
[00:24:20.106 --> 00:24:24.468]  They called up thinking, I'm going to talk about the same conspiracy I talked to last week with Rush.
[00:24:24.988 --> 00:24:27.149]  And he began to attack them and blow them away.
[00:24:28.749 --> 00:24:31.650]  The same thing happens with Sean Hannity and Bill O'Reilly.
[00:24:32.470 --> 00:24:35.411]  Now they're very, very good about attacking Democrats.
[00:24:36.491 --> 00:24:37.952]  They never attack Republicans.
[00:24:38.412 --> 00:24:40.012]  Glenn Beck will attack Republicans.
[00:24:40.032 --> 00:24:43.473]  He did attack President Bush when he went outside the Constitution.
[00:24:44.214 --> 00:24:47.094]  Hannity and O'Reilly will never attack a Republican.
[00:24:47.635 --> 00:24:55.317]  Whatever it is, the Democrat is open game and that's why they have a great time during a Democratic administration like Obama or Bill Clinton.
[00:24:56.530 --> 00:25:07.777]  But their true colors come out of my opinion when they come up with a conspiracy issue, whether it's the Obama birth certificate, and they literally will lash in, break up, interrupt their phrase, won't let them finish a phrase.
[00:25:07.817 --> 00:25:12.220]  They will not let anyone competent finish a phrase about conspiracy.
[00:25:13.081 --> 00:25:24.128]  And that's an indication that they have no intention whatsoever of allowing an open discussion of that, no matter how reasonable it may be.
[00:25:25.552 --> 00:25:37.278]  So what I'm trying to say is because a person parrots an establishment line, that is not an indication that they are part of a conspiracy against truth.
[00:25:38.279 --> 00:25:41.860]  There are reasons, as I said, of being used on the good side.
[00:25:42.221 --> 00:25:46.803]  Now let's talk about the various different types that are on the bad side, those that are part of it.
[00:25:47.783 --> 00:25:50.685]  One of the problems that we've had in analyzing
[00:25:51.912 --> 00:26:02.238]  The issue of conspiracy is the tendency of people to succumb to the concept that if you're close to conspiracy, you must be fully a part of it.
[00:26:02.798 --> 00:26:03.559]  And it isn't true.
[00:26:04.199 --> 00:26:10.023]  And it allows the people who want to bash conspiracy theory to say, this is simply ridiculous.
[00:26:11.058 --> 00:26:17.846]  A worldwide conspiracy to take down Liberty would require that hundreds of thousands of people be knowing about this conspiracy.
[00:26:17.866 --> 00:26:18.947]  You'd never keep it a secret.
[00:26:19.588 --> 00:26:23.232]  We have a professor up at the University of Utah who makes that very case.
[00:26:23.272 --> 00:26:26.575]  It is very convincing that you could simply never have a conspiracy this big.
[00:26:27.276 --> 00:26:28.677]  Well, he's wrong on several counts.
[00:26:28.958 --> 00:26:33.962]  The first one is the assumption is that everybody in a conspiracy knows everything about the conspiracy.
[00:26:34.203 --> 00:26:35.063]  It's simply not true.
[00:26:35.704 --> 00:26:37.065]  It's very compartmentalized.
[00:26:37.526 --> 00:26:43.832]  Just because you're in the CIA doesn't mean that you know anything about what goes on in the various other compartments of the CIA.
[00:26:44.352 --> 00:26:48.056]  And the conspiracy is always very tightly compartmentalized.
[00:26:49.213 --> 00:26:59.395]  Everybody who's on the wrong side knows there's a control system and has decided that he will still stay in it and go along with it and not fight against it.
[00:27:00.236 --> 00:27:09.938]  Now that to me separates the difference between those who are useful because they're naive, because they're too ambitious, because they're going along with the crowd,
[00:27:11.207 --> 00:27:12.830]  Uh, and those that are actually part of it.
[00:27:13.511 --> 00:27:19.139]  Those that are actually good, if they knew there was a control system, they would say, I don't want any part of that.
[00:27:20.302 --> 00:27:21.783]  And that's why they must be kept from it.
[00:27:22.463 --> 00:27:25.824]  That's the reason, for example, why they didn't want Mitt Romney in there.
[00:27:26.104 --> 00:27:36.768]  Self-made millionaire, had the power to put himself in front of the people without the Kingmaker system designating who will be running for office.
[00:27:37.388 --> 00:27:42.230]  If you'll notice, that's how they manipulate the political process in large part.
[00:27:43.427 --> 00:27:52.914]  When it gets close to an election, the media will start to say, these are the top candidates, according to the experts on the Democratic side, and these are the top candidates on the Republican side.
[00:27:53.574 --> 00:27:54.115]  Says who?
[00:27:54.955 --> 00:27:58.317]  I'm a political scientist.
[00:27:58.538 --> 00:28:08.285]  In 1989, when they were getting ready for the election, they said the top candidates on the Democratic side include Bill Clinton, the governor of Arkansas, I said.
[00:28:09.195 --> 00:28:09.716]  Bill who?
[00:28:10.237 --> 00:28:12.061]  I mean, Bill Clinton was a nobody.
[00:28:12.882 --> 00:28:15.608]  Who's the governor of Arkansas in terms of national politics?
[00:28:15.648 --> 00:28:16.249]  He was nobody.
[00:28:16.269 --> 00:28:20.657]  And all of a sudden as a political scientist, I realized they're promoting Bill Clinton.
[00:28:21.906 --> 00:28:25.027]  Because there's no way that he is a national figure.
[00:28:25.667 --> 00:28:26.467]  It never has been.
[00:28:27.347 --> 00:28:28.528]  And sure enough, they were.
[00:28:29.108 --> 00:28:34.629]  That's why, for example, when they wanted to promote George Bush, they made him, first of all, governor of Texas.
[00:28:35.210 --> 00:28:50.694]  Because he was a worthless, very loose, shaggy-haired businessman in Dallas who never read a newspaper, was never interested in foreign affairs, and they had to produce this guy and mold him into something.
[00:28:52.796 --> 00:28:54.618]  But the process is a little bit corrupting.
[00:28:55.138 --> 00:28:57.100]  It's been corrupting to Sarah Palin.
[00:28:57.661 --> 00:29:09.953]  Sarah Palin's been corrupted by the money, the good press, the jet that has been provided at her service, the multi-million dollar book deals, the lavish clothes that are now part of her lifestyle.
[00:29:10.413 --> 00:29:11.854]  All of that's had a corrupting effect.
[00:29:11.914 --> 00:29:12.194]  Why?
[00:29:12.254 --> 00:29:15.036]  Because who wants to go back to the days when you didn't have any money?
[00:29:15.336 --> 00:29:23.241]  Who wants to go back to the day when the press was crucified and you had investigations after investigation that were costing you all this money and legal fees?
[00:29:23.881 --> 00:29:25.522]  No, this is the good life I'm living now.
[00:29:25.562 --> 00:29:27.443]  Look, I've got all these speeches.
[00:29:27.543 --> 00:29:28.744]  I'm able to be effective.
[00:29:29.204 --> 00:29:31.426]  She doesn't realize that she's being used.
[00:29:31.966 --> 00:29:40.988]  And that there's a subtle pressure among her advisors that were she to take certain positions, you would lose this funding, you'd lose the jet, you'd lose the book deals.
[00:29:41.708 --> 00:29:44.789]  And so that's how the corruption of the process occurs.
[00:29:45.669 --> 00:29:54.231]  Mitt Romney, he's being corrupted by, you will not be accepted by the press, you will not get elected unless you take moderate positions.
[00:29:55.252 --> 00:29:59.633]  And because his ambition is too high, he is willing to take those moderate positions.
[00:30:01.860 --> 00:30:10.105]  But ultimately, the reason why they do not want Mitt Romney versus Newt Gingrich is that Mitt Romney is not part of the system.
