[00:00:00.009 --> 00:00:00.749]  Radio Network.
[00:09:11.444 --> 00:09:14.306]  We're going to be looking at that.
[00:09:15.406 --> 00:09:17.787]  Also, Lindsey Graham calls for permanent U.S.
[00:09:17.827 --> 00:09:20.607]  military presence in Afghanistan yesterday.
[00:09:21.087 --> 00:09:22.667]  Well, that's the way it's always been.
[00:09:23.808 --> 00:09:32.369]  That's the way, you know, the real battle plan was and is and will always be to permanently stay there.
[00:09:32.689 --> 00:09:34.070]  Does the empire leave Germany?
[00:09:34.370 --> 00:09:35.650]  Does the empire leave Japan?
[00:09:35.670 --> 00:09:37.110]  Does the empire leave South Korea?
[00:09:37.550 --> 00:09:39.311]  Does the empire leave Guantanamo Bay?
[00:09:39.591 --> 00:09:40.591]  It's not our empire.
[00:09:40.871 --> 00:09:41.691]  We just pay for it.
[00:09:43.001 --> 00:09:45.662]  And we are an empire clearly in decline.
[00:09:46.242 --> 00:09:50.044]  And whereas I'd like to see the empire fall, I'd like to save the republic.
[00:09:50.384 --> 00:09:52.545]  You know, the empire killed the republic.
[00:09:52.965 --> 00:09:58.367]  The question is, when the empire falls, will it implode in on us and feed on us even more domestically?
[00:09:58.547 --> 00:10:03.309]  Or could we pull a rabbit out of a hat and get our republic back?
[00:10:03.329 --> 00:10:06.911]  You know, that's the big $64 million question.
[00:10:07.431 --> 00:10:11.213]  And that's just some of what is coming up today.
[00:10:12.293 --> 00:10:14.975]  I'm now going to rip off David Letterman from last night.
[00:10:15.015 --> 00:10:16.637]  I didn't see it, but Jaron told me about it.
[00:10:16.677 --> 00:10:20.200]  I guess it's not stealing the joke because I'm just repeating it here.
[00:10:20.840 --> 00:10:26.966]  But he said that the new governor, Mr. Brown, has been sworn in in a particularly hokey way.
[00:10:27.806 --> 00:10:34.071]  Uh, and, uh, that don't worry about Governor Schwarzenegger, he's being relocated to a primate, uh, facility in Florida.
[00:10:34.511 --> 00:10:35.732]  So he's gonna be quite happy.
[00:10:36.072 --> 00:10:42.517]  Uh, but Schwarzenegger says he will be back, and he wants the 22nd Amendment removed so he can be our president.
[00:10:43.257 --> 00:10:55.511]  I think if you tell Rolling Stone and a film crew and several other newspapers that you admire Hitler and want to be a dictator, that precludes you from public office.
[00:10:55.611 --> 00:10:56.592]  Clear abuse of power.
[00:10:58.654 --> 00:11:03.980]  In the 90s, tell MSNBC that you admire Kurt Voltheim, the SS officer.
[00:11:05.842 --> 00:11:07.123]  I think that precludes you.
[00:11:07.183 --> 00:11:20.713]  So thank heavens for the vision of the founders and the Constitution that we can't have a foreign-born individual as our El Presidente.
[00:11:20.773 --> 00:11:22.674]  I don't know of any other countries that allow that as well.
[00:11:22.694 --> 00:11:24.235]  It's just common sense.
[00:11:24.295 --> 00:11:27.257]  But really that had its genesis
[00:11:28.568 --> 00:11:49.274]  in the 1770s and 1780s because of practices in Europe where royalty would try to, as young boys, ship their sons into neighboring countries that were becoming democratic with parliaments and having them elected with their money, power, and backing to then take over the nation through that system.
[00:11:50.035 --> 00:11:57.137]  And so we don't need Arnold Alos Schwarzenegger, the anti-gun, pro-open border,
[00:11:57.837 --> 00:12:02.118]  carbon-taxing New World Order person to run for office anymore.
[00:12:02.679 --> 00:12:07.240]  We need to have Arnold go back to his homeland.
[00:12:07.520 --> 00:12:09.581]  Austria is a beautiful, wonderful country, great people.
[00:12:10.261 --> 00:12:21.965]  But if I was Austrian, I'd be irritated by, say, somebody from Texas over there talking about how I wanted to be a dictator and telling folks to turn their guns into me and that I wanted carbon taxes.
[00:12:22.325 --> 00:12:23.565]  He is leaving with a 22% approval rating.
[00:12:25.846 --> 00:12:26.547]  I hope so.
[00:12:40.854 --> 00:12:42.395]  The ArnoldExposed.com.
[00:12:42.956 --> 00:12:44.237]  Is that site even active anymore?
[00:12:44.257 --> 00:12:45.918]  I always try to keep it up, but we never look at it.
[00:12:45.938 --> 00:12:50.762]  Let's go to ArnoldExposed.com, put it on screen for folks watching at PrisonPlanet.tv.
[00:12:50.782 --> 00:12:56.767]  We've got a compendium there of the quotes and the statements about how he hates helpless Americans.
[00:12:58.007 --> 00:13:05.593]  And I countered him in USA Today and other big publications, picked up my quotes about him being a Nazi who likes to preen.
[00:13:06.594 --> 00:13:16.742]  And poses a strutting steroid head peacock and that we don't we don't like his kind around here so he can Auslander Reich or how do they say it in Deutsch?
[00:13:16.962 --> 00:13:17.863]  Foreigners out.
[00:13:18.404 --> 00:13:21.906]  We can start with Arnold Alois Schwarzenegger.
[00:13:22.787 --> 00:13:24.448]  So Auslander Reich.
[00:13:25.449 --> 00:13:26.270]  Is that how you say it?
[00:13:26.937 --> 00:13:29.739]  That means get out of our country, get out of here.
[00:13:29.759 --> 00:13:36.383]  I wouldn't mind it so much if he was Austrian and talked about how he loved the Republic and loved the Second Amendment.
[00:13:39.025 --> 00:13:44.089]  Didn't talk about how he wants to be a dictator and what didn't pass carbon taxes on the back of Californians.
[00:13:44.309 --> 00:13:48.053]  But I'd still say, oh, you know, prudence wins out.
[00:13:48.133 --> 00:13:50.875]  Even if he was a Ron Paul type, he shouldn't be able to run for president.
[00:13:51.495 --> 00:13:55.078]  Just like I shouldn't be able to run for president in Austria.
[00:13:55.339 --> 00:13:56.239]  And I got news for you.
[00:13:56.340 --> 00:13:56.780]  I can't.
[00:13:57.821 --> 00:13:58.742]  You know, you got to love it.
[00:13:59.142 --> 00:14:05.547]  Mexico has the most draconian immigration laws in the Americas, from Alaska down to Chile.
[00:14:06.704 --> 00:14:09.246]  From Brazil up to Venezuela, to Canada.
[00:14:09.827 --> 00:14:13.230]  They have the most draconian, even the Washington Post admits that, the State Department admits it.
[00:14:13.490 --> 00:14:20.797]  They put people in slave labor camps from Guatemala or other Central South American countries that they're caught coming into Southern North America, into Mexico.
[00:14:21.638 --> 00:14:24.281]  And the police will beat up and kill anybody they want.
[00:14:24.761 --> 00:14:41.170]  But then, if we don't give free welfare and goodies to the illegal aliens pouring across from Mexico, waving Mexican flags, who are so upset by American flags in Texas, Arizona, and California, that school children, including Hispanic school children, can't wear American flags, that's my problem!
[00:14:42.031 --> 00:14:44.853]  See, it's kind of like Schwarzenegger saying he wants to be a dictator.
[00:14:45.254 --> 00:14:45.854]  I don't like him.
[00:14:46.595 --> 00:14:51.299]  And it's like a large portion of these illegal aliens from Mexico chanting down with the U.S.
[00:14:51.919 --> 00:15:00.706]  at soccer games that's been covered on television and running around with Mexican flags and tearing down American flags at post offices and running up Mexican flags.
[00:15:01.087 --> 00:15:01.867]  I can't handle it.
[00:15:02.828 --> 00:15:03.108]  Okay?
[00:15:05.065 --> 00:15:15.548]  I mean, if Mexico wanted to become the 51st state, and the people had a history of liberty and freedom down there, and were into the Second Amendment and into private property, I'd say 51st state!
[00:15:16.068 --> 00:15:18.749]  I'm not scared of folks down there because they got a nice tan.
[00:15:19.009 --> 00:15:20.229]  I kind of wish I had one.
[00:15:20.789 --> 00:15:21.749]  You know, I like a tan.
[00:15:22.190 --> 00:15:22.510]  Okay?
[00:15:22.870 --> 00:15:25.490]  The problem is, is what's in the minds down there.
[00:15:25.851 --> 00:15:26.611]  And I don't like it.
[00:15:26.951 --> 00:15:29.011]  And I want that to be on record here.
[00:15:29.711 --> 00:15:30.012]  Okay.
[00:15:30.172 --> 00:15:31.172]  I'm done talking about it.
[00:15:31.752 --> 00:15:38.474]  I'm done talking about it, and the globalists are force-feeding this globalism, this collectivism, into the poor folks in Mexico.
[00:15:38.814 --> 00:15:40.314]  I want them to have liberty and freedom.
[00:15:40.794 --> 00:15:42.674]  It's a country with triple the resources than we've got.
[00:15:42.875 --> 00:15:45.375]  Okay, I said I'd get into the news, and I'm not doing that.
[00:15:45.435 --> 00:15:53.257]  I'm now ranting off into Schwarzenegger, and then segwaying into Mexico, and then going into the next issue, and the next issue after that.
[00:15:54.724 --> 00:15:57.745]  But, you know, sorry to the illegal aliens when they do vote.
[00:15:58.505 --> 00:16:13.111]  I've seen the national polls, over 90% of them vote illegally in many cases, or people that were recently citizens to take my guns, to suck whatever capital's left in me and my family and pay it into the welfare.
[00:16:13.191 --> 00:16:13.591]  I'm done!
[00:16:13.651 --> 00:16:14.512]  The country's bankrupt!
[00:16:14.592 --> 00:16:14.892]  I'm done!
[00:16:15.532 --> 00:16:18.893]  You run your flag up and tell me you're anti-liberty, I'm your enemy.
[00:16:18.933 --> 00:16:30.277]  So get that straight and put it in your pipe and please take a big succulent, corpulent draw of that tobacco of truth down into your lungs and see how you like it.
[00:16:30.677 --> 00:16:32.058]  See how that draws for you.
[00:16:32.098 --> 00:16:37.500]  See if you can grok it, to use a line from a Heinlein book, Stranger in a Strange Land.
[00:16:37.580 --> 00:16:38.840]  Do you grok it?
[00:16:39.400 --> 00:16:40.301]  Do you get it?
[00:16:40.381 --> 00:16:41.361]  Do you read me?
[00:16:42.121 --> 00:16:42.401]  Over.
[00:16:42.582 --> 00:16:43.322]  Good, I'm glad.
[00:16:44.434 --> 00:16:47.836]  Continuing here, this is the big news, really, of the day.
[00:16:47.896 --> 00:16:48.876]  This is the big news.
[00:16:49.257 --> 00:16:54.740]  It's hiding in plain view, and it's just really hard for me to sit here and watch it go on.
[00:16:55.020 --> 00:17:01.263]  But this is part of that Overton window, where they do things so radical that it just trains us all.
[00:17:01.283 --> 00:17:08.227]  They take us a million miles down the road of tyranny, and even though we know it's tyranny, we just basically get our backs broken and accept it.
[00:17:10.038 --> 00:17:14.219]  And as Barry Goldwater said, extremism in defense of liberty is no vice.
[00:17:14.599 --> 00:17:18.120]  We're dealing with extreme government criminals in both major parties.
[00:17:18.500 --> 00:17:26.662]  We're dealing with extreme decadence and lethargy and sloth-like behavior from the average American, myself included.
[00:17:26.943 --> 00:17:28.503]  We've got to get supercharged
[00:17:28.823 --> 00:17:32.525]  We've got to get awakened, we've got to get angry, and we've got to get focused.
[00:17:32.565 --> 00:17:34.406]  And I know Paul Watson's listening right now.
[00:17:34.746 --> 00:17:36.708]  We're working on an article together.
[00:17:36.728 --> 00:17:42.851]  He's working on some big breaking news with the dead Tweety Birds as well, and what that ties into.
[00:17:42.931 --> 00:17:44.292]  But this is a big story.
[00:17:44.772 --> 00:17:48.674]  And when I saw this last night, I did some research, I did some more this morning.
[00:17:48.714 --> 00:17:50.736]  I'm looking at federal and state law.
[00:17:51.636 --> 00:18:06.542]  But there's no doubt that this is illegal and there's a big paper trail on this and if we can just get the media to pick up on it, but mainline conservative media doesn't want to do this because they do some of these same influence peddling
[00:18:07.402 --> 00:18:29.178]  uh... that the chicago crime machine and and and the mayor's father is literally one of the most famous mobsters in history right up there with bugsy siegel and and uh... al capone uh... of course the chicago police no one denies that's a mafia uh... machine of there ever was one i mean you don't serve the cop his tenth drink he just beats you up i mean it's like well you're drunk we can't let you
[00:18:29.938 --> 00:18:30.899]  Give me the drink!
[00:18:31.399 --> 00:18:32.440]  Shaking people down.
[00:18:32.460 --> 00:18:38.866]  I've been in Chicago just trying to videotape on the streets and had cops march over and just go, turn your cameras off.
[00:18:39.941 --> 00:18:41.423]  But you could tell they were real crooks.
[00:18:41.463 --> 00:18:44.586]  These weren't, you know, normal cops just trying to act like thugs.
[00:18:45.086 --> 00:18:47.569]  And they just got their billy clubs and said, turn them off.
[00:18:48.129 --> 00:18:53.134]  And I could tell right then, it was turn them off or we're gonna give you multiple concussions, maybe even kill you.
[00:18:53.575 --> 00:19:00.622]  And I just said, okay, just because I understand that's an area already destroyed, already taken over by gun-grabbing mafias.
[00:19:00.822 --> 00:19:02.464]  Notice mafias always want your guns.
[00:19:03.348 --> 00:19:16.464]  I mean, when criminals march into a bank and say, you know, stick them up, first person they do, first person they pistol-whip, first thing they do is pistol-whip the guard and take their gun and tie him up.
[00:19:17.532 --> 00:19:19.293]  I mean, that's what gun control is.
[00:19:19.593 --> 00:19:20.834]  It's tying up the slave.
[00:19:21.435 --> 00:19:23.756]  You think they let slaves in Rome have swords?
[00:19:23.776 --> 00:19:26.698]  You think they let black people 200 years ago have guns?
[00:19:27.259 --> 00:19:29.080]  First gun laws in this country were against blacks.
[00:19:29.100 --> 00:19:30.141]  Alright, continue.
[00:19:30.161 --> 00:19:33.523]  When we come back, Obama is said to be considering naming J.P.
[00:19:33.543 --> 00:19:37.266]  Morgan's daily to top White House post.
[00:19:40.468 --> 00:19:42.289]  And this just ties into all of this garbage.
[00:19:42.329 --> 00:19:42.669]  Stay with us.
[00:19:42.689 --> 00:19:43.170]  We'll be right back.
[00:19:44.775 --> 00:19:51.220]  One of the most potent ways to lower blood pressure is to inhibit the angiotensin-converting enzyme in the body, also called ACE.
[00:19:51.580 --> 00:19:55.803]  In nature, there are a group of proteins found in unheated whey that inhibit the ACE enzyme.
[00:19:56.143 --> 00:19:58.965]  The most potent ACE inhibitor to date is Lactokinin.
[00:19:59.365 --> 00:20:09.793]  While Lactokinin does not have the inhibitory potency of synthetic drugs commonly used in the treatment of hypertension, this naturally occurring whey peptide may be able to help keep blood pressure normal.
[00:20:10.293 --> 00:20:14.155]  The most powerful whey protein supplement on the market is One World Whey.
[00:20:14.455 --> 00:20:19.158]  One World Whey is the first ever unheated whey protein powder from grass-fed cows.
[00:20:19.918 --> 00:20:22.720]  One World Whey is easily digested and tastes delicious.
[00:20:23.420 --> 00:20:29.763]  Use One World Whey to support your exercise or weight loss goals, your optimal blood pressure, energy, endurance, and mood.
[00:20:30.204 --> 00:20:31.324]  To order, call 888-988-3325.
[00:20:31.384 --> 00:20:31.564]  That's 888-988-3325.
[00:20:31.604 --> 00:20:31.805]  Or visit
[00:20:40.010 --> 00:20:48.418]  As many people know, ever since President Nixon took us off the gold standard, the U.S.
[00:20:48.478 --> 00:20:49.740]  dollar has been devaluating.
[00:20:49.920 --> 00:20:53.624]  What people don't know, however, is how this directly affects your personal finances.
[00:20:53.904 --> 00:20:56.427]  Is there a way to protect your portfolios from losing value?
[00:20:56.447 --> 00:20:58.449]  The answer to all of this is gold and silver.
[00:20:58.609 --> 00:21:00.931]  They both have maintained their purchasing power for 6,000 years.
[00:21:01.932 --> 00:21:10.683]  If you had $100,000 in cash and $100,000 in gold and silver back in 1913 and kept them until now, your cash would have the buying power of only $4,800.
[00:21:10.844 --> 00:21:14.148]  But your gold and silver would have the buying power of $3,000,000.
[00:21:14.208 --> 00:21:17.312]  The answer to protecting your assets is simple.
[00:21:17.512 --> 00:21:19.332]  Call John Ballman today at 1-800-686-2237 extension 169.
[00:21:19.432 --> 00:21:23.273]  Get all your questions answered before your money is worth zero.
[00:21:23.293 --> 00:21:24.033]  Call 1-800-686-2237 extension 169.
[00:21:24.073 --> 00:21:26.114]  Take action today while we still accept paper dollars for gold.
[00:21:26.134 --> 00:21:26.714]  That's 1-800-686-2237 extension 169.
[00:21:43.627 --> 00:21:44.769]  A very wealthy U.S.
[00:21:44.809 --> 00:21:51.517]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:21:51.777 --> 00:21:54.080]  He says it will change everything about our lives.
[00:21:54.360 --> 00:21:59.547]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:21:59.747 --> 00:22:02.548]  Now, this man has made some outrageous predictions over the years.
[00:22:02.688 --> 00:22:04.828]  The crazy part is, he's usually right.
[00:22:05.008 --> 00:22:10.989]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:22:11.309 --> 00:22:14.510]  In fact, Barron's called his work a dire prophecy.
[00:22:14.690 --> 00:22:20.251]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:22:20.511 --> 00:22:21.832]  And it's a real eye-opener.
[00:22:22.152 --> 00:22:23.372]  I can't stress this enough.
[00:22:23.472 --> 00:22:26.033]  You should at least watch this free video online today.
[00:22:26.153 --> 00:22:27.573]  He explains everything you need to know.
[00:22:27.853 --> 00:22:30.214]  Including simple steps you can take to protect yourself.
[00:22:30.394 --> 00:22:34.816]  You can find the video at www.EndOfAmerica3.com.
[00:22:34.956 --> 00:22:37.417]  That's End of America, the number 3.com.
[00:22:37.557 --> 00:22:41.259]  Watch the free video at www.EndOfAmerica3.com.
[00:22:41.319 --> 00:22:42.380]  That's EndOfAmerica3.com.
[00:22:43.482 --> 00:22:48.326]  How well and how fast does heart and body extract work to improve blood circulation?
[00:22:48.706 --> 00:22:49.026]  Listen.
[00:22:49.406 --> 00:22:53.389]  My name is Ellis and I'm 66 years old and I live in Jacksonville, Florida.
[00:22:53.670 --> 00:22:56.712]  Two years ago I was diagnosed as having clogged arteries.
[00:22:57.052 --> 00:22:59.894]  I had 70% blockage in one artery leading to my heart.
[00:23:00.114 --> 00:23:03.477]  They wanted me to go on Plavix but I refused knowing the negative side effects.
[00:23:03.891 --> 00:23:12.094]  Heart and Body Extract is a unique balance, synergy, and proportion of herbs reaching from head to toe at maximum absorption around 95% at the cellular level.
[00:23:12.294 --> 00:23:14.695]  Within the first month, I felt a dramatic difference.
[00:23:14.855 --> 00:23:19.217]  The heaviness in my legs was reduced, and within two months, I felt completely normal.
[00:23:19.457 --> 00:23:23.299]  Your natural organic herbal formula for heart health is Heart and Body Extract.
[00:23:23.660 --> 00:23:27.482]  Heart and Body Extract comes with a 100% ironclad money-back guarantee.
[00:23:27.862 --> 00:23:32.345]  Details at hbextract.com or call 866-295-5305 for Heart and Body Extract.
[00:23:32.445 --> 00:23:32.745]  Call 866-295-5305.
[00:23:32.765 --> 00:23:34.186]  866-295-5305 for Heart and Body Extract.
[00:23:47.253 --> 00:23:53.285]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:23:53.886 --> 00:23:56.872]  It's Alex Jones and the GCN Radio Network.
[00:23:59.471 --> 00:24:03.234]  We've had a corrupt government for a long time, but it's rotten through and through.
[00:24:03.775 --> 00:24:06.677]  And nowhere is this illustrated better than the Daley family.
[00:24:07.718 --> 00:24:15.945]  You have the Big Daddy, one of the most famous mob bosses out there, and one of his many children has been the Chicago mayor for a long time.
[00:24:16.025 --> 00:24:21.309]  But William Daley, one of the brothers, is a top JPMorgan Chase & Co.
[00:24:21.449 --> 00:24:23.411]  executive, former U.S.
[00:24:23.471 --> 00:24:24.492]  Commerce Secretary.
[00:24:24.952 --> 00:24:26.193]  He replaced Ron Brown.
[00:24:27.159 --> 00:24:30.862]  Uh, who was, uh, said publicly, if I go down, Clinton's gonna go down.
[00:24:30.902 --> 00:24:47.074]  And then, uh, the aircraft over Serbia, the, uh, special ops on board, the intel we've got is, and this even came out in the news, part of it, uh, put on their oxygen masks, shot everybody on board the plane, blew the side hatch, and, uh, what is it, he-load or high-load out?
[00:24:47.094 --> 00:24:51.798]  There's two different types where they, uh, put on the oxygen mask and jump out at high altitude.
