[00:00:00.389 --> 00:00:05.496]  And welcome back to this live Wednesday edition of the Alex Jones Show.
[00:10:22.357 --> 00:10:23.259]  Have you ever been in the original?
[00:10:23.980 --> 00:10:25.243]  That's none of your damn business.
[00:10:26.008 --> 00:10:27.530]  Oh, great.
[00:10:28.111 --> 00:10:29.173]  Listen, listen.
[00:10:29.854 --> 00:10:33.519]  You go around and make understandings with people and violate them.
[00:10:34.400 --> 00:10:38.646]  You ambush people on the streets, and that's an inappropriate form of journalism.
[00:10:38.846 --> 00:10:42.150]  If you wish to practice that, that's fine, but don't ask others to respect you for it.
[00:10:43.052 --> 00:10:45.413]  You can do your Free American like anything you want.
[00:10:45.693 --> 00:10:48.814]  If you want to be uncivil and rude and ungentlemanly, that's up to you.
[00:10:49.074 --> 00:10:52.114]  But don't expect the rest of us to say, oh well, you're... You guys are setting policy in there, Mr. Gergen.
[00:10:52.194 --> 00:10:53.915]  I'm sorry, nobody sets policy in there.
[00:10:54.175 --> 00:10:55.675]  We try to be gentlemen.
[00:10:55.975 --> 00:10:57.656]  And obviously, you don't belong there.
[00:10:57.676 --> 00:10:58.936]  Weaving spiders coming out here?
[00:11:01.457 --> 00:11:01.997]  Yeah!
[00:11:02.377 --> 00:11:04.258]  That is a three-pointer!
[00:11:04.477 --> 00:11:05.477]  Woo!
[00:11:05.477 --> 00:11:07.477]  (Explosion)
[00:11:07.477 --> 00:11:11.918]  A riotous mob.
[00:11:12.405 --> 00:11:18.331]  Whether they were present that day or were otherwise criminally responsible for the assault on our democracy.
[00:11:18.351 --> 00:11:19.031]  Insurrection.
[00:11:19.372 --> 00:11:22.635]  We will follow the facts wherever they lead.
[00:11:22.655 --> 00:11:23.776]  Domestic terrorists.
[00:11:25.768 --> 00:11:28.069]  The days of independent media are numbered.
[00:11:28.369 --> 00:11:30.811]  The government has made it illegal to oppose them.
[00:11:31.491 --> 00:11:33.912]  They are now debanking us behind the scenes.
[00:11:34.352 --> 00:11:37.374]  They want to bankrupt us and make us go away quietly.
[00:11:38.114 --> 00:11:42.757]  With practically half the population wanting to lock the unvaccinated up in camps.
[00:11:43.297 --> 00:11:45.818]  The traitors know they can shut us down by force.
[00:11:46.579 --> 00:11:49.140]  But that would accelerate the awakening exponentially.
[00:11:49.780 --> 00:11:50.301]  So be it.
[00:11:51.261 --> 00:11:53.022]  Make them silence us by force.
[00:11:53.662 --> 00:11:56.123]  This is the final battle of the information war.
[00:11:56.663 --> 00:11:57.303]  Give now.
[00:11:57.963 --> 00:11:58.804]  Buy products.
[00:11:59.444 --> 00:11:59.924]  Donate.
[00:12:00.644 --> 00:12:01.885]  Before everything changes.
[00:12:02.485 --> 00:12:04.845]  We need you to carry us through to the end.
[00:12:05.306 --> 00:12:06.226]  Victory or death.
[00:12:06.666 --> 00:12:08.467]  Go now to infowarestore.com
