[00:00:00.000 --> 00:00:02.740]  (dramatic music)
[00:21:47.083 --> 00:21:52.449]  If Russia had troops in northern Mexico, I would be saying, let's blow them up.
[00:21:52.949 --> 00:21:54.731]  I don't want war, but that would be provocation.
[00:21:55.512 --> 00:21:56.553]  This is a provocation.
[00:21:56.573 --> 00:21:58.114]  So you talk about foreign policy.
[00:21:58.815 --> 00:22:00.897]  Foreign policy and immigration is everything.
[00:22:01.778 --> 00:22:08.605]  You have the IMF and World Bank saying, if you want these loans, you've got to not end your lockdown.
[00:22:09.329 --> 00:22:19.005]  And then when the lockdowns go on and on, people start starving to death and then the UN builds giant migrant processing centers where they put them on boats, airplanes, and buses.
[00:22:20.406 --> 00:22:28.605]   In some cases, they just walk across Central America into Northern America, into Southern North America, Mexico,
[00:22:28.605 --> 00:22:29.446]  and into the US.
[00:22:29.446 --> 00:22:30.626]  And we see the numbers.
[00:22:30.626 --> 00:22:33.886]   I've talked to the Border Patrol, but down there many times, just this year and last year,
[00:22:33.886 --> 00:22:38.726]   they estimate in Texas alone a month, over a million people they're not catching.
[00:22:38.726 --> 00:22:39.846]  So get that straight.
[00:22:39.846 --> 00:22:44.285]   I had Border Patrol tell me 12 million a year since Biden's got in.
[00:22:44.285 --> 00:22:49.047]  So that's 18, 19 million people so far to the Texas sector.
[00:22:49.047 --> 00:22:53.366]   And when they do catch them, they just send them on buses and dump them out
[00:22:53.366 --> 00:22:57.086]   wherever Democrats want and wherever they direct them around the country.
[00:22:56.515 --> 00:23:07.325]  So that is a direct effect of the globalist lockdown policy and the UN organizing those folks just like they brought in 15 million Muslims in the last decade.
[00:23:07.405 --> 00:23:17.093]  The same guy that ran the refugee resettlement program into Macedonia, into Greece, into Italy, into France, into Germany, into Spain.
[00:23:18.054 --> 00:23:22.885]   The same guy came and got the contract last year in Texas with these
[00:23:22.885 --> 00:23:28.507]   giant, there's more than 15, giant migrant centers on the border that hold more than 20,000
[00:23:28.507 --> 00:23:29.456]  people a piece.
[00:23:29.456 --> 00:23:32.875]  Football field after football field after football field.
[00:23:32.875 --> 00:23:37.826]   Of course, they don't want that in Martha's Vineyard. They want it here. Then they deploy those people,
[00:23:37.826 --> 00:23:42.007]   they get them a job, they make them pay part of the money back to Democratic Party front
[00:23:42.007 --> 00:23:47.206]   groups and foundations. And then they also put them on welfare and then make them give them, and
[00:23:47.206 --> 00:23:51.615]   these investigations have come out, about half their paycheck.
