[00:00:11.548 --> 00:00:12.889]  He stands for truth.
[00:03:31.015 --> 00:03:40.500]  See, first they create the false pretext of terrorism, Al-Cieda, then they get you looking under every rock and under your bed at night and in the closet for Al-Qaeda, you slip and fall.
[00:03:40.820 --> 00:03:46.262]  Al-Qaeda did it, kind of like Jack Frost, secretly frosting the grass and the trees in the morning.
[00:03:46.983 --> 00:03:51.525]  It's mythological, but for a dumbed-down public, it works like a charm.
[00:03:51.565 --> 00:03:55.947]  The new Al-Qaeda, quote, blonde-haired, blue-eyed, they're everywhere under Al-Qaeda's
[00:03:56.482 --> 00:03:57.223]  Control.
[00:03:58.444 --> 00:04:02.847]  So we'll be going over that, and talking about politics, Decision 2008.
[00:04:06.530 --> 00:04:09.032]  I have a nice screenshot up on PrisonPlanet.com.
[00:04:09.172 --> 00:04:20.941]  We omit, you decide, by the ultra-liberal, neo-con, fake conservative, Judas Goat, Judas Iscariot, sort of neutralized conservatives, fool them until it's too late, and bring in the new world order.
[00:04:21.576 --> 00:04:26.699]  Ron Paul won second place in Nevada.
[00:04:27.599 --> 00:04:29.941]  What did Fox News, CNN, and a bunch of others do?
[00:04:29.981 --> 00:04:36.985]  We actually watched some of the coverage this weekend when I was up in Dallas on a shoot working on a new film on the JFK assassination.
[00:04:37.545 --> 00:04:48.611]  I was up there and so at night we'd watch and I'd read the papers and nowhere heard except if you actually went to the returns that Ron Paul had even gotten second place.
[00:04:48.671 --> 00:04:50.232]  It was all Mitt Romney,
[00:04:50.928 --> 00:04:52.289]  First place, John McCain.
[00:04:52.409 --> 00:04:53.871]  Second place, Mike Huckabee.
[00:04:54.271 --> 00:04:54.791]  Third place.
[00:04:55.352 --> 00:05:00.436]  Now, it's true that Ron Paul tied McCain for second place, but they just omitted him.
[00:05:01.177 --> 00:05:03.399]  They just didn't even show him.
[00:05:03.439 --> 00:05:07.822]  They just showed Mitt Romney, John McCain, and Mike Huckabee side-by-side.
[00:05:08.303 --> 00:05:09.524]  And they did that everywhere else.
[00:05:09.564 --> 00:05:18.111]  But you better believe, when he had a weak showing in South Carolina, a four-point, still better than Giuliani, who they keep cramming down your throat, Giuliani,
[00:05:19.029 --> 00:05:21.291]  Just, oh my gosh, Paul on a dropout.
[00:05:21.652 --> 00:05:24.594]  He's not doing well, only four percentage points.
[00:05:26.055 --> 00:05:29.318]  I mean, if they give Ron Paul one-tenth the coverage, they give Giuliani.
[00:05:29.659 --> 00:05:33.882]  He was still getting more coverage than anybody but Hillary, because he is the establishment candidate.
[00:05:34.102 --> 00:05:39.827]  And they're telling us that John McCain is the Republican for the job, the only electable Republican.
[00:05:39.907 --> 00:05:40.568]  Oh, he's so great.
[00:05:41.570 --> 00:05:44.432]  Did you know that he's mafia connected and his wife is?
[00:05:44.492 --> 00:05:45.874]  And that's even been in major papers.
[00:05:46.394 --> 00:05:50.237]  Did you know that he was part of the Keating Five in savings and loan swindles?
[00:05:50.257 --> 00:05:51.398]  They all went to prison, he didn't.
[00:05:51.718 --> 00:05:52.739]  He was the Keating Six.
[00:05:53.220 --> 00:05:53.880]  The Six Man.
[00:05:54.581 --> 00:05:57.163]  So they call him Anti-Corruption Mr. Clean McCain.
[00:05:57.804 --> 00:05:59.525]  Knowing that the public is ignorant.
[00:06:01.881 --> 00:06:05.604]  Knowing that the public is unaware of his history.
[00:06:06.084 --> 00:06:09.727]  It doesn't matter if I've interviewed people who were in the Hanoi Hilton for a few days with him.
[00:06:10.047 --> 00:06:13.250]  He agreed to turn over all the secrets on the fleet and the jets and the rest of it.
[00:06:13.570 --> 00:06:15.151]  So they took him to a lavish facility.
[00:06:16.693 --> 00:06:18.374]  I mean, McCain is anti-gun.
[00:06:18.394 --> 00:06:19.935]  He's called for gun bans.
[00:06:20.195 --> 00:06:24.679]  He's for total blanket open borders and total North American Union merger amnesty.
[00:06:25.279 --> 00:06:29.843]  I mean, he couldn't be more unconservative, un-libertarian, anti-freedom.
[00:06:30.413 --> 00:06:31.093]  But does it matter?
[00:06:31.413 --> 00:06:33.174]  Hillary, McCain, none of them.
[00:06:33.214 --> 00:06:35.655]  They're all bought and paid for by the same globalist interests.
[00:06:36.075 --> 00:06:37.876]  If you don't vote for Paul, vote for none of them.
[00:06:38.356 --> 00:06:51.842]  How about you just focus locally where you could actually have an effect, and we focus, we have over 50% turnout for national and presidential races, the big horse races, but then we have 8% at the county and city level on average in the country.
[00:06:51.862 --> 00:06:54.803]  I know that's about 8.2 here in Austin, where I live.
[00:06:55.762 --> 00:06:57.043]  That's where the real power is.
[00:06:57.063 --> 00:07:01.666]  That's where the real action, that's where the feds come in and federalize you is happening.
[00:07:01.726 --> 00:07:04.608]  That's where we need to focus most of our energies.
[00:07:05.888 --> 00:07:07.849]  By the way, some people are saying, well, Ron Paul's out of it.
[00:07:09.310 --> 00:07:11.211]  Well, I mean, why is Giuliani still in it?
[00:07:11.251 --> 00:07:13.813]  He keeps beating Giuliani in every primary.
[00:07:15.496 --> 00:07:17.637]  Bottom line, we've already won in the Ron Paul Revolution.
[00:07:18.317 --> 00:07:27.759]  Masses of people, tens of millions, are talking about the private Federal Reserve, the New World Order, the North American Union, the inflation tax on our money.
[00:07:28.919 --> 00:07:30.780]  Either way, we're standing up, we're fighting.
[00:07:31.100 --> 00:07:37.001]  More people are awake to the globalists and the international financial interests that control our country.
[00:07:37.634 --> 00:07:40.015]  Like a puppeteer controls his marionette.
[00:07:40.515 --> 00:07:41.396]  And that's the good news.
[00:07:41.416 --> 00:07:42.496]  This is a process.
[00:07:42.536 --> 00:07:44.197]  This isn't going to be won overnight.
[00:07:44.217 --> 00:07:45.678]  And I'm glad Ron Paul's still in the race.
[00:07:45.718 --> 00:07:46.518]  And who knows?
[00:07:47.519 --> 00:07:48.959]  He might run for a third party.
[00:07:48.979 --> 00:07:50.480]  You know, he isn't ruling that out now.
[00:07:51.187 --> 00:07:53.368]  And so we'll see what happens there.
[00:07:53.388 --> 00:07:56.670]  At least real ideas will be injected into this debate.
[00:07:56.690 --> 00:07:59.071]  When we get back from break, we're going to open up the phones.
[00:07:59.111 --> 00:08:01.032]  Again, the toll-free number is 877-590-5525.
[00:08:02.113 --> 00:08:16.580]  And then after we take some calls at the bottom of the hour after news, I'm going to get into the economy and talk about the supposed fixes that the Republicans and Democrats in a bipartisan package
[00:08:17.639 --> 00:08:31.407]  According to Chuckie Schumer, Mr. Ban All Guns in the Senate, and George Bush, his good buddy, we're going to break down the fact that it is not a solution, and they're not even discussing the real root cause of the problem.
[00:08:32.227 --> 00:08:38.170]  And then we'll get into Mexico interfering in the internal operations of the United States.
[00:08:38.230 --> 00:08:39.791]  This is called espionage.
[00:08:40.992 --> 00:08:44.854]  This is called getting involved in the internal affairs of another country.
[00:08:45.801 --> 00:08:48.502]  This is what the United States has done to other third world nations.
[00:08:48.943 --> 00:08:51.244]  That's how pathetic we've gotten.
[00:08:52.004 --> 00:08:55.026]  And again, I love this country, but we're not going to save it.
[00:08:55.966 --> 00:09:05.230]  We're not going to save the country unless we start admitting just how serious and just how deep the real problems are.
[00:09:05.651 --> 00:09:12.434]  So I would also ask the listeners, what do you think of Mexico saying that they're going to run TV ads during the election this year?
[00:09:13.337 --> 00:09:30.203]  In 2008, they're going to run non-stop TV ads, radio ads, print ads, all over the United States saying, legalize the illegals, let hundreds of millions of Latin Americans, foreign unabated, of course didn't get all the free health care, have their births all paid for, further bankrupt the nation.
[00:09:30.963 --> 00:09:37.866]  But you know, I think the country is going to completely, financially collapse long before they get all this done, and the pressures will be so great,
[00:09:38.793 --> 00:09:41.935]  Uh, that, uh, the illegal aliens are gonna have to go home, a lot of them.
[00:09:42.236 --> 00:09:52.023]  That's why the establishment's rushing to get Amnesty Now to flood the nation with as many as they can before the New World Order destroys the United States once and for all.
[00:09:52.403 --> 00:09:54.264]  And believe me, we're in the crosshairs.
[00:09:54.544 --> 00:09:55.325]  It's happening now.
[00:09:55.425 --> 00:09:56.046]  We'll be right back.
[00:09:56.626 --> 00:09:57.387]  It is a big idea.
[00:09:57.407 --> 00:09:58.567]  A New World Order.
[00:09:58.747 --> 00:09:59.608]  In the near future.
[00:10:15.887 --> 00:10:18.328]  For thousands of years, their dark order grew.
[00:10:19.069 --> 00:10:26.473]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:10:29.414 --> 00:10:34.357]  For the first time in history, the elite's plan for world government is blown wide open.
[00:10:34.877 --> 00:10:38.319]  You will learn the secret that drives the entire New World Order agenda.
[00:10:38.719 --> 00:10:41.221]  Bill of Rights makes great progress for the world government.
[00:10:41.281 --> 00:10:42.441]  Most people have no idea.
[00:10:42.461 --> 00:10:43.222]  They're not after money.
[00:10:43.242 --> 00:10:44.303]  They have all the money they need.
[00:10:44.523 --> 00:10:45.243]  They're after power.
[00:10:45.283 --> 00:10:46.624]  That's what they're after, isn't it?
[00:10:46.644 --> 00:10:54.848]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:10:54.969 --> 00:10:57.750]  Endgame, blueprint for global enslavement.
[00:10:58.170 --> 00:10:59.211]  You have been warned.
[00:11:00.211 --> 00:11:01.191]  Ted Anders from Midas.
[00:11:01.211 --> 00:11:01.591]  January 18, 2008.
[00:11:01.671 --> 00:11:02.592]  Gold, 880.80.
[00:11:02.632 --> 00:11:09.613]  Old school coins can be purchased for 906.58, 446.60 per half, 223.30 per quarter.
[00:11:09.793 --> 00:11:12.234]  That's 906.58, 446.60, and 223.30.
[00:11:13.734 --> 00:11:17.015]  For years, Ron Paul has taken the position to uphold constitutional rights.
[00:11:17.315 --> 00:11:21.496]  He's been branded by special interest groups as doctrinal, refusing to bend his values.
[00:11:21.896 --> 00:11:25.858]  I can only imagine the pressure applied by Congress as he stands alone for these principles.
[00:11:26.258 --> 00:11:28.079]  He has given up a medical career for this.
[00:11:28.579 --> 00:11:30.300]  Ron Paul is running for President.
[00:11:30.560 --> 00:11:36.543]  The ideas of strong currency, ending the war, defending the Constitution, and protecting civil liberties are catching on.
[00:11:36.803 --> 00:11:43.586]  As a thank you, GCNlive.com, Midas Resources, and I would like to send you a free copy of the Ron Paul Family Cookbook.
[00:11:43.926 --> 00:11:44.607]  Call 800-686-2237 for your free copy.
[00:11:47.828 --> 00:11:50.410]  Again, that's 800-686-2237.
[00:11:51.271 --> 00:11:54.354]  I hope his values are touching your heart as deep as they are mine.
[00:11:54.494 --> 00:11:54.814]  That's 800-686-2237.
[00:11:54.874 --> 00:11:56.336]  Thanks again for supporting Ron Paul.
[00:12:00.815 --> 00:12:05.318]  Go to RonPaulStuff.com today and show your support for Ron Paul.
[00:12:05.538 --> 00:12:09.601]  Get the latest and greatest Ron Paul promotional gear to help spread the message.
[00:12:09.861 --> 00:12:19.127]  RonPaulStuff.com carries over nine different hard-hitting 100% cotton t-shirts and four different designs of Ron Paul sweatshirts to help keep you warm during the winter months.
[00:12:19.347 --> 00:12:21.608]  Show your support with wristbands or buttons.
[00:12:21.808 --> 00:12:27.432]  Tastefully decorate your car and help promote Ron Paul's message of freedom and hope for America with bumper stickers.
[00:12:27.472 --> 00:12:27.912]  I think so.
[00:12:51.735 --> 00:12:52.176]  Or call 941-993-3700.
[00:12:52.196 --> 00:12:52.456]  That's 941-993-3700.
[00:12:52.496 --> 00:12:53.577]  And let's take America back!
[00:12:53.617 --> 00:12:54.018]  Hi, neighbor.
[00:13:03.766 --> 00:13:05.488]  We all know that knowledge is power.
[00:13:05.908 --> 00:13:09.011]  We've tried to give you knowledge to help you prepare for rough times.
[00:13:09.612 --> 00:13:14.297]  There's the worldwide famine and our country's dependence on often dangerous food imports.
[00:13:14.937 --> 00:13:16.919]  You know about genetically poisoned food.
[00:13:17.460 --> 00:13:23.065]  Two-thirds of the food is disappearing with the bees along with huge crop failures from all-time record water shortages.
[00:13:23.766 --> 00:13:27.430]  You know they're turning food into fuel with corn ethanol plants.
[00:13:28.363 --> 00:13:32.084]  If we do not control our food, food will be used to control us.
[00:13:32.604 --> 00:13:37.746]  Food control has been the plan historically in every enslaved population and is the plan for America.
[00:13:38.426 --> 00:13:46.688]  The only value of the knowledge you have to take control of your food is if you choose to get a supply while you still have the freedom to choose.
[00:13:47.148 --> 00:13:48.409]  Call 800-409-5633 on the web efoodsdirect.com.
[00:13:48.429 --> 00:13:48.729]  Call 800-409-5633.
[00:14:04.727 --> 00:14:08.771]  You're listening to GPM, the Genesis Communications Radio Network.
[00:14:08.851 --> 00:14:12.875]  Alright, my friends, we are back live again.
[00:14:12.935 --> 00:14:14.397]  It's the 20th day of January 2008.
[00:14:14.577 --> 00:14:15.938]  Hope you're able to join us.
[00:14:15.959 --> 00:14:15.999]  877-590-5525.
[00:14:28.917 --> 00:14:32.899]  Let's go ahead and go to some of your phone calls and all the financial news coming up in the next segment.
[00:14:33.380 --> 00:14:35.881]  Let's talk to Matt Listing in Boston.
[00:14:36.281 --> 00:14:37.181]  Matt, you're on the air.
[00:14:37.262 --> 00:14:37.622]  Welcome.
[00:14:37.662 --> 00:14:38.642]  Hi, Alex.
[00:14:38.682 --> 00:14:39.423]  Nice to talk to you again.
[00:14:39.443 --> 00:14:40.343]  Good to talk to you.
[00:14:40.363 --> 00:14:56.251]  I just want to point out this article that AP put out on January 7th about how they're using RFID chips on students' backpacks in Rhode Island.
[00:15:04.098 --> 00:15:14.045]  Yeah, the ACLU has a lot of well-meaning members in it, but it's loyal opposition.
[00:15:14.085 --> 00:15:15.946]  Predominantly, it goes and creates bad case law.
[00:15:15.966 --> 00:15:17.247]  It goes and loses the cases.
[00:15:17.767 --> 00:15:23.630]  It attacks things that are rights, and then doesn't properly defend things that are rights as well.
[00:15:24.811 --> 00:15:25.932]  So you get a mixed bag with them.
[00:15:26.525 --> 00:15:36.170]  But that aside, the Pentagon officially said more than a decade ago that they were going to have RFID in all products, that they were going to demand that all manufacturers have that in place by 2004.
[00:15:36.350 --> 00:15:38.171]  They're a few years behind.
[00:15:38.191 --> 00:15:48.437]  It was the Pentagon that enforced the acceptance of the Universal Product Code, the barcode, by the mid-eighties.
[00:15:48.457 --> 00:15:50.098]  It was also Walmart.
[00:15:50.158 --> 00:15:55.281]  But Walmart and the Pentagon in 2000 had a public partnership to demand that all of their
[00:15:56.403 --> 00:16:14.950]  Suppliers, from everything from shavers to cans of soup, all have tiny little tags on them and then when you pay, even with cash in the future, with the new national sales tax they're pushing as a replacement for the income tax, they're actually going to keep both, they will scan that and then that will go on the record of what you purchased.
[00:16:15.971 --> 00:16:19.052]  Also, face scanning cameras were nationwide five years ago.
[00:16:19.887 --> 00:16:24.050]  Cameras that recognize the shape of your face, your ear, your walk, your voice.
[00:16:24.450 --> 00:16:28.932]  Most cities have thousands of microphones and tens of thousands of cameras.
[00:16:28.992 --> 00:16:30.113]  Most of them you don't even see.
[00:16:31.254 --> 00:16:34.996]  That all goes into emergency management centers that are shared with the locals that are run by FEMA.
[00:16:35.496 --> 00:16:37.637]  And so the military industrial complex is just taking over.
[00:16:38.138 --> 00:16:47.643]  All over the country they're making school teachers and also realtors biometrically scan their hands and fingers and faces and retinas, depending on the state.
[00:16:47.923 --> 00:16:48.884]  It's all federally funded.
[00:16:49.824 --> 00:16:55.789]  And then the government selectively enforces, you can be a convicted coke dealer and run the elections in New Hampshire and that's okay.
[00:16:56.049 --> 00:16:57.971]  They then just selectively enforce that.
[00:16:58.051 --> 00:17:04.256]  Once they have your fingerprints too, they can easily fake them and then go and frame you in the government, federal and state.
[00:17:04.636 --> 00:17:06.578]  I've been caught literally tens of thousands of times.
[00:17:07.651 --> 00:17:13.258]  Doing that, and the Department of Education, the Pentagon, and others admit that the schools are the training grounds of the future.
[00:17:14.199 --> 00:17:20.527]  Thousands of school districts have cameras all over the schools, in the classrooms, in the bathrooms, even over the urinals and toilets.
[00:17:21.148 --> 00:17:21.769]  It's just total 1984.
[00:17:23.584 --> 00:17:26.506]  RFID going in everywhere, tracking everything we do.
[00:17:27.347 --> 00:17:30.849]  Just six months ago, they were still denying that they were listening to our phones.
[00:17:30.869 --> 00:17:31.790]  It was just for Al-Qaeda.
[00:17:32.090 --> 00:17:36.653]  Now they admit, OK, we're going to read all your emails, track everything you do, have a whole history of all your web searches.
[00:17:37.054 --> 00:17:39.816]  By the time they're telling you about something, it's already in place.
[00:17:40.216 --> 00:17:48.822]  We have private corporate owners who are doing everything they can to make a cynical, dumbed-down, unengaged in this process.
[00:17:49.930 --> 00:17:53.071]  They control most of the states with electronic fraud driven machines.
[00:17:53.091 --> 00:17:55.512]  They've been caught in every state doing it.
[00:17:55.672 --> 00:17:59.893]  I mean, it really is a hellish future with this technocracy that we have in place running things.
[00:18:00.973 --> 00:18:06.175]  And it's our job to get the people to realize just how serious and how bad this is because these are some very bad people.
[00:18:06.515 --> 00:18:11.397]  They want this control grid in place so they can completely destroy our standard of living and bring us back to a feudalist state.
[00:18:11.977 --> 00:18:13.497]  We're going to be covering that after the break.
[00:18:13.877 --> 00:18:15.298]  Let's go ahead now and take another call.
[00:18:16.715 --> 00:18:20.118]  Let's go ahead and talk to Ed in L.A.
[00:18:20.498 --> 00:18:21.759]  says that he disagrees.
[00:18:21.779 --> 00:18:22.640]  Ed, you're on the air.
[00:18:23.441 --> 00:18:29.646]  Yeah, Alex, I'm a real big fan, but the way you interview, you're like a big fat pumpkin head.
[00:18:29.666 --> 00:18:30.907]  You don't let anybody talk.
[00:18:32.148 --> 00:18:35.610]  The grandfather of Reaganomics told you to shut up sometimes.
[00:18:36.431 --> 00:18:45.218]  Why don't you shut up when somebody's talking and when you're interviewing somebody, listen to them so everybody can listen to them.
[00:18:45.706 --> 00:18:52.654]  And the best part of your show, which I do agree, is when you digress, and when you go and rant and raving.
[00:18:53.115 --> 00:18:53.996]  Big fan, Alex.
[00:18:54.476 --> 00:18:54.837]  Alright.
[00:18:55.137 --> 00:19:00.683]  You know, I re-aired that Dr. Paul Craig Roberts interview from a few months ago, where he told me, shut up and let him finish.
[00:19:00.703 --> 00:19:02.065]  See, I don't care what you think of me.
[00:19:02.105 --> 00:19:03.106]  I don't care how it sounds.
[00:19:03.507 --> 00:19:05.489]  Why am I, quote, the king of conspiracy?
[00:19:06.352 --> 00:19:09.735]  Why am I the most listened to in this whole genre?
[00:19:09.955 --> 00:19:13.478]  Why do I have the biggest websites at prisonplanet.com and truthnews.us?
[00:19:13.898 --> 00:19:16.520]  It's because I do the show the way I want to.
[00:19:17.120 --> 00:19:21.464]  And if I want to make a point, and if I want to stop a guest, and I want to add something, I'm going to do it.
[00:19:22.164 --> 00:19:26.908]  Actually, if you watch the shows on CNN or Fox, they all talk about 20 seconds and then interrupt the other one.
[00:19:27.408 --> 00:19:32.112]  I sit there and I let people talk one, two, three minutes at a time, sometimes before I jump in.
[00:19:32.872 --> 00:19:33.453]  So you really
[00:19:34.793 --> 00:19:36.394]  You are just a little bit confused there, sir.
[00:19:36.714 --> 00:19:40.116]  But I know you're a big fan and all, but if you don't like the way I do the show, just don't listen.
[00:19:40.136 --> 00:19:41.997]  Because that's another thing about me.
[00:19:42.097 --> 00:19:43.378]  I don't care if you listen to my show.
[00:19:43.998 --> 00:19:45.859]  Really, I'm not doing this for fun or for kicks.
[00:19:47.180 --> 00:19:48.581]  This is about the information.
[00:19:49.161 --> 00:19:54.264]  And I'm strongly considered, because I have so much news and information, sometimes not even taking calls.
[00:19:55.224 --> 00:19:56.125]  I enjoy your calls.
[00:19:56.165 --> 00:19:58.366]  I enjoy the directions they take us in.
[00:19:58.386 --> 00:20:00.227]  People that disagree go to the head of the line, by the way.
[00:20:01.134 --> 00:20:05.417]  But at the same time, I have a lot of really serious issues that need to be covered here.
[00:20:05.897 --> 00:20:09.279]  Okay, let's go ahead now and let's talk to Mark in Atlanta.
[00:20:09.339 --> 00:20:11.321]  Let's talk about the recount in New Hampshire.
[00:20:12.061 --> 00:20:12.681]  Go ahead, sir.
[00:20:13.362 --> 00:20:23.568]  Well, brother, you're ever in our prayers, and I hope you're going to keep me in your prayers, because to be honest, right now all I am is sound as a dollar, and we all know how bad that is.
[00:20:23.648 --> 00:20:29.452]  Hopefully, I'm going to be getting a real job before too long, because the new world order has not been kind to me.
[00:20:30.872 --> 00:20:40.056]  Yeah, I've been trying to find out, because I saw one little blurb that said there were some discrepancies with the recount, but I haven't heard any actual results yet.
[00:20:40.497 --> 00:20:48.660]  Are they not finished folding, spindling, and mutilating the ballots to their desired ends, or what's going on?
[00:20:48.840 --> 00:20:52.202]  Well, you know, that's the situation, and it's a good point you bring up.
[00:20:52.322 --> 00:20:55.123]  In New Hampshire, then it's the central Democratic side.
[00:20:55.643 --> 00:21:01.448]  And of course, then one of the lower-level Republican candidates on the Republican side went for a recount.
[00:21:01.468 --> 00:21:03.690]  We supported that, but then you have the same people.
[00:21:03.710 --> 00:21:13.497]  The Bev Harris election fraud expert, who of course produced Hacking Democracy, was their expert for HBO special, went out there and just said, it's the same people that did this that are recounting it.
[00:21:14.258 --> 00:21:21.504]  And see, for the first time, suddenly the polls in the past were always accurate, especially when it showed big spreads, big differences.
[00:21:23.005 --> 00:21:24.046]  And we had
[00:21:25.754 --> 00:21:30.176]  Barack Obama, in the lowest polls, 13 points ahead, then he loses by almost 4 points.
[00:21:30.676 --> 00:21:33.998]  So that's a 16 point plus difference between Obama and Clinton.
[00:21:34.798 --> 00:21:36.559]  The truth is, Hillary Clinton's unpopular.
[00:21:36.579 --> 00:21:38.180]  The people know she's established, but they don't want her.
[00:21:38.200 --> 00:21:38.900]  It doesn't matter.
[00:21:39.621 --> 00:21:48.665]  Rob Paul was double what he got in the polls in New Hampshire, but magically didn't, and then all these discrepancies came up, and zero ballots counted for him in townships where he got votes.
[00:21:49.680 --> 00:21:51.842]  So, no, I haven't gotten the latest word on that.
[00:21:51.902 --> 00:21:53.223]  It takes a while to do that recount.
[00:21:53.743 --> 00:21:55.465]  And we're just in a pickle, sir.
[00:21:55.765 --> 00:21:59.268]  We're in a very, very serious situation.
[00:21:59.528 --> 00:22:03.251]  Let's jam in one more call before we go to break.
[00:22:04.111 --> 00:22:06.953]  Let's talk to Jay in Tennessee.
[00:22:06.993 --> 00:22:07.894]  You're on the air, Jay.
[00:22:08.835 --> 00:22:09.896]  Alex, how you doing?
[00:22:09.936 --> 00:22:18.662]  Hey, I noticed on TruthNews you posted a really good article about Bertrand Russell and his discussions about the social changes that
[00:22:20.020 --> 00:22:22.324]  Stay there, I'm going to let you finish up on the other side, Jay, okay?
[00:22:32.358 --> 00:22:37.940]  We'll be right back and talk about the scientific dictatorship, because that leads perfectly into the economic news.
[00:22:37.960 --> 00:22:50.225]  This is a process of shackling you, a process of hurting you, controlling you, dumbing you down, and until you become aware of that process, we have no hope of stopping and then reversing this trend towards absolute despotism.
[00:22:50.425 --> 00:22:50.985]  We'll be right back.
[00:23:00.679 --> 00:23:02.161]  Hi, this is Brother Michael Diamond.
[00:23:02.501 --> 00:23:08.007]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:23:08.487 --> 00:23:16.415]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[00:23:16.895 --> 00:23:17.135]  I think so.
[00:23:40.473 --> 00:23:45.137]  That's 1-800-275-1126 or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:23:45.237 --> 00:23:49.139]  The total cost for this massive package of information is only $10.
[00:23:49.179 --> 00:23:51.021]  $15 for UPS ground or $30 outside the U.S.
[00:24:00.802 --> 00:24:09.206]  Of the 3 million plus edible food plants that grow on Earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:24:09.506 --> 00:24:15.209]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:24:15.509 --> 00:24:22.052]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:24:22.592 --> 00:24:25.894]  Our powder is 50% protein and does not contain gluten.
[00:24:26.014 --> 00:24:28.215]  Gluten impairs the cells from absorbing nutrients.
[00:24:28.455 --> 00:24:34.819]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:24:35.059 --> 00:24:38.361]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:24:38.581 --> 00:24:45.244]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:24:45.625 --> 00:24:48.586]  The body will react and heal itself given the proper nutrition.
