[00:00:00.229 --> 00:00:01.550]  ...storable food can be.
[00:04:05.678 --> 00:04:13.642]  All of us, our hearts and prayers go out to people on both sides and certainly especially the civilians who've been harmed in the Gaza area.
[00:04:13.642 --> 00:04:18.424]  Several thousand people gathered for a pro-Palestinian demonstration today in Iraq.
[00:04:18.424 --> 00:04:19.424]  Here's Jim Hentz.
[00:04:19.424 --> 00:04:26.247]  There was a protest on Sunday of about 1,300 people in Mosul, one of Iraq's most violent cities.
[00:04:26.767 --> 00:04:30.970]  The protest was against Israel's airstrikes on Gaza.
[00:04:30.970 --> 00:04:37.555]  The forecast calls for clear skies today in the Midwest, a day after some summer-like weather a week into winter.
[00:04:37.555 --> 00:04:41.518]  The region was pounded with hail, high winds, and even funnel clouds.
[00:04:41.518 --> 00:04:44.620]  Much of Illinois, Missouri, and Michigan are under a flood watch.
[00:04:45.180 --> 00:04:48.161]  Bruce Sullivan is a meteorologist with the National Weather Service.
[00:04:48.161 --> 00:04:57.443]  We do have a system pushing into the Pacific Northwest, bringing some heavy rain to parts of northern California and Oregon where possible flooding conditions could develop.
[00:04:57.443 --> 00:05:03.785]  And further inland, that precipitation will be in the form of some heavy snow, especially in the mountains of northern Idaho, western Montana.
[00:05:05.698 --> 00:05:10.062]  We want to transition into Let It Rain by Eric Clapton.
[00:05:10.062 --> 00:05:21.013]  Delaney Bramlett, the singer-songwriter-producer who penned classic rock songs such as Let It Rain and worked with musicians like George Harrison and Eric Clapton, died Saturday.
[00:05:21.013 --> 00:05:21.694]  He was 69.
[00:05:21.694 --> 00:05:25.798]  I'm Jody Jordan for IRN USA Radio News.
[00:05:28.027 --> 00:05:32.190]  You don't have to be in the military to enjoy military surplus savings.
[00:05:32.190 --> 00:05:38.355]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:05:38.355 --> 00:05:39.977]  M10 gas masks for $12 or 3 for $30.
[00:05:39.977 --> 00:05:40.957]  Gas mask hoods, $4 or 3 for $10.
[00:05:40.957 --> 00:05:41.938]  Mask filters, $6 or 3 for $15.
[00:05:41.938 --> 00:05:42.398]  Save big on...
[00:05:48.792 --> 00:05:49.953]  Only $12.
[00:05:49.953 --> 00:05:52.054]  Israeli gas masks, $20.
[00:05:52.054 --> 00:05:55.697]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:05:55.697 --> 00:05:59.039]  Snowshoe binding for $8 or $48 a dozen.
[00:05:59.039 --> 00:06:00.340]  And so much more.
[00:06:00.340 --> 00:06:04.062]  Even hard to find surplus items, all at surplus prices.
[00:06:04.062 --> 00:06:09.105]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:06:09.105 --> 00:06:10.726]  MainMilitary.com.
[00:06:10.726 --> 00:06:13.929]  One of the last surviving true surplus stores in the country.
[00:06:13.929 --> 00:06:17.471]  Shop now at MainMilitary.com.
[00:06:17.831 --> 00:06:18.612]  Or call 877-608-0179.
[00:06:18.612 --> 00:06:20.113]  That's 877-608-0179 today.
[00:06:20.113 --> 00:06:24.095]  Prepare yourself for a talk radio experience like no other.
[00:06:24.095 --> 00:06:25.556]  He stands for truth.
[00:06:25.556 --> 00:06:28.218]  He stands for justice.
[00:06:28.218 --> 00:06:29.879]  He stands for what's right.
[00:06:46.520 --> 00:06:50.142]  This is the Alex Jones Show.
[00:06:50.142 --> 00:06:57.327]  Call Alex now, toll free at 877-590-5525.
[00:06:57.327 --> 00:07:06.493]  Now live from Austin, Texas, here's Alex Jones.
[00:07:06.493 --> 00:07:10.796]  Welcome ladies and gentlemen, welcome and thank you for joining us on this Sunday edition.
[00:07:10.796 --> 00:07:14.178]  I'm here six days a week, Sundays 4 to 6 p.m.
[00:07:14.178 --> 00:07:15.499]  Central Standard Time.
[00:07:16.604 --> 00:07:23.887]  Thank you for joining us, whether you're listening on the AM and FM dial, the internet at InfoWars.com or the podcast or global shortwave or satellite.
[00:07:23.887 --> 00:07:30.289]  Thank you again for joining us on this Sunday edition, the 28th day of December, 2008.
[00:07:30.289 --> 00:07:36.071]  This is the, I guess, the last Sunday show for 2008.
[00:07:36.071 --> 00:07:38.712]  So this is the final one.
[00:07:38.712 --> 00:07:42.614]  I know everybody's saying it, but it's true.
[00:07:42.614 --> 00:07:43.054]  Time.
[00:07:43.763 --> 00:07:45.744]  It just speeds up faster and faster.
[00:07:45.744 --> 00:07:49.367]  It's not just that we're all getting older, but it's our way of lives.
[00:07:49.367 --> 00:07:57.512]  And there's so much detail, so many things to keep track of in our modern lives that time seems to get away from us.
[00:07:57.512 --> 00:08:01.415]  But here we are live on this Sunday edition.
[00:08:01.415 --> 00:08:03.196]  Again, thank you for joining us.
[00:08:03.196 --> 00:08:11.681]  The websites are PrisonPlanet.com, Infowars.net, JonesReport.com, TruthNews.us, as well as Infowars.com.
[00:08:13.948 --> 00:08:15.128]  A lot happening.
[00:08:15.128 --> 00:08:27.732]  Israel, as you know, starting yesterday, launched huge attacks into the Gaza Strip in response to years of Katyusha rockets being fired into their territory.
[00:08:27.732 --> 00:08:35.294]  Militarily, it's the equivalent of a Daisy Red Ryder BB gun.
[00:08:35.294 --> 00:08:40.455]  But if you are the few people killed each month from them, it is no joke.
[00:08:42.025 --> 00:08:52.927]  Well, Israel has responded by bombing large civilian populations and injuring, now they're reporting, more than 700 people and more than 300 dead.
[00:08:52.927 --> 00:09:02.509]  And Israel's moving large amounts of troops and tanks and other artillery up to the border with the Gaza Strip.
[00:09:02.509 --> 00:09:06.530]  IDF mobilizes tanks, reinforces troops along Gaza border.
[00:09:06.530 --> 00:09:11.871]  Israeli Defense Forces on early Sunday began mobilizing tanks and reinforcing ground troops.
[00:09:12.244 --> 00:09:25.012]  Near the Gaza border, in preparation for a possible ground incursion, Defense Minister Ehud Barak told Sky News that he would not rule out widening the offensive in Gaza Strip to include a ground invasion.
[00:09:25.012 --> 00:09:30.115]  I wonder if that will go better than the 2006 invasion of Lebanon.
[00:09:30.115 --> 00:09:34.958]  There they were fighting the Iranian-backed Hezbollah.
[00:09:34.958 --> 00:09:37.439]  Israel founded, according to Haratz, in the 1970s.
[00:09:40.956 --> 00:09:47.478]  The group that they are now fighting as a counterbalance to Hezbollah.
[00:09:47.478 --> 00:09:47.998]  That's right.
[00:09:47.998 --> 00:10:02.602]  The group that Israel is fighting today in the Gaza Strip is the very group that Israel founded in the 70s as a counterbalance to Hezbollah.
[00:10:02.602 --> 00:10:04.522]  Very, very interesting.
[00:10:04.522 --> 00:10:06.603]  That, of course, is Hamas.
[00:10:09.215 --> 00:10:14.239]  So we'll be covering some of that today.
[00:10:14.239 --> 00:10:21.544]  Also over the weekend, masses of Indian and Pakistani troops built up along their borders.
[00:10:21.544 --> 00:10:29.451]  Last time we saw this was when war flared up between the two nuclear powers in 2002.
[00:10:29.451 --> 00:10:33.954]  But now both sides are saying, don't worry, this is not an escalation, though it clearly is.
[00:10:33.954 --> 00:10:36.436]  Troops moving near the Indian border,
[00:10:37.699 --> 00:10:45.226]  Action after Mumbai attack shifts focus from Afghanistan, which is exactly what the Rand Corporation says they want.
[00:10:45.226 --> 00:10:49.589]  There's a theater war in that area.
[00:10:49.589 --> 00:10:53.512]  So that's some of the news there as well.
[00:10:53.512 --> 00:11:04.982]  Israel says they're set for a prolonged Gaza operation that may last weeks or even months, with hundreds of Saudis being flown a day by fighter bombers.
[00:11:07.654 --> 00:11:10.696]  And the images are grisly.
[00:11:10.696 --> 00:11:13.018]  Whole crowds blown to bits.
[00:11:13.018 --> 00:11:31.212]  Most of the main attacks have been focused on the government of the Gaza Strip itself, on police stations, on military installations, on a group of graduating police who were all out in formation in the front yard of the police training center.
[00:11:31.212 --> 00:11:33.353]  Most of them were killed.
[00:11:33.353 --> 00:11:35.435]  So this is an attempt at decapitation.
[00:11:36.355 --> 00:11:44.499]  Uh, of the Hamas government, which again was created by Israel.
[00:11:44.499 --> 00:11:49.982]  Before you roll your eyes about that, that's admitted in the Israeli newspapers, that that's how this works.
[00:11:49.982 --> 00:11:58.726]  And it's been declassified that when Israel doesn't want a peace deal to go forward, that they actually fund terror groups that are attacking Israel.
[00:11:58.726 --> 00:12:01.728]  So see, it's not as simple as, are you for the Palestinians?
[00:12:01.728 --> 00:12:02.548]  Are you for Israel?
[00:12:03.885 --> 00:12:19.356]  The military industrial complex of Israel wants to keep conflict going in the area so they can crack down on the press, steal billions and billions of dollars a year from Israeli taxpayers to go in the black hole of their military system.
[00:12:19.356 --> 00:12:32.966]  A lot of the Arab countries also block off Palestinian areas so Palestinians can't immigrate or get out of different areas of the occupied territories.
[00:12:33.376 --> 00:12:37.979]  To again, as a political football, continue this on forever.
[00:12:37.979 --> 00:12:42.302]  It's the same policy that we see from all wicked governments.
[00:12:42.302 --> 00:12:45.285]  So it's not a black or white issue.
[00:12:45.285 --> 00:12:55.552]  It is a great game or a geopolitical chess board that we are looking at here as a society.
[00:12:55.552 --> 00:12:59.555]  So that is some of the news that we have there as well.
[00:13:00.973 --> 00:13:12.720]  I've spent a lot of time on this, but I want to spend some more time on it today, because the general public is just now finally becoming aware of it.
[00:13:12.720 --> 00:13:29.050]  The military, the Marines, and the Army have openly announced now that they will engage the American people in order to do so, and that regular Army and Marines will be stationed in every town and city to suppress and dominate the American people.
[00:13:32.000 --> 00:13:47.346]  Now, this has been in hundreds of newspapers the last few months, and one of the reports that I have here in front of me is out of the New York Post, another one out of CBS News, just last week.
[00:13:47.346 --> 00:13:52.148]  So when we come back, I'm going to take some phone calls on whatever issue you wish to discuss.
[00:13:52.148 --> 00:13:57.991]  The economy, the militarization of police, this whole globalist system.
[00:13:58.769 --> 00:14:08.852]  The fact that Congress is about to reauthorize NAFTA and GATT, despite the fact that in polls over 95% of Americans, bipartisan, don't want it.
[00:14:08.852 --> 00:14:11.873]  Again, showing how illegitimate and criminal the government is.
[00:14:11.873 --> 00:14:22.695]  But I want to get into these reports where the press is announcing, but telling you it's a good idea, that the Army and Marines be used against the American people.
[00:14:22.695 --> 00:14:27.957]  Now, remember, I told you they were gearing up for this for more than 12 years.
[00:14:30.254 --> 00:14:34.795]  The government documents, the on-the-ground intelligence going out and filming their drills.
[00:14:34.795 --> 00:14:41.757]  It didn't take a rocket scientist when I would videotape Army and Marines openly admitting they're training to take over U.S.
[00:14:41.757 --> 00:14:43.957]  cities and confiscate our guns.
[00:14:43.957 --> 00:14:56.900]  It didn't take a rocket scientist to come on the air and warn you and shoot video of it and make films, and still large portions of the population would say, well, so what if the Army's training to fight the American people?
[00:14:56.900 --> 00:14:57.420]  That's good.
[00:14:58.188 --> 00:15:03.911]  Doesn't matter if that's tyranny and anti-American and classical corruption.
[00:15:03.911 --> 00:15:07.572]  But others would say, oh no, it's not real, it's not happening.
[00:15:07.572 --> 00:15:19.198]  Well, now that it's openly being announced, because they're preparing to actually do it now, this long-term plan coming to a head, people are now just spinning it.
[00:15:19.198 --> 00:15:24.200]  Well, you know, it's probably not going to happen, or even if it does, it's for our own good.
[00:15:25.898 --> 00:15:30.863]  Let me go over the latest developments on this front and then explain to you that this is not for your own good.
[00:15:30.863 --> 00:15:35.927]  See, when you hear the term New World Order, it's very simple.
[00:15:35.927 --> 00:15:44.635]  It's a group of offshore banking families who are setting up a world government.
[00:15:44.635 --> 00:15:48.959]  They come in and lobby governments to sign treaties with the private world government.
[00:15:51.431 --> 00:15:58.153]  And then that way the private banks can literally become government and tax you and regulate you and control your life.
[00:15:58.153 --> 00:16:04.414]  And then they can steal tens of trillions of dollars out of your pension funds, your 401k.
[00:16:04.414 --> 00:16:16.237]  And then if you try to politically take back control of your nation and ever bring these criminals to justice, you can't because a military form of government has replaced the constitutional form.
[00:16:16.237 --> 00:16:18.618]  Now, this is stated.
[00:16:18.618 --> 00:16:19.578]  You're being robbed.
[00:16:20.580 --> 00:16:22.887]  Okay, just like a third world nation.
[00:16:22.887 --> 00:16:24.592]  It's not cute, it's not funny.
[00:16:24.592 --> 00:16:26.156]  We're going to cover the latest developments when we get back.
[00:16:27.796 --> 00:16:30.018]  Hi, John Huebner from Midas Resources.
[00:16:30.018 --> 00:16:32.941]  Are you tired of watching your hard-earned assets dwindle away?
[00:16:32.941 --> 00:16:41.549]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:16:41.549 --> 00:16:44.552]  Is this market a setup for a crash greater than 1987?
[00:16:44.552 --> 00:16:49.756]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:16:49.756 --> 00:16:51.358]  How much are you willing to lose?
[00:16:51.738 --> 00:16:52.799]  Take action now!
[00:16:52.799 --> 00:16:57.603]  Call me at 1-800-686-2237, extension 129.
[00:16:57.603 --> 00:17:01.586]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:17:01.586 --> 00:17:04.908]  Over recent decades, numerous economic systems have failed.
[00:17:04.908 --> 00:17:11.333]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:17:11.633 --> 00:17:17.598]  Secure your assets today by calling 1-800-686-2237, extension 129.
[00:17:17.598 --> 00:17:19.940]  Do this while paper can still buy gold.
[00:17:19.940 --> 00:17:21.682]  Call me, John Huebner, at 1-800-686-2237, extension 129.
[00:17:26.755 --> 00:17:32.577]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:17:32.577 --> 00:17:38.019]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:17:38.019 --> 00:17:43.401]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:17:43.401 --> 00:17:46.942]  People who alkalize the water they drink experience normalized blood sugar.
[00:17:47.182 --> 00:17:47.502]  I don't know.
[00:18:07.780 --> 00:18:16.985]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink up to the pH of 10 with only 10 drops.
[00:18:16.985 --> 00:18:23.468]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:18:23.468 --> 00:18:28.490]  Again, that's alkavision.com.
[00:18:28.490 --> 00:18:31.632]  What will happen when the grocery stores are empty?
[00:18:31.632 --> 00:18:33.913]  What are you going to do once your food is gone?
[00:18:34.542 --> 00:18:38.804]  What will you do when the dollar is worthless and your family needs to eat?
[00:18:38.804 --> 00:18:44.206]  Growing your own food is the only way to have real self-sufficiency and peace of mind.
[00:18:44.206 --> 00:18:52.030]  GetSeeds.net is offering an amazing special on 100 different varieties of heirloom vegetable seeds with a complete range of crops.
[00:18:52.450 --> 00:18:58.037]  That's 100 packets of non-hybrid seeds for only $49 with free shipping.
[00:18:58.037 --> 00:19:01.481]  You will have the comfort of knowing that you are truly prepared.
[00:19:01.481 --> 00:19:04.464]  These affordable prices are our way to pay it forward.
[00:19:04.464 --> 00:19:09.610]  So in turn, GetSeeds.net asks you to share these seeds of life with the less fortunate.
[00:19:09.870 --> 00:19:14.556]  Go to GetSeeds.net and get 100 seed packets for only $49 with free shipping.
[00:19:14.556 --> 00:19:15.097]  Or call 877-394-6657.
[00:19:15.097 --> 00:19:15.377]  That's 877-394-6657.
[00:19:15.377 --> 00:19:15.958]  Or go to GetSeeds.net.
[00:19:27.347 --> 00:19:30.589]  Every 22 seconds, a violent crime is committed.
[00:19:30.589 --> 00:19:32.930]  Are you concerned about your personal safety?
[00:19:32.930 --> 00:19:36.531]  Why wait for something bad to happen when you can take action now?
[00:19:36.531 --> 00:19:37.472]  Be smart.
[00:19:37.472 --> 00:19:38.452]  Be safe.
[00:19:38.452 --> 00:19:40.633]  Trust Pepper Spray instead of your luck.
[00:19:40.633 --> 00:19:46.456]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[00:19:46.456 --> 00:19:56.140]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[00:19:56.380 --> 00:20:02.527]  Pepperspray.com also carries a large assortment of products for personal, home, child and pet safety.
[00:20:02.527 --> 00:20:06.992]  Pepperspray.com is proud to feature Sabre brand pink ribbon pepper spray.
[00:20:06.992 --> 00:20:12.559]  For every Sabre pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[00:20:12.839 --> 00:20:17.243]  Enter the word Pepper in the coupon box and you'll receive 10% off your order.
[00:20:17.243 --> 00:20:18.544]  So what are you waiting for?
[00:20:18.544 --> 00:20:20.125]  Go to Pepperspray.com.
[00:20:20.125 --> 00:20:21.626]  That's Pepperspray.com or call 1-800-908-9988.
[00:20:21.626 --> 00:20:22.107]  Call today.
[00:20:22.107 --> 00:20:24.389]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:39.565 --> 00:20:49.050]  All right, folks, we are back live and the toll-free number to join us on this 28th of December in the waning days and hours of 2008.
[00:20:49.050 --> 00:20:49.170]  877-590-5525, 877-590-5525.
[00:20:49.170 --> 00:20:56.533]  And your calls from California, Arizona, Florida, Virginia, many other places are coming up in the next segment.
[00:21:08.396 --> 00:21:10.557]  So we have a lot of cognitive dissonance going on.
[00:21:10.557 --> 00:21:14.138]  You ever heard of that term?
[00:21:14.138 --> 00:21:19.321]  You know, the public's been told that crazies believe there's a secret plan for the military to take over America.
[00:21:19.321 --> 00:21:24.763]  It didn't matter if those crazies had congressional reports and declassified government documents.
[00:21:24.763 --> 00:21:29.985]  It didn't matter if they went out and videotaped urban warfare drills.
[00:21:29.985 --> 00:21:36.948]  The establishment, while they were busy setting this all up in its embryonic phase, it could have been shut down then.
[00:21:37.628 --> 00:21:42.170]  So they had to lie to you and say it didn't exist.
[00:21:42.170 --> 00:21:45.931]  But now that they're getting ready to roll it out, they have to announce it.
[00:21:45.931 --> 00:21:48.612]  Now that they're finally at their go date.
[00:21:48.612 --> 00:21:49.913]  Or their zero hour.
[00:21:49.913 --> 00:21:53.374]  Their D-Day.
[00:21:53.374 --> 00:22:01.497]  You know, I've got a bunch of comments here from YouTube and other sites I happen to see myself being attacked on.
[00:22:01.497 --> 00:22:04.258]  Also InfoWars.com in the comment section.
[00:22:04.258 --> 00:22:05.779]  With people still on there saying,
[00:22:06.568 --> 00:22:08.289]  Oh, this Alex Jones is a nut.
[00:22:08.289 --> 00:22:12.051]  He's making this thing up about troops on the streets of America.
[00:22:12.051 --> 00:22:27.778]  Doesn't matter if they're commenting on a story where right above it I have a link to the Phoenix Business Journal or CBS News or Associated Press or Army.mil.
[00:22:27.778 --> 00:22:30.979]  They just say I'm a liar.
[00:22:30.979 --> 00:22:32.700]  And that's how cognitive dissonance works.
[00:22:32.700 --> 00:22:34.101]  Instead of ever getting around to
[00:22:34.488 --> 00:22:36.088]  Okay, do we want troops on the streets?
[00:22:36.088 --> 00:22:38.529]  Why is this happening?
[00:22:38.529 --> 00:22:46.050]  We'll just have a debate while they're on the streets, I guess confiscating our guns, about whether or not they exist or not.
[00:22:46.050 --> 00:22:54.432]  I remember when, in New Orleans, the police chief came out and said, everybody will be disarmed, no one will be allowed to be armed.
[00:22:54.432 --> 00:23:01.993]  And they went door-to-door in the high-end drive in wealthy areas, went in people's houses, didn't bring food and water, and took people's guns and took them to jail.
[00:23:04.286 --> 00:23:08.249]  And I played the clip on air and I even read the New York Times admitting gun confiscation.
[00:23:08.249 --> 00:23:17.296]  And I had people calling me and I had people emailing me saying I was a fear-mongering liar.
[00:23:17.296 --> 00:23:29.485]  You know, Governor Blagojevich is in trouble now, but what, two months ago, two and a half months ago, I played an audio clip of him at a press conference where he said we're using the National Guard for gun confiscation?
[00:23:29.485 --> 00:23:31.106]  In the cities where they have total gun bans?
[00:23:31.859 --> 00:23:36.341]  And they send the army out with the police in black ski masks and uniforms.
[00:23:36.341 --> 00:23:39.323]  It's on the news.
[00:23:39.323 --> 00:23:42.924]  And they confiscate guns.
[00:23:42.924 --> 00:23:44.485]  And nobody wants to touch that.
[00:23:44.485 --> 00:23:45.485]  The NRA, nobody.
[00:23:45.485 --> 00:23:47.346]  Because see, that's too real.
[00:23:47.346 --> 00:23:49.787]  It's going on now.
[00:23:49.787 --> 00:23:53.229]  You know, we've been inside the North American Union under NAFTA and GATT since 1994.
[00:23:53.229 --> 00:23:53.889]  It's in the treaty.
[00:23:57.614 --> 00:23:58.595]  It's been expanded.
[00:23:58.595 --> 00:24:00.836]  We're now part of the European Union.
[00:24:00.836 --> 00:24:02.797]  That transatlantic deal was signed last year.
[00:24:02.797 --> 00:24:10.020]  I have Bush signing it, announcing it, in the Rose Garden, in my film, Endgame.
[00:24:10.020 --> 00:24:12.421]  Doesn't matter, doesn't exist.
[00:24:12.421 --> 00:24:25.448]  You know, I've got Texas employees, and earlier this year in January, I got my new sheet saying, from the Texas Workforce Commission, saying, here you are for the North American worker ID, part of the North American integration.
[00:24:26.275 --> 00:24:30.477]  I mean, I even get North American documents in the mail!
[00:24:30.477 --> 00:24:33.558]  Doesn't exist.
[00:24:33.558 --> 00:24:35.599]  Doesn't exist.
[00:24:35.599 --> 00:24:36.759]  So, let me tell you something.
[00:24:36.759 --> 00:24:49.484]  You may think it's smiley and cute and funny to live in denial about all this, and to giggle and smirk about serious issues, but tyranny can happen here, and tyranny is happening here.
[00:24:49.484 --> 00:24:52.565]  And you're sitting around, sitting on your thumb,
[00:24:56.911 --> 00:25:06.598]  Or you've got your thumb in your mouth, sucking on it like a little baby, giggling and smirking and looking at the government like it's your mommy.
[00:25:06.598 --> 00:25:08.460]  It's not your mommy.
[00:25:08.460 --> 00:25:11.462]  It's a private receivership group for offshore banks.
[00:25:11.462 --> 00:25:19.007]  And they're going to take everything you've got, and they're training the military to gun you down in the streets.
[00:25:19.007 --> 00:25:25.912]  And the military's full of foreigners and aggravated felons now, not to mention that they're openly announcing in public treaties
[00:25:26.223 --> 00:25:28.144]  To use foreign troops in the U.S.
[00:25:28.144 --> 00:25:34.267]  That's now mainstream news.
[00:25:34.267 --> 00:25:37.808]  And the public can't deal with it.
[00:25:37.808 --> 00:25:39.809]  Now, here is the New York Post.
[00:25:39.809 --> 00:25:42.910]  This was a New York Post on Tuesday.
[00:25:42.910 --> 00:25:43.271]  U.S.
[00:25:43.271 --> 00:25:46.372]  Army ready if the downturn gets out of hand.
[00:25:46.372 --> 00:25:49.714]  And the article goes on to talk about how great it is.
[00:25:49.714 --> 00:25:51.895]  By John Crudle.
[00:25:51.895 --> 00:25:54.536]  And they act like the Army just now started this.
[00:25:55.526 --> 00:25:59.367]  Just now they decided to put 20,000 troops on the streets of America.
[00:25:59.367 --> 00:26:09.090]  No, they've been planning this for decades, slowly twisting the military, the officers, and the troops to go along with this takeover.
[00:26:09.090 --> 00:26:17.132]  Kind of like an Operation Valkyrie in reverse.
