[00:00:00.009 --> 00:00:01.631]  Welcome, welcome, welcome on this 19th day of November 2008.
[00:13:09.701 --> 00:13:14.764]  Quite a distance, as you know, from the other two towers, so there's really very little question about it.
[00:13:15.264 --> 00:13:16.625]  Besides markings and so on.
[00:13:17.386 --> 00:13:19.067]  Well, back to the story with BBC.
[00:13:19.087 --> 00:13:28.174]  So I did this experiment with thermate, which is what I call thermite plus sulfur, and I had a piece of steel from the South Tower.
[00:13:29.556 --> 00:13:33.899]  Long story, how I got this small sample of steel, but it was actual steel from the World Trade Center.
[00:13:33.919 --> 00:13:40.244]  I put this slice of steel in the thermate, touched it off, BBC cameras rolling,
[00:13:41.573 --> 00:13:49.938]  I don't see that they showed any of that, but then we took that steel down to the scanning electron microscope and looked at it, and sure enough, there's sulfur in the steel.
[00:13:51.078 --> 00:14:02.124]  Which is surprising, we've done this experiment before, but you know, I was trying to get the point across that we know how the sulfur and this attack, there's a hole in the steel when you do this with thermate.
[00:14:02.985 --> 00:14:06.066]  And you showed all this to BBC, and they really didn't show a lot of that.
[00:14:06.406 --> 00:14:07.387]  And they didn't show it.
[00:14:08.047 --> 00:14:10.369]  Well, let me tell you what's going to happen when this other guy from
[00:14:12.142 --> 00:14:16.285]  I mean, it's a production company who just did a Discovery Channel piece on JFK.
[00:14:16.305 --> 00:14:18.307]  Now they're doing the San Francisco Geographic.
[00:14:19.028 --> 00:14:22.351]  What he does is he hires a bunch of former cops.
[00:14:22.431 --> 00:14:24.192]  We know about these cop crime labs.
[00:14:24.853 --> 00:14:26.394]  Oh boy, are they reliable.
[00:14:26.434 --> 00:14:27.114]  Give me a break.
[00:14:28.456 --> 00:14:29.777]  Beelzebub's more accurate.
[00:14:30.257 --> 00:14:37.403]  And then they have them, and they're going to come out and show, knowing that the general public's not going to go out and do your thermate test, and it's going to be kind of like
[00:14:38.624 --> 00:14:39.824]  I know what you mean, Alex.
[00:14:39.864 --> 00:14:45.546]  I'm just saying that I think it's worthwhile to take a shot at trying to get some facts out there to the public.
[00:14:45.566 --> 00:14:48.046]  Even some of those slipped through in the BBC effort.
[00:14:48.066 --> 00:14:48.967]  So I'm hopeful with this.
[00:15:06.673 --> 00:15:07.374]  Hello, Robert.
[00:15:07.634 --> 00:15:09.675]  And if I say, his questions were fair.
[00:15:11.577 --> 00:15:16.761]  There's one question that he asked that I thought was a little off, and so I didn't go there, but I explained why.
[00:15:17.102 --> 00:15:24.968]  His question was, well, he's talking to Professor Thomas Eager, which is good in a sense.
[00:15:25.028 --> 00:15:26.930]  I'd like to see, I'd like to talk to Professor Eager.
[00:15:26.990 --> 00:15:31.353]  I'd like to debate the issues publicly with Professor Eager, particularly the 14-point.
[00:15:31.673 --> 00:15:32.474]  But what are they asking?
[00:15:34.946 --> 00:15:36.467]  What did he specifically ask you about, Eager?
[00:15:37.088 --> 00:15:50.638]  Oh, so what he was asking about was, he said, Eager wants me to ask you, how in the world can you get all these explosives into the towers and Building 7 to bring them down?
[00:15:50.838 --> 00:15:52.759]  You know, give me an exact scenario.
[00:15:53.580 --> 00:16:03.888]  And my point was, well look, we have now found residues in the dust that show this explosive material.
[00:16:05.244 --> 00:16:06.925]  Hold on, hold on, we're coming back to the full audience.
[00:16:06.965 --> 00:16:07.585]  Hold on, here we go.
[00:16:12.468 --> 00:16:20.132]  Okay, so Professor Jones is talking to the... We're going to go back to Professor Griffin here in just a moment.
[00:16:20.492 --> 00:16:21.573]  He's talking to the...
[00:16:23.223 --> 00:16:31.825]  National Geographic guy, and then a guy saying, this Professor Eager wants to know exactly how many bombs were in the building, and exactly how they wired up 7 in Tower 1 and 2.
[00:16:32.285 --> 00:16:39.727]  Well, he asked me that same question over the phone, and I said, well, Building 7 was a spook building, CIA, FBI, it was the emergency, and he just started laughing at me.
[00:16:40.387 --> 00:16:42.068]  I mean, that's an admitted fact, but it's real funny.
[00:16:43.528 --> 00:16:46.909]  And, you know, same thing with the other buildings, and Professor Jones was saying,
[00:16:47.765 --> 00:16:51.268]  Well, hey, we found the explosive's residue.
[00:16:51.388 --> 00:16:52.649]  That's the issue here.
[00:16:53.230 --> 00:16:54.871]  Not how did they commit the whole crime.
[00:16:54.891 --> 00:16:56.273]  We're saying there's evidence of a crime.
[00:16:56.653 --> 00:16:59.476]  That's why we needed a real investigation, not a cover-up.
[00:17:00.296 --> 00:17:01.938]  Professor Jones?
[00:17:02.358 --> 00:17:03.199]  That's right, Alex.
[00:17:03.279 --> 00:17:06.142]  And that's what I explained to him on tape.
[00:17:06.802 --> 00:17:09.104]  So I didn't give him an exact scenario.
[00:17:09.485 --> 00:17:14.609]  What I said was there's a lot we can learn from the hard physical evidence from the 9-11 deaths.
[00:17:16.321 --> 00:17:29.844]  And these residues that we're looking for, the NFPA 921, the National Fire Code, requires a scene of a fire where there's a crime, which certainly applies to 9-11.
[00:17:30.124 --> 00:17:43.387]  But then the next step, just like in CSI, the scientists do their work, but then you have other investigators with subpoena power, for instance, in a trial setting, so that you can ask questions from a lot of people.
[00:17:46.834 --> 00:17:56.606]  Well, you've now gotten peer-reviewed journals on this, and I want to talk about that more, but going back to David Ray Griffin, who by the way has written, what, now seven books on 9-11.
[00:17:56.646 --> 00:17:57.567]  Is that correct, Professor?
[00:17:58.479 --> 00:17:58.719]  Uh, yeah.
[00:18:15.175 --> 00:18:19.337]  You know, we've got the Solicitor General's wife.
[00:18:19.417 --> 00:18:23.898]  Now the FBI admits that he made up the phone call.
[00:18:23.958 --> 00:18:24.858]  She didn't call him.
[00:18:24.918 --> 00:18:38.363]  I mean, how are they getting so many people to lie, who've been caught in lies, and how do they get these TV presenters to knowingly go out and lie and say that Barry Jennings was in the building three hours when he was in there 20 minutes?
[00:18:38.403 --> 00:18:41.164]  I mean, how do they find people to do this?
[00:18:43.274 --> 00:18:44.675]  Well, they pay them big salaries.
[00:18:46.656 --> 00:18:49.737]  A lot of my work was in the problem of evil.
[00:18:51.858 --> 00:18:53.639]  And this is, of course, a very old story.
[00:18:54.599 --> 00:19:09.866]  And it still is shocking, even though I've studied it over the centuries, the really just horrible things people can do, and at the same time be kind of ordinary good family men.
[00:19:10.067 --> 00:19:12.848]  I mean, this was notorious about the Nazis.
[00:19:14.957 --> 00:19:33.611]  In fact, the famous statement called the Banality of Evil, a study of the Nazis, that these were just ordinary family men that get put in situations where their job depends on it, their career depends on it, their salary depends on it, and so on.
[00:19:34.612 --> 00:19:38.094]  And it is astounding what people will do.
[00:19:38.114 --> 00:19:41.577]  I was very disappointed on the BBC show
[00:19:42.443 --> 00:20:07.213]  They at least dealt with this question of the steel that had been turned into Swiss cheese looking stuff, that they at least mentioned this, but they brought on one or two of those professors at Worcester Polytechnic Institute who had done that study, and you know at the time they said, well, they had no idea where the sulfur came from.
[00:20:09.366 --> 00:20:15.048]  On the BBC show, one of them said, oh, well, I don't find that surprising.
[00:20:15.128 --> 00:20:19.550]  It could have just kind of mixed in, you know, heating up underground there.
[00:20:19.570 --> 00:20:32.076]  Yeah, they claim steel now corroded in a few weeks in the heat when it's got the, according to Jones and others, you know, the classic burn holes, you know, that happen from something really fast.
[00:20:34.577 --> 00:20:37.678]  Well, that's right, and you'd be talking about extremely
[00:20:38.447 --> 00:20:39.348]  High temperatures.
[00:20:39.988 --> 00:20:45.552]  Stephen, what temperatures would you need to oxidize steel?
[00:20:46.993 --> 00:20:58.480]  Well, of course steel can rust, but the point here is that there are very high temperatures in evidence to reduce that steel beam to the thickness.
[00:20:58.820 --> 00:21:03.523]  It's very thin paper with holes in it, plus the sulfur in the steel.
[00:21:04.104 --> 00:21:05.705]  I talked to a fellow from
[00:21:06.745 --> 00:21:16.153]  WPI saying, well, it could, the operative term there is could, have been something like Wal-Board that could introduce sulfur.
[00:21:16.553 --> 00:21:23.619]  But you see, Wal-Board has calcium and sulfur, and they're very tightly bound with oxygen as well, calcium and sulfur.
[00:21:24.100 --> 00:21:29.044]  So, you know, it's not an issue here just saying you could do it.
[00:21:29.084 --> 00:21:30.265]  You do experiments.
[00:21:30.365 --> 00:21:31.185]  That's what we do in science.
[00:21:33.236 --> 00:21:45.561]  Alright, we're going to break and come back and talk about that experiment, and then from both of you, both Professor Jones and Professor Griffin, find out where you think this should go from here.
[00:21:46.822 --> 00:21:47.942]  Stay with us, we'll be right back.
[00:21:51.263 --> 00:21:54.244]  We're on the march, the empire's on the run.
[00:21:55.185 --> 00:21:57.886]  Alex Jones and the GCN Radio Network.
[00:22:01.451 --> 00:22:04.834]  More than 700 chemicals have been found in our drinking water.
[00:22:04.974 --> 00:22:10.198]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:22:10.378 --> 00:22:15.162]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:22:15.543 --> 00:22:26.652]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:22:27.052 --> 00:22:32.595]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[00:22:32.816 --> 00:22:38.899]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:22:39.079 --> 00:22:39.740]  What about you?
[00:22:40.120 --> 00:22:46.164]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[00:22:46.564 --> 00:22:48.705]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:22:52.042 --> 00:22:53.382]  That's 1-877-886-3653.
[00:22:55.843 --> 00:22:59.364]  Or simply click on the banner at GCNlive.com to order online now.
[00:23:00.985 --> 00:23:07.366]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:23:07.726 --> 00:23:09.387]  The enemy struck America on September 11th.
[00:23:10.379 --> 00:23:11.400]  But who is the enemy?
[00:23:11.900 --> 00:23:12.420]  Bin Laden.
[00:23:12.700 --> 00:23:13.681]  This is his MO.
[00:23:13.701 --> 00:23:15.022]  We have to look to the Middle East.
[00:23:15.062 --> 00:23:16.743]  We have to look to Osama Bin Laden.
[00:23:17.083 --> 00:23:23.827]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:23:24.227 --> 00:23:24.667]  Some U.S.
[00:23:24.707 --> 00:23:30.391]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:23:31.051 --> 00:23:34.574]  I'm aware that some Israeli citizens have been detained.
[00:23:34.934 --> 00:23:44.801]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:23:45.021 --> 00:23:45.782]  Fabled enemies.
[00:23:46.262 --> 00:23:53.527]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:23:54.027 --> 00:23:57.370]  Either you are with us or you are with the terrorists.
[00:24:01.528 --> 00:24:07.415]  If a low credit score is keeping you from getting the car, home, business loan or credit cards you deserve, this message is for you.
[00:24:07.815 --> 00:24:12.380]  RadioCreditSecrets.com can show you how to raise your credit score up to 249 points in the next 90 days or less.
[00:24:16.485 --> 00:24:16.845]  I'm good.
[00:24:35.354 --> 00:24:39.736]  Learn the secrets that banks, credit bureaus, and collection agencies don't want you to know.
[00:24:40.016 --> 00:24:42.097]  All this 100% risk-free.
[00:24:42.598 --> 00:24:44.939]  Go to RadioCreditSecrets.com.
[00:24:45.259 --> 00:24:46.840]  That's RadioCreditSecrets.com.
[00:24:46.860 --> 00:24:47.100]  Or call 801-325-5152.
[00:24:47.140 --> 00:24:47.500]  That's 801-325-5152.
[00:24:47.520 --> 00:24:50.041]  This message has been brought to you by RadioCreditSecrets.com.
[00:25:06.909 --> 00:25:17.552]  You know, in the 25 minutes or so of airtime we have left with both of you gentlemen today, I'd like for you both just to have a discussion and cover the issues that you think are most important.
[00:25:20.333 --> 00:25:26.454]  And we can go back over the science of Building 7 or Tower 1 or 2, that's only a small part of it.
[00:25:26.934 --> 00:25:29.215]  You take all the evidence together, that's what's really strong.
[00:25:30.455 --> 00:25:36.217]  It's just seeing the other side, how they always lie, they always distort, they always twist, knowingly.
[00:25:37.253 --> 00:25:45.294]  And I go back to what I was saying to David Ray Griffin, who's a top theologian, amongst other things, is, yeah, the nature of evil.
[00:25:46.955 --> 00:25:49.035]  I mean, do they rationalize to themselves?
[00:25:49.075 --> 00:25:52.216]  I think some of them do that, but others, you know, it's funny to them.
[00:25:52.456 --> 00:26:04.218]  I mean, I guess they get a thrill by working with the evil, by being patted on the head by the system.
[00:26:05.218 --> 00:26:05.878]  David Ray Griffin?
[00:26:07.659 --> 00:26:10.501]  Well, you know, it's hard to know in all cases.
[00:26:11.002 --> 00:26:23.752]  I think some of it is what Sinclair Lewis pointed out long ago, that it's hard to get a man to understand something when his salary depends on his not understanding it.
[00:26:24.632 --> 00:26:37.022]  So I think in some cases, the people in the news media, you know, they have blinders on and they just look selectively at the evidence that seems to support the official story.
[00:26:37.964 --> 00:26:45.888]  And so they recognize, well, if they twist a little bit here and there, they're doing it for a larger truth they can rationalize.
[00:26:46.629 --> 00:26:55.554]  So I think there's quite a bit of that going on, rather than just, well, I know I'm doing something really horrible, but I need the money.
[00:26:56.874 --> 00:27:01.697]  So I think there's a lot of self-delusion that allows people to live with themselves.
[00:27:04.053 --> 00:27:04.773]  Absolutely.
[00:27:05.694 --> 00:27:12.796]  Steven Jones, I know you're a physicist, so you stick mainly to the science, but dealing with these people, I mean, your evidence, your research is conclusive.
[00:27:13.957 --> 00:27:16.658]  It fits in with other research and eyewitness reports.
[00:27:18.666 --> 00:27:20.726]  They're fitting square pegs and round holes.
[00:27:20.766 --> 00:27:24.127]  We're fitting round pegs and round holes.
[00:27:26.568 --> 00:27:28.888]  I mean, what has this whole journey been like for you?
[00:27:28.948 --> 00:27:31.169]  And where do you see 9-11 Truth going now?
[00:27:31.389 --> 00:27:33.249]  And then I'll ask that same question to Griffin.
[00:27:33.929 --> 00:27:38.010]  Now that Obama's coming in, some are saying, oh my gosh, they think everything's fine okay now.
[00:27:38.390 --> 00:27:39.371]  They're going to sleep.
[00:27:39.771 --> 00:27:45.852]  Not understanding the very same military-industrial complex that clearly staged the attacks is still in control.
[00:27:47.811 --> 00:27:53.536]  Let me respond to that particular issue of where the 9-11 Truth Movement is going, Alex.
[00:27:53.616 --> 00:27:55.038]  I'm actually quite encouraged.
[00:27:55.298 --> 00:28:05.407]  See, the flip side to those, basically, official people missed, for example, that keep evading many of our questions.
[00:28:05.507 --> 00:28:08.290]  And then, anyway, we could discuss that further.
[00:28:08.330 --> 00:28:12.013]  But I want to hit on and mention the people that are
[00:28:14.485 --> 00:28:22.470]  There's really a very large, as you know, and you're a big part of it, this large public movement to get at the 9-11 truth.
[00:28:22.931 --> 00:28:33.658]  And in particular, I want to thank those people in New York City who saved World Trade Center deaths, the 9-11 deaths, on that day or shortly thereafter.
[00:28:34.518 --> 00:28:42.704]  We now have four samples that we're looking at very actively and scrutinizing very carefully.
[00:28:43.550 --> 00:28:48.632]  And, uh, this dust is just revealing so much to us about what really happened that day.
[00:28:48.652 --> 00:28:59.497]  Uh, I have heard reports that the officials that, uh, gathered up the steel and shipped that over to Asia for melting also tried to gather up all the dust, but they did not succeed.
[00:29:00.217 --> 00:29:03.638]  A lot of people saved dust because it came into their apartments.
[00:29:03.658 --> 00:29:12.602]  It invaded their private space and, and to their great credit, these, uh, New Yorkers saved some of that dust, often just for a souvenir.
