[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[00:02:43.541 --> 00:02:50.344]  But you can go to InfoWars.com or PrisonPlanet.com and click on the Flash Player window to listen that way.
[00:02:50.464 --> 00:02:58.508]  If you hear outages on the Genesis streams, because those get maxed out, or on the InfoWars streams, we have that Windows stream there for you as well.
[00:02:59.858 --> 00:03:14.600]  Because the internet is so important because it's a key place that we virally spread the message in YouTube videos, LiveLeak videos, people make hundreds of videos with audio from the show, you cut it up, you condense it down, all of you out there doing a great job, so please keep that up.
[00:03:14.740 --> 00:03:15.000]  Okay!
[00:03:16.340 --> 00:03:20.763]  Without further ado, I'm really excited to get to introduce to you Peter Joseph.
[00:03:21.984 --> 00:03:30.449]  Peter Joseph, of course, made Zeitgeist, which I would say is the second most viewed video, just from my analysis.
[00:03:31.350 --> 00:03:36.734]  In Internet history, I would still say that Loose Change is number one, but that's because it's been out longer.
[00:03:37.294 --> 00:03:44.419]  In the future, it remains to be seen, but the two films definitely are the most viewed in viral history on the Internet.
[00:03:44.899 --> 00:03:45.519]  And the maker,
[00:03:46.520 --> 00:03:51.323]  Peter Joseph has now made a Zeitgeist Addendum, another two-hour film, very well done.
[00:03:51.343 --> 00:03:52.804]  He works in professional TV.
[00:03:53.764 --> 00:03:54.865]  And he did this on his own, though.
[00:03:54.885 --> 00:03:55.425]  It's excellent.
[00:03:55.665 --> 00:04:01.288]  And he went out and actually did a lot of interviews and things for it as well, not just internet clips that he combined for the first Zeitgeist.
[00:04:01.829 --> 00:04:04.510]  And I agree with about 90% of what is in the film.
[00:04:05.091 --> 00:04:09.933]  I think that the interpretation, the subtle way it's put out, people are going to misinterpret a lot of it.
[00:04:10.293 --> 00:04:12.455]  That was my point criticizing some of it earlier in the week.
[00:04:13.135 --> 00:04:29.728]  I also think that it's another form of orthodoxy to make fun on a high horse of religious groups and people who are religious because the human mind, human sight and smell only picks up a very narrow spectrum of reality that's been scientifically proven.
[00:04:30.028 --> 00:04:33.931]  There's a lot of quackery and superstition and kooky stuff going on out there.
[00:04:34.371 --> 00:04:34.791]  Certainly.
[00:04:35.072 --> 00:04:37.634]  And that's why I get away from organized religion myself.
[00:04:38.474 --> 00:04:48.177]  But I think that in a way it actually divides people, that both films have decided attacks on religion, especially Christianity.
[00:04:48.297 --> 00:04:52.178]  And I'm allowed to have that view and say that I don't particularly agree with that.
[00:04:52.619 --> 00:04:55.059]  I don't hate Peter Joseph because of his views.
[00:04:55.099 --> 00:04:55.900]  I don't look down on him.
[00:04:55.940 --> 00:04:56.820]  I don't even judge him.
[00:04:57.580 --> 00:05:03.282]  I just am allowed to have my view that I think that that is
[00:05:04.665 --> 00:05:31.843]  is uh... itself a little bit close-minded uh... that doesn't mean that i buy in every superstition out there and conversely people like to start fights between any you know big alternative media movement icons or or or films you know a lot of zeitgeist people that attack me and say horrible things about me and they're not zeitgeist people but people that are followers of the film or use the name as a maxim or a a a a a logo kinda like the shingle or the flag they fly
[00:05:32.783 --> 00:05:58.903]  And then a lot of folks who call themselves Alex Jones listeners who viciously attack Zeitgeist because of its anti-christian bent, and then that's probably why the Zeitgeist folks are attacking me, and then my people are attacking them more, and then that kind of creates with myself a subconscious disliking for it, because then I get attacked by a lot of extreme close-minded Christians and Muslims and religionists out there who get mad that my footage is in Zeitgeist.
[00:05:59.843 --> 00:06:02.464]  Well, I mean, he put it in there first, and later he said, hey, can I use it?
[00:06:02.484 --> 00:06:03.184]  And I said, fine.
[00:06:03.565 --> 00:06:12.108]  And he has the rights to use the footage that he has in the first Zeitgeist now, because I'm actually for open discussion and things being out there, and a lot of people found my work because of Zeitgeist.
[00:06:12.148 --> 00:06:16.009]  So, you know, I believe that we can take good out of even things that I see as not...
[00:06:18.390 --> 00:06:20.131]  Thank you Alex, I appreciate you having me on.
[00:06:20.151 --> 00:06:21.752]  And I'm glad you pointed out what you did.
[00:06:21.772 --> 00:06:26.536]  I think a lot of people listening to this cast are going to sit there waiting for some type of duke out between you and I and debate.
[00:06:43.499 --> 00:06:46.101]  Debate is really an infantile disposition, I think.
[00:06:46.161 --> 00:06:49.304]  Discussion and open discussion is what we need to engage in.
[00:06:49.444 --> 00:06:56.331]  We learn from each other, and that's what a society should really be thinking when we engage ideas that are conflicting from one belief system to another.
[00:06:56.351 --> 00:07:00.214]  You know, competition and things like this that we think are naturally bred into us.
[00:07:00.735 --> 00:07:01.916]  Dispositions of winning.
[00:07:01.936 --> 00:07:04.018]  These are things I would like to address today.
[00:07:04.038 --> 00:07:08.862]  I know you have different dispositions, as you stated, for example, in your October 8th broadcast.
[00:07:10.120 --> 00:07:17.923]  And before I begin any of that, however, since you did bring up Christianity, first thing, I'm not attacking Christians whatsoever.
[00:07:18.003 --> 00:07:29.107]  I think anybody who pays attention to what I've stated, as far as the first film, I go into the historical basicities of Christianity, and I linger into the philosophical dispositions and how it's very restrictive of the human mind.
[00:07:29.487 --> 00:07:31.188]  In the second film, I detail how
[00:07:32.020 --> 00:07:41.382]  Essentially, the belief system itself is based on a rejection of new information, and this is very important and very difficult to deny when you get into faith-based ideologies.
[00:07:42.042 --> 00:07:51.204]  And the whole encompassment, if that's a word, of the second film is to really try to pull people into a train of thought that's aligned with nature.
[00:07:51.604 --> 00:07:59.666]  And that's why I present The Venus Project, and that's why I present these seemingly spooky things that people have been conditioned to fear, such as centralization of power,
[00:08:00.066 --> 00:08:07.148]  But it's not centralization of power in the orthodox manner that many people think to be true, or fearful of, or what history has presented.
[00:08:07.528 --> 00:08:13.410]  Because the flaw of our society at its very core is that it has not addressed the root problems of what we're doing.
[00:08:13.630 --> 00:08:20.092]  And those root problems are sourced in human behavior, not secret societies, or elites, or even human instinct.
[00:08:20.493 --> 00:08:23.594]  We have to look at the environment and what the environment is producing.
[00:08:24.054 --> 00:08:25.614]  And from there, we'll know the resolution.
[00:08:25.714 --> 00:08:27.735]  And that's what I'd like to talk about today with you.
[00:08:28.328 --> 00:08:32.370]  Well, Peter, out of the gates, global warming has become a religion.
[00:08:32.430 --> 00:08:40.893]  The environment is important, the load of the earth is important, but technologies, as you and the experts you interview have rightly assessed, we can transcend all those problems.
[00:08:41.513 --> 00:08:46.515]  And that is being suppressed by the elites who want to continue a cartel or an oligopoly.
[00:08:47.435 --> 00:08:51.216]  But, you know, you talk about the load of the earth and, you know, running things according to the load of the earth.
[00:08:51.557 --> 00:08:55.078]  Well, the controllers, they're already using that.
[00:08:55.758 --> 00:09:11.624]  And saying we are going to, as a technocracy, as a scientific system, we are going to scientifically design society, and we're saying carbon dioxide's bad, when that's what plants breathe, and one of the four major elements, light, water, carbon dioxide, and oxygen, that make life possible here.
[00:09:11.664 --> 00:09:14.045]  So see, out of the gates there's that oversimplification.
[00:09:14.305 --> 00:09:15.746]  I think it's important to have the discussion.
[00:09:17.068 --> 00:09:21.252]  It's just the way it can be interpreted is, I mean, that's a religion too.
[00:09:21.332 --> 00:09:26.076]  I mean, there is a religious belief that carbon dioxide is bad and evil and a toxic waste.
[00:09:26.977 --> 00:09:32.261]  Yeah, there's also a religious belief that the free market system is the end-all to our progress as a civilization.
[00:09:32.281 --> 00:09:34.183]  They're all religious beliefs in their own accord.
[00:09:34.323 --> 00:09:37.846]  If they're not addressed in a highly intellectual and scrutinizing manner,
[00:09:38.439 --> 00:09:44.881]  The best form of reference for that type of disposition or analysis, if you will, is what you refer to as the scientific method.
[00:09:45.301 --> 00:09:47.822]  Everything that we have, well, first of all, let me counter one thing.
[00:09:48.342 --> 00:09:57.785]  Essentially, what you're seeing with this ruling elite that you refer to, that, of course, they will use technology against humanity, the microchip, surveillance, we're seeing this rampantly.
[00:09:57.845 --> 00:09:58.045]  Why?
[00:09:58.105 --> 00:09:59.706]  Because their social system is failing.
[00:10:00.086 --> 00:10:01.506]  They have to preserve the structure.
[00:10:01.526 --> 00:10:04.307]  At least, that's my opinion, and we can go into more detail for that.
[00:10:04.647 --> 00:10:07.348]  However, they are totally out of line with nature.
[00:10:07.788 --> 00:10:22.693]  So what they're implying will never really work, because it will just produce more instability, the people will eventually rise up above it, because the system is emergent, and we are always learning new things, and things that do not work as the emergence proceeds will be phased out.
[00:10:23.153 --> 00:10:26.835]  And this is where social stratification and all of these different elements come into play.
[00:10:27.275 --> 00:10:32.797]  You see, I'm not talking about, for example, in your October 8th interview, excuse me, your review of the piece,
[00:10:33.806 --> 00:10:39.173]  You implied to your audience that there would be this eradication of the social structure.
[00:10:39.214 --> 00:10:46.924]  Remember when you said that someone's going to come around with a gun and shoot people that are involved in the wrong type of social stratification?
[00:10:46.964 --> 00:10:50.269]  That is not at all what this idea is about whatsoever.
[00:10:50.609 --> 00:11:02.260]  The eradication notion comes from the disposition that human awareness, human value systems will be altered as the society is culminated in more alignment with nature itself.
[00:11:02.720 --> 00:11:15.892]  Now, that's a very difficult thing to... How do you gauge the alignment with nature and what scientist or group is going to be able to develop the gauge by which you set up that system?
[00:11:16.638 --> 00:11:21.320]  Well, you can look at it from... Here's a very oversimplified example, but I get the point across very easily.
[00:11:21.680 --> 00:11:29.023]  If you have a plot of land, and you want to do something with that land, say grow something on it, build something on it, you're going to analyze the topsoil of it.
[00:11:29.303 --> 00:11:33.885]  The parameters of that land become self-evident as to what you can do on it.
[00:11:34.565 --> 00:11:42.749]  Now, when you apply this to the planet, you begin to see that the resources that the society needs, which can be assessed through surveying what is necessary for the society,
[00:11:43.524 --> 00:11:44.285]  Stay there, stay there.
[00:11:44.345 --> 00:11:45.987]  We're going to skip this break right now.
[00:11:46.067 --> 00:11:46.407]  Here we go.
[00:12:01.857 --> 00:12:03.118]  Okay, continue, Peter.
[00:12:03.679 --> 00:12:06.862]  It's the intelligent management of the Earth's resources that's needed.
[00:12:06.882 --> 00:12:08.183]  Now, people don't understand what that means.
[00:12:08.203 --> 00:12:17.011]  They don't know what that means because they've been so conditioned into this completely artificial structure of money and labor for money, competition for labor, and money for resources.
[00:12:17.051 --> 00:12:21.636]  This is a complete, this is a completely fictional disposition.
[00:12:21.676 --> 00:12:24.078]  It's a false system because there's nothing but resources.
[00:12:24.770 --> 00:12:25.311]  I think so.
[00:12:38.516 --> 00:12:41.118]  Unification, intellectual unification, excuse me, let me back up.
[00:12:41.318 --> 00:12:48.903]  The only way you can have an abundance and an optimization of our world is if you understand what the planet has and you gauge all of its resources.
[00:12:48.943 --> 00:12:55.487]  This is why in intellectual unification that Jacque Fresco talks about, world unification, it's not world government at all.
[00:12:55.848 --> 00:13:02.172]  It's an entirely different ideological disposition based on what's available on the planet, what society needs,
[00:13:02.927 --> 00:13:05.689]  And this is an extremely long-winded conversation.
[00:13:05.709 --> 00:13:06.529]  I wish we had more time.
[00:13:06.549 --> 00:13:08.891]  Yeah, but who's going to decide what humanity needs?
[00:13:08.991 --> 00:13:10.732]  The question isn't who's going to decide.
[00:13:10.752 --> 00:13:12.513]  It's how will the decisions be made.
[00:13:13.233 --> 00:13:15.915]  It's an ideological-based assumption based on nature.
[00:13:15.935 --> 00:13:20.678]  There's an empirical order in working in nature forever.
[00:13:20.718 --> 00:13:27.522]  For example, anything you have in your studio right now, all the technology is derived from one process, and that's called the scientific method.
[00:13:27.963 --> 00:13:30.244]  Our society needs to be completely in accord with this.
[00:13:30.683 --> 00:13:33.724]  The parameters are self-evident once you get this train of thought going.
[00:13:33.864 --> 00:13:46.929]  But there are going to be people that, quote, want to be in accord, and there's huge debates within the scientific method, and so how are you going to bring something completely into accord or eradicate that?
[00:13:48.024 --> 00:13:58.154]  Well, this is why human behavior has to be understood, which is another very important point that we need to... Well, I mean, and I disagree with you that humans are fundamentally, you know, don't have competition in them.
[00:13:58.174 --> 00:14:00.816]  Okay, well... I mean, that is all over the animal kingdom.
[00:14:00.856 --> 00:14:02.057]  That is the name of the game.
[00:14:02.077 --> 00:14:03.659]  Sure, but why?
[00:14:03.899 --> 00:14:05.120]  Why does the animal kingdom have this?
[00:14:05.260 --> 00:14:06.361]  Because of resources.
[00:14:07.182 --> 00:14:07.443]  Exactly.
[00:14:07.503 --> 00:14:14.235]  But also because of the design in our development within that system of competition.
[00:14:14.555 --> 00:14:18.362]  It is to deny how we were developed and what we have been developed to do.
[00:14:20.223 --> 00:14:23.745]  I would have to respectfully disagree with that because there's no basis for that.
[00:14:23.925 --> 00:14:37.913]  Everything that we have, that we think is derived naturally as far as human instinct, every form of human instinct that you see popularized by the modern-day alchemist, the geneticist that say, you know, they can find the genetic gene for smoking or the genetic gene to be a Republican.
[00:14:38.533 --> 00:14:43.056]  This is completely ignoring basically everything that the environment has been teaching us.
[00:14:43.416 --> 00:14:48.319]  For example, if I took, if you were taken as a little baby, infant, brought over to the Middle East,
[00:14:48.965 --> 00:14:49.606]  Well, wait a minute.
[00:15:04.506 --> 00:15:06.208]  It's not kernels.
[00:15:07.609 --> 00:15:14.035]  Conservatively, more than half of our activities in motion is genetic in nature.
[00:15:14.095 --> 00:15:23.564]  And then nurture is the variant that will change, for the time and place and culture, how your genetic information manifests.
[00:15:24.685 --> 00:15:29.710]  Everything that we understand has been taught to us in some capacity, especially our operations.
[00:15:30.316 --> 00:15:32.317]  Every word I'm saying has been taught to me.
[00:15:32.737 --> 00:15:41.042]  Every concept has been relayed in some capacity to me, and through my mental operations, which is a form of conditioning, I have arrived at novel conclusions.
[00:15:41.122 --> 00:15:50.627]  My originality is simply because of the environmental influences that are completely and utterly conditioned to me, as opposed to everyone else.
[00:15:50.708 --> 00:15:53.529]  Everyone is different because they come from different conditioning, in other words.
[00:15:54.149 --> 00:15:56.191]  This is extremely powerful, and it's not 50-50.
[00:15:56.211 --> 00:15:56.551]  It's probably 90-10.
[00:15:59.295 --> 00:16:03.958]  Our conditioning is everything, and when we realize that the monetary system... Hold on, we're going back to the full audience.
[00:16:03.978 --> 00:16:11.462]  Here we go.
[00:16:14.964 --> 00:16:20.047]  Talking to the creator of Zeitgeist I and now Zeitgeist II Addendum, Peter Joseph.
[00:16:23.018 --> 00:16:36.640]  Peter, I fundamentally, and we were just discussing this for the internet audience, only when we skipped that break we're back to the full audience now, I disagree with you fundamentally that humans are trained and conditioned to be competitive.
[00:16:38.121 --> 00:16:42.861]  All higher species, mammals particularly, are competitive.
[00:16:43.381 --> 00:16:51.903]  It is at its base a genetic competitiveness to pass on the traits that made the species excel in its environment.
[00:16:52.843 --> 00:16:54.665]  Uh, in our, uh, development.
[00:16:55.226 --> 00:17:11.602]  And then all the elite does is knows how to manipulate and punch those buttons and condition those and hone those and bring up certain instincts that have manifested through societal developments and to, and, and, and to over-express others and to suppress, uh, uh, others that they don't like.
[00:17:12.363 --> 00:17:16.307]  Uh, and I mean, that's just, I fundamentally disagree with you, uh, on that point.
[00:17:17.185 --> 00:17:30.352]  Well, I want to make a comment, then, that it's for the audience to decide, of course, and I think what people fail to realize, the geneticists fail to realize, what your worldview isn't taking into account are the millions, if not billions, of years
[00:17:30.931 --> 00:17:32.572]  of evolution based on scarcity.
[00:17:33.033 --> 00:17:35.014]  All the animal kingdom has lived within scarcity.
[00:17:35.034 --> 00:17:37.376]  You have to have social hierarchy of a pack of lions.
[00:17:37.616 --> 00:17:40.498]  You have to have fighting because there's not enough to go around.
[00:18:01.695 --> 00:18:03.896]  Well, what is evil?
[00:18:04.076 --> 00:18:04.797]  Define it for me.
[00:18:05.877 --> 00:18:06.678]  What causes evil?
[00:18:06.698 --> 00:18:08.399]  What causes someone to behave in an evil manner?
[00:18:08.499 --> 00:18:10.240]  Well, I'm asking you, do you believe evil exists?
[00:18:10.741 --> 00:18:15.104]  Absolutely not, because based on the definition of evil, it's basically a religious connotation.
[00:18:15.424 --> 00:18:16.205]  It doesn't mean anything.
[00:18:16.245 --> 00:18:17.125]  It's an empty distinction.
[00:18:17.205 --> 00:18:19.807]  If I was to redefine it, I'd say evil would be aberrant behavior.
[00:18:20.167 --> 00:18:27.212]  And if I was to define aberrant behavior, I would say, almost conclusively, that aberrant behavior is caused by the necessities of the environment.
[00:18:27.272 --> 00:18:29.474]  But is it aberrant to have a leech
[00:18:30.334 --> 00:18:52.447]  Through their breeding, through their culture, who are hyper-aggressive and hyper-dominant and sadistic, I call Satanists kidnapping a child and raping them for a month and cutting their heart out evil, because that is evil according to the human code, and evil according to us having safe, happy tribes who can go on being scientists and creating, which is the main drive and goal of this species.
[00:18:53.342 --> 00:18:56.143]  Sure, nevertheless, however, it's always a product of conditioning.
[00:18:56.163 --> 00:19:02.226]  The people in the secret societies that you talk about that have grown up with their elitism, they are molded and shaped.
[00:19:02.566 --> 00:19:07.368]  Henry Kissinger, George Bush, these men brought up an elite system, they behave in elite ways.
[00:19:07.428 --> 00:19:13.451]  That's right, they sent Prince Charles to boarding schools to be beat up, to be treated bad, to make him a nasty person.
[00:19:14.031 --> 00:19:15.932]  Well, there you have it, and this is exactly my point.
[00:19:16.292 --> 00:19:20.554]  So in order to fully change society, in order to really understand what's going on, you can't
[00:19:21.090 --> 00:19:23.115]  Use these outmoded words, at least in my opinion.
[00:19:23.135 --> 00:19:25.241]  I don't like evil because it has a generally religious notion.
[00:19:25.281 --> 00:19:27.326]  It denotes a certain element.
[00:19:27.366 --> 00:19:28.308]  Here's what I'm saying to you.
[00:19:29.958 --> 00:19:32.500]  I've read the social workers 150 years ago.
[00:19:32.660 --> 00:19:45.548]  I've read the social engineers and the transhumanists and the post-humanists, and they all say very close to what you're saying about this utopia of the machines getting rid of our competitiveness, but then they bring in a hyper-competitiveness to dominate us.
[00:19:45.588 --> 00:19:49.710]  When the social workers kidnap people's kids for no reason for the state to re-educate them,
[00:19:51.431 --> 00:19:52.892]  It makes nightmares.
[00:19:52.992 --> 00:20:01.256]  I mean, I've heard all this and people showing me fancy roads and models of spaceships and saying we're going to create a utopia and we're not going to have money anymore.
[00:20:01.756 --> 00:20:06.958]  And then what is money versus this monetary system you talk about with banker fractional reserve manipulation?
[00:20:08.639 --> 00:20:11.920]  Well, first of all, first of all, there's no utopia.
[00:20:11.941 --> 00:20:13.341]  I want to get this out of the way.
[00:20:13.361 --> 00:20:15.402]  That's a loaded term just like evil.
[00:20:15.482 --> 00:20:17.183]  It has no basis.
[00:20:17.782 --> 00:20:25.506]  Secondly, the difference between the system that I'm advocating and the system that I'm advocating versus the Fractional Reserve Monetary System is multifaceted.
[00:20:25.546 --> 00:20:37.393]  First of all, the Monetary System, I wouldn't be specific to talk about the Fractional Reserve System enslaved humanity distinctly, with absolute acuteness, because there's not enough money in the money supply to go around.
[00:20:38.413 --> 00:20:40.635]  Yeah, but you're saying it's a system failing.
[00:20:40.695 --> 00:20:42.876]  They designed it to consolidate power.
[00:20:42.956 --> 00:20:44.977]  It is succeeding, according to their aims.
[00:20:44.997 --> 00:20:50.841]  You're saying, and your experts are saying, society's going to fail so we'll have a new, better system, or a shot at it.
[00:20:51.121 --> 00:21:01.227]  But to them, the drug war, any of it, it's not failing, it is succeeding, and they want to create a collapse to bring in more social engineering and their utopia.
[00:21:01.897 --> 00:21:05.279]  Okay, well you changed the topic a little bit from what I was talking about, so let me address that.
[00:21:05.679 --> 00:21:10.121]  Basically, the collapse is not entirely 100% rigged.
[00:21:10.462 --> 00:21:17.765]  What it is, is a pyramid scheme that is tipping that they've been expecting for a long time, and of course, they're going to capitalize on it.
[00:21:17.985 --> 00:21:20.967]  The fractional reserve system has to fail, and that's what we're talking about.
[00:21:20.987 --> 00:21:30.452]  The monetary system has to fail because it's based on competition and self-interest, and power monopolies, just like in the second part of Zeitgeist Addendum where I talk about world monopolies.
[00:21:30.512 --> 00:21:31.713]  Well, I'm going to stop you right there.
[00:21:31.773 --> 00:21:32.633]  I'm going to stop you right there.
[00:21:32.933 --> 00:21:34.434]  See, you can't even say you're wrong there.
[00:21:34.834 --> 00:21:43.938]  They fundamentally design these in endless Ponzi schemes that always sieve out, like a guy panning for gold in a river, the wealth.
[00:21:44.018 --> 00:21:45.058]  I mean, they admit it.
[00:21:45.098 --> 00:21:46.199]  It's in all their documents.
[00:21:47.560 --> 00:21:47.780]  Here we go.
[00:21:47.800 --> 00:21:48.700]  We're going to skip this break, too.
[00:21:48.720 --> 00:21:49.600]  We're going to skip it right now.
[00:21:50.121 --> 00:21:51.141]  I mean, go ahead and counter that.
[00:21:51.181 --> 00:21:52.162]  Go ahead and explain to me.
[00:21:52.602 --> 00:21:55.163]  Explain to me how it's not engineered by them.
[00:21:56.417 --> 00:21:59.778]  I'm not saying it's not engineered per se.
[00:22:00.258 --> 00:22:06.499]  You make these leaps that I can't see how you can honestly stand behind them with a hundred percent confidence.
[00:22:06.919 --> 00:22:17.222]  The fractional reserve system which has been put in place, they knew what would happen to it, but it created such a great level of differential advantage for their control of the corporate structure and everything else.
[00:22:17.702 --> 00:22:19.282]  I don't think they wanted it to fail.
[00:22:19.322 --> 00:22:21.202]  This is why the boom and bust cycle is what it is.
[00:22:21.262 --> 00:22:22.463]  It's completely contrived.
[00:22:22.543 --> 00:22:23.423]  I will admit that to you.
[00:22:23.983 --> 00:22:25.104]  They always create a new bubble.
[00:22:40.868 --> 00:22:41.829]  Well, of course they do.
[00:22:41.969 --> 00:22:43.690]  This is the way it has to work, though.
[00:22:43.750 --> 00:22:44.911]  It's a natural phenomenon.
[00:22:44.951 --> 00:22:50.235]  It's not as rigged as you think it is, because the money has to go somewhere, but they do protect it.
[00:22:50.515 --> 00:23:01.603]  And right now we're seeing the top of this pyramid scheme collapse, and I think the elite, even though they have their power consolidation, they know that they have to walk a very delicate line, because the public is going to lose it.
[00:23:01.643 --> 00:23:04.385]  The public, they're going to lose control of the public if they allow another depression.
[00:23:05.397 --> 00:23:08.019]  Actually, sir, hold on, hold on.
[00:23:08.039 --> 00:23:09.340]  Let's go back to what you just said there.
[00:23:10.640 --> 00:23:15.443]  The central banks are cutting off liquidity to the real market and the population of the world.
[00:23:15.864 --> 00:23:32.674]  They are then, while telling the public the money is going to them, conduiting all of the fiat currency to themselves while it still has some value, while they consolidate real assets, and Business Week and the Financial Times of London properly say that this is actually good for that small inner group of banks to consolidate.
[00:23:33.254 --> 00:23:34.194]  I'm not saying it isn't, Alex.
[00:23:34.294 --> 00:23:35.215]  I don't know where you're getting that.
[00:23:35.275 --> 00:23:38.336]  Well, I mean, I got audio clips from the film is where I got that.
[00:23:39.096 --> 00:23:43.737]  Well, if you listen to the first Zeitgeist, they make it extremely clear about the interests of the international bankers.
[00:23:43.757 --> 00:23:47.699]  Look, I overall think your film is healthy and good and thought-provoking and great.
[00:23:48.159 --> 00:23:56.782]  It's just that I've always told my listeners, don't make what I'm saying a religion where I'm infallible and, you know, question me, and I'm saying, you know,
[00:23:58.502 --> 00:24:01.243]  And obviously no work can be complete, none of it can be perfect.
[00:24:01.623 --> 00:24:10.586]  I'm hoping here, and I'm sure you've got things you can teach me, to open up avenues of discussion and refinement, not in your overall idea, but in how people are interpreting it.
[00:24:10.986 --> 00:24:26.370]  Because certainly you know about the socialists and the Fabian socialists and the engineers, and HG Wells and Bertrand Russell and all them, saying about 90% of what you're saying at the end of Zeitgeist Addendum, but overlaying it with government central control to be able to construct it.
[00:24:27.543 --> 00:24:33.548]  Well, I couldn't disagree more based on the fact that what has been presented might sound like socialism.
[00:24:33.588 --> 00:24:46.720]  It might sound like Marxism because of those kernels of element of having a system that's designed for society as opposed to everyone fighting each other in order to survive in this monetary system-based competition illusion that's been created.
[00:24:47.100 --> 00:24:51.464]  The difference is the entire foundation of this is that it's related to science purely.
[00:24:51.844 --> 00:24:58.507]  And the thing about all the early Fabian socialists and all these guys, whatever their intent was, negative or positive, they had no concept of what technology is.
[00:24:58.527 --> 00:24:59.908]  And neither does half the people on this planet.
[00:24:59.928 --> 00:25:00.549]  All right, stay there.
[00:25:00.609 --> 00:25:00.949]  Stay there.
[00:25:00.989 --> 00:25:01.809]  Full audience right now.
[00:25:01.849 --> 00:25:02.209]  Here we go.
[00:25:06.011 --> 00:25:08.012]  Hey, let's keep this rolling underneath our guests.
[00:25:08.052 --> 00:25:09.093]  I'm going to try to control myself.
[00:25:09.153 --> 00:25:10.233]  I'm going to sit here and write notes.
[00:25:10.273 --> 00:25:12.395]  I'm going to shut up for 10 minutes.
[00:25:12.495 --> 00:25:14.756]  Peter Joseph, creator of Zeitgeist.
[00:25:16.058 --> 00:25:25.865]  And you just run with what you're really saying overall, trying to encapsulate it all, and then I'll come in with some of my primitive musings here.
[00:25:26.005 --> 00:25:27.926]  My feeble mind will try to grasp it.
[00:25:28.747 --> 00:25:33.270]  But again, I want to say overall, I think your film's healthy and thought-provoking.
[00:25:33.590 --> 00:25:40.635]  I think these discussions are important, and people shouldn't allow institutionalized religion or anything to shudder
[00:25:41.175 --> 00:25:44.679]  Alright, well the first thing we need to discuss is the monetary system itself.
[00:25:57.358 --> 00:25:57.558]  I think.
[00:26:12.628 --> 00:26:15.310]  Behavioral complexes that society has ever seen.
