[00:00:04.622 --> 00:00:06.305]  There's too much confusion.
[00:16:06.983 --> 00:16:08.103]  I mean, it's transparent.
[00:16:08.163 --> 00:16:10.265]  They did this in front of everyone.
[00:16:10.665 --> 00:16:12.726]  This is incredibly criminal.
[00:16:13.166 --> 00:16:18.189]  This is an incredibly criminal act that they're doing, and this shows me they're going for broke.
[00:16:18.249 --> 00:16:19.350]  I think this is just the start.
[00:16:19.931 --> 00:16:22.664]  And I think one way to look at it is this is kind of an economic 9-11.
[00:16:24.230 --> 00:16:35.538]  And I think they are going for broke in terms of destroying the American economy so that they can come back with a whole new globalist approach and sell that to a desperate people.
[00:16:35.938 --> 00:16:38.940]  We'll start seeing things like the North American Union.
[00:16:38.960 --> 00:16:39.721]  They've already said that!
[00:16:39.741 --> 00:16:40.901]  They've already kissed the European Union.
[00:16:41.522 --> 00:16:46.265]  The Amaro, you know, replacing the dollar, national sovereignty in the trash can.
[00:16:46.785 --> 00:16:50.748]  And these are things that normally people would not tolerate.
[00:16:51.089 --> 00:16:57.514]  But their idea is to get people in such a panic that they will look for the savior.
[00:16:57.554 --> 00:17:03.758]  You know, this is Weimar Republic type stuff that we're going back to in the United States of America.
[00:17:04.339 --> 00:17:04.919]  Unbelievable.
[00:17:04.939 --> 00:17:05.579]  You're absolutely right.
[00:17:05.600 --> 00:17:06.060]  Stay there, sir.
[00:17:06.080 --> 00:17:06.640]  We're going to break.
[00:17:07.081 --> 00:17:12.505]  We have Congressman Dan Hamburg on with us, more congressmen coming up, sitting congressmen.
[00:17:12.965 --> 00:17:15.006]  Ladies and gentlemen, this is happening.
[00:17:15.607 --> 00:17:18.189]  Remember almost three years ago, we snuck in the Bilderberg Group.
[00:17:18.849 --> 00:17:19.810]  We got the information out.
[00:17:19.830 --> 00:17:24.833]  We said they're going to start the implosion by restricting credit on the subprime mortgages.
[00:17:25.534 --> 00:17:26.715]  They are going to engineer this.
[00:17:26.815 --> 00:17:27.555]  We're on record.
[00:17:27.575 --> 00:17:28.536]  Okay?
[00:17:28.636 --> 00:17:29.857]  And now, how did it happen?
[00:17:30.397 --> 00:17:31.438]  Because they run things.
[00:17:31.478 --> 00:17:32.859]  They are orchestrating all of this.
[00:17:33.079 --> 00:17:35.961]  In fact, we're going to skip this break for the PrisonPlanet.TV viewers.
[00:17:38.303 --> 00:17:40.484]  Congressman, I'm going to skip this break so we don't waste any time.
[00:17:40.504 --> 00:17:41.345]  This is too important.
[00:17:41.625 --> 00:17:45.247]  So we're only here for the internet streams and the TV viewers.
[00:17:48.442 --> 00:17:54.643]  We also have a big story about a known government asset putting out a hoax that all the banks were going to close next week.
[00:17:54.723 --> 00:17:56.524]  I want to get your take on that later.
[00:17:56.564 --> 00:18:01.445]  But other points you want to make right now, sir, about ways to counter this and where you see this going?
[00:18:02.745 --> 00:18:07.666]  Well, I think the best way to counter this, as I said before, is information.
[00:18:07.846 --> 00:18:16.208]  And I think that the place we're really going to get into trouble, and I think they've already prepared themselves for this, is shutting down of the Internet.
[00:18:17.248 --> 00:18:29.869]  And Stanford professor recently said that this is in the works and there is a plan for a so-called E-terror attack.
[00:18:30.310 --> 00:18:34.072]  Which will necessitate the government taking much stricter control over the internet.
[00:18:35.052 --> 00:18:39.034]  So, that's something... That's right, he openly talked about it.
[00:18:39.354 --> 00:18:41.715]  Internet too, that they're setting it all up.
[00:18:42.075 --> 00:18:43.495]  Regulations, taxation.
[00:18:45.016 --> 00:18:51.018]  YouTube and Google have now accepted Senator Lieberman's deal that whatever the government says take off, they take off.
[00:18:51.298 --> 00:18:52.319]  I mean, it's already happening.
[00:18:53.072 --> 00:18:59.015]  Well, yeah, and it's much like the Patriot Act, which was all written and ready to go when 9-11 happened.
[00:18:59.075 --> 00:19:04.879]  Strangely enough, they had this, you know, thousand-plus page bill already written when 9-11 happened.
[00:19:05.319 --> 00:19:14.664]  And I think that is a tremendous threat, because I think the Internet is an incredible organizing tool right now that those of us who are
[00:19:16.741 --> 00:19:20.504]  You know, totally against what we see our government doing.
[00:19:20.524 --> 00:19:24.948]  I think this is a way we do pull ourselves together and communicate with each other.
[00:19:24.968 --> 00:19:39.160]  And even to the extent of, you know, the protests that went on around the country against this bailout bill were organized by, you know, one guy in New York City who put out an email to a bunch of his friends and the thing
[00:19:39.659 --> 00:19:41.339]  You know, just just mushroomed.
[00:19:41.720 --> 00:19:56.363]  And that's the way I see people taking to the streets in this country is communicating with each other through the Internet and setting up, you know, mass protests and mass actions, which which, you know, will they work?
[00:19:56.523 --> 00:19:57.043]  I don't know.
[00:19:57.163 --> 00:20:03.665]  But I do think people are getting to the point where, you know, they're just not going to sit back in their
[00:20:04.204 --> 00:20:04.685]  I think so.
[00:20:15.962 --> 00:20:21.384]  To try to shore up the economy of the country because they just don't have the money to spend any longer.
[00:20:21.904 --> 00:20:28.707]  So I think things are spiraling and I think things are happening very fast right now.
[00:20:29.127 --> 00:20:38.190]  But I think the good news is that the United States of America is going to have to pay the piper at some point.
[00:20:38.601 --> 00:20:45.389]  For all the things that have gone on in the last whatever, you know... Stay there, we're coming back to the full audience.
[00:20:45.449 --> 00:20:46.129]  Stay there, stay there.
[00:20:46.149 --> 00:20:46.350]  Here we go.
[00:20:51.221 --> 00:20:54.382]  Congressman Dan Hamburg is our guest.
[00:20:54.983 --> 00:20:57.624]  He's been predicting and writing about the martial law takeover.
[00:20:58.184 --> 00:20:59.324]  Something else is happening.
[00:21:00.185 --> 00:21:04.427]  I was at a little restaurant yesterday grabbing some tacos and I heard people talking about, did you hear?
[00:21:04.927 --> 00:21:06.488]  All the banks will be shut next week.
[00:21:06.568 --> 00:21:07.808]  Everything's going to shut down.
[00:21:08.208 --> 00:21:08.668]  It's over.
[00:21:08.768 --> 00:21:09.609]  Runs on the banks.
[00:21:10.540 --> 00:21:19.005]  Then I got back to the office and Rob was in there going, man, I'm getting all these emails from family and people that aren't even into this stuff about how all the banks are going to shut down next week.
[00:21:19.405 --> 00:21:20.746]  And it wouldn't really say where it was from.
[00:21:20.786 --> 00:21:26.909]  We tracked it back to a reported white supremacist who is a caricature of white supremacists.
[00:21:26.929 --> 00:21:29.871]  And I'm not defending white supremacists, but it's very clownish.
[00:21:30.671 --> 00:21:31.912]  And it's Hal Turner.
[00:21:31.932 --> 00:21:33.093]  I don't like giving the guy attention.
[00:21:34.697 --> 00:21:39.122]  And he says things, you know, that if I said them or somebody else said them, he'd be arrested.
[00:21:39.162 --> 00:21:51.196]  He says, go, you know, blast judges, politicians, go physically attack people, names names, you know, does ridiculous parodies of black people, calling them just every name in the book.
[00:21:53.138 --> 00:22:10.874]  And then of course it turns out that he's tied in with these white supremacist groups that it turned out the leaders are feds and then it did come out, the story's up on Infowars.com and PrisonPlanet.com and it's titled, a Paul Watson story, Hoax Bank Closure Story Peddles Bailout Propaganda.
[00:22:11.375 --> 00:22:17.960]  No surprise we learn the source of the hoax is Hal Turner who was exposed earlier this year as an FBI informant.
[00:22:18.661 --> 00:22:26.910]  Posing as a white supremacist, and he's the guy that comes out with with with Amaro coins that some private mint does and then discredits the fact that they are setting up an Amaro.
[00:22:27.290 --> 00:22:33.196]  Or he's the guy that hoax after hoax after hoax after hoax after hoax, but the the the story he put out
[00:22:33.937 --> 00:22:37.680]  Says we've got to have the bailout or everything's destroyed.
[00:22:37.720 --> 00:22:39.402]  So it also always has an angle.
[00:22:39.762 --> 00:22:42.444]  Now this will be used to criticize the internet.
[00:22:42.504 --> 00:22:48.489]  CNN hired reporters to then put out fake stories about Steve Jobs having a heart attack yesterday.
[00:22:48.849 --> 00:22:51.852]  Now CNN's saying we better shut down the web and restrict free speech.
[00:22:52.112 --> 00:22:54.894]  Look what independent people do, but the guy works for them.
[00:22:55.615 --> 00:22:58.118]  And then they're also saying they want to shut the web down, censor it.
[00:22:58.438 --> 00:23:06.647]  We were just talking about it behind the scenes on the internet streams, not just the MNFM, but during the break at PrisonPlanet.tv with our guest, the Congressman.
[00:23:07.508 --> 00:23:12.814]  So, Internet2, Lieberman, YouTube and Google are now banning whatever the government wants.
[00:23:13.294 --> 00:23:16.455]  I mean, it's happening, and they're using people like this to do it.
[00:23:16.515 --> 00:23:19.216]  And this is what can cause bank runs, ladies and gentlemen.
[00:23:19.236 --> 00:23:20.797]  You've heard Bush saying, bank run, bank run.
[00:23:21.017 --> 00:23:21.978]  We don't want bank runs.
[00:23:22.258 --> 00:23:23.038]  Your money's safe.
[00:23:23.098 --> 00:23:23.578]  Bank run.
[00:23:23.758 --> 00:23:25.199]  You know, trying to make people bank run.
[00:23:25.479 --> 00:23:28.420]  The government wants to make this worse right now.
[00:23:28.760 --> 00:23:29.280]  Congressman?
[00:23:30.281 --> 00:23:31.341]  Well, I think that's right.
[00:23:31.421 --> 00:23:34.423]  You know, I think the worse it gets, the more people panic.
[00:23:35.163 --> 00:23:42.926]  And we know from Hitler's Minister of Propaganda, Joseph Goebbels, that there's nothing that makes people more malleable than when they're in a state of panic.
[00:23:43.436 --> 00:23:48.501]  And they want, you know, anything that will relieve their panic, they will go for.
[00:23:48.541 --> 00:23:50.944]  And this is the bet that they're making.
[00:23:51.084 --> 00:24:06.160]  They're believing that if they, you know, they've already shredded the Constitution, and they believe that now if they, you know, tank the economy, they will frighten people, and then they will come up with their plan to save them.
[00:24:06.893 --> 00:24:18.539]  And it'll be us, the people, the citizens of this country, the people who with our taxes have been supporting this entire charade, who are going to be left
[00:24:19.830 --> 00:24:22.352]  You know, with basically nothing.
[00:24:22.412 --> 00:24:39.325]  I mean, I think the strategy is to put all of us ordinary people in a subservient position where we no longer really have anything to say about the way we're governed, and we enter this new world order in which the global economy
[00:24:39.835 --> 00:24:46.677]  And a small financial, military, political, industrial elite makes all the decisions for the rest of us.
[00:24:47.137 --> 00:24:55.680]  And really, you know, some people have said that the problem with this bailout is that, you know, we have capitalism on the way up and socialism on the way down.
[00:24:56.060 --> 00:25:01.642]  But the characterization that makes more sense to me is that we're now in an area of authoritarian capitalism.
[00:25:02.282 --> 00:25:05.983]  And we the people are not the authorities.
[00:25:06.423 --> 00:25:06.884]  That's right.
[00:25:06.984 --> 00:25:13.029]  They privatize profit and they socialize loss and they pass it on to the average people.
[00:25:13.249 --> 00:25:13.990]  It's feudalism.
[00:25:14.270 --> 00:25:14.671]  Stay there.
[00:25:14.691 --> 00:25:16.793]  We'll be back in one minute for five more minutes with our guest.
[00:25:18.874 --> 00:25:20.236]  You are listening to GCN.
[00:25:20.276 --> 00:25:23.499]  Visit GCNlive.com today.
[00:25:27.674 --> 00:25:30.216]  Terror Storm, a history of government-sponsored terror.
[00:25:30.536 --> 00:25:31.817]  Loose Change, Final Cut.
[00:25:32.097 --> 00:25:34.079]  Endgame, Blueprint for Global Enslavement.
[00:25:34.239 --> 00:25:36.000]  The True Story of the Bilderberg Group.
[00:25:36.140 --> 00:25:37.381]  The Late Great USA.
[00:25:37.641 --> 00:25:39.042]  America, Freedom to Fascism.
[00:25:39.403 --> 00:25:46.247]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:25:46.428 --> 00:25:50.370]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:25:50.511 --> 00:25:53.893]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:25:54.193 --> 00:25:54.654]  We're good to go.
[00:26:14.188 --> 00:26:24.433]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:26:24.793 --> 00:26:26.334]  Join the info war today!
[00:26:30.136 --> 00:26:32.057]  Waging war on corruption!
[00:26:32.537 --> 00:26:35.279]  Alex Jones on the GCN Radio Network!
[00:26:43.956 --> 00:26:46.839]  We are now into our number four.
[00:26:48.000 --> 00:26:51.023]  Coming up in about 15 minutes, Congressman Brad Sherman.
[00:26:51.043 --> 00:26:55.027]  It was told, vote for this or we'll declare physical martial law.
[00:26:55.848 --> 00:26:58.630]  Ron Paul, probably popping in.
[00:27:00.092 --> 00:27:01.633]  Comment on the bailout passing.
[00:27:01.653 --> 00:27:03.175]  This is the banker takeover.
[00:27:03.935 --> 00:27:06.017]  Former Congressman Dan Hamburg joins us.
[00:27:07.076 --> 00:27:13.550]  Written major articles for major publications detailing how they were planning this controlled financial implosion 16 months ago.
[00:27:13.570 --> 00:27:16.356]  It was one of the bigger ones in the San Francisco Chronicle.
[00:27:17.657 --> 00:27:18.897]  He's with us for about five more minutes.
[00:27:19.618 --> 00:27:21.478]  You heard him say they're coming after the web.
[00:27:21.518 --> 00:27:22.518]  They're attacking the web.
[00:27:22.558 --> 00:27:23.679]  That's their main target.
[00:27:24.099 --> 00:27:26.539]  And a false flag attack that's even come out in mainstream news.
[00:27:26.599 --> 00:27:28.880]  They launch regulations, taxes.
[00:27:28.920 --> 00:27:29.700]  It's all happening.
[00:27:30.120 --> 00:27:38.302]  And they have their reported agents, FBI informant, their reported FBI informant, putting out a hoax that's gotten traction I've never seen.
