[00:00:00.009 --> 00:00:02.410]  Justin Texas, Alex Jones.
[00:17:37.552 --> 00:17:40.234]  It doesn't matter if it's a total dictatorship down there.
[00:17:40.774 --> 00:17:41.595]  It's the same thing here.
[00:17:41.635 --> 00:17:43.016]  They're fighting terrorism.
[00:17:43.316 --> 00:17:44.537]  Thanks for the call, Carlos.
[00:17:45.177 --> 00:17:46.498]  Let's talk to Rick in Indiana.
[00:17:46.578 --> 00:17:47.319]  Rick, you're on the air.
[00:17:47.339 --> 00:17:50.581]  Alright, Alex, good to talk to you, man.
[00:17:50.661 --> 00:17:52.583]  First-time caller, long-time listener.
[00:17:53.720 --> 00:17:56.221]  I want to read something to you first, man, because I know that you get stressed out.
[00:17:56.261 --> 00:17:57.242]  I can see it on the video.
[00:17:57.282 --> 00:17:58.302]  I can see it on your face.
[00:17:58.322 --> 00:18:09.127]  I understand you get worked up, but I know you're a Christian, and one of the things I want to share with you is, for everything that was written in the past was written to teach us, so that through endurance and the encouragement of the Scriptures, we might have hope.
[00:18:09.907 --> 00:18:11.028]  So keep the light bright, brother.
[00:18:11.048 --> 00:18:11.548]  Keep it going.
[00:18:12.788 --> 00:18:16.190]  Listen, I work for a broadcast network that you used to be on globally.
[00:18:16.830 --> 00:18:23.133]  It was on shortwave and also on one of our FM frequencies, and I asked why you were polled a while back, because
[00:18:23.755 --> 00:18:25.356]  They pulled you before I actually started working for the company.
[00:18:25.376 --> 00:18:27.256]  I thought, well, why would they pull this show?
[00:18:28.237 --> 00:18:34.499]  You know, because you didn't do anything or didn't say anything on the air that really affected anyone in particular.
[00:18:35.279 --> 00:18:38.620]  So I started looking into it and then I was basically told to quit asking questions.
[00:18:39.301 --> 00:18:40.101]  You don't want to go there.
[00:18:40.821 --> 00:18:46.983]  So I started doing some investigating, got to know some people and some higher-ups in the company and one of the things I asked was, you know, hey, what do you feel about the NAU?
[00:18:47.924 --> 00:18:50.304]  And one of the things they looked at me kind of funny, like, what do you mean?
[00:18:50.785 --> 00:18:51.885]  You know, they gave me a look like,
[00:18:52.657 --> 00:18:53.917]  Ah, whatever, I'm not worried about that.
[00:18:54.397 --> 00:18:57.178]  You know, that's just a bunch of malarkey or one of the conspiracy theorists.
[00:18:57.758 --> 00:18:59.379]  But yet, they had a concern on the CFR.
[00:19:00.479 --> 00:19:05.340]  So I thought, you know, this is a Christian company that I work for that's supposed to uphold the truth in all things.
[00:19:06.240 --> 00:19:12.742]  And yet, here we are, we're bending backwards for the all-powerful dollar that just keeps seeming to fade.
[00:19:13.502 --> 00:19:18.023]  And it just makes me wonder, you know, what can somebody in my position
[00:19:19.193 --> 00:19:24.157]  Anybody that would be in this position would want to know what's going on, and here I am.
[00:19:24.217 --> 00:19:25.778]  Well, you know, that's what happens.
[00:19:25.818 --> 00:19:37.947]  They need to destroy me because I'm a symbol of the resistance, and people need to realize that they're trying to destroy, and I haven't wanted to be one of the symbols or one of the icons of resistance, but they do that.
[00:19:38.087 --> 00:19:43.552]  So, I've been thrown off a lot of networks, a lot of affiliates, a lot of sub-networks,
[00:19:44.811 --> 00:19:49.473]  for talking about 9-11 being an inside job for the things I've done but that isn't enough for the enemy.
[00:19:49.533 --> 00:19:57.415]  They then have to fool the weak-minded out there and they come out and say Alex Jones works for ABC.
[00:19:58.615 --> 00:20:11.219]  Now it isn't true but they repeat it and they say it to then try to discredit me and they don't care what the truth is.
[00:20:11.279 --> 00:20:12.960]  People want to believe a good yarn.
[00:20:15.427 --> 00:20:18.150]  Truth is, there are three radio satellites.
[00:20:18.250 --> 00:20:20.653]  Anybody can go lease a feed on them.
[00:20:21.875 --> 00:20:23.816]  And we're on an ABC Star Guide.
[00:20:24.536 --> 00:20:32.540]  We used to also rent a Clear Channel Star Guide, but they didn't tell us when we signed up for it that they wouldn't give the de-scrambling code.
[00:20:33.281 --> 00:20:38.463]  Station owners and managers don't know how ridiculous this rumor that I work for ABC is, because they understand.
[00:20:38.483 --> 00:20:39.604]  You have three kinds of receivers.
[00:20:40.004 --> 00:20:43.826]  A Jones receiver, an ABC receiver, or a Star Guide receiver.
[00:20:43.846 --> 00:20:45.407]  They're about to come out with some new systems.
[00:20:46.307 --> 00:20:47.908]  You know, to get radio.
[00:20:48.689 --> 00:20:51.111]  People say, well, XM too, but that's separate.
[00:20:51.231 --> 00:20:55.474]  And we wanted to get on there, and Clare Channel owns and controls that and won't put us on there as well.
[00:20:55.754 --> 00:20:56.854]  They know we have a big audience.
[00:20:57.755 --> 00:21:09.183]  So we're censored at every quarter, and so we found out that most stations have ABC receivers, and so we go out and lease one of those, and then they say, oh, we work for ABC, we're an affiliate of ABC.
[00:21:09.783 --> 00:21:11.645]  That's like if I have an AT&T cell phone.
[00:21:12.734 --> 00:21:15.215]  No, I'm not with AT&T or if I have a Sony camera.
[00:21:15.555 --> 00:21:16.615]  I don't work for Sony.
[00:21:16.635 --> 00:21:19.356]  I have, you know, it's like I have Time Warner cable.
[00:21:20.197 --> 00:21:21.277]  I have service from them.
[00:21:23.338 --> 00:21:25.699]  It's not that I work for Time Warner, but stay there.
[00:21:25.719 --> 00:21:27.979]  I want to talk to you during the break because I don't know what network you're talking about.
[00:21:28.680 --> 00:21:35.502]  We're on the run.
[00:21:35.662 --> 00:21:38.343]  Alex Jones and the GCN Radio Network.
[00:21:41.747 --> 00:21:48.152]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:21:48.512 --> 00:21:50.473]  The enemy struck America on September 11th.
[00:21:51.154 --> 00:21:52.174]  But who is the enemy?
[00:21:52.695 --> 00:21:53.215]  Bin Laden.
[00:21:53.495 --> 00:21:54.336]  This is his ammo.
[00:21:54.376 --> 00:21:55.817]  We have to look to the Middle East.
[00:21:55.857 --> 00:21:57.518]  We have to look to Osama Bin Laden.
[00:21:57.858 --> 00:22:04.603]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:22:05.003 --> 00:22:05.464]  Some U.S.
[00:22:05.484 --> 00:22:11.168]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:22:11.828 --> 00:22:15.309]  I'm aware that some Israeli citizens have been detained.
[00:22:15.329 --> 00:22:25.573]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:22:25.793 --> 00:22:26.553]  Fabled enemies.
[00:22:27.033 --> 00:22:34.376]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:22:34.776 --> 00:22:38.137]  Either you are with us or you are with the terrorists.
[00:22:41.536 --> 00:22:44.578]  You ever have one of those days where everything goes right?
[00:22:44.958 --> 00:22:47.020]  First, I get the best parking space at work.
[00:22:47.260 --> 00:22:50.282]  Tonight, I have a date with a very lovely Rachel.
[00:22:50.562 --> 00:22:57.047]  And today, I gave a killer presentation in Sydney, finalized the contract in London, and demoed our new product in Boston.
[00:22:57.447 --> 00:22:59.549]  Online, from my desk, with Webex.
[00:23:00.049 --> 00:23:03.130]  Webex lets me take meetings and give presentations from my desk.
[00:23:03.351 --> 00:23:07.993]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:23:08.133 --> 00:23:11.834]  So I can travel the world and still be here for my date tonight with Rachel.
[00:23:12.075 --> 00:23:13.615]  Travel less, meet online.
[00:23:13.695 --> 00:23:16.197]  Go to Webex.com and try Webex free.
[00:23:16.377 --> 00:23:21.979]  Just click the radiographic and enter promo code 500 to get a free trial and a free webcam too.
[00:23:22.299 --> 00:23:23.080]  Remember that code 500.
[00:23:23.800 --> 00:23:24.300]  We're good.
[00:23:41.622 --> 00:23:47.288]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:23:47.568 --> 00:23:52.353]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:23:52.613 --> 00:23:57.398]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:23:57.398 --> 00:23:57.918]  I think?
[00:24:16.008 --> 00:24:21.750]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[00:24:21.990 --> 00:24:27.032]  Disease organisms, like bacteria and cancer, cannot survive in an alkaline environment.
[00:24:27.252 --> 00:24:32.914]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:24:32.994 --> 00:24:35.215]  That's A-L-K-A-Vision.com.
