[00:00:00.669 --> 00:00:01.770]  Government cover-ups.
[00:03:11.974 --> 00:03:14.315]  So we're going to go over that article as well.
[00:03:14.576 --> 00:03:15.336]  Dennis Kucinich.
[00:03:16.177 --> 00:03:17.898]  I think he's one of the heroes of the year.
[00:03:18.418 --> 00:03:23.201]  Um, obviously Ron Paul is up there, but Dennis Kucinich didn't let it flicker out.
[00:03:23.241 --> 00:03:24.241]  Didn't let it fade out.
[00:03:24.342 --> 00:03:25.482]  Went for the throat.
[00:03:26.003 --> 00:03:27.443]  Okay.
[00:03:27.463 --> 00:03:28.664]  35 articles of impeachment.
[00:03:28.724 --> 00:03:30.645]  I don't think it's been talked about enough.
[00:03:32.146 --> 00:03:33.307]  I don't think it's been talked about.
[00:03:33.726 --> 00:03:34.086]  Enough!
[00:03:35.366 --> 00:03:40.028]  Okay, and by the way, folks, I want to take your calls in this first half hour, especially if you've seen Truth Rising.
[00:03:40.568 --> 00:03:42.248]  We'll try to bump you to the front of the line.
[00:03:42.268 --> 00:03:43.488]  I want to get your opinions on it.
[00:03:43.848 --> 00:03:47.589]  I know we've had thousands of downloads over at PrisonPlanet.tv.
[00:03:47.969 --> 00:03:50.870]  I know it's been uploaded, I think, somewhere to YouTube already.
[00:03:51.110 --> 00:03:53.511]  It's going to be on Google Video shortly, if it's not already there.
[00:03:53.531 --> 00:03:54.631]  Like I said, the torrents are wild.
[00:03:54.651 --> 00:03:57.672]  So if you've seen the movie, please call in and let us know what you think.
[00:03:59.052 --> 00:04:00.812]  Anyway, Kucinich.
[00:04:01.052 --> 00:04:01.873]  35 articles of impeachment.
[00:04:02.093 --> 00:04:03.173]  Not an easy task.
[00:04:03.826 --> 00:04:06.747]  Three plus hours before the house, and this wasn't prime house time.
[00:04:06.787 --> 00:04:11.467]  I mean, I think he went on around 9 o'clock Eastern.
[00:04:11.928 --> 00:04:13.448]  Maybe a little bit before 9 Eastern.
[00:04:13.648 --> 00:04:14.308]  That's pretty late.
[00:04:14.728 --> 00:04:17.469]  And he stood for over three hours.
[00:04:18.449 --> 00:04:19.049]  He covered it all.
[00:04:19.089 --> 00:04:21.109]  He covered the domestic wiretapping.
[00:04:21.869 --> 00:04:22.170]  Okay?
[00:04:22.510 --> 00:04:23.590]  He covered the torture.
[00:04:24.770 --> 00:04:26.210]  He covered the outright tearing.
[00:04:26.290 --> 00:04:28.351]  He even covered 9-11 in the last three.
[00:04:28.391 --> 00:04:29.891]  What else could we ask for, folks?
[00:04:30.811 --> 00:04:31.913]  It's the Alex Jones Show!
[00:04:31.953 --> 00:04:36.219]  PrisonPlanet.com, InfoWars.com, 9-11 Truth Rising is out!
[00:04:53.527 --> 00:04:56.070]  Hemp, the superfood for you and your family.
[00:04:56.470 --> 00:04:59.734]  Hemp has nutritional values that far exceed any known plant.
[00:05:00.234 --> 00:05:03.658]  Hemp, used for food, clothing, and shelter since time began.
[00:05:04.018 --> 00:05:11.086]  Hemp, this God-given food source is controlled by your government, making it not legal to grow for American people and farmers, but legal to import.
[00:05:11.426 --> 00:05:14.690]  Our Founding Fathers grew hemp because they knew of the benefits it offered.
[00:05:14.971 --> 00:05:18.815]  The protein powder, seeds, and oil are available through hempusa.org.
[00:05:19.156 --> 00:05:30.249]  Recommended daily intake of this food source will allow the body to heal itself from many ailments loaded with potassium, magnesium, calcium, essential fatty acids, amino acids, and nutrients not available in other plants.
[00:05:30.569 --> 00:05:34.872]  Hemp can be stored with a long shelf life as a life-sustaining food source for you and your family.
[00:05:35.072 --> 00:05:36.953]  Could this be the government's best-kept secret?
[00:05:37.193 --> 00:05:43.437]  Call today at 908-691-2608 and see what the powder, seeds, and oil can do for you.
[00:05:43.797 --> 00:05:47.119]  Learn, help, shop at hempusa.org.
[00:05:47.279 --> 00:05:48.360]  We do not charge for shipping.
[00:05:48.420 --> 00:05:53.002]  That's 908-691-2608 or go to hempusa.org today.
[00:05:53.983 --> 00:05:55.404]  It is a big idea.
[00:05:55.424 --> 00:05:57.525]  A new world order.
[00:05:58.245 --> 00:05:58.986]  In the near future.
[00:06:00.040 --> 00:06:02.601]  Earth is dominated by a powerful new world government.
[00:06:03.102 --> 00:06:05.903]  It's known as the Bilderberg Group.
[00:06:05.923 --> 00:06:08.185]  Could their objective be world domination?
[00:06:08.725 --> 00:06:11.186]  For thousands of years, their dark order grew.
[00:06:11.907 --> 00:06:19.231]  Now, as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[00:06:22.267 --> 00:06:27.230]  For the first time in history, the elite's plan for world government is blown wide open.
[00:06:27.691 --> 00:06:31.173]  You will learn the secret that drives the entire New World Order agenda.
[00:06:31.573 --> 00:06:34.055]  Build America is making great progress toward a world government.
[00:06:34.135 --> 00:06:35.276]  Most people have no idea.
[00:06:35.296 --> 00:06:36.056]  They're not after money.
[00:06:36.076 --> 00:06:37.157]  They have all the money they need.
[00:06:37.377 --> 00:06:38.058]  They're after power.
[00:06:38.338 --> 00:06:39.018]  That's their aphrodisiac.
[00:06:39.499 --> 00:06:44.022]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:06:44.242 --> 00:06:47.744]  Or watch it online right now at PrisonPlanet.tv.
[00:06:48.204 --> 00:06:50.546]  Endgame, blueprint for global enslaving.
[00:06:51.026 --> 00:06:52.067]  You have been warned.
[00:06:54.670 --> 00:06:59.977]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:07:00.338 --> 00:07:02.601]  At LaysMedInc, the future is here.
[00:07:02.981 --> 00:07:06.426]  Now it's cancer's turn to die with our patented methodology.
[00:07:06.646 --> 00:07:09.570]  Without cutting, bleeding, drugs or damaging radiation.
[00:07:09.750 --> 00:07:17.878]  We can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[00:07:18.038 --> 00:07:21.122]  We offer a real solution using real science.
[00:07:21.522 --> 00:07:25.306]  Our unique approach to cancer treatment is what everyone has been waiting for.
[00:07:25.606 --> 00:07:28.787]  A simple, easy way to eliminate the threat of cancer.
[00:07:29.067 --> 00:07:31.128]  LASER technology at its best.
[00:07:31.348 --> 00:07:34.869]  To receive an information packet, call our treatment center at 501-255-0528.
[00:07:34.929 --> 00:07:35.549]  That's 501-255-0528.
[00:07:35.689 --> 00:07:38.010]  Or visit our website at lasmedinc.com.
[00:07:38.230 --> 00:07:40.171]  That's L-A-S-E-M-E-D-I-N-C dot com today.
[00:07:57.816 --> 00:08:01.999]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:02.639 --> 00:08:03.460]  You want answers?
[00:08:04.240 --> 00:08:05.141]  Well, so does he.
[00:08:05.781 --> 00:08:09.384]  He's Alex Jones on the GCN Radio Network.
[00:08:09.984 --> 00:08:14.087]  And now, live from Austin, Texas, Alex Jones.
[00:08:16.468 --> 00:08:18.290]  Alright, ladies and gentlemen, we are back.
[00:08:18.930 --> 00:08:21.512]  It is the 4th of July, 2008, Independence Day.
[00:08:24.827 --> 00:08:33.891]  And coming up, we're going to be talking about some street actions out in Philadelphia, Liberty Bell stuff, I mean, the actual Founding Fathers stuff, folks, and people are doing it.
[00:08:34.431 --> 00:08:40.434]  And that's what 9-11 Chronicles Truth Rising, this is just part one, by the way, is all about.
[00:08:40.754 --> 00:08:50.378]  It's all about showing you that we have incredible power, that the 9-11 Truth Movement is many different people, and we can make a difference.
[00:08:50.398 --> 00:08:50.898]  Let me say it again.
[00:08:51.298 --> 00:08:53.219]  We can make a difference.
[00:08:54.076 --> 00:08:57.597]  And it's these different groups that are doing amazing, amazing things.
[00:08:59.138 --> 00:09:18.704]  For instance, Luke Rudowsky shows you how somebody who's not even old enough to drink, let me say that again, can't even buy a beer in a bar, folks, when he started doing this, can confront global elitists, global tyrants, such as Zygmunt Brzezinski, okay?
[00:09:18.824 --> 00:09:19.304]  Big time.
[00:09:19.664 --> 00:09:22.065]  David Rockefeller, one of the top guys at the apex.
[00:09:23.922 --> 00:09:24.222]  Alright?
[00:09:25.643 --> 00:09:26.543]  Michael Bloomberg.
[00:09:27.003 --> 00:09:28.043]  Michael Bloomberg alone.
[00:09:28.103 --> 00:09:30.504]  I can't... Do you understand how much power that man has?
[00:09:31.365 --> 00:09:31.965]  Billionaire?
[00:09:32.025 --> 00:09:32.665]  Bloomberg?
[00:09:33.305 --> 00:09:33.625]  Come on.
[00:09:34.206 --> 00:09:34.786]  Get with it.
[00:09:36.126 --> 00:09:36.866]  Mayor of New York.
[00:09:38.427 --> 00:09:39.107]  It's incredible.
[00:09:39.127 --> 00:09:43.069]  I mean, he gets on the subway and all this stuff, by the way, is in 9-11 Chronicles Truth Rising.
[00:09:44.429 --> 00:09:48.090]  Among other great stuff, I mean, I just want to talk about the activism right now.
[00:09:48.150 --> 00:09:49.911]  I mean, Gary Hart, former senator,
[00:09:50.575 --> 00:09:51.275]  We're good to go.
[00:10:20.367 --> 00:10:21.107]  It's unbelievable.
[00:10:21.628 --> 00:10:22.528]  It's like doublespeak.
[00:10:23.349 --> 00:10:26.811]  It's like as long as he denies that he's not agreeing with the guy, he can agree with him.
[00:10:28.752 --> 00:10:32.734]  And I want people to get this film over at PrisonPlanet.tv in super high quality.
[00:10:32.775 --> 00:10:35.396]  Again, the DivX versions are all fixed.
[00:10:35.836 --> 00:10:40.659]  If you're having any kind of problem, I would say go to Download.com and get the latest version of the codec.
[00:10:40.679 --> 00:10:42.701]  Some people were saying they could only hear the audio.
[00:10:42.721 --> 00:10:44.301]  That means you don't have the correct video codec.
[00:10:44.322 --> 00:10:45.862]  You're probably running on Windows 2000 or Windows
[00:10:48.204 --> 00:10:48.724]  98, possibly.
[00:10:48.764 --> 00:10:49.024]  God.
[00:10:49.184 --> 00:10:50.185]  Or maybe even ME.
[00:10:50.325 --> 00:10:51.206]  God, remember those days?
[00:10:51.386 --> 00:10:53.207]  Folks, I guess they're not that far away.
[00:10:53.428 --> 00:10:55.149]  I used to run on those operating systems, too.
[00:10:55.529 --> 00:10:59.332]  But XP and Vista, it's built into the latest Windows Media Player.
[00:10:59.372 --> 00:11:00.113]  It should play great.
[00:11:00.593 --> 00:11:02.154]  Again, the quality is super high.
[00:11:02.194 --> 00:11:06.498]  Probably the highest we've ever offered any of Alex Jones' films.
[00:11:07.318 --> 00:11:12.482]  And the film, again, is unlike anything else Alex Jones has ever done.
[00:11:13.143 --> 00:11:13.863]  Ever, ever, ever.
[00:11:14.063 --> 00:11:16.185]  In fact, we should go and read some comments.
[00:11:17.870 --> 00:11:19.732]  On what people are saying about Truth Rising.
[00:11:19.752 --> 00:11:21.833]  I mean, it was getting five stars all over the place.
[00:11:22.174 --> 00:11:23.114]  It's spreading about.
[00:11:23.595 --> 00:11:24.356]  It's unbelievable.
[00:11:25.536 --> 00:11:27.818]  You know, and for a brief second, I want to talk about another movie.
[00:11:28.379 --> 00:11:35.745]  I go out on these file sharing networks quite a bit to get news, documentaries, PBS stuff, HDNet.
[00:11:36.105 --> 00:11:38.367]  In other words, like, you know, Dan Rather's news footage.
[00:11:40.669 --> 00:11:41.690]  And check out what's popular.
[00:11:42.611 --> 00:11:43.572]  See what the kids are watching.
[00:11:44.552 --> 00:11:44.813]  Well, on
[00:11:45.492 --> 00:11:46.533]  Some of the most popular ones.
[00:11:46.613 --> 00:11:51.116]  Loose Change Final Cut has around 10,000 seeders and 15,000 leechers.
[00:11:51.136 --> 00:11:51.696]  And that's great.
[00:11:51.716 --> 00:11:52.437]  That's unbelievable.
[00:11:52.477 --> 00:11:54.919]  That's, you know, tops.
[00:11:55.079 --> 00:11:59.722]  I mean, that's one of the top torrents probably in the few first hundred or thousand.
[00:11:59.742 --> 00:12:00.122]  That's great.
[00:12:00.583 --> 00:12:07.507]  However, in the top three, I mean, the third most popular torrent out there right now that I'm seeing is America Freedom to Fascism.
[00:12:08.068 --> 00:12:10.009]  Aaron Russo's amazing picture.
[00:12:10.890 --> 00:12:14.112]  Now you can get over here at the shop at InfoWars.com, by the way.
[00:12:15.663 --> 00:12:26.611]  And I'm just like, wow, so I'm reading some of these comments and these people are just shocked and amazed and to have 44,000 seeders is really almost unheard of the top Hollywood downloads.
[00:12:26.991 --> 00:12:29.933]  In other words, all the illegal rips out there don't get that many seeders.
[00:12:30.493 --> 00:12:33.856]  So whoever's seen that movie, thank you so much.
[00:12:34.696 --> 00:12:36.478]  And, uh, keep doing it.
[00:12:36.558 --> 00:12:37.598]  That's how we spread the truth.
[00:12:37.659 --> 00:12:42.482]  We, we communicate through the ways we know how it's not just about, you know, going in,
[00:12:43.863 --> 00:12:45.503]  And, uh, typing on a message board.
[00:12:45.723 --> 00:12:47.464]  It's about providing people with the information.
[00:12:47.524 --> 00:12:48.624]  It's about knocking on doors.
[00:12:48.704 --> 00:12:49.864]  It's about today.
[00:12:50.565 --> 00:12:50.965]  Today.
[00:12:51.965 --> 00:12:52.825]  The 4th of July.
[00:12:52.885 --> 00:12:54.586]  Many of you are in a car right now.
[00:12:54.786 --> 00:12:56.406]  On your way to the family.
[00:12:57.386 --> 00:12:59.007]  Or listening to your shortwave in your backyard.
[00:12:59.847 --> 00:13:01.147]  Getting ready to throw a barbecue.
[00:13:02.627 --> 00:13:04.288]  Or on the internet, pumping it on a speaker.
[00:13:05.588 --> 00:13:07.689]  And again, getting ready to greet your friends and family.
[00:13:07.729 --> 00:13:08.429]  Today's the day!
[00:13:08.969 --> 00:13:09.989]  To talk about this stuff.
[00:13:10.669 --> 00:13:13.390]  It's not just a day to barbecue and hang back, folks.
[00:13:14.241 --> 00:13:15.162]  Let me give you an example.
[00:13:15.982 --> 00:13:17.123]  I was out for the last week.
[00:13:17.163 --> 00:13:18.805]  I went out to New York.
[00:13:19.125 --> 00:13:19.926]  Good friend's wedding.
[00:13:20.906 --> 00:13:24.309]  I actually blogged about this experience because it was so heartening.
[00:13:24.849 --> 00:13:26.471]  I can't even tell you how heartening it was.
[00:13:26.491 --> 00:13:31.295]  It was basically a big get-together of people that I've known since I was yay high.
[00:13:31.315 --> 00:13:32.355]  I was like 12 years old.
[00:13:34.577 --> 00:13:35.778]  One of my friends was getting married.
[00:13:36.038 --> 00:13:37.520]  Of course, we're almost rocking 30 now.
[00:13:37.560 --> 00:13:38.160]  We're old people.
[00:13:39.641 --> 00:13:40.922]  I've been harping on this stuff since 2002.
[00:13:42.847 --> 00:13:48.389]  So to start off with, I ride up to this wedding up at the Thousand Islands, which is gorgeous, by the way, in New York.
[00:13:50.449 --> 00:14:03.113]  And I'm riding with my friend who's now a school teacher at my old school that I went to, and my other buddy who was ex-military, spent four years in the Army, and just missed going to Iraq.
[00:14:03.313 --> 00:14:04.553]  Thank God he didn't have to go.
[00:14:05.613 --> 00:14:06.034]  Thank God.
[00:14:06.334 --> 00:14:06.974]  Geez, man.
[00:14:06.994 --> 00:14:11.115]  One of my other buddies that I'll talk about later did have to go, of course, and boy, did that change his life.
[00:14:12.168 --> 00:14:15.710]  Anyway, he also worked TSA over in LaGuardia for about five years.
[00:14:16.691 --> 00:14:25.376]  And I've had talks with this guy before, and he's talked about the drills that they run, and the times that they have been able to get explosives through, or mock explosives, and he says it's always a drill.
[00:14:25.416 --> 00:14:28.278]  He's never caught a real terrorist out there, but that's besides the point.
[00:14:28.298 --> 00:14:32.821]  So, back in 2002, when I'm talking about this stuff, they had no idea.
[00:14:32.921 --> 00:14:35.743]  Jason, if this was true, everybody would know about it.
[00:14:35.803 --> 00:14:36.903]  Why is it secret?
[00:14:36.943 --> 00:14:37.844]  I don't understand.
[00:14:39.824 --> 00:14:41.665]  Well, it's the complete opposite.
[00:14:41.725 --> 00:14:45.447]  My friend just got done reading Behold the Pale Horse by William Cooper.
[00:14:47.187 --> 00:14:51.930]  Although I don't agree with everything in there, I think there is some good information in William Cooper's material.
[00:14:52.330 --> 00:14:54.011]  And he's like, this stuff is blowing my mind.
[00:14:54.051 --> 00:14:55.871]  He was reading a couple of Jim Mars books.
[00:14:56.672 --> 00:15:00.213]  They'd both seen, of course, my film, Alex's film.
[00:15:01.314 --> 00:15:03.775]  My one friend, Matt, had just seen Road to Tyranny.
[00:15:03.855 --> 00:15:04.976]  And he was like, man.
[00:15:05.516 --> 00:15:06.596]  He's like, I couldn't sleep.
[00:15:06.636 --> 00:15:08.037]  That film really scared me.
[00:15:08.860 --> 00:15:14.842]  And I'm like, yeah, it's scary material and that's what happened to me back in 2002 when I was trying to get you to watch that movie.
[00:15:16.502 --> 00:15:27.065]  So anyway, we get up to the Thousand Islands and I'm rooming with my other buddy from the military who did go to Iraq, my brother from another mother, Jason, another Jason.
[00:15:27.825 --> 00:15:28.725]  I like to call him Dino.
[00:15:30.906 --> 00:15:32.246]  And just a great time.
[00:15:32.286 --> 00:15:34.527]  And even talking to him, it seemed like he had woken up.
[00:15:34.567 --> 00:15:35.787]  He, you know, he doesn't
[00:15:36.618 --> 00:15:44.659]  He doesn't necessarily agree with me, but he knows that I seem to know a lot more about politics and he's just one of those guys who says, look man, I just want to take the blue pill.
[00:15:45.039 --> 00:15:46.120]  I don't want the red pill.
[00:15:47.200 --> 00:15:48.060]  I need the blue pill.
[00:15:48.900 --> 00:15:51.101]  I, uh, I can't handle this stuff.
[00:15:51.601 --> 00:15:53.761]  He's like, you know, I went overseas, blah, blah, blah, blah.
[00:15:54.661 --> 00:15:56.441]  But I told, I showed him a couple of videos.
[00:15:56.501 --> 00:15:59.302]  I showed him, uh, John Kansias and Saltwater Burns.
[00:15:59.582 --> 00:16:01.662]  And I wish that Alex had brought that up with David Icke.
[00:16:01.702 --> 00:16:05.423]  Maybe the next time David Icke's on, we can talk about frequencies and John Kansias.
[00:16:05.811 --> 00:16:08.312]  For those of you who don't know about that, check it out, Saltwater Burns.
[00:16:09.712 --> 00:16:15.334]  But anyway, the wedding that we went to on top of this was a totally Republican wedding.
[00:16:16.034 --> 00:16:24.517]  And by Republican wedding, I mean my friend who was getting married, she worked for Pataki's office for quite some time, so did her soon-to-be husband, who she married.
[00:16:25.497 --> 00:16:26.377]  I think that's where they met.
[00:16:27.497 --> 00:16:30.938]  Her father was my guidance counselor, total right-wing nutjob.
[00:16:33.186 --> 00:16:35.246]  It just, it was, it was funny, you know, the situation.
[00:16:35.326 --> 00:16:40.047]  But, me being me, I gave her a stack of movies as the gift.
[00:16:41.268 --> 00:16:51.670]  And I think I gave her, like, 15 or so movies, including, you know, LCFC, American Drug War, Washington, You're Fired, some of the loose DVDs that were around the office, of course, Endgame.
[00:16:52.610 --> 00:16:54.651]  My buddy, Nanofrio, also took an Endgame, by the way.
[00:16:55.751 --> 00:16:59.332]  So, I get back from the wedding, and all of a sudden, I get a phone call from my friend, Heidi.
[00:17:00.552 --> 00:17:01.072]  And she's like,
[00:17:01.758 --> 00:17:03.799]  I just want to thank you so much for the gift.
[00:17:03.919 --> 00:17:05.199]  We all think it's hilarious.
[00:17:05.239 --> 00:17:07.320]  And I'm like, well, you know, I gave you some money too.
[00:17:07.340 --> 00:17:08.561]  She's like, no, no, no, I know.
[00:17:08.581 --> 00:17:09.901]  She's like, but I think this is great.
[00:17:10.181 --> 00:17:11.642]  She's like, my entire family's here.
[00:17:11.962 --> 00:17:13.243]  We're going to pop in and lose change.
[00:17:14.123 --> 00:17:14.603]  And they did.
[00:17:15.383 --> 00:17:25.127]  And I just think that's a huge win that people that would normally just scoff at this stuff or laugh at this stuff got together at a family organ.
[00:17:25.307 --> 00:17:27.288]  There's nothing more family than a wedding, by the way.
[00:17:28.309 --> 00:17:28.649]  All right.
[00:17:29.069 --> 00:17:31.490]  I mean, that's going to even surpass the 4th of July.
[00:17:32.537 --> 00:17:34.458]  You know, you're going to have a lot of family there.
[00:17:34.678 --> 00:17:36.419]  And they sat down and watched my film.
[00:17:37.139 --> 00:17:42.341]  I still have to get a review, but I'm sure a lot of them were in for the shock of their lives.
[00:17:42.661 --> 00:17:42.941]  You know?
[00:17:45.603 --> 00:17:46.303]  I can't imagine.
[00:17:46.343 --> 00:17:47.563]  But today is that day for you.
[00:17:47.824 --> 00:17:48.484]  Do you understand?
[00:17:48.564 --> 00:17:49.744]  Today is that day for you.
[00:17:49.964 --> 00:17:56.367]  When your uncle, your aunt, your cousin, your brother, your nephew, your niece come over today.
[00:17:56.407 --> 00:17:57.228]  Your best friend.
[00:17:58.348 --> 00:18:00.489]  Your local buddy at the workplace.
[00:18:01.212 --> 00:18:08.134]  You know, it doesn't have to all be about this, but it doesn't all have to be about, you know, what's going on in Major League Baseball either.
[00:18:08.754 --> 00:18:10.494]  Yeah, I caught a Yankees game while I was home.
[00:18:10.994 --> 00:18:11.835]  That's okay too.
[00:18:11.875 --> 00:18:12.835]  You can throw that on later.
[00:18:12.855 --> 00:18:15.956]  But again, for me, this has to be primary.
[00:18:16.016 --> 00:18:18.436]  How else are we going to win unless this is primary?
[00:18:19.636 --> 00:18:19.956]  Alright.
[00:18:20.737 --> 00:18:21.457]  Let's see.
[00:18:22.557 --> 00:18:23.477]  Let's read some of this.
[00:18:24.157 --> 00:18:27.178]  Let's read some of these 9-11 Truth Rising reviews.
[00:18:27.238 --> 00:18:30.659]  Guys, it's, again, unbelievable movie.
[00:18:31.684 --> 00:18:35.765]  Almost two hours long, super high-quality, PrisonPlanet.TV.
[00:18:36.526 --> 00:18:39.387]  By the way, PrisonPlanet.TV is about 15 cents a day, folks.
[00:18:40.427 --> 00:18:45.488]  And if you're not on to get Prison Planet material, you need to be.
[00:18:45.528 --> 00:18:47.129]  I mean, this is 15 cents a day.
[00:18:47.369 --> 00:18:48.509]  Can you get any cheaper?
[00:18:48.589 --> 00:18:52.431]  It's about a cup of coffee a week, and not really, because Starbucks is like four or five bucks a cup.
[00:18:56.032 --> 00:18:59.553]  But, you get all Alex Jones' movies,
[00:19:00.384 --> 00:19:06.770]  You can get his weekly TV show, which has a bunch of material in it that doesn't make his movies, that is just as interesting and intricate.
[00:19:07.091 --> 00:19:12.536]  See, I guess when you're on the outside looking in, you don't really realize how much material is in this little office.
[00:19:13.517 --> 00:19:18.802]  But there are literally binders, I mean binders, of stuff that is just incredible.
[00:19:19.963 --> 00:19:23.907]  And, uh, I'm gonna be scamming some of that stuff for the new movie, Fabled Enemies, that's on the way.
[00:19:26.129 --> 00:19:34.541]  But folks, I want to encourage you right now, right now, go to Infowars.com, click on the 9-11 Chronicles banner, and go check it out.
[00:19:34.781 --> 00:19:35.502]  Truth Rising.
[00:19:35.782 --> 00:19:36.663]  It's happening today.
[00:19:36.804 --> 00:19:38.306]  Independence Day, the 4th of July, 2008.
[00:19:38.386 --> 00:19:40.148]  We'll be back after this.
[00:19:40.208 --> 00:19:41.089]  It's the Alex Jones Show.
[00:19:55.393 --> 00:19:56.434]  Hi, this is Ted Anderson.
[00:19:56.835 --> 00:20:02.320]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:20:02.900 --> 00:20:03.401]  That's right.
[00:20:03.721 --> 00:20:06.384]  Gold has been available to be placed in IRAs since 1986.
[00:20:07.405 --> 00:20:13.491]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:20:14.031 --> 00:20:21.716]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:20:22.176 --> 00:20:27.039]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
