[00:00:06.092 --> 00:00:06.392]  He's here.
[00:02:12.851 --> 00:02:13.491]  I mean, I've got a big...
[00:02:14.494 --> 00:02:18.755]  List of questions here that I want to go over with you.
[00:02:19.355 --> 00:02:21.716]  But just out of the gates, how are you doing?
[00:02:23.056 --> 00:02:24.096]  Oh, I'm doing good.
[00:02:24.116 --> 00:02:35.039]  You know, I've got some ideas and plans that I think maybe you and your listeners could help me with, too.
[00:02:35.059 --> 00:02:39.099]  So as we move along today, I'd like to talk about some of that.
[00:02:39.720 --> 00:02:41.120]  Well, I want to get into the bailout.
[00:02:41.920 --> 00:02:51.968]  And I want to talk about the election and the wars and how we're still in Iraq, and I want to talk about how Farm Aid went bigger than ever this year with Neil Young and others.
[00:02:52.568 --> 00:02:59.293]  But let's go ahead now and talk about some of the things and some of the solutions that you've been coming up with.
[00:02:59.553 --> 00:03:01.175]  Let's talk about that first today, Willie.
[00:03:02.075 --> 00:03:02.796]  Yeah, well, okay.
[00:03:02.856 --> 00:03:04.938]  I'm going to start out with the $700 billion that we gave somebody.
[00:03:09.481 --> 00:03:29.286]  I'm not sure who it was, but whoever has it, I would like, and I have written a letter as President of Farm Aid to whoever controls that money, that we would like to have $1 billion of that $700, and that would leave $699 for whatever they had planned.
[00:03:29.306 --> 00:03:38.808]  But $1 billion is, I think, all we'll need to turn the economy around if we start out taking care of our family farmers.
[00:03:39.301 --> 00:03:46.284]  We could put 10 million farmers back on the land, making a living out there, raising food and fuel.
[00:03:46.524 --> 00:03:54.647]  Now that we can, you know, raise soybeans, ethanol, whatever they can grow out there, we can use for both food and fuel.
[00:03:55.187 --> 00:04:04.911]  And that $1 billion, I think, would go a long way about changing our negative attitudes that we have and the confidence
[00:04:05.401 --> 00:04:06.122]  I don't think so.
[00:04:22.571 --> 00:04:25.514]  Well, Willie, I mean, you know of what you speak here.
[00:04:25.594 --> 00:04:33.662]  You have been studying the family farm and fighting for the family farm, not just in the United States, but worldwide for, I know, more than three decades.
[00:04:33.842 --> 00:04:46.935]  And you are uniquely suited to speak on this because you were born on a small family farm with a blacksmith shop with your grandfather and grandmother and family in North Central
[00:04:47.515 --> 00:05:08.960]  Texas during the depression and in some of your songs and a lot of your writings you've documented the fact that the big central banks are not our friends and that we have to get back to local community, true sustainability and you have really put your money where your mouth is, your time where your mouth is and just done so much raising hundreds of millions of dollars.
[00:05:09.880 --> 00:05:10.641]  Well, thank you.
[00:05:10.821 --> 00:05:15.345]  And also, I believe that we could talk the rest of our lives about how we got here.
[00:05:35.983 --> 00:05:52.947]  Because I think we know, and we can put names and faces and places on most of the reasons, but I think if we just say, okay, here we are, let's go forward, and then start thinking positive about everything, that's the first step in turning it around.
[00:05:54.007 --> 00:05:55.207]  Well, I'll tell you what's positive.
[00:05:55.507 --> 00:05:57.087]  I talked to multiple members of Congress.
[00:05:57.127 --> 00:06:02.369]  They got 1,000 to 1 phone calls against the Banker Takeover Bill, which is really $5 trillion.
[00:06:05.991 --> 00:06:15.098]  And so the good news is, the American people are not buying in to the banker propaganda, and so they may now be ready to hear some real solutions.
[00:06:15.798 --> 00:06:25.525]  With that $1 billion, literal seed money to get the family farm that's nearing extinction jump-started, what are some of the ideas that you have, Willie, to do that?
[00:06:27.246 --> 00:06:35.332]  Well, first of all, we stopped the foreclosures on the farms and also the houses, because what has happened
[00:06:35.760 --> 00:06:37.221]  It's been a domino effect.
[00:06:37.282 --> 00:06:51.735]  Back when we had about 8 or 10 million family farmers on the land, we were pretty good off economically because the agriculture is the bottom rung on the economic ladder.
[00:06:52.215 --> 00:06:54.457]  And so everybody was doing fine.
[00:06:54.477 --> 00:06:56.059]  That was back at the end of the war.
[00:06:56.779 --> 00:07:01.544]  And then it was decided, those 8 million family farmers out there, most of them Democrats,
[00:07:01.980 --> 00:07:04.741]  We're just a little bit too much to handle politically.
[00:07:04.801 --> 00:07:26.046]  So they decided, uh, and up until then, they were offering all our raw producers in this country, a 100% parity, which is that they would pay for the cost and production of the, whatever the producers had, whether it was a farm, a steel, coal, whatever it was, they would pay a hundred percent or parity.
[00:07:26.626 --> 00:07:28.927]  And that was during the war when the war was over.
[00:07:29.560 --> 00:07:38.044]  They stopped that process and decided, OK, we'll drop that to a 60% or 70% sliding scale.
[00:07:38.524 --> 00:07:41.806]  That way they took 2 million farmers off the land immediately.
[00:07:42.967 --> 00:07:49.668]  Well, there's no doubt that the policies in the last 50 years have completely debased and decimated the family farm and ranch.
[00:07:49.708 --> 00:07:59.091]  You know, my family on my dad's side from northeast Texas, my mother's side from right here in Austin and surrounding areas out in Fredericksburg.
[00:08:00.271 --> 00:08:04.972]  I mean, I have lived in it as well, not to the extent you have, and just seeing the destruction
[00:08:05.692 --> 00:08:05.912]  I think?
[00:08:23.763 --> 00:08:27.026]  And we know that you and many others have come up with solutions.
[00:08:27.066 --> 00:08:36.393]  And if people go to willynelson.com, you have put a lot of different documents, research, articles up there explaining this to people and showing folks the history.
[00:08:36.693 --> 00:08:41.337]  So I want to challenge folks to go to willynelson.com and check out that material.
[00:08:41.957 --> 00:08:47.482]  And you also have a lot of information up on the Peace Institute on a host of issues tying into this.
[00:08:47.862 --> 00:08:50.644]  Getting local control, building back up our communities.
[00:08:50.664 --> 00:08:52.706]  Can you imagine, Willie, if they gave the five trillion
[00:08:53.306 --> 00:08:57.307]  And they've already doled out over $2 trillion of that to foreign banks.
[00:08:57.887 --> 00:09:02.528]  And then they're cutting off the currency, the liquidity, to Main Street and the family farm.
[00:09:03.208 --> 00:09:10.029]  By design, I have their documents, they want everything to foreclose and implode, and they can come back with all the money they've amassed and consolidate.
[00:09:10.089 --> 00:09:19.671]  So, I mean, I'm trying to be positive here, but to stop what's happening, we've got to educate the public about who the real enemy is here, who the real fox in the henhouse is.
[00:09:20.578 --> 00:09:24.161]  That's right, and it's like Obama said.
[00:09:24.181 --> 00:09:26.843]  He said, you know, let's put out the fire now.
[00:09:26.943 --> 00:09:28.685]  We'll figure out who started it later.
[00:09:29.205 --> 00:09:31.707]  And that's pretty much what we have to do.
[00:09:31.747 --> 00:09:33.208]  We have to stop the fire.
[00:09:33.229 --> 00:09:34.830]  We have to stop the bleeding.
[00:09:35.430 --> 00:09:38.813]  And I still think the best way to do that is from the ground up.
[00:09:38.853 --> 00:09:40.374]  Go back to our family farmer.
[00:09:40.434 --> 00:09:44.158]  He's the one that started taking care of us in the beginning.
[00:09:44.478 --> 00:09:45.639]  So let's let him do it again.
[00:09:46.684 --> 00:09:49.505]  Willie, I want to talk about biodiesel because I've really studied the issue.
[00:09:49.525 --> 00:09:55.827]  A lot of my family works as petroleum geologists and farmers and also in refineries, so I'm somewhat educated on it.
[00:09:56.487 --> 00:10:01.048]  And I know that it was speculation and dollar devaluation that drove up oil.
[00:10:01.368 --> 00:10:10.671]  They tried to blame it on some of the farmers, you know, having crops turn into ethanol, which I'm for to a certain extent, but they also tried to tie that into biodiesel.
[00:10:10.691 --> 00:10:12.692]  Those are two separate things.
[00:10:13.332 --> 00:10:22.757]  I mean, biodiesel, which you're an expert in, so I'd like you to speak to it, that's using waste products that just basically get burned or thrown in the landfill or dumped down the drain.
[00:10:22.777 --> 00:10:24.097]  Can you explain the difference between the two?
[00:10:25.958 --> 00:10:31.781]  Well, the key words here are local sustainable agriculture.
[00:10:32.741 --> 00:10:40.705]  If you raise it over here and you consume it next door, then you save all the money that it costs for
[00:10:41.331 --> 00:10:45.275]  Bringing in all your food, all the fuel it costs to bring it in.
[00:10:46.215 --> 00:10:53.222]  If you look at your breakfast in the morning, most everything on that plate came from 1,500 miles away.
[00:10:54.183 --> 00:11:05.893]  So if you started out with local, sustainable... We may have lost Willie's cell phone.
[00:11:05.913 --> 00:11:06.454]  Willie, are you there?
[00:11:07.205 --> 00:11:08.006]  No, I'm still here.
[00:11:08.066 --> 00:11:12.991]  I just found it like Christmas out there are ice cream trucks.
[00:11:13.211 --> 00:11:14.012]  You're a musician.
[00:11:14.052 --> 00:11:15.994]  You were listening to that curious tune.
[00:11:16.314 --> 00:11:16.995]  Stay there, Willie.
[00:11:17.015 --> 00:11:17.835]  We're going to go to break.
[00:11:18.076 --> 00:11:25.963]  We're going to come back and let you finish up with true sustainability, not the globalist counterfeit of that, because that's how this can get confusing.
[00:11:26.003 --> 00:11:26.424]  Stay with us.
[00:11:27.505 --> 00:11:28.386]  Howdy, gardeners.
[00:11:28.706 --> 00:11:31.629]  This is Mike from Baker Creek Heirloom Seed Company.
[00:11:32.236 --> 00:11:37.717]  We carry America's largest selection of heirloom seed, all non-hybrid, non-GMO, and non-Monsanto.
[00:11:38.177 --> 00:11:44.579]  We offer 1,200 varieties that our grandparents grew.
[00:11:45.659 --> 00:11:46.419]  You're a musician.
[00:11:46.479 --> 00:11:48.420]  You were listening to that curious tune.
[00:11:48.680 --> 00:11:49.400]  Stay there, Willie.
[00:11:49.420 --> 00:11:50.240]  We're going to go to break.
[00:11:50.260 --> 00:11:58.382]  We're going to come back and let you finish up with true sustainability, not the globalist counterfeit of that, because that's how this can get confusing.
[00:11:58.402 --> 00:11:58.842]  Stay with us.
[00:11:59.875 --> 00:12:00.716]  Howdy, gardeners!
[00:12:01.056 --> 00:12:04.059]  This is Mike from Baker Creek Heirloom Seed Company.
[00:12:04.579 --> 00:12:10.124]  We carry America's largest selection of heirloom seed, all non-hybrid, non-GMO, and non-Monsanto.
[00:12:10.545 --> 00:12:20.974]  We offer 1,200 varieties that our grandparents grew, vegetables that helped us survive the Great Depression, varieties that our founding fathers grew, and varieties that not only survive, but thrive in today's gardens.
[00:12:21.554 --> 00:12:26.539]  All our vegetable seed is open pollinated, which means you can save your own seed from generation to generation.
[00:12:27.019 --> 00:12:30.762]  Want to learn more about heirloom seeds and what the government is doing to control our food supply?
[00:12:31.243 --> 00:12:34.645]  If so, request our free 124-page seed catalog.
[00:12:35.066 --> 00:12:37.388]  And today, we offer you our Homestead Collection.
[00:12:38.168 --> 00:12:42.032]  60 full-size packs of pure heirloom seed for $83 postpaid.
[00:12:42.472 --> 00:12:45.135]  That's 60 fresh packets of seed for just $83.
[00:12:45.375 --> 00:12:51.260]  Call us today to order your free catalog or our seed collection at 866-OLD-SEED.
[00:12:51.561 --> 00:12:55.384]  That's 866-OLD-SEED or go online to oldseed.com.
[00:12:55.664 --> 00:12:57.166]  That's oldseed.com.
[00:12:59.992 --> 00:13:01.954]  Are you wondering about your retirement portfolio?
[00:13:02.334 --> 00:13:08.298]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:13:08.559 --> 00:13:12.481]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:13:12.722 --> 00:13:19.547]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:13:19.867 --> 00:13:25.409]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:13:25.770 --> 00:13:32.372]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:13:36.674 --> 00:13:37.795]  Experience the difference.
[00:13:38.135 --> 00:13:43.060]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:13:43.400 --> 00:13:44.361]  Don't wait another minute.
[00:13:44.621 --> 00:13:48.164]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:13:48.184 --> 00:13:48.484]  That's 877-479-8178.
[00:13:58.445 --> 00:14:04.832]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:14:05.212 --> 00:14:07.195]  The enemy struck America on September 11th.
[00:14:07.855 --> 00:14:08.916]  But who is the enemy?
[00:14:09.417 --> 00:14:09.938]  Bin Laden.
[00:14:10.218 --> 00:14:11.099]  This is his MO.
[00:14:11.119 --> 00:14:12.560]  We have to look to the Middle East.
[00:14:12.580 --> 00:14:13.862]  We have to look to Osama Bin Laden.
[00:14:14.542 --> 00:14:21.306]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:14:21.707 --> 00:14:22.147]  Some U.S.
[00:14:22.187 --> 00:14:27.950]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:14:28.531 --> 00:14:31.993]  I'm aware that some Israeli citizens have been detained.
[00:14:32.233 --> 00:14:42.280]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:14:42.501 --> 00:14:43.261]  Fabled enemies.
[00:14:43.741 --> 00:14:51.047]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:14:51.467 --> 00:14:54.850]  Either you are with us or you are with the terrorists.
[00:14:58.602 --> 00:15:03.046]  As a parent, your biggest fear is getting a phone call that your child has been attacked or worse.
[00:15:03.506 --> 00:15:08.451]  With your child going to college or moving out on their own, it's important to keep these safety tips in mind.
[00:15:08.991 --> 00:15:10.833]  Teach them to be aware of their surroundings.
[00:15:11.273 --> 00:15:13.355]  Walk on well-lit paths with friends or students.
[00:15:13.975 --> 00:15:16.638]  Secure the windows and doors of their dorm room or apartment.
[00:15:16.959 --> 00:15:18.481]  Know how to reach campus security.
[00:15:18.901 --> 00:15:22.025]  Always tell someone where they're going and when to expect their return.
[00:15:22.465 --> 00:15:24.808]  And always carry a self-defense device.
[00:15:25.268 --> 00:15:28.372]  This important message is brought to you by Pepperspray.com.
[00:15:28.853 --> 00:15:29.894]  Pepperspray.com
[00:15:50.732 --> 00:15:52.833]  What beautiful poetry and what a great voice.
[00:15:54.394 --> 00:15:59.796]  It is hard to cut that song off, but we will and go to the man himself.
[00:16:01.977 --> 00:16:08.419]  Willie Nelson, I'm just so glad in my little life that I've crossed paths with Willie Nelson and get to share a little bit of his precious time.
[00:16:08.800 --> 00:16:11.140]  He is just a precious person.
[00:16:11.160 --> 00:16:12.461]  We have a lot of celebrities on the show.
[00:16:12.481 --> 00:16:13.601]  People know that I don't get all...
[00:16:15.942 --> 00:16:19.444]  All sappy here, but he really is a great humanitarian and we're honored to have him.
[00:16:19.804 --> 00:16:21.845]  WillieNelson.com is the website.
[00:16:22.085 --> 00:16:33.451]  Okay, Willie, when we got cut off by the ice cream music earlier, actually Russian techno is what it is, we were getting into the difference between biodiesel and ethanol.
[00:16:33.471 --> 00:16:39.254]  But at the end of the day, if growing corn for fuel saves farmers, I'm all for it.
[00:16:39.774 --> 00:16:43.036]  I think it was the greedy oil companies trying to demonize that because they want a monopoly.
[00:16:43.056 --> 00:16:44.797]  But explain to us the difference, Willie.
[00:16:45.836 --> 00:16:49.477]  Well, I think mainly the difference is local sustainable.
[00:16:49.597 --> 00:17:03.802]  If you keep it local, then you keep the foreign markets out of it and there's not trillions of dollars going back and forth and the farmer losing control and the consumer losing all the benefits of having it there.
[00:17:04.362 --> 00:17:07.743]  Local, sustainable, organic food is the future.
[00:17:08.363 --> 00:17:10.044]  And it's just, when do you want to start?
[00:17:10.124 --> 00:17:11.764]  You know, that's just where we're going.
[00:17:11.824 --> 00:17:12.725]  That's where we're going.
[00:17:12.745 --> 00:17:13.845]  Our economy,
[00:17:14.437 --> 00:17:15.057]  Well, Willie,
[00:17:33.018 --> 00:17:34.098]  I mean, you're absolutely right.
[00:17:34.118 --> 00:17:39.279]  It's down to survival, because the big Monsanto and two other companies are buying up all the heirloom seeds.
[00:17:39.799 --> 00:17:43.100]  Their Terminator genetics is spreading into all the other major seed crops.
[00:17:43.500 --> 00:17:49.041]  They've infected almost 100% of the Mexican corn varieties that go back over 10,000 years.
[00:17:49.961 --> 00:17:54.062]  I mean, we have to get back into heirloom seeds and start having our own gardens.
[00:17:54.142 --> 00:17:55.822]  I know I have one wherever I live.
[00:17:55.862 --> 00:18:00.303]  I mean, we're meant as humans to be out there in the mud and dirt, and children love it.
[00:18:01.943 --> 00:18:10.586]  And we are seeing a reawakening, an explosion of community farms, small gardens, and I think a lot of that's thanks to you and others spreading the word.
[00:18:11.747 --> 00:18:23.431]  Well, and there's so many young people out there that know what we're talking about who are already growing things in places that their parents or grandparents never thought would grow.
[00:18:23.451 --> 00:18:28.813]  They grow on roofs of apartment buildings in New York City and Philadelphia.
[00:18:28.853 --> 00:18:30.113]  They grow in vacant lots.
[00:18:30.566 --> 00:18:40.751]  They have found places to grow food because they saw the necessity of it, and it was, you know, necessity is the mother of invention.
[00:18:40.791 --> 00:18:44.353]  If it's really needed badly enough, somebody will come up with a way to do it.
[00:18:44.773 --> 00:18:49.496]  And local, organic, sustainable food is where we're going.
[00:18:50.558 --> 00:18:51.379]  Well, absolutely.
[00:18:51.399 --> 00:18:54.742]  And then we have the revolution of solar, the revolution of wind.
[00:18:55.083 --> 00:18:57.005]  These are real local solutions.
[00:18:57.445 --> 00:19:02.330]  And we have these atmospheric water generators that give you the cleanest water out there.
[00:19:02.590 --> 00:19:06.675]  And Willie, I just now got into this and I discovered that you've been in this for years.
[00:19:06.895 --> 00:19:10.939]  Tell us about the atmospheric water generator that you've lent your name to.
[00:19:10.959 --> 00:19:12.981]  I mean, you talk about getting off the grid.
[00:19:13.021 --> 00:19:13.762]  This is incredible.
[00:19:14.878 --> 00:19:23.884]  Well, amazingly enough, I found out just a little while ago that the inventor of this water machine is over here in Marbles Falls.
[00:19:24.605 --> 00:19:26.426]  And he invented it in 1984.
[00:19:27.006 --> 00:19:30.949]  So, and I only found out about it a couple of years ago.
[00:19:31.689 --> 00:19:36.553]  And when I found out about it, it was a company in Canada and California, which
[00:19:37.735 --> 00:19:40.716]  It's an amazing machine because you plug it in.
[00:19:40.996 --> 00:19:46.838]  It looks like an office water machine without the top, without the jug of water on the top.
[00:19:47.499 --> 00:19:56.142]  And you plug it in today, and tomorrow at this time you've got six gallons of pure, fresh drinking water that came right out of the air.
[00:19:57.296 --> 00:20:03.480]  I don't have the website in front of me, but I know the machine's called the Willie Nelson Water From Air Machine.
[00:20:03.800 --> 00:20:12.226]  People can just Google that and see some photos of you out at your house, just what, last week in the Austin American Statesman, showing the thing off.
[00:20:12.746 --> 00:20:13.647]  We have it in the office.
[00:20:13.827 --> 00:20:14.908]  I now have it at home.
[00:20:15.388 --> 00:20:17.429]  And folks, it goes through five different filters.
[00:20:17.629 --> 00:20:19.791]  Just an amazing system.
[00:20:19.831 --> 00:20:21.132]  And again, that is the key.
[00:20:21.432 --> 00:20:23.253]  That is real sustainability.
[00:20:24.274 --> 00:20:24.894]  It sure is.
[00:20:26.351 --> 00:20:28.252]  You know, throw up a house out there somewhere.
[00:20:28.292 --> 00:20:29.472]  You don't have to dig a well.
[00:20:29.513 --> 00:20:30.533]  All you need is one of these.
[00:20:30.633 --> 00:20:32.794]  It's some electricity, a generator, whatever.
[00:20:32.814 --> 00:20:44.039]  You plug in one of these machines, and they've got them all sizes where you can make six gallons a day, or you can make 2,500 gallons a day, 5,000 gallons a day.
[00:20:44.099 --> 00:20:47.001]  They have them up to, I think, 18,000 gallons.
[00:20:47.521 --> 00:20:54.164]  But this is the water, the 18,000 gallon one, I think, is not drinkable water, but it is water.
[00:20:55.587 --> 00:20:58.789]  But they have them up to 5,000 gallons a day that I know about.
[00:20:59.449 --> 00:21:00.129]  Absolutely.
[00:21:00.589 --> 00:21:04.771]  One company we've got that's a sponsor tried to send me a big one and I said, no, I don't have room for it.
[00:21:05.611 --> 00:21:07.092]  Willie Nelson is our guest.
[00:21:07.112 --> 00:21:08.432]  WillieNelson.com.
[00:21:08.812 --> 00:21:12.974]  Got a big event coming up at the Backyard this Sunday with Jesse Ventura, myself, and Willie.
[00:21:13.194 --> 00:21:14.595]  We'll tell you about that when we get back.
[00:21:14.655 --> 00:21:15.175]  Stay with us.
[00:21:16.655 --> 00:21:17.556]  We're on the march.
[00:21:18.056 --> 00:21:19.657]  The Empire's on the run.
[00:21:20.597 --> 00:21:23.258]  Alex Jones and the GCN Radio Network.
[00:21:27.551 --> 00:21:28.312]  All right, let me talk to Willie.
[00:21:28.332 --> 00:21:31.154]  I have them up to 5,000 gallons a day that I know about.
[00:21:31.854 --> 00:21:32.534]  Absolutely.
[00:21:32.995 --> 00:21:37.178]  One company we've got that's a sponsor tried to send me a big one, and I said, no, I don't have room for it.
[00:21:38.038 --> 00:21:39.499]  Willie Nelson is our guest.
[00:21:39.519 --> 00:21:40.860]  WillieNelson.com.
[00:21:41.241 --> 00:21:45.403]  Got a big event coming up at the Backyard this Sunday with Jesse Ventura, myself, and Willie.
[00:21:45.584 --> 00:21:47.005]  We'll tell you about that when we get back.
[00:21:47.085 --> 00:21:47.605]  Stay with us.
[00:21:49.026 --> 00:21:49.927]  We're on the march.
[00:21:50.447 --> 00:21:52.028]  The Empire's on the run.
[00:21:52.929 --> 00:21:55.631]  Alex Jones and the GCN Radio Network.
[00:22:00.231 --> 00:22:03.294]  You know, I know exactly what you're thinking when it comes to this economy.
[00:22:03.414 --> 00:22:04.696]  The banks are crashing.
[00:22:04.776 --> 00:22:06.297]  The stock market's a mess.
[00:22:06.397 --> 00:22:07.919]  There's the mortgage crisis.
[00:22:08.059 --> 00:22:09.861]  There's the lending crisis.
[00:22:10.001 --> 00:22:14.405]  There is the food and gasoline prices through the ceiling crisis.
[00:22:14.666 --> 00:22:16.207]  And we are paralyzed a little bit.
[00:22:16.247 --> 00:22:18.029]  We don't know exactly how to respond to it.
[00:22:18.209 --> 00:22:18.990]  I don't know what to say.
[00:22:19.230 --> 00:22:19.791]  What can you do?
[00:22:19.811 --> 00:22:20.611]  Do what you can do.
[00:22:20.631 --> 00:22:21.232]  That's what you do.
[00:22:21.272 --> 00:22:22.173]  You do what you can do.
[00:22:22.193 --> 00:22:24.075]  What I can do is I can put some food away.
[00:22:24.175 --> 00:22:25.776]  I know there's a global food shortage.
[00:22:25.957 --> 00:22:26.477]  I can read it.
[00:22:26.517 --> 00:22:29.520]  I can go to eFoodsDirect.com, read hundreds of articles about this.
[00:22:29.700 --> 00:22:33.904]  I can go up on the Google website and Google food shortage and see the world's a mess.
[00:22:34.064 --> 00:22:34.424]  I know it.
[00:22:34.505 --> 00:22:34.845]  You know it.
[00:22:34.905 --> 00:22:35.646]  Look at the prices.
[00:22:35.686 --> 00:22:36.326]  Look where they're headed.
[00:22:36.386 --> 00:22:36.967]  Be prepared.
[00:22:37.007 --> 00:22:37.627]  Take care of yourself.
[00:22:37.707 --> 00:22:43.653]  You owe your family some security, some sense of self-being, a little bit of self-reliance is a good idea right now.
[00:22:43.793 --> 00:22:45.855]  Get some food from eFoodsDirect.com.
[00:22:45.935 --> 00:22:47.617]  Go up to eFoodsDirect.com right now.
[00:22:47.657 --> 00:22:49.458]  Look, hey, you don't even have to can your own food anymore.
[00:22:49.478 --> 00:22:50.179]  We canned it for you.
[00:22:50.299 --> 00:22:50.659]  That's 1-800-409-5633.
[00:22:50.699 --> 00:22:56.162]  Eatfoodsdirect.com.
[00:22:56.182 --> 00:22:56.643]  1-800-409-5633.
[00:22:56.923 --> 00:22:57.443]  Call us now.
[00:22:58.404 --> 00:23:00.084]  Our beloved Republic is on her knees.
[00:23:00.365 --> 00:23:03.827]  The forces of globalism are destroying national sovereignty worldwide.
[00:23:03.987 --> 00:23:05.808]  But in Liberty's darkest hour, there is hope.
[00:23:06.288 --> 00:23:09.169]  For the first time in modern history, the people are beginning to wake up.
[00:23:09.470 --> 00:23:14.953]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:23:15.213 --> 00:23:19.135]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:23:19.455 --> 00:23:24.357]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:23:24.637 --> 00:23:27.418]  PrisonPlanet.tv is a vault of forbidden information.
[00:23:27.699 --> 00:23:34.541]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:23:34.922 --> 00:23:40.744]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:23:40.904 --> 00:23:45.386]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:23:45.726 --> 00:23:48.230]  The Info War is waiting for you to set it free.
[00:23:48.571 --> 00:23:50.193]  Join PrisonPlanet.TV.
[00:23:50.634 --> 00:23:52.397]  Burn the info bombs to disk.
[00:23:52.617 --> 00:23:54.440]  Put them on the file sharing networks.
[00:23:54.761 --> 00:23:56.163]  Bring down the New World Order.
[00:23:56.544 --> 00:23:57.285]  PrisonPlanet.TV.
[00:24:03.729 --> 00:24:05.071]  Take a stand for health.
[00:24:05.711 --> 00:24:06.752]  LifeChange Tea.
[00:24:06.913 --> 00:24:08.174]  We ship worldwide.
[00:24:08.434 --> 00:24:11.638]  France, Germany, London, Australia, Finland and more.
[00:24:11.838 --> 00:24:15.502]  Join the thousands that are making the step for a healthy body.
[00:24:15.602 --> 00:24:16.803]  Flush out toxins.
[00:24:16.983 --> 00:24:18.305]  Lower blood sugar levels.
[00:24:18.785 --> 00:24:20.687]  Annihilate acid reflux.
[00:24:20.948 --> 00:24:21.789]  Lose weight!
[00:24:22.389 --> 00:24:23.591]  You can do it!
[00:24:23.851 --> 00:24:25.172]  It's time for change.
[00:24:25.553 --> 00:24:25.673]  It's...
