[00:00:01.291 --> 00:00:02.873]  You want answers?
[00:10:47.094 --> 00:11:06.634]  Uh, the day July 4th starts, so as July 3rd ends, that Thursday, on that Friday morning, throughout Friday, it will be posted in a bunch of different formats, DivX formats, you can burn it to disk, get it out to people in higher quality, Flash, a bunch of other systems, super high quality, for PrisonPlanet.tv members, get it out to people, folks.
[00:11:07.414 --> 00:11:09.134]  And yes, you can order the DVD now.
[00:11:09.134 --> 00:11:11.995]  The DVD is being mass replicated right now.
[00:11:11.995 --> 00:11:24.598]  I'm supposed to get them middle of next week, and so we will have them before it even ships, and then we'll be packaging them up later next week, and they will all ship out on that Saturday and then that next Monday after July 4th.
[00:11:24.598 --> 00:11:29.859]  So get your 9-11 Chronicles Truth Rising today at InfoWars.com.
[00:11:29.859 --> 00:11:30.119]  Okay.
[00:11:33.425 --> 00:11:37.446]  I'm really excited about having Jordan Maxwell on the show.
[00:11:37.446 --> 00:11:44.568]  I kind of woke up to the New World Order on my own, or kind of on the John Birch Society route.
[00:11:44.568 --> 00:11:58.211]  I wasn't part of the John Birch Society, but read stuff like None Dare Call a Conspiracy, The Private Fellow Deserved, and then I learned about Ron Paul fifteen years ago and got a radio show and was kind of a mainline conservative Republican who was anti-New World Order.
[00:11:58.211 --> 00:12:00.251]  Then I found out that that party was controlled.
[00:12:00.251 --> 00:12:02.112]  I mean, even as late as nineteen
[00:12:04.247 --> 00:12:05.388]  Ninety-eight.
[00:12:05.388 --> 00:12:06.929]  Ninety-nine.
[00:12:06.929 --> 00:12:08.710]  I wouldn't get into the occult on air.
[00:12:08.710 --> 00:12:09.791]  I wouldn't talk about it.
[00:12:09.791 --> 00:12:10.511]  I didn't believe it.
[00:12:10.511 --> 00:12:12.332]  I thought, hey, the Federal Reserve is private.
[00:12:12.332 --> 00:12:15.734]  They do want a world government for their administrative convenience.
[00:12:15.734 --> 00:12:21.558]  It is bad, but there's no occult and, you know, that's a bunch of... there's dumb conspiracy theorists.
[00:12:21.558 --> 00:12:22.939]  There's no black helicopters.
[00:12:22.939 --> 00:12:24.760]  There's no FEMA camp plans.
[00:12:24.760 --> 00:12:26.321]  And then Delta Force invaded Texas.
[00:12:26.321 --> 00:12:27.722]  They bribed police chiefs.
[00:12:27.722 --> 00:12:28.402]  I interviewed them.
[00:12:28.402 --> 00:12:33.025]  I found out they had martial law plans with the San Antonio police chief and the emergency managers and I...
[00:12:33.505 --> 00:12:42.314]  And then I found out about Bohemian Grove, and I found out it was real, and I infiltrated it, and so, so really, you know, I am a Johnny-come-lately.
[00:12:42.314 --> 00:12:45.156]  Doesn't matter, we're all Johnny-come-latelys.
[00:12:45.156 --> 00:12:50.561]  You know, in this short life we have, the point is we can all move forward, take action.
[00:12:50.561 --> 00:12:55.386]  And then I remember Chris Athanas, in about 98, 99, putting Jordan Maxwell videos on.
[00:12:56.601 --> 00:12:56.701]  Well,
[00:13:16.016 --> 00:13:19.197]  An independent scholar in the field of occult religious philosophy.
[00:13:19.197 --> 00:13:22.159]  His interest in these subjects began far back as 59.
[00:13:22.159 --> 00:13:30.602]  He served for three and a half years as the regional editor of Truth Seeker Magazine, America's oldest free thought journal since 1873.
[00:13:30.602 --> 00:13:37.505]  His work exploring the hidden foundations of Western religions and secret societies creates enthusiastic responses from audiences around the world.
[00:13:38.306 --> 00:13:58.082]  He has conducted dozens of intense seminars, hosted his own radio talk show, guested on more than 600 radio shows, and written, produced, and appeared in numerous television shows and documentaries, including the two-hour special for CBS TV Network, as well as the internationally acclaimed five-part Ancient Mysteries series, all devoted to understanding ancient religions and their pervasive influence on world affairs today.
[00:13:58.602 --> 00:14:15.526]  His works on the subject of secret societies, both ancient and modern, and their symbols has fascinated audiences around the world for decades, considering the rapidly moving events of today and the very real part these hidden religious agendas play in our modern war-torn world.
[00:14:15.526 --> 00:14:20.227]  He feels that controversial subjects are not only interesting to explore, but too important to ignore.
[00:14:20.227 --> 00:14:24.268]  His extraordinary presentations include documents and photographs seldom seen elsewhere.
[00:14:24.769 --> 00:14:30.324]  Now, we can argue about our interpretation of what Jordan says, but I agree with the info he brings out.
[00:14:30.324 --> 00:14:32.149]  I may even disagree with some of his interpretations.
[00:14:33.258 --> 00:14:33.698]  We're good to go!
[00:15:03.598 --> 00:15:08.460]  We may even hold him over a little bit into overdrive today, but I wanted to properly introduce him.
[00:15:08.460 --> 00:15:11.641]  Jordan doesn't like to talk about himself, but he does have cancer.
[00:15:11.641 --> 00:15:13.962]  He is not doing well financially.
[00:15:13.962 --> 00:15:15.603]  I've heard him on a lot of shows over the years.
[00:15:15.603 --> 00:15:18.264]  He never seems to plug his great books and videos.
[00:15:18.264 --> 00:15:20.125]  Go to his website, JordanMaxwell.com.
[00:15:21.263 --> 00:15:22.364]  Well, thank you Alex for having me on.
[00:15:44.918 --> 00:15:53.222]  Yeah, I just can't tell you how much I appreciate your support and the things you've said, and I thank you for it.
[00:15:53.222 --> 00:16:03.547]  And yeah, it's true that I was interested in these subjects as far back as when I was a teenager, and even earlier.
[00:16:03.547 --> 00:16:08.569]  When I was a kid, I used to ask my parents and ask the adults around me questions, and
[00:16:09.535 --> 00:16:24.542]  Uh, they just will look at me with glassy eyes, and they have no idea in the world what I was talking about, and consequently, I just never understood why people weren't interested in the things that I was, you know?
[00:16:24.542 --> 00:16:38.768]  And so, at 18 years old, I moved to California, and, uh, by myself, ended up in Los Angeles with $9 in my pocket, no family, no friends here, nobody I had no idea in the world
[00:16:39.440 --> 00:16:42.462]  You know, what I was going to do with my life, but I ended up in L.A.
[00:16:42.462 --> 00:16:47.024]  with $9 in my pocket in downtown L.A.
[00:16:47.024 --> 00:16:55.908]  Somehow or another, I lived through all of it, but I was fascinated with how much people don't know, and how much people don't care to know.
[00:16:55.908 --> 00:17:05.073]  And I hear people today say, why doesn't the government tell us the truth, and why doesn't these educational institutes really tell us the truth?
[00:17:05.908 --> 00:17:13.655]  I think it's because they, the Illuminati, know that we, generally speaking, don't want the truth.
[00:17:13.655 --> 00:17:15.677]  We don't want to hear the truth.
[00:17:15.677 --> 00:17:23.945]  Now, I've had Jordan Alitas come up to me, I mean, high-level members of government and others, and say, Alex, and they always say, this is off-record, right?
[00:17:23.945 --> 00:17:25.467]  I'm a journalist, so it has to be off-record.
[00:17:26.198 --> 00:17:28.619]  And they say, look, the slaves don't want to know.
[00:17:28.619 --> 00:17:29.879]  You're basically one of us.
[00:17:29.879 --> 00:17:31.260]  You want to be enlightened.
[00:17:31.260 --> 00:17:32.060]  You can't help them.
[00:17:32.060 --> 00:17:33.940]  You might as well just take care of yourself.
[00:17:33.940 --> 00:17:34.921]  Well, that's what I'm saying.
[00:17:34.921 --> 00:17:39.522]  I mean, I have to, I have to say that that is pretty much true.
[00:17:39.522 --> 00:17:45.864]  And then I also want to ask the question, how important is it to tell the people the real truth?
[00:17:45.864 --> 00:17:49.285]  I mean, like the movie with, uh, you know, when the, when the,
[00:17:49.924 --> 00:17:55.026]  Military guy was asked by the kid, you know, well, what do you want?
[00:17:55.026 --> 00:17:56.406]  He said, I want to know the truth.
[00:17:56.406 --> 00:17:59.607]  And he said, you can't handle the truth.
[00:17:59.607 --> 00:18:03.348]  How important is it to tell people the real truth?
[00:18:03.348 --> 00:18:10.110]  Because what you're doing, and I've learned this the hard way, what you're doing is you're putting your life on the line.
[00:18:10.976 --> 00:18:24.267]  For people who will be entertained for a while hearing you, but they will go on with their regular lives as they always have, watching basketball and doing what they normally do, and life will go on.
[00:18:24.267 --> 00:18:35.417]  Of course, you had the big mouth and was telling people something that they weren't supposed to know, so you end up in trouble, maybe even end up dead or in prison.
[00:18:36.489 --> 00:18:44.078]  The Internal Revenue finds a bad comma on your tax records and now you can go to prison and that way they'll shut you up.
[00:18:45.233 --> 00:18:53.940]  And all because you were trying to help your fellow man who, while you're sitting in prison, they're out at the kids' baseball game because they were just entertained by you.
[00:18:53.940 --> 00:18:57.683]  Jordan, I think what you're saying is people don't need to take this for granted.
[00:18:57.683 --> 00:19:03.887]  They need to appreciate your work, my work, so many others, because it's dangerous and it's valuable.
[00:19:03.887 --> 00:19:05.248]  You've got that right, boy.
[00:19:05.248 --> 00:19:06.549]  That's exactly right.
[00:19:06.549 --> 00:19:09.111]  So the question is, are we casting pearls before swine?
[00:19:09.111 --> 00:19:11.213]  We've got a break, Jordan, a quick break.
[00:19:11.213 --> 00:19:11.853]  We'll come back.
[00:19:11.853 --> 00:19:12.734]  You've got the floor.
[00:19:14.014 --> 00:19:18.196]  But I want to do this interview a little bit different than other interviews, because you don't like talking about yourself.
[00:19:18.196 --> 00:19:24.960]  I want to make you talk about your history, your awakening, because I found talking about people's awakenings tends to wake others up.
[00:19:24.960 --> 00:19:33.984]  Your journey, and then I want to get into the basics of the New World Order, their greatest secrets, kind of Jordan Maxwell's greatest hits, because
[00:19:35.103 --> 00:19:40.991]  I want to understand your life, your awakening, and then where you see the New World Order going, and we'll take calls.
[00:19:40.991 --> 00:19:42.553]  Jordan Maxwell is our guest.
[00:19:42.553 --> 00:19:43.615]  He isn't feeling well today.
[00:19:43.615 --> 00:19:47.560]  He'll be with us for the next hour and 40 minutes, maybe longer.
[00:19:47.560 --> 00:19:48.121]  We'll see.
[00:19:48.121 --> 00:19:48.682]  Stay with us.
[00:19:51.650 --> 00:19:52.210]  Good day.
[00:19:52.210 --> 00:19:53.831]  Jim Newcomer from Midas Resources.
[00:19:53.831 --> 00:19:54.211]  September 12, 2008.
[00:19:54.211 --> 00:19:54.971]  Gold opened at $756 this morning.
[00:19:54.971 --> 00:19:58.072]  One ounce gold coins can be purchased for $779.28, $389.64 for half ounce, and $194.82 for quarter ounce.
[00:19:58.072 --> 00:19:58.672]  That's $779.28, $389.64, and $194.82.
[00:20:09.375 --> 00:20:21.881]  On June 4th, 1963, an unknown presidential decree, Executive Order 11,110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[00:20:21.881 --> 00:20:25.062]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:20:25.062 --> 00:20:28.404]  The November assassination quieted the production of the new currency.
[00:20:28.404 --> 00:20:31.245]  However, the Executive Order still stands unrepealed.
[00:20:31.505 --> 00:20:34.306]  Midas has the Kennedy vs. Fed document.
[00:20:34.306 --> 00:20:35.206]  Call 800-686-2237.
[00:20:35.206 --> 00:20:38.367]  I'd like your liberty.
[00:20:38.367 --> 00:20:39.487]  The paper is free.
[00:20:39.487 --> 00:20:42.388]  Call 800-686-2237.
[00:20:42.388 --> 00:20:46.109]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:20:46.109 --> 00:20:46.289]  That's 800-686-2237.
[00:20:51.710 --> 00:20:58.456]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:20:58.456 --> 00:21:01.098]  The enemy struck America on September 11th.
[00:21:01.098 --> 00:21:02.659]  But who is the enemy?
[00:21:02.659 --> 00:21:03.440]  Bin Laden.
[00:21:03.440 --> 00:21:04.401]  This is his MO.
[00:21:04.401 --> 00:21:05.842]  We have to look to the Middle East.
[00:21:05.842 --> 00:21:06.903]  We have to look to Osama Bin Laden.
[00:21:06.903 --> 00:21:07.083]  Some U.S.
[00:21:07.083 --> 00:21:11.205]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:21:11.205 --> 00:21:13.646]  I'm aware that some Israeli citizens have been detained.
[00:21:25.492 --> 00:21:35.755]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:21:35.755 --> 00:21:36.995]  Fabled enemies.
[00:21:36.995 --> 00:21:44.737]  Get the DVD at InfoWars.com, or see it in super high quality, along with hundreds of other titles at PrisonPlanet.tv.
[00:21:44.737 --> 00:21:48.098]  Either you are with us, or you are with the terrorists.
[00:21:53.806 --> 00:21:55.968]  We live in a world of vanishing privacy.
[00:21:55.968 --> 00:22:03.816]  The added threat of invisible radio waves sending out personal information to anyone willing to receive them makes our privacy as citizens even less secure.
[00:22:03.816 --> 00:22:07.559]  The RFID tags and ID cards have been proven to be not secure.
[00:22:07.559 --> 00:22:11.743]  Thieves are able to read information stored on these tags to steal your identity.
[00:22:11.743 --> 00:22:17.029]  Protect yourself from ID theft with our RFID blocker available as a wallet or passport case.
[00:22:17.609 --> 00:22:21.272]  ProSpy.com offers simple, affordable personal protection.
[00:22:21.272 --> 00:22:25.556]  Many countries, including the U.S., have begun to institute RFID in passports.
[00:22:25.556 --> 00:22:26.717]  Why take a chance?
[00:22:26.717 --> 00:22:28.759]  This is your personal information.
[00:22:28.759 --> 00:22:29.720]  Protect yourself.
[00:22:29.720 --> 00:22:34.024]  ProSpy.com also offers a complete selection of spy gear and security equipment.
[00:22:34.544 --> 00:22:38.971]  Including bug detectors, camera finders, countermeasure equipment and night vision gear.
[00:22:38.971 --> 00:22:43.659]  ProSpy.com is your source for high quality spy and security equipment.
[00:22:43.659 --> 00:22:46.303]  Visit us online at ProSpy.com.
[00:22:46.303 --> 00:22:48.787]  That's ProSpy.com today!
[00:22:51.903 --> 00:22:53.904]  Heart disease is on the rise.
[00:22:53.904 --> 00:23:00.847]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:23:00.847 --> 00:23:09.250]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:23:09.250 --> 00:23:14.973]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:23:15.213 --> 00:23:16.995]  My blood pressure has normalized.
[00:23:16.995 --> 00:23:19.278]  My diabetes has totally improved.
[00:23:19.278 --> 00:23:23.703]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:23:23.703 --> 00:23:25.946]  I recommend Heart and Body Extract to everyone.
[00:23:25.946 --> 00:23:33.675]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:23:33.855 --> 00:23:36.217]  Order your two-month supply today by calling 866-295-5305.
[00:23:36.217 --> 00:23:36.697]  That's 866-295-5305.
[00:23:36.697 --> 00:23:38.278]  Or order online at HBextract.com.
[00:23:38.278 --> 00:23:39.158]  Heart and Body Extract, 866-295-5305.
[00:23:39.158 --> 00:23:40.039]  Or HBextract.com.
[00:24:08.701 --> 00:24:11.542]  Jordan Maxwell.
[00:24:11.542 --> 00:24:12.963]  Anthony Hilder.
[00:24:12.963 --> 00:24:15.484]  David Ray Griffin.
[00:24:15.484 --> 00:24:21.007]  I guess you could talk about people like Red Beckman, Law That Never Was.
[00:24:21.007 --> 00:24:23.668]  People fighting the New World Order.
[00:24:23.668 --> 00:24:26.930]  Different genres, but all going in the same direction, trying to wake the sheep up.
[00:24:28.281 --> 00:24:29.082]  He's a real icon.
[00:24:29.082 --> 00:24:30.262]  We appreciate having him on.
