[00:00:00.069 --> 00:00:00.230]  Hmm?
[00:03:06.331 --> 00:03:12.520]  The MS people would walk out of wheelchairs, and today there's even been a movie made about it.
[00:03:12.540 --> 00:03:13.622]  All right, Betty, stay there.
[00:03:13.802 --> 00:03:14.242]  Stay there.
[00:03:14.543 --> 00:03:15.204]  Got you on late.
[00:03:15.224 --> 00:03:16.105]  We apologize for that.
[00:03:16.125 --> 00:03:17.647]  You'll have plenty of time to break this down.
[00:03:17.988 --> 00:03:20.191]  A wonderful hero in the fight for health.
[00:03:20.251 --> 00:03:20.892]  Betty Martini.
[00:03:20.932 --> 00:03:21.313]  Stay with us.
[00:03:22.330 --> 00:03:25.613]  Silver is mankind's oldest natural antibiotic.
[00:03:25.774 --> 00:03:29.858]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:03:30.038 --> 00:03:38.006]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
[00:03:38.266 --> 00:03:38.706]  We're good to go!
[00:04:09.571 --> 00:04:15.635]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:04:15.915 --> 00:04:17.276]  The enemy struck America on September 11th.
[00:04:31.556 --> 00:04:32.617]  But who is the enemy?
[00:04:33.077 --> 00:04:33.638]  Bin Laden.
[00:04:33.878 --> 00:04:34.879]  This is his MO.
[00:04:34.899 --> 00:04:36.200]  We have to look to the Middle East.
[00:04:36.220 --> 00:04:37.881]  We have to look to Osama Bin Laden.
[00:04:38.241 --> 00:04:45.007]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:04:45.407 --> 00:04:45.847]  Some U.S.
[00:04:45.887 --> 00:04:51.572]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:04:52.232 --> 00:04:55.713]  I'm aware that some Israeli citizens have been detained.
[00:04:55.733 --> 00:04:58.714]  Either you are with us, or you are with the terrorists.
[00:05:22.711 --> 00:05:37.584]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods, in an effort to get as many Americans prepared for the promised changes of the new administration, and to help you and your family survive the global economic crash, Ready Reserve is offering the pre-inauguration special.
[00:05:38.204 --> 00:05:44.946]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[00:05:45.426 --> 00:05:46.967]  That's a 33% savings.
[00:05:47.267 --> 00:05:50.548]  A year's supply of meals starts as low as 73 cents per meal.
[00:05:50.988 --> 00:06:00.231]  Ready Reserve Food offers only the highest quality dehydrated food, packed in double enameled cans in an inert nitrogen atmosphere, allowing a 15 plus year shelf life.
[00:06:00.691 --> 00:06:06.413]  Ready Reserve has been manufacturing since 1972, giving them the freedom to offer you amazing savings.
[00:06:08.166 --> 00:06:09.047]  I read the news today, oh boy
[00:06:37.915 --> 00:06:45.301]  Gold is up by $19.90 today.
[00:06:45.321 --> 00:06:46.362]  $7.74, 20 cents.
[00:06:47.543 --> 00:06:55.330]  All right, going back to Betty Martini, founder of Worldwide Volunteer Force.
[00:06:55.350 --> 00:06:59.894]  30 plus countries, gotten nations to ban it, take it out of the food and drinks.
[00:06:59.975 --> 00:07:00.835]  Not here, though.
[00:07:01.923 --> 00:07:03.584]  Okay, Betty, you've got the floor.
[00:07:03.624 --> 00:07:11.167]  Roll through the basics of what it is, the studies, the fight, where it currently is being used and put into thousands of foods today.
[00:07:12.047 --> 00:07:20.550]  Okay, first of all, as I was saying, there's now a movie about it called Sweet Misery of Poison World, and I can remember when Corey Brackett called me.
[00:07:20.670 --> 00:07:23.391]  She was in a wheelchair.
[00:07:23.611 --> 00:07:25.872]  She had gained a great deal of weight.
[00:07:25.932 --> 00:07:26.692]  She couldn't walk.
[00:07:27.232 --> 00:07:28.333]  She could barely talk.
[00:07:28.413 --> 00:07:31.114]  She was diagnosed with one of the largest lesions
[00:07:31.716 --> 00:07:37.339]  Ever diagnosed in an aspartame victim, and she said she had walked out of her wheelchair.
[00:07:37.399 --> 00:07:38.079]  She was fine.
[00:07:38.139 --> 00:07:39.920]  She said, a movie needs to be made about it.
[00:07:40.040 --> 00:07:41.080]  I said, tell me about it.
[00:07:41.140 --> 00:07:43.461]  She said, honey, I own the film company.
[00:07:44.442 --> 00:07:50.405]  And she went ahead to make Sweet Misery, that you can get it found in fury.tv.
[00:07:50.925 --> 00:07:59.829]  And in it, it tells how this deadly, addictive, excitoneurotoxic, carcinogenic drug that interacts with virtually all drugs and
[00:08:00.359 --> 00:08:02.201]  The vaccine got on the market.
[00:08:02.701 --> 00:08:12.329]  And what happened was, Surr was the original manufacturer, and they couldn't take a poison and make it safe, so they got caught.
[00:08:13.110 --> 00:08:16.833]  And the FDA asked U.S.
[00:08:16.893 --> 00:08:23.879]  Prosecutor Sam Skinner to indict them for fraud, and instead he went to work for Sidley and Austin,
[00:08:24.443 --> 00:08:26.184]  Which is their defense team.
[00:08:26.264 --> 00:08:30.907]  So they asked prosecutor William Conlon to indict him and he too went to work for them.
[00:08:31.527 --> 00:08:36.650]  So the FDA still would not approve it and revoked the petition in 1980.
[00:08:37.631 --> 00:08:44.014]  And you'll find the actual 50-page report on www.mpwhi.com.
[00:08:44.495 --> 00:08:52.019]  Now the interesting thing here, it almost sounds like a story out of Twilight Zone, is that Searle had hired Don Rumsfeld
[00:08:52.674 --> 00:08:55.075]  As CEO of Searle to clean up this mess.
[00:08:55.995 --> 00:09:02.357]  And Don Rumsfeld said he would call in his markers and get aspartame on the market no matter.
[00:09:02.997 --> 00:09:16.341]  So the day after they revoked the petition, which would have been signed into law in 30 days, Searle sued the FDA to keep it from being signed.
[00:09:17.121 --> 00:09:20.702]  Rumsfeld was on President Reagan's transition team.
[00:09:21.463 --> 00:09:28.965]  And he owed Rumsfeld a favor, because he had promised to nominate him for Vice President and instead nominated Bush.
[00:09:29.626 --> 00:09:30.826]  So here's what he did.
[00:09:31.866 --> 00:09:45.591]  He had the transition team, someone from them, to call the FDA Commissioner, Jerry Goyan, at 3 in the morning and fire him, because he was going to sign it into law.
[00:09:46.311 --> 00:09:49.192]  And we have the letter from his wife on the website.
[00:09:49.867 --> 00:10:02.549]  Then he appointed Dr. Arthur Hull Hayes to do the deadly deed, but he knew that it would take 30 days to get him to the FDA, and that would be too late.
[00:10:03.089 --> 00:10:10.171]  So he wrote an executive order making the FDA powerless to do anything about aspartame until he got there.
[00:10:10.751 --> 00:10:17.892]  When he got there, he overruled the Board of Inquiry, got aspartame on the market, and then went to work
[00:10:18.393 --> 00:10:24.118]  But the PR agency of the manufacturer for $1,000 a day on a 10-year contract.
[00:10:24.498 --> 00:10:28.602]  So he sold his soul for $365 million.
[00:10:29.202 --> 00:10:34.527]  And now today, aspartame disease has become a global plague.
[00:10:35.187 --> 00:10:40.211]  And a medical text by Dr. Roberts has been written that's over 1,000 pages of the horrors
[00:10:42.631 --> 00:10:46.173]  Neurodegenerative diseases and cancers that it causes.
[00:10:46.393 --> 00:10:47.233]  Betty, we've got a break.
[00:10:47.253 --> 00:10:50.335]  When we come back, there's thousands of studies as you know.
[00:10:50.815 --> 00:10:54.037]  Get into what they did with the monkeys covering it up, that it killed the monkeys in the test.
[00:10:54.077 --> 00:10:55.077]  Rumsfeld covering it up.
[00:10:55.498 --> 00:10:58.719]  How many foods and drinks it's actually in and how we stop it.
[00:10:59.040 --> 00:11:00.200]  Back in 70 seconds.
[00:11:00.240 --> 00:11:00.760]  Stay with us.
[00:11:04.462 --> 00:11:05.983]  Thank you for listening to GCN.
[00:11:06.964 --> 00:11:09.285]  Be sure to visit GCNlive.com today.
[00:11:12.378 --> 00:11:14.059]  Our beloved Republic is on her knees.
[00:11:14.339 --> 00:11:17.781]  The forces of globalism are destroying national sovereignty worldwide.
[00:11:17.962 --> 00:11:19.883]  But in Liberty's darkest hour, there is hope.
[00:11:20.103 --> 00:11:23.145]  For the first time in modern history, the people are beginning to wake up.
[00:11:23.445 --> 00:11:28.928]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:11:29.188 --> 00:11:33.111]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:11:33.431 --> 00:11:38.354]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:11:38.634 --> 00:11:41.395]  PrisonPlanet.tv is a vault of forbidden information.
[00:11:41.675 --> 00:11:48.519]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:11:48.899 --> 00:11:54.722]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:11:54.862 --> 00:11:59.385]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:11:59.705 --> 00:12:02.207]  The Info War is waiting for you to set it free.
[00:12:02.547 --> 00:12:04.208]  Join PrisonPlanet.TV.
[00:12:04.608 --> 00:12:06.389]  Burn the info bombs to disk.
[00:12:06.589 --> 00:12:08.390]  Put them on the file sharing networks.
[00:12:08.730 --> 00:12:10.131]  Bring down the New World Order.
[00:12:10.491 --> 00:12:11.852]  PrisonPlanet.TV.
[00:12:15.054 --> 00:12:16.955]  Waging war on corruption.
[00:12:17.455 --> 00:12:20.217]  Alex Jones on the GCN Radio Network.
[00:12:27.296 --> 00:12:30.378]  All right, we're back live, moving quick, with Betty Martini.
[00:12:30.398 --> 00:12:32.739]  She'll give you her website and some of the other good sites to go to.
[00:12:33.239 --> 00:12:34.580]  It's all documented.
[00:12:34.660 --> 00:12:37.862]  Government documents, government studies, letters, reports.
[00:12:38.042 --> 00:12:40.503]  Everything she says is documented and triplicate.
[00:12:40.983 --> 00:12:42.284]  She's an amazing researcher.
[00:12:42.324 --> 00:12:46.206]  When she started out 17 years ago fighting this, nobody was talking about it.
[00:12:46.647 --> 00:12:55.031]  And she really single-handedly started, ignited the fire that's now got it banned, restricted in nations, and saved undoubtedly tens of millions of people.
[00:12:55.331 --> 00:12:56.192]  It's got to feel good.
[00:12:56.792 --> 00:13:01.478]  And it's another example of what good people can do when they take action against evil.
[00:13:02.219 --> 00:13:04.662]  Who are the other Betty Martinis out there on other issues?
[00:13:04.822 --> 00:13:09.808]  The Second Amendment, open borders, GMO crops, fighting the New World Order.
[00:13:10.349 --> 00:13:11.870]  Where are the other Alex Joneses out there?
[00:13:11.891 --> 00:13:14.874]  Look at all I've been able to do, thanks to you spreading the word.
[00:13:15.999 --> 00:13:17.340]  Alright, Betty Martini.
[00:13:17.780 --> 00:13:19.841]  Again, these are some short segments here at the end of the hour.
[00:13:19.901 --> 00:13:20.782]  Long segment coming up.
[00:13:20.802 --> 00:13:21.963]  We're going to break in about five minutes.
[00:13:22.583 --> 00:13:25.965]  Please continue rolling with what aspartame is.
[00:13:26.365 --> 00:13:33.209]  You gave us some of the history of how it got in, and then now that it's lost its patent, it's been put in tens of thousands of things that we know of.
[00:13:33.889 --> 00:13:36.311]  Okay, and I'm glad you brought up the monkey study.
[00:13:36.371 --> 00:13:40.673]  First of all, aspartame is 40% aspartic acid.
[00:13:42.603 --> 00:13:48.306]  And which is an excitotoxin and stimulates the neurons of the brain to death, causing brain damage.
[00:13:48.346 --> 00:13:52.788]  And Dr. Russell Blaylock wrote the book, Excitotoxins, The Taste That Kills.
[00:13:53.368 --> 00:14:06.335]  Then it has a methyl ester, which immediately becomes free methyl alcohol, which is a severe metabolic poison, converts to formaldehyde, causes metabolic acidosis.
[00:14:06.675 --> 00:14:09.076]  There's 50% phenylalanine, which is an isolate,
[00:14:11.818 --> 00:14:23.341]  ...is a neurotoxin, floods the brain, lowers the seizure threshold, depletes serotonin, and causes psychiatric and behavioral problems, and then interacts with all antidepressants.
[00:14:23.842 --> 00:14:31.604]  The whole molecule breaks down to diketokyprosine, which is a brain tumor agent, which triggered brain tumors in original studies.
[00:14:32.024 --> 00:14:38.166]  So everything about the molecule is poison, and it's genetically engineered.
[00:14:38.706 --> 00:14:39.106]  All of it.
[00:14:39.611 --> 00:14:49.495]  Now, the monkey study that you're referring to, there's a little more on this now, was actually pivotal in the approval of aspartame.
[00:14:49.635 --> 00:14:55.298]  It was a 52-week oral toxicity study done on seven infant monkeys fed aspartame.
[00:14:55.998 --> 00:15:03.542]  Five had grand mal seizures, one died, and they actually used that in the approval of aspartame.
[00:15:04.002 --> 00:15:08.984]  Now, something about that is, as it explains in Dr. Roberts' medical text,
[00:15:09.793 --> 00:15:17.896]  Is that it interacts with all anti-seizure medication, sometimes even after the patient is off of aspartame.
[00:15:18.376 --> 00:15:27.999]  But what is going on now is that they are beginning to put aspartame in the very products used to treat the problems that it causes.
[00:15:28.139 --> 00:15:38.782]  For instance, an informant from Pfizer called and said they had reformulated Dilantin and had put aspartame in it.
[00:15:39.398 --> 00:15:46.046]  And indeed, people are complaining of more seizures and many reactions that aspartame causes.
[00:15:46.973 --> 00:15:50.195]  Such as male sexual dysfunction and all the vision changes.
[00:15:50.395 --> 00:15:52.537]  I mean it's an accelerant, but we're about to break.
[00:15:52.577 --> 00:15:55.578]  Let's go back and then we'll come back and get into the monkey study and what you're covering now.
[00:15:55.658 --> 00:15:57.419]  And it's not just Betty Martini saying this.
[00:15:57.459 --> 00:16:04.804]  All the medical doctors and brain surgeons and toxicologists you've got on your team and it's all documented on your website.
[00:16:04.824 --> 00:16:05.364]  We'll give that out.
[00:16:05.384 --> 00:16:12.648]  But going back, yeah, tell them how they make aspartame when you mentioned that it's, you know, biologically engineered.
[00:16:12.688 --> 00:16:13.389]  Explain that to them.
[00:16:14.329 --> 00:16:14.510]  Well,
[00:16:15.720 --> 00:16:41.117]  It's interesting that Dr. Bill Deagle worked across from the aspartame factory, and he had seen all these vats of this black toxic sludge, and he said that they were told at the hospital not to mention the things that it was causing.
[00:16:41.935 --> 00:16:44.618]  And that they actually insert genes into it.
[00:16:44.638 --> 00:16:46.159]  It's cultured on E. coli.
[00:16:46.799 --> 00:16:49.702]  And he said then it's pressed into a white powder.
[00:16:50.363 --> 00:16:58.650]  And it is, you know, chipped out and then made into the actual NutraSweet product.
[00:16:58.670 --> 00:17:03.714]  And we have the Material Safety Data Sheet on WNHO.net.
[00:17:04.415 --> 00:17:05.115]  And it's
[00:17:06.405 --> 00:17:11.693]  You actually have to wear protective clothing even to go into the plant.
[00:17:12.554 --> 00:17:13.195]  Stop right there.
[00:17:13.235 --> 00:17:14.136]  I'm going to skip this break.
[00:17:14.156 --> 00:17:19.324]  We're going to keep talking right now and I'll come back to everybody else in just three minutes with Betty Martini.
[00:17:19.364 --> 00:17:19.744]  Here we go.
[00:17:22.498 --> 00:17:23.559]  A day unlike any other.
[00:17:23.579 --> 00:17:26.882]  Betty, we're still on the web right now, so we're going to keep talking.
[00:17:27.222 --> 00:17:30.045]  Specifically though, I mean, how did they originally manufacture it?
[00:17:30.085 --> 00:17:31.406]  I mean, I know that's all very guarded.
[00:17:31.726 --> 00:17:32.587]  What is it made up of?
[00:17:32.607 --> 00:17:39.333]  Because I've had Blaylock and other medical doctors on about it, but specifically from all your research, I mean, how are they making this stuff?
[00:17:40.574 --> 00:17:43.336]  Well, they're culturing it on E. coli bacteria.
[00:17:43.937 --> 00:17:48.361]  There's a methyl ester, you know, that becomes free methyl alcohol.
[00:17:48.877 --> 00:17:53.738]  And the problem is, for instance, they give you this propaganda, well, there's more methanol in oranges.
[00:17:54.318 --> 00:18:02.400]  But the problem is that in oranges, you also have ethanol, which is the antidote for methanol toxicity.
[00:18:02.540 --> 00:18:03.941]  Yeah, it's balanced, it's neutral.
[00:18:04.681 --> 00:18:11.103]  Right, and as Dr. Walton pointed out in an article in Discovery, it is also bound to pectin.
[00:18:11.643 --> 00:18:16.404]  But when methanol is free, and not bound,
[00:18:17.029 --> 00:18:19.671]  It's so poisonous.
[00:18:20.151 --> 00:18:34.722]  For instance, now the Krakow study has been done, and I flew to Barcelona to talk to Dr. Alomany, and it showed that it actually embalms living tissue and damages DNA.
[00:18:34.762 --> 00:18:39.785]  And in the medical text, it's actually a page on pre-embalming.
[00:18:40.266 --> 00:18:44.989]  And he told me personally, he says, Betty, this is going to kill 200 million people.
[00:18:47.000 --> 00:18:49.002]  And I said, Dr. Alleman, it already has.
[00:18:49.162 --> 00:18:50.823]  First of all, it's an abortifacient.
[00:18:50.903 --> 00:18:54.406]  It causes all the fatal neurodegenerative diseases.
[00:18:55.126 --> 00:18:59.109]  The Ramazzini study has now showed that it's a multi-potential carcinogen.
[00:19:00.070 --> 00:19:12.679]  He did a second study showing that if a pregnant woman uses it and she is... the baby survives because it's a teratogen and an abortifacient, the child will grow up and get cancer.
[00:19:13.220 --> 00:19:14.641]  And I said, it is causing
[00:19:15.248 --> 00:19:21.010]  So many of these problems that people are just literally... Yeah, we have all these babies getting cancer now.
[00:19:21.110 --> 00:19:25.832]  I mean, the cancer rate in children... Well, a lot of them are being born with brain tumors.
[00:19:26.733 --> 00:19:32.095]  And the new statistics is 1 in 10 worldwide now is autistic.
[00:19:32.535 --> 00:19:34.616]  And that is absolutely outrageous.
[00:19:35.436 --> 00:19:35.777]  And so...
[00:19:37.548 --> 00:19:39.509]  It's the formula of death.
[00:19:39.589 --> 00:19:40.609]  And they're proliferating.
[00:19:40.769 --> 00:19:43.390]  Last time I checked, it was over 10,000 products.
[00:19:43.430 --> 00:19:44.710]  What's the latest number?
[00:19:45.670 --> 00:19:48.631]  Well, they just admitted 6,000 products.
[00:19:49.271 --> 00:19:57.213]  But the problem is that they can put it in artificial and natural flavors.
[00:19:57.293 --> 00:20:02.435]  We have to tell people, do not use anything processed, because then it's hidden.
[00:20:02.895 --> 00:20:06.476]  For instance, if you were to pick up a product and it said vanilla on it,
[00:20:07.324 --> 00:20:11.908]  You wouldn't know that aspartame is in it, but they mix it with a sweetener and it's usually aspartame.
[00:20:11.988 --> 00:20:12.549]  Alright, stay there.
[00:20:12.569 --> 00:20:13.810]  Yeah, they call it a flavoring.
[00:20:14.050 --> 00:20:15.291]  Here we go, back to the full audience.
[00:20:15.311 --> 00:20:17.053]  That was on air as well, but this is the full audience.
[00:20:17.073 --> 00:20:17.333]  Here we go.
[00:20:23.186 --> 00:20:25.349]  He's the T-Rex of political talk.
[00:20:25.950 --> 00:20:28.813]  Alex Jones on the GCN Radio Network.
[00:20:29.674 --> 00:20:31.516]  Betty Martini is our guest.
[00:20:31.536 --> 00:20:34.880]  You can read all the government reports and private studies and others at her website.
[00:20:35.161 --> 00:20:38.024]  She'll give you her site and some other sites here in just a moment.
[00:20:38.044 --> 00:20:39.566]  In fact, Betty, do that now and then
[00:20:40.984 --> 00:20:46.768]  Let's get into how many products Aspartame is really in, what we know, what other governments are saying they know it does.
[00:20:47.709 --> 00:20:54.554]  For those that have problems dealing with this, there have been all sorts of drugs and chemicals they've said aren't bad for you that turn out causing problems and they remove them.
[00:20:55.155 --> 00:20:55.715]  But not now.
[00:20:55.735 --> 00:21:00.799]  It comes out that the chemicals in most plastics are estrogen mimicking and endocrine disruptors.
[00:21:01.199 --> 00:21:02.260]  They just keep it in the market.
[00:21:03.060 --> 00:21:08.982]  It's killed tens of thousands, hundreds of thousands sick now in China from melamine coming into the U.S.
[00:21:09.442 --> 00:21:11.663]  China says it's bad, executes people that put it in.
[00:21:12.063 --> 00:21:13.623]  Our government says no problem with melamine.
[00:21:14.023 --> 00:21:15.064]  Just like with aspartame.
[00:21:15.404 --> 00:21:17.484]  They say mercury is good for children and shots.
[00:21:17.625 --> 00:21:21.946]  When all these major universities show it is the most destructive heavy metal to brain tissue.
[00:21:22.206 --> 00:21:25.547]  Causes electrochemical, literally short circuits and explosions.
[00:21:26.127 --> 00:21:31.652]  It just keeps cutting through the nerves and causes, well you can see it under an electron microscope, they're electrochemical.
[00:21:31.672 --> 00:21:36.295]  It literally is little explosions in the brain, little electrical shorts going on.
[00:21:37.316 --> 00:21:43.020]  So we have them telling us all these poisons are so great, but I can think of no poison worldwide as prolific as aspartame.
[00:21:43.061 --> 00:21:43.561]  In the U.S.
[00:21:43.581 --> 00:21:49.946]  sodium fluoride and its derivatives and subgroups in the water is probably worse than aspartame just because everybody's exposed to it.
[00:21:52.407 --> 00:22:03.830]  Okay, first of all, I have in front of me the statement from Dr. Deagle about how it's made, and maybe this will help you understand.
[00:22:04.370 --> 00:22:08.871]  He says, Most people, when asked how aspartame is made, do not have the first step of understanding.
[00:22:09.331 --> 00:22:18.114]  While an ER doctor and primary care physician in Augusta in 87 and 88, I was told a number of interesting facts about the adjacent aspartame factory.
[00:22:18.638 --> 00:22:28.322]  Bacteria with genes inserted generate a sludge which is centrifuged to remove the aspartame and many hundreds of contaminant organic and amino acids are present.
[00:22:28.742 --> 00:22:36.925]  We were told not to report illness or organs compensation issues for fear of being fired by the hospital, now the Augusta Region Medical Center.
[00:22:37.366 --> 00:22:45.929]  Many of their employees presented with psychiatric neuropathy conditions, chronic fatigue and organic cases of loss of cognitive function.
[00:22:46.331 --> 00:22:47.572]  What's going on around the world now?
[00:22:47.592 --> 00:22:49.554]  I lectured in New Zealand when Abby Cormack
[00:23:12.737 --> 00:23:15.158]  Almost died from Wrigley's Aspartame gum.
[00:23:15.198 --> 00:23:28.804]  And I want to warn people, because after a suit was filed against them because of this in 2004, although it was, they got out of it, Wrigley's arrogantly turned around and put it in all but two of their gums.
[00:23:29.004 --> 00:23:39.709]  It is the most dangerous product because, as Dr. Roberts wrote a paper on it, it works like nitroglycerin under the tongue, goes through saliva, straight to the brain.
[00:23:40.416 --> 00:23:50.843]  And they were about to diagnose her with bipolar until she found out, and I went over and lectured in the medical schools, and now they are petitioning for the ban in New Zealand.
[00:23:51.864 --> 00:23:59.049]  In the Philippines, in fact, I just happened to meet their councilman who was trying to get it banned there.
[00:23:59.269 --> 00:24:06.574]  I talked to the California Board of Medicine, and he came in from the Philippines and talked about what was going on there.
[00:24:07.673 --> 00:24:08.734]  By the way, let me stop you.
[00:24:08.774 --> 00:24:10.615]  I just looked up how aspartame is made.
[00:24:10.635 --> 00:24:19.119]  I'm on university websites and it says it is a organic, there's a whole bunch of these, a organic fermentation process.
[00:24:19.139 --> 00:24:28.744]  So what, what, what Deagle said, I mean, I've read this before separately, but I mean, if you just Google it, it's on university sites and it says they ferment it like beer.
[00:24:29.165 --> 00:24:30.405]  So it is bacteria.
[00:24:30.805 --> 00:24:31.226]  Go ahead.
[00:24:31.646 --> 00:24:32.987]  It's made from bacteria.
[00:24:33.047 --> 00:24:33.287]  Yes.
[00:24:33.927 --> 00:24:35.008]  It's pretty well known now.
[00:24:36.875 --> 00:24:45.401]  Recently, now it's been two or three years, Parliament, there were 40... Hold on, here it is!
[00:24:45.482 --> 00:24:55.950]  Genetically engineered bacteria, which are fed these altered amino acids, and over the course of three days, the amino acids are harvested and the bacteria are destroyed.
[00:24:56.410 --> 00:24:57.091]  Yeah, it's true!
[00:24:57.511 --> 00:25:00.534]  Oh my God, I'm reading the actual photos of this!
[00:25:00.614 --> 00:25:01.134]  Oh my gosh!
[00:25:01.234 --> 00:25:02.255]  Okay, go ahead.
[00:25:02.275 --> 00:25:02.656]  Go ahead.
[00:25:04.864 --> 00:25:08.566]  Yes, it's absolutely in the records now.
[00:25:09.787 --> 00:25:13.409]  But anyway, 47 members of Parliament signed for a ban.
[00:25:13.909 --> 00:25:21.213]  So now the European Food Safety Authority is now doing another review, which will end in January.
[00:25:21.794 --> 00:25:25.816]  And it would just be wonderful if we could get it banned in Europe.
[00:25:26.896 --> 00:25:33.120]  We did try in Hawaii last year, and we had problems with it.
[00:25:33.644 --> 00:25:38.868]  But we are trying to get a co-sponsor now to go back through the Hawaiian legislature.
[00:25:39.589 --> 00:25:51.859]  And then I testified for the New Mexico House and Senate when they tried to ban it and the Capitol was just saturated with lobbyists.
[00:25:52.179 --> 00:25:54.361]  But they're going to try to do that again this year.
[00:25:54.461 --> 00:25:58.665]  So even states in the United States are trying to ban it.
[00:25:59.065 --> 00:26:01.347]  Now here's one of the problems.
[00:26:01.966 --> 00:26:05.509]  In 2002, I wrote a citizen's petition for ban.
[00:26:06.530 --> 00:26:10.953]  You can find it on the FDA website, 190 pages of evidence.
