[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[00:07:03.298 --> 00:07:06.140]  I'd call people in the military, at the Pentagon.
[00:07:06.821 --> 00:07:10.343]  And they would answer, and they would give me answers, and they would return calls and all that.
[00:07:10.483 --> 00:07:16.747]  And I finally went to a couple of museums, and I was assistant curator in Hartford, West Harbor, Connecticut.
[00:07:17.708 --> 00:07:23.872]  And one day, I got a call, and the voice at the other end of the line said, My name is Frank Benitez.
[00:07:24.572 --> 00:07:27.394]  I'm associate producer of CBS News special events.
[00:07:28.004 --> 00:07:29.745]  We'd like you to help us go to the moon.
[00:07:30.865 --> 00:07:35.347]  And like that great line in Bill Cosby's routine, I said, come on, who is this?
[00:07:35.567 --> 00:07:35.928]  Really?
[00:07:37.248 --> 00:07:39.869]  And it turned out to be Frank Menezes from CBS News.
[00:07:40.850 --> 00:07:54.016]  And so I went and had the most extraordinary education at CBS News from 1968, just before the first Apollo 8 mission around the moon, to the early 1970s.
[00:07:54.036 --> 00:07:54.316]  71, I believe.
[00:07:57.877 --> 00:08:04.761]  Um, and I'm sure I learned far more than I imparted, because I saw how big media works.
[00:08:05.521 --> 00:08:15.466]  I saw how the Tiffany Network, you know, the legendary, you know, legacy of Murrow, actually worked in its heyday.
[00:08:16.269 --> 00:08:20.830]  When Walter came back from Vietnam, looked into the camera and said, it's lost.
[00:08:21.491 --> 00:08:26.052]  And, you know, Nixon and Agnew said to each other, well, we lost him.
[00:08:26.272 --> 00:08:27.332]  You know, the war has to end.
[00:08:27.712 --> 00:08:29.293]  If we lost Walter, we lost the country.
[00:08:30.233 --> 00:08:38.676]  I was so privileged to work with a man of integrity, a guy who actually believed the things that he was writing about and reporting on.
[00:08:39.016 --> 00:08:42.397]  Remember when Walter was the one dissident voice during the first Gulf War?
[00:08:46.337 --> 00:08:53.720]  How he was, he was a voice of reason saying all we're seeing is basically a scripted television plot.
[00:08:54.421 --> 00:09:01.424]  We're not allowed, you know, remember the, that was before they came up with the idea of embedding reporters so that they basically could watch them 24-7.
[00:09:03.272 --> 00:09:09.557]  Um, and there were a couple of guys that struck out across the desert and tried to find independent information and got caught by Saddam and all that.
[00:09:09.597 --> 00:09:18.603]  Well, Walter was one of the only voices that basically raised questions about this rah-rah, we're gonna go beat this bad guy, you know, the new Neo-Hitler.
[00:09:19.624 --> 00:09:23.927]  Um, anyway, so back when I was working for him, I learned about sourcing.
[00:09:24.867 --> 00:09:27.149]  And, you know, I learned the journalism side.
[00:09:27.209 --> 00:09:29.931]  I knew the science side, but I really learned journalism.
[00:09:31.050 --> 00:09:35.275]  At the feet of a guy who really was a master.
[00:09:36.116 --> 00:09:39.480]  And I started looking around and I remember one vivid day.
[00:09:39.801 --> 00:09:46.449]  You want to know the moment, Alex, when I began to realize that the facade was not what it was supposed to be?
[00:09:46.469 --> 00:09:48.271]  Yeah, tell me that light bulb moment.
[00:09:49.091 --> 00:09:50.612]  It was very early on.
[00:09:50.973 --> 00:10:05.604]  It was critical, and if I hadn't been asked by the Cronkite people to be there and help them create this extravaganza to show people what it was like to go to the moon, I wouldn't have had a helicopter lightbulb moment or it would have come a lot later.
[00:10:06.444 --> 00:10:08.726]  It was on a Sunday afternoon.
[00:10:09.587 --> 00:10:12.589]  There were a bunch of us sitting around in Bob Westler's office.
[00:10:12.649 --> 00:10:15.451]  Bob Westler was the executive producer of CBS Special Events.
[00:10:15.992 --> 00:10:18.554]  He went on to become president of CBS News.
[00:10:19.133 --> 00:10:19.653]  For a while.
[00:10:20.114 --> 00:10:22.555]  Then he went and helped Ted Turner set up his network.
[00:10:23.615 --> 00:10:25.637]  Um, which was called CNN.
[00:10:26.477 --> 00:10:29.218]  Anyway, Walter was a child prodigy.
[00:10:29.238 --> 00:10:34.421]  He was a brilliant guy, very egocentric, very... I mean, in order to be in that position, you gotta be, right?
[00:10:35.302 --> 00:10:46.848]  Um, and we were sitting around in his office, you know, he had the cabinet open, and there was some, you know, liquor flowing around, and we were just kind of watching the news conference that was supposed to be coming in from Houston.
[00:10:48.421 --> 00:10:49.282]  Uh, by satellite.
[00:10:50.043 --> 00:10:51.184]  Uh, from the astronauts.
[00:10:51.444 --> 00:10:55.428]  I forget which crew was coming back, um, from the moon.
[00:10:56.029 --> 00:10:56.889]  I think it was Apollo 8.
[00:10:57.370 --> 00:10:58.111]  It had to be Apollo 8.
[00:10:58.351 --> 00:11:00.353]  So it was December of 1968.
[00:11:01.794 --> 00:11:11.384]  And we're sitting around and there's, you know, a couple of producers and a researcher and me and Lester and, you know, some people coupling papers and bringing in stuff from the rest of the office.
[00:11:12.031 --> 00:11:18.694]  And we're just kind of, you know, we're kind of laid back because our correspondent there in Houston was going to ask the questions during the uplink.
[00:11:18.714 --> 00:11:24.917]  This is the first time they were going to actually allow correspondents to talk to astronauts directly.
[00:11:25.057 --> 00:11:30.500]  Okay, I want to hear about this on the other side of the break with Richard C. Hoagland.
[00:11:31.160 --> 00:11:35.783]  We're going to skip the break after that for behind the scenes at presentplanet.tv.
[00:11:35.823 --> 00:11:37.743]  We'll be back in just a few minutes with Richard C. Hoagland.
[00:11:37.764 --> 00:11:40.465]  Then we're going to get into the beginning of NASA.
[00:11:41.658 --> 00:11:49.828]  The three groups that made up the founding of NASA, which is a creature of the president, a creature of the executive branch.
[00:11:54.458 --> 00:11:55.519]  Hi, this is Ted Anderson.
[00:11:55.899 --> 00:12:01.381]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:12:01.962 --> 00:12:02.462]  That's right.
[00:12:02.782 --> 00:12:05.063]  Gold has been available to be placed in IRAs since 1986.
[00:12:05.624 --> 00:12:12.547]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:12:13.107 --> 00:12:20.799]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds and CDs, yet no word about IRAs.
[00:12:21.240 --> 00:12:26.047]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:12:26.704 --> 00:12:31.727]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:12:32.527 --> 00:12:36.650]  Don't get left behind by rising inflation and low return on your paper investments.
[00:12:37.050 --> 00:12:37.310]  Call 800-686-2237.
[00:12:37.350 --> 00:12:39.231]  Make sure that you secure your future.
[00:12:39.311 --> 00:12:39.611]  Call 800-686-2237.
[00:12:39.911 --> 00:12:40.172]  That's 1-800-686-2237.
[00:12:52.759 --> 00:12:58.222]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:12:58.482 --> 00:12:59.803]  And we knew what to do.
[00:12:59.823 --> 00:13:01.564]  Or at least we thought we did.
[00:13:01.804 --> 00:13:08.227]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:13:08.847 --> 00:13:15.551]  Whitman, EPA director on the 18th, made a statement that the air
[00:13:16.240 --> 00:13:17.400]  We're safe to breathe.
[00:13:17.740 --> 00:13:24.543]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:13:24.823 --> 00:13:27.904]  He had his hand over the radio while he was getting a countdown.
[00:13:28.004 --> 00:13:33.245]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom.
[00:13:33.765 --> 00:13:36.446]  This is an emergency transmission worldwide.
[00:13:36.846 --> 00:13:42.688]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:13:42.888 --> 00:13:45.329]  Or order the DVD at InfoWars.com.
[00:13:45.809 --> 00:13:50.834]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:13:52.115 --> 00:13:55.178]  You ever have one of those days where everything goes right?
[00:13:55.538 --> 00:13:57.600]  First, I get the best parking space at work.
[00:13:57.860 --> 00:14:00.863]  Tonight, I have a date with a very lovely Rachel.
[00:14:01.163 --> 00:14:10.152]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston, online, from my desk, with WebEx.
[00:14:10.652 --> 00:14:13.714]  Webex lets me take meetings and give presentations from my desk.
[00:14:13.934 --> 00:14:18.576]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:14:18.716 --> 00:14:22.418]  So I can travel the world and still be here for my date tonight with Rachel.
[00:14:22.658 --> 00:14:24.179]  Travel less, meet online.
[00:14:24.279 --> 00:14:26.760]  Go to Webex.com and try Webex free.
[00:14:26.940 --> 00:14:29.262]  Just click the radiographic and enter promo code 500.
[00:14:30.302 --> 00:14:31.742]  Hey, Bonnie, no more pickpocketing for us.
[00:14:31.842 --> 00:14:37.084]  I have an easier way we can steal people's credit cards without them even knowing they've been robbed.
[00:14:37.304 --> 00:14:37.664]  How so, Clyde?
[00:14:59.949 --> 00:15:02.711]  I have this RFID reader I picked up on the internet.
[00:15:02.891 --> 00:15:07.554]  Just by waving it near you, I can skim your credit card information while your cards are still in your purse.
[00:15:07.754 --> 00:15:08.295]  Just watch.
[00:15:08.895 --> 00:15:10.836]  Hey look, that's my info on the screen.
[00:15:10.976 --> 00:15:12.237]  You gotta be kidding me!
[00:15:12.477 --> 00:15:12.718]  Nope.
[00:15:12.858 --> 00:15:16.900]  With 50 million credit cards with hidden RFID chips, I figure we'll make a fortune.
[00:15:17.140 --> 00:15:19.322]  As long as people don't hear about Identity Stronghold.
[00:15:19.562 --> 00:15:19.902]  Why?
[00:15:20.103 --> 00:15:21.864]  What's Identity Stronghold?
[00:15:22.064 --> 00:15:23.385]  They make the Secure Sleeve.
[00:15:23.606 --> 00:15:27.169]  When people keep their credit cards in the shielded Secure Sleeve, I can't read them.
[00:15:27.209 --> 00:15:30.172]  Do a lot of people already know about the Secure Sleeve?
[00:15:30.292 --> 00:15:30.932]  No way.
[00:15:31.152 --> 00:15:34.535]  Most people don't realize they even have chips in their credit cards and passports.
[00:15:34.716 --> 00:15:37.318]  Clyde, we should get some of those Secure Sleeves.
[00:15:37.438 --> 00:15:38.359]  I already got some.
[00:15:38.559 --> 00:15:40.221]  I also got some to fit our passports.
[00:15:40.461 --> 00:15:45.105]  Identity Stronghold has Secure Sleeves for sale right on the internet at idstronghold.com.
[00:15:45.445 --> 00:15:47.067]  IDStronghold.com?
[00:15:47.268 --> 00:15:47.608]  Right!
[00:15:47.768 --> 00:15:48.749]  Or you can call them at 1-800-610-2770.
[00:16:17.458 --> 00:16:18.438]  Dark Majesty.
[00:16:18.458 --> 00:16:25.961]  It's Tex Marr's book, getting into the whole secret government available at Infowars.com.
[00:16:27.581 --> 00:16:35.183]  And a book that gets even more in-depth into NASA and how this whole empire hooks together is Dark Mission, The Secret History of NASA.
[00:16:35.203 --> 00:16:43.146]  Richard C. Hoagland, who was a consultant to NASA, curator of a major museum, designed some of the things that were sent out on deep space aircraft.
[00:16:44.026 --> 00:16:51.288]  You came up with the conceptual ideas for it, and of course working with Walter Cronkite there at CBS News is our guest.
[00:16:51.948 --> 00:17:02.251]  We've gotten to the point where you're sitting in there, the first time your correspondent is going to be allowed, or correspondent period, to talk to the astronauts when they're on the moon.
[00:17:02.591 --> 00:17:02.971]  Go ahead.
[00:17:03.731 --> 00:17:07.572]  Yeah, I think you meant deep space spacecraft, not aircraft, right?
[00:17:07.712 --> 00:17:08.012]  Yes.
[00:17:08.552 --> 00:17:09.813]  No, deep space aircraft.
[00:17:09.833 --> 00:17:11.093]  Deep space hot air balloons.
[00:17:12.910 --> 00:17:19.297]  Anyway, so we're sitting around in the executive producer's suite, because he had a big office in the suite, and we're just kicking back.
[00:17:19.337 --> 00:17:21.680]  It's on a Sunday afternoon, and we're watching our guy.
[00:17:22.180 --> 00:17:26.125]  Remember, NASA used to jealously guard any access to the astronauts.
[00:17:27.143 --> 00:17:32.868]  During the Mercury program, they have what they call a capsule communicator, the Capcom, who is usually another astronaut.
[00:17:33.368 --> 00:17:44.696]  And even the flight directors or the head of NASA normally would go through the Capcom to talk to the crews in orbit, as opposed to picking up the phone or picking up the mic and talking to the director.
[00:17:45.077 --> 00:17:47.459]  So this was a real break with this tradition.
[00:17:47.979 --> 00:17:49.160]  It was the first time
[00:17:49.730 --> 00:17:58.514]  That ordinary reporters were going to be allowed to ask questions directly of a NASA crew in space during a live mission.
[00:17:58.934 --> 00:18:02.615]  So it was a big deal for the network, and it was a big deal for our unit and all that.
[00:18:02.635 --> 00:18:05.236]  So we're sitting there watching to see how it was going to play out.
[00:18:05.897 --> 00:18:16.761]  And NASA comes on and says, you know, I think it was Paul Haney in those days, well, we're having a small delay, you know, the press conference will be in 15 minutes or something like that.
[00:18:17.541 --> 00:18:18.842]  So we had another round, right?
[00:18:19.805 --> 00:18:21.166]  And then it comes on again.
[00:18:21.226 --> 00:18:24.830]  Well, the press conferences, you know, we're having a small technical problem.
[00:18:26.171 --> 00:18:33.077]  The spacecraft has not yet risen over the horizon at Goldstone.
[00:18:33.117 --> 00:18:34.818]  Goldstone was on the big tracking station.
[00:18:35.459 --> 00:18:37.641]  So we have to wait for acquisition of signal.
[00:18:38.601 --> 00:18:41.484]  Something about that kind of bothered me.
[00:18:42.395 --> 00:18:52.381]  So I literally, Alex, I literally took a... I was sitting in a chair by Wester's desk, so I took the back of an envelope on his desk and I started to do some scribbling, some calculation.
[00:18:53.822 --> 00:18:56.243]  And I looked at my numbers and I thought, this is nuts.
[00:18:57.184 --> 00:19:02.087]  And I shoved the paper over to Wester and I said, Bob, I said, NASA's lying.
[00:19:03.688 --> 00:19:09.091]  If that's true, if what they're saying is true, those damn mountains have to be five miles high.
[00:19:10.352 --> 00:19:10.872]  And they're not.
[00:19:12.233 --> 00:19:14.975]  And that was the first time two things hit.
[00:19:15.515 --> 00:19:24.240]  One was that this agency that I believe was the agency, was for some stupid reason not telling us the truth, couldn't figure out what the agenda was.
[00:19:25.020 --> 00:19:31.544]  And then the reaction from my own, you know, guy, who had hired me, was, oh come on, you gotta be wrong.
[00:19:31.784 --> 00:19:32.685]  NASA would not lie.
[00:19:33.845 --> 00:19:36.927]  And this had persisted down to the present.
[00:19:36.967 --> 00:19:38.068]  The mainstream media
[00:19:38.960 --> 00:19:41.902]  Even when this agency has killed people.
[00:19:42.623 --> 00:19:53.069]  I'm talking Challenger, I'm talking Columbia, I'm talking bizarreness like the Lisa Nowak case, which makes no sense at all, unless you start asking deeper questions.
[00:19:54.250 --> 00:19:59.834]  NASA is a we-can-do-no-wrong agency even when they're blatantly, flagrantly doing wrong.
[00:20:00.908 --> 00:20:15.619]  And that to me has been a mystery that still fascinates me because it's like with so much demonstrable, not only just error, but deliberate malfeasance, deliberate, you know, skullduggery, deliberate lying.
[00:20:16.440 --> 00:20:23.125]  Why does this agency maintain this pristine example of the, you know, as Reagan used to say, the shining city on the hill?
[00:20:24.193 --> 00:20:40.635]  And that's another question that I don't have a good answer for, but I want a lot of people to think about it, because unless we crack the facade, I mean, there are other institutions in this society where no matter what you lay out, people will not believe that your data is right, and the institutional
[00:20:41.315 --> 00:20:45.318]  facade or persona or manufactured image is wrong?
[00:20:45.339 --> 00:20:46.199]  Well, here's an example.
[00:20:46.239 --> 00:21:07.517]  That happened first... I mean, a good example is, at first they would bust high-level Catholic priests, cardinals, fathers, monsignors, raping children, and for decades the police wouldn't even investigate or prosecute because you don't go after a cardinal, you don't go after a bishop, you don't go after a bigwig,
[00:21:08.317 --> 00:21:09.959]  I mean, that's impossible.
[00:21:10.019 --> 00:21:10.680]  It can't be true.
[00:21:10.760 --> 00:21:16.388]  And now we know about a third of them, it turned out, were involved or involved in the cover-up.
[00:21:16.708 --> 00:21:18.190]  I mean, is that a good analogy?
[00:21:18.210 --> 00:21:19.472]  It's an excellent analogy.
[00:21:19.512 --> 00:21:21.314]  In fact, I was kind of in the back of my mind.
[00:21:21.334 --> 00:21:24.799]  That being a Reformed Catholic, that was kind of what was on my mind.
[00:21:25.259 --> 00:21:25.499]  Wow.
[00:21:25.919 --> 00:21:26.800]  Okay, we'll stay there.
[00:21:26.820 --> 00:21:29.981]  We're going to talk behind the scenes about some of the things you want to bring up.
[00:21:30.001 --> 00:21:34.783]  When we get back, the basic history of NASA, all verifiable, but still just amazing.
[00:21:34.803 --> 00:21:36.104]  Then we'll get into mind control.
[00:21:36.704 --> 00:21:40.406]  Are they covering up artifacts on the Moon and Mars?
[00:21:40.466 --> 00:21:41.066]  A lot more.
[00:21:42.807 --> 00:21:43.687]  We're on the march.
[00:21:44.188 --> 00:21:45.788]  The Empire's on the run.
[00:21:46.729 --> 00:21:49.410]  Alex Jones and the GCN Radio Network.
[00:21:52.947 --> 00:21:53.828]  Hello, I'm Dr. Leonard Horowitz.
[00:21:53.908 --> 00:21:55.769]  I'm going to go ahead and talk to him behind the scenes.
[00:21:57.450 --> 00:21:58.051]  Mr. Hoagland?
[00:21:58.671 --> 00:21:59.011]  Yes, sir.
[00:21:59.492 --> 00:22:00.812]  I think the interview is going great.
[00:22:00.832 --> 00:22:06.096]  For folks that are watching out there, I want to keep the discussion congruent so we'll come back to the history of NASA when we return.
[00:22:06.116 --> 00:22:10.379]  But in the two and a half minutes, we've got to tell stories.
[00:22:11.840 --> 00:22:20.184]  So you start questioning NASA at that point, you start saying, we're being lied to, there's no way the radio signals couldn't get over mountains unless they were five miles tall.
[00:22:20.404 --> 00:22:24.386]  Well, remember, you're on a rotating planet, so things rise and set.
[00:22:24.466 --> 00:22:33.811]  So they were waiting for the spacecraft literally to rise over the horizon at Goldstone, which is located west of Los Angeles, out in the desert there, at a place called Barstow, California.
[00:22:34.572 --> 00:22:39.254]  And my calculation proved, unequivocally, that the spacecraft had already risen.
[00:22:40.017 --> 00:22:41.858]  You know, because we had charts and maps.
[00:22:41.918 --> 00:22:43.978]  I mean, maps used to give us incredible information.
[00:22:44.018 --> 00:22:44.659]  No, I understand.
[00:22:44.959 --> 00:22:48.760]  So then you start questioning, what was the next lie you caught him in?
[00:22:49.720 --> 00:22:50.221]  Oh, God.
[00:22:50.241 --> 00:22:52.121]  I mean, now you're looking for lies.
[00:22:52.361 --> 00:22:53.862]  What was the next big one you remembered?
[00:22:54.082 --> 00:23:05.706]  No, this was one of those, it's kind of like, if you have an impenetrable shield and something cracks the shield, from then on you start asking, why are they saying this?
[00:23:06.826 --> 00:23:08.047]  It only takes one
[00:23:08.817 --> 00:23:09.297]  Event.
[00:23:09.797 --> 00:23:12.299]  You know, swan swallow to make a summary, as the cliche goes.
[00:23:12.859 --> 00:23:16.320]  And it was at that point that I realized that NASA would lie.
[00:23:17.401 --> 00:23:38.170]  And it turned out later that the reason for the lie, this is what's the kicker, was so incredibly stupid and trivial, it turned out that Jules Bergman, who was one of the correspondents, the lead correspondent, we had Cronkite, we had Hartley and Brinkley over at CBS,
[00:23:39.094 --> 00:23:43.578]  Uh, and then we had, uh, what's his name, uh, Jules Bergman at ABC.
[00:23:43.598 --> 00:23:45.339]  There were only three networks in those days.
[00:23:46.059 --> 00:23:47.781]  Bergman wanted to be an astronaut.
[00:23:47.821 --> 00:23:48.581]  He did all the stuff.
[00:23:48.601 --> 00:23:57.688]  He went through the, you know, the chill tanks and the whirly gigs and all the training that the astronauts had gone through to prove that, you know, it was basically the right stuff.
[00:23:58.248 --> 00:24:00.170]  You know, his testosterone level was pretty high.
[00:24:00.882 --> 00:24:01.843]  Actually, I knew him.
[00:24:01.903 --> 00:24:03.104]  He was a pretty great guy.
[00:24:03.164 --> 00:24:07.828]  He actually asked me for some information when I was pool correspondent.
[00:24:07.868 --> 00:24:09.009]  Sure, but what was the reason?
[00:24:09.750 --> 00:24:11.572]  Well, the reason was Jules Bergman.
[00:24:12.232 --> 00:24:14.835]  He had drunk too much the night before.
[00:24:15.535 --> 00:24:17.677]  And he was hungover in his motel room.
[00:24:18.418 --> 00:24:20.580]  And he got to the Space Center late.
[00:24:21.481 --> 00:24:27.006]  And all of NASA was holding this press conference to cover for Bergman being
[00:24:27.887 --> 00:24:28.988]  Basically hungover.
[00:24:29.048 --> 00:24:33.411]  And that's how a lying culture starts, though, is you lie for little reasons.
[00:24:33.471 --> 00:24:38.936]  Instead of saying, we're late with the press conference, they tell a lie, and then you start investigating and find bigger ones.
[00:24:39.436 --> 00:24:46.021]  Well, the thing was here, they were lying to protect one of their own, which was a double communication.
[00:24:46.221 --> 00:24:47.242]  Sure, here we go.
