[00:00:00.369 --> 00:00:04.051]  Alex Jones on the GCN Radio Network.
[00:02:36.633 --> 00:02:37.034]  Free fall.
[00:02:37.094 --> 00:02:39.715]  Falling at the speed of gravity as Richard has always said.
[00:02:39.735 --> 00:02:41.456]  They tried to spin it and claim 14 seconds.
[00:02:41.937 --> 00:02:47.300]  Now they've had to cut that in half and they're admitting that it did fall at free fall speeds.
[00:02:48.160 --> 00:02:56.345]  And so, again, these scientific questions are making a lot of scholarly individuals with a lot of letters behind their name look at the raw data.
[00:02:56.786 --> 00:03:00.008]  Architecture engineers and scholars from 9-11 Truth and many others have gotten
[00:03:01.068 --> 00:03:12.313]  He's published reports in peer-reviewed journals detailing their findings, and some of the most prestigious peer-reviewed journals out there have found their findings to be conclusive.
[00:03:12.933 --> 00:03:19.416]  And he's fresh back from a tour of Europe to crowds of hundreds, and in some cases thousands, of people.
[00:03:19.796 --> 00:03:27.700]  He's also spoken in New Jersey and New York, brought into town by police officers and others to talk to folks, and he's gone through a lot
[00:03:28.560 --> 00:03:30.621]  of attacks to bring you this information.
[00:03:30.701 --> 00:03:55.086]  So I want to salute Richard Gage for all his fine work and commend him, another example of what a highly motivated, focused, professional person can do in the defense of not just this republic, but in the defense of those that were murdered on 9-11 and now the millions that have died around the world in the war on terror, the million-plus Iraqis that have died in the name of that lie and false flag is now a household term.
[00:03:55.926 --> 00:03:59.450]  Self-inflicted wound is now part of the nomenclature.
[00:04:00.800 --> 00:04:04.521]  And now it comes out in major publications that Cheney wanted to stage terror attacks on U.S.
[00:04:04.561 --> 00:04:07.821]  ships just six months ago as a pretext to attack Iran.
[00:04:08.102 --> 00:04:10.442]  Thank God the military got the word out and stopped that.
[00:04:11.002 --> 00:04:13.303]  We now know that's why Admiral Fallon resigned.
[00:04:13.683 --> 00:04:15.403]  He was not going to be part of attacking U.S.
[00:04:15.443 --> 00:04:18.484]  ships with fake Iranian patrol boats.
[00:04:18.984 --> 00:04:28.666]  So a lot is happening and the truth is coming out on international television in England, in Germany, in Japan, in Russia, in the Middle East, in
[00:04:31.144 --> 00:04:31.544]  Thank you, Alex.
[00:04:31.604 --> 00:04:33.005]  It's just great to be with you again.
[00:04:33.025 --> 00:04:33.786]  I can't tell you.
[00:04:33.806 --> 00:04:34.366]  I'm really excited.
[00:04:50.734 --> 00:05:02.161]  Well, we've gone over the evidence of controlled demolition in all three of the towers, and not just the eyewitnesses, but the scientific evidence, but can you recap the last six months since you were on with us?
[00:05:02.821 --> 00:05:10.766]  What has happened with NIST, having to go back on their previous reports, and where the scientific investigation is right now?
[00:05:12.267 --> 00:05:17.731]  Yes, well, NIST came out with their draft report of World Trade Center 7,
[00:05:18.584 --> 00:05:26.812]  The third high-rise that came down, not hit by an airplane, came down in the afternoon about 5.20 on 9.11.
[00:05:28.193 --> 00:05:42.127]  We'll talk about how it came down, but seven years later, finally, we have a draft report in August in which they try to document that it was 40% of gravity that the building came down.
[00:05:44.826 --> 00:06:13.304]  Upon questions by physicist David Chandler and scientist Dr. Stephen Jones, they publicly had to backtrack and fumble their way through the conference, and in their final report, which just came out in November last month, they acknowledge that in the first two and a quarter seconds, this 47-story building drops at free-fall speed, which is eight stories.
[00:06:13.965 --> 00:06:26.915]  Now, prior to this, in August, they said publicly that it couldn't have fallen free-fall speed, because had it, that would mean there would have been no structure.
[00:06:27.775 --> 00:06:33.379]  And so now they're acknowledging free-fall speed, but they're not saying, well, there must not have been structure there.
[00:06:33.920 --> 00:06:40.865]  In other words, what they're basically acknowledging to the 9-11 Truth Movement and the world is that
[00:06:41.860 --> 00:06:57.388]  The structure had to have been removed for those eight stories because a building cannot fall at free fall speed and convert all of its gravitational potential energy to kinetic energy and do any other work.
[00:06:58.067 --> 00:07:05.291]  It can't crush the 40,000 tons of steel that was in the building that was designed to resist any type of collapse.
[00:07:05.412 --> 00:07:22.362]  And again, this was the FEMA command bunker overbuilt for strength CIA, FBI, Defense Intelligence, more than 20 secretive federal agencies based there, their largest section offices outside of Virginia and Maryland in the world.
[00:07:23.564 --> 00:07:25.325]  Well, that was on the 23rd floor.
[00:07:25.385 --> 00:07:41.490]  Yes, it was a very highly secure bunker, complete with all that they needed in the way of electricity, water, and backup electricity, reinforced windows against all kinds of hurricanes and so forth.
[00:07:41.530 --> 00:07:45.251]  But all of this was abandoned on the morning of 9-11.
[00:07:45.751 --> 00:07:48.372]  For Tripod 2, a terror attack drill.
[00:07:49.741 --> 00:08:03.309]  They had already moved out the night before most of their operations out on the pier, as FEMA said, because they were doing a top-off two-drill, a tripod two-drill for a terror attack.
[00:08:04.190 --> 00:08:16.837]  Yes, we understand that there were hundreds of FEMA employees the day before 9-11 in preparation for a mock biochemical attack in downtown Manhattan, and we are wondering if that is just a coincidence or not.
[00:08:17.406 --> 00:08:26.130]  But the 550 architects and engineers who are demanding a real investigation do try to stick with the technical evidence.
[00:08:26.551 --> 00:08:34.215]  We're not conspiracy theorists, so we really do want others to investigate these matters, and we're glad that you're one of them.
[00:08:34.235 --> 00:08:40.738]  Let's talk about that matter next, of the 550, and now a year and a half joining your group, and how it's growing exponentially.
[00:08:41.138 --> 00:08:44.460]  But before we go there, I'm not an architect, I'm not an engineer.
[00:08:45.519 --> 00:08:48.903]  But this is the main show that brought up the Building 7 controversy day one.
[00:08:48.943 --> 00:08:58.254]  I remember hearing the news as I was driving in my car back to the studio saying they're going to bring Building 7 down, the Salomon Brothers, they're going to have a controlled demolition so it doesn't damage other buildings.
[00:08:59.535 --> 00:09:05.462]  Other people remember those reports, the false reports, BBC, Fox, CNN reporting it had fallen before it fell.
[00:09:06.403 --> 00:09:10.607]  But I wanted to be specific here, you know, watching what NIST has said.
[00:09:10.647 --> 00:09:13.630]  First, they said free fall is impossible because that would have to be explosives.
[00:09:13.690 --> 00:09:18.796]  Only explosives can, you know, do that because as it falls it takes time to crush, you know, the next level.
[00:09:19.236 --> 00:09:21.779]  And, you know, the basic science shows that.
[00:09:22.619 --> 00:09:25.362]  But we have footage now of the entire building falling.
[00:09:25.382 --> 00:09:29.285]  They love to show a video from a mile away with a building in the way.
[00:09:29.345 --> 00:09:35.570]  We only see the first 25 stories or so because the other 20-something stories are below the field of view.
[00:09:35.590 --> 00:09:37.532]  But in the other videos, we've timed it.
[00:09:38.252 --> 00:09:39.173]  I don't follow you.
[00:09:39.193 --> 00:09:41.656]  They acknowledge the free fall.
[00:10:00.713 --> 00:10:04.337]  But they certainly are being deceptive about the implications of that.
[00:10:04.377 --> 00:10:05.098]  Well, not just that.
[00:10:05.158 --> 00:10:07.340]  They're saying that the freefall was only partial.
[00:10:07.700 --> 00:10:11.784]  But when I watch the videos, it's a continual freefall, not just of 8 stories, but 47.
[00:10:12.145 --> 00:10:14.047]  Oh, yeah.
[00:10:14.147 --> 00:10:15.869]  No, it actually does slow down.
[00:10:15.929 --> 00:10:19.632]  I encourage your listeners to look at the 10-minute video.
[00:10:19.692 --> 00:10:21.234]  That says it's piling up at the bottom.
[00:10:22.168 --> 00:10:26.411]  Yeah, it begins to slow down after about two and a half seconds, just slightly.
[00:10:26.551 --> 00:10:36.217]  It is almost freefall for the next two, three seconds, and then it slows down a little bit more, so it is very close to freefall all the way down.
[00:10:36.237 --> 00:10:43.561]  But you would expect that, as it actually did meet resistance, they blow the floors out, it falls in on the rubble, and then you finally do have some slowing.
[00:10:44.241 --> 00:10:48.284]  Yes, they're counting on the weight of the building to be harnessed to do most of the destruction.
[00:10:48.740 --> 00:10:56.804]  So we have witnesses who have heard explosions at the base of the building, presumably those lower eight floors.
[00:10:57.064 --> 00:10:57.985]  We don't really know.
[00:10:58.005 --> 00:11:03.768]  A real investigation would get at the heart of this, and also to how they might have planted such explosives.
[00:11:03.808 --> 00:11:09.410]  But we do know that the lobby, they had access to the lobby, which is not occupied.
[00:11:09.430 --> 00:11:14.553]  They had access to the fifth and sixth floor, which is mechanical floors, complete access
[00:11:14.958 --> 00:11:21.703]  And through the elevator shaft, they could have had access to the entire core structure of the building without being detected.
[00:11:21.723 --> 00:11:23.124]  Yeah, it was a spook facility.
[00:11:23.465 --> 00:11:26.107]  Well, we're going to break and come back, and then I'm going to attempt to give you the floor.
[00:11:26.127 --> 00:11:30.610]  There's just so many issues I want to bring up here with Richard Gage, the founder of Architects and Engineers for 9-11.
[00:11:30.950 --> 00:11:35.454]  Truth, over 500 members now and growing of Structural Engineers and Architects.
[00:11:35.954 --> 00:11:40.457]  A very, very powerful group of accredited men and women.
[00:11:41.218 --> 00:11:54.709]  That cannot be ignored and we'll talk about the deceptions in the NIS reports and why they've been so deceptive and why they claim there was no molten metal when the government's own studies and their own photographs admit there was molten metal.
[00:11:55.189 --> 00:11:55.769]  Stay with us.
[00:11:57.771 --> 00:11:59.612]  Heart disease is on the rise.
[00:11:59.752 --> 00:12:04.934]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:12:05.114 --> 00:12:06.435]  But the symptoms are there.
[00:12:06.715 --> 00:12:14.878]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:12:15.118 --> 00:12:20.841]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:12:21.001 --> 00:12:22.803]  My blood pressure has normalized.
[00:12:22.843 --> 00:12:25.005]  My diabetes has totally improved.
[00:12:25.025 --> 00:12:29.389]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:12:29.569 --> 00:12:31.691]  I recommend Heart and Body Extract to everyone.
[00:12:31.791 --> 00:12:39.678]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:12:39.718 --> 00:12:43.599]  Order your two-month supply today by calling 866-295-5305.
[00:12:43.919 --> 00:12:47.619]  That's 866-295-5305.
[00:12:47.800 --> 00:12:50.640]  Or order online, HBextract.com.
[00:12:50.840 --> 00:12:53.961]  Heart and Body Extract, 866-295-5305.
[00:12:54.421 --> 00:12:56.841]  Or HBextract.com.
[00:12:57.521 --> 00:13:03.783]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:13:04.143 --> 00:13:05.823]  The enemy struck America on September 11th.
[00:13:06.792 --> 00:13:07.833]  But who is the enemy?
[00:13:08.333 --> 00:13:08.874]  Bin Laden.
[00:13:09.134 --> 00:13:10.155]  This is his M.O.
[00:13:10.175 --> 00:13:11.436]  We have to look to the Middle East.
[00:13:11.476 --> 00:13:13.157]  We have to look to Osama Bin Laden.
[00:13:13.497 --> 00:13:20.243]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:13:20.643 --> 00:13:21.083]  Some U.S.
[00:13:21.123 --> 00:13:26.808]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:13:27.468 --> 00:13:31.011]  I'm aware that some Israeli citizens have been detained.
[00:13:31.351 --> 00:13:41.218]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:13:41.459 --> 00:13:42.199]  Fabled enemies.
[00:13:42.679 --> 00:13:49.965]  Get the DVD at InfoWars.com, or see it in super high quality, along with hundreds of other titles at PrisonPlanet.tv.
[00:13:50.445 --> 00:13:53.788]  Either you are with us, or you are with the terrorists.
[00:13:57.347 --> 00:14:03.552]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:14:04.012 --> 00:14:11.778]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:14:12.118 --> 00:14:20.004]  Is this a flaw of free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:14:20.304 --> 00:14:25.048]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:14:25.368 --> 00:14:30.089]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[00:14:30.589 --> 00:14:34.450]  A gripping adventure into the secret world of international banking cartel.
[00:14:34.950 --> 00:14:35.951]  Hi, this is Ted Anderson.
[00:14:36.031 --> 00:14:40.112]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:14:40.532 --> 00:14:44.913]  Call 1-800-686-2237 and order a copy today.
[00:14:45.433 --> 00:14:47.994]  It's critical that the public be made aware of the system.
[00:14:48.434 --> 00:14:50.054]  Call and order your copy today at 1-800-686-2237.
[00:14:53.257 --> 00:14:54.077]  That's 1-800-686-2237.
[00:14:57.098 --> 00:15:02.400]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:15:02.860 --> 00:15:04.581]  Are you safe when you walk to your car?
[00:15:05.141 --> 00:15:06.622]  Are your kids safe when they go out?
[00:15:07.262 --> 00:15:10.863]  Everyone needs something to give that extra edge in case of an attack.
[00:15:11.283 --> 00:15:14.785]  You need DPS pepper spray from MrDefense.com.
[00:15:15.265 --> 00:15:21.647]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement agencies from around
[00:15:24.462 --> 00:15:27.643]  Your keychain is a great way to surprise a potential attacker.
[00:15:27.843 --> 00:15:35.445]  Mr. Defense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival, spy and tactical gear.
[00:15:35.805 --> 00:15:41.346]  Surprise your loved ones this Christmas with a gift of safety and security from MrDefense.com.
[00:15:41.726 --> 00:15:44.267]  Mention this ad and receive 10% off your order.
[00:15:44.647 --> 00:15:46.328]  Visit MrDefense.com.
[00:15:46.648 --> 00:15:47.988]  That's MrDefense.com.
[00:16:00.100 --> 00:16:01.701]  We are back live with Richard Gage.
[00:16:01.801 --> 00:16:03.122]  Okay, not wasting any time.
[00:16:03.203 --> 00:16:06.485]  Richard, continue with NIST and their deceptions.
[00:16:06.525 --> 00:16:09.227]  For those that don't know who NIST is, you might want to tell them who they are.
[00:16:09.728 --> 00:16:16.453]  And then I want you to spend some more time on the explosive growth and the published papers peer-reviewed by architects and engineers for 9-11 Truth.
[00:16:18.034 --> 00:16:20.236]  Yes, we have NIST.
[00:16:20.496 --> 00:16:28.623]  So, acknowledging freefall, we're asking all of your listeners to write letters to the National Institute of Standards and Technology.
[00:16:29.281 --> 00:16:40.604]  And mostly to government officials and media officials highlighting the dichotomy of what they're saying on the one hand and what they're not saying on the other.
[00:16:41.405 --> 00:16:45.726]  That this could only have been by explosive control demolition.
[00:16:46.726 --> 00:16:56.469]  It's critical that we get a real investigation and we're asking also all of your listeners to email every architect and engineer they can find
[00:16:56.994 --> 00:17:12.061]  And with the link to the video that documents this deception on the part of NIST, and the video can be found on YouTube at our account, which is AE911Truth.
[00:17:12.921 --> 00:17:16.843]  So go to YouTube and look for AE911Truth.
[00:17:17.243 --> 00:17:18.884]  You'll see a listing of our videos.
[00:17:18.904 --> 00:17:25.847]  The most prominent one that's received 20,000 hits is this physics professor, David Chandler.
[00:17:26.810 --> 00:17:38.023]  And by the way, this is our international boycott YouTube day today, because they've been censoring a lot of people.
[00:17:38.183 --> 00:17:46.453]  But on this day, I would encourage our listeners to go get the video you've posted there and post it on BlipTV, LiveLink, and a bunch of others.
[00:17:46.793 --> 00:17:49.795]  We're trying to get folks to have an exodus away from YouTube.
[00:17:49.815 --> 00:18:03.485]  We're going to stay on YouTube and keep fighting them, but to prepare people to try to build up some other big mega sites because of the censorship of YouTube openly announcing they are now run by the ADL and they decide what goes up and what doesn't.
[00:18:03.525 --> 00:18:08.669]  They've been banning my videos, restricting them, doing a lot of other bad things and banning a lot of 9-11 truth videos.
[00:18:08.689 --> 00:18:11.511]  But a side issue, the boycott of YouTube is going on today.
[00:18:11.811 --> 00:18:13.692]  That's why my channel is shut down right now.
[00:18:14.433 --> 00:18:15.694]  But please continue with
[00:18:16.474 --> 00:18:29.102]  Well, you brought up molten metal as well, and this is one of the critical pieces of evidence that is denied by NIST.
[00:18:29.162 --> 00:18:37.807]  In fact, before NIST took over the investigation, FEMA had done their own investigation, and interestingly enough,
[00:18:38.486 --> 00:18:49.157]  Their conclusion, first of all, is that fire, which is their best hypothesis of how this building came down, has a very low probability of occurrence.
[00:18:50.238 --> 00:18:54.703]  What do you do when your best hypothesis has a low probability of occurrence?
[00:18:55.203 --> 00:18:57.045]  You look for another hypothesis.
[00:18:57.432 --> 00:19:11.156]  In fact, they found some evidence and documented it very well for the explosive control demolition with a new type of material, an incendiary called thermite.
[00:19:12.176 --> 00:19:16.997]  This stuff, there's evidence all throughout the World Trade Center of thermite.
[00:19:17.097 --> 00:19:24.479]  In fact, there is several tons of molten metal found by the first responders
[00:19:25.032 --> 00:19:42.023]  And how do you get all this molten steel when we're talking about thousands of degrees above what we know is going on?
[00:19:42.043 --> 00:19:45.545]  I mean, the people are standing in the wounds in the buildings, waving their arms.
[00:19:45.605 --> 00:19:46.586]  It's not melting them.
[00:19:46.646 --> 00:19:49.568]  How does it melt these big four-foot-round girders?
[00:19:49.588 --> 00:19:53.070]  Then we have the video of the molten steel, the proper coloration,
[00:19:53.610 --> 00:19:57.531]  The studies have been done, pouring out, founting out, like a foundry.
[00:19:57.551 --> 00:20:05.252]  We have the firefighters on TV saying it was just like a foundry, like inside a volcano, just molten metal everywhere.
[00:20:05.272 --> 00:20:07.232]  And then for weeks we have this molten metal.
[00:20:08.152 --> 00:20:09.733]  Yeah, absolutely.
[00:20:09.813 --> 00:20:17.154]  And FEMA documents the melting of the steel, the hot sulfur corrosion attack, turning three-quarter inch girders into Swiss cheese.
[00:20:17.374 --> 00:20:22.875]  This is documented by Abul Hazan Astani, the structural engineer who had unlimited access out there.
[00:20:23.246 --> 00:20:26.008]  Where does all of this melted steel come from?
[00:20:26.348 --> 00:20:34.292]  And more, even more importantly, what did NIST do with this documentation in appendix C of the final FEMA report in May of 2002?
[00:20:34.332 --> 00:20:36.573]  They eject it.
[00:20:36.673 --> 00:20:38.774]  It is not a part of the official record.
[00:20:38.954 --> 00:20:42.176]  They cannot afford to acknowledge this molten metal.
[00:20:42.236 --> 00:20:48.559]  In fact, their lead structural engineer, John Gross, denies that there's any evidence or witnesses of molten metal.
[00:20:48.719 --> 00:20:51.461]  He denies this publicly when there's dozens of witnesses.
[00:20:51.849 --> 00:20:57.853]  And plenty of photographic evidence, as you cited, flowing out of the South Tower near the jet plane impact.
[00:20:57.893 --> 00:21:07.219]  The local student group, PNAC, a project for a new American citizen, they, a few years ago, questioned him about that, and he said there is no molten metal.
[00:21:07.619 --> 00:21:15.764]  It didn't matter if they had the video they were trying to show him, and now there's all this footage of molten metal, but still they're in denial about it.
[00:21:16.650 --> 00:21:20.672]  They're going to have to at some point acknowledge that it exists and come up with some excuse.
[00:21:20.992 --> 00:21:30.896]  What we've heard so far is, oh, well, the fire was down in the debris and it was so insulated that it got hotter and hotter and hotter, which is physically impossible.
[00:21:30.916 --> 00:21:32.037]  That's not how it works.
[00:21:32.117 --> 00:21:33.598]  Things cool in entropy.
[00:21:34.078 --> 00:21:34.938]  All right.
[00:21:35.018 --> 00:21:36.479]  We'll be right back with Richard Gage.
[00:21:36.539 --> 00:21:38.560]  Long segment coming up in your phone calls on 9-11, 1-800-259-9231.
[00:21:38.580 --> 00:21:39.060]  Stay with us.
[00:21:39.320 --> 00:21:39.700]  We'll be right back.
[00:21:47.535 --> 00:21:50.519]  We're on the march, the Empire's on the run.
[00:21:51.461 --> 00:21:54.145]  Alex Jones and the GCN Radio Network.
[00:21:57.333 --> 00:22:02.154]  The new multipolar inline and portable water system, new from HempUSA.org.
[00:22:02.374 --> 00:22:10.756]  Now you can restructure and degas your water supply from any source, rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:22:10.976 --> 00:22:15.677]  Imagine a softer, smoother water with increased oxygen that helps the nervous system and brain.
[00:22:15.897 --> 00:22:22.698]  There are no filters to buy and it can be taken anywhere, making it our number one new product from HempUSA.org.
[00:22:22.958 --> 00:22:29.180]  This water system will descale all piping, hot water heaters, and appliances due to heavy buildup of hard minerals.
[00:22:29.360 --> 00:22:40.205]  Detoxification may result with restructured water by easily entering the fine capillaries of the human body by dissolving stones and toxins, with extreme positive effects on plants, vegetables, and fruits.
[00:22:40.265 --> 00:22:45.147]  Improved taste, color, size, and yield with approximately 30% less water usage.
[00:22:45.287 --> 00:22:48.808]  There are multiple sizes also available for farms and commercial use.
[00:22:49.048 --> 00:22:52.570]  Visit hempusa.org or call 908-691-2608.
[00:22:52.650 --> 00:22:55.132]  That's 908-691-2608.
[00:22:55.252 --> 00:23:02.796]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:23:03.057 --> 00:23:04.357]  And we knew what to do.
[00:23:04.377 --> 00:23:06.138]  Or at least we thought we did.
[00:23:06.379 --> 00:23:12.802]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:23:13.423 --> 00:23:18.566]  Whitman, EPA Director on the 18th, made a statement.
[00:23:19.554 --> 00:23:21.975]  That the air was safe to breathe.
[00:23:22.315 --> 00:23:29.117]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:23:29.397 --> 00:23:32.458]  He had his hand over the radio while he was getting a countdown.
[00:23:32.578 --> 00:23:37.800]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:23:38.340 --> 00:23:40.981]  This is an emergency transmission worldwide.
[00:23:41.421 --> 00:23:48.163]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:23:51.726 --> 00:23:57.850]  Attention.
[00:23:58.190 --> 00:24:00.872]  This is an extremely urgent self-reliant news bulletin.
[00:24:01.232 --> 00:24:07.677]  If you have ever wanted to produce your own cheaper than dirt survival food, this is going to be the most important message you will ever hear.
[00:24:08.317 --> 00:24:08.958]  Here is why.
[00:24:09.798 --> 00:24:19.763]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[00:24:20.224 --> 00:24:22.605]  Grain shortages and hunger are spreading across the globe.
[00:24:22.985 --> 00:24:25.066]  Will troops guard the food supplies in the U.S.
[00:24:25.086 --> 00:24:25.587]  this fall?
[00:24:26.067 --> 00:24:26.587]  Don't wait.
[00:24:26.987 --> 00:24:30.609]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[00:24:30.949 --> 00:24:33.671]  Get the details at FoodShortageUSA.com.
[00:24:34.271 --> 00:24:41.293]  That's FoodShortageUSA.com or you can call toll free 877-327-0365.
[00:24:41.693 --> 00:24:42.994]  Don't wait for empty shelves.
[00:24:43.474 --> 00:24:46.755]  Go to FoodShortageUSA.com while you still have time.
[00:24:47.335 --> 00:24:51.557]  www.FoodShortageUSA.com or toll free at 877-327-0365.
[00:24:51.577 --> 00:24:51.917]  Act now!
[00:25:02.105 --> 00:25:03.146]  It is December 19, 2008.
[00:25:04.848 --> 00:25:09.593]  Richard Gage, the founder of Architects and Engineers, for 9-11 Truth is our guest.
[00:25:10.534 --> 00:25:23.067]  Next hour, we're going to get into the attacks on property rights and hunting, farming, organic farms, organic small country stores being raided by SWAT teams.
[00:25:24.332 --> 00:25:30.876]  Now having your own chickens, I guess, will be an al-Qaeda crime here in this police state where they don't want any of us to be self-sufficient.
[00:25:31.396 --> 00:25:32.477]  Richard Gage is our guest.
[00:25:32.497 --> 00:25:37.140]  Your call is coming up here in just about ten minutes at 1-800-259-9231.
[00:25:37.220 --> 00:25:40.682]  Please, only on 9-11 and government-sponsored terror issues.
[00:25:40.722 --> 00:25:42.643]  Questions for our guest.
[00:25:45.605 --> 00:25:48.786]  Richard, specifically,
[00:25:51.144 --> 00:25:53.546]  Where do you see 9-11 Truth going in the future?
[00:25:53.586 --> 00:25:55.267]  We have April Gallup filing a suit.
[00:25:55.387 --> 00:26:03.254]  She was in the Pentagon, one of the heroes, showing with her evidence that it's an inside job, and then how they persecuted her when she started asking questions.
[00:26:04.495 --> 00:26:07.337]  It seems that 9-11 Truth is only growing and growing and growing.
[00:26:08.218 --> 00:26:08.818]  Richard Gage?
[00:26:09.859 --> 00:26:13.022]  It's growing by millions every year, as a matter of fact.
[00:26:14.459 --> 00:26:17.982]  We had, as you mentioned, the Europeans brought us out.
[00:26:18.022 --> 00:26:20.404]  We had national coverage in Madrid.
[00:26:21.805 --> 00:26:26.708]  We were sell-out crowds in half of the European cities.
[00:26:27.709 --> 00:26:36.054]  They're more awake over there and the media is less controlled in many of the areas of Europe, not all by any means.
[00:26:36.655 --> 00:26:42.479]  We expect to have a thousand architects and engineers signed on demanding a real investigation.
[00:26:43.004 --> 00:26:58.973]  By late summer, and we will take the petition to Washington, D.C., and take lots of members of the 9-11 Truth Movement with us, hold a press conference at the National Press Club, and present the petition to Congress.
[00:26:59.773 --> 00:27:04.516]  So we hope to also have hundreds of our architects and engineers there with us.
[00:27:04.856 --> 00:27:06.897]  So that's a big push for us.
[00:27:07.217 --> 00:27:07.857]  There's a large
[00:27:09.884 --> 00:27:25.014]  The conference for 9-11 happening in Australia, also in November, and a very important conference in Denver, American Transparency, you must know about that one, coming up in February.
[00:27:25.495 --> 00:27:28.777]  So there's a lot going on, a lot happening.
[00:27:29.577 --> 00:27:36.782]  I wanted to make sure, I realize I left some of your listeners hanging relative to this molten metal, because some people say, well, who cares?
[00:27:37.202 --> 00:27:37.823]  What does that mean?
[00:27:38.487 --> 00:27:41.169]  It turns out that this is not melted steel.
[00:27:41.569 --> 00:27:44.892]  It turns out that it's not aluminum from a jet airplane.
[00:27:45.832 --> 00:27:47.173]  It's molten iron.
[00:27:47.333 --> 00:27:48.034]  It's iron.
