[00:00:00.109 --> 00:00:02.473]  More on corruption.
[00:03:18.355 --> 00:03:19.135]  Scott, you're on the air.
[00:03:19.155 --> 00:03:19.575]  Go ahead.
[00:03:20.576 --> 00:03:21.656]  Hey, Alex.
[00:03:22.136 --> 00:03:22.737]  Go ahead, sir.
[00:03:23.037 --> 00:03:29.280]  Yeah, I actually got a statement with regard to McCain and Obama.
[00:03:30.586 --> 00:03:36.310]  If McCain, if the oil, what your guess is saying is starting to shoot up, do you see it going back up?
[00:03:36.330 --> 00:03:43.115]  Because I remember the prediction of, I can't remember his name right now, saying the oil would go down to $50 a barrel.
[00:03:43.195 --> 00:03:47.138]  Lindsey Williams said three months ago it would go down to $60, and it has.
[00:03:47.618 --> 00:03:48.078]  And it did.
[00:03:48.358 --> 00:03:59.066]  It did, from $1.40 down to $60, and you're seeing it, he's saying it will go back up again, because McCain's probably not going to get it, but they also said McCain was their man.
[00:03:59.671 --> 00:04:00.872]  And I'm trying to figure it out.
[00:04:01.152 --> 00:04:11.299]  One side, McCain's got the oil companies supporting him, and Obama's got the bankers, but, you know, he's got Henry Kissinger backing him, which is ran by Rockefeller.
[00:04:11.559 --> 00:04:13.861]  And Rockefeller runs... They run both of them.
[00:04:13.881 --> 00:04:15.562]  Do you have a question for Max Keiser?
[00:04:17.483 --> 00:04:17.723]  Yeah.
[00:04:17.903 --> 00:04:19.684]  Basically, do you see that going up?
[00:04:20.165 --> 00:04:21.045]  Back up to where it was at?
[00:04:21.065 --> 00:04:22.326]  Yeah, so let's get that question.
[00:04:22.346 --> 00:04:24.568]  We're going to skip this break, too, with Max Keiser.
[00:04:24.608 --> 00:04:24.788]  Max?
[00:04:26.775 --> 00:04:32.057]  Yeah, the sea oil going up because the money supply is now starting to be jacked up.
[00:04:32.277 --> 00:04:37.678]  The oil, like we were saying before the break, is priced in dollars, just like all commodities in the world.
[00:04:38.338 --> 00:04:47.221]  And as the supply of dollars increases, oil price goes up as part of the inflation that comes with oil price going up.
[00:04:47.281 --> 00:04:54.823]  Now, with the devaluation coming, which will make the value of the dollar even more precarious, you're going to see oil even take another leap up.
[00:04:55.472 --> 00:04:59.555]  Well, a lot of analysts say back up to a hundred bucks a barrel by next summer.
[00:04:59.575 --> 00:05:01.957]  I'm going to skip this break to the internet audience with Max Keiser.
[00:05:02.277 --> 00:05:03.218]  Thanks for the call.
[00:05:03.718 --> 00:05:04.418]  We'll be right back.
[00:05:04.498 --> 00:05:05.639]  I'm going to take more calls.
[00:05:07.321 --> 00:05:09.742]  Okay, let's talk to Jake in New York.
[00:05:09.762 --> 00:05:11.443]  You're on the air with Max Keiser.
[00:05:11.483 --> 00:05:12.124]  Go ahead, Jake.
[00:05:16.567 --> 00:05:16.867]  Jake?
[00:05:17.328 --> 00:05:17.568]  Yes?
[00:05:17.888 --> 00:05:18.789]  Go ahead, you're on the air.
[00:05:18.809 --> 00:05:19.910]  I'm on the air?
[00:05:19.930 --> 00:05:21.571]  Yes, we're going to have to let you go in a moment.
[00:05:22.731 --> 00:05:35.679]  My question for you about Barack Obama is his links to the Council on Foreign Relations and why that has not been brought to more light and why the police state continues to look like it looks like.
[00:05:35.739 --> 00:05:38.921]  Like in New York, where I live, we're having mobilization
[00:05:39.942 --> 00:05:49.168]  Mobilization units walking around, driving around... Yeah, any excuse to have riot police out, any excuse to sell us that we're slaves, any excuse to... They're videotaping us.
[00:05:49.228 --> 00:05:54.432]  They have vans with eight video cameras on them driving into crowded areas.
[00:05:54.892 --> 00:05:58.735]  Yeah, they're going to bankrupt America and take everything we've got, no matter who gets elected.
[00:05:58.775 --> 00:05:59.856]  These men are just puppets.
[00:06:00.196 --> 00:06:03.438]  And so this is the long, dark winter that America is going into.
[00:06:03.479 --> 00:06:07.041]  This is what we're getting because we were spoiled, rotten, and stupid and let tyranny grow.
[00:06:07.381 --> 00:06:07.982]  Max Keiser.
[00:06:09.246 --> 00:06:27.419]  Now I have a question, Max, is that everybody, I guess a lot of people that have been coming on the show have been talking about how great FDR was, and I wanted to know what your views on that were, being as that he abolished the gold standard and
[00:06:28.570 --> 00:06:30.671]  Yeah, some people... Listen, I appreciate your call.
[00:06:30.691 --> 00:06:32.051]  We're going to go ahead and let him comment now.
[00:06:32.731 --> 00:06:37.553]  Yeah, a lot of people are saying we need an FDR-style bailout instead of just paying everything directly to the bankers.
[00:06:37.813 --> 00:06:40.593]  But either way, it devalues the currency in the end, doesn't it, Max?
[00:06:42.334 --> 00:06:42.954]  Yeah, pretty much.
[00:06:42.994 --> 00:06:44.695]  The currency is going to suffer in the end.
[00:06:44.715 --> 00:06:53.497]  I mean, the FDR package, certainly putting money, bypassing the banking system, would have been probably a way to put it directly into the hands of people.
[00:06:54.262 --> 00:06:59.684]  As far as it relates to gold, because FDR, as the caller pointed out, suspended the sales of gold.
[00:06:59.904 --> 00:07:09.347]  We're going to see this type of thing where gold sales, this is why people need to really be aware of this whole gold situation, and if at all possible, get some gold outside of the U.S.
[00:07:09.487 --> 00:07:12.228]  That option is available with different services.
[00:07:12.608 --> 00:07:17.710]  If you do a little research, you can find services that allow you to buy gold and have it owned outside of the U.S.
[00:07:18.157 --> 00:07:28.784]  Because as the dollar devaluation program comes in, the possibility of confiscating gold will once again rear its ugly head, so you should have your gold and bullion outside of the U.S.
[00:07:28.925 --> 00:07:31.426]  Well, people always say, why should I hold gold?
[00:07:31.466 --> 00:07:32.127]  They can just take it.
[00:07:32.387 --> 00:07:36.290]  That's better than having it just be money in a bank that they're devaluing, or they can seize.
[00:07:38.857 --> 00:07:45.479]  Look, I mean, having gold bullion, it's a real issue.
[00:07:45.719 --> 00:07:46.899]  It's definitely a real issue.
[00:07:46.939 --> 00:07:51.581]  That's why there are services that allow you to own it outside of the U.S.
[00:07:52.121 --> 00:07:53.821]  And that really should be looked at.
[00:07:54.061 --> 00:07:55.762]  There are a couple of ways on the internet.
[00:07:56.062 --> 00:08:00.583]  You know, I'm not going to give a free advertisement, but there are a couple of services on the web.
[00:08:00.723 --> 00:08:01.663]  Well, there's more than a couple.
[00:08:01.703 --> 00:08:02.404]  There's thousands.
[00:08:02.784 --> 00:08:04.824]  You can keep it in Luxembourg or wherever.
[00:08:05.084 --> 00:08:06.505]  Okay, we're going back to the full audience.
[00:08:06.545 --> 00:08:06.865]  Here we go.
[00:08:08.897 --> 00:08:11.063]  He's the T-Rex of political talk.
[00:08:11.665 --> 00:08:14.452]  Alex Jones on the GCN Radio Network.
[00:08:16.195 --> 00:08:19.637]  International broadcaster, financial expert Max Keiser.
[00:08:19.657 --> 00:08:20.598]  We're taking your phone calls.
[00:08:20.618 --> 00:08:21.358]  They're all over the map.
[00:08:21.378 --> 00:08:21.878]  That's fine.
[00:08:21.898 --> 00:08:24.120]  That's what I expected.
[00:08:24.140 --> 00:08:24.200]  1-800-259-9231.
[00:08:25.020 --> 00:08:28.642]  Before the show ends, we'll give you the latest election numbers coming in from around the country.
[00:08:28.722 --> 00:08:31.504]  Obviously, looks very good for Barack Obama.
[00:08:32.384 --> 00:08:37.827]  But there are police all over the country treating the entire public like enemies.
[00:08:40.768 --> 00:08:46.471]  In case there was some type of rioting over the election, there are lots of other things happening.
[00:08:46.512 --> 00:08:54.036]  There are reports of Black Panthers, this is up on Drudge and Fox, so it's questionable, blocking white people from getting into polling places.
[00:08:54.516 --> 00:08:58.239]  But there is also such a worship of Barack Obama, who knows, it may even be true, they've got video.
[00:08:59.542 --> 00:09:03.986]  So lots of insanity going on as people fight over the two puppets.
[00:09:04.386 --> 00:09:16.636]  Max Keiser, I want to go back to the calls here in this final segment with you, but right now, your analysis, your take on how they were able to have physical gold dry up where you could hardly buy it, or if you could, it was a 30, 40, 50, 100% markup, that's mainstream news.
[00:09:19.218 --> 00:09:34.491]  How did these international institutions create a system, we know they can play and manipulate markets, but to have it where gold's dropping 200 bucks an ounce, or 250 bucks an ounce, now going back up, dropping while you physically can't get it and demands at all-time highs, how do they do that?
[00:09:35.933 --> 00:09:37.174]  Well, it's a paper market, Alex.
[00:09:37.474 --> 00:09:40.957]  I mean, gold is traded on the COMEX as a features contract.
[00:09:40.997 --> 00:09:43.199]  The people who buy and sell it are not taking physical delivery.
[00:09:43.823 --> 00:09:51.865]  And just like they can make the price of anything else on these paper markets go in any direction they want to, they can make the price of gold go down if they want the price of gold.
[00:09:51.905 --> 00:09:53.826]  They sell gold contracts short.
[00:09:54.126 --> 00:09:56.046]  They sell contracts short.
[00:09:56.427 --> 00:09:58.507]  And when you sell something, the price goes down.
[00:09:58.787 --> 00:10:00.288]  And here's the incredible thing.
[00:10:00.508 --> 00:10:04.949]  They have sold more contracts short than the COMEX has any hope of ever delivering.
[00:10:05.313 --> 00:10:13.078]  And this December, from what I'm hearing, is that there's going to be a crash of the COMEX because people are going to demand their physical delivery of the gold and silver.
[00:10:13.298 --> 00:10:15.579]  They will not be able to fulfill that transaction.
[00:10:15.599 --> 00:10:16.960]  They will not be able to deliver.
[00:10:17.140 --> 00:10:22.123]  It'll be a failed delivery, and you're going to see huge dislocation, and the COMEX is being targeted.
[00:10:22.463 --> 00:10:24.244]  By people, you know, by investors.
[00:10:24.344 --> 00:10:29.325]  There's actually individual investors in the United States who are saying, who are staging a revolt against COMEX in the silver market.
[00:10:29.345 --> 00:10:31.886]  They're saying, we want physical delivery, and we're going down there.
[00:10:32.246 --> 00:10:33.046]  We want our gold!
[00:10:33.366 --> 00:10:40.488]  And it's also here in the international community, because the COMEX is destroying the reserves for mining and mining companies all over the world.
[00:10:40.788 --> 00:10:48.250]  In Russia, in Canada, you know, these mining companies are having to shut down because COMEX is driving the price down artificially.
[00:10:48.809 --> 00:10:50.630]  And now they're saying, what the hell with you?
[00:10:50.650 --> 00:10:52.091]  We're going to bust Comex!
[00:10:52.351 --> 00:10:58.294]  And then physical prices, the paper price is going to be destroyed, and you're going to see the true black market prices going to assert itself.
[00:10:58.594 --> 00:11:03.617]  Gold is trading in the black market at a lot higher prices, and that's going to be the market.
[00:11:03.777 --> 00:11:10.500]  Well, I know nobody can buy it at, you know, $7.50 or whatever, to then be able to sell it to people what they claim spot is.
[00:11:11.101 --> 00:11:13.662]  I mean, it's just... Absolutely, absolutely not!
[00:11:13.722 --> 00:11:15.343]  I mean, I can't get gold in Paris.
[00:11:15.703 --> 00:11:25.015]  I can't get gold bullion in Paris for less than $1,100-$1,200 an ounce down there at the gold bullion deal.
[00:11:26.097 --> 00:11:31.544]  If I go in there off the street, if I'm buying in size, obviously I can negotiate a better deal, but the spot price...
[00:11:32.193 --> 00:11:45.694]  But if you see today though, Alex, as the news is coming out of Washington now that they're going to have to refinance a half a trillion dollars worth of bad debts because of the bailout packages and because all the money went to the bankers and didn't go into the system, they've got to go back to the trough for another half a trillion.
[00:11:46.524 --> 00:11:57.613]  And with the rumor getting louder of a devaluation of the dollar, you see that gold and oil are saying, to hell with this, we're going higher, because there's going to be a lot of inflation coming through the pipeline.
[00:11:57.813 --> 00:12:01.676]  Gold and oil are going higher to reflect this.
[00:12:02.637 --> 00:12:05.579]  The primary story of inflation is very much in place.
[00:12:06.120 --> 00:12:07.321]  People should not be fooled by it.
[00:12:07.921 --> 00:12:11.144]  Owning real assets is what's going to save you through this inflationary period.
[00:12:11.364 --> 00:12:13.645]  Don't believe the inflationary hype that's out there.
[00:12:14.665 --> 00:12:18.628]  The Wall Street Journal, Newsweek, Time, they're talking about, oh, there's a deflation scare.
[00:12:18.888 --> 00:12:20.469]  It's impossible to have inflation here!
[00:12:46.206 --> 00:12:46.886]  Hello, Alex.
[00:12:47.006 --> 00:12:47.566]  Can you hear me?
[00:12:47.666 --> 00:12:48.507]  Yes, I sure can.
[00:12:49.167 --> 00:12:51.868]  Okay, I'm a first-time caller from New York, Staten Island.
[00:12:52.108 --> 00:12:52.428]  Welcome.
[00:12:52.468 --> 00:12:55.850]  And I was also a first-time registered Democrat.
[00:12:56.210 --> 00:12:56.550]  Okay.
[00:12:56.990 --> 00:13:04.593]  And my vote initially was for Obama, and I couldn't talk to you without voting.
[00:13:05.553 --> 00:13:07.114]  And that's my call to you, Alex.
[00:13:07.974 --> 00:13:09.335]  New York loves you over here.
[00:13:09.415 --> 00:13:10.175]  Well, we love you, too.
[00:13:10.195 --> 00:13:10.856]  We love everybody.
[00:13:11.536 --> 00:13:12.296]  What's on your mind?
[00:13:13.016 --> 00:13:14.357]  I want to know what should I do.
[00:13:16.440 --> 00:13:16.781]  I don't know.
[00:13:24.383 --> 00:13:25.403]  For McCain, obviously.
[00:13:25.443 --> 00:13:25.703]  I'm sorry.
[00:13:25.723 --> 00:13:27.384]  I'm just so passionate.
[00:13:27.684 --> 00:13:28.844]  Well, we're in the same boat.
[00:13:29.444 --> 00:13:30.784]  It's a moral decision.
[00:13:30.844 --> 00:13:33.004]  People are told to vote like a horse race.
[00:13:33.044 --> 00:13:34.565]  Who do they think is going to win the race?
[00:13:35.085 --> 00:13:43.026]  Bandwagon going for a football team once you think they're in the playoffs and going to win the championship or the Super Bowl.
[00:13:43.846 --> 00:13:48.667]  I would vote for the Constitution Party or I would vote for Ralph Nader.
[00:13:49.867 --> 00:13:51.008]  Ralph Nader?
[00:13:51.288 --> 00:13:53.228]  I didn't even know that there was people
[00:13:55.385 --> 00:13:58.181]  Running for president until yesterday.
[00:13:59.256 --> 00:14:03.237]  Until yesterday, and I looked it up, and you Google it once, you couldn't get it once.
[00:14:03.417 --> 00:14:08.719]  Well, and it's not that Nader or Chuck Baldwin are going to win.
[00:14:08.759 --> 00:14:14.901]  The whole point is, so much attention is put on this, and people think they're going to get changed with Obama.
[00:14:14.921 --> 00:14:15.422]  They're not.
[00:14:15.862 --> 00:14:18.002]  And they're not going to get changed with John McCain.
[00:14:18.022 --> 00:14:19.283]  They're owned by the same people.
[00:14:19.343 --> 00:14:28.306]  So, you know, I know you're saying you want to ask me how you should vote, and I'm honored by that, Stephanie, but I have to morally tell you, I can't tell you how I think
[00:14:28.926 --> 00:14:29.787]  Uh, you should vote.
[00:14:30.187 --> 00:14:35.212]  All I can tell you is that Barack Obama is in the hip pocket of the very bankers looting us.
[00:14:35.552 --> 00:14:44.901]  Now, I know Max Keiser doesn't like to, you know, get into these political footballs because he knows the bankers are above both Obama and McCain, so it doesn't matter at the end of the day, but, I mean, do you have a comment, Max?
[00:14:47.063 --> 00:14:51.046]  To the caller, or, you know, the... Well, who would you vote for?
[00:14:51.867 --> 00:14:55.070]  My position on Obama is that, uh,
[00:14:56.291 --> 00:14:57.753]  I support Obama.
[00:14:57.973 --> 00:15:01.396]  Here's what I'm going to do, Alex.
[00:15:01.956 --> 00:15:10.763]  When Bush came into office in 2000, I left the United States of America because I knew the guy was going to just be a horrible president to live in America.
[00:15:11.484 --> 00:15:13.406]  Here's what I'm thinking about.
[00:15:13.826 --> 00:15:17.049]  If Obama takes office, I may be moving back to America.
[00:15:17.369 --> 00:15:19.871]  I may be moving back to America because I want to test him.
[00:15:20.382 --> 00:15:23.823]  I want to test him with some of these civil disobedience ideas.
[00:15:23.843 --> 00:15:26.785]  I want to test him to see what this guy can really do for us.
[00:15:27.085 --> 00:15:32.247]  And if he doesn't pass the test, then it's time for us to take back our country in the most serious way we can.
[00:15:32.267 --> 00:15:45.232]  So you're saying, you're saying, give him a shot, see if he gets the troops out of Iraq, see what he does, see if he ends some of the illegal wiretapping, and then if he doesn't, morally then you're going to go after him politically?
[00:15:46.483 --> 00:15:47.063]  Absolutely!
[00:15:47.463 --> 00:15:49.964]  That's my constitutional responsibility.
[00:15:50.024 --> 00:16:03.966]  It says in the Constitution, quite clearly, that if in fact a tyrant is in control, and we've had a tyrant already, but if it gets to the point where it's going absolutely bonkers and even more tyrannical, then what are we going to do?
[00:16:04.006 --> 00:16:11.628]  Max, seven, eight months ago when he was saying he'd take all the troops out in the wiretapping, I went, hey, Jeremiah writes right about the AIDS virus.
[00:16:11.708 --> 00:16:12.608]  Maybe Obama's
[00:16:13.828 --> 00:16:20.052]  You know, he is a rogue and against the system, and you know, ooh, Hillary's trying to cheat him in New Hampshire.
[00:16:20.092 --> 00:16:21.013]  Maybe he's good.
[00:16:22.034 --> 00:16:25.036]  But then since then, he's gone back on everything.
[00:16:25.476 --> 00:16:29.499]  So, you know, it's up to you, Stephanie, to make up your own mind, okay?
[00:16:32.060 --> 00:16:32.581]  She still there?
[00:16:33.241 --> 00:16:33.962]  Yeah, hello?
[00:16:34.142 --> 00:16:34.642]  Yes, go ahead.
[00:16:35.322 --> 00:16:42.127]  Yes, I don't want to put my vote to a person that I know is a puppet.
[00:16:42.779 --> 00:16:44.179]  So I would feel guilty.
[00:16:45.120 --> 00:16:54.283]  Even though I'm a minority in New York City and I'm in the urban setting, I would feel so guilty knowing what I listened to, to you.
[00:16:55.123 --> 00:16:58.324]  And I really respect you and I honor what you say.
[00:16:59.224 --> 00:17:06.147]  And just for me hearing your word, your spoken word, it was even a mission to me to even hear your wisdom words.
[00:17:06.927 --> 00:17:09.988]  So I'm not going to put my vote on Obama.
[00:17:10.555 --> 00:17:11.176]  Or McCain.
[00:17:11.216 --> 00:17:16.760]  That's why I want an independent or another person that I will put my vote to.
[00:17:16.960 --> 00:17:18.582]  And the point is you've done the moral thing.
[00:17:18.722 --> 00:17:19.062]  Thank you.
[00:17:19.382 --> 00:17:25.808]  And if more people did what Stephanie's doing and voted who they really thought was the best person with the best ideas...
[00:17:27.060 --> 00:17:32.325]  This non-status, non-centralization control, then we would have people like Ron Paul.
[00:17:32.745 --> 00:17:36.869]  We would have people like Ralph Nader or Cynthia McKinney.
[00:17:38.030 --> 00:17:40.792]  You can even vote for Cynthia McKinney over them.
[00:17:41.213 --> 00:17:41.993]  Thank you so much.
[00:17:42.013 --> 00:17:46.077]  We're going to take more calls later, but I'm going to let Max Keiser have the final comments.
[00:17:46.457 --> 00:17:48.179]  Max, plug your website for folks out there.
[00:17:49.907 --> 00:17:54.388]  MaxKaiser.com, K-E-I-S-E-R, MaxKaiser.com.
[00:17:54.628 --> 00:18:02.050]  I'll just make a comment that my friend Stephen Baldwin, who I used to pal around with in Los Angeles, he's a brother of Alec Baldwin, of course.
[00:18:02.150 --> 00:18:04.090]  He's now a brainwashed minion of George Bush.
[00:18:04.991 --> 00:18:08.492]  Yeah, he said that if Obama wins, he's going to move to Canada.
[00:18:09.392 --> 00:18:11.372]  So we may be passing each other on the airplane.
[00:18:11.892 --> 00:18:17.154]  We'll be leaving with a kick between his legs, and I'll be coming back to, you know, basically
[00:18:19.888 --> 00:18:28.934]  Fight for what I believe everyone should be fighting for, which is an equitable representation of who we are as a people.
[00:18:52.251 --> 00:18:57.257]  I've known him for a long time.
[00:18:57.517 --> 00:18:59.559]  He's obviously got very strong beliefs.
[00:18:59.900 --> 00:19:07.229]  He acts on his beliefs, so I can't fault him for at least acting on his beliefs.
[00:19:07.309 --> 00:19:08.330]  I'm just saying that if I act
[00:19:08.763 --> 00:19:15.387]  On my beliefs, in this situation, I feel that this is an opportune time.
[00:19:15.827 --> 00:19:22.210]  This could be a moment in history that could be very... Yeah, those carbon taxes are going to save us, Max.
[00:19:22.530 --> 00:19:24.111]  So, how'd you meet Stephen Baldwin?
[00:19:26.773 --> 00:19:34.757]  Well, you know, he was working with me in Los Angeles on the Hollywood Stock Exchange, and we were partners on that project for
[00:19:35.342 --> 00:19:37.905]  For a couple of years, and I know him actually from Long Island.
[00:19:37.925 --> 00:19:39.086]  I met him when he was 12 years old.
[00:19:39.306 --> 00:19:40.327]  I know his brother very well.
[00:19:41.688 --> 00:19:43.470]  Man, you're in a lot of business!
[00:19:43.490 --> 00:19:49.156]  His brother is producing and is one of the producers on my new TV show for BBC World.
[00:19:50.317 --> 00:19:50.637]  Oh, really?
[00:19:50.757 --> 00:19:51.298]  Alec is?
[00:19:52.119 --> 00:19:58.165]  Yeah, I got a new TV show coming out on BBC World called The Oracle, which is about prediction markets.
[00:19:59.011 --> 00:20:00.394]  Alec is one of the producers.
[00:20:00.494 --> 00:20:01.837]  I want to have you on the show.
[00:20:01.857 --> 00:20:02.398]  I want to come on.
[00:20:02.438 --> 00:20:03.280]  Hold on one second.
[00:20:03.561 --> 00:20:06.366]  We're going to skip this break on the internet so we can finish up with a story.
[00:20:08.430 --> 00:20:21.736]  Yeah, Max, I haven't really built you up properly for the audience out there, that you're a pretty influential guy, and that's what's so scary about you talking about devaluing the dollar, devaluing the currency, going to a Bretton Woods system.
[00:20:21.756 --> 00:20:36.543]  So in the few minutes we've got left with you, and this is just for the internet audience, but it's millions, tell folks more about the TV show, more about your website and what you do, how folks tune into your radio show, and then a few minutes about what that new currency is going to look like, and then we'll let you go.
[00:20:37.990 --> 00:20:38.330]  Okay.
[00:20:40.451 --> 00:20:41.511]  We're on air right now, go ahead.
[00:20:43.012 --> 00:20:44.032]  Oh yeah, sorry.
[00:20:44.512 --> 00:20:47.953]  Right, well you've got this new show working on BBC World.
[00:20:48.353 --> 00:20:50.634]  It's going to be hopefully starting up in January.
[00:20:51.294 --> 00:20:53.695]  And as I mentioned, Alec is the producer on the show.
[00:20:53.755 --> 00:20:54.535]  It's called The Oracle.
[00:20:54.995 --> 00:20:59.096]  I'm taking all these prediction markets that are out there now that have come after the Hollywood Stock Exchange.
[00:20:59.636 --> 00:21:04.618]  And as you point out in the introduction, I invented this whole idea of prediction markets and invented the technology of it.
[00:21:04.997 --> 00:21:09.540]  So we're going to have a panel of experts and guests kind of figure out what the future's going to be.
[00:21:09.600 --> 00:21:19.648]  So an issue like this Brenton Woods Accord, we'll have a couple of experts, we'll have a couple of non-experts to try and pick it apart, and we'll try to figure out, and we'll look at the markets.
[00:21:20.008 --> 00:21:26.153]  Because the markets are generally anticipate or discount future events more accurately than any news pundit.
[00:21:26.213 --> 00:21:31.857]  If you notice, the prediction markets on sites like intrade.com have predicted an Obama victory now for months.
[00:21:32.185 --> 00:21:39.388]  They predicted all of the Senatorial and House of Representatives victories much more accurately than any of the polling or the pundits.
[00:21:39.869 --> 00:21:46.592]  So this is a show that's based on that concept and bringing those prediction markets to a global audience on BBC World.
[00:21:47.252 --> 00:21:56.276]  And as I mentioned before the break, it would be great to have you on the show, of course, because your insights into how these various world pieces work together.
[00:21:56.296 --> 00:21:59.618]  On the Brentwood issue, this is something that
[00:22:00.109 --> 00:22:06.894]  If you just look at it from any kind of perspective other than the myopic inside the U.S.
[00:22:07.275 --> 00:22:12.139]  perspective, you'll see that, quite clearly, the appetite of the global community for U.S.
[00:22:12.179 --> 00:22:14.420]  dollars is diminishing, and the U.S.
[00:22:14.580 --> 00:22:20.745]  rolls over trillions of dollars worth of paper every single quarter, and if they can't refinance that paper, the U.S.
[00:22:20.785 --> 00:22:25.349]  would immediately go bankrupt, and the only way they're going to appease these foreign creditors
[00:22:25.979 --> 00:22:28.000]  Is to give them a throw of the bone.
[00:22:28.100 --> 00:22:31.442]  Either they devalue the dollar, or they have to give them California.
