[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[00:08:35.732 --> 00:08:45.238]  And I discovered back in the mid and late 1990s that there were covert operations going on all over the United States
[00:08:46.480 --> 00:09:14.137]  uh... with the marine corps and the army regular marines regular army the regulars secretly dressing up in police uniforms swat teaming gun dealers going after drug dealers uh... and then by the late nineties there were all sorts of bizarre military checkpoints with the army national guard marine corps out illegally searching citizens vehicles and whenever we would show up or the media would show up even mainstream media they'd say okay it was just a drill
[00:09:14.937 --> 00:09:17.639]  But they would be there actually arresting people.
[00:09:17.639 --> 00:09:20.461]  So there's been this huge secret operation.
[00:09:20.461 --> 00:09:25.124]  Now, none of it is now secret because it's about to go completely mainstream.
[00:09:25.124 --> 00:09:27.405]  And a lot of people hoped, well that was just George Bush.
[00:09:27.405 --> 00:09:33.870]  You know, he was a tyrant, a right-winger, and it's all going to go away once Obama gets into office.
[00:09:33.870 --> 00:09:43.736]  Well, it doesn't matter whether it's Jimmy Carter or Ronald Reagan or George Bush Sr., Bush 41, or Bill Clinton, or Bush 43, or Barack H. Obama.
[00:09:44.375 --> 00:09:56.154]  They are literally ceremonial front men for the foreign banks, the foreign corporations that did a hostile takeover of our federal government and of the states decades ago.
[00:09:57.046 --> 00:10:00.230]  And they've now orchestrated the collapse of our economy by design.
[00:10:00.230 --> 00:10:01.271]  We have their own documents.
[00:10:01.271 --> 00:10:05.696]  We've written about it and posted them on InfoWars.com and PrisonPlanet.com.
[00:10:05.696 --> 00:10:18.790]  And so the troops on the streets, that's really a stopgap measure from the legitimate government and the people, the citizens, ever regaining control of the government and punishing the corporate thieves
[00:10:19.290 --> 00:10:26.654]  That have stolen, according to Bloomberg and the San Francisco Chronicle, $8.5 trillion as of a week and a half ago.
[00:10:26.654 --> 00:10:29.335]  That's the last time we got numbers on this.
[00:10:29.335 --> 00:10:38.180]  And this week it came out that Bloomberg, six weeks ago, Bloomberg Financial, had sued to find out where the trillions had gone.
[00:10:38.180 --> 00:10:43.603]  And this week the federal government said, well the Federal Reserve is private
[00:10:44.143 --> 00:10:51.268]  And we have a secret contract with them and so we can't tell you where the 8.5 trillion has gone.
[00:10:51.268 --> 00:10:53.789]  So we're being robbed right now.
[00:10:53.789 --> 00:11:02.895]  And in third world countries, hundreds of times this century, hundreds and hundreds of times last century, but there's already been hundreds of takeovers in the last eight years in the 21st century.
[00:11:04.259 --> 00:11:11.086]  It's the same thing in Nigeria, or the same thing in Argentina, or it's the same thing right now in Iceland, a first world nation.
[00:11:11.086 --> 00:11:20.835]  When the foreign banks, the same group doing the takeover here, implode economy by design so they can consolidate it with the foreign currency they issue themselves.
[00:11:21.972 --> 00:11:32.604]  The people can't resist and the people are forced by the gunboat diplomacy, as it's called in the encyclopedia, look that up, to go along with the oppression.
[00:11:32.604 --> 00:11:39.172]  So it's neo-colonialism or imperialism just by a little bit more stealth.
[00:11:40.868 --> 00:11:50.350]  Now, we've all seen troops at sports stadiums, college events, high school events, the Super Bowl, NFL events, the Kentucky Derby, any high-profile event.
[00:11:50.350 --> 00:11:58.392]  And I've told you, and the government admits now, that was to condition the public and acclimate the public to accept troops on the streets of the United States.
[00:11:58.392 --> 00:12:06.814]  And now Barack Obama, signaling the expansion of this, put out an order this week, well now last week,
[00:12:08.343 --> 00:12:34.055]  Saying that for any special event, or any security event, or for environmental reasons, or for DWI checkpoints, not just the police will be out violating the Fourth Amendment, but the Army and the Marines will be with them, the National Guard is abolished and federalized, the governors have no authority as well, and that's been in the Washington Post, that's been on CNN, CBS, they've all reported it, but said it's a good thing and it's to keep you safe.
[00:12:34.055 --> 00:12:36.196]  When you actually read Secretary of Defense Gates'
[00:12:38.060 --> 00:12:40.062]  He says it's already been in place for years.
[00:12:40.062 --> 00:12:49.850]  They're just now announcing it and that the main mission is suppressing the American people during civil insurrection or rioting and they know that's coming.
[00:12:49.850 --> 00:12:56.876]  They've been setting it up for decades because now the Ponzi scheme they engineered is coming to an end and they're going to take your pension funds.
[00:12:56.876 --> 00:12:58.758]  They're going to take your 401ks.
[00:12:58.758 --> 00:13:00.880]  They're going to take everything you've got.
[00:13:00.880 --> 00:13:05.844]  They're going to federalize it and give you about a third of what you're owed and put a tax on the rest of it.
[00:13:07.085 --> 00:13:08.305]  And that's all on record.
[00:13:08.305 --> 00:13:14.867]  It's all posted at InfoWars.com and PrisonPlanet.com right now.
[00:13:14.867 --> 00:13:20.208]  It's all right there for anybody and everybody that wishes to look at it.
[00:13:20.208 --> 00:13:25.609]  For anybody and everybody that wishes to go check that out for themselves.
[00:13:25.609 --> 00:13:28.489]  Why do I bring this up now?
[00:13:28.489 --> 00:13:31.150]  Well, in
[00:13:32.014 --> 00:13:44.377]  Sam Bernardino, California, outside 29 Palms Marine Corps Base, and I saw this in their local news, and I called today and confirmed it, and Curt Nemo at Infowars.com is doing a report on it.
[00:13:45.126 --> 00:13:56.568]  The 29 Palms Marines are starting two days ago, starting on Friday, just indefinitely now, will be out on the highways running checkpoints for DWIs.
[00:13:56.568 --> 00:13:58.308]  Now again, stop the drunks.
[00:13:58.308 --> 00:13:59.829]  Yeah, let's use the Army.
[00:13:59.829 --> 00:14:04.109]  Again, this is for PR purposes to prepare you to have regular checkpoints.
[00:14:04.109 --> 00:14:12.211]  Remember Rick Perry announced in Texas a month ago warrantless random checkpoints to check driver's license and insurance, but the illegal aliens are going to be exempt from it.
[00:14:12.931 --> 00:14:14.973]  And that even came out in the Houston Chronicle.
[00:14:14.973 --> 00:14:17.134]  They said, don't worry, we're not going to deport illegals.
[00:14:17.134 --> 00:14:18.675]  This is for everybody.
[00:14:18.675 --> 00:14:21.718]  These are domestic, internal, Soviet or Nazi style.
[00:14:21.718 --> 00:14:32.325]  180 degrees the opposite of what this country has been founded on.
[00:14:32.325 --> 00:14:37.028]  What this nation is all about.
[00:14:37.028 --> 00:14:39.930]  So we have that report up on InfoWars.com.
[00:14:41.713 --> 00:14:56.135]  And we have other links to stories showing the military at high school and college football games searching small children, the children learning that men in uniforms stop you and search your little bag.
[00:14:56.135 --> 00:14:57.976]  Now, a lot of people say, ah, so what?
[00:14:57.976 --> 00:14:58.916]  Let troops be on the streets.
[00:14:58.916 --> 00:15:08.258]  Well, again, historically and currently, that's being done so they can have an economic consolidation and vertical integration.
[00:15:08.258 --> 00:15:09.698]  And this will target everyone.
[00:15:09.698 --> 00:15:10.818]  And the financial interest
[00:15:12.210 --> 00:15:17.134]  Now in control of our nation are anti-american.
[00:15:17.134 --> 00:15:18.495]  They do not like the United States.
[00:15:18.495 --> 00:15:20.317]  They want to get rid of it.
[00:15:20.317 --> 00:15:23.239]  They want to abolish it.
[00:15:23.239 --> 00:15:32.828]  And when the Marines were interviewed by the local news talk station, we have links to that, 107 FM.
[00:15:32.828 --> 00:15:36.831]  When they were interviewed by the local station, they said, yeah, we don't know if it's legal, but we've been ordered to do it.
[00:15:37.489 --> 00:15:39.370]  So, we are doing it.
[00:15:39.370 --> 00:15:40.811]  Of course, it's 29 Palms.
[00:15:40.811 --> 00:15:44.853]  We're back in the 90s, the Marines were asked, will you confiscate Americans' guns?
[00:15:44.853 --> 00:15:46.854]  Will you fire on them?
[00:15:46.854 --> 00:15:52.677]  And so it's been a slow twisting to the dark side, a slow mutation of the police and military.
[00:15:52.677 --> 00:15:55.818]  Oh, by the way, the police and the Marines will be together.
[00:15:55.818 --> 00:15:59.340]  So this is the military being turned against the American people.
[00:15:59.340 --> 00:16:03.222]  Classical tyranny from Rome to Nazi Germany, but now the U.S.
[00:16:04.611 --> 00:16:15.197]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:16:15.197 --> 00:16:16.617]  Garden in a Can.
[00:16:16.617 --> 00:16:20.760]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:16:20.760 --> 00:16:22.761]  Garden in a Can is ready when you are.
[00:16:22.761 --> 00:16:25.062]  Plant them now or store them for when you really need them.
[00:16:25.542 --> 00:16:34.535]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:16:35.200 --> 00:16:36.621]  Garden in a Can.
[00:16:36.621 --> 00:16:37.822]  It's that simple.
[00:16:37.822 --> 00:16:40.224]  Fresh, healthy, easy.
[00:16:40.224 --> 00:16:44.568]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:16:44.568 --> 00:16:46.150]  Ready when you are.
[00:16:46.150 --> 00:16:50.213]  Stop procrastinating and start preparing with Garden in a Can.
[00:16:50.213 --> 00:16:53.716]  For more details visit GardenInACan.com today.
[00:16:53.716 --> 00:16:56.258]  That's GardenInACan.com or call 866-598-7396.
[00:16:56.258 --> 00:16:56.298]  866-598-7396.
[00:17:04.093 --> 00:17:06.295]  Hi, John Huebner from Midas Resources.
[00:17:06.295 --> 00:17:09.237]  Are you tired of watching your hard-earned assets dwindle away?
[00:17:09.237 --> 00:17:17.844]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:17:17.844 --> 00:17:20.846]  Is this market a setup for a crash greater than 1987?
[00:17:20.846 --> 00:17:26.051]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:17:26.051 --> 00:17:27.652]  How much are you willing to lose?
[00:17:28.032 --> 00:17:29.093]  Take action now!
[00:17:29.093 --> 00:17:33.896]  Call me at 1-800-686-2237, extension 129.
[00:17:33.896 --> 00:17:37.878]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:17:37.878 --> 00:17:41.200]  Over recent decades, numerous economic systems have failed.
[00:17:41.200 --> 00:17:47.644]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:17:47.924 --> 00:17:53.887]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:17:53.887 --> 00:17:56.228]  Do this while paper can still buy gold.
[00:17:56.228 --> 00:17:57.948]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:18:05.107 --> 00:18:08.430]  Can't decide what to give your friends and family this Christmas?
[00:18:08.430 --> 00:18:14.476]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[00:18:14.476 --> 00:18:20.041]  There are now millions of credit cards, debit cards, and passports in circulation that contain an RFID chip.
[00:18:20.041 --> 00:18:25.486]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[00:18:25.706 --> 00:18:29.028]  These cards can be read while still in your wallet or purse.
[00:18:29.028 --> 00:18:34.330]  So, this Christmas, give your friends and family a pack of Secure Sleeves from Identity Stronghold.
[00:18:34.330 --> 00:18:43.315]  Our radio-blocking Secure Sleeves block the signals needed to read the RFID chip inside their new credit cards and passports, keeping their personal data safe and secure.
[00:18:43.615 --> 00:18:47.917]  You can buy them on the web at www.idstronghold.com.
[00:18:47.917 --> 00:18:51.438]  That's www.idstronghold.com.
[00:18:51.438 --> 00:18:52.559]  Or call toll free 800-610-2770.
[00:18:52.559 --> 00:18:52.619]  800-610-2770.
[00:18:52.619 --> 00:18:54.200]  Order now and get them in time for Christmas.
[00:18:54.200 --> 00:18:55.380]  Go to idstronghold.com today.
[00:19:04.344 --> 00:19:06.866]  What will you do when the economy collapses?
[00:19:06.866 --> 00:19:09.828]  Store shelves are empty and your stored food is gone.
[00:19:09.828 --> 00:19:11.669]  How will you feed your family?
[00:19:11.669 --> 00:19:19.014]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:19:19.014 --> 00:19:24.978]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:19:26.459 --> 00:19:30.021]  You get over 14,000 seeds for only $49.
[00:19:30.021 --> 00:19:41.689]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more.
[00:19:41.869 --> 00:19:46.092]  This is one of the finest, most affordable seed offers that is on the market today.
[00:19:46.092 --> 00:19:50.835]  Variety in your garden means a diverse and healthy diet for your family year-round.
[00:19:50.835 --> 00:19:53.037]  So go to GetSeeds.net or call 1-877-394-6657.
[00:19:53.037 --> 00:19:54.418]  Supplies are limited so order today!
[00:19:54.418 --> 00:19:55.179]  That's GetSeeds.net or 1-877-394-6657.
[00:20:08.442 --> 00:20:12.591]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:24.747 --> 00:20:26.547]  Let me break this down again for people.
[00:20:26.547 --> 00:20:34.109]  You know, it's fun for some to sit back and laugh at the Iraqis, a million and a half dead in the last five and a half years.
[00:20:34.109 --> 00:20:37.390]  It's fun to laugh at the brown people and say, yeah, kill them troops, kill them.
[00:20:37.390 --> 00:20:38.430]  We're America.
[00:20:38.430 --> 00:20:38.970]  We're big.
[00:20:38.970 --> 00:20:39.591]  We're bad.
[00:20:39.591 --> 00:20:41.471]  Well, this isn't America.
[00:20:41.471 --> 00:20:48.833]  The United States has been seized by foreign financial institutions and is being used as an engine to dominate the planet.
[00:20:48.833 --> 00:20:49.873]  And now they're done with us.
[00:20:50.836 --> 00:20:51.657]  Let me explain again.
[00:20:51.657 --> 00:21:09.937]  8.5 trillion dollars, $8,500,000,000 has been stolen so far that we know of, and the Federal Reserve has told Congress, has told media institutions and others, we run this country and we don't have to tell you where it went.
[00:21:11.278 --> 00:21:18.661]  Also, the New York Times reported on Thursday the Federal Reserve is going to start issuing its own Treasury bills, but it'll be Federal Reserve bills.
[00:21:18.661 --> 00:21:26.265]  So they are openly becoming the government and announcing you will pay your carbon taxes, your environmental taxes, to an international board.
[00:21:27.514 --> 00:21:42.286]  The Financial Times of London last Tuesday ran the headline, and now for world government, and their foreign affairs editor, Mr. Reikman, bragged that, yes, we've been setting up world government in secret, now we're unleashing it, and we're going to take over the planet.
[00:21:42.286 --> 00:21:43.267]  We control everything.
[00:21:43.982 --> 00:21:51.205]  That's how proud they are, and he said, yes, it's anti-democratic, it's not freedom, but this is what you need.
[00:21:51.205 --> 00:22:06.771]  Then he went on to say, but we'll save you from the financial crisis, which the very banks engineered, and don't worry, we'll save you from global warming, we'll tax you, and don't worry, we'll save you from terrorism, which the New World Order is funding and financing and allowing to happen, and in many cases staging themselves.
[00:22:06.771 --> 00:22:09.712]  But understand, all these years you heard me talk about
[00:22:10.399 --> 00:22:33.110]  How they would do this and now it's happening and remember two months ago the Army Times comes out interview with Secretary of Defense Gates and they say this is 20,000 troops on the streets of the United States to start with and they are to fight terror and fight civil insurrection and rioting and they behave like it just now began.
[00:22:33.590 --> 00:22:44.473]  But if you read the 400-plus page report Gates put out, the Pentagon put out in his 50-page cover sheet on it, he says, hey, this has already been implemented years ago secretly.
[00:22:44.473 --> 00:22:46.914]  We're now just unveiling this to the public.
[00:22:46.914 --> 00:22:58.858]  So, the military, with the police, secretly merging and secretly surveilling senators, congressmen, legislators, local city leaders,
[00:23:00.442 --> 00:23:06.527]  This is total federalization, this is total control, and the feds are internationally controlled.
[00:23:06.527 --> 00:23:10.171]  So this is a hostile corporate takeover of the United States.
[00:23:10.171 --> 00:23:12.252]  And this is not my opinion.
[00:23:12.252 --> 00:23:18.898]  Hundreds of newspapers have announced in the last two months that world government is openly being unveiled.
[00:23:18.898 --> 00:23:21.260]  It was already set up covertly.
[00:23:21.260 --> 00:23:22.241]  They are bragging.
[00:23:23.115 --> 00:23:28.417]  Now you will not hear the mainline liberals though and US TV still say it doesn't exist.
[00:23:28.417 --> 00:23:33.580]  ABC News reported yesterday none of it exists and that we are quote mentally ill.
[00:23:33.580 --> 00:23:36.101]  We have a link to that story up on InfoWars.com.
[00:23:36.101 --> 00:23:45.705]  So if I read the Financial Times of London or the Wall Street Journal saying yes world government's good, yes we set it up covertly because it scares stupid American gun owners.
[00:23:45.705 --> 00:23:49.447]  That's actually in the Financial Times of London.
[00:23:49.447 --> 00:23:51.068]  They say yes we lied.
[00:23:51.568 --> 00:23:58.595]  Yes, we covered it up because you're too stupid to know you need tyrannical world government.
[00:23:58.595 --> 00:23:59.636]  We know what's best.
[00:23:59.636 --> 00:24:00.457]  We're the elite.
[00:24:00.457 --> 00:24:02.299]  And what are the elite doing?
[00:24:02.299 --> 00:24:05.362]  They got control under the National Security Dictatorship.
[00:24:05.362 --> 00:24:07.784]  They staged the terror attacks to sell the police state.
[00:24:08.385 --> 00:24:11.306]  Now, the average copper military person even means well.
[00:24:11.306 --> 00:24:12.846]  They've been slowly brainwashed.
[00:24:12.846 --> 00:24:22.849]  They've been ordered in cadet school for 30 years under federal grants to say it's us against them, they're all against you, the people all hate you, they're civilians, you're paramilitary.
[00:24:22.849 --> 00:24:33.372]  All of this brainwashing from the police and sheriff's deputies being creatures of the local county and city with the people, the guardians, to being law enforcement.
[00:24:33.372 --> 00:24:36.273]  No more protect and serve, but to dominate.
[00:24:36.273 --> 00:24:37.033]  And here's another one.
[00:24:37.975 --> 00:24:41.157]  Posse Comitatus has not been repealed.
[00:24:41.157 --> 00:24:46.141]  So every time the police go out with the military, the military and the police are engaging in felonies.
[00:24:46.141 --> 00:24:47.382]  And I had the head of the St.
[00:24:47.382 --> 00:24:59.270]  Mary's Law School Center on Terrorism on just a week ago or so on the show, the weekday show, and he admitted that it is illegal.
[00:25:01.810 --> 00:25:06.974]  It is all illegal, so your law enforcement will enforce on yourself.
[00:25:06.974 --> 00:25:16.581]  And this Marine Corps captain is in the article saying, yeah, we don't know if it's legal, but we've been told to do it, so we're doing it, and by the way, you know, drunk drivers are bad.
[00:25:16.581 --> 00:25:22.205]  Folks, when you read the Army Times, they say that it'll be for fighting the American people and PR
[00:25:24.292 --> 00:25:30.619]  Helping at car wrecks and DWIs with the jaws of life as if the firemen or police couldn't do that.
[00:25:30.619 --> 00:25:34.003]  Oh, well, you're not against the army on all the local newscasts.
[00:25:34.003 --> 00:25:35.004]  They're here.
[00:25:35.004 --> 00:25:38.248]  The girl was trapped in the car and they helped.
[00:25:38.248 --> 00:25:42.673]  This is a military psyop to prepare you and to condition you.
[00:25:42.673 --> 00:25:45.676]  That's why they had thousands of drills to take over our country.
[00:25:48.607 --> 00:25:50.989]  Now, I'm going to get into something we can do something about.
[00:25:50.989 --> 00:26:00.755]  We can do something about the militarization, educating our city leaders, state leaders, exposing the fact this is criminal, showing how historically it's tyranny.
[00:26:00.755 --> 00:26:08.079]  But with the GMO and the toxins in the food, that's something we can demand change on, and even with our own purchases, vote with our dollars and change.
[00:26:08.079 --> 00:26:12.182]  We're going to cover that and take your calls on a lot of other issues coming up.
[00:26:12.182 --> 00:26:13.522]  We have a guest coming up.
[00:26:13.522 --> 00:26:17.425]  But look, I've said this many times, I'll say it again.
[00:26:18.994 --> 00:26:31.378]  I heard about this stuff and so I went to some of these events and I got called by police sources and emergency managers and police chiefs in Texas that heard my radio show and knew that I was telling the truth and they would tip me off.
[00:26:31.378 --> 00:26:43.282]  And I've been there and I've witnessed the Army, the Marines, and I've had listeners all over the country send me footage as well where you'll read in the paper, oh the Marines were doing drills in the city today to fight in Iraq or to fight in Serbia.
[00:26:43.772 --> 00:26:47.778]  You know, or to fight in Macedonia, or to fight here or there.
[00:26:47.778 --> 00:26:52.926]  And then I would go to the event, or my listeners would go to the event, and the Marines would walk over with guns and say, turn your camera off.
