[00:00:00.009 --> 00:00:00.349]  I believe.
[00:03:49.358 --> 00:03:53.282]  This year is the 30th anniversary of the Drug Enforcement Agency.
[00:03:53.302 --> 00:03:56.524]  It was created by Richard Nixon in 1973.
[00:03:56.885 --> 00:04:03.290]  And Richard Nixon is really the creator of this drug war from 1971.
[00:04:04.191 --> 00:04:08.915]  With every passing day of this drug war, the battle line seems to be getting harder and harder to see.
[00:04:09.476 --> 00:04:12.999]  And yet it's almost impossible to believe that the same rules apply to everyone.
[00:04:30.745 --> 00:04:35.866]  Well, a lot of us are very uncomfortable with this notion of a war on drugs.
[00:04:36.106 --> 00:04:44.888]  What we attempted to do was articulate a very different concept, which was viewing the drug issue as a cancer-affecting American community.
[00:04:45.108 --> 00:04:46.869]  You used the wrong word.
[00:04:47.369 --> 00:04:48.269]  You said war.
[00:04:48.749 --> 00:04:52.190]  If this was a war, we would have solved the war and won the war.
[00:04:52.570 --> 00:04:54.570]  This is the greatest country in the world.
[00:04:54.610 --> 00:04:56.711]  When we go to win a war, we win it.
[00:05:00.501 --> 00:05:04.045]  We got more drugs today than we did 10 years ago.
[00:05:04.365 --> 00:05:08.469]  And that's got to tell you that there is something bigger.
[00:05:09.602 --> 00:05:11.584]  That's not being shown.
[00:05:11.804 --> 00:05:17.110]  In 1972, when Richard Nixon started the war on drugs, the federal budget allocation was $101 million.
[00:05:17.990 --> 00:05:22.715]  Going into fiscal year 2000, the federal budget allocation was $20 billion.
[00:05:23.176 --> 00:05:25.178]  Yet there were more drugs in the country in 2000.
[00:05:25.658 --> 00:05:28.341]  They were of better quality and they were less expensive than they were in 1972.
[00:05:29.742 --> 00:05:30.923]  What's wrong with that picture?
[00:05:31.043 --> 00:05:32.084]  We arrested 14 people.
[00:05:34.006 --> 00:05:36.248]  Targeting high schools, selling heroin.
[00:05:36.549 --> 00:05:40.132]  We almost totally eliminated the production of coca.
[00:05:40.972 --> 00:05:43.495]  The drug warriors love to talk about illegal drugs.
[00:05:43.835 --> 00:05:48.339]  But what drives the motives to legalize certain harmful and equally addictive substances?
[00:05:49.280 --> 00:05:49.540]  Money.
[00:05:50.140 --> 00:05:53.003]  Money controls this whole movement.
[00:05:54.491 --> 00:05:58.613]  You have a group called the Partnership for a Drug-Free America.
[00:05:58.753 --> 00:06:01.175]  Well, first of all, of course, we don't have a drug-free America.
[00:06:01.215 --> 00:06:02.235]  Never have, never will.
[00:06:02.575 --> 00:06:03.696]  But who are the funders?
[00:06:03.956 --> 00:06:05.277]  Who are the main funders?
[00:06:24.929 --> 00:06:27.911]  Hello radio listeners, hello TV viewers.
[00:06:27.931 --> 00:06:32.613]  I want to say hi to everybody out there watching today.
[00:06:33.213 --> 00:06:38.676]  We really appreciate you tuning in to the TV transmission and the internet radio show.
[00:06:39.296 --> 00:06:42.598]  My good friend Kevin Booth, americandrugwar.com is our guest.
[00:06:42.618 --> 00:06:50.382]  You can go to infowars.com and get the film for $24.95, airing on Showtime, award-winning, three hours of extras.
[00:06:50.963 --> 00:06:51.323]  I'm in it.
[00:06:51.963 --> 00:06:52.524]  I don't know.
[00:07:07.972 --> 00:07:15.655]  I mean, I burn with anger, even when I'm not on air, and you know that, and I know you do, knowing they ship it in and then put us in prison for it.
[00:07:15.975 --> 00:07:17.096]  It's so sick!
[00:07:17.516 --> 00:07:18.916]  And they just keep getting away with it.
[00:07:18.956 --> 00:07:20.197]  I want it all to end now.
[00:07:20.557 --> 00:07:25.059]  And your film, like anything I've seen, I think it's hit the zeitgeist, Kevin.
[00:07:25.079 --> 00:07:26.379]  I'm hearing about it all over the place.
[00:07:27.100 --> 00:07:29.821]  I mean, I just want you to know, thank you for what you've done.
[00:07:29.901 --> 00:07:32.942]  Thank you for your tireless dedication to making this masterpiece.
[00:07:33.837 --> 00:07:34.678]  Well, I appreciate it.
[00:07:36.659 --> 00:07:39.081]  Without getting all schmoozy here, I couldn't have done it without you.
[00:07:39.121 --> 00:07:46.185]  I definitely learned a lot about the art of confrontation and staying calm in heated situations.
[00:07:46.245 --> 00:07:46.846]  Well, yeah.
[00:07:46.946 --> 00:07:47.346]  Now, hold on.
[00:07:47.406 --> 00:07:50.328]  I mean, I'm normally not calm, but I do get calm in heated situations.
[00:07:50.348 --> 00:07:50.808]  Well, yeah.
[00:07:50.828 --> 00:07:56.072]  But, you know, like the lessons learned when we went to the RNC back in 2004.
[00:07:56.292 --> 00:08:01.816]  That was definitely something that I learned a lot of lessons and how to deal with various situations.
[00:08:02.925 --> 00:08:30.677]  One of the things I'd like to start by talking about is that everybody out there should go and just Google past donors to the Partnership for a Drug-Free America and start researching who is financing this thing called Partnership for a Drug-Free America and this fake, this front that they've given it like it's like a bunch of angry mothers of children who have died of drug overdoses that are all
[00:08:31.789 --> 00:08:33.190]  The ones financing this thing.
[00:08:33.590 --> 00:08:37.792]  And when you realize that past donors are alcohol, tobacco companies.
[00:08:39.153 --> 00:08:43.135]  Donors right now are all big pharmaceutical companies, health insurance companies.
[00:08:43.155 --> 00:08:46.617]  I mean, it just all makes sense.
[00:08:47.409 --> 00:08:51.493]  And you can't really call this thing a conspiracy anymore if you just do that.
[00:08:51.714 --> 00:08:52.655]  Well, flesh it out.
[00:08:52.675 --> 00:09:02.605]  I mean, to be clear, they know that it's their alcohol and pharmaceuticals that are killing 99% literally, so they know how to give you a boogeyman to go after instead of their stuff.
[00:09:02.925 --> 00:09:09.873]  Prohibition was ending, and it was the alcohol makers, the distillers, who did come out and push
[00:09:10.333 --> 00:09:17.680]  Yeah, and as crazy as it sounds, I really, um, and most people are always going to argue this about the whole, like, I just want to get high argument, and that's what they've done so well.
[00:09:17.700 --> 00:09:19.122]  I don't think that there's hope.
[00:09:33.547 --> 00:09:36.450]  For our country, until we do legalize marijuana.
[00:09:36.550 --> 00:09:38.872]  Well, Kevin, do I use any drugs?
[00:09:39.352 --> 00:09:40.393]  No, not at all.
[00:09:40.854 --> 00:09:42.135]  I mean, I don't even drink anymore.
[00:09:42.735 --> 00:09:43.576]  I hate marijuana.
[00:09:44.577 --> 00:09:46.699]  I mean, you know, we've been friends, been to a lot of parties together.
[00:09:47.640 --> 00:09:49.582]  You, I wouldn't say, drink more than a couple beers.
[00:09:49.962 --> 00:09:50.903]  Yeah, I don't drink anymore.
[00:09:50.943 --> 00:09:54.206]  And I know decades ago, I mean, it must have been ten years since I've seen you smoke pot.
[00:09:55.046 --> 00:09:58.730]  And, you know, the whole point is, is most people that are against the drug war don't even use the stuff.
[00:09:58.750 --> 00:09:59.711]  They just know it's a fraud.
[00:10:00.399 --> 00:10:14.423]  Right, but that's, you know, but the government is going to continuously use that thing of just like, oh look, it's a bunch of stupid tie-dye wearing hippies who want to legalize this stuff so they can get high.
[00:10:15.383 --> 00:10:19.905]  And they've used that same kind of line and it's still working today.
[00:10:19.925 --> 00:10:24.106]  You know, and it's still working today when
[00:10:24.833 --> 00:10:37.362]  When people bring it up and, you know, I mean, I don't know if you follow the groups like MPP, who's a marijuana policy project, and they're fighting for medical marijuana.
[00:10:37.382 --> 00:10:40.504]  Sure, Willie Nelson's involved, Mark Stepnowski, the Dallas Cowboy, sure.
[00:10:40.684 --> 00:10:52.292]  Yeah, yeah, and, you know, I mean, these, you know, they're fighting a good fight out there, but, you know, there's also another really good documentary on choke time that I would urge everybody to see called In Pot We Trust.
[00:10:53.055 --> 00:11:12.230]  Where it kind of shows what was going on here in Southern California and the DEA raids and how they track down the marijuana and how they're, uh, how, you know, and that's another thing the drug war has created too is that we, you know, we have 11 states now that have legalized medical marijuana, but you still have the federal government coming in and stepping, stepping in on it.
[00:11:12.270 --> 00:11:17.154]  So, you know, I would say marijuana is at the nexus of this whole thing.
[00:11:17.374 --> 00:11:21.037]  And so it's also at kind of the nexus of like the state versus federal.
[00:11:21.764 --> 00:11:46.248]  And really, you know, when I go to universities and I've been doing more and more speaking at Memphis, Tennessee on the 15th, you know, people, one of the questions that always comes up is just saying, so you're saying we should just legalize drugs and kids should be, you know, my sons and daughters should be allowed to buy crystal meth at the 7-Eleven and PCP, that's what you're saying?
[00:11:46.928 --> 00:11:50.869]  And that's how the drug warriors have sold this thing, is like, that's
[00:11:51.485 --> 00:11:54.867]  That would be the alternative to what we have now.
[00:11:55.127 --> 00:11:59.070]  And they've done a really good job of making everybody believe it.
[00:11:59.250 --> 00:12:03.352]  Well, an even bigger issue is we've gone from 300,000 cops to 2 million cops.
[00:12:03.372 --> 00:12:08.596]  We've gone from 500,000 people in prison to 4,000 behind bars and 4 million more in the system.
[00:12:09.436 --> 00:12:11.698]  Now they want to go to 3 million cops.
[00:12:11.718 --> 00:12:13.919]  They're talking about going to 4 million cops in the next decade.
[00:12:14.239 --> 00:12:15.380]  They've all got to have something to do.
[00:12:15.800 --> 00:12:20.202]  Now, back when we had 300,000 cops, they'd come if your house got robbed or your car got stolen.
[00:12:20.462 --> 00:12:24.464]  Now they won't come, but they will set up a checkpoint or taser you for talking back.
[00:12:24.824 --> 00:12:28.406]  I mean, this is done scientifically by design to bring us into tyranny.
[00:12:28.446 --> 00:12:35.109]  Like you said last hour, they've set up the drug war, they have created it, and now they're just flipping it into the war on terror.
[00:12:35.290 --> 00:12:37.451]  Kind of like they said, oh, it's just brown-skinned Al-Qaeda.
[00:12:37.691 --> 00:12:39.892]  Now Fox every day, there's blonde-haired Al-Qaeda.
[00:12:40.132 --> 00:12:40.712]  They're everywhere.
[00:12:40.752 --> 00:12:44.174]  That's to make the people the terrorists, the government the good guy.
[00:12:44.895 --> 00:12:46.016]  Yeah, exactly.
[00:12:46.336 --> 00:12:51.258]  Back in the late 80s, we were being told on the news, there's crack dealers on every corner.
[00:12:51.678 --> 00:12:53.979]  Oh my God, there's crack.
[00:12:54.259 --> 00:12:55.320]  There's crack everywhere.
[00:12:55.340 --> 00:13:00.422]  I know it was in the ghetto, but the media and the government worked very closely to
[00:13:02.188 --> 00:13:05.369]  Try to blow this thing into some sort of epidemic proportion.
[00:13:05.409 --> 00:13:06.630]  Meanwhile, who was shipping it in?
[00:13:06.670 --> 00:13:07.470]  Your film covers that.
[00:13:07.590 --> 00:13:09.231]  Right, and then, but yeah, exactly.
[00:13:09.251 --> 00:13:15.894]  And Reagan is the one who, you know, came up with the drug act of 1986 or 87.
[00:13:17.274 --> 00:13:19.775]  And he was a total puppet being run by Bush Sr.
[00:13:19.955 --> 00:13:28.879]  Yeah, I mean, these guys basically discovered, like, you know, what an incredibly easy way it would be to control entire populations of people with crack cocaine.
[00:13:28.899 --> 00:13:29.399]  It's cheap.
[00:13:30.620 --> 00:13:34.142]  Meanwhile, it's now known that Nixon drank hard whiskey every night and took downers.
[00:13:35.082 --> 00:13:37.023]  Oh, that guy was insane.
[00:13:37.183 --> 00:13:46.868]  It's insane, and it's just what makes my blood boil is to know, I mean, look, everybody, you know, who are you going to talk to who's going to still sit there and say, yeah, Nixon was a good person?
[00:13:46.888 --> 00:13:52.790]  I mean, everybody is coming to the realization that Nixon was a crook and a liar and a thief and a cheater and a psycho and all those things.
[00:13:52.890 --> 00:13:54.331]  I'd say it's pretty much unanimous.
[00:13:54.891 --> 00:13:58.173]  And yet we are still engaged in his drug war.
[00:13:59.535 --> 00:14:01.656]  Um, and everybody just seems to be okay with that.
[00:14:01.976 --> 00:14:03.117]  Nobody seems to question that.
[00:14:18.120 --> 00:14:19.281]  Because I keep saying four years.
[00:14:19.321 --> 00:14:21.042]  How much time did you really spend making this?
[00:14:21.062 --> 00:14:22.222]  I mean, I remember... Well, it's like four going on.
[00:14:22.242 --> 00:14:30.887]  I mean, you know, going on five years if you're going to include, like, the festivals and the... I remember you consulting with me and I was sitting around your table saying, what do you think I ought to put in this?
[00:14:30.947 --> 00:14:34.429]  And going and doing shoots with you and stuff and doing research with you four years ago.
[00:14:34.649 --> 00:14:44.695]  Yeah, it was like the summer of 2003, I think, that I... I was really... The film, Ron Mann's Grass, which is a great film, narrated by Woody Harrelson,
[00:14:45.182 --> 00:14:50.659]  And I think Chris Athenas was playing it on local access TV in Austin and I actually saw it there for the first time and I was like...
[00:14:51.587 --> 00:14:52.627]  Wow, this is a great film.
[00:14:52.647 --> 00:14:56.348]  Somebody needs to do a film like this, but cover all drugs, not just marijuana.
[00:14:56.368 --> 00:15:03.029]  Let's see how seeds plant seeds plant seeds and what grew out of that now, like 50 times on Showtime, super popular.
[00:15:03.049 --> 00:15:06.970]  I mean, I've heard it like four or five times the last two weeks on the street, in the gym.
[00:15:07.310 --> 00:15:09.110]  I haven't even seen it in the New American Drug War.
[00:15:09.130 --> 00:15:09.771]  It's incredible.
[00:15:10.511 --> 00:15:12.211]  And that's just your first film on this.
[00:15:12.251 --> 00:15:13.271]  You're planning to make more, aren't you?
[00:15:13.491 --> 00:15:14.732]  Yeah, definitely, definitely.
[00:15:14.772 --> 00:15:15.612]  Okay, let's walk through...
[00:15:17.032 --> 00:15:17.953]  A basic rundown.
[00:15:17.973 --> 00:15:21.376]  Again, we've got it up on Infowars.com for sale right now, folks.
[00:15:21.396 --> 00:15:27.360]  You can call 888-253-3139 to get it, or go to AmericanDrugWar.com.
[00:15:27.540 --> 00:15:32.224]  Kevin, give us kind of a synopsis, a wide view, then let's focus in on key areas.
[00:15:33.345 --> 00:15:41.712]  Well, I kind of follow a timeline, starting off with the creation of the DEA in 71, and I parallel that to myself as
[00:15:42.711 --> 00:15:48.917]  You know, growing up as a young teenager in the early 70s with a brother who was schizophrenic and had a drug problem.
[00:15:49.537 --> 00:15:52.980]  And also, you know, older parents.
[00:15:53.061 --> 00:15:54.302]  I was a baby of a family.
[00:15:54.322 --> 00:15:59.807]  A very common thing of having, you know, older corporate parents who are both heavy, heavy drinkers.
[00:16:01.008 --> 00:16:03.270]  But my parents were not the type of people that
[00:16:03.993 --> 00:16:30.753]  You know, ever beat me, or got in fights, or... No, your dad was a really nice guy, but he was like something out of a movie, of a caricature of a corporate executive, and I remember sitting around drinking vodka martinis with him, because Kevin used to live here in Austin, and his dad had a ranch out in Fredericksburg, and I liked your dad, but at the same time, it was drugs, everyone needs to go to prison for them, and I got family that's the same way, not my dad, but folks out in the country, and it's like, but we drink our whiskey every night.
[00:16:30.973 --> 00:16:43.187]  Well yeah, we lived in Los Angeles when we were back in the early fifties and my brother got schizophrenia and they wanted to blame it on the LSD and the marijuana and I remember my mom used to
[00:16:43.797 --> 00:16:52.340]  He just stood up at night crying and actually saying, you know, if it hadn't been for those dang beetles, you know, if it hadn't been for those dang beetles bringing those drugs over here from England.
[00:16:52.500 --> 00:16:54.640]  But who actually introduced LSD?
[00:16:54.700 --> 00:16:56.141]  It's admitted declassified.
[00:16:56.421 --> 00:16:57.641]  They created the drug culture.
[00:16:57.681 --> 00:17:00.182]  They put LSD and the formula on the street.
[00:17:00.442 --> 00:17:07.244]  The CIA developed it and the editors of Time Life Books and the histocracy in this country were taking LSD and were obsessed with it.
[00:17:07.885 --> 00:17:09.245]  Whiskey drinking generals.
[00:17:09.265 --> 00:17:11.626]  Alright, continue Kevin.
[00:17:12.779 --> 00:17:24.705]  So, you know, and in that time I try to, like, go into, like, a little bit of the histories learned from Prohibition and parallel the classic gang leader of today with Al Capone.
[00:17:24.745 --> 00:17:35.870]  You know, some people might say, um, Ricky Ross was a modern-day Al Capone, so you could have him say, Ricky was that, or this other guy in my film, T. Rogers, who was the co-founder of the Bloods.
[00:17:35.890 --> 00:17:41.473]  It's funny, he was just on Glenn Beck the other day, and Glenn Beck totally cut him off and was kind of weird with him.
[00:17:42.647 --> 00:17:45.591]  But he's kind of breaking out doing some more stuff himself.
[00:17:46.371 --> 00:17:50.336]  But try to just compare that, because, you know, a lot of people will roll their eyes.
[00:17:50.436 --> 00:18:03.890]  Once again, it's like when people, you know, on the movement trying to end the drug war bring up these age-old arguments that make total sense, the people on the other side will just roll their eyes and just say, oh, that old argument I heard a hundred times, but you can't
[00:18:04.733 --> 00:18:10.314]  Debate the drug war without talking about the prohibition of alcohol and what happened with the prohibition of alcohol.
[00:18:10.494 --> 00:18:12.795]  And we're going to do that, but before I forget, let me throw this in.
[00:18:13.055 --> 00:18:18.816]  The one good argument they've got, and of course at its base it's still a fraud, but it sounds good, is look at these gangbangers.
[00:18:18.836 --> 00:18:20.516]  Look at how nuts these drug heads are.
[00:18:21.357 --> 00:18:23.537]  Look at all the crime and murder associated with it.
[00:18:23.597 --> 00:18:24.597]  Look at all the money.
[00:18:25.137 --> 00:18:26.238]  And it's almost like a class thing.
[00:18:26.258 --> 00:18:27.418]  Look at these poor people getting rich.
[00:18:28.078 --> 00:18:44.412]  They focus the drug war down on the low-level distributor, retailer level, and they make it a racial thing, just like in the movie The Godfather, which is based on a true story, where he says, you know, we'll keep it in the colored areas, they're animals anyways, let them lose their souls.
[00:18:45.033 --> 00:18:53.581]  And so that was the attitude, the red light district was always on the other side of the tracks, so it was also a way, like in Thule, as you cover in the film, to wage war against them.
[00:18:54.830 --> 00:18:57.211]  But their main argument is, well, look at all the money, look at the crime.
[00:18:57.231 --> 00:18:58.412]  You're always going to have criminals.
[00:18:58.612 --> 00:19:00.533]  It made criminals move into drugs.
[00:19:00.614 --> 00:19:03.695]  So we're not for the criminals that are involved in robbery and other things.
[00:19:04.116 --> 00:19:10.319]  It's that you now gave them more money, more funding, more power, a way to corrupt police, just like with prohibition, as you cover in the film.
[00:19:10.800 --> 00:19:21.026]  Well, yeah, I mean, and let's face it, if we outlawed cigarettes tomorrow, then these street gangs, the Bloods and Crips, would be selling cigarettes tomorrow.
[00:19:21.892 --> 00:19:22.492]  You understand?
[00:19:22.752 --> 00:19:23.653]  It's just real simple.
[00:19:23.833 --> 00:19:30.635]  I mean, if you outlawed gasoline, then the Bloods and the Crips and MS-13 will be selling gasoline tomorrow.
[00:19:30.775 --> 00:19:31.996]  Yeah, they're rogues!
[00:19:32.136 --> 00:19:34.677]  I mean, it's the black market, you know?
[00:19:34.777 --> 00:19:36.157]  It's like child pornography or whatever.
[00:19:36.177 --> 00:19:37.357]  It's the black market.
[00:19:37.578 --> 00:19:43.480]  And so, when you keep this stuff in the black market, the black market is who's going to do the distribution.
[00:19:43.640 --> 00:19:44.640]  And then it's going to get bigger.
[00:19:45.080 --> 00:19:50.102]  Yeah, and the black market doesn't care if your 14-year-old daughter is getting hooked on cocaine.
[00:19:50.623 --> 00:19:51.664]  Because there's no control.
[00:19:52.464 --> 00:19:53.505]  There's nobody checking.
[00:19:53.585 --> 00:19:57.787]  So, you know, regulation will always work better than prohibition.
[00:19:57.947 --> 00:19:59.888]  And history shows that over and over again.
[00:19:59.908 --> 00:20:04.251]  Yeah, we're not saying, you know, we say, oh, you want to sell heroin at the store.
[00:20:04.311 --> 00:20:10.274]  Well, back when they did sell heroin and anybody could buy it at the five and nine, we had a much smaller amount of people on it.
[00:20:10.615 --> 00:20:19.740]  Yeah, no, they've actually done studies on per capita basis that shows, really, that by outlawing strong narcotics,
[00:20:21.283 --> 00:20:24.885]  The same amount of people per capita do strong narcotics.
[00:20:25.566 --> 00:20:30.488]  And it's just, you know, people want to think like, oh God, if you legalized heroin, everyone would start doing it.
[00:20:30.508 --> 00:20:31.028]  Well, you know what?
[00:20:31.148 --> 00:20:38.592]  In reality, and I've known a lot of drug heads, most people that I know have tried heroin don't like it.
[00:20:38.945 --> 00:20:42.946]  They do it one time, it makes them throw up, and they're like, oh god, you know what I mean?
[00:20:43.086 --> 00:20:50.048]  It takes like a certain kind of screwed up individual to want to go down that path, and they're going to do it regardless of whether it's against the law or not.
[00:20:50.068 --> 00:20:51.469]  Well, that's the experience I had.
[00:20:51.569 --> 00:20:55.910]  Every drug I ever tried except for alcohol and cigarettes, which I loved, I hated it.
[00:20:56.310 --> 00:21:03.092]  I mean, one time I had a good-looking girl I was going out with, and she wanted to do some ecstasy, and I'd done that a few times, didn't like that.
[00:21:03.872 --> 00:21:06.613]  Yeah, but at the same time too, what's classic about that is that
[00:21:29.122 --> 00:21:34.384]  You know, I think alcohol is probably one of the strongest, most mind-altering drugs as well.
[00:21:34.404 --> 00:21:36.025]  You better believe it, and I love it!
[00:21:36.445 --> 00:21:36.685]  Yeah.
[00:21:36.925 --> 00:21:41.667]  I'll go jump in a big keg of whiskey like the mouse in a cartoon and never to be seen again.
[00:21:41.687 --> 00:21:54.431]  Yeah, I mean, it's just, you know, I mean, it is kind of a slap in the face when you come from a hospital watching, you know, your loved ones, and when you go into these, you know, when my mom was dying of liver failure, I'd go into this ICU unit and
[00:21:55.103 --> 00:21:59.126]  And there would be like a whole bunch of older people kind of in her same boat.
[00:21:59.847 --> 00:22:04.151]  And it was just like this weird horrible vinegary smell.
[00:22:04.793 --> 00:22:09.136]  That you could just smell like this is what the end of the line is like for an alcoholic.
[00:22:09.176 --> 00:22:12.498]  And this is really where most hardcore alcoholics are going to end up.
[00:22:35.133 --> 00:22:36.514]  But on top of that, could you imagine
[00:22:52.921 --> 00:22:56.603]  That those people would be in trouble for the law and being in that situation.
[00:22:56.863 --> 00:22:57.843]  No, exactly.
[00:22:57.903 --> 00:22:58.744]  It's a disease.
[00:22:59.244 --> 00:23:01.265]  It's something your body's addicted to.
[00:23:01.485 --> 00:23:04.166]  And the government knows that, so they make it illegal so they can control it.
[00:23:04.446 --> 00:23:04.706]  Yeah.
[00:23:04.946 --> 00:23:09.328]  No, I mean, it's absolutely, you know, I mean, it's really being controlled.
[00:23:09.348 --> 00:23:17.712]  I mean, when you, I mean, at this point right now, when I hear, you know, Bill O'Reilly, like, poo-pooing what Eastside Morales said about my film,
[00:23:18.334 --> 00:23:22.316]  I just looked directly at him like, well, I mean, he's supporting the pharmaceutical company.
[00:23:22.376 --> 00:23:27.058]  I haven't seen this yet, but I'm told that it's already up on Prison Planet and InfoWars.
[00:23:27.098 --> 00:23:28.019]  Trey was just saying they have it.
[00:23:28.039 --> 00:23:30.160]  By the way, Celica Stillo, he is on the show tomorrow.
[00:23:30.200 --> 00:23:31.280]  We did call and get through to him.
[00:23:31.301 --> 00:23:32.101]  He is on the show tomorrow.
[00:23:32.681 --> 00:23:33.542]  So thank you for that, Kevin.
[00:23:34.222 --> 00:23:38.924]  Oh, I forgot the point I was going to make when I put out the Celica Stillo point.
[00:23:39.144 --> 00:23:39.785]  The Bill O'Reilly?
[00:23:40.185 --> 00:23:41.085]  Yeah, the Bill O'Reilly.
[00:23:41.145 --> 00:23:41.966]  Tell us what he says.
[00:23:43.215 --> 00:23:46.036]  Uh, well, you know, Bill O'Reilly has his pinhead of the day.
[00:23:46.056 --> 00:23:46.756]  Pinhead?
[00:23:46.996 --> 00:23:48.396]  Yeah, call him just a pinhead.
[00:23:48.436 --> 00:23:50.536]  Basically, it's called Patriot or Pinhead.
[00:23:51.276 --> 00:23:58.638]  And it's, you know, tonight, Eastside Morales, I hope I'm pronouncing that right, you know, was on Bill Maher.
[00:23:59.918 --> 00:24:12.280]  And, you know, if you have the clip, you should play it, because the way he put it was really great, but he was talking about how we're living in an age now where the privatization of all these government functions are basically just, like, looting the country.
[00:24:13.250 --> 00:24:21.199]  And, you know, and our government is waging these, like, phony propaganda wars to allow these corporations to get away with this.
[00:24:22.040 --> 00:24:30.969]  And he put it in a really good way, and he just goes, and by the way, right now, if you go to YouTube, you can check out the film, American Drug War, where they talk about how our government's been caught shipping in a drug.
[00:24:31.852 --> 00:24:38.140]  And it's just, it disappoints me a little bit because I really, I do, I'm a Bill Maher fan, I'll admit it, I watch Bill Maher every week.
[00:24:38.180 --> 00:24:39.762]  He's an operative, just like O'Reilly.
[00:24:39.802 --> 00:24:47.532]  It seems like, yeah, but he seems like he'll just get that far and once you talk about Building 7 or any of those things, he just like, turns, you know?
[00:24:47.813 --> 00:24:49.475]  And it's just like, it's very...
[00:24:50.268 --> 00:24:57.572]  It's very interesting to watch like where Bill Maher's, you know, suddenly just like, oh, that's crazy.
[00:24:57.732 --> 00:24:59.433]  Hold on, let me just tell them, we're running out of time.
[00:25:00.054 --> 00:25:00.914]  Trey has those.
[00:25:00.974 --> 00:25:02.795]  Can you move them on a thumb drive to this computer?
[00:25:03.355 --> 00:25:06.497]  He's got the Bill Maher and he's supposedly got the other thing too.
[00:25:08.629 --> 00:25:09.510]  But that's good news.
[00:25:09.570 --> 00:25:13.574]  I mean, when the Defense Department, and when it's Bill O'Reilly or Sean Hannity, it's Defense Department.
[00:25:14.155 --> 00:25:16.177]  I mean, that's come out that they're Defense Department run.
[00:25:16.757 --> 00:25:18.439]  And again, it's not our military anymore, folks.
[00:25:18.479 --> 00:25:20.721]  And your son who's in the Army isn't involved.
[00:25:20.741 --> 00:25:21.542]  It's the higher-ups.
[00:25:21.942 --> 00:25:22.683]  Psych warfare.
