[00:00:00.029 --> 00:00:01.950]  Welcome, ladies and gentlemen.
[00:02:30.152 --> 00:02:36.013]  Why do you not repudiate the SS officer who killed American troops, Kurt Voltheim?
[00:02:36.013 --> 00:02:37.294]  You've refused repudiate him.
[00:02:37.294 --> 00:02:39.774]  Why are you a Nazi lover?
[00:02:39.774 --> 00:02:45.536]  And if he had more time, you know, why do you, why do you
[00:02:48.936 --> 00:02:51.857]  You'll say that you admire Hitler.
[00:02:51.857 --> 00:02:54.418]  We need to embarrass this monster.
[00:02:54.418 --> 00:02:55.338]  And they did do that.
[00:02:55.338 --> 00:02:57.999]  I'm told that video's coming out in the next day or two.
[00:02:57.999 --> 00:02:59.720]  But they only call me about once a week.
[00:02:59.720 --> 00:03:02.341]  Different groups call me, ask what my opinion is.
[00:03:02.341 --> 00:03:04.261]  I am not in control of these organizations.
[00:03:04.261 --> 00:03:06.002]  They're not even in control of themselves.
[00:03:06.002 --> 00:03:08.603]  These are true grassroots movements.
[00:03:08.603 --> 00:03:17.766]  And it's unstoppable because there's so many facets and arms and different manifestations of it that it's hard for the enemy to set them up or track or trace all of them.
[00:03:19.093 --> 00:03:31.723]  That said, I have told my crew, I have told the listeners, I have told Luke, I have told them all that this is under mafia rules with the Bushes and the Clintons and others.
[00:03:31.723 --> 00:03:42.451]  And if you've ever worked for the government or you've ever worked for the CIA or FBI or even as a postal person, they have a weird sick rule that if you criticize them, they will send hit teams to kill you.
[00:03:43.487 --> 00:03:49.437]  But if you've never worked for them, this is just what I've found and been told by government people and studied throughout history.
[00:03:49.437 --> 00:03:53.063]  It's a weird cultural tribal rule.
[00:03:53.063 --> 00:03:54.626]  They tend to leave you alone.
[00:03:56.283 --> 00:04:00.245]  To a certain extent, to a greater extent, if you leave their families alone.
[00:04:00.245 --> 00:04:03.286]  You see, I want my family left alone, too.
[00:04:03.286 --> 00:04:11.249]  I mess with the kingpins, I mess with the men, or I mess with women who've got pants on, like Hillary Clinton, who are trying to take my liberties and freedoms.
[00:04:11.249 --> 00:04:14.030]  I do not mess with their squaws.
[00:04:14.030 --> 00:04:20.773]  Now, I'm not saying we are changing this bad, but I did last week when I heard they were going to do this, I said, bad idea, don't do it.
[00:04:20.773 --> 00:04:23.054]  I talked about it a lot in the office, I said, I'm worried about it.
[00:04:24.133 --> 00:04:39.140]  And people are like, well, it's just politely going up and bringing up, you know, the fact that... And overall, I think it's a good thing to do, but you're going to see totally different actions from the establishment when you do that.
[00:04:39.140 --> 00:04:47.204]  So just as a rule, leave the mafiadons' wives and daughters and sons alone.
[00:04:47.204 --> 00:04:49.325]  Leave them completely alone.
[00:04:49.325 --> 00:04:49.965]  We'll be right back.
[00:04:54.355 --> 00:04:55.776]  It is a big idea.
[00:04:55.776 --> 00:04:58.598]  A New World Order.
[00:04:58.598 --> 00:05:03.462]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.462 --> 00:05:06.324]  It's known as the Bilderberg Group.
[00:05:06.324 --> 00:05:09.107]  Could their objective be world domination?
[00:05:09.107 --> 00:05:12.289]  For thousands of years, their dark order grew.
[00:05:12.289 --> 00:05:19.615]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.642 --> 00:05:28.086]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.086 --> 00:05:31.948]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.948 --> 00:05:34.510]  Build America is making great progress toward a world government.
[00:05:34.510 --> 00:05:35.691]  Most people have no idea.
[00:05:35.691 --> 00:05:36.471]  They're not after money.
[00:05:36.471 --> 00:05:37.732]  They have all the money they need.
[00:05:37.732 --> 00:05:38.733]  They're after power.
[00:05:38.733 --> 00:05:39.874]  That's their aphrodisiac.
[00:05:39.874 --> 00:05:48.599]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:48.599 --> 00:05:51.401]  In Game, blueprint for global enslavement.
[00:05:51.401 --> 00:05:52.442]  You have been warned.
[00:05:53.403 --> 00:05:58.506]  You can trace every disease, every illness, and every ailment to mineral deficiency.
[00:05:58.506 --> 00:06:02.389]  That is a quote from two-time Nobel Prize winner Linus Pauling.
[00:06:02.389 --> 00:06:12.076]  Because fruits and vegetables in their raw form are better absorbed, retained, and utilized than if heated, the Champion Juicer is the best way to get your nutrients your body craves.
[00:06:12.076 --> 00:06:16.479]  The Champion Juicer chews the fibers and breaks up the cells of vegetables and fruits.
[00:06:16.479 --> 00:06:20.122]  This gives you more fiber, enzymes, vitamins, and trace minerals.
[00:06:20.302 --> 00:06:30.614]  Juicing a combination of raw fruits and vegetables is documented to not only treat minor illness, but also is shown to reverse once thought incurable, life-threatening diseases.
[00:06:30.614 --> 00:06:35.721]  Juicing with the Champion Juicer also promotes fast, healthy weight loss and pure body cleansing.
[00:06:35.721 --> 00:06:38.424]  Put the Champion Juicer to work for you and your family.
[00:06:38.564 --> 00:06:43.272]  Get creative with your juicer and add a grain mill attachment to make your own healthy, fresh flour.
[00:06:43.272 --> 00:06:47.498]  The Champion Juicer also makes great nut butters and frozen sorbets.
[00:06:47.498 --> 00:06:50.163]  The world's finest juicer is Champion Juicer.
[00:06:50.163 --> 00:06:52.326]  Ask for it at your favorite health food store online today.
[00:06:53.072 --> 00:06:57.575]  If you've ever wanted to grow the absolute best-tasting fruits and vegetables imaginable, here's some exciting news.
[00:06:57.575 --> 00:07:00.457]  There's a new product designed to make growing delicious produce easy.
[00:07:00.457 --> 00:07:03.079]  It's called Proto-Gro, and it's dynamite in the garden.
[00:07:03.079 --> 00:07:10.125]  Proto-Gro is a bioactive superfood for plants that works by providing true broad-spectrum nutrition, allowing plants to achieve their full genetic expression.
[00:07:10.125 --> 00:07:11.305]  What does this mean in the garden?
[00:07:11.305 --> 00:07:15.989]  It means mouth-watering fruits and vegetables, brilliantly colored flowers, herbs that finally grow to medicinal strength.
[00:07:16.149 --> 00:07:22.693]  Blue Ribbon Garden Produce, jam-packed with bioavailable minerals and trace elements, giant pumpkins, even high-potency, high-bricks wheatgrass.
[00:07:22.693 --> 00:07:25.875]  Proto-Gro is a proprietary blend of full-spectrum nutrients from the sea.
[00:07:25.875 --> 00:07:28.677]  It literally contains the basic building blocks of life itself.
[00:07:28.677 --> 00:07:35.981]  In fact, Proto-Gro is so effective at producing rapid plant growth in record time that it almost forces plants to grow, even under the worst light and soil conditions.
[00:07:35.981 --> 00:07:38.623]  It's also perfect for growing your own survival foods and mites.
[00:07:38.663 --> 00:07:40.884]  Just be the ultimate hard times barter item.
[00:07:40.884 --> 00:07:44.866]  To grow tastier fruits and vegetables right now, go to growlikecrazy.com.
[00:07:44.866 --> 00:07:46.947]  That's growlikecrazy.com or call 877-327-0365.
[00:07:46.947 --> 00:07:47.007]  877-327-0365.
[00:07:47.007 --> 00:07:48.107]  He's the T-Rex of political talk.
[00:07:48.107 --> 00:07:49.308]  Alex Jones on the GCN Radio Network.
[00:08:02.640 --> 00:08:14.389]  I'm just telling all activists this, whether they're 9-11 Truth, We Are Change, InfoWars groups, I'm not making a moral judgment.
[00:08:14.389 --> 00:08:29.760]  It's kind of like I'm a navigation system on a boat with GPS telling you where there are rocks right underneath the surface where dangerous shoals are.
[00:08:32.129 --> 00:08:40.414]  And you're going to get a different response even if you are a hundred yards away from Laura Bush and one of her daughters.
[00:08:40.414 --> 00:08:46.678]  And even if you are polite, you are going to be physically attacked, you are going to be sat up, you are going to go to jail.
[00:08:46.678 --> 00:08:54.382]  And God forbid you get video or photos of the daughters falling down drunk on each other, you're going to be mailed weaponized U.S.
[00:08:54.382 --> 00:08:57.464]  government super anthrax and you're going to die.
[00:08:57.464 --> 00:08:59.345]  And the news is going to say Al Qaeda did it.
[00:09:01.443 --> 00:09:05.147]  Now, later, the History Channel will come out and admit the government did it, as they've now done.
[00:09:05.147 --> 00:09:06.629]  That's right.
[00:09:06.629 --> 00:09:08.391]  But that's kind of just a threat to everyone.
[00:09:08.391 --> 00:09:10.733]  Hey, we mail anthrax out.
[00:09:10.733 --> 00:09:12.035]  We bomb innocent countries.
[00:09:12.035 --> 00:09:15.739]  We attack skyscrapers with remote-control aircraft.
[00:09:15.739 --> 00:09:18.702]  We kill you slaves.
[00:09:18.702 --> 00:09:20.004]  And they're totally arrogant.
[00:09:20.004 --> 00:09:22.807]  They're full of bravado, chutzpah, whatever you want to call it.
[00:09:23.758 --> 00:09:29.868]  And it's hard to get their attention as they're busy destroying the planet and murdering people in M.A.S.H.
[00:09:29.868 --> 00:09:33.074]  The only way you can get it is by going up and messing with their women.
[00:09:34.921 --> 00:09:38.022]  And, you know, I mean, they're maids, they're servants, they're babysitters.
[00:09:38.022 --> 00:09:43.323]  They're dying all the time, getting run over, being found in the Kennebunkport water.
[00:09:43.323 --> 00:09:49.024]  I mean, every year or so, another member of the household gets killed because they just smart off or say something.
[00:09:49.024 --> 00:09:53.984]  I mean, these are dangerous, dangerous, dangerous killers.
[00:09:53.984 --> 00:09:55.025]  Just look at their women.
[00:09:55.025 --> 00:10:01.846]  I mean, they look, they look like completely crazed, satanic maniacs.
[00:10:01.846 --> 00:10:02.886]  Remember Barbara Bush?
[00:10:04.133 --> 00:10:11.275]  George Herbert Walker Bush's wife on Larry King Live, what was it, 2002?
[00:10:11.275 --> 00:10:13.076]  She was saying, leave my family alone.
[00:10:13.076 --> 00:10:19.117]  You can criticize George or anybody you want, but you criticize any of my family, you are dead.
[00:10:19.117 --> 00:10:21.258]  And Larry King said, what do you mean?
[00:10:21.258 --> 00:10:21.898]  I've got to pull that.
[00:10:21.898 --> 00:10:23.058]  We have a transcript of that.
[00:10:23.058 --> 00:10:25.899]  We wrote an article about it on Infowars.com.
[00:10:25.899 --> 00:10:27.039]  And Larry King said, what do you mean?
[00:10:27.039 --> 00:10:28.540]  She said, what I just said.
[00:10:28.540 --> 00:10:29.360]  We will kill you.
[00:10:29.360 --> 00:10:32.721]  I mean, they publicly say they'll commit murder on national television.
[00:10:34.486 --> 00:11:03.375]  So, just to understand that, I've told the story of my buddy, it was actually Kevin Booth, when he still lived here in Austin, it was his wife Trey's 40th birthday, so we were at City Grill Steakhouse downtown, and this is like three months after 9-11, and all of a sudden, all of a sudden, we're walking in and these federal marshals freak out and they go, Alex Jones, I was just listening to you on the radio today, what are you doing here?
[00:11:04.130 --> 00:11:04.971]  And I said, what are you doing here?
[00:11:04.971 --> 00:11:11.376]  And he goes, I'm not allowed to say, but just, just please let them eat in peace.
[00:11:11.376 --> 00:11:13.217]  So I go in, there's a big restaurant.
[00:11:13.217 --> 00:11:14.719]  Guess where they sit us?
[00:11:14.719 --> 00:11:16.120]  I'm wondering who it is.
[00:11:16.120 --> 00:11:21.945]  They seat us right next to the Bush daughters who are drinking.
[00:11:21.945 --> 00:11:23.886]  I think they hadn't turned 21 yet.
[00:11:23.886 --> 00:11:24.727]  They're drinking wine.
[00:11:24.727 --> 00:11:28.550]  There were two heavy metal guys with devil tattoos all over them.
[00:11:28.550 --> 00:11:30.732]  And, uh, they're looking at me.
[00:11:31.627 --> 00:11:33.548]  And I don't look at them.
[00:11:33.548 --> 00:11:35.490]  I just try to give them the vibe of, I don't see you.
[00:11:35.490 --> 00:11:39.092]  And Kevin's like, I've got a camera in the car.
[00:11:39.092 --> 00:11:41.094]  I've got a video camera in the car.
[00:11:41.094 --> 00:11:42.475]  I'm going to videotape them.
[00:11:42.475 --> 00:11:43.195]  Put it on the web.
[00:11:43.195 --> 00:11:46.317]  And I said, yeah, you might as well just go jump out in front of traffic.
[00:11:46.317 --> 00:11:51.801]  Do you want Bush to mail weaponized anthrax to you?
[00:11:51.801 --> 00:11:58.266]  Remember where the first anthrax letter went of the most weaponized grade US patented, coated in bentonite,
[00:11:59.196 --> 00:12:04.697]  Not just coated, little microscopic wings had been attached to each spore, okay?
[00:12:04.697 --> 00:12:06.557]  Only patented by the U.S.
[00:12:06.557 --> 00:12:08.318]  Super advanced.
[00:12:08.318 --> 00:12:25.161]  It was mailed directly to American media, the owners of The Inquirer, to the editor, who was the one that paid to have camera people follow the Bush daughters, and it was mailed to his office, and he died.
[00:12:26.374 --> 00:12:26.554]  I think?
[00:12:44.801 --> 00:12:48.242]  School teacher here in Austin for mailing school books to Palestinians.
[00:12:48.242 --> 00:12:52.824]  Just chop him up in public, tie him up, ground him, have the cops say he committed suicide.
[00:12:52.824 --> 00:12:54.565]  Just a bit of a message to everybody.
[00:12:54.565 --> 00:13:03.888]  The cattle will still believe that you tie yourself up and gag yourself and cut yourself up in pieces and throw yourself in the water.
[00:13:03.888 --> 00:13:11.311]  And, uh, but to the rest of us that understand what's going on, I mean, why would Mossad run around in his front yard with machine guns?
[00:13:11.311 --> 00:13:12.531]  The neighbors have now confirmed.
[00:13:13.777 --> 00:13:15.718]  Just, it's all, so you know.
[00:13:15.718 --> 00:13:16.398]  Yes, we're here.
[00:13:16.398 --> 00:13:21.140]  I mean, why do you think Ariel Sharon told the AP and UPI, we're going to kill U.S.
[00:13:21.140 --> 00:13:22.420]  citizens on U.S.
[00:13:22.420 --> 00:13:26.902]  soil if you aid the Palestinians, or if you get in the way of anything we're doing?
[00:13:26.902 --> 00:13:27.562]  It's a message.
[00:13:27.562 --> 00:13:29.723]  We will kill you.
[00:13:29.723 --> 00:13:31.204]  We rule you.
[00:13:31.204 --> 00:13:33.024]  You are slaves.
[00:13:33.024 --> 00:13:37.006]  Period.
[00:13:37.006 --> 00:13:37.166]  Now,
[00:13:40.407 --> 00:13:42.409]  I commend the amazing courage.
[00:13:42.409 --> 00:13:44.972]  Founding father-level courage, and we are changed.
[00:13:44.972 --> 00:13:46.193]  They are confronting Schwarzenegger.
[00:13:46.193 --> 00:13:47.414]  They confronted Kerry this week.
[00:13:47.414 --> 00:13:55.683]  They are the main event in the new film, 9-11 Chronicles, Truth Rising, Part 1, Truth Rising.
[00:13:55.683 --> 00:14:02.650]  I just am telling them where the rocks are, and to leave the women of these mafia dons alone.
[00:14:05.743 --> 00:14:08.184]  Now, what happened then was an absolute outrage.
[00:14:08.184 --> 00:14:13.206]  Of course, it's a total violation of the First Amendment.
[00:14:13.206 --> 00:14:16.707]  The gang member-like Secret Service are completely creepy.
[00:14:16.707 --> 00:14:19.908]  They say, we don't want to hear about your Constitution.
[00:14:19.908 --> 00:14:21.468]  We got Luke coming on in a few minutes.
[00:14:21.468 --> 00:14:26.510]  Gary, one of the great guys at We Are Change, you've seen him in many videos, he'll list a lot of facts calmly.
[00:14:26.510 --> 00:14:34.393]  I've seen him confront many people, including Robert Kennedy Jr., where he just politely listed some facts.
[00:14:35.396 --> 00:14:43.659]  He did that as Barbara, as Laura Bush and one of her daughters walked by.
[00:14:43.659 --> 00:14:47.141]  And a large man, and I've talked to four different witnesses who saw it.
[00:14:47.141 --> 00:14:53.383]  Of course, people were so befuddled when it happened that one girl only had a snapshot camera and she dropped that.
[00:14:53.383 --> 00:14:58.145]  They smashed Gary's camera, that's why we don't have it, why we don't have the tape.
[00:14:58.145 --> 00:14:59.826]  Smashed it, destroyed it, tape's gone.
[00:15:02.882 --> 00:15:08.706]  And this huge guy just attacks Gary and starts pummeling, I mean just beating him.
[00:15:08.706 --> 00:15:15.910]  The police then arrested Gary, staged the arrest of this guy, let him go instantly at the police station.
[00:15:15.910 --> 00:15:19.232]  He wrote him a note Gary, so I handed it to him, they let him go.
[00:15:19.232 --> 00:15:22.655]  Probably staged, we're gonna put the video of this guy up.
[00:15:22.655 --> 00:15:27.478]  I mean it's still photos, one lady thinks she got still photos.
[00:15:27.478 --> 00:15:29.479]  And then they charged him with third degree assault.
[00:15:32.623 --> 00:15:40.646]  So, then they also arrested Matt Lepasic, who got into the event.
[00:15:40.646 --> 00:15:44.328]  He's the guy who got arrested in New Hampshire for asking Giuliani a question.
[00:15:44.328 --> 00:15:45.468]  Remember that?
[00:15:45.468 --> 00:15:48.849]  All on video.
[00:15:48.849 --> 00:15:52.771]  Never touched the cops, and the cops tried to charge him with assaulting them, but then they had to drop it.
[00:15:52.771 --> 00:15:56.192]  I mean, they think God was video of it, or he'd be in prison right now.
[00:15:56.192 --> 00:15:59.893]  And the cops all stand around the video we've got and decide how to frame up Gary.
[00:15:59.893 --> 00:16:00.954]  That's on video too.
[00:16:01.849 --> 00:16:11.313]  Remember, we have the police working with Larry Silverstein's goons, walking up and saying, we're gonna claim you've got bombs, we know you're not a terrorist, but we're gonna put you in jail.
[00:16:11.313 --> 00:16:14.494]  We're gonna frame you, if you don't leave.
[00:16:14.494 --> 00:16:18.756]  Then Luke says, okay, I'll leave, please don't frame me, and they say, no, it's too late for that.
[00:16:18.756 --> 00:16:22.718]  We're gonna frame you now.
[00:16:22.718 --> 00:16:28.140]  That video's on the web, wait till you see it in this film, the actual video on DVD, not, you know, cruddy internet version.
[00:16:31.753 --> 00:16:35.034]  So, uh, we are Change Ireland on video.
[00:16:35.034 --> 00:16:39.636]  The guy shoves him in the back, runs around, shoves him in the face, chases one of them.
[00:16:39.636 --> 00:16:43.898]  This is a former, you know, guy tied in with the heavies in Ireland, very serious character.
[00:16:43.898 --> 00:16:48.940]  Now a EU Parliament member is selling out, uh, sovereignty of Ireland.
[00:16:48.940 --> 00:16:50.001]  He attacks them!
[00:16:50.001 --> 00:16:50.841]  He's chasing them!
[00:16:52.293 --> 00:16:56.416]  They give the video, audio, everything to the Sunday Times, BBC.
[00:16:56.416 --> 00:16:57.617]  They don't care.
[00:16:57.617 --> 00:16:58.838]  It's put out.
[00:16:58.838 --> 00:17:10.568]  Associated Press, TV in the U.S., that an anti-EU gang viciously attacks and steals the bag and beats and tackles and tortures.
[00:17:10.568 --> 00:17:11.509]  They said everything about torture.
[00:17:11.509 --> 00:17:12.349]  They implied it.
[00:17:12.349 --> 00:17:16.172]  This poor, innocent... And then the police did nothing.
[00:17:16.172 --> 00:17:17.974]  It was We Are Change that called the police.
[00:17:20.166 --> 00:17:46.723]  So we're seeing the setups, we're seeing people show up with signs behind We Are Change with international TV crews in tow, Fox News, BBC, you name it, with signs saying that We Are Change, that 9-11 Truth was behind the bombing of the facility, the Army, Navy, Marine Corps Recruiting Center in Times Square, which itself was a big firecracker.
[00:17:48.655 --> 00:17:52.616]  Which, weeks before, Geraldo's saying, we're gonna bomb, we're terrorists.
[00:17:52.616 --> 00:18:00.259]  And then he says that day, it's probably 9-11 truth, and then all the other shows parrot that and say, we should, quote, be arrested and sent to camps and tortured.
[00:18:00.259 --> 00:18:01.239]  Those are quotes.
[00:18:01.239 --> 00:18:02.859]  To secret camps and tortured.
[00:18:02.859 --> 00:18:18.264]  As a talking point, the government has their top al-Qaeda minion, al-Zahari, come out and say that Israel, the U.S., no one's involved in 9-11, that 9-11 truth works for Ahmadinejad,
[00:18:21.306 --> 00:18:26.528]  Of course, it's just some fake audio tape put out by the Intel Center, as usual.
[00:18:26.528 --> 00:18:33.850]  It never ends with Adam Perlman slash Adam Goddard of the ADL openly doing Al-Qaeda tapes, threatening everyone.
[00:18:33.850 --> 00:18:35.851]  I mean, how dumb do you think we are?
[00:18:35.851 --> 00:18:38.892]  So know this, we are change.
[00:18:38.892 --> 00:18:44.994]  We are change is the peaceful Black Panthers of our day.
[00:18:44.994 --> 00:18:50.156]  But they're engaging in guerrilla information warfare and confronting the criminals and the traitors of this country.
[00:18:50.842 --> 00:18:55.105]  And so they're trying to infiltrate you, they're trying to set you up right now, but there's too many chapters.
[00:18:55.105 --> 00:18:56.847]  We need to form more chapters.
[00:18:56.847 --> 00:18:59.349]  We need to form other groups under other names.
[00:18:59.349 --> 00:19:17.182]  We need to everybody go out and confront politicians so that our info war, peaceful attack pattern cannot be analyzed or dealt with because it is completely organic and completely random with chaos theory and they can't respond even with their predictive computers.
[00:19:17.182 --> 00:19:18.023]  It's unpredictable.
[00:19:19.522 --> 00:19:28.732]  And then it continues to capture the media spotlight, capture media events, inject 9-11 truth into the consciousness as more and more big hitters go public.
[00:19:28.732 --> 00:19:37.281]  Presidents and Prime Ministers and Governors and Congresswomen and men all going public saying it's an inside job.
[00:19:37.281 --> 00:19:39.163]  We're very close to bringing down the terrorist.
[00:19:40.783 --> 00:19:42.046]  Okay, but know this.
[00:19:42.046 --> 00:19:47.557]  We are changed on the front lines, ladies and gentlemen, in the second 1776 and the Info War.
[00:19:47.557 --> 00:19:52.007]  They need your prayers now, and they need to break off and leave the women alone.
[00:19:55.233 --> 00:19:57.936]  Do you know the truth about cancer treatments?
[00:19:57.936 --> 00:20:07.386]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:07.386 --> 00:20:14.493]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:15.214 --> 00:20:21.202]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:20:21.202 --> 00:20:31.976]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:20:32.757 --> 00:20:33.338]  It is a big idea.
[00:20:56.897 --> 00:20:58.678]  A New World Order.
[00:20:58.678 --> 00:21:03.562]  In the near future, Earth is dominated by a powerful world government.
[00:21:03.562 --> 00:21:06.404]  It's known as the Bilderberg Group.
[00:21:06.404 --> 00:21:09.185]  Could their objective be world domination?
[00:21:09.185 --> 00:21:12.368]  For thousands of years, their dark order grew.
[00:21:12.368 --> 00:21:19.693]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:22.717 --> 00:21:28.161]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:28.161 --> 00:21:32.023]  You will learn the secret that drives the entire New World Order agenda.
[00:21:32.023 --> 00:21:34.585]  Build America is making great progress toward a world government.
[00:21:34.585 --> 00:21:35.766]  Most people have no idea.
[00:21:35.766 --> 00:21:36.546]  They're not after money.
[00:21:36.546 --> 00:21:37.807]  They have all the money they need.
[00:21:37.807 --> 00:21:38.808]  They're after power.
[00:21:38.808 --> 00:21:39.949]  That's their aphrodisiac.
[00:21:39.949 --> 00:21:44.712]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:44.712 --> 00:21:48.674]  Or watch it online right now at PrisonPlanet.tv.
[00:21:48.674 --> 00:21:51.476]  Endgame, blueprint for global enslavement.
[00:21:51.476 --> 00:21:52.537]  You have been warned.
[00:21:53.598 --> 00:21:58.121]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:21:58.121 --> 00:22:03.225]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:22:03.225 --> 00:22:04.726]  Hi folks, Alex Jones here.
[00:22:04.726 --> 00:22:08.329]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:22:08.329 --> 00:22:13.753]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:22:13.753 --> 00:22:19.518]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:22:19.838 --> 00:22:22.360]  Now, Calvin Soaps are available to you and me.
[00:22:22.360 --> 00:22:24.882]  Triple concentrated for all your cleaning needs.
[00:22:24.882 --> 00:22:27.304]  From bathing and laundry to dishes, hair and more.
[00:22:27.304 --> 00:22:28.505]  No harsh chemicals.
[00:22:28.505 --> 00:22:29.705]  No animal testing.
[00:22:29.705 --> 00:22:31.046]  I use them and love them.
[00:22:31.046 --> 00:22:32.928]  Knowing they're all natural and safe.
[00:22:32.928 --> 00:22:34.329]  And I say big time.
[00:22:34.329 --> 00:22:35.790]  Call Calvin Pure Soap at 1-800-340-7091.
[00:22:38.632 --> 00:22:42.213]  That's 1-800-340-7091 or log on to 5starsoap.com now for a free catalog.
[00:22:42.213 --> 00:22:45.494]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:22:53.294 --> 00:22:55.255]  Our beloved Republic is on her knees.
[00:22:55.255 --> 00:22:58.877]  The forces of globalism are destroying national sovereignty worldwide.
[00:22:58.877 --> 00:23:01.338]  But in Liberty's darkest hour, there is hope.
[00:23:01.338 --> 00:23:04.359]  The first time in modern history, the people are beginning to wake up.
[00:23:04.359 --> 00:23:10.102]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:23:10.102 --> 00:23:14.024]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:23:14.344 --> 00:23:19.545]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:23:19.545 --> 00:23:22.586]  PrisonPlanet.tv is a vault of forbidden information.
[00:23:22.586 --> 00:23:29.807]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:23:29.807 --> 00:23:35.788]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:23:35.788 --> 00:23:40.309]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:23:40.649 --> 00:23:43.470]  The Info War is waiting for you to set it free.
[00:23:43.470 --> 00:23:45.530]  Join PrisonPlanet.TV.
[00:23:45.530 --> 00:23:47.511]  Burn the info bombs to disk.
