[00:00:00.069 --> 00:00:01.029]  Engine Moving Parts.
[00:06:51.434 --> 00:06:53.715]  People have trouble wrapping their mind around it.
[00:06:53.735 --> 00:06:55.136]  It's a little counterintuitive.
[00:06:55.776 --> 00:07:06.580]  But, you know, if I can break it down as simply, is, you know, people are familiar with the idea of borrowing money to buy a stock, and if the stock goes up, they sell it for a profit, and they pay back their loan.
[00:07:07.481 --> 00:07:19.846]  When you're selling short stock, you're borrowing stock, and you're selling that stock, and you're hoping that the price goes down, and after the price goes down, you buy back your stock at the lower price,
[00:07:20.780 --> 00:07:24.202]  And you return it to where you borrowed it from.
[00:07:24.482 --> 00:07:28.824]  But because the stock is now at a lower price, the amount of money it took to buy it back is less.
[00:07:29.385 --> 00:07:30.445]  You get to keep the difference.
[00:07:30.765 --> 00:07:32.246]  That's how you make money on a short sale.
[00:07:32.626 --> 00:07:36.148]  And it works on stocks, and it works on commodities, and it works on the Comex.
[00:07:36.569 --> 00:07:44.533]  And the Comexes were all the biggest precious metal futures operation in the world, and as has been pointed out by numerous guests on your show,
[00:07:45.307 --> 00:07:56.693]  The big bankers in the world who love the idea of fractional reserve banking, and love the idea of infinite credit, they hate gold, they hate precious metals, because it's a limited supply, and they don't like to live in a world of limits.
[00:07:56.753 --> 00:07:58.534]  They like to live in a world of infinite credit.
[00:07:58.894 --> 00:08:01.976]  So it's in their interest to try to keep those precious metals down.
[00:08:02.396 --> 00:08:06.938]  And they do this primarily by selling gold and silver short.
[00:08:06.978 --> 00:08:14.342]  They're selling gold and silver contracts that they do not own, and they borrow for the most part, and they do this with broad money, and they can borrow money
[00:08:14.775 --> 00:08:15.395]  Quite cheaply.
[00:08:15.695 --> 00:08:20.196]  The scandal, the scandal here, is something called naked short-selling.
[00:08:20.517 --> 00:08:34.920]  And naked short-selling applies both to the comics, in my opinion, and to what Golden Facts has been doing, which is the opinion now of Bloomberg and the Wall Street Journal and, you know, observers around the world.
[00:08:34.940 --> 00:08:36.421]  Well, there's no doubt they've been doing it.
[00:08:36.461 --> 00:08:38.681]  They've been doing it to stocks they recommend to people.
[00:08:40.022 --> 00:08:40.222]  Right.
[00:08:40.242 --> 00:08:43.303]  So naked short-selling is nothing more than counterfeiting.
[00:08:43.383 --> 00:08:44.223]  It's just straight out
[00:08:44.750 --> 00:08:45.391]  Counterfeiting.
[00:08:45.832 --> 00:08:49.677]  And this is now, when you, when you... I listen to your show, of course, Alex, I'm a big fan.
[00:08:49.997 --> 00:08:58.529]  And when you talk about the Illuminati and the globalists and the New World Order, you can condense all those terms into basically two words.
[00:08:58.629 --> 00:08:59.631]  Golden facts.
[00:09:00.011 --> 00:09:01.794]  Golden facts are the epicenter
[00:09:03.334 --> 00:09:05.235]  By the way, you're not joking!
[00:09:05.255 --> 00:09:13.376]  They even had a big global advisor on CNBC a few weeks ago, and he said, the Illuminati is doing this.
[00:09:13.876 --> 00:09:16.097]  So now we're starting to see that even come out, but go ahead.
[00:09:17.037 --> 00:09:24.119]  Right, I mean, there's no need to look beyond Goldman Sachs, is my point.
[00:09:24.619 --> 00:09:30.500]  You've got now Senator Inouye saying that Goldman Sachs
[00:09:31.430 --> 00:09:33.547]  He's accusing Goldman Sachs openly.
[00:09:33.996 --> 00:09:36.998]  That they're giving money from the bailout money to their friends.
[00:09:37.218 --> 00:09:38.339]  They want an investigation.
[00:09:38.599 --> 00:09:42.862]  You've got Bernie Sanders in Vermont who thinks that Goldman Sachs is a conflict of interest.
[00:09:42.902 --> 00:09:44.063]  He wants an investigation.
[00:09:44.083 --> 00:09:46.044]  Yeah, by the way, that's the AP headline.
[00:09:46.084 --> 00:09:47.425]  I'll just interrupt and back you up.
[00:09:48.005 --> 00:09:55.430]  It's that a Senator Inhofe from Oklahoma, a very powerful Republican Senator, is saying that they're giving it to their friends and others.
[00:09:56.091 --> 00:09:59.313]  And it's not even being denied that that's going on.
[00:09:59.353 --> 00:10:00.674]  It's also being used for bonuses.
[00:10:00.714 --> 00:10:01.014]  Go ahead.
[00:10:01.570 --> 00:10:05.792]  Yeah, Chuck Grassley, he's a senior GOP on the Senate Finance Committee.
[00:10:06.252 --> 00:10:10.933]  He just came out today, within the last two hours, and has suggested that Goldman Sachs is double-dealing.
[00:10:11.173 --> 00:10:12.954]  Goldman Sachs is a conflict of interest.
[00:10:13.214 --> 00:10:15.335]  Goldman Sachs is involved in naked short-selling.
[00:10:15.922 --> 00:10:20.343]  Goldman Sachs is at the heart of the American economic and banking collapse.
[00:10:20.463 --> 00:10:36.488]  Is that why they're keeping... I mean, it was Goldman Sachs guys in the 90s that changed all the rules, and in the 2000s with Bush, and now you notice it's an inner group of Goldman Sachs running the bailout, running Treasury, running the Fed, and that they're bringing more Goldman Sachs people now into it as well.
[00:10:36.528 --> 00:10:39.669]  Is that to keep it, you know, keep the conspiracy in a closed circle?
[00:10:41.241 --> 00:10:41.702]  Absolutely.
[00:10:41.762 --> 00:10:49.710]  As part of the bailout package, they slipped into the package a tax break to give the bankers $140, $150 billion tax break.
[00:10:49.810 --> 00:10:55.916]  Okay, so now it's openly being discussed that they're stealing it, and Goldman Sachs just laughs.
[00:10:56.036 --> 00:10:57.117]  Why are they so arrogant?
[00:10:58.739 --> 00:11:00.120]  Because there's been a coup d'etat.
[00:11:01.381 --> 00:11:05.205]  There's been a coup d'etat, and Hank Paulson has dictatorial powers.
[00:11:05.526 --> 00:11:10.830]  When I was on your show last time, I believe it was... When I was on your show last time, I might have been on another network.
[00:11:10.970 --> 00:11:11.731]  No, no, you were here.
[00:11:11.771 --> 00:11:12.171]  You were here.
[00:11:12.891 --> 00:11:20.037]  And I was saying that basically, they have achieved through this $700 billion, which became $850 billion bailout.
[00:11:20.057 --> 00:11:21.137]  It didn't matter what the number was.
[00:11:21.157 --> 00:11:22.358]  The number was arbitrary.
[00:11:22.598 --> 00:11:25.280]  The key concept was it gives them dictatorial power.
[00:11:25.340 --> 00:11:26.381]  That's the key concept.
[00:11:26.501 --> 00:11:27.082]  That is the key.
[00:11:27.102 --> 00:11:27.442]  That's right.
[00:11:28.102 --> 00:11:32.946]  They have dictatorial powers, and they are literally having sconfed themselves
[00:11:35.950 --> 00:11:44.120]  But just because they say they're God, and just because they say they can barbecue children on their front porch, doesn't mean they can.
[00:11:44.160 --> 00:11:48.626]  They have law saying black people weren't human in this country, and we know those were bull, and they were overthrown.
[00:11:48.946 --> 00:11:51.569]  So what do we do about these arrogant criminals?
[00:11:52.570 --> 00:11:54.212]  You know, Wall Street frat guys.
[00:11:54.252 --> 00:12:03.679]  I'm not bashing Yalies and people, but that's... I mean, it's that arrogant... I mean, watching Kashkari with the smart mouth comments, you know, the glare last week.
[00:12:03.720 --> 00:12:05.321]  I mean, these are some arrogant little bastards.
[00:12:06.582 --> 00:12:09.785]  Well, I mean, I was on Al Jazeera yesterday morning.
[00:12:09.845 --> 00:12:10.765]  I sent you the clip.
[00:12:11.026 --> 00:12:11.926]  Yeah, we're going to play it.
[00:12:14.028 --> 00:12:20.633]  And, you know, I used some language that I'm not sure Americans have heard in this context, but
[00:12:21.914 --> 00:12:37.666]  You know, the point is that these guys have, as you point out, I mean, they are literally, they've pulled down their pants and are literally giving a golden shower into the face of 300 million Americans.
[00:12:38.507 --> 00:12:48.294]  And unless you are into golden showers, unless you are into FNM, unless you enjoy that kind of thing, I would suggest that you begin to, you know, take some steps.
[00:12:48.395 --> 00:12:50.036]  I mean, this is so
[00:12:50.785 --> 00:13:03.388]  I mean, I've been a observer for markets for 25 years, and I have seen examples of egregious electronic feeding, as we used to do.
[00:13:03.628 --> 00:13:06.308]  I mean, I was working on Wall Street in the 1980s.
[00:13:06.348 --> 00:13:11.689]  I know many, many of the tricks that one can use in the bank to transfer wealth.
[00:13:11.769 --> 00:13:13.490]  Electronic pickpocketing, we used to call it.
[00:13:13.830 --> 00:13:17.771]  It's just electronically transferring wealth from the customers to the bankers.
[00:13:17.811 --> 00:13:19.871]  That's all pretty much the job entails.
[00:13:20.636 --> 00:13:22.177]  The techniques are pretty standard.
[00:13:22.377 --> 00:13:32.344]  And the beautiful thing about it, Alex, if you ever worked on Wall Street, is that typically when, you know, the management comes around and says, unless you're being sued, you're not really doing your job.
[00:13:32.905 --> 00:13:33.986]  We've got plenty of lawyers.
[00:13:34.326 --> 00:13:36.247]  Just keep racking up the commissions.
[00:13:36.287 --> 00:13:36.968]  We've got lawyers.
[00:13:37.028 --> 00:13:38.209]  Just keep racking up the commissions.
[00:13:38.629 --> 00:13:45.134]  And the beautiful thing about it is that if, in fact, it ever gets to the point where there's a serious problem, two things.
[00:13:46.547 --> 00:13:49.249]  When you sign a new customer account, it forces you to go to arbitration.
[00:13:49.289 --> 00:13:52.972]  Well, the people that steal and cheat and make the most money, they get promoted.
[00:13:53.012 --> 00:13:54.733]  They go, wow, you've been indicted.
[00:13:54.773 --> 00:13:58.015]  As soon as our lawyers fix this, you're going to be going up to vice president.
[00:13:58.836 --> 00:13:59.917]  It shows initiative.
[00:14:01.098 --> 00:14:01.818]  It shows initiative.
[00:14:01.938 --> 00:14:05.000]  Or, they simply change the law.
[00:14:05.040 --> 00:14:05.941]  They simply change the law.
[00:14:06.161 --> 00:14:10.724]  The FCC is overworked and understaffed on purpose.
[00:14:11.065 --> 00:14:12.846]  If they ever get to it, things get really tight.
[00:14:14.717 --> 00:14:15.397]  Here's an example.
[00:14:15.457 --> 00:14:24.923]  Under Bush, and this is all over the news, over 90% of the corporate white-collar crime investigators were pulled off and they weren't put on anti-terror.
[00:14:24.943 --> 00:14:27.225]  If you read deeply, they were put on mom-and-pops.
[00:14:27.545 --> 00:14:38.552]  So what happens is big, too-large-to-fail groups can steal, kill, Halliburton can run white slavery camps, it can be in mainstream news, nothing happens to them, but then a pet store owner
[00:14:39.412 --> 00:14:44.594]  A guy that owns a used car lot, a dentist, somebody who has a hamburger place.
[00:14:44.894 --> 00:14:47.094]  The IRS will rake them over the coals for no reason.
[00:14:47.134 --> 00:14:47.474]  Go ahead.
[00:14:49.275 --> 00:14:57.277]  Yeah, and you know, they just change the laws basically to suit what is for their convenience.
[00:14:57.397 --> 00:15:00.698]  Bankers are routinely, are constantly changing the laws, changing the products.
[00:15:01.018 --> 00:15:04.439]  You know, it's like a three-card Monty game in the city.
[00:15:04.459 --> 00:15:06.680]  You know, you see these guys, they're playing three-card Monty.
[00:15:07.145 --> 00:15:11.514]  And the cops show up, they can fold up in five seconds, and five minutes later they shut up across the street.
[00:15:11.995 --> 00:15:16.004]  So if they just go from scam to scam to scam, it's basically the same scam, but...
[00:15:18.072 --> 00:15:19.073]  So where is this going?
[00:15:19.113 --> 00:15:27.297]  I mean, the whole culture is going into total corruption, governments expanding, governments feeding, you know, no different from administration to administration.
[00:15:27.638 --> 00:15:32.100]  How bad is it going to get when the immovable object meets the unstoppable force?
[00:15:32.581 --> 00:15:33.401]  What is going to happen?
[00:15:33.421 --> 00:15:39.725]  A lot of trends, projectors, a lot of experts who've been writing the past are saying it's going to end up war on the streets.
[00:15:42.569 --> 00:15:46.871]  There's also another thing going on, which is I call the sixes versus the nines.
[00:15:47.552 --> 00:15:54.115]  This is the people with six zeros in their net worth, the millionaires, versus people with nine zeros in their net worth, the billionaires.
[00:15:54.595 --> 00:16:09.382]  Because after 9-11, when they dropped interest rates down to 1%, they screwed up the economy so badly that now, seven, eight years later, the system is so badly screwed up that you've got wars broken out between the billionaires and the millionaires.
[00:16:09.929 --> 00:16:12.171]  So even a millionaire is like $5, $10, $15 million.
[00:16:12.931 --> 00:16:18.195]  People who thought they were wealthy a couple of years ago are getting squeezed due to the global credit collapse.
[00:16:18.616 --> 00:16:23.039]  So you're seeing like, for example, Goldman Sachs is at war with its own customers.
[00:16:23.239 --> 00:16:24.680]  And this was today in today's Bloomberg.
[00:16:24.700 --> 00:16:25.541]  Here's an example of this.
[00:16:25.601 --> 00:16:30.044]  Goldman was targeted by investor complaints of naked short selling.
[00:16:31.084 --> 00:16:38.248]  Investors in a $591 billion high-yield, high-risk loan market are accusing Goldman of naked short-selling to profit from record price declines.
[00:16:38.308 --> 00:16:44.811]  At least two fund managers complained that they were victimized by Goldman, for whom they were doing business with.
[00:16:45.672 --> 00:16:48.293]  So you've got wars broken out between the millionaires and the billionaires.
[00:16:48.873 --> 00:16:52.935]  And they're pushing each other using these credit derivative products and other financial forms.
[00:16:52.955 --> 00:16:53.935]  So this is only going to get worse.
[00:16:54.475 --> 00:16:59.197]  And then also you hear blue collar folks say, I don't care, I don't own stock, I don't care about some millionaire.
[00:16:59.397 --> 00:16:59.977]  Well you better.
[00:16:59.997 --> 00:17:01.918]  They're the ones that buy the products at your shops.
[00:17:02.218 --> 00:17:04.119]  They're the ones that spend money in the economy.
[00:17:04.419 --> 00:17:05.239]  Not the billionaires.
[00:17:05.519 --> 00:17:06.580]  They all hoard it on average.
[00:17:06.600 --> 00:17:10.361]  It's the millionaires that actually are funding the general public.
[00:17:10.661 --> 00:17:14.223]  And so what happens when the IRS is going to scalp the millionaires?
[00:17:14.263 --> 00:17:14.823]  What's going to happen?
[00:17:15.731 --> 00:17:21.132]  Well, the problem is that the global credit system is so bad screwed.
[00:17:21.432 --> 00:17:26.454]  You look at what's called the Baltic Dry Index, which tracks the global shipping industry.
[00:17:26.814 --> 00:17:32.055]  Four months ago, it cost something like $150,000 to send a ship from China to America.
[00:17:32.255 --> 00:17:33.195]  The price has dropped down to $4,000.
[00:17:33.235 --> 00:17:34.516]  It's down something like 98.5%.
[00:17:36.772 --> 00:17:41.395]  There's literally stockpiles of grain stacked up in the port.
[00:17:41.615 --> 00:17:43.856]  Because all global shipping has come to a halt.
[00:17:43.896 --> 00:17:47.399]  Because no one can get a letter of credit to send a ship from point A to point B. Exactly!
[00:17:47.539 --> 00:17:53.522]  And Ford and GM can't get letters for the insurance for the parts manufacturers.
[00:17:54.243 --> 00:17:57.825]  The insurance on the subcontractors that sell them the parts.
[00:17:58.105 --> 00:17:59.126]  So they're coming to an end.
[00:17:59.166 --> 00:18:00.747]  Max Keiser, let's talk about it when we get back.
[00:18:01.510 --> 00:18:07.932]  If I had something to spray on my license plate that would block off the camera, you bet your papa bring it on!
[00:18:07.972 --> 00:18:09.332]  KETV News Watch 7.
[00:18:10.393 --> 00:18:14.394]  It will render a license plate unreadable to the red light cameras.
[00:18:14.574 --> 00:18:15.714]  We are under the microscope.
[00:18:15.894 --> 00:18:19.595]  Red light cameras and speed cameras are in place to make money, not for your safety.
[00:18:19.695 --> 00:18:23.076]  But you don't have to be defenseless against these unconstitutional devices.
[00:18:23.256 --> 00:18:26.357]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[00:18:26.517 --> 00:18:31.340]  This revolutionary product has proven itself to be the most effective device available against traffic cameras.
[00:18:31.540 --> 00:18:36.723]  Invisible to the naked eye, your license plate, when flashed, will be overexposed and unreadable to the cameras.
[00:18:36.943 --> 00:18:37.583]  Save your money!
[00:18:37.683 --> 00:18:39.324]  Go to SprayYourPlate.com.
[00:18:39.444 --> 00:18:41.185]  That's SprayYourPlate.com.
[00:18:41.365 --> 00:18:47.249]  And check out the newscast showing the Photoblocker in action, proving that the Spray Your Plate's Photoblocker works against traffic cameras.
[00:18:47.409 --> 00:18:49.750]  Go to SprayYourPlate.com or call 1-800-276-9601.
[00:18:53.132 --> 00:18:53.653]  That's 1-800-276-9601.
[00:18:54.073 --> 00:18:58.019]  Don't give your money to the state.
[00:18:58.119 --> 00:18:58.760]  Spray your plate.
[00:18:58.940 --> 00:19:01.003]  And when the cameras flash, you'll save some cash.
[00:19:01.623 --> 00:19:08.012]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:19:08.392 --> 00:19:10.075]  The enemy struck America on September 11th.
[00:19:11.027 --> 00:19:12.048]  But who is the enemy?
[00:19:12.548 --> 00:19:13.089]  Bin Laden.
[00:19:13.349 --> 00:19:14.350]  This is his M.O.
[00:19:14.370 --> 00:19:15.671]  We have to look to the Middle East.
[00:19:15.711 --> 00:19:17.392]  We have to look to Osama Bin Laden.
[00:19:17.712 --> 00:19:24.478]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:19:24.878 --> 00:19:25.318]  Some U.S.
[00:19:25.358 --> 00:19:31.023]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:19:31.703 --> 00:19:35.186]  I'm aware that some Israeli citizens have been detained.
[00:19:35.206 --> 00:19:37.987]  Either you are with us, or you are with the terrorists.
[00:20:01.562 --> 00:20:03.063]  Alex Jones here with a question.
[00:20:03.243 --> 00:20:04.684]  What does humidity mean to you?
[00:20:04.984 --> 00:20:07.225]  Most people think of hot and sticky summer days.
[00:20:07.665 --> 00:20:12.407]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:20:12.808 --> 00:20:15.649]  That's why I'd like you to visit acolablue.com.
[00:20:16.009 --> 00:20:19.511]  Acolablue is a state-of-the-art atmospheric water generator.
[00:20:19.904 --> 00:20:31.891]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:20:32.451 --> 00:20:34.453]  Finally, drinking water that you control.
[00:20:34.473 --> 00:20:35.753]  I use one every day.
[00:20:36.174 --> 00:20:38.635]  Say goodbye to expensive water delivery services.
[00:20:38.935 --> 00:20:40.696]  Hey, I want you to play the Illuminati clip first.
[00:21:08.726 --> 00:21:15.750]  Let's go ahead and play that CNBC clip with one of the bigwigs on TV saying, yeah, it's the Illuminati.
[00:21:15.770 --> 00:21:17.551]  Here it is.
[00:21:17.791 --> 00:21:21.734]  At least you're getting back to the point where you can start to look at fundamentals and that's good news.
[00:21:22.774 --> 00:21:23.495]  What happened?
[00:21:24.648 --> 00:21:26.470]  I think you're in a liquidation phase.
[00:21:26.590 --> 00:21:28.312]  I think Kirsten had it exactly right.
[00:21:28.352 --> 00:21:36.643]  I think there's a bunch of wrong-footed moves by Hank Paulson and the Illuminati of the country, if you will, and I think we're paying for it right now.
[00:21:39.693 --> 00:21:49.156]  We've always, for the last hundred years at least, had a very corrupt Wall Street elite that is engaged in some crime and some skimming and some manipulation, but, you know, is more boss hog-like.
[00:21:49.276 --> 00:21:54.518]  This is so virulent, this is so out in the open, they're blowing their whole game.
[00:21:55.018 --> 00:22:01.740]  Is it because the elite knows the dollar's dead and they're bringing us into a new world monetary system that they're just going for broke?
[00:22:01.800 --> 00:22:03.040]  I mean, why?
[00:22:03.120 --> 00:22:05.401]  I've never seen, and I've studied a lot of history, so have you,
[00:22:06.181 --> 00:22:07.882]  So, such open arrogance.
[00:22:07.902 --> 00:22:15.647]  I mean, that level of chutzpah or arrogance, bravado, kind of shakes me up.
[00:22:15.807 --> 00:22:23.473]  Because, I mean, if they'll steal five trillion bucks in a month right in front of you and laugh at you, what are they planning next, Max Keiser?
[00:22:26.354 --> 00:22:30.337]  Yeah, well, clearly the U.S.
[00:22:30.377 --> 00:22:33.239]  dollar is an endangered species.
[00:22:34.148 --> 00:22:34.589]  As such.
[00:22:35.149 --> 00:22:39.473]  And I think a devaluation is all but certain.
[00:22:40.153 --> 00:22:52.404]  And the question is, there'll be a global devaluation of all the major currencies, and then a revaluation upward for the price of gold.
[00:22:52.824 --> 00:22:54.846]  This is exactly what happened in the 1930s.
[00:22:56.067 --> 00:22:59.490]  And to discourage profiteering on the gold side,
[00:22:59.952 --> 00:23:11.046]  You might see my friend Eric Jansen over at itulip.com thinks that they'll impose like a 90% capital gains tax on gold ownership at that point.
[00:23:11.867 --> 00:23:16.673]  So gold, as you know, I'm a big believer in gold and I think you have to own gold as a core investment.
[00:23:17.053 --> 00:23:18.455]  I think you need it to protect yourself.
[00:23:18.803 --> 00:23:31.472]  But it's not as if the government cannot implement strategies to upset the gold-owning... Yeah, they won't do a 1933 War Powers Act gold confiscation.
[00:23:31.772 --> 00:23:36.496]  They'll just slap a 50, 60, 70, 80, 90 percent capital gains tax on it.
[00:23:36.536 --> 00:23:38.057]  And folks are like, well, then I better not do that.
[00:23:38.317 --> 00:23:41.879]  Well, that's better than just having them devalue it in the bank or have bank holidays.
[00:23:41.979 --> 00:23:43.801]  I mean, these people... Yeah, you got it.
