[00:00:00.089 --> 00:00:01.190]  We're good.
[00:03:56.030 --> 00:03:57.631]  Ron Paul has read his quotes before.
[00:03:58.671 --> 00:04:01.493]  It's in Matrix of Evil, where John Ashcroft sounded like us.
[00:04:02.794 --> 00:04:03.955]  He was a wolf in sheep's clothing.
[00:04:04.575 --> 00:04:09.598]  So this is a seven-year-old interview, and it shows how we are fair here.
[00:04:10.039 --> 00:04:16.563]  We were giving Bush the benefit of the doubt in this seven-year-old interview, so that is coming up today.
[00:04:17.783 --> 00:04:21.566]  It's okay audio quality, but this is not on the web, this is nowhere.
[00:04:23.038 --> 00:04:26.059]  We're going to air the whole 20 minutes here coming up in the second hour.
[00:04:26.360 --> 00:04:29.761]  In the meantime, web could collapse as video demand soars.
[00:04:29.801 --> 00:04:31.602]  Superfast Internet may replace World Wide Web.
[00:04:31.822 --> 00:04:34.944]  They're now introducing Internet 2 and the shutdown of the web to the general slaves.
[00:04:35.744 --> 00:04:39.746]  War crime charges for Bush being discussed on national television in the U.S.
[00:04:41.587 --> 00:04:46.329]  AP reports that the public schools are making little boys dress as girls.
[00:04:47.610 --> 00:04:49.150]  We'll be right back, ladies and gentlemen.
[00:04:49.170 --> 00:04:50.491]  It's a jam-packed transmission.
[00:04:54.079 --> 00:04:55.499]  It is a big idea.
[00:04:55.519 --> 00:04:57.620]  A New World Order.
[00:04:58.320 --> 00:05:02.781]  In the near future, Earth is dominated by a powerful world government.
[00:05:02.841 --> 00:05:06.001]  It's known as the Bilderberg Group.
[00:05:06.041 --> 00:05:08.302]  Put their objective being world domination.
[00:05:08.822 --> 00:05:11.262]  For thousands of years, their dark order grew.
[00:05:12.002 --> 00:05:19.344]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.366 --> 00:05:27.309]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:27.810 --> 00:05:31.272]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.672 --> 00:05:34.174]  The Older Party is making great progress toward a world government.
[00:05:34.254 --> 00:05:35.395]  Most people have no idea.
[00:05:35.415 --> 00:05:36.175]  They're not after money.
[00:05:36.195 --> 00:05:37.276]  They have all the money they need.
[00:05:37.476 --> 00:05:38.197]  They're after power.
[00:05:38.437 --> 00:05:39.297]  That's their aphrodisiac.
[00:05:39.618 --> 00:05:44.141]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:44.361 --> 00:05:47.863]  Or watch it online right now at PrisonPlanet.tv.
[00:05:48.343 --> 00:05:48.704]  In Game.
[00:05:49.064 --> 00:05:50.905]  Blueprint for global enslaving.
[00:05:51.125 --> 00:05:52.226]  You have been warned.
[00:05:53.567 --> 00:06:02.312]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:06:02.492 --> 00:06:07.255]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:06:07.635 --> 00:06:18.762]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:06:19.162 --> 00:06:24.704]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[00:06:24.924 --> 00:06:31.007]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:06:31.187 --> 00:06:31.847]  What about you?
[00:06:32.227 --> 00:06:36.349]  Order your KDF shower filter normally, $49 for a special price of only $39.99 with free shipping.
[00:06:38.670 --> 00:06:40.753]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[00:06:40.773 --> 00:06:40.993]  That's 1-877-886-3653.
[00:06:41.033 --> 00:06:43.276]  Or simply click on the banner at GCNLive.com to order online now.
[00:06:43.316 --> 00:06:44.277]  I'm Dr. Bill Deagle, MD.
[00:06:44.297 --> 00:06:45.699]  I'm the new Dramatical Report here on Genesis.
[00:06:57.361 --> 00:07:00.342]  Allison's Natural Antibiotic from Allomax Nutraceuticals U.S.
[00:07:00.402 --> 00:07:01.082]  is the real thing.
[00:07:01.162 --> 00:07:08.024]  This amazing molecule is a stabilized antimicrobial antipathogenic killer for fresh, never-before-available garlic.
[00:07:08.164 --> 00:07:19.068]  Allison molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills fleshy bacteria, MRSA, Acinetobacter infections that ravage our everyday health.
[00:07:19.168 --> 00:07:22.449]  Taken daily, it removes these stealth pathogens, clearing our bodies and
[00:07:22.589 --> 00:07:27.850]  Disease activators that cause chronic health issues and means a much higher level of wellness for you and your family.
[00:07:28.010 --> 00:07:40.253]  Order today for fighting disease, turning on your immune system, activating infection-fighting properties against sinus, lung, bowel, skin, Lyme disease, nail fungus, colds, flu, ringworm, gum disease, diarrhea, athlete's foot and cholesterol.
[00:07:40.433 --> 00:07:43.753]  Secure online ordering is available at NutraMedical.com or call 888-212-8871.
[00:07:43.773 --> 00:07:47.314]  That number again, 888-212-8871 for the most powerful natural antimicrobial available.
[00:08:06.132 --> 00:08:14.198]  Cyrus Jones from 1810 to 1913 made his great-grandchildren believe you could live to 103.
[00:08:14.238 --> 00:08:20.763]  103 is forever when you're just a little kid.
[00:08:22.424 --> 00:08:25.847]  So, Cyrus Jones, live forever.
[00:08:25.867 --> 00:08:28.249]  This is dedicated to Charlton Heston.
[00:08:28.289 --> 00:08:34.474]  Grave digger, when you dig my grave, would you make it shallow?
[00:08:36.573 --> 00:08:52.018]  So I can feel the rain, gravely 84 years old Mural Stonewall, 1903 to 1954 She lost both of her babies in the second great war
[00:08:58.803 --> 00:09:00.424]  He died Saturday in Beverly Hills.
[00:09:00.444 --> 00:09:10.508]  Saturday night I heard the news and went home and dug up the interview we're going to be airing in the second hour today.
[00:09:10.588 --> 00:09:13.689]  Let's let it roll out for Chuck.
[00:09:53.972 --> 00:10:00.615]  Gravy digger, when you dig my grave, can you make it shallow?
[00:10:02.540 --> 00:10:04.062]  So that I can feel the rain.
[00:10:04.162 --> 00:10:05.944]  Hello, Mikey Carson, 67 to 75.
[00:10:05.984 --> 00:10:16.214]  He rode his bike like the devil until the day he died.
[00:10:25.371 --> 00:10:27.372]  That's Willie Nelson!
[00:10:54.758 --> 00:10:56.059]  His new hit, Grave Digger.
[00:10:58.141 --> 00:11:04.226]  It's a cover off of Dave Matthews' band song.
[00:11:07.068 --> 00:11:12.993]  You know, I am making a big deal out of Charlton Huston dying.
[00:11:16.195 --> 00:11:21.600]  Because when an icon like that dies, that every living generation knows who
[00:11:22.856 --> 00:11:23.837]  Charlton Heston is.
[00:11:23.877 --> 00:11:25.057]  World War II veteran.
[00:11:25.918 --> 00:11:27.979]  Big actor since the late 1940s.
[00:11:29.680 --> 00:11:30.461]  Soylent Green.
[00:11:30.501 --> 00:11:31.462]  Planet of the Apes.
[00:11:32.682 --> 00:11:33.723]  The Ten Commandments.
[00:11:33.783 --> 00:11:34.484]  Ben Herb.
[00:11:34.504 --> 00:11:36.845]  NRA President.
[00:11:38.026 --> 00:11:39.127]  The list goes on and on.
[00:11:40.207 --> 00:11:46.451]  And the fact was, he really was a nice person who spent every major holiday, wherever he was, out feeding the homeless.
[00:11:46.511 --> 00:11:47.712]  Not making a big deal out of it.
[00:11:48.092 --> 00:11:49.533]  Not making it a PR stunt.
[00:11:49.613 --> 00:11:50.574]  Not alerting the media.
[00:11:52.051 --> 00:11:56.133]  He was somebody that gave large portions of his fortune to good charities.
[00:11:56.813 --> 00:12:02.576]  He was somebody who really did fight for the Civil Rights Movement in the early 1960s before it was something popular to do.
[00:12:05.097 --> 00:12:09.199]  And when he got boycotted for doing it, he was somebody that stood up for the Second Amendment.
[00:12:09.259 --> 00:12:11.640]  Now, has Chuck Heston been perfect?
[00:12:12.860 --> 00:12:13.961]  Is the NRA perfect?
[00:12:14.021 --> 00:12:16.062]  No, they've certainly been infiltrated from the start.
[00:12:16.082 --> 00:12:18.003]  They certainly have pushed gun control measures.
[00:12:19.243 --> 00:12:20.744]  Quote in the name of being reasonable,
[00:12:21.880 --> 00:12:33.362]  But I believe, from all the evidence, Charlton Heston meant everything he was doing and truly did help build up the Second Amendment culture and reawaken it in this nation.
[00:12:33.382 --> 00:12:36.483]  There's no doubt that he's been very, very good for the Second Amendment.
[00:12:36.783 --> 00:12:41.783]  And then you watch the video in Bowling for Columbine of Michael Moore trying to set him up.
[00:12:41.803 --> 00:12:48.505]  I don't know if we're going to play that today, but all this week we're going to play multiple clips daily remembering Charlton Heston throughout the week.
[00:12:49.085 --> 00:12:50.645]  I'm going to do it right through to Friday.
[00:12:51.772 --> 00:12:59.398]  I'm going to spend more time on it today, and then I'll only spend 10-15 minutes each show throughout the rest of the week looking at this versatile individual.
[00:12:59.458 --> 00:13:16.051]  But when an icon dies, it reminds us of how short life is, how transient it is, how precious it is, and how blessed we are to be conscious, and that God gave us consciousness, and that we are alive, living on this plane of existence here in the third dimension.
[00:13:18.353 --> 00:13:18.673]  It is...
[00:13:20.481 --> 00:13:22.102]  Unspeakably magical.
[00:13:23.123 --> 00:13:25.204]  Unspeakably wonderful.
[00:13:26.485 --> 00:13:38.672]  The life we live, being children, learning the discovery growing up, being young men and women, discovering love and passion and the adversities.
[00:13:38.692 --> 00:13:40.213]  When I was young, I remember adversities.
[00:13:41.246 --> 00:14:09.814]  I mean, nothing particularly bad, but fistfights and bullies beating me up and things, and I look back on them, those are things that added character to me, and the tough jobs I had, and the mean bosses I had, and all the things I've gone through only made me stronger, and have only added to the bouquet that this arrangement that is my personal life, and my personal journey, and then as I live on, through the species, through my children, and through other people's children, and through humanity.
[00:14:12.133 --> 00:14:24.760]  That's why it hurts my feelings to see things like the La Reconquistas, and Absolute Vodka, the Swedish vodka company, the dominant vodka company in the world, and the number one vodka company, biggest sellers.
[00:14:24.780 --> 00:14:34.305]  You know, they did their market research, they told the LA Times that, so they ran newspaper, magazine, ads all over Mexico, saying the Southwest belongs to Mexico.
[00:14:36.206 --> 00:14:37.367]  I have to respond to that.
[00:14:37.407 --> 00:14:38.747]  I have to fight back against that.
[00:14:38.787 --> 00:14:41.529]  I have to talk about how they're a group of people
[00:14:42.153 --> 00:14:47.815]  That have been brainwashed and who have been taught and who have been told that this country belongs to them and they're here.
[00:14:47.835 --> 00:14:52.957]  And it hurts me because I love them.
[00:14:54.718 --> 00:15:08.543]  How could you look at a black child, a Hispanic child, a white child, an Asian child, an Inuit child, an Aborigine in some place like Australia,
[00:15:11.016 --> 00:15:14.479]  And not want that child to grow up straight and strong and have opportunities.
[00:15:17.481 --> 00:15:22.145]  It's only when you look at the adults and you think, does that black person hate me because I'm white?
[00:15:22.245 --> 00:15:24.727]  Or does this Mexican hate me because I'm white?
[00:15:24.968 --> 00:15:25.988]  And they're thinking the same thing.
[00:15:26.028 --> 00:15:28.571]  Does this white guy hate me because I'm black?
[00:15:29.051 --> 00:15:31.433]  And so even if you want to be up above it all,
[00:15:36.730 --> 00:15:38.411]  You still get sucked into it.
[00:15:38.632 --> 00:15:42.935]  And the establishment, the globalists, know that, and they play us off against each other.
[00:15:44.856 --> 00:15:45.697]  And that's what's happening.
[00:15:47.458 --> 00:15:49.140]  We have to remember who the real enemy is.
[00:15:49.200 --> 00:15:49.960]  It's the New World Order.
[00:15:50.000 --> 00:15:51.001]  It's the big private banks.
[00:15:51.041 --> 00:15:52.502]  They're the ones orchestrating all this.
[00:15:52.703 --> 00:15:59.208]  They're the ones poisoning our water, setting up Planned Parenthood to euthanize and sterilize and kill our babies.
[00:16:01.469 --> 00:16:02.110]  They're the enemy.
[00:16:02.711 --> 00:16:05.474]  And whatever they're doing is then our enemy.
[00:16:05.574 --> 00:16:14.902]  So, the globalists are supporting open borders and La Reconquista, and they've been paying for 50 years for the textbooks and comic books in Mexico, saying the U.S.
[00:16:14.922 --> 00:16:15.903]  belongs to Mexico.
[00:16:16.283 --> 00:16:18.725]  Our universities and public schools have been pushing it.
[00:16:20.067 --> 00:16:24.110]  And so, right there, you know that it is the enemy of liberty and freedom.
[00:16:26.372 --> 00:16:26.973]  The man
[00:16:28.340 --> 00:16:34.526]  The scientific masterminds, the overlords, the architects, are for this breaking down the borders.
[00:16:35.568 --> 00:16:40.533]  They are for the La Reconquista, because it's not going to empower your people, your Chicano Nation.
[00:16:40.813 --> 00:16:42.174]  It is not going to give you any future.
[00:16:42.395 --> 00:16:47.119]  It is going to make you peons, just like you are in Mexico, and everybody else is going to be peons, too.
[00:16:50.863 --> 00:16:51.564]  It's real simple.
[00:16:52.583 --> 00:16:55.084]  I don't have to sit here and think about where my allegiances lie.
[00:16:55.104 --> 00:16:58.786]  I don't have to sit here and think about will this offend this group, will it anger that group.
[00:17:00.067 --> 00:17:01.768]  This show, this broadcast is real easy.
[00:17:03.109 --> 00:17:04.710]  I do what my heart says is right.
[00:17:04.950 --> 00:17:08.272]  I go with what the evidence shows and I always defend the Republic.
[00:17:08.892 --> 00:17:13.414]  I always defend this country and the Bill of Rights and Constitution because they're beautiful documents.
[00:17:15.595 --> 00:17:21.959]  And so if something is against that, whether it's the modern NRA or whether it's Barack Obama, Hillary Clinton or John McCain,
[00:17:23.214 --> 00:17:31.277]  The SPP, George Bush, Mecha, La Raza, the Ku Klux Klan, if it's against my republic, I am against it!
[00:17:34.818 --> 00:17:36.838]  Duty is mine, consequence belongs to God.
[00:17:37.218 --> 00:17:38.459]  I don't worry about it.
[00:17:38.779 --> 00:17:41.019]  I don't spend my time thinking, is this offensive?
[00:17:45.141 --> 00:17:48.322]  I try to come to you from the heart.
[00:17:49.162 --> 00:17:52.263]  I intellectually analyze the facts, come to my decision,
[00:17:53.371 --> 00:17:55.512]  My analysis, but it all is from the heart.
[00:17:58.634 --> 00:18:03.337]  If you're Hispanic out there, I know people have done racist things to you.
[00:18:03.397 --> 00:18:04.798]  I know you've been called names before.
[00:18:05.158 --> 00:18:05.618]  I have too.
[00:18:07.259 --> 00:18:08.460]  We have to be bigger than that.
[00:18:09.440 --> 00:18:11.021]  Believe me, I flop the handle all the time.
[00:18:11.101 --> 00:18:12.042]  I mean, I'm sick of it.
[00:18:12.142 --> 00:18:13.623]  I understand how you feel.
[00:18:14.143 --> 00:18:15.464]  And it's good to go get into race.
[00:18:15.524 --> 00:18:16.024]  It's good.
[00:18:16.064 --> 00:18:16.644]  It feels good.
[00:18:16.664 --> 00:18:23.028]  It's primitive to go ahead and serve that tribalism and to go ahead and just hate all the gringos.
[00:18:24.577 --> 00:18:36.540]  But you need to understand that your leaders, why do you think the University of Texas and other universities pay to have the head of Chicano Studies say the plan of San Diego needs to be implemented against whites?
[00:18:36.900 --> 00:18:42.021]  Juan Gutierrez, I played that yesterday on the Sunday Show where he said, implement the plan of San Diego on whites.
[00:18:43.521 --> 00:18:44.962]  Kill all whites 16 and older.
[00:18:48.262 --> 00:18:51.003]  Is Mr. Gutierrez telling you don't drink fluoride water?
[00:18:52.322 --> 00:18:54.403]  Is Mr. Gutierrez telling you don't take the vaccines?
[00:18:54.863 --> 00:18:58.304]  Is Mr. Gutierrez telling you don't send your women into these abortuaries?
[00:18:59.244 --> 00:18:59.484]  No!
[00:18:59.785 --> 00:19:00.785]  In fact, he's a big liberal.
[00:19:00.825 --> 00:19:01.605]  He's for abortion.
[00:19:01.945 --> 00:19:02.646]  I've looked into it.
[00:19:06.367 --> 00:19:08.087]  So he's not protecting your Raza.
[00:19:09.268 --> 00:19:11.328]  Or the man wouldn't be bankrolling him.
[00:19:12.149 --> 00:19:15.190]  Have you seen who funds La Raza and these other groups?
[00:19:15.390 --> 00:19:15.770]  LULAC?
[00:19:16.761 --> 00:19:18.603]  Every Fortune 500 you can imagine.
[00:19:19.043 --> 00:19:21.365]  The list is hundreds and hundreds of Fortune 500 companies.
[00:19:21.645 --> 00:19:22.886]  Almost every one of them is up there.
[00:19:28.091 --> 00:19:30.393]  Now, why did I defend Barack Obama's preacher?
[00:19:31.674 --> 00:19:34.677]  Because he talks about it and says, don't take the vaccines, they're giving you AIDS.
[00:19:36.578 --> 00:19:44.465]  That guy may be a little down on Whitey, but at least he's actually warning his people about something real, so I have to respect it.
[00:19:46.169 --> 00:19:47.630]  And it is Whitey that did that to him.
[00:19:48.150 --> 00:19:49.811]  But not the Whiteys I'm with!
[00:19:49.831 --> 00:19:51.531]  We'll be right back.
[00:19:54.953 --> 00:19:56.994]  Do you know the truth about cancer treatments?
[00:19:57.634 --> 00:20:06.538]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:07.098 --> 00:20:14.201]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:14.921 --> 00:20:20.403]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:20:20.903 --> 00:20:31.687]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:20:32.567 --> 00:20:33.067]  It is a big idea.
[00:20:33.107 --> 00:20:33.947]  A new world order.
[00:20:33.967 --> 00:20:35.208]  In the near future.
[00:21:00.228 --> 00:21:02.850]  Earth is dominated by a powerful world government.
[00:21:03.311 --> 00:21:05.452]  It's known as the Bilderberg Group.
[00:21:06.133 --> 00:21:08.295]  Could their objective be world domination?
[00:21:08.915 --> 00:21:11.377]  For thousands of years, their dark order grew.
[00:21:12.118 --> 00:21:19.424]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:22.455 --> 00:21:27.418]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:27.899 --> 00:21:31.361]  You will learn the secret that drives the entire New World Order agenda.
[00:21:31.761 --> 00:21:34.243]  Bill Burgess makes great progress toward a world government.
[00:21:34.343 --> 00:21:35.484]  Most people have no idea.
[00:21:35.504 --> 00:21:36.264]  They're not after money.
[00:21:36.284 --> 00:21:37.365]  They have all the money they need.
[00:21:37.585 --> 00:21:38.286]  They're after power.
[00:21:38.546 --> 00:21:39.366]  That's their aphrodisiac.
[00:21:39.687 --> 00:21:44.230]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:44.450 --> 00:21:47.932]  Or watch it online right now at PrisonPlanet.tv.
[00:21:48.412 --> 00:21:48.793]  Endgame.
[00:21:49.173 --> 00:21:50.794]  Blueprint for global enslavement.
[00:21:51.234 --> 00:21:52.295]  You have been warned.
[00:21:52.415 --> 00:21:52.495]  Yeah.
[00:21:53.296 --> 00:21:53.556]  Fact.
[00:21:53.756 --> 00:21:59.659]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:21:59.779 --> 00:22:04.042]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:22:04.142 --> 00:22:11.627]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:22:11.847 --> 00:22:12.507]  The solution.
[00:22:12.627 --> 00:22:16.690]  Detoxification integrated with Electro Chi Premier Energy Foot Spa.
[00:22:16.850 --> 00:22:18.851]  The Electro Chi Premier Energy Foot Spa.
[00:22:18.991 --> 00:22:19.351]  I'm good.
[00:22:38.103 --> 00:22:39.144]  We're good to go.
[00:22:53.789 --> 00:22:55.471]  Our beloved Republic is on her knees.
[00:22:55.791 --> 00:22:59.215]  The forces of globalism are destroying national sovereignty worldwide.
[00:22:59.415 --> 00:23:01.277]  But in Liberty's darkest hour, there is hope.
[00:23:01.297 --> 00:23:04.641]  For the first time in modern history, the people are beginning to wake up.
[00:23:04.941 --> 00:23:10.467]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:23:10.727 --> 00:23:14.672]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:23:14.992 --> 00:23:19.934]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:23:20.214 --> 00:23:22.994]  PrisonPlanet.tv is a vault of forbidden information.
[00:23:23.295 --> 00:23:30.177]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:23:30.557 --> 00:23:36.399]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:23:36.559 --> 00:23:41.120]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:23:41.440 --> 00:23:43.945]  The Info War is waiting for you to set it free.
[00:23:44.286 --> 00:23:45.989]  Join PrisonPlanet.tv.
[00:23:46.370 --> 00:23:48.133]  Burn the info bombs to disk.
[00:23:48.354 --> 00:23:50.177]  Put them on the file sharing networks.
[00:23:50.518 --> 00:23:51.941]  Bring down the New World Order.
[00:23:52.322 --> 00:23:53.063]  PrisonPlanet.tv
[00:24:00.299 --> 00:24:03.122]  Suppose ye that I am come to give peace on earth?
[00:24:04.082 --> 00:24:06.765]  I tell you no, but rather division.
[00:24:07.526 --> 00:24:20.417]  There shall be houses divided, son against father and father against son, and ye shall hear of wars and rumors of wars, for all these things must come to pass, but the end is not yet.
[00:24:21.218 --> 00:24:29.821]  For nation shall rise against nation, and kingdom against kingdom, and there shall be famines, and pestilences, and earthquakes.
[00:24:30.681 --> 00:24:33.522]  All these are the beginning of sorrows.
[00:24:35.463 --> 00:24:42.725]  Oh, Jerusalem, Jerusalem, ye kill the prophets, and stone them which are sent to thee.
[00:24:43.825 --> 00:24:47.887]  I would have gathered thy children together, and ye would not.
[00:24:48.939 --> 00:24:52.842]  Behold, your house shall be left desolate.
[00:24:53.783 --> 00:25:01.549]  And you shall not see me until the time comes when you shall say, Blessed is he that cometh in the name of the Lord.
[00:25:02.490 --> 00:25:03.511]  Take ye heed.
[00:25:04.371 --> 00:25:07.314]  Behold, I have foretold you all things.
[00:25:08.114 --> 00:25:14.920]  And in those days after that tribulation, the sun shall be darkened and the moon shall not give her light.
[00:25:15.440 --> 00:25:17.041]  The stars of heaven shall fall.
[00:25:18.171 --> 00:25:24.693]  Then shall we see the Son of Man coming in clouds with glory, and a great sound of a trumpet.
[00:25:25.473 --> 00:25:33.595]  And then shall he send his angels, and shall gather all nations from the four winds, from the uttermost parts of the earth.
[00:25:34.595 --> 00:25:36.275]  And all shall be before him.
[00:25:36.896 --> 00:25:47.038]  Then shall the Son say, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world.
[00:25:48.035 --> 00:25:50.737]  For I was hungry, and ye gave me meat.
[00:25:51.497 --> 00:25:53.799]  I was thirsty, and ye gave me drink.
[00:25:54.480 --> 00:25:59.403]  I was a stranger, and ye took me in naked, and ye clothed me.
[00:26:00.324 --> 00:26:02.565]  I was sick, and ye visited me.
[00:26:02.585 --> 00:26:05.107]  I was in prison, and ye came to me.
[00:26:06.028 --> 00:26:10.351]  Then shall the righteous say, Lord, we did not these things unto thee.
[00:26:10.371 --> 00:26:16.495]  And the Son shall answer them, inasmuch as ye have done this unto one of the least of my brethren.
[00:26:17.248 --> 00:26:18.909]  Ye have done this to me.
[00:26:20.030 --> 00:26:21.190]  Take ye heed.
[00:26:22.271 --> 00:26:31.176]  I say, when all these things be done, heaven and earth shall pass away, but my words shall not pass away.
[00:26:32.036 --> 00:26:37.199]  But of that day and that hour knowest no man, no, not the angels in heaven.
[00:26:38.058 --> 00:26:44.723]  Therefore take ye heed, watch and pray, for ye know not when the time is.
[00:26:45.404 --> 00:26:55.992]  The Son of Man is as a man taking a far journey, who left his house and gave to every man his work and his watch.
[00:26:56.813 --> 00:27:06.201]  Watch ye therefore, for ye know not when the Master cometh, at even or at midnight, at cockcrow or in the morning.
[00:27:06.994 --> 00:27:10.315]  What I say unto you, I say unto all.
[00:27:11.835 --> 00:27:12.015]  Watch!
[00:27:14.116 --> 00:27:15.396]  Yeah, there's a little glitch in there.
[00:27:15.876 --> 00:27:19.597]  That's from the web, a little clip from that Bible series he did.
