[00:00:00.049 --> 00:00:00.169]  It is...
[00:13:50.268 --> 00:13:53.691]  And by the way, I've got breaking news to announce on your show about this issue here.
[00:13:54.403 --> 00:13:59.865]  But it's a betrayal, because melamine is an industrial poison.
[00:13:59.925 --> 00:14:02.506]  It mimics protein in a chemical test.
[00:14:02.986 --> 00:14:12.949]  So they use it to stack their milk proteins in China with this cheap industrial chemical to make it look like milk protein, even though it's not.
[00:14:13.309 --> 00:14:15.950]  They cut it with this agent, you know, because it's cheaper to do so.
[00:14:16.610 --> 00:14:21.672]  So then it winds up in all kinds of milk products in the United States now.
[00:14:22.463 --> 00:14:24.685]  And this is what the AP took a look at.
[00:14:24.725 --> 00:14:30.349]  You see, the FDA took infant formula products off the shelf and tested them for melamine.
[00:14:31.450 --> 00:14:32.711]  But it hid the result.
[00:14:32.791 --> 00:14:35.153]  It refused to release them to the public.
[00:14:35.193 --> 00:14:36.374]  I mean, what kind of FDA is that?
[00:14:36.974 --> 00:14:45.421]  The AP had to file a Freedom of Information Act request with the FDA just to get them to release their results.
[00:14:46.121 --> 00:14:48.503]  When the results were made public, it turned out
[00:14:49.028 --> 00:15:00.131]  That up to 90% of the infant formula in the United States was contaminated with trace levels of melamine that could not be explained by normal manufacturing processes or plastic packaging.
[00:15:00.171 --> 00:15:01.412]  They were way above that level.
[00:15:02.072 --> 00:15:13.235]  That normal level might be .15 parts per million, but some of these products were testing as high as, as point, I'm sorry, were testing as high as 247 parts per billion instead of 15 parts per billion.
[00:15:16.300 --> 00:15:19.803]  So it was like 16 times higher than what could be explained by the equipment.
[00:15:20.764 --> 00:15:21.965]  Well, pretty big deal, right?
[00:15:22.325 --> 00:15:27.650]  So the FDA immediately jumps out and says, let's declare it to be safe.
[00:15:28.491 --> 00:15:41.082]  So they declared one part per million to be a safe level of melamine, even though their own website said in October that there was essentially no safe level of melamine, and they've never done any tests.
[00:15:42.123 --> 00:15:45.985]  And they've given them a huge, huge ceiling now, one part per million.
[00:15:46.005 --> 00:15:47.446]  That is just ultra-massive.
[00:15:47.746 --> 00:15:50.127]  This reminds me of the 40s at the end of World War II.
[00:15:50.488 --> 00:15:56.371]  Fluoride in Tennessee at the nuke plants and at the aluminum plants was leaking in, killing streams, injuring people.
[00:15:57.071 --> 00:15:59.793]  And so they just said, we'll just say it's nutritious and put it in the water.
[00:16:00.253 --> 00:16:10.620]  Maybe the next thing they'll do is just say, like they want to put statins in the water supply, CNBC reported, you know, to make everybody take them because they're so good for you, even though it attacks your liver.
[00:16:11.321 --> 00:16:13.903]  Maybe they'll just say, hey, we're going to make you eat melamine.
[00:16:13.943 --> 00:16:14.543]  It's good for you.
[00:16:14.563 --> 00:16:16.184]  Well, it's like fluoride.
[00:16:16.364 --> 00:16:26.251]  You know, fluoride being a byproduct of the fertilizer industry, or you can get synthetic fluoride by scraping off the smokestack scrubbers from coal plants.
[00:16:27.043 --> 00:16:32.748]  And, you know, this fluoride would have to be disposed of as a toxic chemical if it wasn't dripped into the municipal water supply.
[00:16:32.948 --> 00:16:42.616]  So what is the... I mean, the FDA is not worried about being totally discredited after 50 years of saying this stuff's deadly poison and attacks the organs and really... And I've seen the studies.
[00:16:42.896 --> 00:16:48.021]  Babies, what, are five times more receptive to this, so it really hurts them.
[00:16:48.761 --> 00:16:50.743]  Same thing with the chemicals in the plastics.
[00:16:51.143 --> 00:16:53.946]  And now they're saying those are okay, but everybody else is banning it.
[00:16:55.455 --> 00:16:56.375]  Let me be really blunt.
[00:16:56.716 --> 00:17:00.918]  The FDA, in my opinion, Alex, is a criminal organization.
[00:17:01.598 --> 00:17:03.859]  It is running a dangerous racket.
[00:17:03.919 --> 00:17:06.700]  It's more dangerous than any terrorist group in the world.
[00:17:07.040 --> 00:17:15.264]  And its decisions have killed, indirectly and directly, more Americans than any war in the history of our nation, including the Vietnam War.
[00:17:15.484 --> 00:17:16.605]  There's no comparison.
[00:17:17.185 --> 00:17:21.367]  The FDA is a deadly, dangerous, corrupt, out-of-control organization.
[00:17:21.874 --> 00:17:23.294]  We need to be arresting those people.
[00:17:23.334 --> 00:17:25.835]  We don't need to have task force investigations.
[00:17:26.295 --> 00:17:31.817]  We need to march in there and arrest those top decision makers and throw them in prison.
[00:17:32.017 --> 00:17:36.938]  Let's go back to 2002 ABC News.
[00:17:37.018 --> 00:17:40.219]  We had Congressman Dan Burton on and others before this even came out.
[00:17:41.099 --> 00:18:01.556]  You know, in the news, when he went and seized all their documents, and then he got shut down by the White House afterwards, and there was the minutes of the heads of the Food and Drug Administration, another group, saying, millions have been brain damaged by the mercury, I'm not going to give it to my grandchildren, is the quote, but we've got to keep this secret from the public, and then they kept it in there.
[00:18:01.816 --> 00:18:02.857]  I mean, this is cold-blooded.
[00:18:03.843 --> 00:18:04.805]  It absolutely is.
[00:18:04.825 --> 00:18:08.011]  I mean, their own scientists are revolting against them.
[00:18:08.091 --> 00:18:12.639]  I want to be very clear to distinguish between the FDA leadership versus the scientists.
[00:18:12.959 --> 00:18:14.823]  The leadership, they're politicians.
[00:18:15.399 --> 00:18:18.902]  They're selected and appointed to those positions, and they're the corrupt ones.
[00:18:19.163 --> 00:18:20.824]  The scientists are the honest people.
[00:18:21.024 --> 00:18:22.446]  What happened earlier last year?
[00:18:22.726 --> 00:18:24.507]  Was it, what, 90-something percent?
[00:18:24.527 --> 00:18:32.555]  It was thousands of EPA scientists wrote a letter and a petition with all their findings saying, take fluoride out of water.
[00:18:32.915 --> 00:18:33.676]  So exactly.
[00:18:33.696 --> 00:18:34.637]  It's incredible.
[00:18:35.590 --> 00:18:37.292]  The bureaucrats just ignore the science.
[00:18:37.372 --> 00:18:38.573]  They make this stuff up.
[00:18:38.593 --> 00:18:40.054]  They just pull it out of a hat.
[00:18:40.534 --> 00:18:45.318]  I mean, literally, they just make up, oh, one part per million is now suddenly safe with no new science.
[00:18:45.598 --> 00:18:46.979]  But here's the breaking news, Alex.
[00:18:47.580 --> 00:18:54.025]  We went out and started purchasing various products to send them to a lab to have them tested for melamine.
[00:18:54.485 --> 00:18:56.947]  So we called about 10 different labs.
[00:18:57.628 --> 00:18:58.628]  Guess what we found out?
[00:18:59.389 --> 00:19:01.791]  After the FDA's decision of one part per million,
[00:19:02.479 --> 00:19:08.084]  Almost every lab we called refused to test for melamine under one part per million.
[00:19:08.184 --> 00:19:10.065]  So this is massive corruption?
[00:19:11.166 --> 00:19:11.687]  Absolutely.
[00:19:12.067 --> 00:19:14.049]  The FDA is even controlling the labs.
[00:19:14.109 --> 00:19:14.589]  And why?
[00:19:14.649 --> 00:19:18.933]  Because most lab testing is done by the government and they can withhold those contracts.
[00:19:19.193 --> 00:19:20.374]  That is called racketeering.
[00:19:21.457 --> 00:19:22.558]  It is, Racketeer, absolutely.
[00:19:22.878 --> 00:19:28.864]  We only found one lab that would take our money and test the products for levels under one part per million.
[00:19:28.984 --> 00:19:29.324]  One lab.
[00:19:29.584 --> 00:19:30.986]  And we are testing products right now.
[00:19:31.366 --> 00:19:33.228]  God, no wonder you're being attacked.
[00:19:33.248 --> 00:19:34.609]  You know you're under surveillance, Mike.
[00:19:34.929 --> 00:19:35.429]  Oh, of course.
[00:19:35.710 --> 00:19:36.090]  Absolutely.
[00:19:36.470 --> 00:19:39.713]  They do not want us to publicize the results that we're about to discover.
[00:19:40.054 --> 00:19:41.515]  Because it's going to be big brand names.
[00:19:42.458 --> 00:19:44.159]  You know, it's going to be more than just infant formula.
[00:19:44.799 --> 00:19:45.539]  Well, absolutely.
[00:19:45.559 --> 00:19:52.022]  Of 90% of the infant formula, FDA's own test has it, and they covered it up.
[00:19:53.062 --> 00:19:55.203]  Well, I mean, I've been looking at the recall list.
[00:19:55.823 --> 00:19:58.084]  There's a new one every few months, but they never add the old list.
[00:19:58.304 --> 00:19:59.645]  It's basically everything already.
[00:19:59.665 --> 00:20:00.825]  I mean, look at China.
[00:20:00.845 --> 00:20:01.865]  They're dropping dead everywhere.
[00:20:02.386 --> 00:20:04.166]  And here, they'll drop dead, and that's just the way it is.
[00:20:04.206 --> 00:20:05.047]  Oh, it's good for you!
[00:20:05.107 --> 00:20:05.647]  Die!
[00:20:05.727 --> 00:20:06.287]  Die!
[00:20:06.567 --> 00:20:07.148]  It's good!
[00:20:07.208 --> 00:20:08.168]  Dying is good!
[00:20:08.188 --> 00:20:10.769]  I'm going to skip this break.
[00:20:12.645 --> 00:20:19.069]  Mike, I want to be congruent, but I don't want to waste this time we have on the internet and PrisonPlanet.tv, a sizable part of our audience.
[00:20:19.530 --> 00:20:24.793]  So let's shift gears into another subject and then come back with the melamine and then also the chemicals and the plastics.
[00:20:25.053 --> 00:20:34.739]  I know they focus in on one, but I've seen the studies and it's a lot of different chemicals and how they just so happens to be the one that sterilizes you and affects fertility in men and women.
[00:20:35.940 --> 00:20:36.521]  I was talking to Dr.
[00:20:37.842 --> 00:20:41.284]  Labo yesterday, who I know you work with, and she's saying the same thing.
[00:20:41.304 --> 00:20:42.985]  There's no doubt this is eugenics.
[00:20:43.365 --> 00:20:46.167]  Can you speak to how this is being directed?
[00:20:47.347 --> 00:20:50.189]  Is that your belief that it is certainly coordinated and on purpose?
[00:20:51.470 --> 00:21:03.457]  Well, one of the research areas I'm working on right now, Alex, is looking at what chemicals and pharmaceuticals cause infertility or reduce sperm function or egg viability.
[00:21:04.277 --> 00:21:07.439]  And it's a fascinating area because what I'm seeing is a real
[00:21:07.947 --> 00:21:08.528]  We're good to go.
[00:21:25.547 --> 00:21:27.488]  of western civilization.
[00:21:27.588 --> 00:21:36.934]  And we're not just saying, we're not just saying to the viewers out there and the listeners at PrisonPlanet.tv, we're not just saying that we know from studies these chemicals do this.
[00:21:37.294 --> 00:21:37.874]  It's happening.
[00:21:37.914 --> 00:21:47.500]  I mean, women, upwards of 80% infertility or semi-infertile, sperm counts down by close to 80% in every industrialized nation.
[00:21:48.359 --> 00:21:50.779]  But then you go out and find the Amish or people that don't.
[00:21:51.100 --> 00:21:52.680]  They aren't getting the autism.
[00:21:52.900 --> 00:21:54.240]  Their sperm counts are normal.
[00:21:54.960 --> 00:21:55.340]  Go ahead.
[00:21:56.301 --> 00:21:58.881]  Well, for example, SSRI drugs, antidepressants.
[00:21:59.321 --> 00:22:01.301]  Research just came out about 10 days ago.
[00:22:01.321 --> 00:22:02.202]  We did a story on this.
[00:22:02.902 --> 00:22:06.302]  It greatly reduces sperm viability and motility.
[00:22:07.363 --> 00:22:08.323]  It's just one drug.
[00:22:08.763 --> 00:22:11.263]  But as long as you're on the drug, you can't reproduce.
[00:22:11.303 --> 00:22:12.844]  And guess who they tend to put on SSRIs?
[00:22:15.123 --> 00:22:15.463]  Children?
[00:22:15.583 --> 00:22:16.044]  Boys?
[00:22:16.144 --> 00:22:16.584]  Young boys.
[00:22:16.744 --> 00:22:18.485]  Teenage and 20 year old boys.
[00:22:19.006 --> 00:22:29.472]  And we have the Carnegie Endowment documents from 70 years ago saying target the males, dumb them down, use diet injections and injunctions to neutralize them.
