[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[00:01:55.569 --> 00:01:58.591]  And so we can do a lot more if you'll support us with a PrisonPlanet.tv membership.
[00:01:58.611 --> 00:02:04.815]  But listen, for Christmas, for the holidays, just go get a PrisonPlanet.tv membership.
[00:02:04.875 --> 00:02:06.516]  Create a passcode and username.
[00:02:06.736 --> 00:02:07.957]  Takes about a minute to sign up.
[00:02:08.778 --> 00:02:10.519]  And then give somebody a year membership.
[00:02:10.679 --> 00:02:12.060]  Five months free right now, by the way.
[00:02:13.161 --> 00:02:14.341]  Or give them a monthly membership.
[00:02:14.441 --> 00:02:16.183]  And then just keep the code for yourself.
[00:02:16.363 --> 00:02:17.363]  I don't care if you share it.
[00:02:17.984 --> 00:02:20.966]  We've got the IP address thing turned up to about five IP addresses.
[00:02:21.716 --> 00:02:23.897]  I may even turn it up higher so you can share your passcode.
[00:02:24.997 --> 00:02:29.518]  In the old days, we used to have basic servers and I didn't want to slow down for members, but now we're not.
[00:02:29.918 --> 00:02:34.840]  I mean, I'd just pay for it, but it's always fast, always high quality.
[00:02:35.980 --> 00:02:37.941]  So, I don't care if you share it with some folks.
[00:02:38.841 --> 00:02:47.363]  I mean, obviously, if you publish it somewhere and a hundred people use it, it won't work anymore because it'll block after five IPs, but I think it'll turn up to like ten IPs.
[00:02:47.963 --> 00:02:49.984]  And so, for Christmas, I want you to share the truth.
[00:02:50.897 --> 00:02:53.178]  In high quality, the way these films were meant to be seen.
[00:02:53.979 --> 00:02:55.540]  Again, at PrisonPlanet.tv.
[00:02:56.120 --> 00:02:57.701]  Back to the Great Global Warming Swindle.
[00:03:01.683 --> 00:03:09.267]  It's important that people know that climate enabled a quite different lifestyle in the medieval period.
[00:03:10.207 --> 00:03:15.090]  We have this view today that warming is going to have apocalyptic outcomes.
[00:03:16.113 --> 00:03:21.540]  In fact, wherever you describe this warbeard, it appears to be associated with riches.
[00:03:23.802 --> 00:03:27.186]  In Europe, this was the great age of the cathedral builders.
[00:03:27.206 --> 00:03:32.052]  A time when, according to Chaucer, vineyards flourished even in the north of England.
[00:03:32.652 --> 00:03:41.384]  All over the city of London, there are little memories of the vineyards that grew in the medieval Warmpire.
[00:03:41.664 --> 00:03:43.827]  So this was a wonderfully rich time.
[00:03:44.128 --> 00:03:47.412]  And this little church, in a sense, symbolizes it.
[00:03:47.732 --> 00:03:49.495]  Because it comes from a period of great wealth.
[00:03:50.859 --> 00:04:07.652]  Going back in time further still, before the medieval warm period, we find more warm spells, including a very prolonged period during the Bronze Age known to geologists as the Holocene Maximum, when temperatures were significantly higher than they are now for more than three millennia.
[00:04:08.633 --> 00:04:15.295]  If we go back 8,000 years in the Holocene period, our current interglacial, it was much warmer than it is today.
[00:04:15.315 --> 00:04:18.635]  Now, the polar bears obviously survived that period.
[00:04:18.655 --> 00:04:19.455]  They're with us today.
[00:04:19.475 --> 00:04:27.837]  They're very adaptable, and these warm periods in the past, what we call hypsothermals, posed no problem for them.
[00:04:29.318 --> 00:04:32.818]  Climate variation in the past is clearly natural.
[00:04:33.358 --> 00:04:35.219]  So why do we think it's any different today?
[00:04:38.046 --> 00:04:42.068]  In the current alarm about global warming, the culprit is industrial society.
[00:04:43.249 --> 00:04:50.572]  Thanks to modern industry, luxuries once enjoyed exclusively by the rich are now available in abundance to ordinary people.
[00:04:50.592 --> 00:04:53.333]  Novel technologies have made life easier and richer.
[00:04:53.574 --> 00:04:58.336]  Modern transport and communications have made the world seem less foreign and distant.
[00:04:59.056 --> 00:05:01.658]  Industrial progress has changed our lives.
[00:05:02.158 --> 00:05:04.199]  But has it also changed the climate?
[00:05:05.792 --> 00:05:11.398]  According to the theory of man-made global warming, industrial growth should cause the temperature to rise.
[00:05:11.418 --> 00:05:18.726]  All right, ladies and gentlemen, we'll be back with Alan Watt from Canada, and your phone calls at 800-259-9231.
[00:05:19.126 --> 00:05:23.571]  I'll go over the day's important news, the economy, his outlook on the future, and a lot more.
[00:05:23.591 --> 00:05:26.153]  The always intriguing Alan Watt, straight ahead.
[00:05:26.454 --> 00:05:27.214]  I'm Alex Jones.
[00:05:31.104 --> 00:05:33.744]  We have a new president coming into office in January.
[00:05:34.125 --> 00:05:36.385]  His number one word of use is change.
[00:05:36.725 --> 00:05:40.026]  What if the change was not the change America expected?
[00:05:40.186 --> 00:05:45.187]  What if all natural products were handed over to the pharmaceutical companies to be eradicated?
[00:05:45.367 --> 00:05:49.707]  What if the only remedy for sickness and disease was to take drugs?
[00:05:49.947 --> 00:05:51.108]  This hasn't happened yet.
[00:05:51.428 --> 00:05:52.868]  I repeat, not yet.
[00:05:53.128 --> 00:05:56.849]  Prepare and defend your body with GetTheTea.com.
[00:05:56.989 --> 00:05:58.769]  That's GetTheTea.com.
[00:05:59.509 --> 00:06:09.674]  In an ever-changing world where toxins, chemicals, fluoride infiltrate every level of your system every day, take charge and get the T. Online, that's GetTheT.com.
[00:06:09.734 --> 00:06:10.575]  GetTheT.com.
[00:06:10.795 --> 00:06:11.675]  Or call us, 928-308-0408.
[00:06:11.955 --> 00:06:12.375]  Order now, 928-308-0408.
[00:06:12.415 --> 00:06:13.916]  Don't wait until it's too late.
[00:06:13.956 --> 00:06:14.637]  Get the T.
[00:06:29.222 --> 00:06:34.644]  On September 11th, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[00:06:34.944 --> 00:06:36.244]  And we knew what to do.
[00:06:36.264 --> 00:06:38.065]  Or at least we thought we did.
[00:06:38.265 --> 00:06:44.607]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:06:45.285 --> 00:06:53.873]  Whitman, EPA Director on the 18th made a statement that the air was safe to breathe.
[00:06:54.213 --> 00:07:01.019]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:07:01.299 --> 00:07:04.402]  He had his hand over the radio while he was getting a countdown.
[00:07:04.442 --> 00:07:10.106]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom.
[00:07:10.167 --> 00:07:12.829]  This is an emergency transmission worldwide.
[00:07:13.309 --> 00:07:19.174]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:07:19.234 --> 00:07:21.876]  Or order the DVD at InfoWars.com.
[00:07:22.276 --> 00:07:27.200]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:07:29.637 --> 00:07:31.858]  Hello, I'm Steve Schenck.
[00:07:31.958 --> 00:07:35.000]  We're entering a holiday season never before seen in America.
[00:07:35.440 --> 00:07:43.845]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force unpopular decisions.
[00:07:44.265 --> 00:07:54.210]  Without this warning, many of us who still have money available would have unknowingly wasted it on Christmas gifts that will be useless when the only food available is in a government breadline.
[00:07:54.470 --> 00:07:57.892]  When the President is faced with the expected national security incident
[00:07:59.275 --> 00:07:59.575]  I think so.
[00:08:29.568 --> 00:08:34.657]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:34.937 --> 00:08:37.261]  Because there's a war on for your mind.
[00:08:45.572 --> 00:08:48.976]  Two minutes left in this transmission.
[00:08:49.016 --> 00:08:51.258]  Broadcasting on the AM and FM dial.
[00:08:52.839 --> 00:09:01.748]  Transmitting and streaming over the web at InfoWars.com and PrisonPlanet.com as well as over different satellite systems.
[00:09:02.549 --> 00:09:04.571]  This is the Alex Jones Radio Show.
[00:09:04.711 --> 00:09:06.033]  I am Alex Jones.
[00:09:07.566 --> 00:09:12.057]  And our guest is Alan Watt of CuttingThroughTheMatrix.com.
[00:09:12.618 --> 00:09:14.763]  Again, for the next hour and 51 minutes now.
[00:09:16.753 --> 00:09:22.494]  I know that we have Don in Costa Rica, Jimmy in Kentucky, Dustin and others holding over from the last hour.
[00:09:22.514 --> 00:09:24.775]  But Alan can speak to any subjects you want to call in about.
[00:09:24.795 --> 00:09:26.395]  If you want to talk to Alan Watt, it's 1-800-259-9231.
[00:09:26.435 --> 00:09:30.416]  I have a lot of questions I want to ask Alan.
[00:09:30.436 --> 00:09:37.058]  I want to have discussions with him and try to bring both of our knowledge of the New World Order and all of our knowledge together to a higher level.
[00:09:37.798 --> 00:09:41.159]  Because to defeat the enemy, you have to know who they are and what their agenda is.
[00:09:41.219 --> 00:09:42.539]  But we will start going to your calls.
[00:09:43.499 --> 00:09:43.759]  I think?
[00:09:58.539 --> 00:10:01.381]  Well, if they're saying they plan to kill 80% of us, how do they plan to do that?
[00:10:01.401 --> 00:10:03.683]  And I was explaining to him that it's incremental.
[00:10:03.723 --> 00:10:16.713]  First, they've got to socialize us, get us under government control, being regulated, being tracked, being traced, in government schools, where they always, you know, have things more far advanced than they are for the adults.
[00:10:17.073 --> 00:10:26.660]  This is all part of, like programming, bringing in the new model, you know, flushing out the old info, putting in the new, reducing the language, semantically reducing the language,
[00:10:27.913 --> 00:10:31.355]  Drugging, poisoning, sterilizing the population.
[00:10:31.395 --> 00:10:32.676]  We have all the numbers on that.
[00:10:32.696 --> 00:10:33.517]  I want to go over that.
[00:10:34.177 --> 00:10:42.863]  But out of the gates, I wanted to ask you, because I've seen a lot of this in their Club of Rome planning, UN planning, biological diversity assessments.
[00:10:43.803 --> 00:10:44.664]  We've seen a lot of it.
[00:10:46.102 --> 00:11:06.023]  In the university-level documents they're putting out, what the RAND Corporation is saying, what the British Ministry of Defense said last year that I know you covered extensively, as we did here, where they admit that there's a global elite, they're waging war against the individual, that they're putting in robotic aircraft so they can replace humans, even refusing to say nerve gas large cities.
[00:11:07.206 --> 00:11:19.076]  So can you walk through how, from the pieces we have, and I know you've researched the same stuff I have and even more in some cases because I hear you, I read you, I know it's all on target because it's from the enemy's own manual.
[00:11:19.096 --> 00:11:21.318]  So for listeners, this is not our opinion here.
[00:11:21.939 --> 00:11:23.600]  But again, they leave gaps in it.
[00:11:23.620 --> 00:11:30.306]  They explain a lot of it, but then you have to, it's all compartmentalized and partitioned, you have to put it all together.
[00:11:30.959 --> 00:11:51.020]  And they're not clear on time frames, but they want to use global war, global famine, controlled bioweapons releases, to train us with each terror attack, each bioweapons release, being bigger, to live in a more and more controlled society in the name of keeping us safe, to get us finally in that totally controlled technological enslavement grid.
[00:11:51.740 --> 00:11:56.324]  Yes, well, as far as bringing the population down, it's already happening.
[00:11:56.444 --> 00:11:57.525]  It's been happening for 50 years.
[00:11:57.565 --> 00:11:59.847]  And their own statistics prove it.
[00:12:17.449 --> 00:12:22.053]  I've read reports this last week or so from official reports on the sterilization of males.
[00:12:22.793 --> 00:12:34.801]  The CBC television, Canada, that's the BBC version of the Canadians, came out with a documentary called The Disappearing Male, where we're now at 85% or more sterile.
[00:12:35.622 --> 00:12:39.084]  Now the West is dying from Russia to Japan to the United States.
[00:12:39.124 --> 00:12:46.069]  First world is dying at about 3-4% a year, but to be clear, you mean they've slowed down the global growth?
[00:12:46.937 --> 00:12:59.543]  Oh, absolutely, and there's more girls being born than boys now because the boys have been attacked in the womb by bisphenol A and phthalates, which literally alter the biological makeup of the male.
[00:12:59.563 --> 00:13:02.984]  It attacks his endocrine system at the age of seven weeks as a fetus.
[00:13:03.924 --> 00:13:07.206]  And we're seeing them today, the feminine males.
[00:13:07.893 --> 00:13:11.014]  They're much slimmer, they have no shoulders.
[00:13:11.374 --> 00:13:32.582]  Let's not glaze over that, and this is again, main government documents, CBC broadcast, what Alan and I have already covered, but there it was, codified, the baby boys are dying in the womb, en masse, being targeted, if they make it out, I don't want to even say they're feminine, they're an emasculated male, whose literal glands do not develop.
[00:13:32.902 --> 00:13:33.682]  Alan, please continue.
[00:13:34.082 --> 00:13:36.603]  Yeah, and also on that same documentary,
[00:13:37.583 --> 00:13:46.929]  They said that 10 years ago they could take sperm samples from young healthy males in college around the age of 18 and they had 60 million
[00:13:50.858 --> 00:13:57.102]  The new normal is 10 million per milliliter.
[00:13:57.642 --> 00:13:59.583]  So that's how far it's dropped.
[00:14:00.164 --> 00:14:03.586]  And so they keep dropping the normal sperm count for males.
[00:14:03.686 --> 00:14:07.128]  And then sperm that's left is a motile.
[00:14:07.388 --> 00:14:08.529]  It's a motile dysfunctional.
[00:14:08.889 --> 00:14:10.230]  It doesn't find the target.
[00:14:10.270 --> 00:14:11.791]  It cannot go to the ovum.
[00:14:12.111 --> 00:14:15.934]  So technically most males today are almost completely sterile.
[00:14:16.634 --> 00:14:17.855]  And this is well understood.
[00:14:17.895 --> 00:14:23.878]  They've been studying this for 50 years, and it's only now they're releasing what they've always known for the last 50 years.
[00:14:24.398 --> 00:14:40.167]  And you have to go back 50 years to the writings of Charles Dalton Darwin, who came up with his book, The Next Million Years, where he outlines, on behalf of the elites, the different techniques of doing this very thing, sterilizing the population, primarily targeting the males,
[00:14:41.048 --> 00:14:42.589]  And reducing them drastically.
[00:14:43.150 --> 00:14:44.530]  So it has been happening.
[00:14:44.550 --> 00:14:46.872]  People are always looking for a big apocalypse.
[00:14:47.733 --> 00:14:48.973]  And it doesn't happen that way.
[00:14:48.993 --> 00:14:51.395]  It happens gradually, quietly.
[00:14:52.035 --> 00:14:54.737]  And the big mainstream media make no big deal about it.
[00:14:54.777 --> 00:14:56.778]  Explain that, because you do that very well.
[00:14:56.798 --> 00:15:00.461]  I mean, they state it's silent weapons for quiet wars.
[00:15:00.501 --> 00:15:03.383]  They slowly turn up the ambient chemicals.
[00:15:03.823 --> 00:15:12.169]  The frequency pollution, what's in the water, the food, so that we slowly get used to the neighbors, the kids dying of cancer, the old people dying early.
[00:15:12.489 --> 00:15:19.234]  We slowly get used to everybody not being able to have babies on the block, except for the new third world populations that come in that haven't been under the chemicals.
[00:15:19.494 --> 00:15:24.557]  But then you take third world groups that have been here a generation, they're just as sterilized as blacks and whites.
[00:15:25.038 --> 00:15:26.979]  I mean, we're under hardcore attack right now.
[00:15:27.559 --> 00:15:29.140]  It's complete all-out warfare.
[00:15:29.801 --> 00:15:35.405]  And now he discussed this, Charles Galton Darwin, he was a physicist in the 1950s.
[00:15:36.346 --> 00:15:39.608]  And you find Arthur Koestler also worked at the United Nations.
[00:15:40.109 --> 00:15:41.630]  Arthur Koestler is admitted now.
[00:15:41.730 --> 00:15:43.751]  Koestler was a member of MI5, MI6.
[00:15:43.911 --> 00:15:48.475]  And he taught at a university in New York for a while.
[00:15:49.193 --> 00:15:54.574]  They work for the United Nations, and he wrote about this necessity as well of vastly reducing the population.
[00:15:55.014 --> 00:16:02.415]  They're using the same techniques, in fact, that they've been using on animals and basically animal management and the forestry commissions.
[00:16:03.375 --> 00:16:07.436]  They target primarily the males to bring their population down drastically.
[00:16:07.676 --> 00:16:08.956]  Same techniques are used chemically.
[00:16:08.976 --> 00:16:13.737]  Yeah, they've been putting out baits to chemically sterilize badgers and foxes.
[00:16:14.277 --> 00:16:16.558]  And again, it's all done just like you manage animals.
[00:16:16.578 --> 00:16:17.258]  They even say that.
[00:16:17.298 --> 00:16:17.798]  Go ahead, please.
[00:16:18.278 --> 00:16:23.924]  Yes, they actually call it herd management when they discuss humans in the medical societies now openly.
[00:16:25.170 --> 00:16:26.551]  So this has been happening.
[00:16:26.591 --> 00:16:28.672]  We're seeing all the other side effects.
[00:16:29.113 --> 00:16:43.722]  As the sperm count drops and the endocrine system is severely attacked in young men, their IQ level is dropping as well, which also explains why they can't catch on to the big picture of what's happening around them.
[00:16:43.742 --> 00:16:47.364]  They literally don't have the ability to see what's happening.
[00:16:47.985 --> 00:16:52.728]  And that again ties in with the big planning committees who discussed this with
[00:16:53.808 --> 00:17:02.255]  Charles Galton Darwin, he didn't do this on his own, he spoke on behalf of the big think tanks and foundations that worked on behalf of the British elite at the time.
[00:17:03.354 --> 00:17:10.218]  And, uh, they talked about the necessity for dumbing down the people, especially the male, because the male was their main target.
[00:17:10.258 --> 00:17:14.880]  They said that the men will never, ever accept this new world order.
[00:17:15.600 --> 00:17:17.921]  This regimented system from birth to death.
[00:17:18.041 --> 00:17:20.623]  And that's why they project and riddle in the boys.
[00:17:21.123 --> 00:17:22.924]  That's why they target them for a fist fight.
[00:17:22.964 --> 00:17:28.186]  They go to jail now instead of doing, you know, being allowed to do their normal male activities.
[00:17:28.206 --> 00:17:31.168]  I mean, that'd be like arresting a baby pronghorn.
[00:17:31.568 --> 00:17:39.294]  You know, a juvenile pronghorn for, you know, for challenging other males out on the grassy plains of New Mexico.
[00:17:39.774 --> 00:17:42.477]  All normal human activity is made criminal.
[00:17:42.537 --> 00:17:43.998]  The male is destroyed.
[00:17:44.999 --> 00:17:45.619]  That is correct.
[00:17:46.139 --> 00:17:49.362]  And as I say, they had a targeted IQ.
[00:17:49.762 --> 00:17:51.864]  There's very little testosterone working there.
[00:17:52.204 --> 00:17:53.905]  You technically are not a man anymore.
[00:17:53.945 --> 00:17:55.106]  You won't rebel.
[00:17:55.166 --> 00:17:56.548]  You won't stand up and fight.
[00:17:57.128 --> 00:17:58.169]  You won't even object.
[00:17:58.769 --> 00:17:59.570]  You're very passive.
[00:18:00.425 --> 00:18:04.249]  And again, this is well understood by herd management for animals.
[00:18:05.691 --> 00:18:12.138]  When you basically neuter a bull, he becomes very, very placid and he'll accept treatment quite easily.
[00:18:13.143 --> 00:18:13.884]  There's no objections.
[00:18:13.904 --> 00:18:15.625]  Well, that's happened in society.
[00:18:15.765 --> 00:18:21.570]  And the police now take steroids to supplement the fact that they've been basically neutered.
[00:18:21.790 --> 00:18:27.874]  And so that's the only sequestered area, though, where you're allowed to be male only if you're assaulting your own people, though.
[00:18:27.934 --> 00:18:28.675]  That is correct.
[00:18:28.855 --> 00:18:29.816]  That is absolutely correct.
[00:18:29.856 --> 00:18:34.720]  And of course, the guys in charge of the military and the police turn a blind eye.
[00:18:34.740 --> 00:18:35.540]  They understand this.
[00:18:35.560 --> 00:18:37.502]  And I've seen cops, too, in Toronto.
[00:18:38.356 --> 00:18:44.437]  They're standing outside the Gold's Gym and opening their big bags and inside there's all the files there of the different steroids.
[00:18:44.797 --> 00:18:45.718]  They have bags of it.
[00:18:46.598 --> 00:18:48.618]  And they all look like the Incredible Hulk.
[00:18:48.638 --> 00:18:49.418]  They have no neck.
[00:18:50.199 --> 00:18:51.659]  And with the shaven heads there.
[00:18:52.079 --> 00:18:54.800]  And they're just dying to get out there and be aggressive.
[00:18:55.220 --> 00:18:56.060]  Now they have permission.
[00:18:56.360 --> 00:18:58.240]  So once again it's authorized from the top.
[00:19:00.101 --> 00:19:00.821]  Please continue.
[00:19:01.681 --> 00:19:06.242]  Well, what's interesting too, one of the main chemicals that is a synthetic hormone
[00:19:07.023 --> 00:19:22.519]  The very things that Charles Galton Darwin was talking about and advocated was bisphenol A. Now bisphenol A was understood, it was discovered in the 1800s and in the 1930s the chemical companies in the US
[00:19:23.354 --> 00:19:32.937]  Had done extensive experimentation with it, and they found that it was an endocrine disruptor that literally would attack male growth in the womb.
[00:19:33.437 --> 00:19:35.438]  So, what did it do with this bisphenol A?
[00:19:35.458 --> 00:19:39.339]  They make it mandatory to use it to sterilize all babies' bottles.
[00:19:39.379 --> 00:19:48.241]  That's right, there's hundreds of types of plastic, but they find this one type of sterilizing rats and guinea pigs, and so they make sure there's universal adoption of that.
[00:19:48.521 --> 00:19:49.982]  How loving!
[00:19:50.566 --> 00:19:50.726]  Yes.
[00:19:51.506 --> 00:20:03.992]  And then, of course, they put it into the bottles themselves, and with heat, it leaches very quickly from the plastic feeding bottles for babies, and it's in the little teats they use, too, the rubber teats.
[00:20:04.112 --> 00:20:05.913]  And in children, it's even more devastating.
[00:20:05.973 --> 00:20:07.154]  Alan Watts, stay there.
[00:20:07.174 --> 00:20:08.434]  We're going to come back and talk more about this.
[00:20:08.754 --> 00:20:11.396]  Only one small facet of how you're under attack.
[00:20:11.656 --> 00:20:12.216]  Don't believe us.
[00:20:12.276 --> 00:20:13.416]  It's all true, all on record.
[00:20:13.436 --> 00:20:14.877]  They bragged how they would do it.
[00:20:14.937 --> 00:20:18.779]  Diet injections and injunctions will reduce you to the level
[00:20:19.898 --> 00:20:20.539]  Of mutton.
[00:20:21.680 --> 00:20:22.640]  Or sheep.
[00:20:23.361 --> 00:20:25.503]  But mutton on the plate.
[00:20:26.143 --> 00:20:27.865]  We'll be right back, ladies and gentlemen.
[00:20:27.925 --> 00:20:28.505]  Stay with us.
[00:20:28.785 --> 00:20:30.507]  Lead from solder in copper pipes.
[00:20:30.667 --> 00:20:31.748]  Mercury from fish.
[00:20:31.848 --> 00:20:32.609]  Dental fillings.
[00:20:32.749 --> 00:20:33.349]  Vaccines.
[00:20:33.509 --> 00:20:34.410]  Arsenic in the water.
[00:20:34.530 --> 00:20:38.413]  These heavy metal toxins are difficult or even impossible to avoid.
[00:20:38.554 --> 00:20:42.317]  Even trace amounts of these heavy metals over time can impact your health.
[00:20:42.517 --> 00:20:46.200]  Many health problems have been suggested as being related to this heavy metal exposure,
[00:20:46.400 --> 00:20:46.880]  I don't know.
[00:21:08.667 --> 00:21:09.007]  We're good.
[00:21:28.926 --> 00:21:33.630]  Hey GCN listeners, if you're looking for the perfect Christmas gift this year, listen up!
[00:21:33.830 --> 00:21:36.712]  This message is going to make holiday shopping very easy.
[00:21:36.893 --> 00:21:40.515]  This year, give the amazing Survival Seed Bank to friends and family.
[00:21:40.836 --> 00:21:41.416]  Here's why.
[00:21:41.676 --> 00:21:49.703]  The Survival Seed Bank will give any friend or loved one the ability to grow a full acre crisis garden of nutritionally dense, life-sustaining food.
[00:21:50.103 --> 00:21:53.828]  And the Survival Seed Bank is not just a box of open pollinated seeds.
[00:21:54.088 --> 00:21:58.534]  It's an indestructible, waterproof seed bank that can even be buried if necessary.
[00:21:58.834 --> 00:21:59.935]  And here's the best part.
[00:22:00.276 --> 00:22:04.982]  The price of Survival Seed Bank has been drastically reduced for GCN listeners this Christmas.
[00:22:05.422 --> 00:22:07.283]  You might even want to pick one up for yourself.
[00:22:07.544 --> 00:22:11.246]  The price goes back up January 1st and the supply is definitely limited.
[00:22:11.266 --> 00:22:13.848]  Think outside the box and into the bank this year.
[00:22:14.048 --> 00:22:17.530]  Give a Survival Seed Bank by going to survivalseedbank.com.
[00:22:17.691 --> 00:22:19.532]  That's survivalseedbank.com.
[00:22:19.852 --> 00:22:20.472]  Or you can call 877-327-0365.
[00:22:20.533 --> 00:22:21.713]  That's 877-327-0365 to give the perfect gift.
[00:22:28.798 --> 00:22:35.203]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:22:35.564 --> 00:22:37.886]  The enemy struck America on September 11th.
[00:22:38.206 --> 00:22:39.247]  But who is the enemy?
[00:22:39.747 --> 00:22:40.288]  Bin Laden.
[00:22:40.568 --> 00:22:41.369]  This is his MO.
[00:22:41.409 --> 00:22:42.910]  We have to look to the Middle East.
[00:22:42.930 --> 00:22:44.391]  We have to look to Osama Bin Laden.
[00:22:44.912 --> 00:22:51.640]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:22:52.061 --> 00:22:52.501]  Some U.S.
[00:22:52.541 --> 00:22:58.289]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:22:58.889 --> 00:23:02.354]  I'm aware that some Israeli citizens have been detained.
[00:23:02.574 --> 00:23:12.639]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:23:12.659 --> 00:23:13.619]  Fabled enemies.
[00:23:14.119 --> 00:23:21.383]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:23:21.843 --> 00:23:25.205]  Either you are with us or you are with the terrorists.
[00:23:28.712 --> 00:23:32.154]  Free yourself from expensive cable and satellite fees.
[00:23:32.314 --> 00:23:34.235]  Control what you want to see.
[00:23:34.275 --> 00:23:41.619]  GCN listeners, now you can transform your living room's HDTV into a virtual war room command center with CV.
[00:23:41.679 --> 00:23:47.763]  CV turns your computer into your own HD channel that broadcasts throughout your home to all of your HDTVs.
[00:23:47.983 --> 00:23:53.266]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows.
[00:23:54.166 --> 00:24:00.752]  Anything that can be viewed in your PC can be controlled from your couch with a ZV remote with its built-in mouse touchpad.
[00:24:00.852 --> 00:24:08.559]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more in HD.
[00:24:08.999 --> 00:24:09.980]  We're good to go.
[00:24:42.873 --> 00:24:43.934]  Alan wants our guest.
[00:24:44.274 --> 00:24:44.974]  Paul's coming up.
[00:24:46.635 --> 00:24:50.316]  Alan, of course, you've only covered one tiny area of this, and they just throw it in your face.
[00:24:51.816 --> 00:24:59.219]  That they knew, in the studies over a hundred years ago, what this would do, and they said, well, put it in the... in the plastics.
[00:24:59.439 --> 00:25:01.060]  Put it in the liners for the tin cans.
[00:25:01.661 --> 00:25:09.444]  Put it in everything, and more importantly, uh, they said, let's put fluoride, sodium fluoride in the water.
[00:25:09.985 --> 00:25:12.206]  We have the documents on that, but then they just laugh at us.
[00:25:12.226 --> 00:25:15.227]  Uh, please continue, Ellen Lott.
[00:25:16.255 --> 00:25:18.656]  Yes, what you have is a multi-pronged attack.
[00:25:19.236 --> 00:25:26.139]  When you look at your victim or your enemy in warfare, you must study the enemy and the enemy are the people.
[00:25:26.859 --> 00:25:31.061]  You study them, you find out what their habits are, what do all people go through in stages, etc.
[00:25:32.157 --> 00:25:33.358]  How do they rear their young?
[00:25:33.378 --> 00:25:34.719]  Even conceive their young?
[00:25:35.139 --> 00:25:36.440]  Where can you hit your target?
[00:25:36.460 --> 00:25:41.903]  You hit your target in the womb, preferably, if you want to stop major natural changes from occurring.
