[00:00:00.049 --> 00:00:01.430]  SprayYourPlate.com.
[00:06:24.048 --> 00:06:25.709]  A fresh translation of Italian.
[00:06:43.641 --> 00:06:46.382]  He stands for truth.
[00:06:46.382 --> 00:06:49.603]  He stands for justice.
[00:06:49.603 --> 00:06:52.044]  He stands for what's right.
[00:06:52.044 --> 00:06:55.366]  This is the Alex Jones Show.
[00:06:55.366 --> 00:06:58.427]  Call Alex now, toll free at 877-590-5525.
[00:06:58.427 --> 00:07:02.609]  Now live from Austin, Texas.
[00:07:06.903 --> 00:07:13.565]  Here's Alex Jones.
[00:07:13.565 --> 00:07:28.829]  Well, ladies and gentlemen, as we close out the last few days of September on this live Sunday edition, going on across the country on the AM and FM dial, satellite, the internet, at infowars.com, and, of course, Global Shortwave.
[00:07:28.829 --> 00:07:35.951]  It is Sunday, and we're very glad that you decided to spend some time with us.
[00:07:37.677 --> 00:07:50.890]  There are so many facets and angles and levels of deception to what is popularly known as the bailout, the financial bailout.
[00:07:50.890 --> 00:07:52.612]  Number one, it is not a bailout.
[00:07:53.937 --> 00:07:58.699]  It is a new branch of government being created, a new private branch.
[00:07:58.699 --> 00:08:19.950]  The Treasury becomes private, a private mega hedge fund slash central bank, and it gives complete and total criminal pardons to anyone who has committed any type of crime in the financial system if the Secretary of the Treasury says that that is the case.
[00:08:22.150 --> 00:08:30.237]  I mean, I'm hearing people all over talk radio finally waking up that George Bush isn't a good conservative and that George Bush is a puppet and runs absolutely nothing.
[00:08:30.237 --> 00:08:31.958]  They're also waking up to that.
[00:08:31.958 --> 00:08:39.784]  The left is waking up as well, but only to one layer of the proverbial onion.
[00:08:39.784 --> 00:08:44.288]  Only to a small fraction of it.
[00:08:44.288 --> 00:08:49.993]  Bloomberg Financial, of all places, has been reporting that the bailout is more like five trillion dollars.
[00:08:52.593 --> 00:09:00.076]  Also, Bloomberg is reporting today that the banks are faking a liquidity crisis.
[00:09:00.076 --> 00:09:01.757]  Well, of course they are.
[00:09:01.757 --> 00:09:15.923]  They're the authors of this massive fraud, and the whole point of the Ponzi scheme is to fleece the schmucks as much as you can.
[00:09:15.923 --> 00:09:17.324]  So we'll get into that.
[00:09:17.324 --> 00:09:20.906]  Also, it's a red herring.
[00:09:20.906 --> 00:09:21.666]  A big red herring.
[00:09:22.714 --> 00:09:29.638]  There has been close to a trillion dollars pumped into banks, that is U.S.
[00:09:29.638 --> 00:09:35.922]  taxpayer money, in the last year and a half since this crisis supposedly started.
[00:09:35.922 --> 00:09:37.723]  A contrived stage crisis.
[00:09:37.723 --> 00:09:41.165]  We told you several years before that, that they would stage the crisis.
[00:09:41.165 --> 00:09:47.129]  We even mentioned it would be in subprime mortgages, because we actually happen to track the global elite and what they're up to.
[00:09:50.564 --> 00:10:01.330]  But just in the last week, Reuters reports an average of $188 billion per day.
[00:10:01.330 --> 00:10:03.371]  This came out Friday night from Reuters.
[00:10:03.371 --> 00:10:09.053]  Steve Watson did a great report up on PrisonPlanet.com and InfoWars.net on it.
[00:10:09.053 --> 00:10:13.636]  Bank borrowing from Fed already exceeded bailout total in one week.
[00:10:13.636 --> 00:10:14.676]  $188 billion per day!
[00:10:19.218 --> 00:10:35.710]  Meanwhile, they have you debating a $700 billion bailout to make you think you're part of the process, to confuse the simple-minded public that kind of halfway pays attention to things.
[00:10:35.710 --> 00:10:38.052]  Oh, do you want a $700 billion bailout?
[00:10:38.052 --> 00:10:41.334]  But that's a lie itself!
[00:10:41.334 --> 00:10:43.216]  This is a complete
[00:10:44.964 --> 00:10:56.272]  And total blank check to commit crimes in the future and a pardon for all of the crimes that have been committed in the past by the very private banks.
[00:10:56.272 --> 00:10:59.034]  You know, the international bankers we talk so much about.
[00:10:59.034 --> 00:11:08.100]  The public was trained, didn't exist, and was trained to giggle and smirk at in the New World Order as presidents and prime ministers called for it.
[00:11:08.100 --> 00:11:09.481]  You were taught it didn't exist.
[00:11:10.365 --> 00:11:16.808]  So that you wouldn't have to use your feeble little minds to think about it in the words of the New World Order, not in my words.
[00:11:16.808 --> 00:11:23.090]  They call you cattle, they call you slaves, they write books about how stupid you are, laughing at you.
[00:11:23.090 --> 00:11:28.813]  Bank borrowing from Fed already exceeded bailout total in last week, so, so see you're debating that.
[00:11:29.972 --> 00:11:30.252]  U.S.
[00:11:30.252 --> 00:11:44.663]  banks borrowed $188 billion per day on average in the last week from the Federal Reserve, meaning that the Fed loaned out more than the Treasury's proposed bailout in just one week, still barely managing to keep the economy afloat.
[00:11:44.663 --> 00:11:47.445]  That is long enough to fully suck all the blood out.
[00:11:47.445 --> 00:11:55.491]  Federal Reserve data showed Thursday the total amount banks borrowed nearly quadrupled from the previous $47.97 billion per day
[00:11:57.967 --> 00:12:01.728]  Notched just the week before Reuters reports.
[00:12:01.728 --> 00:12:17.392]  $188 billion per day on average over the course of five days means the total amount borrowed from the Fed in the week ending the 24th of September stood at $940 billion in one week.
[00:12:17.392 --> 00:12:19.572]  And they count it Sunday night through Thursday evening.
[00:12:19.572 --> 00:12:21.933]  That's how the banking numbers work.
[00:12:21.933 --> 00:12:25.354]  A figure that easily eclipsed the proposed $700 billion bailout.
[00:12:25.354 --> 00:12:26.614]  That is a smokescreen!
[00:12:28.035 --> 00:12:32.297]  Sunday, last Sunday, seven days ago, they met in secret.
[00:12:32.297 --> 00:12:40.302]  The private Federal Reserve heads, their puppet, the head of Goldman Sachs, stealing hundreds of billions a day for his company, openly.
[00:12:40.302 --> 00:12:41.963]  Total conflict of interest.
[00:12:41.963 --> 00:12:47.085]  They met, and then Monday we got the plan, and it said, clearly, no one can investigate this.
[00:12:47.085 --> 00:12:48.266]  No one can even look at this.
[00:12:48.266 --> 00:12:49.927]  No one can talk about this.
[00:12:49.927 --> 00:12:51.608]  Any crimes, any felonies.
[00:12:52.867 --> 00:12:55.350]  You are given total immunity and perpetuity.
[00:12:55.350 --> 00:12:56.831]  It says it!
[00:12:56.831 --> 00:13:00.395]  Go read it, it's all over the news.
[00:13:00.395 --> 00:13:05.600]  It said they can seize your houses, seize any infrastructure they want, they can take over any banks they want.
[00:13:05.600 --> 00:13:06.120]  Oh, that's another...
[00:13:07.282 --> 00:13:08.122]  Wrinkled the scam.
[00:13:08.122 --> 00:13:17.147]  It allows this central coterie, this select group of criminal bankers to use federal regulators to go grab Washington Mutual, the biggest bank to fail in U.S.
[00:13:17.147 --> 00:13:17.727]  history.
[00:13:17.727 --> 00:13:19.448]  Biggest in world history, by the way.
[00:13:19.448 --> 00:13:20.068]  Not just U.S.
[00:13:20.068 --> 00:13:20.628]  history.
[00:13:20.628 --> 00:13:21.709]  They go and grab that.
[00:13:21.709 --> 00:13:23.069]  They grab whatever they want.
[00:13:23.069 --> 00:13:25.350]  They pay whatever they want for the assets.
[00:13:25.350 --> 00:13:26.791]  They steal your assets.
[00:13:26.791 --> 00:13:27.591]  They do it.
[00:13:27.591 --> 00:13:29.012]  It's just mass criminality.
[00:13:30.205 --> 00:13:32.526]  So there's that going on, too.
[00:13:32.526 --> 00:13:43.971]  And never forget that in the last week they stole $900 plus billion.
[00:13:43.971 --> 00:13:46.193]  $900 plus billion.
[00:13:46.193 --> 00:13:49.534]  And they've got you talking about $700 billion.
[00:13:49.534 --> 00:13:54.897]  Which, if you really read it, it's at least $5 trillion conservatively.
[00:13:54.897 --> 00:13:57.738]  At least $5 trillion conservatively.
[00:13:58.999 --> 00:14:06.881]  So see, you got the public going, that's it, I'm not bailing them out for $700 billion, I'm putting my foot down right now!
[00:14:06.881 --> 00:14:15.683]  I hear it all over talk radio, I'm going to start this and that, I'm going to start blasting, I'm going to start... I hear it on... I heard Rush Limbaugh talking about shooting.
[00:14:15.683 --> 00:14:19.124]  I heard people talking about it on Sean Hannity, I heard it everywhere.
[00:14:19.124 --> 00:14:22.265]  And suddenly it's being accepted.
[00:14:22.265 --> 00:14:25.465]  No, we don't need behavior like that.
[00:14:25.465 --> 00:14:27.986]  And sit down and realize really what's going on.
[00:14:29.065 --> 00:14:45.679]  While you're busy looking at the puppet they held up in front of you, or the red cape they held up in front of you like you're some mindless bovine bull, some beast, nine hundred plus billion was stolen.
[00:14:45.679 --> 00:14:49.142]  Now that's Reuters reporting that.
[00:14:49.142 --> 00:14:51.784]  That's what's been taken out.
[00:14:51.784 --> 00:14:53.186]  Now, on top of this,
[00:14:55.163 --> 00:14:56.845]  I mean, there's just so many facets.
[00:14:56.845 --> 00:14:58.266]  It's just amazing.
[00:14:58.266 --> 00:15:13.000]  While everybody's been busy watching this happen, and they've definitively agreed on the bloodletting, which is $5 trillion, not $700 billion, close to a trillion stolen just last week, that you will pay for with interest,
[00:15:14.426 --> 00:15:21.968]  The Democrats just dropped a tiny little bit of socialism for the people, which I would normally be against, but compared to the stuff for the bankers, it's nothing.
[00:15:21.968 --> 00:15:33.851]  You know, that just maybe a judge might give you a chance to renegotiate, or you might get a little bit of aid somehow, at least a pat on the head as you were thrown off the cliff.
[00:15:33.851 --> 00:15:35.652]  No, you get absolutely nothing.
[00:15:35.652 --> 00:15:36.712]  That's Associated Press.
[00:15:36.712 --> 00:15:39.873]  Dems dropped mortgage help for homeowners from banker bailout.
[00:15:41.005 --> 00:15:44.547]  And yes, ladies and gentlemen, they passed the biggest U.S.
[00:15:44.547 --> 00:15:49.990]  defense budget, over $1 trillion with almost no fanfare.
[00:15:49.990 --> 00:15:54.112]  Just seven years ago, the defense budget was $430-something billion.
[00:15:54.112 --> 00:15:59.994]  Now it's over a trillion dollars, not to mention another $500 billion off the military budget.
[00:15:59.994 --> 00:16:01.615]  A trillion and a half!
[00:16:01.615 --> 00:16:03.816]  The military budget is now half the U.S.
[00:16:03.816 --> 00:16:04.777]  GDP a year.
[00:16:07.233 --> 00:16:14.539]  And it only expands, it only intensifies, it's only growing that much faster.
[00:16:14.539 --> 00:16:21.044]  So we'll come back and run over all the facts, and how if you don't like it, they're gonna use the military and police on you.
[00:16:21.044 --> 00:16:23.847]  That's what the police state was geared up for, as I told you years ago.
[00:16:23.847 --> 00:16:27.029]  So you can't stop them from taking your pension fund.
[00:16:27.029 --> 00:16:27.670]  We'll be right back.
[00:16:31.468 --> 00:16:32.910]  Hi, this is Ted Anderson.
[00:16:32.910 --> 00:16:38.977]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:16:38.977 --> 00:16:39.798]  That's right.
[00:16:39.798 --> 00:16:42.641]  Gold has been available to be placed in IRAs since 1986.
[00:16:42.641 --> 00:16:49.569]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:16:50.109 --> 00:16:58.255]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:16:58.255 --> 00:17:03.720]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:17:03.720 --> 00:17:09.544]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:17:09.544 --> 00:17:14.068]  Don't get left behind by rising inflation and low return on your paper investments.
[00:17:14.068 --> 00:17:14.308]  Call 800-686-2237.
[00:17:14.308 --> 00:17:16.150]  Make sure that you secure your future.
[00:17:19.392 --> 00:17:19.673]  Call 800-686-2237.
[00:17:19.673 --> 00:17:19.874]  That's 1-800-686-2237.
[00:17:31.527 --> 00:17:33.668]  We live in a world of vanishing privacy.
[00:17:33.668 --> 00:17:41.512]  The added threat of invisible radio waves sending out personal information to anyone willing to receive them makes our privacy as citizens even less secure.
[00:17:41.512 --> 00:17:45.254]  The RFID tags and ID cards have been proven to be not secure.
[00:17:45.254 --> 00:17:49.436]  Thieves are able to read information stored on these tags to steal your identity.
[00:17:49.436 --> 00:17:54.719]  Protect yourself from ID theft with our RFID blocker, available as a wallet or passport case.
[00:17:56.340 --> 00:17:58.982]  ProSpy.com offers simple, affordable personal protection.
[00:17:58.982 --> 00:18:03.245]  Many countries, including the U.S., have begun to institute RFID in passports.
[00:18:03.245 --> 00:18:04.426]  Why take a chance?
[00:18:04.426 --> 00:18:06.447]  This is your personal information.
[00:18:06.447 --> 00:18:07.428]  Protect yourself.
[00:18:07.428 --> 00:18:16.694]  ProSpy.com also offers a complete selection of spy gear and security equipment, including bug detectors, camera finders, countermeasure equipment, and night vision gear.
[00:18:16.694 --> 00:18:20.977]  ProSpy.com is your source for high quality spy and security equipment.
[00:18:21.357 --> 00:18:24.006]  Visit us online at ProSpy.com.
[00:18:24.006 --> 00:18:26.494]  That's ProSpy.com today!
[00:18:30.060 --> 00:18:34.583]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:18:34.583 --> 00:18:39.687]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:18:39.687 --> 00:18:41.208]  Hi folks, Alex Jones here.
[00:18:41.208 --> 00:18:44.810]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:18:44.810 --> 00:18:50.214]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:18:50.214 --> 00:18:55.998]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:18:56.318 --> 00:18:58.839]  Now, Calvin Soaps are available to you and me.
[00:18:58.839 --> 00:19:01.359]  Triple concentrated for all your cleaning needs.
[00:19:01.359 --> 00:19:03.780]  From bathing and laundry to dishes, hair and more.
[00:19:03.780 --> 00:19:04.980]  No harsh chemicals.
[00:19:04.980 --> 00:19:06.181]  No animal testing.
[00:19:06.181 --> 00:19:07.501]  I use them and love them.
[00:19:07.501 --> 00:19:09.402]  Knowing they're all natural and safe.
[00:19:09.402 --> 00:19:10.822]  And I say big time.
[00:19:10.822 --> 00:19:12.562]  Call Calvin Pure Soap at 1-800-340-7091.
[00:19:12.562 --> 00:19:12.883]  That's 1-800-340-7091.
[00:19:12.883 --> 00:19:15.383]  Or log on to 5starsoap.com now for a free catalog.
[00:19:22.305 --> 00:19:24.968]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:19:29.582 --> 00:19:36.808]  Drink and Mate proudly presents another mind-boggling episode of America's toughest quiz show, That's Too Complicated!
[00:19:36.808 --> 00:19:42.572]  Let's see if we can figure out which contestant got the intellectual edge after an evening of partying by using Drink and Mate!
[00:19:42.572 --> 00:19:50.418]  For 20 points in the wind, Milt, Glur-5 and blank kinate receptor subunits in hippocampal neurons co-assemble to form functional receptors.
[00:19:50.418 --> 00:19:52.900]  Uh, uh, Pony?
[00:19:52.900 --> 00:19:54.421]  Oh, too bad!
[00:19:54.421 --> 00:19:54.962]  Yes, Chip!
[00:19:55.692 --> 00:19:59.375]  The illogical companion of Glur 5, Glur 6.
[00:19:59.375 --> 00:20:00.736]  You've won the game!
[00:20:00.736 --> 00:20:02.238]  Hey, life is like a game.
[00:20:02.238 --> 00:20:05.060]  And if you want to win, you've got to give it your best every day.
[00:20:05.060 --> 00:20:08.623]  Which doesn't always happen after an evening of celebrating with friends and family.
[00:20:08.623 --> 00:20:12.707]  That's why there's Drink and Mate, a patented formula of guava leaf extract.
[00:20:12.807 --> 00:20:15.469]  You're listening to GCN, the Genesis Communication Radio Network.
[00:20:44.267 --> 00:20:46.891]  Okay, we are back live.
[00:20:46.891 --> 00:20:51.597]  I've got Webster Tarpley joining us.
[00:20:51.597 --> 00:20:53.760]  Immediately, Friday night, I thought of him.
[00:20:53.760 --> 00:20:57.505]  Author, researcher, political scientist.
[00:20:59.406 --> 00:21:14.851]  When I saw news reports out of Illinois, out of Missouri, out of other areas, confirming what he predicted like a year ago, when Barack Obama was still a little known, he was saying Barack Obama will be their candidate, he will bring in fascism to the U.S.
[00:21:14.851 --> 00:21:19.752]  And, you know, Tarpoli's more of a progressive leftist, so he doesn't like to be put in boxes.
[00:21:19.752 --> 00:21:26.495]  And then just everything he said about it keeps coming true, and now they're arresting people that criticize Barack Obama.
[00:21:26.495 --> 00:21:27.815]  You cannot make this up.
[00:21:28.726 --> 00:21:30.047]  You cannot make this up.
[00:21:30.047 --> 00:21:36.511]  In fact, we have the stories up on Infowars.com right now for anyone that is doubting me.
[00:21:36.511 --> 00:21:38.932]  And I do want to get the Missouri Governor on.
[00:21:38.932 --> 00:21:41.033]  He is calling it a police state.
[00:21:41.033 --> 00:21:47.117]  He is calling it just the most egregious form of tyranny he's ever seen in the United States.
[00:21:47.117 --> 00:21:54.301]  Missouri Governor Matt Blunt, it's on the front page of the Governor's website, says Matt Blunt today issued the following statement on news reports that
[00:21:54.941 --> 00:21:56.222]  Have exposed plans by U.S.
[00:21:56.222 --> 00:22:01.427]  Senator Barack Obama to use Missouri law enforcement to threaten and intimidate his critics.
[00:22:01.427 --> 00:22:10.915]  And I didn't believe this Friday when I saw on the news and I made phone calls to the Barack Obama campaign in three different states and they said, yes!
[00:22:10.915 --> 00:22:16.880]  They said, if you basically criticize Barack Obama and we don't think it's accurate, we're going to have you arrested.
[00:22:16.880 --> 00:22:18.061]  You can't do that!
[00:22:18.061 --> 00:22:19.021]  It's the First Amendment.
[00:22:19.021 --> 00:22:22.484]  I mean, if you can claim some civil issue and go that route, but
[00:22:24.859 --> 00:22:27.580]  And again, I can't vote for John McCain.
[00:22:27.580 --> 00:22:45.509]  They're both puppets, but stuff like this, I mean, just when I think it can't get any worse and more bizarre and crazy, and they've got all these cops and prosecutors and DAs on these newscasts, I've got one of the clips on a play later saying, oh yes, you're not allowed to talk bad about him, we'll arrest you.
[00:22:45.509 --> 00:22:48.330]  I mean, I'm living in total fruitcake land.
[00:22:48.330 --> 00:22:49.771]  That is not the American way.
[00:22:50.391 --> 00:22:55.096]  Homeland Security putting brain scanning cameras up now in major cities, not just airports.
[00:22:55.096 --> 00:22:56.357]  That isn't freedom.
[00:22:56.357 --> 00:22:59.420]  CPS kidnapping of over a million kids a year in the U.S.
[00:22:59.420 --> 00:23:00.761]  without due process.
[00:23:00.761 --> 00:23:02.963]  That's not the American way.
[00:23:02.963 --> 00:23:07.227]  Cops crawling out our ears just everywhere is not the American way.
[00:23:07.227 --> 00:23:09.169]  Open borders is not the American way.
[00:23:09.169 --> 00:23:12.892]  It's hard to get out, but it's easy to get in.
[00:23:12.892 --> 00:23:15.014]  I just can't handle it anymore.
[00:23:15.014 --> 00:23:15.855]  So that's coming up.
[00:23:17.173 --> 00:23:18.776]  I mean, it's really getting Twilight Zone.
[00:23:18.776 --> 00:23:26.689]  I thought it must have been some type of hoax or something, but no, the Barack Obama campaign is very proud of it and is signaling that this is the future of America.
[00:23:27.789 --> 00:23:45.443]  uh... so of course john mccain says he wants to use troops on the streets of america to fight crime there's gun confiscation going on in illinois using regular army the regular armies announced in army times are going to be patrolling the united states to quote deal with uh... rioters and then they say we hope we don't have to shoot u.s.
[00:23:45.443 --> 00:23:55.110]  citizens it looked at the country's going to hell in a handbasket like i always told you they were setting it up for but it's one thing to know they're setting it up it's another thing to see it happening
[00:23:56.838 --> 00:24:01.119]  Let me be very calm here about the bailout and just walk through the facts here.
[00:24:01.119 --> 00:24:05.821]  A. It is not a financial bailout.
[00:24:05.821 --> 00:24:20.305]  The private Federal Reserve that took over our government in 1913 issues the liquidity and issues trillions of dollars of it to their own private companies.
[00:24:20.305 --> 00:24:24.967]  The private shareholders that own the private Federal Reserve have issued tens of trillions of dollars
[00:24:26.323 --> 00:24:36.889]  ...of liquidity over the last 80-something years, most of it ballooning here at the end, accelerating the amount they've given themselves as the value of the currencies devalued.
[00:24:36.889 --> 00:24:47.314]  And they bought up railways, and infrastructure, and mines, and media companies, and defense establishment, and endowed all the major universities.
[00:24:47.314 --> 00:24:49.876]  That's what they've done for the last 80-plus years.
[00:24:50.939 --> 00:25:01.868]  Now they're at the final phase of just blowing the currency out, killing the currency, and then signing the American people contractually on to pay for that.
[00:25:01.868 --> 00:25:14.738]  They've already fenced the assets they bought, when the currency was still valuable, when the liquidity was still valuable, they fenced that into global infrastructure to set up and build and finance their world corporate government, known as the New World Order.
[00:25:16.232 --> 00:25:17.333]  And they brag about all this.
[00:25:17.333 --> 00:25:18.174]  All this is public.
