[00:00:00.089 --> 00:00:01.210]  We're good.
[00:05:51.188 --> 00:05:52.669]  Join the info war today!
[00:05:53.800 --> 00:05:58.782]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[00:05:58.782 --> 00:06:05.544]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[00:06:05.544 --> 00:06:13.928]  Safe, easy-to-use, environmentally-friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[00:06:13.928 --> 00:06:17.409]  Soleil Wellness has a unique selection of salt-based products.
[00:06:17.409 --> 00:06:22.951]  Not only Himalayan Gourmet Salt and Healy Bath Salts, Soleil's simple natural cleaning products
[00:06:23.291 --> 00:06:29.216]  Ionizing Salt Crystal Lamps, Respiratory Relieving Salt Pipes, Pain Relieving Pillows, and more.
[00:06:29.216 --> 00:06:32.578]  All designed to keep you and your family balanced and well.
[00:06:32.578 --> 00:06:38.863]  Visit Soleil Wellness today, online at natural-salt-lamps.com.
[00:06:38.863 --> 00:06:40.224]  That's natural-salt-lamps.com.
[00:06:40.224 --> 00:06:40.764]  Or call 312-224-2710.
[00:06:40.764 --> 00:06:41.305]  That's 312-224-2710.
[00:06:41.305 --> 00:06:43.446]  Mention GCN Live for a free gift!
[00:06:53.166 --> 00:06:56.847]  Fuel prices are at an all-time high with no relief in sight.
[00:06:56.847 --> 00:06:59.829]  Do you feel powerless against the large oil companies?
[00:06:59.829 --> 00:07:01.169]  Now you can fight back.
[00:07:01.169 --> 00:07:08.432]  Doer Alt Fuel Conditioner from Fuel Saver Incorporated is the solution you need for power, performance, and especially savings.
[00:07:08.672 --> 00:07:09.573]  Fuel Saver Inc.'
[00:07:09.553 --> 00:07:18.619]  's conditioner increases miles per gallon in gas and diesel engines and reduces emissions, saving up to 70 cents on each gallon of fuel you purchase.
[00:07:18.619 --> 00:07:26.405]  This remarkable fuel conditioner also cleans fuel injectors and pumps, reduces engine noise, and saves you money on costly repairs.
[00:07:26.405 --> 00:07:33.230]  Your engine will run like new with improved miles per gallon and the savings far exceed the cost of the product.
[00:07:33.430 --> 00:07:35.773]  Go to FUELSAVERINC.COM today.
[00:07:35.773 --> 00:07:39.478]  That's FUELSAVERINC.COM or call toll free 866-768-7811.
[00:07:39.478 --> 00:07:41.019]  Call now 866-768-7811 or go to FUELSAVERINC.COM.
[00:07:41.019 --> 00:07:42.181]  Duralt Fuel Conditioner.
[00:07:42.181 --> 00:07:43.442]  Start saving on fuel today!
[00:07:55.014 --> 00:08:01.644]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:01.644 --> 00:08:04.609]  It's Alex Jones and the GCN Radio Network.
[00:08:22.759 --> 00:08:36.684]  Okay, as best I can, let me walk through some of the most important facets of what happened Tuesday, Wednesday, Thursday, Friday, Saturday, and then of course yesterday on Sunday.
[00:08:36.684 --> 00:08:50.189]  I know a lot of you've already gotten pieces of this, but let me give you just a basic overview, then I'll zoom back in for a closer look into some of the key developments and activities and things that transpired
[00:08:51.028 --> 00:09:07.738]  In the last five days, we left here at about 2.30 in the afternoon, Tuesday Central Time, arrived in Maryland at about 10 o'clock at night, got to the hotel in Virginia.
[00:09:07.738 --> 00:09:10.499]  We flew into Baltimore.
[00:09:10.499 --> 00:09:12.480]  We checked in.
[00:09:12.480 --> 00:09:17.243]  There were security people there at the Westfields Marriott when you walked in the door.
[00:09:18.722 --> 00:09:24.487]  Uh, when, uh, we checked in, uh, they questioned us why we were there when we checked in.
[00:09:24.487 --> 00:09:30.111]  The bellhops were rude and aggressive, uh, asking us why we were there.
[00:09:30.111 --> 00:09:35.195]  Uh, we then went up to our rooms, we came down and ate at the bar.
[00:09:35.195 --> 00:09:45.082]  We saw a lot of, uh, other fellow Patriots in there who we, I'm sorry, I didn't mean to be rude, but we really couldn't talk to you because I didn't want to be completely obvious and get thrown out early.
[00:09:46.235 --> 00:09:51.800]  Many times Bilderberg shuts hotels down on the Wednesday, though it only really starts on the Thursday at noon.
[00:09:51.800 --> 00:09:53.982]  This time it did not.
[00:09:53.982 --> 00:09:55.504]  They did not throw people out on Wednesday.
[00:09:55.504 --> 00:10:00.368]  They threw everybody out on Thursday at noon.
[00:10:00.368 --> 00:10:05.793]  On that Wednesday, we were in the hotel, tried to get video, tried to get video of the meeting rooms, were followed everywhere.
[00:10:06.434 --> 00:10:07.295]  They tried to stop us.
[00:10:07.295 --> 00:10:08.675]  They were unsuccessful.
[00:10:08.675 --> 00:10:30.648]  The people have a right to know when policy's being set, when federal officials are violating federal law, violating the Logan Act, discussing and setting policy in private with the 100 robber barons, the owners of central banks, the kings and queens of Europe, the Rothschilds, the Rockefellers, and they were all there, by the way.
[00:10:30.648 --> 00:10:32.729]  We'll get into who was there.
[00:10:32.729 --> 00:10:34.250]  The list is up on InfoWars.com.
[00:10:36.448 --> 00:10:48.078]  I was doing live updates from the hotel Tuesday night, Wednesday night, and then of course from the Hyatt, excuse me, Hilton, where we were staying on Thursday, Friday, and Saturday.
[00:10:48.078 --> 00:10:50.780]  I did updates Tuesday, Wednesday, and Thursday.
[00:10:50.780 --> 00:10:56.825]  I'm scheduled to do another update or recap tonight on Coast to Coast AM on this Monday night, now that it's all over.
[00:10:56.825 --> 00:11:03.410]  And we did live reports from there in our hotel room those nights.
[00:11:03.410 --> 00:11:04.391]  Wednesday night,
[00:11:05.649 --> 00:11:06.950]  Tuesday night was uneventful.
[00:11:06.950 --> 00:11:15.096]  Wednesday night, we went around the hotel trying to get video as they were setting up for the conference the next day.
[00:11:15.096 --> 00:11:17.277]  We were followed everywhere there.
[00:11:17.277 --> 00:11:28.526]  Some security people walked up to us, myself and Rob Jacobson, as we were walking through the halls and just walked up and said, do you know about people pulling fire alarms?
[00:11:28.526 --> 00:11:34.590]  You know, we've had people come in here and pull fire alarms and then try to steal things like that vase you see sitting right there.
[00:11:36.653 --> 00:11:39.155]  And I said, uh, well, that's interesting story.
[00:11:39.155 --> 00:11:39.535]  Wow.
[00:11:39.535 --> 00:11:40.155]  Well, thank you.
[00:11:40.155 --> 00:11:42.336]  And they said, don't, don't videotape them.
[00:11:42.336 --> 00:11:43.457]  We had hidden cameras.
[00:11:43.457 --> 00:11:45.698]  So, but they obviously knew that.
[00:11:45.698 --> 00:11:47.719]  And I said, okay, well, uh, all right.
[00:11:47.719 --> 00:11:50.761]  I don't know what you're talking about.
[00:11:50.761 --> 00:12:02.388]  So we went back up to the room and right as we walk into the room, we had independent film channel in there who'd been interviewing us, who we'd brought up and, uh, Andrew Neil, Tom Davis and others.
[00:12:04.724 --> 00:12:08.645]  Their film covers Bilderberg 2006, 2007, and Bilderberg 2008.
[00:12:08.645 --> 00:12:12.786]  It'll be on IFC early next year.
[00:12:12.786 --> 00:12:13.926]  Big production, by the way.
[00:12:13.926 --> 00:12:19.367]  It's an IFC production.
[00:12:19.367 --> 00:12:25.368]  And thank God they were there to document, because we got into the room, right as we walk in the room, the phone rings.
[00:12:25.368 --> 00:12:30.869]  It's Tom Danheiser from Coast to Coast AM to get me on the radio show for a report.
[00:12:30.869 --> 00:12:33.930]  And right as we walk in, the phone rings all at once.
[00:12:34.622 --> 00:12:39.344]  The fire alarm goes off.
[00:12:39.344 --> 00:12:46.328]  And Jason Burmans did a great job sitting in while I was gone, you know, played that clip for you, uh, Thursday morning, right after it happened.
[00:12:46.328 --> 00:12:49.189]  Many of you heard it live on Coast to Coast AM.
[00:12:49.189 --> 00:12:52.131]  Before I forget, I want to thank George Norrie for his coverage.
[00:12:52.131 --> 00:12:54.032]  That gave us a lot of protection.
[00:12:54.032 --> 00:13:00.315]  There's no telling what they would have done if they weren't fully aware that we were going on that show and doing reports.
[00:13:00.315 --> 00:13:01.316]  We're very thankful to him.
[00:13:01.316 --> 00:13:02.036]  Be sure and email him.
[00:13:02.489 --> 00:13:05.751]  Thank him, all of you out there, so he knows we do appreciate it.
[00:13:05.751 --> 00:13:08.493]  And then I publicly am thanking him, because I really do appreciate it.
[00:13:08.493 --> 00:13:19.621]  The only big national media with tens of millions of listeners that covered this, kind of a break in the Berlin Wall, the iron curtain of media control.
[00:13:19.621 --> 00:13:24.404]  Absolutely no mainstream media coverage, as you know, other than Coast to Coast AM.
[00:13:24.404 --> 00:13:30.668]  And then, of course, this radio show, but really both these shows cannot be called mainstream, but his can be called mega huge, very large.
[00:13:31.374 --> 00:13:37.756]  In fact, second largest radio show in the country, 16 million listeners plus.
[00:13:37.756 --> 00:13:44.719]  But I was there, and we're in the room.
[00:13:44.719 --> 00:13:57.404]  This alarm's going off, and George is doing the news, so I sit there for about four minutes on hold while he's covering the news, before he goes to me, waiting while it drones in the background.
[00:13:57.404 --> 00:13:59.345]  We go to George, George goes to us,
[00:14:00.447 --> 00:14:10.871]  And I began to break down the fact that they had come up to us, that they had talked about fire alarms, that I believe we were in the process of being shut up.
[00:14:10.871 --> 00:14:14.633]  Then we look out the windows and see several hundred guests just in the front area.
[00:14:14.633 --> 00:14:17.594]  They were pouring out other exits as well.
[00:14:17.594 --> 00:14:20.395]  And I said, we have got to get out of here.
[00:14:20.395 --> 00:14:23.656]  We hung up with George.
[00:14:23.656 --> 00:14:24.817]  We went downstairs.
[00:14:26.864 --> 00:14:28.704]  And there are hundreds of people out front.
[00:14:28.704 --> 00:14:31.785]  There are Japanese people with still cameras taking shots.
[00:14:31.785 --> 00:14:33.705]  There's families with their video cameras out.
[00:14:33.705 --> 00:14:35.546]  There's fire trucks pulling up.
[00:14:35.546 --> 00:14:47.128]  They come right over to us in the back of the crowd and say, because Rob had a camera, a little small camera in his hand down at his side and said, don't videotape.
[00:14:47.128 --> 00:14:50.408]  I've already called the police on you for what you've done.
[00:14:50.408 --> 00:14:52.529]  And Rob says, well, what I've done, what have I done?
[00:14:52.529 --> 00:14:53.569]  And they're like, well, you know,
[00:14:54.437 --> 00:14:58.379]  Don't videotape or I'm going to F you up.
[00:14:58.379 --> 00:15:03.661]  And then I said, Rob, I walk right over to him, whisper in his ear, while the guy's the head security guard standing over us.
[00:15:03.661 --> 00:15:05.882]  He's got some government goons behind him.
[00:15:05.882 --> 00:15:08.984]  I said, Rob, get out of here now.
[00:15:08.984 --> 00:15:10.484]  Just break off.
[00:15:10.484 --> 00:15:12.725]  I'll let him take me to jail for whatever setup this is.
[00:15:12.725 --> 00:15:14.266]  Get the tapes out.
[00:15:14.266 --> 00:15:18.828]  He also always carried the backpack on his back with the tapes.
[00:15:18.828 --> 00:15:20.589]  So they can't be stolen out of the room.
[00:15:20.589 --> 00:15:22.790]  Call him the turtle because he's the guy that always carries the tapes.
[00:15:23.735 --> 00:15:30.258]  He breaks off and leaves and I go up to the guy, well actually he comes back up to me and I'm saying, listen, everybody else is taping.
[00:15:30.258 --> 00:15:34.760]  And he said, listen to me, Alex, we're going to F you and Rob up.
[00:15:34.760 --> 00:15:36.901]  Now Rob's name wasn't on the registry.
[00:15:36.901 --> 00:15:38.001]  No one knew who his name was.
[00:15:38.001 --> 00:15:39.642]  He hadn't said what his name was.
[00:15:39.642 --> 00:15:40.703]  My name wasn't registered.
[00:15:40.703 --> 00:15:43.724]  My name, but he said, listen, Alex, we will F you and Rob up.
[00:15:43.724 --> 00:15:47.485]  And he was just looking at me with pure hatred.
[00:15:47.485 --> 00:15:48.406]  So they knew who we were.
[00:15:49.836 --> 00:15:53.019]  And it was that same individual with another person.
[00:15:53.019 --> 00:15:58.965]  He didn't do the talking about the fire alarm, just 25 minutes before that.
[00:15:58.965 --> 00:16:10.217]  So, you can make of that what you will, but that was definitely some type of staged event.
[00:16:10.217 --> 00:16:13.440]  We then went back to the room, went to sleep about 2 in the morning,
[00:16:14.065 --> 00:16:22.347]  Got up about seven, videotaped some of the Bilderberg group arriving before the hotel was even completely shut down as the guests are leaving.
[00:16:22.347 --> 00:16:24.688]  One individual we believe is a Spanish government official.
[00:16:24.688 --> 00:16:25.248]  We know who he is.
[00:16:25.248 --> 00:16:28.089]  We've got to watch the video and confirm it all before we announce it.
[00:16:28.089 --> 00:16:30.910]  They play the national anthem of Spain.
[00:16:30.910 --> 00:16:31.950]  Some other people arrive.
[00:16:31.950 --> 00:16:43.193]  There's all these black SUVs and black Cadillacs and armored Cadillacs and State Department tags and big huge Ford trucks with cabs on the back with guys with MP5 submachine guns in the back.
[00:16:45.658 --> 00:16:46.019]  I think?
[00:17:05.362 --> 00:17:07.484]  Three floors, excuse me.
[00:17:07.484 --> 00:17:11.727]  Every room, every conference room was just filled with spooks and people with computers and equipment.
[00:17:11.727 --> 00:17:13.788]  And they would always run out and question us.
[00:17:13.788 --> 00:17:15.730]  But I thought, literally, I wasn't on a mission then.
[00:17:15.730 --> 00:17:25.897]  I thought, I'll just go into the gift shop and get some Gatorade and maybe a newspaper.
[00:17:25.897 --> 00:17:30.200]  And I walk in there and there's a conference room that's in the back.
[00:17:30.200 --> 00:17:33.422]  There's a door to a conference room in the back and it says, conference room closed.
[00:17:33.422 --> 00:17:34.223]  The door is open.
[00:17:36.641 --> 00:17:54.317]  Part of the way, and there's all these guys with shaved heads, but they all look like 45 to 55 years of age, with a few women, few office women, look like about 45 to 50, milling around arguing about, well, you've got to bring in that satellite there, and you've got to run it through that telecom system.
[00:17:54.317 --> 00:17:56.139]  Well, in the Army, we don't do it that way.
[00:17:56.139 --> 00:18:00.443]  We're, you know, the systems we have with a CMR, QX-9er, you know, they were using technical terms.
[00:18:01.530 --> 00:18:03.311]  That's a hypothetical one I just threw out.
[00:18:03.311 --> 00:18:05.291]  You know, you can't run that many feeds through it.
[00:18:05.291 --> 00:18:07.492]  Well, that's not how the Air Force does it.
[00:18:07.492 --> 00:18:09.553]  And we're running those feeds through right now.
[00:18:09.553 --> 00:18:10.873]  Hold on, I've got one of them.
[00:18:10.873 --> 00:18:13.854]  They're in this wing of the building right now.
[00:18:13.854 --> 00:18:16.555]  Put our people on them.
[00:18:16.555 --> 00:18:18.996]  Is that guy part of our security detail?
[00:18:18.996 --> 00:18:20.877]  And so they had all the phones being listened to.
[00:18:20.877 --> 00:18:22.337]  They were tracking everybody.
[00:18:22.337 --> 00:18:24.278]  And that was just one room.
[00:18:24.278 --> 00:18:29.400]  And I had a hidden camera that looked like a stick of bubble gum, a package of Wrigley's gum.
[00:18:29.400 --> 00:18:29.800]  It shoots
[00:18:30.464 --> 00:18:32.585]  Really cruddy video, but gets decent audio.
[00:18:32.585 --> 00:18:36.586]  So I flipped that on and did even catch part of it.
[00:18:36.586 --> 00:18:41.087]  They see me, they close the door, act like I'm browsing the different juices and things.
[00:18:41.087 --> 00:18:45.089]  I go over, buy that, buy a newspaper, go back over.
[00:18:45.089 --> 00:18:46.349]  This is the type of stuff we have.
[00:18:46.349 --> 00:18:47.269]  So much footage.
[00:18:47.269 --> 00:18:50.190]  Took an army just to go through it.
[00:18:50.190 --> 00:18:55.452]  All of these people are scrambling around all over the building.
[00:18:55.452 --> 00:18:59.573]  To make a long story short, we go and we get in our cars, we check out.
[00:19:01.383 --> 00:19:13.046]  As we start rolling out of the parking lot, a government-plated, whatever the large new Dodge sedans are, jets up right on our tail.
[00:19:13.046 --> 00:19:26.270]  A big SUV, a blue, dark blue SUV with flashing police lights, pulls up with guys with MP5 submachine guns in front of us, seeing if it would scare us and make us run, looking at us with smiles on their faces.
[00:19:27.495 --> 00:19:29.916]  Two more big trucks come pulling up to block us.
[00:19:29.916 --> 00:19:31.957]  We just sit there staring at them for about a minute.
[00:19:31.957 --> 00:19:34.238]  They pull off, let us through.
[00:19:34.238 --> 00:19:36.939]  I'll tell you what happened after that when we get back.
[00:19:36.939 --> 00:19:40.300]  And Jim Tucker's coming up.
[00:19:40.300 --> 00:19:41.520]  I'm gonna debrief everybody.
[00:19:41.520 --> 00:19:42.901]  I'm gonna break it down here.
[00:19:42.901 --> 00:19:50.244]  I'm gonna spill my guts and tell the story of what happened all the way down to my wife getting a vicious phone call yesterday afternoon.
[00:19:50.244 --> 00:19:50.664]  Stay with us.
[00:19:54.090 --> 00:19:57.871]  Hi, this is Alex Jones, and I want to talk to you about the high price of gasoline.
[00:19:57.871 --> 00:20:02.572]  It's no secret that gasoline quality is poor, even though we're paying record prices at the pump.
[00:20:02.572 --> 00:20:07.873]  I have run across a company called SFR, who has developed two products that improve gas mileage.
[00:20:07.873 --> 00:20:19.096]  Instead of paying a mechanic as much as $300 to clean your injection system, Protecta Complete Fuel System Treatment cleans to 95% of new engine condition, improving mileage in only one tank full.
[00:20:19.096 --> 00:20:21.457]  Protecta Engine Treatment not only reduces friction,
[00:20:21.877 --> 00:20:23.917]  But it extends the life of your engine.
[00:20:23.917 --> 00:20:24.818]  Let's face it.
[00:20:24.818 --> 00:20:27.658]  With the high price of gasoline, it's time to take action.
[00:20:27.658 --> 00:20:35.680]  Purchase a protective fuel system treatment for only $9.95 and receive a free engine treatment which is a $12.95 value free.
[00:20:35.680 --> 00:20:37.960]  Call 888-USE-SFR1.
[00:20:37.960 --> 00:20:45.162]  That number again is 888-USE-SFR1 or check them out online at oilcompanysecret.com.
[00:20:45.162 --> 00:20:47.322]  That's oilcompanysecret.com.
[00:20:47.322 --> 00:20:49.683]  Satisfaction is guaranteed or your money back.
[00:20:50.163 --> 00:20:51.607]  And it's safe for all cars.
[00:20:51.607 --> 00:20:52.128]  Act now.
[00:20:54.147 --> 00:21:07.291]  And now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:21:07.291 --> 00:21:18.354]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions and the true perpetrators of the horrendous crime are brought to justice.
[00:21:18.354 --> 00:21:20.595]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:21:21.775 --> 00:21:23.536]  From hijackers being trained at U.S.
[00:21:23.536 --> 00:21:29.659]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:21:29.659 --> 00:21:35.082]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:21:35.082 --> 00:21:44.867]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:21:45.307 --> 00:21:47.928]  We're in a no-holds-barred information war.
[00:21:47.928 --> 00:21:54.191]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:21:54.191 --> 00:21:55.972]  Ted Enners from Midas, June 9, 2008.
[00:21:55.972 --> 00:21:56.292]  Gold, $8.98.
[00:21:56.292 --> 00:21:59.933]  Ounce gold coins can be purchased for $9.24, $12.00, $4.55, $20.00 per half, $2.27, $60.00 per quarter.
[00:22:03.939 --> 00:22:08.763]  That's 9, 24, 12, 4, 55, 20, and 2, 27, 60.
[00:22:08.763 --> 00:22:14.568]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:22:14.568 --> 00:22:18.311]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:22:18.311 --> 00:22:19.973]  Bad news for US currency.
[00:22:19.973 --> 00:22:22.315]  China and Japan hold large positions in dollar.
[00:22:22.315 --> 00:22:23.656]  Trading equals permanent loss.
[00:22:23.976 --> 00:22:26.198]  Dollars fall into 65% of Euro.
[00:22:26.198 --> 00:22:27.459]  Erosion accelerates.
[00:22:27.459 --> 00:22:30.181]  Countries despise imperialistic policy of US.
[00:22:30.181 --> 00:22:32.243]  Loss of confidence causing more selling.
[00:22:32.243 --> 00:22:34.965]  GAO is warning about the debt spiraling out of control.
[00:22:34.965 --> 00:22:36.046]  Why attack Iran?
[00:22:36.046 --> 00:22:40.670]  Jérôme Corsi's Iran leads attack against the US dollar document spells it out.
[00:22:40.670 --> 00:22:43.172]  Call 800-686-2237.
[00:22:43.172 --> 00:22:46.815]  The value of your hard-earned money is being destroyed in a global game of chess.
[00:22:46.815 --> 00:22:48.536]  Call 800-686-2237 for Corsi's report today.
[00:22:48.536 --> 00:22:48.816]  That's 800-686-2237.
[00:22:55.492 --> 00:23:01.577]  Did you know the accumulation of acidic waste in the body is the single largest cause of disease such as cancer or diabetes?
[00:23:01.577 --> 00:23:07.522]  Acidic waste is created by the types of food we eat, what we drink, the environment, and our high-stress lifestyles.
[00:23:07.522 --> 00:23:11.686]  It's these choices that cause decreased energy, weight gain, and eventually disease.
[00:23:11.686 --> 00:23:16.590]  The easiest way to reduce disease-causing acidic waste is by drinking alkaline ionized water.
[00:23:16.830 --> 00:23:25.339]  At SnyderHealth.com, we offer a full line of alkaline water ionizers from Jupiter Science, the leader in water ionization technology for over 25 years.
[00:23:25.339 --> 00:23:35.289]  Instantly transform ordinary tap water into clean, living, energized water containing alkaline minerals, disease-fighting antioxidants, and highly absorbable oxygen.
[00:23:35.589 --> 00:23:40.792]  Now you can easily and effectively rid your body of harmful acidic waste with alkaline ionized water.
[00:23:40.792 --> 00:23:45.135]  Let SnyderHealth.com provide the water ionizer that's right for you and your family.
[00:23:45.135 --> 00:23:49.138]  Call us today at 877-356-2508 and visit us online at SnyderHealth.com.
[00:23:49.138 --> 00:23:49.958]  That's SnyderHealth.com.
[00:24:19.454 --> 00:24:21.496]  So we are trying to get out of the hotel now.
[00:24:21.496 --> 00:24:23.617]  It's about a hundred and fifty yard drive out of
[00:24:48.809 --> 00:24:54.954]  of the wooded complex from the main front of the building.
