[00:00:27.172 --> 00:00:28.052]  News.
[00:02:55.299 --> 00:02:57.081]  I'm not doing this to fail!
[00:02:57.081 --> 00:03:00.744]  I am here to take on the New World Order!
[00:03:00.744 --> 00:03:02.045]  I am committed!
[00:03:02.045 --> 00:03:04.306]  And nothing on Earth's gonna stop me!
[00:03:04.306 --> 00:03:08.069]  Long after I'm dead, if they strike me down, or set me up.
[00:03:08.069 --> 00:03:08.470]  Long after.
[00:03:14.890 --> 00:03:19.471]  My information, the words, the videos, the work I've done will continue on.
[00:03:19.471 --> 00:03:24.013]  And no amount of debunking or demonization will stop it!
[00:03:24.013 --> 00:03:28.354]  And I tell ya, a job well done, a job completed, is a good feeling.
[00:03:28.354 --> 00:03:30.194]  Does that mean I don't have other jobs to do?
[00:03:30.194 --> 00:03:30.494]  No.
[00:03:30.494 --> 00:03:32.755]  But we've exposed that they carried out the attacks.
[00:03:32.755 --> 00:03:36.356]  The majority of people worldwide now know it.
[00:03:36.356 --> 00:03:39.897]  While I was on vacation, I was doing some internet surfing and I saw a clip of John Bolton
[00:03:41.246 --> 00:03:42.267]  The head U.S.
[00:03:42.267 --> 00:03:47.489]  Ambassador to the United Nations calling for the firing of a U.N.
[00:03:47.489 --> 00:03:57.734]  Human Rights Commission head over the fact that 9-11 should be investigated as a possible false flag-staged event.
[00:03:57.734 --> 00:04:05.118]  And he went on to say, I know this is the majority view at the United Nations, but he's the only guy that had the nerve to come out and say it.
[00:04:05.118 --> 00:04:06.959]  He needs to be fired.
[00:04:06.959 --> 00:04:10.161]  You see, they, the wicked, end up telling the truth sometimes.
[00:04:10.982 --> 00:04:16.245]  It's the majority in our government, the majority in foreign governments, the majority even in their own global government.
[00:04:16.245 --> 00:04:17.606]  The average person at the U.N.
[00:04:17.606 --> 00:04:18.886]  means well.
[00:04:18.886 --> 00:04:20.027]  The average person at the U.N.
[00:04:20.027 --> 00:04:26.650]  comes from a wealthy family and went and joined it because they believe they're being humanitarian, they're compartmentalized and don't see what's happening.
[00:04:26.650 --> 00:04:28.191]  The average Republican's good.
[00:04:28.191 --> 00:04:29.612]  The average Democrat's good.
[00:04:29.612 --> 00:04:33.174]  The average Labor Party, uh, minion is good.
[00:04:33.174 --> 00:04:35.435]  The average minion following the Tories is good.
[00:04:36.249 --> 00:04:39.332]  The average person in the German Socialist Party means well.
[00:04:39.332 --> 00:04:42.294]  The average person in the German Conservative Party means well.
[00:04:42.294 --> 00:04:43.875]  They don't have the full picture.
[00:04:43.875 --> 00:04:45.777]  We do, ladies and gentlemen!
[00:04:45.777 --> 00:04:51.782]  And we've got the courage to look in to the New World Order and to face what we find in their dungeons.
[00:04:51.782 --> 00:04:54.544]  And let me tell you, it ain't pretty.
[00:04:54.544 --> 00:04:58.107]  And it's even harder to gut up to the point to fight them.
[00:04:58.107 --> 00:05:03.332]  But it's a good feeling after you've been fighting them a long time and you're already committed and you know there's no turning back.
[00:05:03.332 --> 00:05:04.553]  That's a good feeling.
[00:05:05.416 --> 00:05:11.078]  Ladies and gentlemen, ultra-massive 9-11 news, ultra-massive Second Amendment news.
[00:05:11.078 --> 00:05:15.099]  The Supreme Court's gonna release the ruling today, or tomorrow.
[00:05:15.099 --> 00:05:20.220]  Ultra-massive energy news, ultra-massive attacks on the internet news.
[00:05:20.220 --> 00:05:23.381]  They are now materializing as we told you they would.
[00:05:23.381 --> 00:05:25.882]  This is gonna be a transmission you won't forget.
[00:05:25.882 --> 00:05:30.023]  And then Jordan Maxwell, one of the granddaddies of fighting the New World Order, for two hours.
[00:05:31.021 --> 00:05:41.104]  Our beloved- Kim trails in the air, genetically modified clone processed food, poison water, radiation, and stress have reduced many of you into toxic cyber blobs.
[00:05:41.104 --> 00:05:43.905]  You can't go on like this, and I know you don't want to.
[00:05:43.905 --> 00:05:48.846]  Do yourself a favor, do your country a favor, be the best you can be, and start taking ENNERFOOD now!
[00:05:50.023 --> 00:05:53.944]  Enterfood is easy to prepare and cheaper than a cup of coffee to take every day.
[00:05:53.944 --> 00:05:59.166]  And speaking of coffee, Enterfood.com has the best all-organic fresh coffee ever.
[00:05:59.166 --> 00:06:07.710]  It's fair trade coffee infused with rainforest polysaccharides to, like Enterfood, improve your immune system and not destroy it.
[00:06:07.710 --> 00:06:10.891]  If coffee's not your thing, try the all-organic Coco Mojo.
[00:06:12.153 --> 00:06:14.434]  Enterfood is spelled E-N-E-R.
[00:06:14.434 --> 00:06:17.775]  Enterfood.com or give them a call at 866-762-9238.
[00:06:17.775 --> 00:06:24.578]  Mention WTPRN and save 10%.
[00:06:24.578 --> 00:06:28.019]  Try Enterfood because you can't be awake when you're always falling asleep.
[00:06:34.863 --> 00:06:44.889]  Now you and your friends and family can enjoy the sweetest, cleanest drinking water anytime, even while traveling, camping, at sporting events, or in emergency situations.
[00:06:44.889 --> 00:06:51.394]  The Berkey Light removes bacteria, cysts, parasites, and harmful chemicals to below detectable levels.
[00:06:51.394 --> 00:06:57.738]  It reduces nitrates and unhealthy minerals like lead and mercury, yet leaves in the nutritional minerals your body needs.
[00:06:58.078 --> 00:07:03.563]  The Berkey Light is so powerful it can purify raw, untreated water from remote sources.
[00:07:03.563 --> 00:07:06.805]  The optional PF2 filter even removes fluoride.
[00:07:06.805 --> 00:07:13.651]  The Berkey Light has a rechargeable LED lighting system and an elevated base for use in places other than a countertop.
[00:07:13.651 --> 00:07:22.298]  To get your Berkey system, please visit We The People Radio Network at WTPRN.com and click the Berkey banner or call 512-646-6444.
[00:07:26.021 --> 00:07:28.648]  That's WTPRN.com or call 512-646-6444.
[00:07:33.072 --> 00:07:33.893]  Collectors.
[00:07:33.893 --> 00:07:35.314]  Outdoor enthusiasts.
[00:07:35.314 --> 00:07:36.235]  Survivalists.
[00:07:36.235 --> 00:07:39.698]  The Army-Navy store from your memory as a child is just that, a memory.
[00:07:39.698 --> 00:07:44.063]  But there is still one place to find everything, from gas masks to ammo cans, and find it cheap.
[00:07:44.063 --> 00:07:45.424]  MainMilitary.com.
[00:07:45.424 --> 00:07:51.970]  Get hard-to-find objects, like real-world blankets for under $20, canteens for just $2, or trioxane fuel for just $1 a box.
[00:07:51.970 --> 00:07:53.612]  M-A-I-N-E-Military.com.
[00:07:53.612 --> 00:07:55.294]  With free shipping on items over $150.
[00:07:56.815 --> 00:07:57.876]  Not including heavy items.
[00:08:26.835 --> 00:08:28.216]  Alex Jones on the GCN Radio Network.
[00:08:28.216 --> 00:08:30.918]  In 22 minutes we're going to have Jason Burmiss in the studio with us for one key segment.
[00:08:55.100 --> 00:08:56.281]  On major breaking 9-11 news.
[00:08:56.281 --> 00:09:02.124]  I'll tell you about that in a moment.
[00:09:02.124 --> 00:09:05.086]  The Supreme Court is meeting as we speak.
[00:09:05.086 --> 00:09:07.387]  They've been meeting for two hours.
[00:09:07.387 --> 00:09:11.830]  They are making verbal statements on written
[00:09:12.953 --> 00:09:18.234]  Uh, rulings that is scheduled to be released either later this afternoon or tomorrow.
[00:09:18.234 --> 00:09:21.455]  Sometimes they wait till the next day for some reason.
[00:09:21.455 --> 00:09:25.536]  I spent quite a bit of the morning looking into that, the history of their rulings.
[00:09:25.536 --> 00:09:29.717]  It will probably be out in the next few hours.
[00:09:29.717 --> 00:09:34.818]  In fact, the media may be getting it now and putting their spin on it.
[00:09:34.818 --> 00:09:37.399]  This is what will happen.
[00:09:37.399 --> 00:09:41.000]  They will come out, it will be announced within hours, if not by tomorrow.
[00:09:42.080 --> 00:09:46.782]  Uh, and they will say, victory for the Second Amendment, court strikes down D.C.
[00:09:46.782 --> 00:09:48.223]  gun ban.
[00:09:48.223 --> 00:09:53.025]  But then it will say, but you're allowed to restrict the Second Amendment under law.
[00:09:53.025 --> 00:09:54.705]  And then it's over.
[00:09:54.705 --> 00:09:55.906]  It's all over.
[00:09:55.906 --> 00:09:57.887]  They're coming.
[00:09:57.887 --> 00:10:01.188]  And the fight, I guess, is gonna begin politically or maybe even physically.
[00:10:03.335 --> 00:10:09.137]  They've never had a federal court ruling, they've never had a Supreme Court ruling saying it is an individual right.
[00:10:09.137 --> 00:10:19.780]  The previous ruling said it's an absolute right, cannot be infringed, cannot be touched, cannot be altered.
[00:10:19.780 --> 00:10:28.862]  We have seen the Congress strike down the Fourth Amendment in entirety last week.
[00:10:28.862 --> 00:10:30.703]  We saw the Supreme Court come out and say,
[00:10:33.154 --> 00:10:49.402]  Detainees, after months and months being held, get to see a secret federal judge, which itself is a total attack on habeas corpus, the great writ, every basic canon of a free society, classical tyranny.
[00:10:49.402 --> 00:10:50.683]  And that's a propaganda move.
[00:10:50.683 --> 00:10:52.924]  The Supreme Court is told what to do.
[00:10:52.924 --> 00:10:58.907]  They're totally controlled, and that's even come out in Minute Minute by the executive that fronts for the shadow government itself, a puppet.
[00:10:59.940 --> 00:11:02.941]  So they come out and Bush says, oh, I'm so mad at you, Supreme Court.
[00:11:02.941 --> 00:11:05.162]  Oh, you're so bad siding with the Al Qaeda.
[00:11:05.162 --> 00:11:09.044]  And people think, oh, they're a liberal, good court.
[00:11:09.044 --> 00:11:11.125]  Liberal when it comes to the Bill of Rights and Constitution.
[00:11:11.125 --> 00:11:13.306]  Total balderdash.
[00:11:13.306 --> 00:11:15.667]  The term liberal conservative again means nothing.
[00:11:15.667 --> 00:11:20.949]  Democrats come after your guns, your land, your property, your free speech.
[00:11:20.949 --> 00:11:22.950]  The Republicans do all the same.
[00:11:22.950 --> 00:11:24.871]  And then they have a phony fight between themselves.
[00:11:30.885 --> 00:11:33.527]  I was thinking about the Supreme Court early this morning at about 7 a.m.
[00:11:33.527 --> 00:11:59.242]  and then I got into the office and a few hours ago, get ready here at the office today, and they had unannounced, that's how they do it, just suddenly said we're meeting today to release our rulings, not just on the Second Amendment, but on a bunch of other things, and I was reading over the decisions they're about to release, it goes from bad to worse, and I was thinking about how
[00:12:00.650 --> 00:12:10.813]  I was two weeks ago at the Supreme Court building, and the cops came out and told us we couldn't videotape the facade, and I had to tell them it was a free country and I was allowed to.
[00:12:10.813 --> 00:12:13.474]  They said, well, you're not allowed to get up on the steps then with your camera.
[00:12:13.474 --> 00:12:15.314]  And I said, all those people have cameras.
[00:12:15.314 --> 00:12:17.955]  And they said, well, we can tell you're a professional.
[00:12:17.955 --> 00:12:20.756]  And they said, you're not allowed to.
[00:12:22.386 --> 00:12:26.068]  And I said to the guy, basically, look, you're going to just have to arrest me.
[00:12:26.068 --> 00:12:27.629]  I'm going to go up there with my handheld camera.
[00:12:27.629 --> 00:12:32.831]  You can say no tripod, no big camera, but you can't selectively enforce I'm going to go up there.
[00:12:32.831 --> 00:12:36.313]  And I walk up on the big steps, all the way up to the top, I'm videotaping the front doors.
[00:12:36.313 --> 00:12:39.475]  You'll see clips of this in some upcoming films.
[00:12:39.475 --> 00:12:43.397]  All the little occultic owls and devils carved in on the walls.
[00:12:43.397 --> 00:12:51.561]  And there's these big bronze doors shining in the sun, about 110 degrees up on the marble, because it was 100 degrees out there, record Virginia heat for that time of year.
[00:12:52.489 --> 00:12:54.430]  While we were covering Bilderberg, we'd also run into D.C.
[00:12:54.430 --> 00:13:04.837]  and get footage of the buildings and were harassed as slaves of an imperial corrupt system everywhere, and watch citizens being harassed everywhere, orders being barked and treated like animals.
[00:13:04.837 --> 00:13:08.940]  It's all part of the enslavement, all part of the training.
[00:13:08.940 --> 00:13:14.063]  And this huge black cop comes out mad.
[00:13:14.063 --> 00:13:18.706]  You know, the cop down the steps, the white cop,
[00:13:19.633 --> 00:13:23.754]  You know, had told me I couldn't film and I just basically had to bull my way through.
[00:13:23.754 --> 00:13:26.055]  This guy comes out and says, what are you doing filming?
[00:13:26.055 --> 00:13:38.559]  And I hear about, so I turn and I hit my shin through my jeans so hard on the foot, tall foot, the, the, the, the, the foot of the pillar.
[00:13:38.559 --> 00:13:43.060]  And it gashes my shin and blood starts pouring out.
[00:13:43.060 --> 00:13:45.901]  You can see, you know, through my jeans and, uh,
[00:13:48.513 --> 00:13:55.534]  But I was so busy arguing with him about my First Amendment, and then trying to get out of there, that I didn't even really notice it.
[00:13:55.534 --> 00:13:59.855]  But it was kind of like this morning, I was thinking about how the Supreme Court bit me, in a way.
[00:13:59.855 --> 00:14:04.596]  You know, because being harassed by them made me make that quick turn and that move into the pillar.
[00:14:04.596 --> 00:14:10.257]  And it was almost like spiritual, or... I don't even know what it means.
[00:14:10.257 --> 00:14:11.837]  I mean, it probably means nothing.
[00:14:11.837 --> 00:14:14.477]  Kind of an omen.
[00:14:14.477 --> 00:14:17.638]  About how evil this institution is, and how bad this institution is.
[00:14:18.154 --> 00:14:25.955]  The corruption, the 50 million dead babies it's responsible for just in the last 34 years, 35 years.
[00:14:25.955 --> 00:14:30.896]  And how that was really the real fall of this country, the devaluation of human life down to that point.
[00:14:30.896 --> 00:14:38.738]  Now the euthanasia of the old and the infirm and the wars and the murders and Mike Reagan talking about sexually murdering children.
[00:14:38.738 --> 00:14:41.038]  I played that clip last night.
[00:14:41.038 --> 00:14:42.599]  I'd heard he'd made the comment.
[00:14:42.599 --> 00:14:43.359]  I couldn't believe it.
[00:14:43.359 --> 00:14:45.219]  And he talked about sexually murdering them.
[00:14:46.158 --> 00:14:50.579]  That's what they do at Camp X-Ray and that's what they do at Gitmo.
[00:14:50.579 --> 00:14:52.740]  That's what they, there's two camps within X-Ray.
[00:14:52.740 --> 00:14:56.221]  That's what they do at Guantanamo Bay.
[00:14:56.221 --> 00:14:58.821]  That's what they do at Abu Ghraib.
[00:14:58.821 --> 00:15:05.063]  That's in the training manuals, how to, well, you know, the acid and the objects.
[00:15:05.063 --> 00:15:06.903]  So Mike Reagan, of course, is obsessed with all that.
[00:15:06.903 --> 00:15:08.504]  They are a cult.
[00:15:08.504 --> 00:15:12.445]  He talked about how he wanted to murder the children.
[00:15:14.525 --> 00:15:21.908]  By, uh, I'm not even gonna say, I mean, you can't even say it on air, but, um, I don't know.
[00:15:21.908 --> 00:15:25.649]  I was just thinking about the Supreme Court this morning and I thought, when's that ruling going to come out?
[00:15:25.649 --> 00:15:30.151]  They won't say they always just spring it on people.
[00:15:30.151 --> 00:15:43.796]  And I remember thinking in the shower, man, they, um, they just came out with a Congress saying there's no fourth amendment for any citizens for no one will all be tracked and traced and controlled.
[00:15:45.247 --> 00:15:48.448]  They've got to do that retroactively.
[00:15:48.448 --> 00:15:52.109]  And then I came in and there it was, the Supreme Court attacking us all.
[00:15:52.109 --> 00:15:55.710]  But again, they're masters at making you think everything's okay.
[00:15:55.710 --> 00:15:56.370]  Pacifying.
[00:15:56.370 --> 00:15:59.611]  You will hear it today or tomorrow.
[00:15:59.611 --> 00:16:01.032]  A victory tonight.
[00:16:01.032 --> 00:16:03.493]  Controversial ruling by the Supreme Court.
[00:16:03.493 --> 00:16:06.494]  Supreme Court rules that strikes down D.C.
[00:16:06.494 --> 00:16:09.334]  gun ban.
[00:16:09.334 --> 00:16:10.715]  Coming up live at 5.
[00:16:13.089 --> 00:16:21.795]  Controversial Supreme Court ruling today says that citizens give citizens some right to bear arms.
[00:16:21.795 --> 00:16:23.836]  That'll be the variant.
[00:16:23.836 --> 00:16:29.060]  But other newscasts will just say big victory for the NRA.
[00:16:29.060 --> 00:16:39.927]  They never make it about the people or our rights because it balkanizes us better psychologically with behavioral psychology just to say
[00:16:41.917 --> 00:16:52.785]  NRA, when they're actually an anti-gun group working from the inside to destroy it and to pacify millions of people that would be active in the quest to defend the Second Amendment.
[00:16:52.785 --> 00:16:54.366]  You will hear it today!
[00:16:54.366 --> 00:17:06.435]  By the way, I told everybody what Michael Reagan was going to say when he had Mark Dice on last Tuesday, but I was on vacation, so I didn't hear what was said until I got home Friday.
[00:17:07.782 --> 00:17:10.564]  And I did go listen and it was exactly what I said.
[00:17:10.564 --> 00:17:24.193]  Go get the recording of me last Monday saying what Michael Reagan would say and then go, somebody on YouTube can do this, go and get the Mike Reagan and it's word for word what I said.
[00:17:24.193 --> 00:17:25.534]  Now this isn't because I'm smart.
[00:17:25.534 --> 00:17:26.915]  This isn't because I'm great.
[00:17:26.915 --> 00:17:29.497]  This isn't because it's I understand the enemy.
[00:17:29.497 --> 00:17:31.438]  They have a playbook, ladies and gentlemen.
[00:17:32.910 --> 00:17:39.739]  It's just like watching the team you hate, you love to hate, in football, and you know what the coach is going to call.
[00:17:39.739 --> 00:17:43.324]  Nine times out of ten, I know their playbook.
[00:17:43.324 --> 00:17:49.573]  And I said he would come on and say, I've been visiting with the troops in the last few days, and it was so upsetting.
[00:17:50.583 --> 00:18:08.518]  You know, they said they love the war and to keep it up, and they'd love to sacrifice, and they just love America, and I just got emotional and said, kill all the 9-11 truthers, and, you know, what they're doing is wrong and is treason, but, you know, I still shouldn't talk like that, and I'm sorry.
[00:18:08.518 --> 00:18:11.861]  Exact words were said.
[00:18:11.861 --> 00:18:15.684]  I know these demons' minds.
[00:18:15.684 --> 00:18:17.525]  I understand their weakness.
[00:18:17.525 --> 00:18:19.267]  I know who they are, okay?
[00:18:20.174 --> 00:18:24.256]  Now let me tell you what you will hear exactly today.
[00:18:24.256 --> 00:18:28.478]  And if I'm wrong, and I'm occasionally wrong, maybe one out of a hundred times I'm wrong.
[00:18:28.478 --> 00:18:29.418]  Literally.
[00:18:29.418 --> 00:18:31.119]  Maybe less than one out of a hundred.
[00:18:31.119 --> 00:18:32.179]  This is what you're gonna hear.
[00:18:32.179 --> 00:18:41.783]  You're gonna hear three different variants today or tomorrow, whenever they decide to release what they've already have decided on.
[00:18:41.783 --> 00:18:48.486]  Big victory for the NRA and anti-gun control groups.
[00:18:51.733 --> 00:18:53.794]  Supreme Court strikes down D.C.
[00:18:53.794 --> 00:18:56.515]  gun ban.
[00:18:56.515 --> 00:19:03.299]  They will then cut to someone saying, it's horrible, we're gonna have more mass shootings, it's terrible.
[00:19:03.299 --> 00:19:08.861]  Then they'll cut to somebody saying, I think it's great.
[00:19:08.861 --> 00:19:14.564]  And they'll cut to an image of a guy with machine guns behind him at a gun shop to look shocking and like an arsenal to people.
[00:19:15.296 --> 00:19:18.799]  I mean, let me tell you exactly, exactly what you're going to see.
[00:19:18.799 --> 00:19:22.681]  They're going to come out, and they're going, and it's because it's a formula, folks.
[00:19:22.681 --> 00:19:24.242]  They're running it, the government.
[00:19:24.242 --> 00:19:28.065]  CBS Broadcast Center runs four of the networks out of New York alone.
[00:19:28.065 --> 00:19:34.590]  They send feeds to your local station, and then they just newsread over the top of it to give it a local look.
[00:19:34.590 --> 00:19:36.531]  Now, let me tell you again.
[00:19:36.531 --> 00:19:39.413]  They're going to say, big victory for the NRA.
[00:19:39.413 --> 00:19:40.554]  They won't say Second Amendment.
[00:19:40.554 --> 00:19:45.057]  They'll disassociate it from a general right, because other rights are popular.
[00:19:48.780 --> 00:19:52.483]  Those will try to politicize it, they'll try to make it partisan.
[00:19:52.483 --> 00:20:04.812]  Then, they will at the end of it say, well, you do have a right to own guns unless prescribed by law, but the government can restrict and can make controls on.
[00:20:04.812 --> 00:20:11.597]  And then they'll act like that's extreme, and then a reign of anti-gun terror will begin.
[00:20:11.597 --> 00:20:14.399]  They didn't triple the size of the BATF for nothing.
[00:20:15.259 --> 00:20:22.050]  Now, you will have guys at the local gun shop argue with you and say that it was a victory and tell you you're wrong.
[00:20:22.050 --> 00:20:26.577]  So see, we're up against very hard times.
[00:20:26.577 --> 00:20:26.978]  Stay with us.
[00:20:32.438 --> 00:20:38.521]  Did you know the accumulation of acidic waste in the body is the single largest cause of disease such as cancer or diabetes?
[00:20:38.521 --> 00:20:44.463]  Acidic waste is created by the types of food we eat, what we drink, the environment, and our high-stress lifestyles.
[00:20:44.463 --> 00:20:48.625]  It's these choices that cause decreased energy, weight gain, and eventually disease.
[00:20:48.625 --> 00:20:53.507]  The easiest way to reduce disease-causing acidic waste is by drinking alkaline ionized water.
[00:20:53.727 --> 00:20:54.168]  We're good to go.
[00:21:08.848 --> 00:21:09.788]  It is a big idea.
[00:21:09.788 --> 00:21:10.388]  A new world order.
[00:21:10.388 --> 00:21:10.969]  In the near future.
[00:21:37.583 --> 00:21:40.645]  Earth is dominated by a powerful world government.
[00:21:40.645 --> 00:21:43.467]  It's known as the Bilderberg Group.
[00:21:43.467 --> 00:21:46.269]  Could their objective be world domination?
[00:21:46.269 --> 00:21:49.451]  For thousands of years, their dark order grew.
[00:21:49.451 --> 00:21:56.776]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:59.790 --> 00:22:05.254]  For the first time in history, the elite's plan for world government is blown wide open.
[00:22:05.254 --> 00:22:09.096]  You will learn the secret that drives the entire New World Order agenda.
[00:22:09.096 --> 00:22:11.678]  The Overlord is making great progress toward a world government.
[00:22:11.678 --> 00:22:12.839]  Most people have no idea.
[00:22:12.839 --> 00:22:13.619]  They're not after money.
[00:22:13.619 --> 00:22:14.920]  They have all the money they need.
[00:22:14.920 --> 00:22:15.661]  They're after power.
[00:22:15.661 --> 00:22:17.042]  That's what they're after these years.
[00:22:17.042 --> 00:22:25.747]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:22:25.747 --> 00:22:28.549]  Endgame, blueprint for global enslavement.
[00:22:28.549 --> 00:22:29.630]  You have been warned.
[00:22:32.373 --> 00:22:33.814]  Hi, this is Ted Anderson.
[00:22:33.814 --> 00:22:39.881]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:22:39.881 --> 00:22:40.682]  That's right.
[00:22:40.682 --> 00:22:43.285]  Gold has been available to be placed in IRAs since 1986.
[00:22:43.285 --> 00:22:50.452]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:22:51.013 --> 00:22:59.137]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:22:59.137 --> 00:23:04.620]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:23:04.620 --> 00:23:10.442]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:23:10.442 --> 00:23:14.944]  Don't get left behind by rising inflation and low return on your paper investments.
[00:23:14.944 --> 00:23:15.225]  Call 800-686-2237.
[00:23:15.225 --> 00:23:17.045]  Make sure that you secure your future.
[00:23:20.287 --> 00:23:20.568]  Call 800-686-2237.
[00:23:20.568 --> 00:23:20.768]  That's 1-800-686-2237.
[00:23:31.383 --> 00:23:33.704]  Gas prices are out of control.
[00:23:33.704 --> 00:23:37.585]  Fight back by doing what thousands of listeners to the Alex Jones Show have done.
[00:23:37.585 --> 00:23:40.645]  Developed by a major oil company, a product that really works.
[00:23:40.645 --> 00:23:44.406]  Introducing SFR's Protect-to-Complete fuel system and engine treatment.
[00:23:44.406 --> 00:23:47.147]  Just one bottle increases mileage for up to six months.
[00:23:47.147 --> 00:23:50.688]  Fleet tested by major oil companies showing improvements in every car tested.
[00:23:50.928 --> 00:23:54.631]  Stop paying mechanics your hard-earned money to have your injection system cleaned.
[00:23:54.631 --> 00:24:00.495]  Protector cleans up to 95% of new injector condition in just one tankful and is safe for all cars.
[00:24:00.495 --> 00:24:07.681]  Tests conducted by General Motors conclude fuel injectors can partially plug in as little as 5,000 miles due to poor gasoline quality.
[00:24:07.961 --> 00:24:16.008]  Fight high fuel prices by purchasing a protective fuel system treatment for only $9.95 and receive an engine treatment free a $12.95 value.
[00:24:16.008 --> 00:24:18.069]  Satisfaction guaranteed or your money back.
[00:24:18.069 --> 00:24:19.951]  Go to oilcompanysecret.com.
[00:24:19.951 --> 00:24:21.933]  That's oilcompanysecret.com.
[00:24:21.933 --> 00:24:24.895]  Or call 888-USE-SFR1.
[00:24:24.895 --> 00:24:26.736]  That's 888-873-7371.
[00:24:26.736 --> 00:24:34.843]  Their credit cards will spend the rest of their lives paying 18% interest on something that costs $12.50.
[00:24:36.593 --> 00:24:39.015]  And they didn't like it when they got it home anyway.
[00:24:39.015 --> 00:24:40.115]  Not too bright, folks.
[00:24:40.115 --> 00:24:41.396]  Not too bright.
[00:24:41.396 --> 00:24:50.562]  But if you talk to one of them about this, if you isolate one of them, you sit him down rationally, you talk to him about the low IQs and the dumb behavior and the bad decisions, right away they start talking about education.
[00:24:50.562 --> 00:24:51.903]  That's the big answer to everything.
[00:24:51.903 --> 00:24:52.764]  Education.
[00:24:52.764 --> 00:24:54.465]  They say, we need more money for education.
[00:24:54.465 --> 00:24:57.727]  We need more books, more teachers, more classrooms, more schools.
[00:24:57.727 --> 00:24:59.628]  We need more testing for the kids.
[00:24:59.628 --> 00:25:03.551]  You say to them, well, you know, we've tried all of that and the kids still can't pass the test.
[00:25:04.051 --> 00:25:07.672]  He says, ah, don't you worry about that, we're going to lower the passing grades.
