[00:00:13.279 --> 00:00:14.099]  All right, folks!
[00:05:20.819 --> 00:05:28.124]  Published monthly since 1985, the Nationalist Times features outstanding writers and columnists who don't believe in taboos or sacred cows.
[00:05:28.384 --> 00:05:29.365]  Find out why the next...
[00:05:29.565 --> 00:05:30.083]  Still encoding?
[00:05:31.125 --> 00:05:32.807]  Um, I think he is still encoding, but yeah.
[00:05:33.547 --> 00:05:33.948]  But whatever.
[00:05:34.228 --> 00:05:34.668]  That's alright.
[00:05:34.688 --> 00:05:37.130]  So, do we have some... ...conservatism, but globalism.
[00:05:37.310 --> 00:05:42.194]  Globalists are concerned with what's good for the American empire instead of what's fair for the American people.
[00:05:42.334 --> 00:05:48.259]  The only antidote to the poison of globalism is nationalism, which is why you should be reading the Nationalist Times each month.
[00:05:48.499 --> 00:05:52.743]  We promote a common sense, intelligent, and passionate alternative to the reigning party line.
[00:05:52.963 --> 00:06:00.229]  Published monthly since 1985, the Nationalist Times features outstanding writers and columnists who don't believe in taboos or sacred cows.
[00:06:00.509 --> 00:06:00.809]  We're good.
[00:06:19.781 --> 00:06:44.733]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:06:45.153 --> 00:06:48.975]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:06:49.315 --> 00:06:55.836]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:06:56.197 --> 00:06:59.397]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:06:59.617 --> 00:07:07.119]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:07:07.499 --> 00:07:12.720]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:07:12.920 --> 00:07:16.621]  While you're visiting the online video store, be sure to check out the huge discounts.
[00:07:16.821 --> 00:07:17.442]  We're good to go.
[00:07:31.872 --> 00:07:36.157]  Prepare for an uncertain future with DVDs from the winner of 13 Telly Awards.
[00:07:36.277 --> 00:07:39.641]  Hoods Woods is the world leader in survival instructional videos.
[00:07:39.721 --> 00:07:48.350]  Hoods Woods produces an outstanding collection of survival DVDs from cave cooking to survival basics to home survival DVDs covering topics such as food storage.
[00:07:48.370 --> 00:07:49.851]  Alex Jones, on the GCN Radio Network.
[00:08:05.706 --> 00:08:07.587]  All right, folks, we're back at the Alex Jones Show.
[00:08:07.627 --> 00:08:08.287]  I'm Jason Burmas.
[00:08:08.307 --> 00:08:13.069]  I'm going to be with you all week, subbing in as Alex takes a much-deserved vacation.
[00:08:13.549 --> 00:08:17.311]  And we're talking to Betty about the new scanners in the airport.
[00:08:17.331 --> 00:08:21.852]  They're not so new in some places, but they're just starting to put them in in Austin, Texas and other places around the country.
[00:08:22.153 --> 00:08:25.214]  And these new scanners, of course, can see right through you.
[00:08:25.414 --> 00:08:28.795]  They see everything, you know, your kibbles and bits, everything.
[00:08:29.155 --> 00:08:30.536]  So what was the point you were making, Betty?
[00:08:30.996 --> 00:08:36.211]  Yeah, I don't know if anybody's out there or you have seen that movie Deja Vu with Denzel Washington.
[00:08:36.451 --> 00:08:36.612]  Yep.
[00:08:37.318 --> 00:08:41.641]  But that shows the right, where they can go right through the house and look through you, too, there, that-a-way.
[00:08:42.162 --> 00:08:46.365]  Well, I mean, they actually used to show that, sort of, even in Total Recall.
[00:08:46.385 --> 00:08:49.347]  It's been around for a while, an idea, and now they're really implementing it.
[00:08:49.367 --> 00:08:50.809]  It shows where technology has gone.
[00:08:51.269 --> 00:08:52.170]  I thank you for the call.
[00:08:52.730 --> 00:08:57.094]  Shifting gears, we have Stuart Howe from We Are Change LA.
[00:08:57.654 --> 00:09:03.258]  And, Stuart, I'm pretty sure that you're the one that interviewed Martin Sheen, and we're using that 9-11 Truth Rising?
[00:09:05.489 --> 00:09:06.509]  Yeah, that would be neat.
[00:09:07.210 --> 00:09:08.370]  And you've done a lot of great stuff.
[00:09:08.430 --> 00:09:09.851]  I've watched a lot of YouTube videos.
[00:09:09.871 --> 00:09:16.094]  You are truly one of the We Are Changers that is totally committed and totally involved in this movement.
[00:09:16.194 --> 00:09:23.497]  And I've seen you do everything from highway blogging to talking to people on the street to posting.
[00:09:23.517 --> 00:09:26.719]  I mean, you're a true patriot, man, and you show how it's done.
[00:09:28.024 --> 00:09:28.885]  Well, thank you, brother.
[00:09:29.525 --> 00:09:31.606]  Ditto, likewise, and back at you.
[00:09:31.686 --> 00:09:37.630]  I'm inspired and awed by everything that I see you guys doing.
[00:09:38.271 --> 00:09:39.932]  It's amazing to be a part of it.
[00:09:39.972 --> 00:09:42.654]  I'm proud to be standing shoulder-to-shoulder with so many great folks.
[00:09:43.234 --> 00:09:46.036]  Well, I mean, you guys are really one of the most active groups out there.
[00:09:46.436 --> 00:09:54.041]  So for people listening, why don't you tell them how you got started, how We Are Change has grown, and really just how much you get together.
[00:09:54.081 --> 00:09:56.563]  I mean, you guys must get together at least a dozen times a month.
[00:09:58.712 --> 00:10:00.133]  Well, we got started.
[00:10:00.693 --> 00:10:01.834]  We are Change LA.
[00:10:02.114 --> 00:10:10.259]  A group of us got together, Bruno Brewiler and Katie Kurtzman, made some calls thinking who they'd want to have in a kind of a small crew.
[00:10:10.279 --> 00:10:13.781]  We weren't really happy with the larger group efforts out here.
[00:10:15.241 --> 00:10:24.987]  We just wanted to have something small and tight, and we were very inspired by Luke and Alex, Alex Jones and everything going on in the rest of the country.
[00:10:25.615 --> 00:10:29.536]  We got together, it started out with eight or nine people, and a few have fallen off since then.
[00:10:30.076 --> 00:10:36.797]  Conflicts of interest and whatnot, but... We did our first project, which was a response to Bill Maher.
[00:10:36.817 --> 00:10:38.638]  Yeah, the video.
[00:10:39.158 --> 00:10:40.138]  And we had fun with that.
[00:10:40.158 --> 00:10:42.999]  We consciously wanted to have a different tone than we were seeing.
[00:10:43.039 --> 00:10:49.420]  We wanted it to be... You know, we're standing on the truth, and we're standing on, you know, the side of the party.
[00:10:49.620 --> 00:10:54.321]  And, you know, we didn't want to be belligerent, and we didn't want to be...
[00:10:56.380 --> 00:10:56.820]  Negative.
[00:10:56.840 --> 00:11:20.129]  You know, we wanted to kind of have some fun with it and take Bill Maher's tone and turn it back at him, and that's kind of gotten good response, so we've kind of taken a run with it, and we're trying to be as effective as you mentioned on every level that we can, and we're constantly brainstorming with our meetup group, which now has over 200 people, and we're taking inspiration from everywhere and trying to be as effective as we can.
[00:11:20.677 --> 00:11:28.043]  Well, I think you guys are one of the most effective groups, and I actually sat down and had dinner with both Katie and Bruno the last time I was in California.
[00:11:28.083 --> 00:11:28.824]  Very nice folks.
[00:11:29.084 --> 00:11:29.905]  Very effective folks.
[00:11:29.925 --> 00:11:34.589]  I mean, they were able to really pierce the mainstream media with their first action.
[00:11:35.270 --> 00:11:38.673]  And, you know, small and large, we need these actions to continue.
[00:11:39.293 --> 00:11:50.717]  And, you know, getting somebody like Martin Sheen to talk to the public really does have an effect because, unfortunately, more people listen to celebrities than they do architects and engineers, scientists.
[00:11:50.937 --> 00:11:52.538]  You know, we live in this pop culture.
[00:11:52.878 --> 00:11:58.320]  And that's why I think that Truth Rising is going to be such a... such a... I don't even know how to say it.
[00:11:58.400 --> 00:11:59.301]  It's going to be a big film.
[00:11:59.341 --> 00:12:00.601]  I think it's going to change a lot of things.
[00:12:00.621 --> 00:12:05.243]  I think it's going to motivate people to become more like you and me, Stuart.
[00:12:07.302 --> 00:12:14.048]  Well, I would hope so, and what I've seen of the film, the little clip I was able to see, got me very excited and very hopeful.
[00:12:14.789 --> 00:12:20.994]  And I think it's a great representation of what's going on, and a great motivator to get more going on.
[00:12:21.955 --> 00:12:25.918]  Absolutely, and you know, what's going on with We Are Change LA?
[00:12:25.938 --> 00:12:28.941]  What can we expect in the near future from this organization?
[00:12:30.374 --> 00:12:32.696]  Well, we've got outreach going on.
[00:12:32.736 --> 00:12:38.199]  We're putting together information packets along with the truth action and the various change chapters.
[00:12:38.239 --> 00:12:50.166]  We have a great girl out here named Cheryl and she's a graphic artist and we've all been rallying information and doing research to put together an information package for outreach to police and military and firefighters.
[00:12:50.747 --> 00:12:56.690]  So we've got that going on and that's been bolstered by a lot of the exchanges we've had with the Santa Monica Police.
[00:12:56.790 --> 00:12:57.431]  They seem to be
[00:12:58.344 --> 00:13:00.345]  On board with truth and supporting us.
[00:13:01.225 --> 00:13:02.725]  And we're trying to spread that.
[00:13:02.745 --> 00:13:05.806]  We're trying to take everything positive that we can like that and spread it.
[00:13:06.366 --> 00:13:10.907]  Through our freeway blogging, our outreaches, through actions.
[00:13:11.127 --> 00:13:15.988]  I had a talk last night with former White House Press Secretary Scott McClellan at a book signing.
[00:13:16.588 --> 00:13:16.928]  Excellent.
[00:13:17.048 --> 00:13:24.550]  And we're trying to talk with people and we're trying to put a different, a little bit differently flavored forward.
[00:13:25.394 --> 00:13:30.275]  Certainly, you know, there's a lot of times when loud and in-your-face and a bull is appropriate.
[00:13:31.096 --> 00:13:34.817]  On that note, it was excellent to be able to stand with everybody at Bilderberg.
[00:13:35.557 --> 00:13:37.497]  That's right, you were at Bilderberg this year as well.
[00:13:38.357 --> 00:13:41.578]  Yeah, I brought one of our big blue banners, and Alex liked it.
[00:13:41.618 --> 00:13:51.501]  It went on pretty well, and it was great to know that a lot of these scoundrel trainers, as they were driving in, saw a 20-foot banner saying 9-11 equals controlled demolition.
[00:13:52.446 --> 00:13:58.767]  You know, it's like we're on to you, the cat's out of the bag, and the cat's not going back in the bag, so be advised.
[00:13:59.307 --> 00:14:05.609]  Absolutely, and the way you were speaking towards, you know, a different tone, I'm all with you, and that's why I love these different organizations.
[00:14:05.649 --> 00:14:09.070]  Like, I love Student Scholars for 9-11 Truths approach.
[00:14:09.110 --> 00:14:17.551]  You know, when I get to confront somebody, I'm usually, I try to ask them a couple softball questions, you know, kind of ease them into it, and then ask them really tough ones, you know?
[00:14:17.871 --> 00:14:20.332]  Try to relate to them on a different level.
[00:14:20.632 --> 00:14:32.101]  There certainly is that time when they're meeting in private, in an organization of 140 of the world elite that are deciding our fates to bullhorn these people.
[00:14:32.141 --> 00:14:33.703]  That is the time to disrupt things.
[00:14:34.063 --> 00:14:41.089]  But at the same time, there is a time where... I mean, look at Luke Radowsky's confrontation with Vicente Fox.
[00:14:41.269 --> 00:14:43.210]  Oh, that's... One of my favorites.
[00:14:43.230 --> 00:14:46.033]  Worthy of the Pulitzer Prize, in my opinion.
[00:14:47.048 --> 00:14:52.874]  That was, I just watched that with a slack jaw in awe of Luke and what was accomplished.
[00:14:53.194 --> 00:14:57.198]  Just, you know, in a calm, peaceful, friendly manner.
[00:14:58.446 --> 00:15:02.389]  I mean, it was just amazing to see that, and that's something that I took a lot of inspiration from.
[00:15:02.409 --> 00:15:04.610]  I think a lot of us took inspiration from that as well.
[00:15:05.091 --> 00:15:15.298]  Absolutely, and now that's going to be seen on a much more massive scale, because if you look at some of these YouTube videos, yeah, they have 5,000 or 10,000 hits, but if Alex Jones is able to move 5,000 or 10,000 DVDs,
[00:15:17.419 --> 00:15:24.342]  You know, that means that there's going to be fifty to a hundred thousand of those DVDs really out there because people are going to make copies and we're going to reach so many people.
[00:15:24.402 --> 00:15:36.426]  People that aren't on the internet, people that don't visit Infowars.com, PrisonPlanet.com or 911blogger.com and hopefully we can direct them to WeAreChange.org and get them involved.
[00:15:36.866 --> 00:15:38.067]  And that's what the goal is.
[00:15:39.187 --> 00:15:51.035]  Exactly, and thank you for bringing that up, because that seems to be our next area of focus, and we are Change LA, and I guess in general, hundreds of thousands, if not millions, hundreds of millions now of people in America that
[00:15:51.628 --> 00:16:06.019]  He questioned the official story, or onto the fact that it was an inside job for an agenda, an agenda that's being hidden from us, and how to get that transferred from knowing to doing, and how to get people to join us and stand with us.
[00:16:06.099 --> 00:16:11.663]  And that's the exciting thing about films like Alex's new film, Truth Rising, and that's what we know.
[00:16:11.683 --> 00:16:13.705]  We're trying to make it an attractive movement.
[00:16:14.545 --> 00:16:18.629]  I commend Abby Martin, who was surprised to see a Bilderberg with her
[00:16:19.637 --> 00:16:25.500]  Outreach and Truthr.org is putting a good face, you know, putting an attractive face on it.
[00:16:26.820 --> 00:16:34.644]  While I'm on the subject, if anybody were to go to our new website, we have a brand new website, WACLA.org.
[00:16:36.985 --> 00:16:40.447]  We've got a lot of projects and a lot of things coming up.
[00:16:40.787 --> 00:16:48.771]  We're inviting people to come out because just knowing doesn't really accomplish what actually having the people out and active
[00:16:53.588 --> 00:16:56.570]  Well, it's that process of educating and then activating.
[00:16:56.610 --> 00:17:04.416]  And what we're hoping to do is all those people that always complain, I'm just one person, I can't make a difference, lead me in the right direction.
[00:17:04.476 --> 00:17:06.477]  Hopefully this movie is going to say, hey, here it is.
[00:17:06.978 --> 00:17:07.558]  Anybody can do it.
[00:17:07.578 --> 00:17:08.719]  Look at this 20 year old kid.
[00:17:09.139 --> 00:17:10.040]  You know, he's out there.
[00:17:10.100 --> 00:17:10.660]  He's doing it.
[00:17:10.921 --> 00:17:12.903]  Look at this group that came out of nowhere.
[00:17:12.923 --> 00:17:13.583]  They're out there.
[00:17:13.883 --> 00:17:14.504]  They're doing it.
[00:17:14.784 --> 00:17:16.566]  Look what Mark Dice was able to accomplish.
[00:17:16.746 --> 00:17:17.427]  Abby's in the film.
[00:17:17.447 --> 00:17:17.667]  Yeah.
[00:17:17.887 --> 00:17:22.671]  I mean, it's just unbelievable that, you know, they've tried to marginalize this movement.
[00:17:22.711 --> 00:17:29.057]  I remember on the fifth anniversary of 9-11, when we were out there with literally thousands of people, the mainstream media totally ignored us.
[00:17:29.077 --> 00:17:33.441]  They kept the shots within the pit so they didn't have to show how many people actually had an Investigate 9-11 shirt on.
[00:17:35.623 --> 00:17:43.886]  When the one media personality covered it, it was Glenn Beck, and he said it was hundreds, not thousands, and he cancelled our appearance on the show.
[00:17:44.407 --> 00:17:49.329]  We were supposed to go against Popular Mechanics that day, and I had already gone up against them on Democracy Now!
[00:17:49.429 --> 00:17:50.769]  earlier, and they cancelled us.
[00:17:50.929 --> 00:17:51.309]  Straight up.
[00:17:51.349 --> 00:17:52.690]  They didn't want an opposition party.
[00:17:53.010 --> 00:17:58.232]  So, again, that shows the mainstream media is not going to give us our due time, our say.
[00:17:58.392 --> 00:17:59.913]  We have to make them hear us.
[00:18:01.010 --> 00:18:06.960]  Yeah, and that's why we focused our first project where we're continuing to find projects that can break through.
[00:18:07.668 --> 00:18:31.916]  The media blockade, the blackout, with the Bill Maher incidents, with the other things we've done with trying to get more celebrities to come out, because that accomplishes what you point to as being important, is getting through the blackout and the blockade, because once people become aware that there is a huge amount of great people that have the same concerns that they do and are active,
[00:18:33.740 --> 00:18:35.442]  Start motivating towards being active.
[00:18:35.462 --> 00:18:36.783]  Like, hey, I want to be part of that.
[00:18:37.223 --> 00:18:38.424]  So that's how it happened for me.
[00:18:38.524 --> 00:18:50.575]  I saw, I saw YouTube clips and I saw, you know, bits of Luke and all kinds of great people actually speaking up and actually accomplishing things with organizations and groups.
[00:18:50.676 --> 00:18:56.321]  And I went and, you know, got together with some people and it's been a wild ride ever since.
[00:18:56.381 --> 00:18:57.081]  I can tell you that.
[00:18:57.121 --> 00:18:58.383]  A wonderful wild ride.
[00:18:59.292 --> 00:19:00.512]  Absolutely, and that's another thing.
[00:19:00.893 --> 00:19:03.113]  You know, yes, a lot of this information is depressing.
[00:19:04.294 --> 00:19:05.914]  It's tough to handle.
[00:19:05.934 --> 00:19:10.175]  I mean, it's not happy, fun stuff, but that doesn't mean that it should bring your life down.
[00:19:10.215 --> 00:19:15.777]  This stuff's going to be going on whether or not you're depressed about it, and I always find it's more positive
[00:19:16.337 --> 00:19:22.020]  To think, you know, I can change this and I have to share this and that's not going to make my life all about doom and gloom.
[00:19:22.320 --> 00:19:28.063]  I mean, we have to report that, you know, this weekend there was an attack on a prison in Afghanistan.
[00:19:28.083 --> 00:19:29.723]  They said a thousand militants were let go.
[00:19:29.743 --> 00:19:31.264]  They said 400 of them were Taliban.
[00:19:31.564 --> 00:19:34.345]  And then on Monday they say the Taliban's back in Afghanistan.
[00:19:34.365 --> 00:19:35.226]  They're taking over again.
[00:19:35.686 --> 00:19:37.449]  And then late Monday they admit the U.S.
[00:19:37.489 --> 00:19:39.633]  helped attack the prison to let them go.
[00:19:39.894 --> 00:19:41.456]  These things need to be exposed.
[00:19:41.757 --> 00:19:44.482]  More with We Are Change LA and Stuart Howe after this.
[00:19:44.762 --> 00:19:48.428]  It's the Alex Jones Show, PrisonPlanet.com, InfoWars.com.
[00:19:59.617 --> 00:20:01.299]  Our beloved Republic is on her knees.
[00:20:01.599 --> 00:20:05.023]  The forces of globalism are destroying national sovereignty worldwide.
[00:20:05.223 --> 00:20:07.045]  But in Liberty's darkest hour, there is hope.
[00:20:07.525 --> 00:20:10.388]  For the first time in modern history, the people are beginning to wake up.
[00:20:10.708 --> 00:20:16.094]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:20:16.434 --> 00:20:20.377]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:20:20.677 --> 00:20:25.601]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:20:25.881 --> 00:20:28.644]  PrisonPlanet.tv is a vault of forbidden information.
[00:20:28.924 --> 00:20:35.769]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:20:36.149 --> 00:20:41.974]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:20:42.134 --> 00:20:46.237]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much
[00:20:46.397 --> 00:20:47.518]  We're good to go.
[00:20:59.790 --> 00:21:04.074]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:21:04.314 --> 00:21:09.218]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:21:09.418 --> 00:21:10.739]  Hi folks, Alex Jones here.
[00:21:10.919 --> 00:21:14.402]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:21:14.522 --> 00:21:19.706]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:21:19.946 --> 00:21:25.711]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:21:26.051 --> 00:21:28.493]  Now, Calvin Soaps are available to you and me.
[00:21:28.553 --> 00:21:30.875]  Triple concentrated for all your cleaning needs.
[00:21:31.096 --> 00:21:33.238]  From bathing and laundry to dishes, hair and more.
[00:21:33.498 --> 00:21:34.479]  No harsh chemicals.
[00:21:34.699 --> 00:21:35.640]  No animal testing.
[00:21:35.900 --> 00:21:37.221]  I use them and love them.
[00:21:37.241 --> 00:21:38.843]  Knowing they're all natural and safe.
[00:21:39.123 --> 00:21:40.224]  And I say big time.
[00:21:40.544 --> 00:21:41.765]  Call Calvin Pure Soap at 1-800-340-7091.
[00:21:41.785 --> 00:21:42.025]  That's 1-800-340-7091.
[00:21:42.045 --> 00:21:43.627]  Or log on to 5starsoap.com now for a free catalog.
[00:21:51.994 --> 00:21:58.559]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:21:59.419 --> 00:22:05.644]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:22:06.084 --> 00:22:13.870]  Unfortunately, with taxation, the rising cost of food, energy, housing and medical, many retirees are forced to live below the poverty line.
[00:22:14.210 --> 00:22:19.794]  Is this a flaw-free enterprise or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:22:20.114 --> 00:22:22.076]  Ensuring inflation and higher taxes.
[00:22:22.356 --> 00:22:27.119]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:22:27.460 --> 00:22:32.163]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:22:32.684 --> 00:22:36.547]  A gripping adventure into the secret world of international banking cartel.
[00:22:37.027 --> 00:22:38.048]  Hi, this is Ted Anderson.
[00:22:38.108 --> 00:22:42.211]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:22:42.631 --> 00:22:43.992]  Call 1-800-686-2237 and order a copy today.
[00:22:47.515 --> 00:22:50.057]  It's critical that the public be made aware of the system.
