[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[00:02:31.147 --> 00:02:38.052]  Poll workers in Wilton, New Hampshire have come up with a seat-of-the-pants way to make sure ballots aren't counted twice.
[00:02:38.052 --> 00:02:42.576]  Once tallied, they're stacked in bundles of 25 and someone sits on them.
[00:02:43.280 --> 00:02:46.882]  One town official calls it primitive, but effective.
[00:02:46.882 --> 00:02:55.527]  In contrast, Maryland House of Delegates Republican leader Anthony O'Donnell says he has problems with some of the provisions of the early voting amendment.
[00:02:55.527 --> 00:02:57.809]  People will be able to vote anywhere in the state.
[00:02:57.809 --> 00:03:04.653]  So someone can come to the lesbian vote from another part of the state, and then go to Western Maryland and vote, and then go to the Eastern Shore and vote.
[00:03:04.653 --> 00:03:06.694]  That to me is very, very frightening.
[00:03:07.799 --> 00:03:11.721]  In terms of people who want to or wish to abuse the system.
[00:03:11.721 --> 00:03:19.785]  In 8 parliamentary soldiers are dead in Pakistan after a suicide car bomber rammed his vehicle into a checkpoint near the Afghan border.
[00:03:19.785 --> 00:03:23.186]  The troops were washing vehicles at the time.
[00:03:23.186 --> 00:03:28.049]  For more news and analysis log on to IRNnews.com
[00:03:30.962 --> 00:03:36.165]  Here's a word about Israel from Dr. Jack Hayford, President of the International Church of the Foursquare Gospel.
[00:03:36.165 --> 00:03:39.887]  To go to Israel is to change the way you will ever approach the Bible.
[00:03:39.887 --> 00:03:46.330]  The Bible becomes based in an entirely deeper and richer way because you have been where it happened.
[00:03:46.330 --> 00:03:49.351]  You'll never be the same when you visit Israel.
[00:03:49.351 --> 00:03:53.013]  To start planning your trip to Israel today, visit www.goisrael.com.
[00:04:01.149 --> 00:04:10.465]  Britain's Prime Minister is in Saudi Arabia where he's trying to coax oil-rich countries in the Middle East to donate to the bailout reserves of the International Monetary Fund.
[00:04:11.218 --> 00:04:14.201]  Gordon Brown says he's confident the Saudis will help.
[00:04:14.201 --> 00:04:24.451]  I think we will persuade, you're talking about hundreds of billions of dollars here, and I think we will persuade countries from China to the oil states to make their contribution as well.
[00:04:24.451 --> 00:04:33.500]  More on the run for the White House, where Israel political analyst Ronan Gisson says the outcome of the election won't change the US-Israeli bond.
[00:04:33.500 --> 00:04:35.422]  Whoever is going to be the American president,
[00:04:36.022 --> 00:04:44.473]  He is committed to Israel's security, to Israel's needs, and that strategic partnership, I believe, will continue.
[00:04:44.473 --> 00:04:48.017]  Some states report record turnouts for early voting.
[00:04:48.017 --> 00:04:52.763]  This voter in Charlotte, North Carolina, says the lines were not moving very fast.
[00:04:52.763 --> 00:04:54.065]  At the end of the block there.
[00:04:54.785 --> 00:04:57.967]  So, in about two hours, we've made it about halfway down the block.
[00:04:57.967 --> 00:05:07.613]  House Republican leader John Boehner has used a vulgar expression to refer to Democrat Barack Obama and his voting record in the Illinois legislature.
[00:05:07.613 --> 00:05:08.754]  Here's Matt Reed.
[00:05:08.754 --> 00:05:12.596]  Boehner criticized Obama for not taking a stand on various issues.
[00:05:12.596 --> 00:05:19.220]  He feels that as a legislator, you should either vote yes or no on an issue, and to do otherwise is chicken followed by a four-letter word.
[00:05:19.420 --> 00:05:26.165]  Comments alluded to Obama's record of voting present 129 times as a state lawmaker.
[00:05:26.165 --> 00:05:29.228]  I'm Jody Jordan for IRN USA Radio News.
[00:05:30.902 --> 00:05:40.206]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:05:40.206 --> 00:05:48.390]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[00:05:48.390 --> 00:05:52.972]  In fact, clinically detected parasites account for only 1% of all cases.
[00:05:52.972 --> 00:05:55.733]  Don't continue to suffer from pain due to misdiagnosis.
[00:05:55.733 --> 00:05:59.715]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol.
[00:05:59.915 --> 00:06:07.277]  Naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:06:07.277 --> 00:06:13.719]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[00:06:13.719 --> 00:06:21.621]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an excellent source of natural plant-based silica with 14 trace minerals.
[00:06:21.621 --> 00:06:22.841]  Order some today at Freshwater Organics.
[00:06:22.861 --> 00:06:26.203]  Prepare yourself for a talk radio experience like no other.
[00:06:26.203 --> 00:06:27.083]  Strap yourselves in.
[00:06:27.083 --> 00:06:27.383]  Hold on.
[00:06:44.495 --> 00:06:47.257]  He stands for truth.
[00:06:47.257 --> 00:06:50.460]  He stands for justice.
[00:06:50.460 --> 00:06:52.541]  He stands for what's right.
[00:06:52.541 --> 00:06:55.984]  This is the Alex Jones Show.
[00:06:55.984 --> 00:06:59.887]  Call Alex now, toll free at 877-590-5525.
[00:06:59.887 --> 00:07:06.873]  Now live from Austin, Texas, here's Alex Jones.
[00:07:12.742 --> 00:07:20.666]  That's right, live from deep in the heart of Texas, it is already the second day of November 2008.
[00:07:20.666 --> 00:07:25.969]  We're going to be live here.
[00:07:28.200 --> 00:07:37.564]  For the next two hours, we're going to have open phones at 877-590-5525.
[00:07:37.564 --> 00:07:38.744]  That's 877-590-5525.
[00:07:38.744 --> 00:07:44.246]  We're less than 48 hours out from Tuesday's election, national election.
[00:07:44.246 --> 00:07:46.767]  They're talking about record turnout of around 75% nationwide.
[00:07:46.767 --> 00:07:50.549]  You just heard local news here in Austin on the station.
[00:07:51.509 --> 00:07:51.709]  I think?
[00:08:11.696 --> 00:08:34.272]  Presidential election, don't forget there's all the senatorial elections, House elections, going on, the state elections, legislative elections, local, county, city elections, and unfortunately we still have a national average of about 8.5% for local turnout, but we get over 50% for national turnout on average, again close to 80% this time they're predicting.
[00:08:34.272 --> 00:08:36.033]  The real power is locally.
[00:08:36.033 --> 00:08:38.995]  The big foreign, multinational corporations, the special interest,
[00:08:40.038 --> 00:08:45.380]  The people creating a world government is an end-runner on our liberties and freedoms in the Western world.
[00:08:45.380 --> 00:08:52.802]  They are, for a long time, buying off the leaders of the House and Senate, and of course the executive branch.
[00:08:52.802 --> 00:08:57.243]  But they don't have total control over the local area, and that's where we can still have a huge effect.
[00:08:58.371 --> 00:09:03.656]  I want to open the phones up today for your take on who you're voting for.
[00:09:03.656 --> 00:09:08.380]  Third party, is it Ralph Nader or is it the Constitution Party?
[00:09:08.380 --> 00:09:09.260]  Chuck Baldwin?
[00:09:09.260 --> 00:09:11.062]  Are you voting for Barack H. Obama?
[00:09:11.062 --> 00:09:15.285]  Are you voting for John McCain?
[00:09:15.285 --> 00:09:19.909]  Your take on the future of this country and the military and police.
[00:09:19.909 --> 00:09:23.492]  Now we told you they were gearing up for martial law a long time ago.
[00:09:23.492 --> 00:09:24.873]  We're not saying that's going to happen.
[00:09:24.873 --> 00:09:26.515]  We're saying they're locked and loaded for it.
[00:09:27.422 --> 00:09:36.744]  But now they've openly, in the last few weeks, been saying, yes, we are ready for national riots and cities burning if Barack Obama doesn't win.
[00:09:36.744 --> 00:09:40.225]  But most polls show Barack Obama at least five points ahead.
[00:09:40.225 --> 00:09:44.206]  Some show him as many as thirteen points ahead.
[00:09:44.206 --> 00:09:46.187]  But the Electoral College is a little bit different.
[00:09:46.187 --> 00:09:48.487]  His lead is slightly less there.
[00:09:48.487 --> 00:09:51.588]  I don't like either one of the candidates.
[00:09:51.588 --> 00:09:55.229]  They're both anti-gun, pro-open border, pro-New World Order candidates.
[00:09:56.087 --> 00:10:01.269]  My main problem with Barack Obama is that I found writings of his when he first got in the U.S.
[00:10:01.269 --> 00:10:16.733]  Senate four years ago calling for carbon taxes in the name of stopping CO2, that's actually what plants breathe, to regulate every facet of our lives, to shut down a lot of power plants, giving us cheap energy and killing a lot of jobs.
[00:10:16.733 --> 00:10:23.295]  And he also wants these tattletale brigades, over a million man youth brigade, as domestic spies.
[00:10:24.961 --> 00:10:33.927]  Now, about nine months ago I first reported this, then about six months ago it was in the major newspapers across the country.
[00:10:33.927 --> 00:10:44.874]  The first big one I saw it in was the Chicago Tribune, and we wrote stories about it up on PrisonPlanet.com and InfoWars.com, but people didn't believe me.
[00:10:44.874 --> 00:10:50.038]  So I just want to remind you once more that a domestic force of spies
[00:10:50.999 --> 00:11:00.427]  A, isn't Barack Obama's idea, but B, he's pushing it, and C, this has been stated for a long time, the government's plan to bring us into a high-tech police state.
[00:11:00.427 --> 00:11:03.670]  So let's go ahead and play a clip of Barack Obama.
[00:11:03.670 --> 00:11:14.180]  This is, again, he's talked about this for years, but here he is last July in Colorado Springs, Colorado, the real seat of the NORTHCOM US government.
[00:11:15.301 --> 00:11:20.045]  That is really running things and here he is calling for these youth brigades.
[00:11:20.045 --> 00:11:21.406]  Here it is.
[00:11:21.406 --> 00:11:29.371]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:11:29.371 --> 00:11:36.456]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:11:41.388 --> 00:11:49.933]  Now that's why, and if you read the fine print, it's going to be arrogant, full of themselves, ignorant, 18 to 20 year olds.
[00:11:49.933 --> 00:11:59.499]  The CIA illegally for decades has been operating inside the United States and we've exposed that with governors and police chiefs and others they've tried to buy off.
[00:11:59.499 --> 00:12:02.140]  But Barack Obama is only pushing what the establishment wants.
[00:12:02.140 --> 00:12:06.063]  John McCain, incidentally, and you can pull this clip up as well,
[00:12:07.381 --> 00:12:14.847]  Has called repeatedly for having a domestic surge of US Army on the streets of America to quote fight crime.
[00:12:14.847 --> 00:12:21.332]  We've now seen the Illinois governor about two months ago say we're going to use National Guard for door-to-door gun confiscation.
[00:12:21.332 --> 00:12:24.475]  So this is really happening and both parties are pushing this.
[00:12:25.385 --> 00:12:34.390]  The entire presidential election is a giant distraction, a giant diversion to sell the public that presidents actually run something, and that they're actually in power.
[00:12:34.390 --> 00:12:39.412]  A long time ago, the continuity of government system took power, not just from Congress, but away from the president.
[00:12:39.412 --> 00:12:47.016]  And the National Security Council, controlled by a select group of private banks, through the military, controls the United States.
[00:12:47.016 --> 00:12:48.877]  And this is all over foreign newspapers.
[00:12:48.877 --> 00:12:52.679]  This is well known, and a lot of white papers even put out by our own government.
[00:12:52.679 --> 00:12:54.200]  But the general public is not aware of that.
[00:12:56.200 --> 00:13:00.822]  Shifting gears into another subject that I'd like to discuss today with everybody.
[00:13:00.822 --> 00:13:11.207]  That's the fact that a month ago, I told you on air, because I read the Banker Takeover Bill, that it would allow a small group of four U.S.
[00:13:11.207 --> 00:13:15.289]  banks and about eight to nine different foreign banks, depending on how you read it,
[00:13:16.678 --> 00:13:28.962]  Come in and be given governmental power through the Treasury Department in total anonymity, that's secrecy, and immunity, and that no one could even review or look at what they did henceforth.
[00:13:28.962 --> 00:13:34.344]  And we read that many times on air, and people attacked me saying the small minority that was for it.
[00:13:34.344 --> 00:13:39.305]  National polls showed about 95-98% against the Banker Takeover Bill.
[00:13:39.305 --> 00:13:43.046]  And congressmen that I interviewed on air and also in the press reported about 1,000 to 1 phone calls.
[00:13:44.967 --> 00:13:48.628]  About a thousand to one phone calls against it.
[00:13:48.628 --> 00:13:53.049]  But still, the shadow government did what they wanted and gave this new power to them.
[00:13:53.049 --> 00:14:05.693]  And then not one red cent has been loaned out to the American people, not one red cent has been given to anybody for their mortgages, or to back up any bad mortgages that have been securitized and sold in two derivatives, and that's the real issue.
[00:14:06.849 --> 00:14:16.271]  Not one red cent was spent for that, and out of the trillion-plus that's been pumped out, it's not $700 billion, not $840 billion.
[00:14:16.271 --> 00:14:18.112]  Bloomberg got it right, Ron Paul's report on it too.
[00:14:18.112 --> 00:14:23.193]  It's about $5 trillion, if you read the Banker Takeover Bill.
[00:14:23.193 --> 00:14:29.415]  It states that they are just going to give it to their CEOs, their employees, as cash bonuses.
[00:14:30.402 --> 00:14:39.445]  And I have several mainstream news articles up on InfoWars.com and PrisonPlanet.com where they are giving, well, a loan.
[00:14:39.445 --> 00:14:50.588]  In the United States, around $25 billion of the bailout directly to Goldman Sachs alone will go to bonuses.
[00:14:50.588 --> 00:14:52.928]  That money directly will be used as bonuses.
[00:14:52.928 --> 00:14:59.390]  And the banks are in the news saying, we're just keeping the money and we're using it to acquire other banks and insurance companies
[00:14:59.870 --> 00:15:00.230]  Thank you.
[00:15:15.038 --> 00:15:15.278]  U.S.
[00:15:15.278 --> 00:15:18.179]  bonds and different securities.
[00:15:18.179 --> 00:15:19.740]  So, there are the facts.
[00:15:19.740 --> 00:15:22.481]  I mean, here's the Associated Press from a few days ago.
[00:15:22.481 --> 00:15:25.503]  I talked a lot about this on the weekday show.
[00:15:25.503 --> 00:15:29.524]  It says, uses for $700 billion bailout money ever shifting.
[00:15:29.524 --> 00:15:37.047]  First, the $700 billion rescue for the economy was about buying devalued mortgage-backed securities from tottering banks to unclog frozen credit markets.
[00:15:37.047 --> 00:15:40.329]  Then it was about using the $250 billion of it to buy stakes in banks.
[00:15:40.909 --> 00:15:51.244]  That idea was that the banks would use the money to start making loans, but reports surface that banks are instead using the money to buy other banks, pay dividends, and give employees raises and executives bonuses.
[00:15:51.244 --> 00:15:52.425]  And it goes on to say that
[00:15:53.883 --> 00:15:58.145]  See, these are offshore corporations, and they're totally ruthless.
[00:15:58.145 --> 00:16:14.674]  And the New York Times even reported two days ago, actually Thursday, three days ago now, back on October 29th, they actually reported, and they even have recordings of this, the head of Chase and the head of Morgan,
[00:16:16.596 --> 00:16:18.578]  Admitting that this is great for us.
[00:16:18.578 --> 00:16:22.643]  We're just going to have bonuses and take over other institutions.
[00:16:22.643 --> 00:16:24.665]  So there you go folks.
[00:16:24.665 --> 00:16:26.427]  Total criminality.
[00:16:26.427 --> 00:16:28.770]  We'll be right back with your phone calls and a lot more.
[00:16:28.770 --> 00:16:29.251]  Stay with us.
[00:16:30.905 --> 00:16:32.206]  I am so frustrated.
[00:16:32.206 --> 00:16:34.567]  I can't seem to remember anything anymore.
[00:16:34.567 --> 00:16:35.128]  What?
[00:16:35.128 --> 00:16:37.889]  Seriously, my memory and attention span is terrible.
[00:16:37.889 --> 00:16:39.310]  I read something and forget.
[00:16:39.310 --> 00:16:40.571]  I forget people's names.
[00:16:40.571 --> 00:16:44.373]  I hear all this great information on the radio and I want to tell people, but I forget.
[00:16:44.373 --> 00:16:46.114]  I... Okay, slow down.
[00:16:46.114 --> 00:16:48.695]  Poor attention and memory loss is not your fault.
[00:16:48.695 --> 00:16:55.839]  Factors like fluoride in the water, aluminum in deodorants, genetically modified foods, the way the education system taught you.
[00:16:55.839 --> 00:16:57.440]  It's all meant to dumb you down.
[00:16:57.440 --> 00:16:59.201]  You know, I can remember everything now.
[00:16:59.201 --> 00:17:00.122]  Even entire books.
[00:17:00.342 --> 00:17:00.622]  What?
[00:17:00.622 --> 00:17:01.203]  How?
[00:17:01.203 --> 00:17:04.446]  There is this website called School of Phenomenal Memory.
[00:17:04.446 --> 00:17:08.229]  Their online course is a real breakthrough in the field of memory improvement.
[00:17:08.229 --> 00:17:17.878]  In fact, they guarantee that every single person will be able to memorize any type of information, including entire books, after they complete just 60 lessons.
[00:17:17.878 --> 00:17:23.243]  And they offer a no-questions-asked, no-time-limit, money-back guarantee.
[00:17:23.243 --> 00:17:23.763]  Wow.
[00:17:23.763 --> 00:17:24.524]  What's the website?
[00:17:24.784 --> 00:17:28.246]  Now don't forget, it's Pmemory.net.
[00:17:28.246 --> 00:17:32.168]  The letter P, memory dot net.
[00:17:32.168 --> 00:17:34.530]  Are you wondering about your retirement portfolio?
[00:17:34.530 --> 00:17:40.753]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes and inflation?
[00:17:40.753 --> 00:17:44.896]  Stop guessing and go to the expert, Robert Chapman of the International Forecaster.
[00:17:44.896 --> 00:17:51.740]  When you subscribe to the International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:17:52.060 --> 00:17:57.969]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:17:57.969 --> 00:18:05.339]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:18:08.864 --> 00:18:10.324]  Experience the difference.
[00:18:10.324 --> 00:18:15.566]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:18:15.566 --> 00:18:16.786]  Don't wait another minute.
[00:18:16.786 --> 00:18:20.467]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:18:20.467 --> 00:18:20.667]  That's 877-479-8178.
[00:18:31.092 --> 00:18:35.338]  Are you one of the people who think, I have plenty of time, nothing's ever gonna happen bad to me.
[00:18:35.338 --> 00:18:40.785]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[00:18:40.785 --> 00:18:43.688]  Do you have at least a year supply of food for your family?
[00:18:43.688 --> 00:18:46.472]  This is Kurt, the armchair survivalist, heard on this network.
[00:18:46.472 --> 00:18:48.655]  Survival Enterprises sells real food, canned.
[00:18:51.647 --> 00:18:59.492]  Eggs, freeze-dried fruits and vegetables, Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkfeld water filter, and more.
[00:18:59.492 --> 00:19:02.494]  If you want to prepare now, go to BeforeIt'sTooLate.us.
[00:19:02.494 --> 00:19:04.675]  That's BeforeIt'sTooLate.us.
[00:19:04.675 --> 00:19:06.956]  Or call 1-800-753-1981.
[00:19:06.956 --> 00:19:10.238]  That's 1-800-753-1981.
[00:19:10.238 --> 00:19:14.501]  Or you can put your head in the sand and be just another sheeple in the corporate-controlled flock.
[00:19:14.501 --> 00:19:17.883]  But remember, those who don't learn from history are bound to repeat it.
[00:19:30.016 --> 00:19:30.496]  Fact.
[00:19:30.496 --> 00:19:36.518]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:19:36.518 --> 00:19:40.840]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:19:40.840 --> 00:19:48.262]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:19:48.302 --> 00:19:48.522]  Yes.
[00:19:48.522 --> 00:19:49.263]  The solution.
[00:19:49.263 --> 00:19:53.486]  Detoxification integrated with the LectroChi Premier Energy Foot Spa.
[00:19:53.486 --> 00:20:02.572]  The LectroChi Premier Energy Foot Spa helps to aid in cleansing the body of harmful toxins while energizing and oxygenating your entire body at the cellular level.
[00:20:02.572 --> 00:20:10.738]  Detoxification works with the LectroChi Premier Energy Foot Spa because it addresses the needs of individual cells, the building blocks of human life.
[00:20:10.738 --> 00:20:15.241]  For mental clarity, restored vitality, a stronger immune system, clear skin,
[00:20:15.461 --> 00:20:16.281]  Thank you for listening to GCN.
[00:20:47.401 --> 00:20:48.182]  Welcome back.
[00:20:48.182 --> 00:20:54.566]  We are live 48 hours out from the 2008 presidential election.
[00:20:54.566 --> 00:20:56.228]  The globalists have given us two puppets.
[00:20:56.228 --> 00:21:02.973]  I'm going to go to your calls here in a moment, but going back to the banker takeover empowerment bill of a month ago,
[00:21:03.633 --> 00:21:07.715]  Remember, they said if Congress didn't pass it, there would be a depression.
[00:21:07.715 --> 00:21:16.619]  They had to have that money that week to shore up these companies, and then not one red cent a month later has gone to any of those companies.
[00:21:16.619 --> 00:21:18.339]  It's going into bonuses.
[00:21:18.339 --> 00:21:22.721]  I mentioned the tens of billions of dollars for Goldman Sachs here in the U.S.
[00:21:22.721 --> 00:21:31.645]  In England, it's $14 billion, or seven and a half million pounds to begin with, for bonuses, and they're bragging and laughing, and then
[00:21:32.625 --> 00:21:39.908]  Congress was given some of the details of who's being paid what last week, and they were all blacked out, and the public was told, well, that was in the bill.
[00:21:39.908 --> 00:21:42.569]  Total secrecy.
[00:21:42.569 --> 00:21:54.914]  See, corruption on its face, and when they passed the banker bailout bill a month ago, I had members of Congress on the show, not just on C-SPAN, we saw them on C-SPAN saying, we were threatened with martial law.
[00:21:56.600 --> 00:22:00.804]  If we don't pass this on that Friday.
[00:22:00.804 --> 00:22:07.471]  Again, ladies and gentlemen, throughout history, powerful interests seek to get control of governments to then loot the public treasury.
[00:22:07.471 --> 00:22:10.414]  That's happening now.
[00:22:10.414 --> 00:22:13.737]  Barack Obama and John McCain supported the Banker Takeover Bill.
[00:22:13.737 --> 00:22:17.681]  Barack Obama has gotten three times the Wall Street money that John McCain got.
[00:22:18.326 --> 00:22:24.488]  And four times the Goldman Sachs money, so I'm not even saying go out and vote for either one of these guys or vote for John McCain.
[00:22:24.488 --> 00:22:26.389]  I'm just stating the facts here.
[00:22:26.389 --> 00:22:30.070]  John McCain isn't running TV ads where he's already in the Oval Office.
[00:22:30.070 --> 00:22:34.272]  John McCain isn't running ads about how he's our global savior.
[00:22:34.272 --> 00:22:39.774]  It's very, very frightening, the whole messianic, cult-like thing we're seeing with Barack Obama.
[00:22:40.831 --> 00:22:45.172]  And I really feel sorry for all the leftists and people, just like I felt sorry for Republicans.
[00:22:45.172 --> 00:22:47.813]  I said, look, George Bush isn't going to be your savior.
[00:22:47.813 --> 00:22:53.714]  He isn't going to, you know, not have wars or take your liberties or restore the Second Amendment like he promised to do.
[00:22:53.714 --> 00:22:55.394]  It's going to get bad, and it did.
[00:22:55.394 --> 00:23:01.556]  And it's going to get even worse under Barack Obama if he is indeed our new Fuhrer.
[00:23:01.556 --> 00:23:05.577]  So that's just some of the issues I wanted to go over today.
[00:23:05.577 --> 00:23:10.298]  Also, every few days I see reports in Europe, in Canada, in the United States
[00:23:11.124 --> 00:23:23.300]  of a woman being mugged in the street or raped in the street or a child being beaten to death or a cop hit by a car bleeding to death on the road that even happened in Austin a few years ago and no one stops to help him.
[00:23:23.300 --> 00:23:27.486]  Hundreds of passersbys drive by and at most they call 911.
[00:23:29.855 --> 00:23:30.976]  You know, they call 9-1-1.
[00:23:30.976 --> 00:23:33.958]  And Americans never behaved like that.
[00:23:33.958 --> 00:23:36.700]  People of the West, people worldwide never behaved like that.
[00:23:36.700 --> 00:23:37.721]  How did we change?
[00:23:37.721 --> 00:23:43.746]  We became a nation of spectators, trained that the government's going to handle it, the government's going to do it.
[00:23:43.746 --> 00:23:55.154]  And so we'll be going over that a little bit later in the show with a case in California of a man for, the press reports say, about 30 minutes beating a toddler to death in the street.
[00:23:55.154 --> 00:23:57.316]  And everybody called the police, but none of them stopped.
[00:23:57.316 --> 00:23:59.558]  I mean, if I see somebody stomping a baby in the street,
[00:24:00.299 --> 00:24:02.541]  I'm going to pull over and I'm going to attack him.
[00:24:02.541 --> 00:24:04.243]  And it's not because I'm a tough guy.
[00:24:04.243 --> 00:24:06.085]  It's because I've got my instincts straight.
[00:24:06.085 --> 00:24:09.908]  And by the way, I'm not just saying that.
[00:24:09.908 --> 00:24:10.569]  I've told the story.
[00:24:10.569 --> 00:24:19.377]  You know, I said I'd get into it later and I will in more detail and open the phones up about this whole psychology.
[00:24:19.377 --> 00:24:21.279]  And I've got a lot of thoughts on it.
[00:24:21.279 --> 00:24:25.343]  But I was in the La Madeline in northern Austin about five and a half years ago.
[00:24:26.622 --> 00:24:32.867]  And we were getting ready to leave and I went up to go to the bathroom and I heard a bunch of yelling and stuff and I came back out and it was this crowd of people.
[00:24:32.867 --> 00:24:36.689]  It was full, like 7 o'clock at night, you know, on a weeknight at the little restaurant.
[00:24:36.689 --> 00:24:42.494]  And this woman was choking, turning purple, falling on the table, and everyone was screaming, call 911.
[00:24:42.494 --> 00:24:44.835]  And I sort of, and I said, do the Heimlich.
[00:24:44.835 --> 00:24:46.977]  And they would scream at me angrily, no, 911!
[00:24:46.977 --> 00:24:48.778]  Like, how dare you, slave!
[00:24:48.778 --> 00:24:50.139]  We're meant to stand here and do nothing!
[00:24:50.139 --> 00:24:52.701]  You know, they're so conditioned to be pathetic, chicken-neck slaves.
[00:24:53.340 --> 00:24:59.403]  And there were probably about 20 people around, and I had to start pushing through them, and I had some of them physically trying to stop me, and I said, do the Heimlich, and they wouldn't do it.
[00:24:59.403 --> 00:25:01.964]  They kept saying, 9-1-1, 9-1-1, and they couldn't even call 9-1-1.
[00:25:01.964 --> 00:25:21.714]  They're like chickens, you know, just, just, just, just balking, or sheepling, meh, meh, meh, meh, and I had to physically get past them, and as I'm grabbing her to do the Heimlich, you know, which I, they offered it as a free course for the fire department when I was in the swim team back in Dallas in junior high, so I, you know, have a basic course on it, and, uh,
[00:25:23.632 --> 00:25:34.360]  The point is, is that I grab her, and I do the Heimlich, and a big piece of bread comes out, and then they were all kind of looking at me weird, and some of them thanking me, and some of them looking at me strange, and I thought, before I get arrested, I'm just getting out of here.
[00:25:34.360 --> 00:25:38.183]  Because that's a crime to be involved, to have that, to take action in America.
[00:25:38.183 --> 00:25:40.745]  And so, you know, only men in black uniforms and submachine guns can do it.
[00:25:40.745 --> 00:25:41.786]  We've been trained to be slaves.
[00:25:41.786 --> 00:25:43.627]  So I got out of there quickly.
[00:25:43.627 --> 00:25:45.469]  But that is what's wrong with this country.
[00:25:46.563 --> 00:25:51.086]  And, uh, you know, people are more concerned with UT losing to Texas Tech.
[00:25:51.086 --> 00:25:54.708]  And they're crying and whining and literally sobbing over it.
[00:25:54.708 --> 00:25:58.470]  Meanwhile, foreign banks have completely taken over the government.
[00:25:58.470 --> 00:26:01.712]  Northcom has, you know, already taken control of the government.
[00:26:01.712 --> 00:26:04.354]  And we're under total police state being looted.
[00:26:04.354 --> 00:26:05.254]  And they don't care.
[00:26:05.254 --> 00:26:09.777]  You know, they care if the Cowboys lose, or if the Titans lose, or if the Dolphins lose.
