[00:00:00.009 --> 00:00:01.434]  Right now at TruthNews.us
[00:05:03.155 --> 00:05:10.498]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:13.484 --> 00:05:18.465]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:18.965 --> 00:05:22.606]  You will learn the secret that drives the entire New World Order agenda.
[00:05:22.806 --> 00:05:25.366]  Build America is making great progress toward a world government.
[00:05:25.386 --> 00:05:26.346]  Most people have no idea.
[00:05:26.366 --> 00:05:27.306]  They're not after money.
[00:05:27.326 --> 00:05:28.467]  They have all the money they need.
[00:05:28.607 --> 00:05:29.367]  They're after power.
[00:05:29.587 --> 00:05:30.487]  That's what I have to do, sir.
[00:05:30.747 --> 00:05:38.928]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:39.088 --> 00:05:40.089]  Endgame.
[00:05:40.189 --> 00:05:41.769]  Blueprint for global enslaving.
[00:05:42.349 --> 00:05:43.490]  You have been warned.
[00:05:44.330 --> 00:05:47.532]  Yes, there is an In-Dash AM-FM shortwave radio.
[00:05:47.813 --> 00:05:55.898]  For limited time and in limited numbers, the Sony GT-160S AM-FM shortwave radio and CD player is available only at the Power Hour.
[00:05:56.178 --> 00:06:04.263]  This radio is designed to eliminate interference from ignition systems, and the result is clear, clean reception, so you can hear your favorite broadcasts both domestically and internationally.
[00:06:04.563 --> 00:06:08.366]  Get your Sony AM-FM shortwave radio and CD player from the Power Hour today.
[00:06:08.766 --> 00:06:10.467]  Call 877-817-9829.
[00:06:11.647 --> 00:06:14.988]  That's 877-817-9829 to order.
[00:06:15.348 --> 00:06:19.089]  Only $249 plus shipping and handling, and we'll ship it right to you.
[00:06:19.389 --> 00:06:21.630]  There's even an input to plug in an external source.
[00:06:21.850 --> 00:06:27.812]  Your MP3 player, your iPod, your DVD player, or any other source will sound great through your new Sony receiver.
[00:06:28.092 --> 00:06:31.933]  These radios are not available anywhere else and for a limited time, so call now.
[00:06:32.153 --> 00:06:32.393]  Dial 877-817-9829.
[00:06:35.074 --> 00:06:43.512]  That's 877-817-9829 and get your Sony GT-160S AM FM shortwave radio and CD player from the Power Hour!
[00:06:47.242 --> 00:06:49.404]  We're already under a scientific dictatorship.
[00:06:49.585 --> 00:06:52.768]  Martial Law is coming, but it's not going to arrive overnight.
[00:06:53.068 --> 00:06:54.950]  It's going to be incremental.
[00:06:54.970 --> 00:06:56.792]  This country is already teetering on the edge.
[00:06:57.032 --> 00:06:59.935]  Any incident, small or large, could trigger a total takeover.
[00:07:00.115 --> 00:07:01.337]  Anything could be the final push.
[00:07:01.597 --> 00:07:07.323]  Visit SurviveMartialLaw.com and download the e-book full of information that will prepare you for life under total military control.
[00:07:07.483 --> 00:07:10.426]  Know how to survive in the conditions that may soon be here on American soil.
[00:07:10.786 --> 00:07:15.348]  Learn how to act around controlling troops, and how to use their own psychology against them through social engineering.
[00:07:15.668 --> 00:07:21.971]  When martial law is officially announced, checkpoints will be enforced, gun confiscations will occur for registered gun owners, and cities will be on lockdown.
[00:07:22.291 --> 00:07:25.873]  You will be dealing with a force that has been in training for years, preparing for this takeover.
[00:07:26.153 --> 00:07:30.415]  Visit survivemartiallaw.com to order your e-book, and watch other issues' weekly updates.
[00:07:30.595 --> 00:07:32.017]  Let's see here, first is Dave.
[00:07:49.170 --> 00:07:53.352]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:07:53.993 --> 00:07:54.833]  You want answers?
[00:07:55.593 --> 00:07:56.434]  Well, so does he.
[00:07:57.134 --> 00:08:00.836]  He's Alex Jones on the GCN Radio Network.
[00:08:01.336 --> 00:08:05.438]  And now, live from Austin, Texas, Alex Jones.
[00:08:08.160 --> 00:08:10.641]  Going toe-to-toe in the New World Order!
[00:08:13.993 --> 00:08:14.834]  Yep, that's us.
[00:08:14.914 --> 00:08:15.674]  Thank you for joining us.
[00:08:15.834 --> 00:08:18.276]  I am out of control today, not taking your calls.
[00:08:18.356 --> 00:08:20.237]  I'm going to take masses of calls.
[00:08:20.277 --> 00:08:21.398]  That means one an hour.
[00:08:23.639 --> 00:08:24.400]  In just a minute.
[00:08:24.840 --> 00:08:27.222]  But I've got to finish up with this and I'm going to go right to them, I promise.
[00:08:27.642 --> 00:08:33.986]  Okay, now listen to this ninnying guy before the city council, where in this town, in this state, it's like it used to be.
[00:08:34.006 --> 00:08:35.187]  And I used to read about trials.
[00:08:35.207 --> 00:08:39.190]  Everybody would go to trials, even in like 1920 and 30, all over the country.
[00:08:39.410 --> 00:08:41.832]  The famous Lindbergh trial, they all had their pistols.
[00:08:42.572 --> 00:08:46.855]  That was back when the people were the boss, and you had no crime to really speak of.
[00:08:46.895 --> 00:08:50.678]  I mean, they would hype up, you know, bank robberies were like nationwide news.
[00:08:51.458 --> 00:08:55.822]  Because, I mean, crooks in this country, they were totally, it was just, you got hunted down.
[00:08:56.502 --> 00:08:59.324]  And the cops needed help, they'd knock on your door, help me get this guy.
[00:08:59.624 --> 00:09:02.907]  In fact, they demanded you help them back then, there was so much trust between people.
[00:09:03.647 --> 00:09:06.769]  I mean, you know, men didn't have to be... I mean, they were looking for a fugitive.
[00:09:06.829 --> 00:09:16.695]  Even when my mom was a little kid in Austin, people would get out of jail, they'd have a jailbreak every once in a while, and the police would come driving down the street, and, you know, they'd get out of their car and say, have you seen anybody?
[00:09:16.735 --> 00:09:17.276]  Come help us!
[00:09:17.316 --> 00:09:17.876]  Look for them!
[00:09:18.816 --> 00:09:19.917]  But see, now it's the opposite.
[00:09:19.957 --> 00:09:23.219]  It's look for imaginary terrorists, tattle on neighbors that spanked their kids.
[00:09:23.760 --> 00:09:30.584]  You know, it's stuff like that, instead of, you never see the cops until there's a crime, and then the cops go crazy, like fire ants looking for the criminal.
[00:09:31.144 --> 00:09:33.346]  Now they won't persecute or go after the criminals.
[00:09:34.828 --> 00:09:36.450]  Freudian slip, I want them to persecute the criminals.
[00:09:37.551 --> 00:09:38.552]  But they persecute us.
[00:09:38.952 --> 00:09:41.375]  By the way, what was that Grand Theft Auto edit yesterday?
[00:09:41.395 --> 00:09:42.376]  I want to play that audio.
[00:09:43.237 --> 00:09:44.338]  Did you send that?
[00:09:44.999 --> 00:09:45.900]  Aaron, can you give that to me?
[00:09:46.300 --> 00:09:47.100]  I want to play that later.
[00:09:47.640 --> 00:09:50.061]  Okay, let's just go ahead and play this from the City Council.
[00:09:50.321 --> 00:09:53.041]  They got scanners at airports in control.
[00:09:53.101 --> 00:09:54.682]  I don't want citizens armed here.
[00:09:54.702 --> 00:09:56.442]  It's scary to me.
[00:09:56.822 --> 00:09:59.903]  It intimidates me to have citizens armed.
[00:10:00.363 --> 00:10:01.543]  Oh, it's horrible.
[00:10:02.363 --> 00:10:03.944]  So, here it is, ladies and gentlemen.
[00:10:05.384 --> 00:10:10.725]  I feel a little intimidated coming to a council meeting and seeing people with guns on their heads.
[00:10:11.929 --> 00:10:18.011]  You go to a courthouse or any other public building, you go to rectory machines in there, airports and everything else.
[00:10:18.211 --> 00:10:21.612]  You can't go to these places with guns.
[00:10:21.652 --> 00:10:24.092]  This is a government identity.
[00:10:24.412 --> 00:10:28.413]  I don't see why these men are standing here with sidearms.
[00:10:28.713 --> 00:10:30.574]  They're not police officers, in my opinion.
[00:10:31.214 --> 00:10:32.736]  To me, I don't know what's the matter.
[00:10:32.756 --> 00:10:36.080]  And probably the restaurant in the Dixon City, too.
[00:10:36.220 --> 00:10:37.282]  It's their business.
[00:10:37.322 --> 00:10:40.525]  They're serving public and family restaurants.
[00:10:40.585 --> 00:10:45.932]  Why should I go to a restaurant with my children around me if I can see a guy sitting there with a cider on him?
[00:10:47.481 --> 00:10:51.545]  You guys are very intimidating standing here, and I don't believe you should be here.
[00:10:51.585 --> 00:10:53.307]  We've done something.
[00:10:53.327 --> 00:10:54.188]  Sorry.
[00:10:54.448 --> 00:10:55.289]  Anything else?
[00:10:55.329 --> 00:10:56.110]  I'm not a member of the Borough.
[00:10:56.130 --> 00:10:58.472]  I live in Pittsburgh, Pennsylvania.
[00:10:58.632 --> 00:11:02.756]  I'd like to ask for help, though, on a matter of greatest importance.
[00:11:02.776 --> 00:11:08.642]  As we know on Friday, a group of my fellow organizational members were embarrassed, oppressed, harassed,
[00:11:09.042 --> 00:11:12.265]  We're good to go.
[00:11:38.079 --> 00:11:38.580]  We're good.
[00:11:50.433 --> 00:11:53.416]  Alright, so that's basically what happened.
[00:11:54.337 --> 00:11:56.619]  And this is how they operate in the new system.
[00:11:57.159 --> 00:12:01.943]  Now, the media there was like zooming in on these guys with sidearms, going, oh my gosh!
[00:12:02.224 --> 00:12:05.287]  And citizens are pointing like, oh my gosh!
[00:12:08.809 --> 00:12:17.733]  But then they see guys in black camo with their pants bloused into their combat boots with German shepherds bugging their eyes out.
[00:12:17.753 --> 00:12:19.654]  They go, oh, I feel so safe!
[00:12:20.334 --> 00:12:22.175]  And this is so scary!
[00:12:22.215 --> 00:12:23.515]  Citizens with guns!
[00:12:25.322 --> 00:12:27.563]  You understand the most dangerous thing in history is government?
[00:12:27.583 --> 00:12:29.804]  You understand statistically it's the most criminal thing?
[00:12:29.824 --> 00:12:36.266]  I mean, that's universally known in political science, that is an absolute fact, undeniable, undeniable.
[00:12:36.886 --> 00:12:39.707]  Psychopaths rotate towards law enforcement and towards government.
[00:12:40.008 --> 00:12:41.348]  Does that mean all of them are that?
[00:12:41.448 --> 00:12:41.648]  No.
[00:12:41.688 --> 00:12:43.549]  Does that mean even a large minority are?
[00:12:43.669 --> 00:12:43.989]  No.
[00:12:44.629 --> 00:12:50.211]  But does it mean that there is a key minority of them, many times more statistically than the general population?
[00:12:50.672 --> 00:12:51.012]  Yes.
[00:12:51.952 --> 00:12:56.600]  That's basic criminology, and I'm tired of the denials.
[00:12:58.203 --> 00:13:01.348]  We need to get back to the point where people... Now, I'll be honest with you.
[00:13:03.892 --> 00:13:04.753]  Quite frankly,
[00:13:07.260 --> 00:13:15.044]  It offends me when I see police going around with machine guns and with semi-automatic rifles and in camo and armored vehicles.
[00:13:15.104 --> 00:13:16.124]  It is militarized.
[00:13:16.525 --> 00:13:25.869]  Like if I go on a vacation, I saw a thing on TV about cruise ships where they don't want to arm them against pirates that do get attacked sometimes, modern day pirates, because it's offensive to people.
[00:13:26.449 --> 00:13:32.592]  They don't want to be seeing guys in black uniforms walking around with German Shepherds and machine guns when you're out on your cruise.
[00:13:32.612 --> 00:13:33.613]  You don't want to think about that.
[00:13:34.096 --> 00:13:35.516]  And I've been on a couple cruises, by the way.
[00:13:35.536 --> 00:13:36.616]  I wish I had time to go on one.
[00:13:37.017 --> 00:13:41.437]  But this was about, like, cruises off Africa where they get attacked, and Asia, you know, the big fancy ones.
[00:13:42.618 --> 00:13:45.298]  But, you know, people don't want to see that.
[00:13:45.358 --> 00:13:46.098]  They don't want to be around it.
[00:13:46.378 --> 00:13:48.559]  And it's not that I'm afraid of guns or don't like guns.
[00:13:49.279 --> 00:13:54.860]  You know, I mean, I know that it was 50 years ago when I saw a cop in a nice fancy blue uniform, dressed nice, professional.
[00:13:55.500 --> 00:13:59.381]  See, that's why they put them in black monkey outfits with ball caps, so they don't act professional.
[00:13:59.661 --> 00:14:01.221]  Then I probably would feel good, actually.
[00:14:02.322 --> 00:14:05.785]  Because statistically back then, and I've looked at the numbers, they were a lot better.
[00:14:06.146 --> 00:14:09.569]  They weren't perfect, you still had some bad counties, but pretty much cops were good.
[00:14:10.010 --> 00:14:12.652]  That's why people liked them, and they were friendly, and they knew everybody.
[00:14:13.113 --> 00:14:16.717]  But man, when a crime happened, they went ape, because this is their community.
[00:14:17.778 --> 00:14:21.441]  But they shifted away from that to revenue generation and law enforcement.
[00:14:22.683 --> 00:14:23.945]  Uh, and keeping the cattle in line.
[00:14:24.926 --> 00:14:27.229]  And it all gets into the whole philosophy of the rest of it.
[00:14:27.249 --> 00:14:30.053]  I mean, don't the police wish they wore nice uniforms?
[00:14:30.253 --> 00:14:31.194]  Good looking uniforms?
[00:14:31.855 --> 00:14:33.557]  Instead of these monkey outfits you wear?
[00:14:33.637 --> 00:14:35.500]  I mean, I was looking at Canadian cops in Ottawa.
[00:14:35.520 --> 00:14:36.221]  They look sharp!
[00:14:36.681 --> 00:14:37.743]  Like cops used to look here.
[00:14:37.763 --> 00:14:39.144]  They look like monkeys or something.
[00:14:39.705 --> 00:14:41.066]  But I'm already digressing.
[00:14:41.586 --> 00:14:44.728]  The point is, they know the psychology of how they dress you is how you behave.
[00:14:45.289 --> 00:14:46.910]  And I think I've said enough on this subject.
[00:14:48.030 --> 00:14:56.015]  It's just that the fact that we've gotten so domesticated, that we've come so far, that citizens shake in fear at the sight of guns.
[00:14:56.175 --> 00:14:58.096]  And I just want to give you an advisory in the U.S.
[00:14:58.417 --> 00:15:02.459]  A lot of cities arrest you a week after a library book is due and charge you with felonies.
[00:15:03.019 --> 00:15:05.881]  A lot of cities arrest you two days after your video's late.
[00:15:06.862 --> 00:15:08.443]  Because they need to arrest somebody, folks.
[00:15:08.863 --> 00:15:12.364]  They're not allowed to arrest the illegals, literally, for anything less than felonies.
[00:15:12.865 --> 00:15:14.445]  Drinking, driving, anything they're allowed to do it.
[00:15:14.545 --> 00:15:15.506]  No ID, no problem.
[00:15:16.086 --> 00:15:17.467]  They're supposed to leave them alone.
[00:15:18.087 --> 00:15:19.347]  And you're the fat cattle.
[00:15:19.988 --> 00:15:24.669]  So don't think just because you swiped your credit card that you paid for gas.
[00:15:24.709 --> 00:15:27.571]  Make sure you get a receipt or they'll SWAT team you.
[00:15:27.611 --> 00:15:29.051]  I see these cases every day, folks.
[00:15:29.091 --> 00:15:30.512]  I'm telling you about real problems here.
[00:15:31.933 --> 00:15:38.218]  If you are putting a rifle on the back of your car to go deer hunting, or to go to the range, I back my car in the garage.
[00:15:38.258 --> 00:15:43.863]  And it's not that I'm living in fear and a coward, it's just that these guys can go out on the vanguard and wear their guns on their sides.
[00:15:44.504 --> 00:15:50.169]  And I know in a way I'm giving in to the fear and the control by pulling my car in to load a gun.
[00:15:50.429 --> 00:15:52.671]  But I realize the chicken necks are dangerous, folks.
[00:15:52.931 --> 00:15:54.113]  The chicken necks are everywhere.
[00:15:54.793 --> 00:16:03.096]  And the cops have been trained to respond to any cowardly, I see a box on the side of the highway, I think it's an Al-Qaeda nuclear bomb, with proton missiles.
[00:16:03.776 --> 00:16:07.297]  With dinosaurs and Godzilla and 17 flying saucers in it.
[00:16:08.017 --> 00:16:19.001]  But then real threats, like Mexican troops attacking and cross-border wars and more rocket attacks this week and hand grenades and mass death and kidnappings and slaughter and dead cops, back of the paper.
[00:16:21.494 --> 00:16:22.474]  Everything is sick!
[00:16:23.375 --> 00:16:23.655]  It is!
[00:16:23.895 --> 00:16:25.495]  I'm living in an insane asylum!
[00:16:26.416 --> 00:16:27.296]  I keep saying it!
[00:16:27.356 --> 00:16:28.276]  I can't believe it!
[00:16:29.637 --> 00:16:40.301]  Meanwhile, the Austin Police are running around with robots to every cardboard box on the side of the road, freaking out on the news, training us all to ninny and run around imaginary Al-Qaeda groups.
[00:16:41.601 --> 00:16:42.541]  Alright, now I'm going to calls.
[00:16:42.581 --> 00:16:44.282]  Dave in California, go ahead, thanks for holding.
[00:16:45.174 --> 00:16:45.995]  Alex, got two things.
[00:16:46.095 --> 00:16:50.820]  It's really important I need you to talk to Officer Boot, please, right away.
[00:16:50.840 --> 00:16:51.882]  Is he there?
[00:16:52.382 --> 00:16:53.383]  Officer Jack Boot?
[00:16:53.523 --> 00:16:54.004]  Yes, sir.
[00:16:54.044 --> 00:16:55.846]  Trying to conjure Officer Jack Boot?
[00:16:56.727 --> 00:17:01.552]  Mirror, mirror on the wall, show me the Jackabootist of them all!
[00:17:04.380 --> 00:17:06.062]  You want to talk to Officer Jack Boot?
[00:17:06.222 --> 00:17:06.762]  Yes, sir.
[00:17:06.802 --> 00:17:07.082]  Hold on.
[00:17:07.542 --> 00:17:13.286]  I've got to go back to an imaginary childhood of being a bully who finally got beat up by kids that I used to beat up.
[00:17:13.967 --> 00:17:22.792]  And I'm a bully and I'm cowardly but I'm into acting masculine and I like black uniforms and primitive crappings of power and I had a lot of vaccines when I was little so my IQ is about 75.
[00:17:23.613 --> 00:17:23.893]  Hold on.
[00:17:28.096 --> 00:17:28.416]  I don't know.
[00:17:28.456 --> 00:17:30.457]  I just don't feel Officer Jack Boot coming.
[00:17:31.338 --> 00:17:31.578]  Okay.
[00:17:31.618 --> 00:17:31.938]  Hold on.
[00:17:31.958 --> 00:17:32.298]  Hold on.
[00:17:34.781 --> 00:17:37.924]  YOU DON'T TELL ME, BOY, WHAT TO DO ON MY OWN SHOW!
[00:17:40.006 --> 00:17:43.089]  Officer Buda, I have something really important to report to you, sir.
[00:17:44.050 --> 00:17:44.991]  Please take my report.
[00:17:46.772 --> 00:17:47.413]  SHUT UP!
[00:17:49.855 --> 00:17:51.517]  But there's boxes!
[00:17:52.799 --> 00:17:53.359]  Boxes?
[00:17:54.080 --> 00:17:55.601]  Where'd you see this box?
[00:17:55.901 --> 00:17:58.884]  Three days ago, sir, at the College of the Redwoods.
[00:17:58.964 --> 00:17:59.524]  Hold on!
[00:17:59.944 --> 00:18:01.506]  Hold on, let me get the dispatcher!
[00:18:02.066 --> 00:18:02.967]  We saw a box!
[00:18:03.287 --> 00:18:03.727]  Where was this?
[00:18:03.927 --> 00:18:04.908]  Was it at Al-Qaeda?
[00:18:05.088 --> 00:18:07.510]  Did you see Bin Laden?
[00:18:07.670 --> 00:18:09.431]  Was he riding a flying carpet?
[00:18:10.732 --> 00:18:11.853]  You're a good citizen!
[00:18:12.234 --> 00:18:14.175]  You want to kiss up to me and act scared?
[00:18:14.615 --> 00:18:15.036]  Yes, sir!
[00:18:15.816 --> 00:18:16.317]  That's better!
[00:18:17.808 --> 00:18:21.989]  But it was, but it, but, it's, it's, it's a box!
[00:18:22.749 --> 00:18:25.710]  Oh man, good to hear from you Dave, I really appreciate it.
[00:18:27.190 --> 00:18:28.830]  We have to learn to be ninnying and afraid.
[00:18:29.191 --> 00:18:31.431]  Leo and Masher on the Insane Asylum Program.
[00:18:32.471 --> 00:18:34.632]  Pretty soon I'm going to start going, Lena!
[00:18:35.072 --> 00:18:35.552]  Myself!
[00:18:35.932 --> 00:18:36.352]  Go ahead.
[00:18:37.692 --> 00:18:39.513]  Lower the blood pressure.
[00:18:40.173 --> 00:18:40.673]  Hello sir.
[00:18:41.453 --> 00:18:44.334]  Yeah, um, I sent you a little, uh,
[00:18:45.466 --> 00:18:46.847]  Thing under movie concepts.
[00:18:46.887 --> 00:18:48.988]  Did you read that on the tips line?
[00:18:50.148 --> 00:18:51.229]  I'm sure one of us did.
[00:18:51.329 --> 00:18:53.390]  I'm wallowing in data, but tell me about it.
[00:18:53.950 --> 00:19:03.535]  Yeah, it's basically... I wrote, collaborate with Catherine Albrecht of Spy Chips in an unauthorized makeover of the Invasion of the Body Snatchers.
[00:19:03.655 --> 00:19:04.495]  Use both versions.
[00:19:05.416 --> 00:19:07.797]  With all relevant links to factual data.
[00:19:07.837 --> 00:19:10.298]  Should be a visible runner running at the bottom of the frame.
[00:19:11.181 --> 00:19:16.690]  Interspersed throughout the movie, and use enough material time-wise to warrant a legal case, i.e.
[00:19:16.710 --> 00:19:19.094]  go way over contemporary limits of free usage.
[00:19:19.114 --> 00:19:22.199]  To make them sue, give you free publicity.
[00:19:22.219 --> 00:19:25.504]  Or if they don't sue, you establish a new precedent for usage.
[00:19:26.562 --> 00:19:31.125]  And I said I'd volunteer to be the producer of record for legal cases because I can't get anything done.
[00:19:31.305 --> 00:19:34.487]  Well, that is a nice hypothetical scenario.
[00:19:35.188 --> 00:19:38.911]  But I don't think I could even make a live-action Body Snatchers.
[00:19:39.751 --> 00:19:43.173]  Much less get along with the people that I'll be making it with.
[00:19:43.354 --> 00:19:44.955]  Not like Catherine, but you know, everything's done here.
[00:19:44.975 --> 00:19:49.778]  The Federal Trade Commission estimates that 9 million Americans are victims of identity theft each year.
[00:19:49.958 --> 00:19:54.701]  The crime of identity theft occurs every 3.5 seconds, costing the victims an average of $8,000.
[00:19:55.962 --> 00:20:02.846]  If you own a PC, passwords are a common form of authentication, and often the only protection between a hacker and your personal information.
[00:20:03.126 --> 00:20:11.752]  Passwords that are stored in a spreadsheet, text file, data file, or any other file that is not encrypted and password protected, are vulnerable to malicious theft and misuse.
[00:20:12.132 --> 00:20:16.795]  With PasswordSafe Pro, your passwords can be secured in an encrypted database within minutes.
[00:20:17.075 --> 00:20:23.679]  PasswordSafe Pro utilizes secure 160-bit encryption, and comes complete with a strong password generation tool.
[00:20:24.039 --> 00:20:31.643]  For secure password protection and peace of mind, get your free Password Safe Pro today at www.PasswordSafePro.com.
[00:20:31.963 --> 00:20:37.726]  Again, get your free Password Safe Pro at www.PasswordSafePro.com.
[00:20:38.006 --> 00:20:41.588]  Secure password protection and peace of mind is one click away.
[00:20:41.848 --> 00:20:44.029]  Trust the Pro Password Safe Pro.
[00:20:44.841 --> 00:20:57.586]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:20:57.986 --> 00:21:01.808]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:21:02.168 --> 00:21:08.675]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:21:09.035 --> 00:21:12.238]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:21:12.459 --> 00:21:19.966]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:21:20.367 --> 00:21:25.011]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:21:25.732 --> 00:21:35.578]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:21:35.979 --> 00:21:38.240]  We're in a no-holds-bar information war.
[00:21:38.620 --> 00:21:43.924]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:21:44.657 --> 00:21:50.859]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:21:51.320 --> 00:21:59.083]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
