[00:00:02.637 --> 00:00:02.938]  Yeah, I think.
[00:04:10.039 --> 00:04:13.201]  Was there a certain film or book or television show?
[00:04:13.961 --> 00:04:22.226]  No, I've always, even going way back to high school, I actually spoke on C-SPAN.
[00:04:22.246 --> 00:04:23.227]  Really?
[00:04:23.866 --> 00:04:27.267]  To, uh, in front of Congress about the decriminalization of marijuana.
[00:04:27.527 --> 00:04:35.649]  I've always sort of been, um, an activist and wanting to, um, create change, you know, and to get people to wake up.
[00:04:36.169 --> 00:04:45.651]  But, um, when I was on a lecture record, um, what really sort of was interesting was I would pose questions about, uh, political questions about things that were going on.
[00:04:45.671 --> 00:04:47.231]  Alright, hold that thought because we have to go to break.
[00:04:47.251 --> 00:04:49.592]  We have Amy Allen, Start a Revolution.
[00:04:49.632 --> 00:04:50.392]  We'll be back after this.
[00:04:50.452 --> 00:04:51.452]  Infowars.com.
[00:04:59.932 --> 00:05:01.613]  Our beloved Republic is on her knees.
[00:05:01.894 --> 00:05:05.357]  The forces of globalism are destroying national sovereignty worldwide.
[00:05:05.517 --> 00:05:07.359]  But in Liberty's darkest hour, there is hope.
[00:05:07.979 --> 00:05:10.702]  The first time in modern history, the people are beginning to wake up.
[00:05:11.022 --> 00:05:16.387]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:05:16.727 --> 00:05:20.690]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:05:20.990 --> 00:05:25.914]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:05:26.174 --> 00:05:28.956]  PrisonPlanet.tv is a vault of forbidden information.
[00:05:29.236 --> 00:05:36.081]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:05:36.461 --> 00:05:42.265]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:05:42.445 --> 00:05:46.008]  My weekly news television broadcast, thousands of exclusive audio interviews,
[00:05:46.308 --> 00:05:51.490]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:05:51.530 --> 00:05:55.211]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:06:10.996 --> 00:06:11.396]  I don't know.
[00:06:32.370 --> 00:06:36.912]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:06:37.192 --> 00:06:37.973]  Do your part.
[00:06:38.233 --> 00:06:40.514]  Alkalize and supercharge your body now.
[00:06:40.854 --> 00:06:49.699]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink up to the pH of 10 with only 10 drops.
[00:06:50.079 --> 00:06:56.262]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:06:56.542 --> 00:06:57.943]  Again, that's alkavision.com.
[00:06:59.565 --> 00:07:08.287]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:07:08.487 --> 00:07:13.268]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:07:13.628 --> 00:07:24.751]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:07:25.151 --> 00:07:30.695]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or one year, whichever comes first.
[00:07:30.935 --> 00:07:36.999]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:07:37.199 --> 00:07:37.859]  What about you?
[00:07:38.240 --> 00:07:44.263]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99, with free shipping.
[00:07:44.664 --> 00:07:46.805]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:07:50.151 --> 00:07:50.612]  That's 1-877-886-3653.
[00:07:50.632 --> 00:07:53.437]  Or simply click on the banner at GCNlive.com to order online now.
[00:08:04.426 --> 00:08:08.612]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:09.273 --> 00:08:10.074]  You want answers?
[00:08:10.855 --> 00:08:11.736]  Well, so does he.
[00:08:11.756 --> 00:08:16.062]  He's Alex Jones on the GCN Radio Network.
[00:08:16.603 --> 00:08:20.648]  And now, live from Austin, Texas, Alex Jones.
[00:08:21.824 --> 00:08:25.925]  Alright, folks, we are back at the Command Center in Austin, Texas.
[00:08:26.046 --> 00:08:29.327]  I am Jason Burmess, subbing in for Alex Jones at the moment.
[00:08:29.347 --> 00:08:34.609]  I want to remind everybody to go to InfoWars.com and pick up some of the videos, make copies, hand them out.
[00:08:34.969 --> 00:08:40.611]  Get Terror Storm, get Martial Law, get my film, Loose Change 2nd Edition or Loose Change Final Cut.
[00:08:40.891 --> 00:08:42.071]  Make copies, hand them out.
[00:08:42.091 --> 00:08:43.332]  We need to wake up the masses.
[00:08:43.732 --> 00:08:48.754]  And we were talking about your time with Elektra Records and what set you off there, Amy?
[00:08:50.828 --> 00:09:00.256]  What happened was, being on a major label, they really threatened me with not talking about politics.
[00:09:00.437 --> 00:09:02.959]  They basically said, we're not going to release the record if you continue.
[00:09:03.359 --> 00:09:05.701]  And this is, I'd start a revolution if I could get up in the morning.
[00:09:05.741 --> 00:09:06.001]  Right.
[00:09:06.342 --> 00:09:16.771]  And what happened was, because I had the word revolution in my title of my song, there was a lot of people that would go on my message boards and talk about revolution.
[00:09:16.811 --> 00:09:17.391]  And right after 9-11,
[00:09:18.635 --> 00:09:33.928]  The CIA called my record company and said, you have to take her message board down, or she has to either stop talking about what's going on, or, um, using the word revolution, um, or, um, or else.
[00:09:34.008 --> 00:09:35.309]  I mean, I don't even know what the threat was.
[00:09:35.329 --> 00:09:36.270]  So total censorship.
[00:09:37.071 --> 00:09:37.311]  Huh?
[00:09:37.371 --> 00:09:38.191]  Total censorship.
[00:09:38.272 --> 00:09:39.052]  Total censorship.
[00:09:39.072 --> 00:09:42.455]  So I got a call from my, my label saying you have to stop being political.
[00:09:42.475 --> 00:09:45.097]  We got a call from the CIA and I was just like blown away.
[00:09:45.117 --> 00:09:46.078]  I couldn't believe it.
[00:09:46.238 --> 00:09:47.019]  I was like, really?
[00:09:48.157 --> 00:10:04.210]  You know, and so that really, so as soon as my record label folded, um, you know, I thought that, you know, doing the Ron Paul song was just such a release for me, because, you know, I could finally, like, say what I wanted to say without, you know... So they, what, effectively censored you for almost five years?
[00:10:05.171 --> 00:10:08.413]  Oh, well, yeah, well, they wouldn't, they would not let me sign with another label.
[00:10:08.614 --> 00:10:10.235]  They held me, you know, hostage.
[00:10:10.751 --> 00:10:15.935]  They're obviously very, very talented, and that's probably why they don't want this type of message to get out to the masses.
[00:10:16.196 --> 00:10:21.300]  And it's through song and pop culture that we really are able to wake up the most amount of people.
[00:10:21.940 --> 00:10:22.381]  Exactly.
[00:10:22.401 --> 00:10:29.727]  And I'm so happy that the videos had the response that it had.
[00:10:30.347 --> 00:10:32.529]  Basically, we just had to do it.
[00:10:32.809 --> 00:10:36.933]  We watched Lucien, who is the producer of the song,
[00:10:37.761 --> 00:10:47.270]  We're really good friends and we just sat there and watched Freedom from Freedom to Fascism together and we watched Parts of Zeitgeist and we were just like, you know, what are we going to do?
[00:10:47.530 --> 00:10:53.936]  And we were sitting there in our house and we just looked at each other like, gosh, I wish there was just something we could do.
[00:10:54.637 --> 00:10:55.578]  And there was silence.
[00:10:56.138 --> 00:10:58.681]  And then we just looked at each other and just laughed and we're like, let's do it.
[00:10:58.781 --> 00:10:59.722]  Let's do it right now.
[00:10:59.742 --> 00:11:01.203]  Let's just write a song right now.
[00:11:01.983 --> 00:11:04.185]  Because there was no other choice.
[00:11:04.265 --> 00:11:05.927]  It's like we had to say something.
[00:11:06.227 --> 00:11:10.030]  So everybody in that video pretty much worked for pro bono, and it's an awesome video by the way.
[00:11:10.651 --> 00:11:11.151]  Oh, thank you.
[00:11:11.171 --> 00:11:19.418]  Yeah, what we realized is that I live in West Hollywood, a big gay community, and a lot of my friends are gay.
[00:11:19.818 --> 00:11:21.100]  Almost all my friends are gay, guys.
[00:11:21.680 --> 00:11:28.486]  And if you're watching the mainstream media, they'll tell you that the gay community is for Hillary Clinton.
[00:11:29.125 --> 00:11:31.145]  And that just wasn't the case.
[00:11:32.166 --> 00:11:33.106]  And that's just not the case.
[00:11:33.566 --> 00:11:43.348]  Because there's a huge gay community for Ron Paul because they understand, you know, they want freedom just as much as, you know, the next person.
[00:11:44.448 --> 00:11:50.329]  And they knew they could get married and there'd be so many more rights because the government would stay out of religion, which is what marriage is.
[00:11:50.809 --> 00:11:52.949]  Absolutely, less government intrusion in their lives.
[00:11:53.529 --> 00:11:57.030]  Exactly, and so pretty much everyone who worked on the video was just
[00:11:57.386 --> 00:11:59.447]  Super into Ron Paul and they're like, let's do it, let's go.
[00:11:59.488 --> 00:12:02.289]  We got, you know, cinematographers and lighting.
[00:12:02.310 --> 00:12:10.415]  We got free everything because everyone wanted to help get the message out and it's just so refreshing and just an awesome, awesome display.
[00:12:10.435 --> 00:12:14.058]  And then you're also friends with the Suicide Girls because they make a little bit of an appearance too, right?
[00:12:14.938 --> 00:12:23.645]  Well, I host... I'm not a Suicide Girl, but I host a show on Indie 103.1 called Suicide Girls Radio and
[00:12:25.874 --> 00:12:31.620]  So I get a chance to take down the New World Order on the radio show.
[00:12:31.720 --> 00:12:33.181]  What's that, on FM?
[00:12:33.221 --> 00:12:34.583]  Yeah, 103.1 FM in Los Angeles.
[00:12:34.643 --> 00:12:34.983]  Excellent.
[00:12:35.804 --> 00:12:36.084]  Killer.
[00:12:36.104 --> 00:12:40.028]  But the Suicide Girls, I had to compete with the hip-hop music videos.
[00:12:46.664 --> 00:12:48.225]  No, I'm kidding.
[00:12:48.385 --> 00:12:52.006]  I wanted to have the Suicide Girls on there because they're like punk rock.
[00:12:52.186 --> 00:12:54.026]  Hey, a little sex appeal never hurts, right?
[00:12:54.566 --> 00:12:59.908]  Sex appeal gets people's attention, you know, because people are a little dumbed down these days.
[00:12:59.968 --> 00:13:05.190]  If I show a couple of cute girls in bikinis, maybe they'll listen to my message about the Boulder Burger.
[00:13:06.870 --> 00:13:11.472]  But yeah, they're punk rock, and the owner of the Suicide Girls
[00:13:12.802 --> 00:13:15.983]  Had bikinis made up that says, you know, Ron Paul.
[00:13:16.783 --> 00:13:18.264]  Two cigars love Ron Paul.
[00:13:18.604 --> 00:13:23.606]  Just had him made up for free just because he's about smaller government.
[00:13:23.726 --> 00:13:32.909]  Ron Paul is the punk rock candidate and he is the voice of the people who really want real freedom.
[00:13:34.016 --> 00:13:35.177]  Yeah, no, I'm absolutely with you.
[00:13:35.217 --> 00:13:51.234]  In fact, you know, I just got down to Austin, Texas a little less than two months ago for the very first time, and I'm from New York, and although there was a big, you know, Ron Paul movement in my community in New York, I never expected to come down here and just see Ron Paul on all these cars.
[00:13:51.314 --> 00:13:55.398]  I saw young people wearing Ron Paul t-shirts with ties on.
[00:13:55.418 --> 00:13:56.680]  I mean, I was just shocked.
[00:13:57.100 --> 00:14:13.454]  That that many people, especially younger people, like you T-Kids, knew that Ron Paul was the only candidate that was going to offer freedom, the only candidate that was going to get us out of Iraq and Iran, the only candidate that was going to limit government, and the only candidate that's not a globalist.
[00:14:14.154 --> 00:14:20.039]  Yeah, with the CFR agenda, and the war on drugs, that's just been...
[00:14:20.709 --> 00:14:22.894]  A huge issue for me for many years.
[00:14:22.994 --> 00:14:25.660]  I just think it's so ridiculous.
[00:14:26.161 --> 00:14:26.762]  No, I'm with you there.
[00:14:26.782 --> 00:14:28.085]  Have you seen American Drug War yet?
[00:14:29.313 --> 00:14:31.555]  No, you've got to see American Drug War.
[00:14:31.616 --> 00:14:35.519]  It's done by Kevin Booth, who used to manage comedian Bill Hicks.
[00:14:35.800 --> 00:14:40.064]  But it's got Tommy Chong, we had him on the program a couple times in the last few weeks.
[00:14:40.625 --> 00:14:45.249]  And it's also got Selly Castillo, who helped run the drugs for this government into this country.
[00:14:45.810 --> 00:14:49.033]  They've got Jack Arpaio, they also have Barry McCafferty.
[00:14:49.093 --> 00:14:50.955]  It's just a very well documentary that
[00:14:51.195 --> 00:15:00.701]  Really peels back the layers on how we ship in the drugs and then we prosecute the users and we have them work for slave labor wages in our privatized prisons.
[00:15:01.342 --> 00:15:02.162]  Exactly.
[00:15:02.182 --> 00:15:03.883]  I couldn't put it better.
[00:15:03.923 --> 00:15:04.304]  Thank you.
[00:15:04.944 --> 00:15:07.025]  First of all, I love Bill Hicks.
[00:15:07.446 --> 00:15:08.146]  I just have to say that.
[00:15:08.947 --> 00:15:10.648]  American Drug War, we'll definitely check that out.
[00:15:11.016 --> 00:15:11.836]  Definitely have to.
[00:15:11.916 --> 00:15:12.637]  It's an excellent movie.
[00:15:12.677 --> 00:15:13.437]  It's got a great cover.
[00:15:13.457 --> 00:15:16.719]  We actually carry it over at Infowars.com for the listeners.
[00:15:17.099 --> 00:15:20.781]  And I think that it might even be posted over at PrisonPlanet.tv.
[00:15:20.841 --> 00:15:21.621]  Go check it out.
[00:15:21.721 --> 00:15:23.042]  So what's the future for Amy Allen?
[00:15:23.062 --> 00:15:24.182]  Are you going to put out a new album?
[00:15:24.222 --> 00:15:25.963]  Are you going to sign with a new record label?
[00:15:25.983 --> 00:15:33.007]  I mean, I'm sure... I am definitely not going to be a slave to any record company.
[00:15:33.047 --> 00:15:36.548]  I'm starting my own company and just releasing my music on my own.
[00:15:37.929 --> 00:15:39.210]  That's just the best way to do it.
[00:15:40.208 --> 00:15:44.833]  We, um, I released an independent, um, album called Scott and Amy.
[00:15:46.114 --> 00:15:49.658]  And it just won Best Punk Song of the Year, a song I wrote called Miss America.
[00:15:50.538 --> 00:15:56.424]  And, um, and, uh, just, uh, we finished that and, um, now I'm just doing solo, solo work.
[00:15:56.845 --> 00:15:59.688]  Um, just my own material, gonna release it myself.
[00:16:00.208 --> 00:16:02.951]  Not gonna have any label tell me what I can say, what I can't say.
[00:16:03.823 --> 00:16:07.004]  And it's a big relief.
[00:16:07.064 --> 00:16:11.246]  That's amazing, and it is through art and song that we're going to reach the masses.
[00:16:11.326 --> 00:16:14.547]  It's Scott and Amy, and people can download that, they can go get a hard copy.
[00:16:14.587 --> 00:16:15.568]  How do they get that out?
[00:16:15.588 --> 00:16:19.289]  For the listeners, it's called A-I-M-E-E.
[00:16:19.869 --> 00:16:22.070]  And at Scott and Amy, you can get that on iTunes.
[00:16:28.265 --> 00:16:31.446]  Amy Allen's MySpace, you can get the Ron Paul song for free.
[00:16:31.566 --> 00:16:33.687]  I'm just giving it away, I just want the message to get out there.
[00:16:34.207 --> 00:16:37.288]  They can buy it or they can get it for free, like whatever they want.
[00:16:37.328 --> 00:16:41.829]  Yeah, well I hope people do support you because, what is it, Sidetracked Records is your new company?
[00:16:42.769 --> 00:16:52.012]  No, Sidetracked Records is independent, just like a small company that we formed for Scott and Amy, but that's just for that particular record.
[00:16:53.510 --> 00:17:00.356]  My particular record label is not named yet.
[00:17:01.157 --> 00:17:08.864]  Well I hope you come up with a good name because it's great music, it's a great message, and actually California is one of the more active places.
[00:17:08.884 --> 00:17:14.349]  I spent a little time out in Hollywood myself and I went out to the big Hollywood protest last summer.
[00:17:14.369 --> 00:17:18.954]  There's a lot of awake minds out there, maybe a little left-leaning I guess, but
[00:17:19.514 --> 00:17:23.858]  As we expose them more as globalists, I mean, even in your song you're talking about the Verichip.
[00:17:24.259 --> 00:17:26.741]  You even talk about the Mark of the Beast, which I found shocking.
[00:17:26.761 --> 00:17:33.828]  You know, the 666, the fact that these people are into weird stuff like numerology and paganism and their Bohemian Grove Club.
[00:17:34.128 --> 00:17:39.854]  But what really does scare me is that the Verichip is very real, and just a few weeks ago,
[00:17:40.234 --> 00:17:52.538]  One of the people that likes to go after loose change and debunk loose changes on the forums all the time, he's a military guy and he got called into the office and he said, alright, you gotta go for a check-up and he wasn't due for one for five years.
[00:17:53.038 --> 00:18:00.221]  He checks out on the check-up and then all of a sudden they stamp his thing with RFID and the next Thursday he had to take the chip and he had no choice.
[00:18:00.261 --> 00:18:03.422]  It was either that or get court-martialed and go to military prison.
[00:18:06.610 --> 00:18:09.951]  You know, I wish I was making this stuff up, but I'm not.
[00:18:10.952 --> 00:18:30.658]  This is one of the debunkers, and even he was really disturbed by it, and about half the people that normally attack us and would have gone after us just kind of stopped posting altogether, because my producer Corey Rowe, who is a former soldier who was both in Afghanistan and Iraq, had just given a speech after one of our screenings about how they were chipping soldiers.
[00:18:31.038 --> 00:18:32.379]  And it's not just soldiers, I mean,
[00:18:32.999 --> 00:18:44.565]  Back in 2004, we had members of the Mexican government, about 140 of them, take chips in their arms for security reasons, and now Mexico is proposing getting rid of their passport for other South Americans.
[00:18:44.886 --> 00:18:50.348]  Basically, if you live in Guatemala and below, you're going to have to take an RFID chip to get into Mexico.
[00:18:50.428 --> 00:18:52.770]  It's to curb illegal immigration.
[00:18:53.090 --> 00:18:57.432]  And whenever they're forcing us to take chips, I think it's time to wake up, Amy.
[00:18:58.133 --> 00:18:58.613]  Seriously?
[00:18:59.076 --> 00:19:03.597]  I mean, there's certain jobs that you can't even get unless you get chipped.
[00:19:03.857 --> 00:19:06.198]  So, I mean, where does it end?
[00:19:06.638 --> 00:19:15.820]  And the thing that really just killed me is that when you bring it up to people, they just write it off as insane.
[00:19:15.900 --> 00:19:17.660]  It's like, no, go look for yourself.
[00:19:17.900 --> 00:19:19.181]  Go do the research.
[00:19:19.241 --> 00:19:22.821]  Go find out for yourself what I'm talking about.
[00:19:23.262 --> 00:19:25.202]  And then, you know, the response is always like,
[00:19:25.871 --> 00:19:31.113]  You know, if I'm at a party or hang out, people are like, you know, the rules are you don't talk about politics and you don't talk about religion.
[00:19:31.153 --> 00:19:32.674]  But it's like, alright, fine.
[00:19:32.714 --> 00:19:35.415]  Can we just throw those rules out the window for like five seconds?
[00:19:35.535 --> 00:19:38.416]  Because right now our country is being taken from us.
[00:19:38.436 --> 00:19:40.357]  Yeah, those rules need to go.
[00:19:40.397 --> 00:19:41.457]  I hear that all the time.
[00:19:42.278 --> 00:19:43.318]  You need to reach out when you can.
[00:19:43.338 --> 00:19:45.379]  We're going to be back after this with Amy Allen.
[00:19:45.439 --> 00:19:47.820]  It is the Alex Jones Show, InfoWars.com.
[00:20:02.817 --> 00:20:05.738]  Imagine walking down the street and hearing footsteps behind you.
[00:20:06.078 --> 00:20:10.319]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:20:11.039 --> 00:20:12.740]  What are you going to do to defend yourself?
[00:20:13.540 --> 00:20:17.641]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[00:20:18.242 --> 00:20:26.324]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[00:20:27.040 --> 00:20:27.980]  Not sure where to start?
[00:20:28.421 --> 00:20:31.782]  The Tebowtech Essentials Package is great for you or to share with your family.
[00:20:32.322 --> 00:20:43.046]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:20:43.687 --> 00:20:49.729]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:20:50.422 --> 00:20:51.202]  Don't be a victim.
[00:20:51.642 --> 00:20:52.323]  Be a victor.
[00:20:52.903 --> 00:20:53.603]  Stock up now.
[00:20:53.963 --> 00:20:55.163]  tbotech.com.
[00:20:55.604 --> 00:20:57.764]  That's t-b-o-t-e-c-h dot com.
[00:21:01.886 --> 00:21:02.926]  Hi, this is Ted Anderson.
[00:21:03.346 --> 00:21:08.828]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:21:09.388 --> 00:21:09.888]  That's right.
[00:21:10.208 --> 00:21:12.489]  Gold has been available to be placed in IRAs since 1986.
[00:21:13.049 --> 00:21:19.971]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:21:20.535 --> 00:21:28.221]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:21:28.661 --> 00:21:33.525]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:21:34.146 --> 00:21:37.188]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:21:39.949 --> 00:21:44.072]  Don't get left behind by rising inflation and low return on your paper investments.
[00:21:44.472 --> 00:21:44.712]  Call 800-686-2237.
[00:21:44.732 --> 00:21:46.214]  Make sure that you secure your future.
[00:21:46.234 --> 00:21:46.394]  Call 800-686-2237.
[00:21:46.454 --> 00:21:46.774]  That's 1-800-686-2237.
[00:21:46.814 --> 00:21:47.875]  It is a big idea.
[00:21:47.895 --> 00:21:48.835]  A new world order.
[00:21:48.855 --> 00:21:51.958]  In the near future, Earth is dominated by a powerful new government.
[00:22:09.745 --> 00:22:11.686]  It's known as the Bilderberg Group.
[00:22:12.367 --> 00:22:14.888]  Could their objective be world domination?
[00:22:15.168 --> 00:22:17.610]  For thousands of years their dark order grew.
[00:22:18.350 --> 00:22:23.573]  Now as they hail the birth of the New World Order, their great dream of extermination.
[00:22:28.686 --> 00:22:30.888]  You guys talk about going on like Six Flags?
[00:22:59.887 --> 00:23:03.409]  Cardivite is probably the most misunderstood supplement today.
[00:23:03.689 --> 00:23:09.853]  Cardivite is packed full of vitamins at cell level to help your whole body function like it used to.
[00:23:10.174 --> 00:23:16.438]  Today's diet is lacking in the trace minerals and nutrients our body needs to maintain our good health.
[00:23:16.958 --> 00:23:22.702]  Get the toxins and heavy metals out and allow your body to do the job God intended.
[00:23:23.342 --> 00:23:27.405]  Made for the heart, Cardivite helps in so many other ways.
[00:23:28.004 --> 00:23:33.740]  So order your 4 month special of either the capsules or tincture for just $125 plus shipping and handling.
