[00:00:00.009 --> 00:00:00.089]  Now!
[00:10:14.353 --> 00:10:19.954]  There's nobody in the Washington crowd capable of bringing change.
[00:10:20.974 --> 00:10:22.534]  It's the same crowd.
[00:10:22.594 --> 00:10:26.855]  You know, we'll have all the Clinton retreads will be there.
[00:10:27.335 --> 00:10:30.796]  The people who bombed Serbia and committed war crimes in Serbia.
[00:10:31.136 --> 00:10:31.876]  Robert Rubin
[00:10:32.662 --> 00:10:40.506]  The Clinton Secretary of the Treasury who got Glass-Steagall repealed and is responsible as much as anybody for the current financial crisis.
[00:10:40.566 --> 00:10:40.866]  Yes.
[00:10:41.526 --> 00:10:47.389]  Holbrooke, Dennis Ross, these are all the criminals of the Clinton administration.
[00:10:47.429 --> 00:10:51.211]  They'll now simply be recycled in the government.
[00:10:51.651 --> 00:10:57.414]  And even if Obama knew anyone capable of helping him bring change,
[00:10:58.004 --> 00:11:00.806]  He wouldn't be able to get them confirmed by the Senate.
[00:11:01.226 --> 00:11:07.631]  The powerful interest groups would go in and block the appointment.
[00:11:08.612 --> 00:11:12.275]  The only way you'll ever get change in Washington is a revolution.
[00:11:13.556 --> 00:11:25.524]  I think what's going to bring change is not the election of Obama, it's the fact that the United States has run out of money and run out of credibility.
[00:11:26.747 --> 00:11:31.150]  ...and has annoyed the world, and the world is organizing against us.
[00:11:32.791 --> 00:11:52.442]  We see the statements out of China, out of Russia, out of India, out of Brazil, out of Venezuela, out of Germany even, that they want a different kind of international community in which America isn't the ruler, it's just a member of the community.
[00:11:55.006 --> 00:11:56.748]  All right, we're going to be right back, Dr. Roberts.
[00:11:56.768 --> 00:11:57.409]  We're going to be right back.
[00:11:57.429 --> 00:11:59.852]  We've got two more segments with you today.
[00:11:59.872 --> 00:12:08.722]  And when we get back, I want to talk about Obama and some of the new policies he's pushing, because it's bad.
[00:12:10.544 --> 00:12:12.526]  But John, let's skip this break.
[00:12:13.207 --> 00:12:13.387]  OK.
[00:12:14.048 --> 00:12:14.689]  Dr. Roberts.
[00:12:18.065 --> 00:12:19.326]  Dr. Roberts for the internet audience.
[00:12:19.446 --> 00:12:20.306]  We're not on AM and FM.
[00:12:20.346 --> 00:12:21.727]  I want to keep talking here.
[00:12:21.747 --> 00:12:23.307]  So we're still on the radio.
[00:12:23.627 --> 00:12:27.849]  Yeah, look, I'm not attacking you saying, oh, you were saying maybe Obama's good.
[00:12:28.009 --> 00:12:40.634]  I mean, obviously we couldn't on paper say, well, let's just go for John McCain, because worldwide that would have been seen as a national endorsement of the neocons.
[00:12:40.654 --> 00:12:42.915]  But now they're bringing in
[00:12:44.164 --> 00:12:51.068]  The slicker neocons, I mean, people who are literally from the very, very same crowd.
[00:12:51.088 --> 00:12:56.410]  I mean, his new Chief of Staff alone is just an absolute nightmare.
[00:12:56.871 --> 00:12:59.432]  And so we have all of that going on.
[00:12:59.512 --> 00:13:01.053]  And then you talk about credibility.
[00:13:02.173 --> 00:13:07.716]  If McCain would have come in, internationally and nationally, he would have had no credibility.
[00:13:08.897 --> 00:13:12.119]  And so now that
[00:13:13.106 --> 00:13:33.117]  He's in there, he has been able to mesmerize, get more credibility internationally, and now he's saying, okay, we got some big event coming up, the 21st, 22nd, okay, we're going to go ahead and get tough on Iran and Russia, okay, we're going to do all these things, okay, I'm going to appoint a bunch of Israelis and other people to my cabinet.
[00:13:34.278 --> 00:13:34.478]  Right.
[00:13:35.999 --> 00:13:36.199]  Right.
[00:13:36.779 --> 00:13:38.500]  But they're not going to be able to get tough.
[00:13:40.341 --> 00:13:41.382]  Because they ain't got any money.
[00:13:44.369 --> 00:13:45.770]  And they got a bad recession.
[00:13:46.271 --> 00:13:47.933]  I mean, it's really gonna be bad.
[00:13:50.395 --> 00:13:53.538]  So, what's this about guns?
[00:13:54.399 --> 00:13:57.402]  Ron, Israel, Emanuel wants to take our guns already, huh?
[00:13:58.322 --> 00:14:03.026]  Well, you know, he was the guy that got the assault of his band passed in 94 and he spearheaded NAFTA.
[00:14:03.466 --> 00:14:06.509]  And yeah, all over the news, Handgun Control Inc.
[00:14:06.529 --> 00:14:10.232]  and others are saying, yes, we're going to push for, quote, sensible gun control.
[00:14:10.912 --> 00:14:18.378]  And sensible to them is banning all sorts of rifles, more registration, just a whole new raft of gun grabbing.
[00:14:18.418 --> 00:14:23.362]  And so now, national gun sales have broken their all-time records, according to the New York Times.
[00:14:24.583 --> 00:14:25.163]  That surprised me.
[00:14:29.417 --> 00:14:42.812]  I mean, there are people in the New York Times saying, if I can pull the article up if you like, saying, you know, he wants a youth brigade, he wants a domestic Stasi, and then I went to change.gov, his new transition website,
[00:14:43.866 --> 00:14:45.327]  Well, all that may be disappointing.
[00:15:11.772 --> 00:15:14.433]  You know, they've got their crazy groups, just like we do.
[00:15:15.914 --> 00:15:32.243]  But at the moment, they've got two wars, maybe two more, because they keep blowing up things in Pakistan, and now they've crossed Syria's border, and they're still going on about Iran and Georgia.
[00:15:33.243 --> 00:15:34.063]  They've got no money.
[00:15:35.784 --> 00:15:38.546]  They've got to either print it or wire it.
[00:15:39.626 --> 00:15:40.867]  Nobody's going to lend it to them.
[00:15:42.745 --> 00:15:48.069]  They've got the highest unemployment in a long, long time, and it's not even measured accurately.
[00:15:48.209 --> 00:15:56.635]  Really, the unemployment rate now is, I would say it's at least 15% measured the way we measured it during the Reagan years.
[00:15:59.277 --> 00:16:04.440]  You see, Clinton stopped counting discouraged workers as unemployed.
[00:16:04.460 --> 00:16:05.841]  Alright, we're coming back to the full audience.
[00:16:06.041 --> 00:16:07.162]  Let's talk about that right now.
[00:16:07.563 --> 00:16:07.883]  Here we go.
[00:16:18.291 --> 00:16:20.834]  His book is out of stores nationwide right now.
[00:16:20.955 --> 00:16:23.498]  It's the tyranny of good intentions.
[00:16:28.324 --> 00:16:30.988]  And we're talking to Dr. Paul Craig Roberts today.
[00:16:32.455 --> 00:16:47.088]  Continuing with the discussion of the economy, as the former head of the Treasury had a policy, where is the economy really right now versus the mainstream corporate press saying that we're not really in a recession yet and using all of this cooking of books?
[00:16:47.128 --> 00:16:51.111]  And then the added question, why were they more honest in the past
[00:16:52.172 --> 00:16:54.693]  Well, what they did with the employment and inflation statistics is that
[00:17:21.857 --> 00:17:32.104]  Over time, each administration monkeyed with it a little bit to make themselves look better, and any particular change didn't have much effect.
[00:17:32.344 --> 00:17:39.529]  But over, you know, 30 years, they've become cumulative and big effects.
[00:17:39.589 --> 00:17:43.631]  And the biggest things happened in the Clinton administration.
[00:17:43.831 --> 00:17:44.752]  He did two things.
[00:17:45.032 --> 00:17:50.736]  One, he ceased, well I can't say he, but the government during Clinton's
[00:17:51.900 --> 00:17:53.001]  I don't think so.
[00:18:21.434 --> 00:18:49.810]  They changed the way they measure it such that comparisons of pre-Clinton and post-Clinton aren't possible because what Clinton did in order to cheat the Social Security recipients whose retirement checks were indexed to inflation, they wanted to hold down those payments so they rigged the CPI
[00:18:51.109 --> 00:18:52.890]  To understate inflation.
[00:18:53.250 --> 00:19:10.256]  And one of the ways they did that was, for example, if the price of steak goes up in the index of all the weighted commodities in the basket of goods that they're measuring, the price of steak goes up, it doesn't reflect anymore as inflationary.
[00:19:10.296 --> 00:19:13.038]  They simply assume people don't buy steak, they buy hamburger.
[00:19:14.058 --> 00:19:19.220]  So anytime the price of something goes up, they assume people switch to something
[00:19:20.001 --> 00:19:21.381]  To a cheaper substitute.
[00:19:22.802 --> 00:19:27.242]  So the basket of goods is not constant, so you don't even know what you're measuring anymore.
[00:19:27.262 --> 00:19:30.283]  And you were saying unemployment's really at about 15% right now?
[00:19:31.663 --> 00:19:46.786]  John Williams, a statistician who measures the unemployment rate the way it was traditionally measured by government prior to these changes, has it at about 15%.
[00:19:48.906 --> 00:19:50.928]  And the inflation rate is around 14%.
[00:19:53.470 --> 00:19:55.291]  So already, these are terrible.
[00:19:56.612 --> 00:19:57.973]  This is a terrible situation.
[00:19:58.914 --> 00:20:14.706]  And of course, since the inflation rate is so understated, you know, in the one that the government uses now, it makes it look like you've got real gross domestic product growth.
[00:20:16.587 --> 00:20:18.329]  But John Williams points out that
[00:20:19.178 --> 00:20:27.705]  When you measure inflation the way, say, it was measured in the Reagan years, you don't have any.
[00:20:27.805 --> 00:20:30.628]  We've been in a recession since 2006.
[00:20:32.910 --> 00:20:40.636]  Because by understating the inflation, any kind of GDP growth looks real.
[00:20:41.337 --> 00:20:46.501]  But if you put the real measure inflation in there, there's no increase in real growth.
[00:20:48.109 --> 00:20:48.770]  Since 2006.
[00:20:48.890 --> 00:20:51.350]  We've been in a recession for two years already.
[00:20:51.691 --> 00:20:57.072]  Yeah, let's jump to another topic and we'll go back into the economy where you see it going in the final segment coming up.
[00:20:57.713 --> 00:21:12.298]  What is this big, I'm asking all the experts we have on, what is this big international crisis that the head of the Navy and the head of the Army and Joe Biden and Colin Powell all say is coming on the 21st and 22nd but they can't and won't tell us what it is but they know
[00:21:13.358 --> 00:21:22.484]  A lot of our experts are saying they're going to launch some type of embargo against Iran, or Israel's going to threaten to go ahead and attack, or may go ahead and attack.
[00:21:22.524 --> 00:21:24.806]  First we said it was off the table, but now it's back on the table.
[00:21:25.206 --> 00:21:30.089]  Or is it the new Bretton Woods dollar devaluation, or new global currency?
[00:21:30.550 --> 00:21:31.490]  What are you hearing, sir?
[00:21:32.471 --> 00:21:38.235]  Well, I don't know what exactly you're talking about, but supposedly on the 15th of November,
[00:21:39.460 --> 00:21:50.523]  It's supposed to be an international economic summit because our European allies have demanded a change in the international financial system.
[00:21:50.543 --> 00:21:50.744]  All right.
[00:21:50.784 --> 00:21:51.584]  Stay there, Dr. Roberts.
[00:21:51.604 --> 00:21:57.306]  Let's come back and talk about that on the other side of this quick break with Dr. Paul Craig Roberts.
[00:21:57.346 --> 00:21:59.606]  Stay with us, Infowars.com.
[00:22:01.667 --> 00:22:02.587]  We're on the march.
[00:22:03.067 --> 00:22:04.668]  The empire's on the run.
[00:22:05.608 --> 00:22:08.309]  Alex Jones and the GCN Radio Network.
[00:22:11.718 --> 00:22:15.461]  Drinking a chlorophyll-rich beverage has been found to benefit your entire body.
[00:22:15.682 --> 00:22:23.769]  AlkaVision GreenShield Green Drink is a specifically formulated nutritional supplement, which provides many nutritional elements that are missing from our modern diet.
[00:22:24.069 --> 00:22:28.093]  GreenShield helps neutralize acid in your body and maintains a healthy pH balance.
[00:22:28.333 --> 00:22:34.018]  And having the proper pH balance has been known to balance blood sugar levels, something we can all benefit from.
[00:22:34.318 --> 00:22:39.700]  Green Shield combines the perfect blend of powerful whole food vegetables, immune boosting herbs and grasses.
[00:22:40.000 --> 00:22:45.442]  Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[00:22:45.762 --> 00:22:48.303]  The powder mixes easily with water and tastes great.
[00:22:48.623 --> 00:22:54.405]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[00:22:54.625 --> 00:22:58.866]  Order your AlkaVision Green Shield green drink now by going directly to AlkaVision.com.
[00:23:11.550 --> 00:23:17.915]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:23:18.295 --> 00:23:20.276]  The enemy struck America on September 11th.
[00:23:20.957 --> 00:23:21.977]  But who is the enemy?
[00:23:22.498 --> 00:23:23.018]  Bin Laden.
[00:23:23.298 --> 00:23:24.159]  This is his ammo.
[00:23:24.199 --> 00:23:25.600]  We have to look to the Middle East.
[00:23:25.660 --> 00:23:27.361]  We have to look to Osama Bin Laden.
[00:23:27.661 --> 00:23:34.406]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:23:34.806 --> 00:23:35.247]  Some U.S.
[00:23:35.287 --> 00:23:40.971]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:23:41.631 --> 00:23:45.073]  I'm aware that some Israeli citizens have been detained.
[00:23:45.093 --> 00:23:47.113]  Either you are with us, or you are with the terrorists.
[00:24:11.397 --> 00:24:20.502]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:24:20.662 --> 00:24:28.687]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[00:24:28.827 --> 00:24:33.350]  In fact, clinically detected parasites account for only 1% of all cases.
[00:24:33.410 --> 00:24:36.031]  Don't continue to suffer from pain due to misdiagnosis.
[00:24:36.191 --> 00:24:39.013]  Now you can fight internal parasites, heavy metal poisoning,
[00:24:39.193 --> 00:24:47.479]  And high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:24:47.739 --> 00:24:53.924]  FPP is used around the world, has numerous uses and is now available to you from Freshwater Organics.
[00:24:54.164 --> 00:24:57.907]  FPP strengthens skin, hair and bones, lowers cholesterol and isn't
[00:24:58.107 --> 00:25:01.929]  Excellent source of natural plant based silica with 14 trace minerals.
[00:25:02.069 --> 00:25:04.870]  Order some today at FreshwaterOrganics.com.
[00:25:04.990 --> 00:25:07.851]  Again, that's FreshwaterOrganics.com or call 888-949-3570.
[00:25:21.016 --> 00:25:26.459]  In 1814 we took a little trip along with Colonel Jackson down to mighty Mississippi.
[00:25:26.499 --> 00:25:31.522]  We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[00:25:31.922 --> 00:25:35.044]  We fired our guns... Alright, final second with Dr. Paul Craig Roberts.
[00:25:35.064 --> 00:25:36.185]  Appreciate him joining us today.
[00:25:36.205 --> 00:25:37.886]  Take some final phone calls at the end of the show.
[00:25:37.926 --> 00:25:39.306]  Cover some other news we haven't gotten to.
[00:25:39.326 --> 00:25:41.608]  Gonna cover the economy a little bit after he leaves us.
[00:25:43.486 --> 00:25:45.529]  Here's Bill Gertz today, Washington Times.
[00:25:45.629 --> 00:25:48.313]  Mullen, military is ready to respond to a transition terror attack.
[00:25:48.673 --> 00:25:51.757]  They believe Al-Qaeda or other countries, you can read all his quotes here.
[00:25:51.777 --> 00:25:53.340]  It's up on Infowars.com.
[00:25:53.360 --> 00:25:56.003]  We have a link saying we're going to probably have another September 11th attack.
[00:25:56.857 --> 00:25:58.458]  We're going to test our president.
[00:25:58.898 --> 00:26:05.423]  Biden says there's going to be something happen right when he gets inaugurated, and that it's going to test him, and it's not going to be popular with Democrats.
[00:26:05.743 --> 00:26:21.034]  You heard about Colin Powell on Meet the Press, you know, two weeks ago, I'm sure, saying that, you know, it was when he endorsed him, he said he will be tested when he's inaugurated on the 21st or 22nd with an international crisis that's manufactured.
[00:26:21.795 --> 00:26:23.596]  So, I mean, you're a newshound.
[00:26:23.756 --> 00:26:24.597]  You haven't heard about those?
[00:26:27.313 --> 00:26:35.696]  I keep hearing these claims that he's going to be tested by terrorists, but I don't believe that at all.
[00:26:36.816 --> 00:26:47.719]  And if there is any new 9-11, I would be highly suspicious that terrorists had any responsibility for it.
[00:26:48.800 --> 00:26:49.880]  You would look at it being staged like 9-11?
[00:26:54.022 --> 00:26:58.245]  I think any of these events will be staged.
[00:26:59.485 --> 00:27:07.130]  I don't see the point of staging one unless they're going to use it not to let him be inaugurated.
[00:27:07.890 --> 00:27:22.158]  But since his government won't really be much different from the one that's in office now, I don't know why they would care whether he's inaugurated or not.
[00:27:23.456 --> 00:27:28.438]  It's going to be the same crowd, the same group, the same interest groups doing the same thing.
[00:27:28.578 --> 00:27:44.784]  Alright, shifting gears back to the new Bretton Woods Agreement, they're openly saying, small group of international banks setting world policy, Stiklitz is saying it, they're all saying it, basically world government of and by, that's their words, the banks setting global carbon credit taxes paid to them.
[00:27:44.804 --> 00:27:48.925]  Do you think they're going to be able to get that coming up at this series of meetings?
[00:27:50.025 --> 00:27:50.806]  No, because
[00:27:53.025 --> 00:27:59.230]  The United States and Europe no longer are undisputed leaders.
[00:28:00.811 --> 00:28:14.442]  The United States is busted and totally dependent on foreigners, primarily Asians and Arabs, to finance their consumption and the daily operation of their government, their wars, the defense budget.
[00:28:16.023 --> 00:28:21.047]  The Chinese and the Russians are not going to let themselves be put under the thumb of some kind of
[00:28:23.191 --> 00:28:25.512]  Banking group, it's not going to happen.
[00:28:28.313 --> 00:28:50.122]  I think that what this November 15th meeting is about is the rest of the world serving notice on the United States that it's no longer going to be the one that calls the financial terms because the dollar
[00:28:51.491 --> 00:28:51.671]  It's
[00:29:14.804 --> 00:29:23.926]  A reserve currency that's a basket of currencies in which the dollar plays a role but is no longer the dominant factor.
[00:29:23.966 --> 00:29:28.987]  So I think that's what's going to start.
[00:29:31.648 --> 00:29:34.628]  So I don't think the banks are going to take over.
[00:29:34.648 --> 00:29:41.950]  The Chinese are not going to let some stupid European bank conspiracy take over China or
