[00:00:00.189 --> 00:00:03.351]  So does he.
[00:04:12.254 --> 00:04:15.016]  And food and things are exploding in price in England and Japan.
[00:04:15.496 --> 00:04:16.737]  Islands are particularly hard hit.
[00:04:17.197 --> 00:04:26.302]  We have had crazy days for a week now, said Johan Samari Olvenson, manager of the Bonus Discount grocery store.
[00:04:27.322 --> 00:04:31.065]  Sales have doubled, and it goes into the currency plunging, the banks shutting down.
[00:04:31.825 --> 00:04:34.947]  And that's going to happen here, but in slower motion.
[00:04:35.568 --> 00:04:40.511]  So the banks are shoring themselves up, so they're strong to buy everything up after they implode the markets.
[00:04:41.412 --> 00:04:46.755]  That's why you saw the financial terrorism of the world's leaders saying, depression, depression, depression, in the last three weeks.
[00:04:46.795 --> 00:04:50.418]  That is to drive markets down, so they can destroy confidence and consolidate.
[00:04:51.658 --> 00:04:53.380]  Lead from solder and copper pipes.
[00:04:53.540 --> 00:04:54.620]  Mercury from fish.
[00:04:54.720 --> 00:04:55.481]  Dental fillings.
[00:04:55.621 --> 00:04:56.221]  Vaccines.
[00:04:56.382 --> 00:04:56.722]  Arsenic.
[00:04:57.492 --> 00:04:58.753]  Discount grocery store.
[00:04:59.714 --> 00:05:00.535]  Sales have doubled.
[00:05:00.955 --> 00:05:03.477]  And it goes into the currency plunging, the banks shutting down.
[00:05:04.218 --> 00:05:07.341]  And that's going to happen here but in slower motion.
[00:05:07.961 --> 00:05:12.945]  So the banks are stirring themselves up so they're strong to buy everything up after they implode the markets.
[00:05:13.806 --> 00:05:19.171]  That's why you saw the financial terrorism of the world's leaders saying depression, depression, depression in the last three weeks.
[00:05:19.211 --> 00:05:22.774]  That is to drive markets down so they can destroy confidence and consolidate.
[00:05:23.988 --> 00:05:24.408]  I'm good.
[00:05:41.513 --> 00:05:41.873]  I don't know.
[00:06:03.524 --> 00:06:04.725]  Our beloved Republic is on her knees.
[00:06:04.785 --> 00:06:07.806]  The forces of globalism are destroying national sovereignty worldwide.
[00:06:07.826 --> 00:06:08.907]  But in Liberty's darkest hour, there is hope.
[00:06:31.958 --> 00:06:34.679]  The first time in modern history, the people are beginning to wake up.
[00:06:34.999 --> 00:06:40.460]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:06:40.720 --> 00:06:44.701]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:06:44.981 --> 00:06:49.882]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:06:50.182 --> 00:06:52.942]  PrisonPlanet.tv is a vault of forbidden information.
[00:06:53.222 --> 00:06:57.263]  All 18 of my documentary films can be downloaded or streamed in super high quality.
[00:06:57.583 --> 00:06:57.943]  We're good.
[00:07:24.628 --> 00:07:28.531]  Would you like to know how you can use water as fuel and laugh at the rising price of gas?
[00:07:28.992 --> 00:07:31.013]  Then keep listening for a very special offer.
[00:07:31.514 --> 00:07:36.818]  GasFreedom.info has the information you need to learn about the newest hydrogen technology available.
[00:07:37.178 --> 00:07:40.341]  GasFreedom is an affordable, practical, free energy device.
[00:07:40.921 --> 00:07:45.265]  It uses electricity from your car's battery to separate water into a gas called HHO.
[00:07:46.886 --> 00:07:48.147]  Yeah, John, we're on air right now.
[00:07:48.187 --> 00:07:48.567]  What's up?
[00:08:20.091 --> 00:08:21.912]  Alright, our guest is in Europe right now.
[00:08:21.932 --> 00:08:28.635]  He was born in Ireland and he has made a lot of films, written quite a few books, very prolific.
[00:08:29.215 --> 00:08:31.596]  We've had a lot of listeners request that we have him on.
[00:08:31.616 --> 00:08:45.242]  I want to really get him to talk about the nature of his awakening and then I wanted to just get into what we can prove with Michael Tesarin today about what the elite believe and from his in-depth research, he's done a lot of great research,
[00:08:46.302 --> 00:08:50.763]  Who the global elite are, what their driving mindset is.
[00:08:50.783 --> 00:09:01.906]  We know they have a kingdom of cults, a hierarchical pyramidal structure of power, but who is at the top of that pyramid, and from his unique perspective, what their agenda is.
[00:09:02.346 --> 00:09:06.848]  So we're really honored to have Michael Desarian on with us for the next hour and 15 minutes.
[00:09:06.908 --> 00:09:07.868]  Michael, welcome.
[00:09:09.162 --> 00:09:10.042]  Oh, thanks a lot, Alex.
[00:09:10.102 --> 00:09:10.842]  It's nice to be on.
[00:09:10.883 --> 00:09:11.863]  Thanks for the invitation.
[00:09:12.223 --> 00:09:12.443]  You bet.
[00:09:12.503 --> 00:09:12.843]  It's great.
[00:09:12.883 --> 00:09:15.164]  I'm a big supporter, big supporter of your work.
[00:09:15.844 --> 00:09:23.726]  Followed it from the beginning and just want to offer you my, you know, total congratulations, not only on your work, but the gutsy way that you've been doing it.
[00:09:23.846 --> 00:09:34.589]  And I just want to say to all your listeners out there, if we had more people like you and as gutsy as you to back up what you're talking about with action, you know, we wouldn't be in the mess in America that, you know, we are today.
[00:09:35.907 --> 00:09:38.709]  Give you a lot of kudos for what you've been doing through the years, Alex.
[00:09:38.949 --> 00:09:40.710]  Well, Michael, kudos to you.
[00:09:41.571 --> 00:10:00.882]  For some of my audience that may not know who you are, tell us a little bit about yourself, your awakening, and then let's strike a chord in the present with what the global banking structure is doing, your point of view, your perspective on what's happening there, and then let's get into what makes the New World Order tick and what their endgame is, Michael.
[00:10:02.023 --> 00:10:02.483]  Right, thanks.
[00:10:03.723 --> 00:10:06.045]  My research has started pretty much in Ireland.
[00:10:06.325 --> 00:10:11.369]  And by 13 years of age, I started to realize, you know, two things.
[00:10:11.570 --> 00:10:18.415]  One is that we're being told nothing but a tissue of lies from the official, orthodox, fundamentalistic sort of educational system.
[00:10:18.455 --> 00:10:20.617]  It just doesn't fit the facts.
[00:10:20.697 --> 00:10:24.761]  Growing up in Belfast at that time was very difficult because there was a lot of violence and trouble.
[00:10:25.401 --> 00:10:30.065]  But basically, I started to see through that and check out the, you know, the orange parades that happened on July.
[00:10:31.678 --> 00:10:57.132]  And seeing a lot of the symbolism that was being used there, where one thing led to another, through the study of this symbolism that's being used by the Orange Order, I suddenly started to research the history of the Orange Order, discovered that it's not so much a political, you know, organization as it is a fraternal brotherhood, and then I subsequently later, you know, a few years later, started discovering that this is the same story with the IRA, particularly the Provisional IRA, and then we have the Official IRA,
[00:10:57.745 --> 00:11:06.472]  And then I started to notice, by tracking through all the different symbolism and then going through the research works and the reference works, that basically what we're dealing here is a one-party system.
[00:11:07.053 --> 00:11:25.708]  You know, I mean, this is in the early days, so I didn't have the whole globalist picture here, but just from my own researches in the micro, you know, microcosm of Ireland growing up there, I realized that, you know, we're not being told the truth about these organizations, and how these are connected to the super-Masonic orders, the pre-Masonic orders,
[00:11:26.212 --> 00:11:37.262]  So basically around 15-16 years of age, again pretty much in an Irish context, I broadened my study to look into this whole movement of the secret societies in the world.
[00:11:37.782 --> 00:11:48.131]  And this was, you know, a little bit before coming across the works of the great American scholars like the G. Edward Griffiths and the Eustace Mullins and the Jordan Maxwells and so forth and so on, you know.
[00:11:48.271 --> 00:11:52.115]  I mean, I hadn't had exposure to these thinkers.
[00:11:53.880 --> 00:11:57.841]  Even the Ralph Eppersons, you know, all the people who basically connect all the dots.
[00:11:57.861 --> 00:12:07.443]  I had to wait till I came to America, you know, in sort of 82, and then later on in the 90s to really sort of have these teachers help put things together.
[00:12:07.883 --> 00:12:22.286]  But I noticed that, you see, in America, a few people have the whole European understanding of how the British Royals, how some of the Fabian networks, how the Common Purpose, how some of the groups like the Club of the Isles,
[00:12:23.092 --> 00:12:39.025]  And this connects again with high-level Freemasonry, not only Scottish Rite Freemasonry, but like I say, the Orange Order, the orders that are behind the IRA, like the Irish Republic and Brotherhood, the Ancient Order of Hibernians, the Green Ribbon Society, the Clan Magale, all from an Irish context.
[00:12:39.586 --> 00:12:45.651]  My studies then continued to show me that these groups that are funded and armed to the teeth, basically what
[00:12:46.212 --> 00:12:50.259]  The public knows terrorist organizations operating in Ireland are far from merely Irish.
[00:12:50.680 --> 00:12:55.369]  These groups are connected to the internationally free underground of the entire black hand.
[00:12:55.942 --> 00:12:57.923]  Meaning the entire terrorist network.
[00:12:58.183 --> 00:13:04.167]  And that's used to destabilize and frighten the public into accepting the state dominating them.
[00:13:04.467 --> 00:13:12.412]  And it's even come out in mainstream news now that the IRA and the Orange, the Protestants at the highest levels, were really meeting and working together.
[00:13:13.172 --> 00:13:17.095]  And that they were all basically British and international intelligence just completely staged.
[00:13:18.228 --> 00:13:19.089]  On a very high level.
[00:13:19.570 --> 00:13:25.299]  Again, when you point your finger in this direction, people, you know, they sort of poo-poo that they can't see that because they've been so brainwashed.
[00:13:25.679 --> 00:13:30.086]  They've been so, you know, brainwashed by the media that they don't check these things out.
[00:13:30.186 --> 00:13:31.628]  I'm one of only three.
[00:13:31.728 --> 00:13:33.851]  There's three of us that have, you know, studied the
[00:13:34.676 --> 00:13:43.826]  Well, I just know it's come out all over the mainstream news and I've had a lot of the former British commandos S.A.S.
[00:13:44.046 --> 00:13:49.632]  on who they would finally get to the top of the IRA and all three of the leaders were all British intelligence
[00:13:50.353 --> 00:14:06.743]  And then they would, you know, infiltrate the Orange and find out, you know, that the three heads of the IRA were meeting with the three heads of the Orange, and it was just a way to terrorize the public, and they used the infighting and the bombings as a pretext to basically murder and kill and oppress whoever they want.
[00:14:07.683 --> 00:14:19.630]  They've done that, and by consistently, you know, this incredible fear and death toll, and the murder of innocent people in the country on both sides, I'm talking because I'm not partisan, I'm not siding with either side, I'm just looking at this thing
[00:14:20.049 --> 00:14:21.013]  You know, from the overview.
[00:14:21.274 --> 00:14:24.345]  Yeah, that trouble made Ireland a third world country in the West.
[00:14:24.727 --> 00:14:28.670]  They degraded the people, they kept them ignorant, they kept them stupid while they used the land.
[00:14:55.947 --> 00:14:57.448]  How many jugglers can you get in a room?
[00:14:57.688 --> 00:15:00.208]  How many pit bulls can you get into a pen, you know?
[00:15:00.488 --> 00:15:11.231]  This is, I saw firsthand in the Irish context, also, that these groups were connected to these higher Masonic orders, because we're not talking about the street-level stuff here that, you know, people are never going to get their mind around at all.
[00:15:11.771 --> 00:15:19.673]  But anyone who studied the British system and how these clubs and these organizations, fraternal orders, are networked into these terrorist organizations, how they fund them,
[00:15:20.231 --> 00:15:20.471]  I think?
[00:15:37.981 --> 00:15:38.822]  And really it's a gang.
[00:16:00.740 --> 00:16:14.790]  And of course, most masons are well-meaning, good people that understand that the higher levels of their order have been used as a vehicle for secret intelligence agency operations is basically what's happening.
[00:16:14.810 --> 00:16:27.678]  And the New World Order goes to like a wardrobe with a Catholic outfit, a Jewish outfit, a Muslim outfit, a Protestant outfit, and they just put that cloak on, and that's why it's so hard to get after them.
[00:16:28.098 --> 00:16:30.060]  But we know the overriding thing they want
[00:16:30.760 --> 00:16:36.462]  You know, they say they're trying to get rid of government, but really they create the mega-state through which they can control the society.
[00:16:37.562 --> 00:16:46.525]  And I'm very concerned about what you just said about the fact that we have to start appealing... I mean, my main message is for the complete disbandingment of all secret societies.
[00:16:46.545 --> 00:16:48.865]  You know, I don't belong to any secret society, never have done.
[00:16:49.285 --> 00:16:56.207]  And the message that is often recurrent through my own work is for the total illegality, the making of all these kinds of secret societies.
[00:16:56.227 --> 00:16:58.668]  I don't care if it's Opus Di or Scottish Rite Freemasonry.
[00:16:59.128 --> 00:17:04.670]  With the masses of the world that need to actually start integrating laws that make these groups absolutely illegal.
[00:17:05.070 --> 00:17:14.794]  But more than that, in the meantime, until we do that, my message actually goes out to members, like some of these, the good folks, the good people who are, you know, the rank and file of these orders.
[00:17:15.235 --> 00:17:25.799]  That's why my research has taken me into the subject of masonry and into the occultism, and I've had a lot of backlash from that, from people who don't have a clue in their heads as to why you want to maybe study this kind of subject matter.
[00:17:26.019 --> 00:17:28.600]  Well, how the hell are you going to appeal to people who are, you know,
[00:17:29.696 --> 00:17:37.899]  Well-meaning members of these various secret societies, unless you speak in their own language, in order to try and explain to them some of the symbolism and the rites and the rituals where it comes from.
[00:17:38.399 --> 00:17:41.681]  Not that some of the rites and rituals are wrong, it's just that you're doing a normal critique.
[00:17:41.981 --> 00:17:45.222]  In order to relate to these people, you've got to know what they're doing.
[00:17:45.382 --> 00:17:53.205]  You've got to know what... Well, Michael, I don't want to disagree with you, but anything that has the power to ban something,
[00:17:54.245 --> 00:17:55.826]  You know, there's a right of association.
[00:17:57.087 --> 00:17:59.308]  It itself could turn into a great tyranny.
[00:17:59.328 --> 00:18:01.109]  I mean, I think there should be public exposure.
[00:18:01.849 --> 00:18:03.270]  There should be open discussions.
[00:18:04.070 --> 00:18:12.494]  If groups are found to be involved in collusion, you know, the classic case of, you know, somebody who's committed a murder, you know, the mason in distress sign and they're let off.
[00:18:12.514 --> 00:18:14.095]  That happened with a great-uncle I had.
[00:18:14.135 --> 00:18:15.096]  I mean, he told us about it.
[00:18:15.136 --> 00:18:17.217]  It wasn't, it was the cases in the newspaper.
[00:18:17.737 --> 00:18:28.260]  But, you know, his argument was he had to go through a Masonic trial afterwards, you know, to find out if that was, you know, true or they would have, quote, dealt with him, you know, drowning him, if he would have lied.
[00:18:28.300 --> 00:18:34.341]  You tell low-level Masons that, they just don't, you know, they're just not aware of the higher-level things that go on.
[00:18:34.401 --> 00:18:46.184]  But, asking you a question, I mean, how do you say ban these things, you know, the engine that could ban these societies would rise up into a mighty tyranny itself?
[00:18:47.591 --> 00:18:53.054]  Yeah, there's always that danger, and there's always the danger that, you know, by making them illegal, they go underground.
[00:18:53.094 --> 00:19:01.498]  It's not a total win-lose solution, but what needs to happen is that the ordinary people have got to find out about the tiger and the long grass, and at least arm themselves up with even a modicum.
[00:19:01.719 --> 00:19:03.279]  I mean, that's what our programs are doing.
[00:19:03.299 --> 00:19:04.240]  That's what our work is doing.
[00:19:04.645 --> 00:19:05.786]  And you do have to address it.
[00:19:05.906 --> 00:19:08.088]  I like to address them because it's better to address them.
[00:19:08.108 --> 00:19:13.232]  You know, you can address the beginners, you can address the seasoned, and you have to address the insider as well.
[00:19:13.292 --> 00:19:14.813]  So my work goes a lot to the insiders.
[00:19:14.833 --> 00:19:16.335]  I mean, you said it yourself a few minutes ago.
[00:19:16.855 --> 00:19:20.658]  You had insiders from the Orange Lodge, insiders from the IRA, whistleblowers.
[00:19:21.219 --> 00:19:32.428]  And if you look back through the whole conspiracy movement and the exposure, you'll find that the greatest damage is being done by the generals, by the insiders, by the politicians, you know, even up to the level of presidents who've come out and written memoirs.
[00:19:33.419 --> 00:19:43.685]  Okay, Michael, listen, I'm going to skip this break for Infowars.com listeners.
[00:19:43.705 --> 00:19:46.287]  We'll get a little behind the scenes since we got you on late.
[00:19:46.307 --> 00:19:49.429]  I want to do a little bit of a pre-interview to see what you wanted to get into.
[00:19:49.669 --> 00:19:51.530]  We'll discuss that now for the internet audience only.
[00:19:53.351 --> 00:19:55.635]  Okay, we're on the internet now, not on the AM and FM.
[00:19:55.675 --> 00:19:57.358]  We've got about three or four minutes before we're back.
[00:19:57.878 --> 00:20:00.823]  Michael, I want to really give you a chance to run today.
[00:20:01.344 --> 00:20:05.571]  What is it, because we didn't do a pre-interview, what is it you want to get into today?
[00:20:07.236 --> 00:20:08.317]  Well, there's so much, you know.
[00:20:08.337 --> 00:20:14.461]  I mean, again, my history started... I didn't know that when I came to America that I was going to be knee-deep in all of this kind of thing, you know.
[00:20:14.501 --> 00:20:18.784]  But my philosophy is always to come to another country and do as the Romans do, you know.
[00:20:19.044 --> 00:20:26.309]  So I wanted to learn about American history and I found out that, you know, we always know in Ireland that the Scots-Irish, you know, fought in your War of Independence.
[00:20:27.050 --> 00:20:30.352]  I also found out subsequently that America is famous for losing the wars it wins.
[00:20:30.842 --> 00:20:41.168]  And that, you know, the British Crown, and I'm not talking about British people here, but I'm talking about the oligarchy that's preying over them, you know, realized that it got its ass kicked in a situation of war.
[00:20:41.288 --> 00:20:43.550]  It couldn't take America with force of arms.
[00:20:43.590 --> 00:20:46.531]  It tried it, and it... So it did it through roundtable groups.
[00:20:47.432 --> 00:20:47.932]  Exactly.
[00:20:47.992 --> 00:20:50.554]  And Cecil Rhodes and these people have been my study for, you know,
[00:20:51.187 --> 00:20:52.128]  As long as I can remember.
[00:20:52.448 --> 00:20:53.308]  And that's why I came in.
[00:20:53.368 --> 00:20:59.611]  Not just studying the Fabian movements, not just studying these Masonic orders, you see, but also studying their context.
[00:20:59.671 --> 00:21:02.073]  I suddenly start realizing these people are operating in America.
[00:21:02.393 --> 00:21:10.517]  So my message was to get people out of the political pigsty and say, your troubles are not necessarily within the political sphere.
[00:21:10.537 --> 00:21:11.458]  That's just an effect.
[00:21:11.478 --> 00:21:12.258]  That's not the cause.
[00:21:12.927 --> 00:21:19.111]  And then try to point out the surreptitious war of attrition that's been fought on American shores for the destruction of America.
[00:21:19.351 --> 00:21:30.678]  That was the main point, you know, when I got to America, started to go into the public eye and make this be known, because as I said... And then people will say, well, then they'll say, well, Masons founded America, but that's the whole point.
[00:21:30.758 --> 00:21:34.360]  Bill destroy, Bill destroy, Bill destroy, order out of chaos.
[00:21:34.801 --> 00:21:36.582]  And you've got the lower orders that weren't aware.
[00:21:36.602 --> 00:21:38.363]  You've also had some changes in Masonry.
[00:21:38.863 --> 00:21:45.105]  And George Washington, as you know, came out and spoke out against those groups that were coming in and infiltrating it and changing it.
[00:21:45.585 --> 00:21:49.527]  But really, he was just breaking through and finding out about higher levels to it.
[00:21:49.867 --> 00:22:01.131]  But we have to also understand that there was the secret destiny, as you know, of the United States, where they talked about the 1600s coming here and founding this as the new Atlantis.
[00:22:02.171 --> 00:22:05.312]  So there's the argument, you know, it's always dueled, yin-yang.
[00:22:05.652 --> 00:22:15.595]  You're right on the ball, and it's great to talk to somebody like this who knows that before the official founding of America, these Templars and their agents were already ensconced in the country.
[00:22:15.715 --> 00:22:19.236]  Yeah, they had a bad day yesterday on the 13th anniversary.
[00:22:19.876 --> 00:22:20.616]  That's right.
[00:22:21.236 --> 00:22:28.378]  And we have, you know, the thing that John Adams, President John Adams, President George Washington, they did start to, you know, whistle-blow what was going on.
[00:22:28.438 --> 00:22:31.899]  Yeah, Adams had the anti-Masonic party that came up later.
[00:22:32.697 --> 00:22:33.098]  That's right.
[00:22:33.478 --> 00:22:35.081]  But they did it from being insiders first.
[00:22:35.401 --> 00:22:39.628]  First they hobnobbed with Adam Weishaupt and his cronies.
[00:22:40.049 --> 00:22:46.720]  They hobnobbed with the agents of people like Charles D. Lorraine, you know, from the province of Lorraine in France and the Grand Orient Freemasonry of France.
[00:22:47.173 --> 00:22:51.096]  And then they start to realize, wait a minute, this is a bunch of Luciferianism here, it's not right for America.
[00:22:51.416 --> 00:22:52.837]  And they sounded the warning, you know?
[00:22:53.157 --> 00:23:12.550]  In a modern context, though, these people who are working for the old British system, you know, who operate, people gotta realize that these people have worked through the Russell Trust, they've worked through the Scalabones, they've worked through the Knights of Columbus, they've worked through Scottish Rite Freemasonry, they're alive and well in the American context to take America down because it was too big to take down with a gun to the head situation.
[00:23:12.950 --> 00:23:17.411]  You know, that kind of thing, that jackboot system does work in a small... Okay, we'll get into that.
[00:23:17.431 --> 00:23:28.693]  I also want to get into the hierarchy of the New World Order and the power structure, kind of a historical overview, because I know you're very well informed and I want your unique perspective on that as well.
[00:23:29.153 --> 00:23:34.034]  Okay, so we'll talk about the secret history of the United States and the war with these forces.
[00:23:34.074 --> 00:23:36.935]  We'll talk about who the Globalists are, what their master plan is.
[00:23:37.295 --> 00:23:38.895]  What's some of the other things you want to get into briefly?
[00:23:40.296 --> 00:23:41.437]  Oh, that's good to go with.
[00:23:41.557 --> 00:23:42.717]  We've got an hour, so that's great.
[00:23:42.958 --> 00:23:46.580]  We also want to get into maybe the technology aspect.
[00:23:46.640 --> 00:23:48.881]  Hold on, hold on.
[00:23:48.921 --> 00:23:50.302]  We've got an hour and forty minutes, Michael.
[00:23:51.263 --> 00:23:54.084]  Okay, but you're good for an hour and forty, right?
[00:23:55.185 --> 00:23:57.326]  And the whole technological war.
[00:23:57.346 --> 00:23:57.946]  Alright, here we go.
[00:23:58.007 --> 00:23:58.327]  Here we go.
[00:24:00.508 --> 00:24:06.952]  We're going to go over the basic
[00:24:08.030 --> 00:24:16.237]  View from Michael Tesarian of British Secret Society Networks using Freemasonry as one vehicle because of its secrecy.
[00:24:16.998 --> 00:24:18.059]  They can inhabit any group.
[00:24:19.460 --> 00:24:23.283]  And then the secret symbolism, the language that's all around us that they communicate through.
[00:24:23.463 --> 00:24:24.985]  Again, the low-level Masons aren't even part of it.
[00:24:25.305 --> 00:24:27.407]  And there are other religious groups and secret groups.
[00:24:28.087 --> 00:24:30.129]  You know, Masons oversimplifies it.
[00:24:30.670 --> 00:24:33.512]  Then we'll get into what the endgame is and the
[00:24:35.233 --> 00:24:38.774]  Well, that was, you know, when I got over to States, then I had to basically brush up.
[00:24:39.235 --> 00:24:41.215]  And that's when I bumped into the work of Nord Davis.
[00:24:53.147 --> 00:24:55.690]  And especially Ralph Epperson, you know, who's just great.
[00:24:55.950 --> 00:24:57.813]  His work put a lot of pieces together for me.
[00:24:57.833 --> 00:25:02.098]  And then, of course, the great G. Edward Griffin and Eustace Mullins, you know, it became like a study.
[00:25:02.498 --> 00:25:10.067]  Because when I realized that the average American doesn't know anything about this, yeah, I'd bump into the average, you know, I'd bump into occasionally to a Vietnam vet.
[00:25:10.700 --> 00:25:19.748]  Who had been through so much hell, through the VA hospitals, that these guys knew, you know, something about what was going on, especially about the federal system and the Federal Reserve and so on.
[00:25:20.108 --> 00:25:30.698]  And so, my education began in the 90s, you know, to sort of brush up on, okay, I've seen it in an Irish context, I've seen that one picture of tyranny, but how does this work in the American context, you know?
[00:25:31.098 --> 00:25:36.643]  So, as I started to study more and got into the Webster, Tarpley's, you see, and even the Dr. John Coleman's
[00:25:37.483 --> 00:25:59.104]  It was a long discovery to find out that this country didn't really win the War of Independence because they let their guard down, they became so apathetic, they became so decadent and narcissistic that it was easy pickings right from the time of the first presidents basically for this federalistic group to insinuate itself into the body politic of America through the federal systems
[00:25:59.839 --> 00:26:07.324]  To get rid of the Republic, to change the Constitution, to amend it, and so forth and so on, all the stuff that you've covered yourself, and so many things.
[00:26:07.784 --> 00:26:19.812]  You know, this was my education to find out, but my main point was, though, is more of a historian aspect to say, look, never forget that America is just the last in line to be taken down.
[00:26:19.892 --> 00:26:23.794]  The people who are doing this have colonized and colonized the world.
[00:26:24.114 --> 00:26:27.857]  They've been doing it for centuries of time, and my research has led it back to Egypt,
[00:26:28.311 --> 00:26:31.613]  You know, first of all, I had studied the ancient Irish myths.
[00:26:32.114 --> 00:26:41.060]  That helped me, you know, with my first book on Atlantis, to get into a lot of areas there to show just how ancient this actual, you know, oligarchy is, that they keep bloodlines.
[00:26:41.481 --> 00:26:51.388]  And these bloodlines are still today, and the politicians that pop their heads up every, you know, every four years, there they are again with their bloodline connections back to the ancient royal oligarchs of Europe.
[00:26:51.948 --> 00:26:56.552]  But then what happened is I got more and more, you know, into it after the first book was done.
[00:26:57.222 --> 00:27:03.888]  Then I started to really look at the Egyptian roots of this, and my research took me to a group that I refer to as the Atenists.
[00:27:04.309 --> 00:27:10.755]  It's the same group of, you know, people would refer to, say, by the terms such as Luciferian or whatever.
[00:27:11.115 --> 00:27:12.756]  You know, my term for it is Atenists.
[00:27:12.937 --> 00:27:17.060]  This is going back to the 14th Dynasty, the 18th Dynasty of Europe.
[00:27:19.461 --> 00:27:24.223]  18th Dynasty of Egypt, about 1400 years BC, is where it all began.
[00:27:24.703 --> 00:27:28.044]  So I've actually traced it back to the reign of the pharaoh Akhenaten.
[00:27:28.724 --> 00:27:34.606]  Well just to be clear, when you read mainline, even British history, they say they're related to the pharaohs.
[00:27:34.646 --> 00:27:43.429]  They say they are related to Moses, and the queen is coronated on Jacob's stone, and all of this.
[00:27:43.949 --> 00:27:45.450]  And so they really believe this.
[00:27:45.470 --> 00:27:48.411]  And worldwide, international royalty, even in Japan,
