[00:00:00.009 --> 00:00:02.210]  Rosetta Stone to expose.
[00:02:06.169 --> 00:02:09.991]  And they have been, they're told, you advance the more robotic you are.
[00:02:10.371 --> 00:02:18.674]  So this happened to Steve Watson, and now you're arrested, you say you don't like hot food, you're put in a terror database as a child.
[00:02:18.874 --> 00:02:20.915]  That's mainstream news, you can't make this up.
[00:02:21.315 --> 00:02:22.096]  London Telegraph.
[00:02:23.276 --> 00:02:26.377]  I mean, it's all happening, it's all what you say, what you do.
[00:02:27.258 --> 00:02:28.899]  No society has ever been this controlled.
[00:02:29.259 --> 00:02:30.659]  Steve Watson, tell us what happened.
[00:02:32.300 --> 00:02:33.140]  Hello Alex, how you doing?
[00:02:33.360 --> 00:02:33.841]  Good my friend.
[00:02:35.106 --> 00:02:40.349]  Well, yeah, basically what happened to me was I was coming back into London on Sunday.
[00:02:40.369 --> 00:02:44.992]  I'd been to a festival to see Neil Young play, which was very good indeed.
[00:02:45.313 --> 00:02:51.737]  So I was in high spirits and basically walking with my girlfriend, deciding how we were going to get home.
[00:02:52.437 --> 00:02:56.820]  Came into Trafalgar Square, debating which bus to get home.
[00:02:57.600 --> 00:03:03.244]  Suddenly, I hear this voice order me, it just says, you, stand over there.
[00:03:05.071 --> 00:03:08.693]  So, at first I thought, you know, they must be talking to somebody behind me.
[00:03:08.933 --> 00:03:22.181]  Turn around and there's two bright yellow jacketed police community support officers standing there and I just said, are you talking to me?
[00:03:23.234 --> 00:03:26.636]  And he said, just repeated it robotically, just stand over there.
[00:03:26.716 --> 00:03:27.057]  That's right.
[00:03:27.337 --> 00:03:28.718]  And they also cover their badges.
[00:03:28.758 --> 00:03:30.979]  It's all about not knowing who they are either.
[00:03:31.440 --> 00:03:33.861]  They're starting that here in the United States.
[00:03:33.921 --> 00:03:35.743]  It's about letting you know you're the slave.
[00:03:35.943 --> 00:03:39.765]  That's why you take your shoes off at the airport to get athletes foot, why they yell at you.
[00:03:39.805 --> 00:03:41.807]  It's all about being trained how to be a slave.
[00:03:43.488 --> 00:03:43.928]  So yeah.
[00:03:44.288 --> 00:03:46.370]  And so I said, no, thanks.
[00:03:46.450 --> 00:03:47.771]  I think I'll just stay here.
[00:03:47.791 --> 00:03:52.434]  I was, you know, just stood near the bus stop.
[00:03:52.918 --> 00:03:54.799]  And he just repeated it again, stand over there.
[00:03:55.239 --> 00:04:02.563]  And this went on for about five minutes until I said to him, I'm not going to move until you tell me why you want me to move.
[00:04:03.543 --> 00:04:09.306]  Which, you know, they can't, they have to give you a reason, they can't just stop anybody and say, and order them around.
[00:04:09.366 --> 00:04:15.689]  So, this went on for a while and then he started saying, we can either do this the easy way or the hard way.
[00:04:15.709 --> 00:04:20.491]  Now, I don't know what the hard way is, but basically,
[00:04:21.417 --> 00:04:25.559]  He's just ordering me around, speaking to me as if I'm some kind of animal.
[00:04:25.599 --> 00:04:26.680]  Well, that's the new thing here.
[00:04:26.700 --> 00:04:35.304]  If you ask police here, most of them, and I've been to Chicago, New York, all over, they'll just say, you want to do this the easy way or the hard way, people that ask questions get hurt.
[00:04:36.865 --> 00:04:37.385]  Go ahead.
[00:04:38.526 --> 00:04:46.830]  So anyway, after five minutes, he eventually said, I'm stopping you because I saw you adjust your shirt and put your hand in your pocket.
[00:04:50.259 --> 00:04:54.143]  Naturally I was a little bit baffled by this.
[00:04:54.243 --> 00:04:58.967]  Now Steve, I sat on park benches and rode around in buses and watched them all over harassing people.
[00:04:59.227 --> 00:05:00.228]  They now do it in DC.
[00:05:00.288 --> 00:05:01.529]  I just witnessed it there a month ago.
[00:05:02.947 --> 00:05:03.867]  You're a good-looking guy.
[00:05:03.987 --> 00:05:05.388]  I've seen some of your other girlfriends.
[00:05:05.408 --> 00:05:06.268]  I don't know this girlfriend.
[00:05:06.288 --> 00:05:07.128]  Probably good-looking.
[00:05:07.428 --> 00:05:10.509]  They hate good-looking, happy-looking people.
[00:05:10.649 --> 00:05:16.231]  It's just lowest common denominator, scum trolls out harassing people.
[00:05:16.271 --> 00:05:16.991]  And I've seen it.
[00:05:17.351 --> 00:05:20.252]  They go after people they're jealous of.
[00:05:20.312 --> 00:05:20.632]  Go ahead.
[00:05:20.652 --> 00:05:25.033]  So he started saying to me, have you got what's in your pocket?
[00:05:25.053 --> 00:05:27.234]  Have you got anything in your pocket that you shouldn't have?
[00:05:27.254 --> 00:05:30.054]  So I just said, like what?
[00:05:30.715 --> 00:05:32.075]  And he just went, you tell me.
[00:05:33.140 --> 00:05:34.481]  And so I'm just saying, well, no.
[00:05:34.641 --> 00:05:35.261]  You tell me.
[00:05:35.341 --> 00:05:35.982]  It's your job.
[00:05:36.022 --> 00:05:36.642]  You've stopped me.
[00:05:37.043 --> 00:05:39.484]  You tell me what you think I've got in my pocket.
[00:05:40.024 --> 00:05:47.669]  And this went on for another few minutes until he... Until I just... I mean, this was at, sort of, 12.45am.
[00:05:48.070 --> 00:05:49.390]  It was quarter to one in the morning.
[00:05:50.011 --> 00:05:51.472]  So I just wanted to get home, really.
[00:05:51.512 --> 00:05:54.053]  I mean, it's still... It was in Trafalgar Square.
[00:05:54.074 --> 00:05:55.815]  It's still a busy area at that time.
[00:05:56.615 --> 00:05:57.396]  But I was tired.
[00:05:57.436 --> 00:05:58.436]  I just wanted to go home.
[00:05:58.596 --> 00:06:02.379]  And he... And... So I just... You know, kind of sped up the...
[00:06:03.868 --> 00:06:09.393]  Basically, if you don't give them ID or show them what's in your pocket, they just call the police.
[00:06:09.453 --> 00:06:11.955]  You have to wait half an hour for the police to come.
[00:06:27.904 --> 00:06:30.645]  And then if you don't cooperate with the police, they take you to the police station.
[00:06:30.685 --> 00:06:31.566]  So I just wanted to get home.
[00:06:31.586 --> 00:06:33.166]  So I said, look, I've got nothing in my pocket.
[00:06:33.506 --> 00:06:34.627]  Showed him what was in my pocket.
[00:06:34.667 --> 00:06:35.367]  Gave him my ID.
[00:06:35.848 --> 00:06:41.210]  He put a call in to the higher authorities to just to check that I wasn't a wanted felon.
[00:06:42.190 --> 00:06:50.954]  And all the while he's got this colleague who's, you know, stood a few steps away from me just saying, look, this is just procedure.
[00:06:50.994 --> 00:06:52.495]  You've done nothing wrong.
[00:06:52.535 --> 00:06:53.735]  You've got nothing to worry about.
[00:06:53.775 --> 00:06:54.916]  Just let him get on with it.
[00:06:56.722 --> 00:07:01.186]  And it's a procedure to go through airport scanners that scan your naked body now in mobile trucks.
[00:07:01.786 --> 00:07:07.671]  It's just a procedure to take your blood on the side of the highway from Austin, Texas to Chicago, Illinois without true warrants.
[00:07:08.792 --> 00:07:12.716]  It's just a procedure to have them put mercury in your child's vaccine as they have convulsions.
[00:07:13.016 --> 00:07:14.597]  I want to talk behind scenes with you, Steve.
[00:07:14.898 --> 00:07:15.218]  Stay there.
[00:07:15.238 --> 00:07:16.099]  We're going to Steve right now.
[00:07:20.012 --> 00:07:23.375]  I want to keep talking to you, Steve, and we'll come back on the foot... I don't want to waste any time here.
[00:07:23.755 --> 00:07:26.798]  I love, Steve, how you're... and we'll finish the main story when we get back.
[00:07:27.278 --> 00:07:32.983]  I love how you describe that you now have been put in this criminal database, and it doesn't matter.
[00:07:33.003 --> 00:07:40.389]  Everybody who gets stopped, millions, get put in it, and they're now stopping small children, photographing them, putting them in databases.
[00:07:40.429 --> 00:07:43.452]  Now they want to register knives after they took your guns.
[00:07:44.232 --> 00:07:48.136]  I mean, there's no doubt you have lawless, out-of-control government.
[00:07:48.696 --> 00:07:52.459]  I mean, I mean, what's your overall take as you write the article on why they're doing this?
[00:07:52.499 --> 00:07:53.419]  Then we'll finish the story.
[00:07:55.541 --> 00:08:00.204]  Well, I mean, it's just... It's a part of the overall system, really, isn't it?
[00:08:00.224 --> 00:08:17.596]  I mean, there's countless examples of... I mean, I'll give you some examples of this stop-and-search law, which is, you know, under the... It's brought in under Section 44 of the Terrorism Act in 2000, so they're using terror laws to stop people in the street, and some examples of how they've used it is
[00:08:18.864 --> 00:08:24.987]  Um, there was a woman who was stopped in Dundee in Scotland because she was walking on a cycle path.
[00:08:25.907 --> 00:08:31.430]  And they held her for four hours in the police station for trespassing on a cycle path under terrorism laws.
[00:08:31.450 --> 00:08:38.273]  Um, there was a 82 year old member of the, he's an MP, a Labour MP.
[00:08:39.053 --> 00:08:42.755]  He was detained under the Terrorism Act for heckling Jack Straw.
[00:08:43.895 --> 00:08:45.956]  He shouted nonsense, this was in 2005, as Jack Straw
[00:08:48.334 --> 00:08:55.156]  Defending the policy to invade Iraq at the Labour Party Conference.
[00:08:55.736 --> 00:09:06.298]  There's another example of an 11-year-old girl who was walking past a protest with her father who's stopped and searched under the Terrorism Act.
[00:09:07.118 --> 00:09:16.281]  I mean, these are all incidences of people minding their own business and being stopped and searched under terrorism laws.
[00:09:16.301 --> 00:09:17.841]  I mean, it's a part of
[00:09:18.766 --> 00:09:23.014]  Sort of merging crime and terrorism and eroding liberty in the process.
[00:09:25.697 --> 00:09:26.838]  You're absolutely right.
[00:09:26.998 --> 00:09:31.761]  And again, we've caught Blair with a secret deal to bring in unlimited foreigners.
[00:09:32.622 --> 00:09:33.782]  They harass citizens.
[00:09:33.802 --> 00:09:37.025]  They're now putting three-year-olds in criminal databases.
[00:09:37.445 --> 00:09:41.848]  They try to feed them hot curry at government schools if they cry and say it burns.
[00:09:42.188 --> 00:09:43.129]  Police are called.
[00:09:43.149 --> 00:09:46.211]  I mean, this is mass mental illness.
[00:09:46.791 --> 00:09:53.155]  And then these wannabe cops say, well, we're not authorized to save people drowning, so we watch children drown.
[00:09:53.936 --> 00:09:55.577]  I mean, and then they get rewarded.
[00:09:56.277 --> 00:09:57.638]  I mean, this is sick!
[00:09:57.678 --> 00:09:58.719]  This is mind control!
[00:09:59.699 --> 00:10:02.240]  Well, I mean, schools is another good example.
[00:10:02.260 --> 00:10:03.121]  You mentioned schools earlier.
[00:10:03.141 --> 00:10:16.948]  The article was about if children, I think it was, if they say, yuck, if they eat spicy food or something, then they're considered, you know, possible, they may possibly become racists, or they get special treatment at schools.
[00:10:17.268 --> 00:10:19.049]  Another one is the stop and search powers.
[00:10:19.901 --> 00:10:23.922]  Headteachers have now got the same powers as police to stop and... That's it.
[00:10:23.982 --> 00:10:24.322]  Here we go.
[00:10:24.342 --> 00:10:25.263]  Let's talk about that now.
[00:10:25.283 --> 00:10:26.083]  Let's talk about that now.
[00:10:26.123 --> 00:10:26.523]  Here we go.
[00:10:29.744 --> 00:10:30.865]  Okay, Steve Watson.
[00:10:32.005 --> 00:10:35.806]  Dear Behind the Scenes of Prison Planet dot TV viewers and InfoWars stream listeners.
[00:10:36.626 --> 00:10:44.489]  We were talking about how they're putting three-year-olds in criminal databases if they say yuck when the government school feeds them curry.
[00:10:45.754 --> 00:10:46.875]  Yuck, it's now not allowed.
[00:10:46.915 --> 00:10:47.615]  Police are called.
[00:10:47.635 --> 00:10:49.156]  I mean, we're not kidding, folks.
[00:10:49.196 --> 00:10:51.857]  This is maximum enforcement on the general public.
[00:10:53.378 --> 00:10:55.099]  Just absolute control.
[00:10:57.040 --> 00:10:58.061]  So finish up.
[00:10:58.101 --> 00:11:00.942]  He's there with the big form, filling it out on you.
[00:11:00.982 --> 00:11:05.164]  You're going in the National Database because you put your hand in your pocket at a bus stop.
[00:11:05.184 --> 00:11:05.565]  Go ahead.
[00:11:07.326 --> 00:11:13.389]  Yeah, well, he wasn't filling in the form until he asked me, do you want to wait
[00:11:13.976 --> 00:11:42.182]  fifteen minutes while I fill in this form and I just said no I don't want to wait fifteen minutes just fill it in and put it put me in the database of you know the rest of the innocent people yeah yeah he was offering you a copy he was going to fill the form and I had two forms oh yeah yeah they have to by law let's be clear uh... now just like the federal marshal said last year in the Denver Post they said look we're ordered with quotas to put people in it children a mother takes a photo out of plain window for the rest their lives are listed as terrorist
[00:11:42.702 --> 00:11:44.143]  Yeah, there was an article in the
[00:12:01.223 --> 00:12:11.786]  I think it was the Telegraph yesterday, because there were a load of figures released yesterday by the government, stop and search figures, and this is the other thing, they've separated it into stop and search, and stop and account.
[00:12:12.187 --> 00:12:13.167]  Now, now, that's not all!
[00:12:13.807 --> 00:12:26.491]  They also, even mainstream reporters, are grabbing cameras of all types, in rural areas, in cities, they'll come up to news vans and grab cameras, and then there's, they give them a form saying camera confiscated, and you don't get it back.
[00:12:26.551 --> 00:12:28.892]  I mean, it's, it's just incredible.
[00:12:30.529 --> 00:12:37.765]  Yeah, and the figures released yesterday showed that there's been a rise of one third in the amount of people stopped.
[00:12:37.885 --> 00:12:40.230]  It's now close to two... well, it was 06, 07.
[00:12:42.091 --> 00:12:47.334]  Two million people were stopped, which was a rise from 1.4 million the previous year.
[00:12:47.354 --> 00:12:53.697]  Now in New York last year, I saw the numbers, they went up from like 200,000 to 500 plus thousand random searches.
[00:12:53.957 --> 00:13:02.201]  And you'll be in New York, they'll block off the street, everybody get up the wall, this is in Endgame by the way, not in Endgame, in Truth Rising, my newest film.
[00:13:02.701 --> 00:13:06.783]  And they just cordon off the streets, search every person, search every car, no warrants.
[00:13:06.823 --> 00:13:07.444]  Go ahead Steve.
[00:13:09.265 --> 00:13:09.485]  Yeah.
[00:13:11.309 --> 00:13:19.117]  Most common reason for the searches that was given is they, you know, the police suspect they've got drugs or stolen property.
[00:13:20.218 --> 00:13:23.341]  And they're searching them under terrorism laws, so it's clear.
[00:13:24.272 --> 00:13:28.976]  Guilty until proven innocent.
[00:13:28.996 --> 00:13:36.663]  Well, when they have all these come to the local tattletale FBI meeting, you get there to fight terror, we got video of it, and they say, alright, is your neighbor smoking pot?
[00:13:37.564 --> 00:13:38.685]  Uh, they dumping garbage.
[00:13:39.126 --> 00:13:40.307]  Uh, they spanking their kids.
[00:13:40.587 --> 00:13:46.813]  Report this to us, you're now Deputy Minions, because there is no real terror that they're not staging.
[00:13:48.649 --> 00:13:55.231]  Yeah, and the government here continues to, you know, push for even stronger stop-and-search laws under the Terrorism Act.
[00:13:55.891 --> 00:14:00.132]  And at the moment, police can... They can carry out random searches.
[00:14:00.172 --> 00:14:05.334]  They designate an area, the chief officer does, and they can just go in there and carry...
[00:14:08.069 --> 00:14:10.290]  We just lost our connection to London.
[00:14:11.110 --> 00:14:11.691]  Oh, okay, good.
[00:14:12.311 --> 00:14:13.232]  You're back with us, Steve.
[00:14:13.252 --> 00:14:13.732]  Can you hear me?
[00:14:14.272 --> 00:14:14.432]  Yep.
[00:14:14.712 --> 00:14:15.913]  It's probably my SDN.
[00:14:16.013 --> 00:14:16.653]  It's been hellish.
[00:14:17.113 --> 00:14:17.534]  Stay there.
[00:14:17.554 --> 00:14:18.254]  We're going to come back.
[00:14:18.274 --> 00:14:21.716]  We're going to do one more segment, but this article's up on Infowars.net.
[00:14:21.756 --> 00:14:22.676]  It's very eloquent.
[00:14:23.096 --> 00:14:24.657]  Lots of links to what they're doing.
[00:14:25.137 --> 00:14:28.979]  I mean, Steve, this is already Orwellian to the max.
[00:14:28.999 --> 00:14:32.521]  This is already the prisoner on steroids, and it's only getting worse.
[00:14:36.030 --> 00:14:36.530]  Indeed, yeah.
[00:14:36.991 --> 00:14:44.875]  So we'll come back with a final segment with Steve Watson, then Ralph Winterud from Alaska is going to be joining us to talk about these private federal agencies.
[00:14:45.055 --> 00:14:46.556]  Letter of Mark is what they have.
[00:14:46.576 --> 00:14:52.559]  Just like the Queen of England would say to private shipping groups, go out and rob whoever you want, here's a letter of mark.
[00:14:52.639 --> 00:14:55.921]  Well, that's what most government agencies are now.
[00:14:56.241 --> 00:14:57.181]  We'll be talking about that.
[00:14:57.221 --> 00:14:58.302]  Steve Watson, stay with us.
[00:15:02.004 --> 00:15:03.125]  Thank you for listening to GCN.
[00:15:04.481 --> 00:15:06.815]  Be sure to visit GCNLive.com today!
[00:15:10.183 --> 00:15:12.724]  Terror Storm, a history of government-sponsored terror.
[00:15:13.044 --> 00:15:14.324]  Loose Change Final Cut.
[00:15:14.604 --> 00:15:16.585]  Endgame, blueprint for global enslavement.
[00:15:16.765 --> 00:15:18.505]  The truth story of the Bilderberg Group.
[00:15:18.665 --> 00:15:19.886]  The late, great USA.
[00:15:20.146 --> 00:15:21.566]  America, freedom to fascism.
[00:15:21.906 --> 00:15:28.748]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:15:28.928 --> 00:15:32.849]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:15:33.009 --> 00:15:36.410]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:15:36.810 --> 00:15:39.372]  Or you would like a book on the history of the Federal Reserve.
[00:15:39.572 --> 00:15:44.736]  We've got the most well-researched and documented titles, all available at PrisonPlanet.com.
[00:15:45.016 --> 00:15:50.359]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[00:15:50.700 --> 00:15:56.363]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:15:56.724 --> 00:16:03.148]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right
[00:16:03.148 --> 00:16:06.951]  Right now at TruthNews.us and PrisonPlanet.tv.
[00:16:07.291 --> 00:16:08.833]  Join the info war today!
[00:16:12.475 --> 00:16:14.377]  Waging war on corruption!
[00:16:14.397 --> 00:16:17.640]  Alex Jones on the GCN Radio Network!
[00:16:26.866 --> 00:16:30.729]  Folks, there are hundreds of articles in every major British and U.S.
[00:16:30.789 --> 00:16:40.876]  paper hyping war with Iran, saying they've got EMP weapons that destroy all our electronics in the U.S., nukes, deadly poison monkeys.
[00:16:40.896 --> 00:16:44.899]  They're claiming their little missiles that go a couple hundred miles are deadly.
[00:16:45.499 --> 00:16:47.040]  I mean, they're hyping everything.
[00:16:47.380 --> 00:16:49.842]  It is just, clearly the push for war is on.
[00:16:50.362 --> 00:16:55.346]  And throughout the week, we're going to be covering all of this in great detail with other key guests.
[00:16:56.974 --> 00:17:02.038]  Yeah, well, I'm in there now with everyone else, but out of the two million
[00:17:27.270 --> 00:17:30.393]  You know, the figures released yesterday out of the 2 million people that were stopped.
[00:17:30.413 --> 00:17:38.240]  It's interesting to note that in the same year only 221 were actually charged with terrorism offences.
[00:17:38.821 --> 00:17:41.323]  And after that fact, 40 were convicted.
[00:17:41.803 --> 00:17:51.933]  And we know from looking at the articles and reading about those 40 that they were basically all completely mentally retarded, basically.
[00:17:52.799 --> 00:17:58.801]  So there you have terrorism suspects right there, but they stopped 2 million, they convicted 40.
[00:17:58.841 --> 00:18:05.744]  Yeah, their favorite thing is to arrest registered schizophrenics who they can beat up and drug up, who they put on the news saying they did it.
[00:18:05.824 --> 00:18:12.366]  It's admitted, schizophrenics, or they will get people with 70 IQs, or folks with brain injuries, and that's every one of them.
[00:18:12.826 --> 00:18:19.869]  Now, in your article you list all the 84, 85, 80 year old innocent people walking down the street, they're being grabbed.
[00:18:20.069 --> 00:18:20.789]  Tell us about that.
[00:18:22.785 --> 00:18:33.255]  Yeah, I mean, there was an 82-year-old, in the break, there was an 82-year-old Labour MP called Walter Wolfgang.
[00:18:33.436 --> 00:18:43.285]  In 2005, he was ejected from the party conference for shouting nonsense when Jack Straw was defending the party's Iraq policy.
[00:18:44.246 --> 00:18:45.968]  He was detained under terrorism laws.
[00:18:47.475 --> 00:18:55.042]  There was an 11-year-old girl who was walking past a protest with her father, who was searched by police under terrorism laws.
[00:18:55.743 --> 00:19:05.292]  There was a woman who was held for four hours by police for walking, or trespassing as they called it, on a cycle path in Scotland.
[00:19:06.973 --> 00:19:09.794]  Uh, there's countless, there's countless.
[00:19:09.934 --> 00:19:23.260]  There was a woman arrested for a Times of London headline, I believe it was, two years ago, that said something bad about Blair, and the cops said, you're not allowed to have a newspaper that says that, and they arrested her.
[00:19:23.280 --> 00:19:29.643]  It was, I think she was reading out names of soldiers who'd been killed in Iraq.
[00:19:29.783 --> 00:19:31.063]  She was just reading them out.
[00:19:32.952 --> 00:19:39.614]  That was deemed protest and she was detained under terrorism laws for reading a paper.
[00:19:40.034 --> 00:19:43.155]  Now again folks, this is England, this is the United States.
[00:19:44.075 --> 00:19:45.475]  This is clear tyranny.
[00:19:45.695 --> 00:19:46.796]  They're making their move.
[00:19:46.836 --> 00:19:47.996]  Steve, what do we do about this?
[00:19:49.676 --> 00:19:56.418]  Well, I mean, we've just got to... I mean, I've been getting emails telling me I should have just told them to, you know, to F off or whatever.
[00:19:58.792 --> 00:20:04.257]  No, no, these cockroaches would murder you on video camera and say you did it.
[00:20:16.864 --> 00:20:20.227]  Sound mind and not come down to the level that they want.
[00:20:20.407 --> 00:20:27.032]  Well the good news is the Brits are finally getting mad and once you get them mad it's hard to get once you get them mad things seem to change.
[00:20:27.052 --> 00:20:32.036]  I mean that's what I'm seeing in the news and talking to people they are starting to figure out that they're in a lot of trouble aren't they?
[00:20:33.677 --> 00:20:43.705]  Yeah I mean I got off lucky as well because we've got an article up today about a young man who was basically pulled off a train, hauled to the ground and
[00:20:44.620 --> 00:20:47.501]  Had six or seven submachine guns pointed at his head.
[00:20:49.161 --> 00:20:51.322]  Uh, he turned out he'd done nothing.
[00:20:51.642 --> 00:20:52.843]  He was just the wrong guy.
[00:20:53.343 --> 00:20:54.883]  Well, see, you're shocked by that in England.
[00:20:54.923 --> 00:20:57.124]  I mean, try being tasered to death every day for nothing.
[00:20:57.544 --> 00:21:04.166]  Soon they'll be murdering you everywhere, giggling, laughing, running around, drinking their fluoride, begging to be chemical attacked by their gods.
[00:21:05.066 --> 00:21:06.407]  Uh, Steve Watson, great job.
[00:21:06.427 --> 00:21:07.367]  Thank you for spending time with us.
[00:21:08.137 --> 00:21:08.598]  Thanks a lot, Alex.
[00:21:19.943 --> 00:21:26.707]  There are many types of storable foods, but how about a superfood that contains every nutrient that the human body needs for survival?
[00:21:26.727 --> 00:21:38.754]  50% protein, 300 milligrams of potassium per ounce, and calcium and magnesium for your heart and bones, with many more nutrients found in this incredible food source that the government does not want you to have.
[00:21:39.035 --> 00:21:41.736]  This product is available in powder, seeds, and oil.
[00:21:41.996 --> 00:21:45.939]  And a great report at InfoWars.net, some people are saying this is fear-mongering.
[00:21:46.239 --> 00:21:47.159]  It's just the facts.
[00:21:47.440 --> 00:21:47.780]  They are
[00:21:48.462 --> 00:21:51.335]  Going and grabbing three-year-olds for saying they don't like food.
[00:21:52.133 --> 00:21:58.899]  There are many types of storable foods, but how about a superfood that contains every nutrient that the human body needs for survival?
[00:21:58.919 --> 00:22:10.949]  50% protein, 300 milligrams of potassium per ounce, and calcium and magnesium for your heart and bones, with many more nutrients found in this incredible food source that the government does not want you to have.
[00:22:11.229 --> 00:22:16.274]  This product is available in powder, seeds, and oil, and is shipped free to your door in the U.S.
[00:22:16.554 --> 00:22:19.997]  This product is illegal to grow in the U.S., but is legal to import.
[00:22:20.297 --> 00:22:22.539]  Don't waste time thinking about storing food.
[00:22:22.739 --> 00:22:27.523]  Plan ahead and prepare for yourself and your family now, and be in control of your destiny.
[00:22:27.783 --> 00:22:31.967]  You can save and invest your money, but in the end, food will be your greatest asset.
[00:22:32.247 --> 00:22:35.470]  Remember what the Word of God says in Ezekiel 719.
[00:22:35.710 --> 00:22:40.894]  Call 908-691-2608 and see what the powder, seeds, and oil can do for you.
[00:22:41.194 --> 00:22:43.376]  Remember, food will be your greatest asset.
[00:22:43.616 --> 00:22:46.257]  Call 908-691-2608.
[00:22:46.517 --> 00:22:48.397]  This product does not contain THC.
[00:22:48.677 --> 00:22:51.918]  Call 908-691-2608 today!
[00:22:52.738 --> 00:22:58.420]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:22:58.680 --> 00:23:03.461]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:23:03.481 --> 00:23:08.682]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:23:08.902 --> 00:23:12.323]  This product is a one-of-a-kind in its strength and effectiveness.
[00:23:12.723 --> 00:23:12.904]  Yes!
[00:23:27.461 --> 00:23:27.781]  Thank you.
[00:23:52.666 --> 00:23:58.108]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:23:58.389 --> 00:23:59.689]  And we knew what to do.
[00:23:59.709 --> 00:24:01.470]  Or at least we thought we did.
[00:24:01.710 --> 00:24:08.113]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:24:08.733 --> 00:24:15.476]  Whitman, EPA director on the 18th, made a statement that the air
[00:24:16.129 --> 00:24:17.270]  We're safe to breathe.
[00:24:17.630 --> 00:24:24.413]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:24:24.733 --> 00:24:25.173]  He had it.
[00:24:25.754 --> 00:24:26.814]  Mainstream media.
[00:24:27.535 --> 00:24:28.715]  Government cover-ups.
[00:24:29.295 --> 00:24:30.116]  You want answers?
[00:24:30.856 --> 00:24:31.737]  Well, so does he.
[00:24:32.437 --> 00:24:36.079]  He's Alex Jones on the GCN Radio Network.
