[00:00:05.074 --> 00:00:05.714]  This agenda.
[00:13:34.623 --> 00:13:40.486]  They didn't want to vote for the bailout, and they heard those threats, and they said, oh my God, I don't want to be on record of doing this.
[00:13:40.786 --> 00:13:43.128]  So they are terrorized by this.
[00:13:43.720 --> 00:13:51.967]  Well, you know, if we go after Madoff, which we should, we don't need, you know, more regulatory agencies.
[00:13:51.987 --> 00:13:56.111]  What we need is just the enforcement of fraud laws, as pointed out, and go after these guys.
[00:13:56.976 --> 00:13:59.157]  You know, in a way, this is small potatoes.
[00:13:59.197 --> 00:14:02.259]  He's small potatoes compared to the fraud of the Federal Reserve.
[00:14:02.499 --> 00:14:03.399]  What about the fraud?
[00:14:03.740 --> 00:14:06.341]  What about the Ponzi scheme called Social Security?
[00:14:07.061 --> 00:14:08.462]  Who are you going to indict for Social Security?
[00:14:08.482 --> 00:14:09.602]  Well, let me ask you this question.
[00:14:09.642 --> 00:14:19.247]  Now Congress is talking about taking over even private IRAs in hearings, and then sending the money back to the people as a government check, but taxing it.
[00:14:19.507 --> 00:14:23.169]  I mean, they're clearly getting ready to raid the pension funds and Social Security.
[00:14:23.790 --> 00:14:24.570]  How do we stop that?
[00:14:26.061 --> 00:14:38.887]  Well, we have to, you know, be aware of it, and as an approach, we have to get the people organized, but the question will be, are there more people that want the money, or more people holding the IRA and 401K?
[00:14:39.427 --> 00:14:45.090]  And unfortunately, there's probably more people on the dole, and they might just not want to fight it.
[00:14:45.150 --> 00:14:55.315]  You know, with the crowd moving in, as bad as the last administration was, when it comes to economic matters and tax matters, I mean, we have even a tougher row to hoe.
[00:14:56.011 --> 00:14:56.451]  I don't know.
[00:15:21.286 --> 00:15:23.146]  Congressman, we lost you there on your cell phone.
[00:15:23.186 --> 00:15:23.987]  It's been good to have you back.
[00:15:24.267 --> 00:15:37.670]  Specifically, sir, on record from you on the Banking Committee, was it not economic terrorism to have the President and the President-elect at the time, Barack Obama, and others saying, before he was even elected, if you don't pass this, we're going to have a depression?
[00:15:37.990 --> 00:15:44.431]  That then introduced this idea to people and accelerated the markets dropping a thousand points the day they said that.
[00:15:44.712 --> 00:15:46.572]  Was that not economic terrorism?
[00:15:47.655 --> 00:15:54.737]  Obviously it was, and they should be held responsible for this, but like I mentioned, they do that all the time.
[00:15:55.178 --> 00:16:09.042]  That's their technique, is always to build the tremendous fear up in the hearts of the people, whether it has to do with foreign policy and the reason we have to go to war now on economic matters, terrorize the people and say that we are your saviors and we're the only ones that can take care of you.
[00:16:09.422 --> 00:16:11.643]  The only thing that can counteract this is
[00:16:12.225 --> 00:16:13.847]  A different philosophy.
[00:16:13.967 --> 00:16:21.135]  A convincing argument that free markets and sound money and no Federal Reserve and limited taxes are the things that made America great.
[00:16:21.315 --> 00:16:30.605]  We have to get more people and endorse our views and I think the opportunity is coming because the system that they're trying to patch together right now will not work.
[00:16:32.199 --> 00:16:42.281]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:16:42.762 --> 00:16:43.802]  Garden in a Can.
[00:16:44.182 --> 00:16:47.743]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:16:48.323 --> 00:16:50.083]  Garden in a Can is ready when you are.
[00:16:50.323 --> 00:16:52.624]  Plant them now or store them for when you really need them.
[00:16:53.105 --> 00:17:02.101]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:17:02.774 --> 00:17:03.794]  Garden in a Can.
[00:17:04.194 --> 00:17:05.055]  It's that simple.
[00:17:05.395 --> 00:17:07.255]  Fresh, healthy, easy.
[00:17:07.775 --> 00:17:11.757]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:17:12.137 --> 00:17:13.037]  Ready when you are.
[00:17:13.697 --> 00:17:17.318]  Stop procrastinating and start preparing with Garden in a Can.
[00:17:17.778 --> 00:17:20.879]  For more details visit GardenInACan.com today.
[00:17:21.259 --> 00:17:23.840]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[00:17:31.079 --> 00:17:34.241]  Before you throw away your used batteries, you need to listen to this.
[00:17:34.601 --> 00:17:36.322]  Now, going green can save money.
[00:17:36.522 --> 00:17:41.865]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:17:42.065 --> 00:17:49.769]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:17:50.089 --> 00:18:02.734]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[00:18:02.894 --> 00:18:07.796]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:18:08.076 --> 00:18:13.298]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:18:13.618 --> 00:18:14.318]  Save your money.
[00:18:14.719 --> 00:18:15.659]  Save the environment.
[00:18:16.039 --> 00:18:18.883]  Visit us online at r-charge.com.
[00:18:19.043 --> 00:18:21.145]  That's r-charge.com.
[00:18:21.286 --> 00:18:22.026]  Or call us at 989-637-4179.
[00:18:22.047 --> 00:18:22.487]  That's 989-637-4179.
[00:18:22.527 --> 00:18:23.849]  Be a part of the revolution today!
[00:18:32.102 --> 00:18:33.644]  Jim Newcomer from Midas Resources.
[00:18:33.724 --> 00:18:34.064]  December 19, 2008.
[00:18:34.124 --> 00:18:35.185]  Gold opened this morning at $839.30.
[00:18:35.225 --> 00:18:38.648]  A one ounce gold coin can be purchased for $864.25, $432.12 for the half ounce, and $216.06 for a quarter ounce.
[00:18:38.808 --> 00:18:39.129]  That's $864.25, $432.12, and $216.06.
[00:18:50.099 --> 00:18:55.482]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:18:55.562 --> 00:18:59.005]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:18:59.065 --> 00:18:59.966]  Bad news for U.S.
[00:19:00.006 --> 00:19:00.426]  currency.
[00:19:00.646 --> 00:19:02.708]  China and Japan hold large positions in dollar.
[00:19:02.848 --> 00:19:04.209]  Trading equals permanent loss.
[00:19:04.449 --> 00:19:06.390]  Dollars fall into 65% of euro.
[00:19:06.550 --> 00:19:07.531]  Erosion accelerates.
[00:19:07.711 --> 00:19:07.911]  Call 800-686-2237
[00:19:31.932 --> 00:19:36.675]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:19:37.035 --> 00:19:43.359]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[00:19:44.119 --> 00:19:52.464]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:19:53.124 --> 00:20:00.567]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:20:01.068 --> 00:20:06.610]  Call 908-691-2608 or visit hempusa.org today.
[00:20:07.270 --> 00:20:14.553]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[00:20:15.154 --> 00:20:21.937]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[00:20:22.788 --> 00:20:31.474]  So don't delay, call today, 908-691-2608, and see what our powder, seeds, and oil can do for you.
[00:20:36.017 --> 00:20:40.219]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:42.561 --> 00:20:48.845]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide,
[00:20:49.406 --> 00:20:52.287]  This is the Alex Jones Show!
[00:20:52.307 --> 00:21:00.590]  We have one of the, well, the chief of the IMF saying we're probably going to have riots worldwide if they, quote, don't get things going.
[00:21:00.610 --> 00:21:13.614]  But if you look at the IMF World Bank documents that got leaked to the BBC in late 2001, they state that they cut off liquidity by design to implode markets so that they can then come in and buy things up for pennies on the dollar.
[00:21:14.054 --> 00:21:14.794]  Can you speak to that?
[00:21:15.908 --> 00:21:18.772]  Well, not clearly, because I don't know if that's true.
[00:21:19.092 --> 00:21:29.125]  I suspect that it might be, but I also think that this is such a big bubble that even those with a lot of money, you know, get a little bit nervous about what's happening.
[00:21:29.446 --> 00:21:31.468]  But one thing for sure is they're pretty...
[00:21:33.274 --> 00:21:35.176]  Pretty capable of shifting.
[00:21:35.556 --> 00:21:42.902]  So if it goes sour, worse than they expect, because I don't think they have perfect control, but they're always available and they do have cash.
[00:21:42.922 --> 00:21:45.885]  They're not arguing there's a little bit of cash and just think of all this new credit.
[00:21:46.225 --> 00:21:50.869]  So there's a lot of money sitting there ready to be bought up and it won't be the average guy on the street that
[00:21:51.269 --> 00:21:51.669]  We're good to go.
[00:22:09.770 --> 00:22:13.913]  Well, I mean, the basic fundamental, and I'd like to get your take on this, Congressman.
[00:22:13.933 --> 00:22:16.735]  We're again talking to Congressman Ron Paul from Texas.
[00:22:17.255 --> 00:22:30.184]  Dealing with this, I mean, clearly, the authors of the economic collapse we're witnessing and the worldwide depression that this whole crisis is spiraling into are now posing and positioning themselves as the saviors.
[00:22:30.764 --> 00:22:45.061]  And the mainstream media, Fox News, CNN, MSNBC, every time I'm watching a banking committee, the House Banking, Senate Banking, every time I'm watching one of the subcommittees, they will show Kashkari, they will show Paulson, they will show other operatives.
[00:22:45.461 --> 00:22:50.205]  Well, you have to recognize it and you have to do your best to get around it, although I complain just as you are complaining.
[00:23:12.109 --> 00:23:21.835]  I'm still getting a lot more interviews now than I did a year ago on this issue, so I'm not completely blocked out, but there's a lot of what you say that goes on.
[00:23:22.376 --> 00:23:24.937]  But then we have to go around them, if nothing else.
[00:23:25.398 --> 00:23:27.819]  What I fear is them closing down the Internet.
[00:23:28.100 --> 00:23:31.662]  That, to me, would be the big problem, you know, if they take that away from us.
[00:23:32.102 --> 00:23:37.286]  So we've been able to reach millions of people through the Internet, and you reach a lot of people on the radio, so if they start cracking down,
[00:23:40.535 --> 00:23:49.747]  Well, as you know, they've openly in Congress talked about bringing back the Fairness Doctrine, this Internet II doctrine.
[00:23:50.028 --> 00:23:53.412]  I'm sure you know, but for the audience, they are shifting.
[00:23:54.854 --> 00:24:07.471]  Basically, all the new upgrades to Internet 2, where private corporations own it and control it, and they admit they're not going to allow free speech, they're only going to give people a few thousand websites and not the hundreds of millions that are currently available.
[00:24:07.511 --> 00:24:09.273]  So what they're doing is hijacking the web.
[00:24:09.694 --> 00:24:12.738]  Okay, Congressman Ron Paul, and we've only got about five minutes.
[00:24:13.258 --> 00:24:14.739]  Left with you right now, sir.
[00:24:14.819 --> 00:24:22.623]  Specifically, there is an Army War College report out, and you know about NORTHCOM announcing 20,000 combat troops for the streets of America.
[00:24:22.643 --> 00:24:26.204]  They're openly stating it is for civil unrest and rioting.
[00:24:27.185 --> 00:24:32.167]  The new report's called The Knows and Unknowns, Unconventional Strategic Shock and Defense Strategy Development.
[00:24:32.427 --> 00:24:38.150]  The Army openly says in here, on the Army War College, that they are preparing to engage the American people.
[00:24:39.050 --> 00:24:42.172]  Posse Comitatus has not been fully removed.
[00:24:42.232 --> 00:24:49.837]  I mean, we're now seeing open martial law being discussed and being debated as if it is the solution.
[00:24:50.357 --> 00:24:56.041]  They're saying that governors will be under the control of the President and will serve at his pleasure.
[00:24:56.201 --> 00:24:56.981]  Can you speak to that?
[00:24:57.321 --> 00:25:04.946]  Well, I think what you're doing is just pointing out the danger using the fear factor for our foreign policy and our financial problems.
[00:25:05.498 --> 00:25:17.402]  And now they do it for your physical safety, which to me is just a continuation of the 9-11, post-9-11 attitude, because that was when they started passing, getting past all the legislation that they had proposed for so many years.
[00:25:17.882 --> 00:25:21.004]  Now they're saying, well, we're going to have chaos in the streets.
[00:25:21.144 --> 00:25:23.865]  The terrorists aren't going to be people coming from outside.
[00:25:24.325 --> 00:25:25.825]  The terrorists are going to be our own people.
[00:25:25.845 --> 00:25:30.327]  There's going to be chaos here in the streets as a consequence of the financial crisis.
[00:25:30.607 --> 00:25:33.128]  So therefore, we have to militarize our community.
[00:25:34.182 --> 00:25:40.607]  And once again, it's that attitude that government is our savior, and they can't save us.
[00:25:40.687 --> 00:25:50.756]  I mean, all the SEC and all the regulations can't protect us against fraud, and all the policemen in the world can't protect us in our homes.
[00:25:51.096 --> 00:25:59.163]  Congressman, continuing in the time we have left, specifically, they are saying they're preparing to engage the American people.
[00:25:59.623 --> 00:26:01.024]  Is this unconstitutional?
[00:26:01.144 --> 00:26:01.845]  Is this treason?
[00:26:03.345 --> 00:26:14.127]  Well, it's obviously not constitutional, and depending on how it comes about, it could very well be treasonous, but on how the confrontation comes.
[00:26:14.147 --> 00:26:16.988]  Of course, they would never say that they're confronting.
[00:26:17.048 --> 00:26:22.349]  They might use those terms, but they might say, we're confronting violence, and we're going there to save you.
[00:26:22.649 --> 00:26:27.250]  We don't want your cities burnt down, so therefore, we're going to put our troops in there to prevent these problems.
[00:26:28.530 --> 00:26:28.610]  Yes.
[00:26:45.812 --> 00:26:48.574]  We cannot depend on the Congress or our courts to save us.
[00:26:48.754 --> 00:26:57.959]  Well, sir, going back over the last 20 years, as you know, they've been covertly getting rid of Posse Comitatus, merging the military and police, and now they're acting like they just set this up last week.
[00:26:58.200 --> 00:27:01.021]  This is part of a larger strategic plan.
