[00:00:00.009 --> 00:00:01.170]  Saudi Arabian connection.
[00:20:28.014 --> 00:20:30.596]  My voice seems to be holding out, so I'll give it a shot.
[00:20:30.616 --> 00:20:31.837]  Oh, man, whatever's in the air.
[00:20:31.857 --> 00:20:34.199]  I mean, I've had a chest cold for like two weeks.
[00:20:35.256 --> 00:20:35.476]  Right.
[00:20:36.017 --> 00:20:37.038]  And everybody else I know.
[00:20:37.319 --> 00:20:46.070]  So it's just why I'm constantly pausing and can't seem to be as articulate or silver-tongued as I normally am because I'm fighting hacking every five seconds.
[00:20:46.731 --> 00:20:48.814]  In fact, that feels better.
[00:20:49.034 --> 00:20:49.415]  There we go.
[00:20:51.772 --> 00:20:53.693]  But I do appreciate both of you coming on today.
[00:20:53.933 --> 00:21:01.035]  We're on the web right now, and of course it's a fraction of our audience, but in the aggregate, it turns out I think overall being bigger than even the live radio show.
[00:21:01.416 --> 00:21:05.717]  So why don't you guys take a few minutes out to talk more about your books and videos right now.
[00:21:08.218 --> 00:21:18.782]  Well, my new book, maybe I'm being self-centered with this, but I think that virtually everybody who wants the older books already has them.
[00:21:19.520 --> 00:21:24.822]  When the new one comes out, it's going to be all brand new stuff, 800 photographs.
[00:21:26.522 --> 00:21:31.704]  All the information about it will be on my website, JFKMurder.com.
[00:21:32.004 --> 00:21:36.786]  So it's going to be the Rosetta Stone?
[00:21:36.886 --> 00:21:39.447]  So it's going to be the Rosetta Stone?
[00:21:40.687 --> 00:21:41.667]  I certainly think so.
[00:21:41.688 --> 00:21:43.028]  There's a lot of stuff in there.
[00:21:43.088 --> 00:21:48.890]  We've got tons of new photographic evidence that no one even suspected existed before.
[00:21:49.864 --> 00:21:52.707]  And it's going to open up a lot of people's eyes.
[00:21:52.787 --> 00:21:59.273]  If anyone can look at the new book and doubt the fact that it was a conspiracy, they're so closed-minded, nothing will get through.
[00:22:02.055 --> 00:22:02.356]  Jim?
[00:22:03.757 --> 00:22:04.077]  Right.
[00:22:04.297 --> 00:22:09.062]  Well, I've already plugged for my book, The Rise of the Fourth Reich.
[00:22:09.162 --> 00:22:11.484]  If you'll read that, I have a whole section in there.
[00:22:11.909 --> 00:22:30.497]  When I began writing about these displaced Nazis who were run out of Europe thanks to World War II and the heroic and courageous service of our fathers and uncles and grandfathers, you know, who fought to restore freedom in the world, we just simply forced the Nazis to move.
[00:22:31.357 --> 00:22:32.858]  We only defeated the Germans.
[00:22:33.371 --> 00:22:42.115]  And they were brought over here by the same people on Wall Street and in the Eastern Establishment who had funded Hitler before and during the war.
[00:22:42.136 --> 00:22:43.696]  Well, that's what I was going to say.
[00:22:43.736 --> 00:22:48.539]  Your book actually even exposes some of the Zionist connection to all of that, and then people that haven't even read it
[00:22:49.119 --> 00:22:59.385]  are attacking you, I'm sure you're aware of this, saying you're covering up, you're saying it's all a Germanic thing, when you're explaining it's a system of government and control by the international bankers.
[00:22:59.405 --> 00:23:00.386]  I'm just so tired!
[00:23:01.066 --> 00:23:04.028]  Well, they're not thinking past a certain level.
[00:23:04.868 --> 00:23:11.532]  When I talk about Nazis, Nazi is an acronym in the German language for National Socialism.
[00:23:12.273 --> 00:23:15.875]  And today, for eight years now, we've had National Socialism
[00:23:16.603 --> 00:23:17.364]  I don't know.
[00:23:33.423 --> 00:23:38.126]  And we'll be right into a Nazi-type situation.
[00:23:38.967 --> 00:23:44.650]  The only thing we've done this year is swap National Socialism for Marxist Socialism.
[00:23:44.990 --> 00:23:49.893]  But at the very top, it's the same wealthy, ruling bunch.
[00:23:50.074 --> 00:23:51.394]  Absolutely.
[00:23:51.775 --> 00:23:52.875]  That runs both sides.
[00:23:52.935 --> 00:23:58.439]  But the establishment wants us to all infight about different branches of the same structure.
[00:23:59.079 --> 00:24:04.725]  We're fighting over whether there was somebody on the grassy knoll or how many people were shooting at Kennedy.
[00:24:04.825 --> 00:24:05.206]  Here we go.
[00:24:05.226 --> 00:24:06.367]  Here we go.
[00:24:06.387 --> 00:24:07.148]  We're going back live.
[00:24:07.168 --> 00:24:07.368]  Here we go.
[00:24:12.737 --> 00:24:15.277]  Jim, we were talking behind the scenes at PrisonPlanet.tv.
[00:24:15.317 --> 00:24:17.998]  I want you to finish your point that we're going to take a few final calls.
[00:24:18.018 --> 00:24:23.079]  We've only got five minutes left with both of you, and I'll see you both this weekend up in Dallas for the 45th anniversary.
[00:24:23.099 --> 00:24:31.101]  You were talking about, we're still fighting about men on the grassy knoll, or did they go to the moon, when openly World Bank System is setting up world government.
[00:24:31.321 --> 00:24:32.541]  They're openly announcing it.
[00:24:32.581 --> 00:24:33.461]  It's on the news.
[00:24:34.102 --> 00:24:34.862]  It's just incredible.
[00:24:34.882 --> 00:24:35.422]  Finish your point.
[00:24:36.269 --> 00:24:36.549]  Right.
[00:24:36.669 --> 00:24:39.871]  Well, in the case of the Kennedy assassination, here's the bottom line.
[00:24:40.372 --> 00:24:53.780]  I'll be the first to admit that no one can say for absolute certainty or with absolute proof how many people were shooting at Kennedy, who they were, who paid them, where they came from, where they went to.
[00:24:54.180 --> 00:24:58.583]  But what we can show and document beyond any reasonable shadow of a doubt
[00:24:59.122 --> 00:25:06.548]  Is that the truth of the conspiracy to kill Kennedy has been covered up at the level of the federal government of the United States.
[00:25:07.129 --> 00:25:19.699]  We can prove that there was alteration of evidence, destruction of evidence, suppression of evidence, fabrication of evidence, and intimidation of witnesses, all of which are crimes under our legal system.
[00:25:20.660 --> 00:25:28.446]  And Alex, Robert, folks, that's what transforms, which at that time was only another Texas homicide,
[00:25:29.142 --> 00:25:30.844]  Into a national coup d'etat.
[00:25:31.364 --> 00:25:31.864]  Absolutely.
