[00:00:02.870 --> 00:00:04.771]  We now go to Dr. Nick Begich.
[00:12:37.365 --> 00:12:40.987]  Everybody dies with their dissortations, and so new ideas can come home.
[00:12:41.027 --> 00:12:48.730]  And that's predominantly done with funding, and 90 plus percent of research funding is funded by the federal government and DARPA.
[00:12:49.511 --> 00:13:00.696]  Right, and the military, you know, then what happens is they fund all these projects, and then if someone gets a little bit too out there in terms of talking to the public, they sideline them and deny they ever participated.
[00:13:01.283 --> 00:13:07.267]  You know, it's what happened with Ben Eastwood, with his work on the HAARP project initially.
[00:13:07.427 --> 00:13:13.190]  They disavow him after the fact, and he passed away just a few months ago.
[00:13:13.390 --> 00:13:24.157]  In fact, I'm doing an interview with Wired Magazine on HAARP in the next couple of days, and his family sent me up the letterhead documents from APTI and from ARCO.
[00:13:24.941 --> 00:13:27.923]  Supporting the fact that he actually set this program up.
[00:13:28.383 --> 00:13:31.164]  Something the military denies, you know, to this day.
[00:13:31.605 --> 00:13:33.866]  Which is remarkable, you know, when you start to think about it.
[00:13:33.926 --> 00:13:41.050]  Because that is the approach they've taken, is they initiate all this activity, then deny it until you extract it from them.
[00:13:41.130 --> 00:13:43.891]  A good friend of mine's dad was a U.S.
[00:13:43.911 --> 00:13:47.013]  Supreme Court Justice, and he was trained as an attorney.
[00:13:47.033 --> 00:13:51.435]  And what the guy told me one time is, he said, you never concede a point.
[00:13:51.795 --> 00:13:53.356]  You make them extract it from you.
[00:13:53.900 --> 00:13:55.761]  And that's how the government operates today.
[00:13:55.961 --> 00:14:08.384]  Instead of giving you information, it's about withholding information from the public, so the public doesn't get a chance to weigh in on the very important decisions that are affecting us right now, and will affect us far into the future.
[00:14:08.464 --> 00:14:19.607]  And it's, you know, I think when you start to look at that whole panorama of technology, you can go, oh, we don't need any of this, but the fact is we have it, it's going to be here, we need to make sure it serves our interests.
[00:14:19.708 --> 00:14:21.268]  And that's what is not happening.
[00:14:21.878 --> 00:14:37.813]  That's why, you know, when you start to look at the ineffectiveness of our Congress today and why it's in the toilet, I mean, its ratings are lower than the President's right now, and it's because of their ineffectiveness at safeguarding an economy, working in the interest of the common person.
[00:14:37.833 --> 00:14:40.095]  They're so detached, so distant.
[00:14:40.976 --> 00:14:46.901]  And then the technologies we have are being turned against us when they ought to be turned into a situation where we're solving our problems.
[00:14:46.941 --> 00:14:47.562]  I mean, think about
[00:14:48.288 --> 00:14:55.949]  The energy nonsense crisis, so-called crisis we're in, totally unavoidable on the backdrop of American technology.
[00:14:57.610 --> 00:15:03.431]  We're going to come back with Dr. Nick Baggage after this quick three-minute break and get into the energy non-crisis.
[00:15:03.951 --> 00:15:04.511]  Stay with us.
[00:15:13.292 --> 00:15:14.233]  We're on the march.
[00:15:14.693 --> 00:15:16.173]  The empire's on the run.
[00:15:17.182 --> 00:15:19.963]  Alex Jones and the GCN Radio Network.
[00:15:23.244 --> 00:15:35.969]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:15:36.369 --> 00:15:43.131]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions.
[00:15:43.491 --> 00:15:47.052]  And the true perpetrators of this horrendous crime are brought to justice.
[00:15:47.433 --> 00:15:50.634]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:15:50.834 --> 00:15:58.337]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:15:58.737 --> 00:16:03.939]  Secure your copy of Loose Change Final Cut today at Infowars.com or PrisonPlanet.com.
[00:16:04.139 --> 00:16:12.422]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism,
[00:16:12.762 --> 00:16:13.942]  And hundreds of other titles.
[00:16:14.362 --> 00:16:16.643]  We're in a no-holds-bar information war.
[00:16:16.983 --> 00:16:18.004]  Truth is our weapon.
[00:16:18.184 --> 00:16:22.325]  And PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:16:23.525 --> 00:16:25.166]  Life has changed.
[00:16:25.586 --> 00:16:27.026]  We're not 21 anymore.
[00:16:27.426 --> 00:16:29.147]  We have responsibilities.
[00:16:30.567 --> 00:16:33.048]  That's why there's drinkin' made hangover defense.
[00:16:33.508 --> 00:16:35.109]  Sure, we've done our share of partying.
[00:16:35.189 --> 00:16:35.929]  Yeah, dude.
[00:16:35.989 --> 00:16:39.530]  Now kickin' back with the neighbors and a few beers is more our style.
[00:16:40.117 --> 00:16:45.560]  But let's face it, as we get older, even that can leave us feeling run down the next morning.
[00:16:46.481 --> 00:16:51.123]  With Drink and Mate, you can have a few drinks tonight without waking up feeling like you had a few.
[00:16:51.464 --> 00:17:02.650]  Drink and Mate's patented and proven formula of guava leaf extract has antioxidants and other unique properties that help prevent the headache, queasy stomach, and dehydration even a few drinks can leave behind.
[00:17:03.170 --> 00:17:06.732]  Just dissolve one Drink and Mate in water and take it before bed.
[00:17:07.013 --> 00:17:07.613]  It's that easy.
[00:17:08.464 --> 00:17:10.806]  The next morning, bring on the responsibilities!
[00:17:12.388 --> 00:17:15.871]  Drink and Mate Hangover Defense is available at retailers nationwide.
[00:17:16.232 --> 00:17:17.072]  Pick up some today!
[00:17:17.893 --> 00:17:20.696]  Remember your Drink and Mate, and wake up feeling great!
[00:17:23.593 --> 00:17:24.033]  Warning!
[00:17:24.193 --> 00:17:30.936]  The EPA states indoor air pollution is the number one health problem today, causing 50% of all illnesses.
[00:17:31.116 --> 00:17:33.597]  Go to germfree33.com.
[00:17:33.657 --> 00:17:38.519]  Technology developed for NASA is now available to protect your family and health.
[00:17:38.679 --> 00:17:40.720]  Laboratory proven to eliminate 99.9% of deadly MRSA.
[00:17:42.961 --> 00:17:46.924]  Black mold, E. coli, bird flu, and more from all surfaces.
[00:17:47.084 --> 00:17:49.266]  Germfree33.com.
[00:17:49.346 --> 00:17:53.209]  Remove pollen, mold, pet dander, dust mites, and more from the air.
[00:17:53.309 --> 00:17:55.250]  Germfree33.com.
[00:17:55.351 --> 00:17:56.952]  World's best air purifiers.
[00:17:57.152 --> 00:17:58.193]  Nothing else compares.
[00:17:58.313 --> 00:18:00.214]  Germfree33.com.
[00:18:00.334 --> 00:18:01.936]  No expensive filters to replace.
[00:18:01.996 --> 00:18:03.757]  Covers 3,000 square feet.
[00:18:03.917 --> 00:18:06.779]  See the proof at Germfree33.com.
[00:18:06.899 --> 00:18:08.341]  Order from our secure website.
[00:18:08.421 --> 00:18:09.521]  Credit cards accepted.
[00:18:09.682 --> 00:18:10.282]  Order by phone.
[00:18:10.282 --> 00:18:12.483]  Don't call my name out your window when I'm leaving
[00:18:40.718 --> 00:18:43.140]  I won't even turn my head.
[00:18:45.621 --> 00:18:49.524]  Don't send your kinfolks to give me no talking.
[00:18:50.184 --> 00:18:50.925]  I'll be gone.
[00:18:51.225 --> 00:18:53.486]  I'll be gone, like I said.
[00:18:56.048 --> 00:19:00.991]  You'd say the same old thing that you've been saying all along.
[00:19:01.031 --> 00:19:05.234]  Lay there in your bed, keep your mouth shut till I'm gone.
[00:19:06.904 --> 00:19:09.285]  I know we've got a lot of people holding a lot of phone calls.
[00:19:09.305 --> 00:19:12.125]  I'm going to get your calls before this hours out with Dr. Nick Begich.
[00:19:12.666 --> 00:19:13.886]  He'll be with us into the next hour.
[00:19:13.966 --> 00:19:15.846]  You can bring up any issue or topic with him.
[00:19:15.866 --> 00:19:22.988]  He is a scientist who has a lot of basic general knowledge across many different disciplines.
[00:19:24.308 --> 00:19:26.849]  Dr. Begich continuing with what we were talking about.
[00:19:28.214 --> 00:19:37.897]  I don't think the average person realizes how managed our society is, or how managed major technological movements or rollouts truly are.
[00:19:38.918 --> 00:19:52.042]  And the fact that there is giant oil reserves in the Gulf and Alaska and all over the world, the oil companies have decided not to remove it, that they're artificially keeping prices up, and they love to blame it on the Arabs.
[00:19:52.082 --> 00:19:55.143]  Well, yeah, they're part of it, but it's part of the same elite
[00:19:55.723 --> 00:20:01.787]  Just like the oil companies are part of it, buying up refineries and closing them, but that's only one small area as you know.
[00:20:02.248 --> 00:20:20.200]  Then there's all these other incredibly advanced technologies that are decades and decades old that they could have put into place and government then only offers incentives for a few of these late in the game so they can control those developments and now they've got their global greenhouse tax fraud
[00:20:21.081 --> 00:20:23.924]  Which is meant to bring in a new dark age of control.
[00:20:23.964 --> 00:20:25.786]  I want to get your response to that.
[00:20:26.006 --> 00:20:38.119]  But please continue walking through what you were beginning to get into about just how technologically hamstrung and held back we are by these vested interests.
[00:20:38.743 --> 00:20:43.847]  Right, you know, let me talk about oil and gas as a starting point, because that's in everybody's mind right now.
[00:20:43.947 --> 00:20:52.192]  And Alaska is, the Arctic actually holds 25% of all of the undiscovered oil and gas, is what they estimate.
[00:20:52.252 --> 00:20:59.257]  And Alaska actually has, in proven and probable reserves, tens of thousands of trillions
[00:20:59.998 --> 00:21:01.579]  Of cubic feet of natural gas.
[00:21:01.599 --> 00:21:02.459]  Let me say that again.
[00:21:02.519 --> 00:21:06.841]  Tens of thousands of trillions of cubic feet of natural gas.
[00:21:06.881 --> 00:21:14.965]  Prudhoe Bay, which everybody talks about, is just one small dot of sand on the beach of oil and gas in Alaska and the Arctic.
[00:21:15.065 --> 00:21:17.726]  And the reality is, it's been held hostage.
[00:21:17.786 --> 00:21:22.508]  They've had the rights to develop it since 1969 and have failed to bring it into production.
[00:21:23.009 --> 00:21:27.991]  The existing oil pipeline is running at 40% of its capacity, of its design capacity.
[00:21:28.531 --> 00:21:34.134]  Not for a shortage of oil, but a shortage of a willingness to put our oil, domestic oil, through our pipeline.
[00:21:34.174 --> 00:21:34.834]  Yeah, let's be clear.
[00:21:34.874 --> 00:21:40.937]  We're not even talking about new pipelines to add 60% more to the West Coast.
[00:21:40.997 --> 00:21:43.098]  It's paying on average $5 a gallon now.
[00:21:43.519 --> 00:21:44.499]  National average about $4.20.
[00:21:45.179 --> 00:21:47.881]  And this is a scientific
[00:21:48.823 --> 00:21:54.885]  Undebatable fact, and there's a lot of evidence that your father was killed for trying to bring this oil in as well.
[00:21:55.485 --> 00:22:17.191]  That's right, and the other part of it is, because of that empty capacity in the existing pipeline, you could put in within two years, or even less if it was an important enough issue, a liquefaction plant on the North Slope and you could liquefy natural gas and have it go all the way through that pipeline along with that oil, have it separated at Valdez and be putting on tankers within two years rather than ten or fifteen.
[00:22:17.871 --> 00:22:19.712]  In the way it's being pushed forward today.
[00:22:20.172 --> 00:22:38.878]  The fact no one's asking these questions, you know, when dad was in the Congress in the early 70s, he was, um, that was a time where the oil embargo was about to take shape in 73, uh, the pipeline was on the, the drawing boards, uh, in terms of building the oil pipeline in Alaska, and they couldn't build it until they had a settlement of the indigenous issues here.
[00:22:38.918 --> 00:22:42.960]  So they made an attempt at that with the Native Land Claims Settlement Act, the biggest in the history
[00:22:44.240 --> 00:22:45.140]  Of the United States.
[00:22:45.541 --> 00:22:49.122]  And you've been one of the elected leaders of the tribes as well, so you're involved in that.
[00:22:49.682 --> 00:22:54.423]  Well, I've been a tribal administrator, which is not unelected, but I did work directly for the chief.
[00:22:54.443 --> 00:22:57.604]  Well, your brother is a mayor of a major city.
[00:22:58.004 --> 00:23:03.845]  That's right, and he's also a candidate against Senator Ted Stevens in this year's elections up here.
[00:23:03.865 --> 00:23:09.967]  Who, by the way, is the architect of trying with one fell swoop to kill the internet with ending net neutrality.
[00:23:10.720 --> 00:23:15.942]  Right, and he was on the Technology and Science Committee and referred to the Internet as tubes and pipes.
[00:23:16.002 --> 00:23:20.784]  I mean, this is a guy making the decisions that doesn't even understand the technology.
[00:23:21.104 --> 00:23:29.548]  Brother Mark actually is leading him in the polls right now and has raised about a million and a quarter for his election in the first four months of his campaign.
[00:23:29.688 --> 00:23:34.670]  You know, I don't say this jokingly, and I know it's serious to you because it's your brother.
[00:23:35.110 --> 00:23:37.751]  He better be real careful and not fly on any private planes.
[00:23:38.573 --> 00:23:58.074]  Well, you know, Mark is, you know, he is careful and hopefully things will go smoothly and he'll win this election, get into Washington and, you know, and on technology issues... Well, you know Stevens is like a mob boss, so... Oh yeah, we've got, you know, the IRS and the FBI raided his home here not too many months ago, his son is...
[00:23:58.749 --> 00:24:01.551]  I've been named in a couple of criminal investigations.
[00:24:01.652 --> 00:24:04.934]  Several legislators are now in federal prison in California and Oregon.
[00:24:04.954 --> 00:24:18.846]  In fact, a guy I ran against in 2004 and had asserted he was corrupted by oil is actually in jail for oil corruption today and serving five years for that and another year for lying to the judge for perjury.
[00:24:19.286 --> 00:24:23.930]  You know, and this thing, what's happening here that people are not seeing in the mainstream media
[00:24:24.389 --> 00:24:25.069]  Yes, we are.
[00:24:42.737 --> 00:24:43.538]  We're good to go.
[00:24:59.432 --> 00:25:10.598]  They have the image that five guys with beards and sandals have stopped drilling off the shore of Alaska, off the shore of California, that five guys in sandals stopped drilling in the Gulf.
[00:25:10.658 --> 00:25:11.918]  That is their front.
[00:25:12.419 --> 00:25:16.661]  The big banks, the big oil companies use environmentalists as their front.
[00:25:17.441 --> 00:25:24.989]  Meanwhile, the big corporations engage in cross-species, chimeras, seriously dangerous to the planet, all sorts of toxic waste dumping.
[00:25:25.369 --> 00:25:26.370]  You know, you're a progressive.
[00:25:26.390 --> 00:25:30.154]  We're talking about there's real environmentalism, and then there's fake environmentalism.
[00:25:30.494 --> 00:25:32.216]  I'll tell you the story on that, Alex.
[00:25:32.236 --> 00:25:33.036]  You'll appreciate this.
[00:25:33.116 --> 00:25:36.119]  Back after the Native Land Claims, is that a section of it?
[00:25:36.139 --> 00:25:37.661]  Because Dad got them to override
[00:25:38.317 --> 00:25:44.420]  The chairman, Mo Udall, on this bill and got it passed, and then subsequently the pipeline passed.
[00:25:44.480 --> 00:25:50.202]  In fact, it was a tie vote in the Senate, 50-50, and Agnew broke the tie to get us an oil pipeline in the first place.
[00:25:50.842 --> 00:25:57.825]  And what they did is afterwards, D2 was a section of Alaska law that said they were going to set up parks and preserves.
[00:25:58.065 --> 00:26:01.027]  So Carter comes in, he does this major survey in the 70s,
[00:26:02.082 --> 00:26:11.428]  And they decide that we have 32 of the 33 strategic minerals that the country needs absolutely for our economy and our military in mineable quantities.
[00:26:11.468 --> 00:26:13.329]  In fact, world-class quantities.
[00:26:13.349 --> 00:26:16.771]  A lot of people don't know this, but we have the largest molybdenum deposit in the world.
[00:26:16.791 --> 00:26:17.771]  It's not even being worked.
