[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[00:05:29.218 --> 00:05:35.904]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming a third world nation.
[00:05:35.904 --> 00:05:41.109]  It's time to jump on the next wave of free energy and radical natural alternative health solutions.
[00:05:41.109 --> 00:05:43.070]  Introducing Orgon products.
[00:05:43.070 --> 00:05:48.055]  Orgon is the universal life force, the basic building block of all matter on the material planet.
[00:05:48.055 --> 00:05:51.658]  Orgon electromedicine is the wave of the future dating back to the late 1800s.
[00:05:52.719 --> 00:05:59.865]  Wilhelm Reich Organ used CloudBuster technology that can now be applied in your home for dramatic energy savings of up to 25%.
[00:05:59.865 --> 00:06:04.069]  The possible uses for this device are only limited by your imagination.
[00:06:04.069 --> 00:06:09.234]  For less than the cost of a doctor's visit, you can have a device that can lead to the end of all your problems.
[00:06:09.494 --> 00:06:12.076]  Health doesn't need to be expensive or complicated.
[00:06:12.076 --> 00:06:16.120]  Simple technology equals profound results at orgonproducts.org.
[00:06:16.120 --> 00:06:19.262]  That's O-R-G-O-N-E products dot org.
[00:06:19.262 --> 00:06:22.125]  O-R-G-O-N-E products dot org.
[00:06:22.125 --> 00:06:22.565]  Or call 646-498-5309.
[00:06:22.565 --> 00:06:22.865]  That's 646-498-5309.
[00:06:22.865 --> 00:06:24.527]  Prepare yourself for a talk radio experience.
[00:06:39.668 --> 00:06:42.431]  He stands for truth.
[00:06:42.431 --> 00:06:45.654]  He stands for justice.
[00:06:45.654 --> 00:06:48.957]  He stands for what's right.
[00:06:48.957 --> 00:06:51.419]  This is the Alex Jones Show.
[00:06:51.419 --> 00:06:54.742]  Call Alex now, toll free at 877-590-5525.
[00:06:54.742 --> 00:07:03.230]  Now live from Austin, Texas, here's Alex Jones.
[00:07:12.469 --> 00:07:16.671]  It is Sunday, the 10th day of August 2008.
[00:07:16.671 --> 00:07:26.896]  I was going to take off the Sunday show today and have Jason Bermas sit in for me, but I am here live because of pressing world events.
[00:07:26.896 --> 00:07:32.839]  But Jason Bermas will be riding shotgun with me here in the next two hours today.
[00:07:33.709 --> 00:07:47.197]  We'll be hearing from former Wall Street Journal editor, former head of the Treasury Department, Dr. Paul Craig Roberts, and an exclusive message here for us about the situation in Georgia with Russia.
[00:07:47.197 --> 00:07:55.221]  Also, Bob Chapman, who worked in military intelligence against the Russians, will be joining us coming up later in the second hour today.
[00:07:55.221 --> 00:08:00.864]  We will not be talking about John Edwards and his girlfriend, and does he have a love child.
[00:08:00.864 --> 00:08:02.365]  You will not be discussing a murder
[00:08:03.440 --> 00:08:05.101]  Uh, at the Olympics.
[00:08:05.101 --> 00:08:11.143]  We will not be talking about celebrity hairdos or your favorite color in the next two hours, ladies and gentlemen.
[00:08:11.143 --> 00:08:26.589]  We're going to be talking about one of the biggest military developments, uh, in the last 50 years, taking place late Thursday evening, Russian time into, of course, Friday here in the United States.
[00:08:26.589 --> 00:08:32.851]  We are now three days into this conflict, and there are a lot of important facets to this.
[00:08:34.913 --> 00:08:42.678]  Number one, I have been listening to talk radio, I've been listening to news, I've been reading the newspapers here in the U.S.
[00:08:42.678 --> 00:08:46.901]  I have been talking to people when I go into a convenience store to get gas.
[00:08:46.901 --> 00:08:51.424]  I've asked four or five people in stores in the last day, hey, have you heard about Russia?
[00:08:51.424 --> 00:08:54.006]  Most of them haven't, and the huge conflict going on there.
[00:08:54.006 --> 00:09:00.790]  If they have, they said, yeah, those evil Russians, they have attacked an innocent country.
[00:09:01.744 --> 00:09:09.886]  And, lo and behold, some message boards and places actually believe that the Russians have attacked Georgia in the south of the United States.
[00:09:09.886 --> 00:09:20.068]  Friday, I joked on my weekday show and said, people are so dumb down here, kind of like Miss South Carolina at the beauty pageant, who didn't even know what country she was in.
[00:09:20.068 --> 00:09:25.309]  That is a large portion of our population that only invites the type of tyranny we're witnessing.
[00:09:25.309 --> 00:09:26.589]  Here is the basic facts.
[00:09:27.934 --> 00:09:41.725]  In 1991, the Soviet Union reportedly collapsed Georgia, which was one of its satellite states, where Joseph Stalin and others were from, and been historically part of the Mother Russia, broke away from the Soviet Union.
[00:09:41.725 --> 00:09:51.313]  They then viciously attacked several enclaves on the Russian proper border, engaging in ethnic cleansing of ethnic Russians.
[00:09:55.149 --> 00:10:07.764]  Since then, since 1993, Russian troops have been there with the United Nations in the two breakaway republics of Ossetia and Abkhazia.
[00:10:09.682 --> 00:10:18.249]  Late Thursday into early Friday, more than 10,000 Georgian troops backed up by U.S.
[00:10:18.249 --> 00:10:21.472]  Special Forces from the Army and the Marines.
[00:10:21.472 --> 00:10:26.416]  This is all over foreign press, Russian, British, you will never hear it here in the U.S.
[00:10:26.416 --> 00:10:26.797]  U.S.
[00:10:26.797 --> 00:10:35.144]  troops commanding launched a sneak attack on the breakaway Republic of Ossetia that has been in total peace
[00:10:36.005 --> 00:10:40.928]  since the early 1990s in a United Nations ceasefire.
[00:10:40.928 --> 00:10:53.936]  They massacred thousands of civilians, hundreds of Ossetian troops and Russian troops, a huge sneak attack blasting the capital city and taking over every other major city.
[00:10:53.936 --> 00:10:59.840]  They moved in with self-propelled rocket
[00:11:01.465 --> 00:11:11.139]  Launchers they moved in with over a hundred tanks helicopters and jets and blew the living daylights out of the entire region now I Go on air
[00:11:12.739 --> 00:11:15.681]  Friday, and it's not in any of our news.
[00:11:15.681 --> 00:11:19.604]  I'm scanning news wires all morning, see nothing about it, for hours getting ready.
[00:11:19.604 --> 00:11:23.087]  That's the second big part of the story, was the news blackout.
[00:11:23.087 --> 00:11:26.629]  Then we start reading the BBC and other reports at about 11 a.m.
[00:11:26.629 --> 00:11:29.712]  saying that Russia has attacked Georgia.
[00:11:29.712 --> 00:11:36.737]  But then in the bottom of the reports, they all admitted, after Georgia snuck attack Russian military bases.
[00:11:37.916 --> 00:11:43.481]  On the day the Olympics start, while Putin and Bush are on stage together, a massive U.S.
[00:11:43.481 --> 00:11:51.228]  controlled, when I say U.S., this isn't our government, it's not our military, this is the criminal New World Order doing this, this is unprecedented.
[00:11:51.228 --> 00:11:54.851]  This isn't some sneak attack on Iraq or some preemptive war strategy.
[00:11:54.851 --> 00:12:00.897]  This is preemptive war against Russian forces, slaughtering them in cold blood.
[00:12:01.597 --> 00:12:10.700]  Our name, if it was mud before, with all the lies and propaganda and premeditated wars and propaganda, now, all over the world, people are freaking out.
[00:12:10.700 --> 00:12:23.863]  Now, for the last two and a half days, since it's been in the press, as the third or fourth top story, literally, Celebrity Hairdoos and John Edwards are above that, and, you know, will Hillary Clinton be the VP?
[00:12:23.863 --> 00:12:25.744]  That's all your top stories that don't matter.
[00:12:28.214 --> 00:12:34.157]  While all of this is happening, the media, and I've got stacks of the news headlines that are all deceptive here in the West, in the U.S.
[00:12:34.157 --> 00:12:38.539]  predominantly, is saying, why won't the Russians stop attacking?
[00:12:38.539 --> 00:12:39.940]  Why are the Russians doing this?
[00:12:39.940 --> 00:12:41.541]  Why are they so mean?
[00:12:41.541 --> 00:12:53.247]  Meanwhile, the Georgian forces are continuing to battle and attack the Russians, and for two and a half days, there's been house-to-house fighting all over northern Georgia, bordering Russia.
[00:12:54.725 --> 00:12:57.626]  Now, Russian special forces arrived yesterday.
[00:12:57.626 --> 00:13:02.488]  More Russian Hind helicopters and Flogger helicopters and MiGs.
[00:13:02.488 --> 00:13:12.011]  They have attacked and blown out the pipeline going out to the Black Sea over to the US ally Turkey.
[00:13:12.011 --> 00:13:13.892]  And I've got the press reports here.
[00:13:13.892 --> 00:13:20.334]  They're using Muslim fighters against the Russians, as usual, just like they did in Serbia, just like they did in Afghanistan.
[00:13:20.334 --> 00:13:21.575]  They are using
[00:13:23.240 --> 00:13:32.787]  Marines, Army, and it's reported that mercenaries, quote, in black uniforms with American insignia are on the ground.
[00:13:32.787 --> 00:13:33.167]  Let's go.
[00:13:33.167 --> 00:13:34.889]  This is from Russia Today.
[00:13:34.889 --> 00:13:39.812]  This is the CNN of Russia in English, the biggest international news channel Russia has.
[00:13:39.812 --> 00:13:40.553]  Play the short clip.
[00:13:40.553 --> 00:13:40.833]  Here it is.
[00:13:40.993 --> 00:13:47.401]  South Ossetian President's envoy Dmitry Medoyev calls Georgia's military actions the ultimate villainy.
[00:13:47.401 --> 00:13:53.249]  He says the Georgian army is possibly reinforced by mercenaries as foreigners have been found among their bodies.
[00:13:58.037 --> 00:14:00.878]  The town looks like Stalingrad during World War II.
[00:14:00.878 --> 00:14:04.941]  With fallen trees, power lines, burned Georgian tanks all over the street.
[00:14:04.941 --> 00:14:08.042]  Dead bodies of Georgian soldiers are lying everywhere.
[00:14:08.042 --> 00:14:11.224]  We have information that there were mercenaries among the attackers.
[00:14:11.224 --> 00:14:15.747]  In yesterday's most recent tank attack, the advancing tanks were supposedly crewed by Ukrainians.
[00:14:16.487 --> 00:14:20.331]  Two unidentified bodies found today are said to be black.
[00:14:20.331 --> 00:14:23.994]  Possibly they are Americans, but we can't say for sure yet.
[00:14:23.994 --> 00:14:29.759]  We'll be able to publish the official conclusions after carrying out special tests.
[00:14:29.759 --> 00:14:31.140]  Now, we've got time before we go to break.
[00:14:31.140 --> 00:14:34.723]  Let's play a short clip of witnesses
[00:14:35.706 --> 00:14:37.647]  Of course I am.
[00:14:37.647 --> 00:14:38.928]  My son is in Rostov, Russia.
[00:14:38.928 --> 00:14:40.348]  I am alone here.
[00:15:02.439 --> 00:15:10.686]  My hand hurts a lot after I was shot, but I can't go to hospital because people are shooting outside.
[00:15:10.686 --> 00:15:15.689]  There were soldiers and tanks on the streets, shooting all night long.
[00:15:15.689 --> 00:15:18.932]  I've been hiding 40 people in my bunker.
[00:15:18.932 --> 00:15:20.933]  I fought against the Nazis.
[00:15:20.933 --> 00:15:24.636]  I was not afraid then, but now I'm very afraid.
[00:15:24.636 --> 00:15:26.878]  I have never seen anything like that.
[00:15:26.878 --> 00:15:28.419]  We were not prepared.
[00:15:35.333 --> 00:15:37.615]  That's not the clip.
[00:15:37.615 --> 00:15:42.860]  We're going to come back and play that after the break because there's hours of this.
[00:15:42.860 --> 00:15:44.521]  More on the foreign troops.
[00:15:44.521 --> 00:15:45.762]  There is no doubt U.S.
[00:15:45.762 --> 00:15:47.624]  troops are at least advising.
[00:15:47.624 --> 00:15:48.765]  The reports are dead.
[00:15:49.776 --> 00:15:59.445]  Bottom line, headline on PrisonPlanet.com and InfoWars.com, the United States has launched a sneak attack against Russia.
[00:15:59.445 --> 00:16:01.447]  That's all over the Russian news.
[00:16:01.447 --> 00:16:04.770]  U.S.-backed forces launched sneak attack on Russia.
[00:16:04.770 --> 00:16:08.113]  Our media thinks we're so dumb they tell you that Russia attacked Georgia.
[00:16:08.693 --> 00:16:10.416]  It's absolutely incredible.
[00:16:10.416 --> 00:16:15.644]  We'll continue to cover this and what it's going to mean to the economy and the future of the world.
[00:16:15.644 --> 00:16:18.108]  On the other side also, aircraft carriers from the U.S.
[00:16:18.108 --> 00:16:20.892]  are steaming towards Iran, preparing to launch attacks there.
[00:16:20.892 --> 00:16:21.393]  Stay with us.
[00:16:29.249 --> 00:16:30.310]  Hello, Ted Anderson.
[00:16:30.310 --> 00:16:35.256]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:16:35.256 --> 00:16:43.325]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:16:43.325 --> 00:16:48.671]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:16:48.891 --> 00:16:56.176]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:16:56.176 --> 00:17:01.779]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:17:01.779 --> 00:17:06.842]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:17:06.842 --> 00:17:14.427]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:17:14.767 --> 00:17:21.335]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[00:17:21.335 --> 00:17:22.596]  For more information, call 1-800-686-2237.
[00:17:22.596 --> 00:17:22.897]  That's 1-800-686-2237.
[00:17:22.897 --> 00:17:24.859]  Alabama state code makes it illegal to drive barefoot.
[00:17:31.747 --> 00:17:35.451]  In Downey, California, it's illegal to wash your car in the street.
[00:17:35.451 --> 00:17:39.535]  In Minnesota, you can be fined for displaying that your vehicle is for sale.
[00:17:39.535 --> 00:17:44.240]  These laws are obviously not made to protect us, but instead to help states profit.
[00:17:44.240 --> 00:17:47.043]  The use of red light cameras is another great example.
[00:17:47.043 --> 00:17:52.189]  They intrude on your privacy, are unconstitutional, and cost you valuable time and money.
[00:17:52.669 --> 00:17:59.311]  SprayYourPlate.com is a spray-on photo blocker that protects against red light cameras, toll cameras, and speed cameras.
[00:17:59.311 --> 00:18:05.352]  One application lasts a lifetime, is undetectable, and each can covers up to four license plates.
[00:18:05.352 --> 00:18:08.313]  Simply spray it on, let it dry, and you're protected.
[00:18:08.313 --> 00:18:14.814]  All orders are kept strictly confidential, and for the month of August, receive free shipping and a $5 bill enclosed with every order.
[00:18:15.134 --> 00:18:15.674]  Call 1-800-276-9601.
[00:18:15.674 --> 00:18:16.375]  That's 1-800-276-9601.
[00:18:16.375 --> 00:18:18.076]  Or go to SprayYourPlate.com.
[00:18:18.076 --> 00:18:19.857]  That's SprayYourPlate.com.
[00:18:19.857 --> 00:18:21.878]  Don't give your money to the state.
[00:18:21.878 --> 00:18:22.518]  Spray your plate!
[00:18:29.753 --> 00:18:31.755]  Heart disease is on the rise.
[00:18:31.755 --> 00:18:38.700]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:18:38.700 --> 00:18:47.106]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:18:47.106 --> 00:18:52.831]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:18:53.151 --> 00:18:53.531]  I don't know.
[00:19:11.718 --> 00:19:14.059]  Order your two-month supply today by calling 866-295-5305.
[00:19:14.059 --> 00:19:14.399]  That's 866-295-5305.
[00:19:14.399 --> 00:19:16.160]  Or order online at HBextract.com.
[00:19:16.160 --> 00:19:17.000]  Heart and Body Extract, 866-295-5305.
[00:19:17.000 --> 00:19:17.881]  Or HBextract.com.
[00:19:29.265 --> 00:19:33.786]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:19:33.786 --> 00:19:38.867]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:19:38.867 --> 00:19:40.387]  Hi folks, Alex Jones here.
[00:19:40.387 --> 00:19:44.008]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:19:44.008 --> 00:19:49.409]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:19:49.409 --> 00:19:55.170]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:19:55.510 --> 00:19:58.051]  Now, Calvin Soaps are available to you and me.
[00:19:58.051 --> 00:20:00.552]  Triple concentrated for all your cleaning needs.
[00:20:00.552 --> 00:20:02.993]  From bathing and laundry to dishes, hair and more.
[00:20:02.993 --> 00:20:04.193]  No harsh chemicals.
[00:20:04.193 --> 00:20:05.374]  No animal testing.
[00:20:05.374 --> 00:20:06.714]  I use them and love them.
[00:20:06.714 --> 00:20:08.615]  Knowing they're all natural and safe.
[00:20:08.615 --> 00:20:10.016]  And I say big time.
[00:20:10.016 --> 00:20:11.576]  Call Calvin Pure Soap at 1-800-340-7091.
[00:20:11.576 --> 00:20:11.896]  That's 1-800-340-7091.
[00:20:11.896 --> 00:20:14.737]  Or log on to 5starsoap.com now for a free catalog.
[00:20:21.500 --> 00:20:25.161]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:20:25.161 --> 00:20:26.722]  Thank you for listening to GCN.
[00:20:26.722 --> 00:20:27.562]  Visit GCNlive.com today.
[00:20:45.649 --> 00:20:48.390]  Let me recap the top story here.
[00:20:48.390 --> 00:20:49.291]  Not celebrity hairdos.
[00:21:09.682 --> 00:21:13.350]  Not an American is killed in Beijing.
[00:21:13.350 --> 00:21:17.238]  Not John Edwards has a girlfriend and might have a baby.
[00:21:17.238 --> 00:21:19.182]  That doesn't affect our lives.
[00:21:19.182 --> 00:21:20.946]  What does affect our lives...
[00:21:21.893 --> 00:21:27.058]  Is that Georgia is the second largest contingent in Iraq.
[00:21:27.058 --> 00:21:29.160]  3,000 Georgians after the British.
[00:21:29.160 --> 00:21:31.362]  That's the largest contingent.
[00:21:31.362 --> 00:21:33.183]  British, again, are second.
[00:21:33.183 --> 00:21:34.244]  Georgia is number three.
[00:21:34.244 --> 00:21:35.405]  U.S., number one.
[00:21:35.405 --> 00:21:39.749]  Contingent of, quote, coalition of the willing forces in Iraq.
[00:21:39.749 --> 00:21:42.091]  They're having to evacuate those 3,000 troops.
[00:21:42.091 --> 00:21:47.576]  The United States, for the last 10 years, has been building up the Georgians, giving them weapons, giving them training.
[00:21:48.988 --> 00:21:56.027]  When we say US, we mean the private, global, corporate, international community, as it's known, that controls our government.
[00:21:56.027 --> 00:21:57.811]  Taking our liberties, taking our freedoms as well.
[00:21:58.661 --> 00:22:02.284]  I'm not defending the Russian government or saying they're great people either.
[00:22:02.284 --> 00:22:14.292]  But in the late 90s, they funded Wahhabi-ist, Muslim-slash-Communist, what a mixture, out of Albania to go into Kosovo and attack police stations, military bases, burn down cities.
[00:22:14.292 --> 00:22:22.597]  When the Serbs fought back, the news media, the controlled corporate press, knew the American people, were in willful ignorance and totally delusional.
[00:22:22.597 --> 00:22:27.841]  So they said, Serbia has viciously, premeditatedly attacked the country of Kosovo.
[00:22:28.464 --> 00:22:31.987]  That's like saying that the USA has attacked Texas.
[00:22:31.987 --> 00:22:33.548]  No, it was part of Serbia.
[00:22:33.548 --> 00:22:43.395]  But they lied and said, knowing Americans didn't know about maps of the Balkans or parts of the world, and said, Serbia has attacked the sovereign, innocent nation of Kosovo.
[00:22:43.395 --> 00:22:45.076]  And they've murdered innocent people.
[00:22:45.076 --> 00:22:47.838]  It was all total lies as usual.
[00:22:47.838 --> 00:22:51.660]  And then the bombardment and the attacks started.
[00:22:51.660 --> 00:22:58.005]  Then a public regime was put in and they did break off Serbia and hand it over to the Muslims.
[00:23:00.214 --> 00:23:01.675]  And it is the same thing here.
[00:23:01.675 --> 00:23:08.621]  They have now had the Georgians, the mainline Georgians, who have secret police and secret arrests and everything else.
[00:23:08.621 --> 00:23:10.923]  All this talk about democracy is pure bull.
[00:23:10.923 --> 00:23:18.990]  They launched a sneak attack Thursday night into Friday morning, attacking all the major towns and the capital city of Ossetia.
[00:23:18.990 --> 00:23:24.035]  They've now tried to launch attacks into Abkhazia.
[00:23:25.050 --> 00:23:29.453]  to the West right on the Black Sea with a pipeline to Turkey.
[00:23:29.453 --> 00:23:34.657]  The Russians fight back and they know the public so dumb they run headlines like AP did.
[00:23:34.657 --> 00:23:38.060]  Georgians say Russia attacking.
[00:23:38.060 --> 00:23:49.428]  Now that sounds to a layman like Russia has attacked Georgia but then you read the bottom of the article it says after Georgians attacked and killed premeditatedly in a sneak attack Russians and 2,000 civilians Russia fights back.
[00:23:50.046 --> 00:23:56.572]  Then they're firing rockets, helicopter attacks, tank attacks against the Russians, slaughtering them.
[00:23:56.572 --> 00:23:58.574]  And the media is saying, how dare Russia fight?
[00:23:58.574 --> 00:24:00.176]  How dare Russia not stand down?
[00:24:00.176 --> 00:24:06.983]  And Bush and McCain and Obama come out and give statements about how dare Russia premeditatedly attack Georgia.
[00:24:06.983 --> 00:24:08.444]  This is how dumb they think you are.
[00:24:09.358 --> 00:24:15.102]  And I've got people in the message board, in the comment area of InfoWars.com, saying we're lying that the U.S.
[00:24:15.102 --> 00:24:19.305]  doesn't back Georgia and that Georgia didn't attack, even when Georgia admits it.
[00:24:19.305 --> 00:24:23.768]  That is the willful delusions that we're dealing with.
[00:24:23.768 --> 00:24:29.772]  Now, again, up on InfoWars.com, up on PrisonPlanet.com, we have British, we have French, we have Georgian, we have Russian.
[00:24:29.772 --> 00:24:30.552]  Go watch it all.
[00:24:30.552 --> 00:24:31.293]  Go read it all.
[00:24:31.293 --> 00:24:32.193]  Go decide for yourself.
[00:24:32.193 --> 00:24:33.034]  We put it all up there.
[00:24:33.760 --> 00:24:35.101]  Go decide for yourself what's happening.
[00:24:35.101 --> 00:24:35.961]  It's very clear.
[00:24:35.961 --> 00:24:37.021]  It's admitted what's happening.
[00:24:37.021 --> 00:24:37.761]  Here's a short clip.
[00:24:37.761 --> 00:24:42.763]  We already played you the official Russian government saying, we know they're foreign fighters.
[00:24:42.763 --> 00:24:45.584]  Reportedly, there's blacks with American uniforms there.
[00:24:45.584 --> 00:24:46.565]  That really stands out.
[00:24:46.565 --> 00:24:48.585]  You know, dead on the side of the road.
[00:24:48.585 --> 00:24:52.507]  We know there's a thousand Marines, hundreds of Army advisors at least.
[00:24:52.507 --> 00:24:53.067]  We know the U.S.
[00:24:53.067 --> 00:24:56.228]  has said some of our troops were cut off in there and trying to evacuate them.
[00:24:56.228 --> 00:25:00.910]  But the point is, our troops, in a criminal attack against the Russians, they got 20,000 nukes, people!
[00:25:03.908 --> 00:25:05.530]  They're not trying to start a war with us!
[00:25:05.530 --> 00:25:07.071]  This is insanity!
[00:25:07.071 --> 00:25:10.275]  But you can't even get the American people to realize what's happening.
[00:25:10.275 --> 00:25:18.383]  Here's a clip of a lady on national Russian TV, the equivalent of CNN in English, talking about what you just heard earlier from the Russian government.
