[00:00:04.645 --> 00:00:10.691]  He stands for truth.
[00:03:08.594 --> 00:03:22.482]  All of our trials, all of our tribulations, everything we are, and you look at who our heroes are today, basketball players, football players, things that mean nothing today, it'll mean even less tomorrow or next year.
[00:03:23.723 --> 00:03:26.844]  No longer is it the people that stand up against tyranny that are the heroes.
[00:03:26.904 --> 00:03:30.406]  No longer is it the people that save burning children from a building.
[00:03:31.187 --> 00:03:36.029]  No longer is it individuals who invent incredible new technologies.
[00:03:36.310 --> 00:03:36.930]  No longer
[00:03:38.679 --> 00:03:41.402]  They know how to take your heroes and give you false heroes.
[00:03:41.762 --> 00:03:44.384]  They know how to punch your buttons and manipulate you.
[00:03:44.744 --> 00:03:48.628]  And it's time that you literally break out of that cage.
[00:03:49.048 --> 00:03:52.431]  It's time for you to bust out and break out like the Incredible Hulk.
[00:03:52.771 --> 00:03:54.212]  It's time to get wild!
[00:03:54.313 --> 00:03:58.176]  There's nothing that can stop us if we just cut it all loose!
[00:03:58.216 --> 00:03:58.296]  No!
[00:04:05.683 --> 00:04:08.784]  I can feel the freedom!
[00:04:08.804 --> 00:04:15.868]  You can break through the New World Order right now!
[00:04:16.028 --> 00:04:22.130]  You can stop being a slave right now!
[00:04:22.170 --> 00:04:24.311]  Just a kiss away.
[00:04:39.692 --> 00:04:41.934]  All these people that hate beauty.
[00:04:42.654 --> 00:04:44.456]  All these people that hate strength.
[00:04:44.716 --> 00:04:50.440]  All these people that want to turn you into a pile of stupid, dull-eyed weakness.
[00:04:50.940 --> 00:04:53.142]  They make me sick!
[00:04:53.322 --> 00:05:00.527]  Everything in me wants life and green fields and happiness running over.
[00:05:03.389 --> 00:05:05.671]  All right, ladies and gentlemen, yeah, I'm fired up.
[00:05:07.057 --> 00:05:08.178]  Welcome, ladies and gentlemen.
[00:05:08.198 --> 00:05:13.780]  That's a clip from a couple weeks ago on my weekday syndicated transmission, and it's making the rounds on YouTube.
[00:05:14.220 --> 00:05:17.461]  Tens of thousands of people have watched it since it got posted about a day ago.
[00:05:18.282 --> 00:05:27.225]  And the reason I played it here is because a lot of people emailed me and called and said, when you go on air and you talk about all these things, is it scripted?
[00:05:28.166 --> 00:05:29.046]  Is it written down?
[00:05:30.167 --> 00:05:32.487]  And the answer is no, unless I'm reading a news article.
[00:05:32.528 --> 00:05:33.508]  That comes from the heart.
[00:05:33.548 --> 00:05:34.728]  That comes from my soul.
[00:05:35.349 --> 00:05:35.589]  That's my...
[00:05:38.303 --> 00:05:40.184]  What I really believe and what I stand for.
[00:05:41.584 --> 00:06:04.871]  And today I'm going to do that again, but instead of just doing it in an overdriving, rampaging, berserker format, I'm going to try to calmly, in the first couple segments, really break down from my research what the New World Order is based on and what we are based on, people that love liberty and freedom versus those that love raw power and domination and enslavement and death.
[00:06:05.450 --> 00:06:10.253]  So I thought that today we would walk through some of that with you as well.
[00:06:10.313 --> 00:06:11.894]  I also want to take a lot of calls.
[00:06:12.555 --> 00:06:14.416]  It is the 27th day of January 2008.
[00:06:14.516 --> 00:06:17.999]  We can talk about the presidential campaign.
[00:06:18.019 --> 00:06:22.722]  We can talk about what's happening in Iraq, what's happening with the unspooling economy.
[00:06:24.063 --> 00:06:28.646]  We can discuss, if you heard me on Coast to Coast AM Friday night for an extremely powerful broadcast we did.
[00:06:28.666 --> 00:06:31.988]  I did in-studio co-hosting with George Norrie for the three hours.
[00:06:32.800 --> 00:06:55.589]  Here in Austin, Texas, or if you were at the talk fest that we had yesterday, here in Austin, if you have a question for me on GMO foods, on mercury and the vaccines, on fractional reserve banking and the history of the Federal Reserve, or if you have a comment or if you think I'm wrong about something and you want to call me out and take issue, we've got...
[00:06:56.716 --> 00:07:01.943]  Trey Kincaid in there running the board, and we've got Paul in there doing a fabulous job answering the phones.
[00:07:02.184 --> 00:07:03.245]  He doesn't screen your calls.
[00:07:03.265 --> 00:07:04.567]  He asks where you're calling from.
[00:07:05.770 --> 00:07:14.373]  And what your first name is, and if you volunteer what your particular issue is, or if you disagree with me, then you go to the head of the line.
[00:07:14.733 --> 00:07:16.394]  Toll-free number to join us at 877-590-5525.
[00:07:16.414 --> 00:07:16.454]  877-590-5525.
[00:07:16.474 --> 00:07:20.175]  You're listening to stations in Southern California, Upstate New York, Kansas City, Wyoming, Montana, Florida.
[00:07:31.258 --> 00:07:47.403]  And places all over the planet, also listening globally, not just on the AM and FM dial, but via satellites, and of course Global Shortwave, WWCR, and the Internet, number one on Shopcast, Infowars.com, largest Internet streaming audience out there, bar none.
[00:07:47.443 --> 00:07:50.724]  We are honored to have you here with us today.
[00:07:51.633 --> 00:08:06.041]  Again, 877-590-5525 or 836-0590 if you're listening to us from the mothership where I broadcast to you from, deep in the heart of Austin, Texas, deep in the heart of the state of Texas, NewsRadio 590 KLBJ.
[00:08:07.462 --> 00:08:11.484]  And you can listen to streams available at the GCN Radio Network, GCNlive.com.
[00:08:11.504 --> 00:08:19.288]  You can go to InfoWars.com and pick up separate streams, or you can go right to the source and go to the stream at 590KLBJ.com or other MS affiliates.
[00:08:19.989 --> 00:08:20.329]  All right.
[00:08:21.198 --> 00:08:23.260]  Here's some of the news I have in front of me that we're going to break.
[00:08:23.300 --> 00:08:33.988]  I'm going to come back and really boil it down for you, my philosophy, where things stand, and a call to arms, not physically, but in the information war.
[00:08:35.049 --> 00:08:46.018]  And I'm going to really try to call those of you out that have been on the fence, those of you over the years that have actually researched my and others' claims that talk about this global technocracy, this new world order, this wicked elite,
[00:08:46.656 --> 00:08:47.036]  We're good to go.
[00:09:08.689 --> 00:09:11.450]  Then coming up, Ron Paul campaign has done the right thing.
[00:09:11.490 --> 00:09:14.691]  They filed caucus challenge with Louisiana GOP.
[00:09:15.391 --> 00:09:23.354]  Witnesses and the media are even reporting that it looked like he'd won, but magically they never released the final tally and just said he got second place.
[00:09:23.994 --> 00:09:32.817]  We'll also talk about the staged fight between Hillary Clinton and Barack Obama, how McCain is in league with the Clintons, and a lot more.
[00:09:32.877 --> 00:09:35.098]  And, of course, we'll discuss the economy.
[00:09:37.020 --> 00:09:39.983]  New York City is suing countrywide officers and underwriters.
[00:09:40.263 --> 00:09:43.626]  We'll tell you why and how this affects everybody who's an investor.
[00:09:44.066 --> 00:09:44.887]  We'll be right back.
[00:09:45.347 --> 00:09:49.631]  I'm Alex Jones, defending liberty and resisting tyranny.
[00:09:50.272 --> 00:09:54.956]  It is a big idea, a new world order.
[00:10:04.827 --> 00:10:09.010]  In the near future, Earth is dominated by a powerful world government.
[00:10:09.711 --> 00:10:11.472]  It's known as the Builder Earth.
[00:10:12.553 --> 00:10:14.794]  Was their objective being world domination?
[00:10:15.355 --> 00:10:17.776]  For thousands of years, their dark order grew.
[00:10:18.517 --> 00:10:25.922]  Now, as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[00:10:28.864 --> 00:10:33.828]  For the first time in history, the elite's plan for world government is blown wide open.
[00:10:34.308 --> 00:10:37.771]  You will learn the secret that drives the entire New World Order agenda.
[00:10:38.191 --> 00:10:40.253]  Bill Vargas makes great progress in the world.
[00:10:40.733 --> 00:10:41.894]  Most people have no idea.
[00:10:41.914 --> 00:10:42.675]  They're not after money.
[00:10:42.695 --> 00:10:43.755]  They have all the money they need.
[00:10:43.956 --> 00:10:44.676]  They're after power.
[00:10:44.956 --> 00:10:46.077]  That's what they're after.
[00:10:46.097 --> 00:10:53.883]  Order Endgame on DVD at prisonplanet.com or infowars.com or watch it online right now at prisonplanet.tv.
[00:10:53.983 --> 00:10:55.204]  Endgame.
[00:10:55.624 --> 00:10:57.226]  Blueprint for global enslavement.
[00:10:57.626 --> 00:10:58.767]  You have been warned.
[00:10:59.287 --> 00:11:00.608]  Ted Anderson from Midas, January 25, 2008.
[00:11:01.009 --> 00:11:01.629]  Gold 919.
[00:11:02.070 --> 00:11:09.016]  Ounce gold coins can be purchased for $9.45.54, $4.65.70 for half, $2.32.85 for quarter.
[00:11:09.116 --> 00:11:12.799]  That's $9.45.54, $4.65.70, and $2.32.85.
[00:11:13.219 --> 00:11:17.142]  For years, Ron Paul has taken the position to uphold constitutional rights.
[00:11:17.423 --> 00:11:21.486]  He's been branded by special interest groups as doctrinal, refusing to bend his values.
[00:11:21.867 --> 00:11:25.690]  I can only imagine the pressure applied by Congress as he stands alone for these principles.
[00:11:26.070 --> 00:11:27.831]  He has given up a medical career for this.
[00:11:28.311 --> 00:11:29.992]  Ron Paul is running for president.
[00:11:30.232 --> 00:11:36.015]  The ideas of strong currency, ending the war, defending the Constitution, and protecting civil liberties are catching on.
[00:11:36.276 --> 00:11:42.859]  As a thank you, GCNlive.com, Midas Resources, and I would like to send you a free copy of the Ron Paul Family Cookbook.
[00:11:43.159 --> 00:11:44.020]  Call 800-686-2237 for your free copy.
[00:11:44.040 --> 00:11:44.400]  Again, that's 800-686-2237.
[00:11:50.263 --> 00:11:53.265]  I hope his values are touching your heart as deep as they are mine.
[00:11:53.385 --> 00:11:55.126]  That's 800-686-2237.
[00:11:55.206 --> 00:11:57.787]  Thanks again for supporting Ron Paul.
[00:12:00.688 --> 00:12:01.209]  Hi, neighbor.
[00:12:01.769 --> 00:12:03.430]  The world famine is in its third year.
[00:12:03.850 --> 00:12:05.971]  Our harvest is too small to get through the year.
[00:12:06.571 --> 00:12:13.375]  Genetically poisoned food, dangerous food imports, and constantly recalled disease-contaminated foods are mixed in with our safe food.
[00:12:14.244 --> 00:12:17.025]  Farm food production has turned into ethanol fuel.
[00:12:17.666 --> 00:12:18.346]  What should I do?
[00:12:18.846 --> 00:12:21.567]  How long can I afford food or till there's no food?
[00:12:22.148 --> 00:12:23.588]  How long before it's all poisoned?
[00:12:24.209 --> 00:12:26.470]  Will three years worth of food supply be enough?
[00:12:26.930 --> 00:12:30.371]  Or will it only postpone my trip to the population control bread line?
[00:12:30.832 --> 00:12:32.933]  Will it be okay to wait till after the holidays?
[00:12:33.373 --> 00:12:37.335]  I'll use what I didn't spend on Christmas for a something is better than nothing supply.
[00:12:37.835 --> 00:12:38.715]  I'll get the rest later.
[00:12:39.136 --> 00:12:40.016]  How long do I dare wait?
[00:12:40.837 --> 00:12:44.040]  I know I'll regret not starting sooner and not getting enough food.
[00:12:44.661 --> 00:12:46.843]  I have to decide while I still have a choice.
[00:12:47.303 --> 00:12:48.224]  Tell me what to do.
[00:12:48.884 --> 00:12:51.447]  Now take your own advice and call 800-409-5633 or on the web efoodsdirect.com.
[00:12:51.487 --> 00:12:51.787]  Call 800-409-5633.
[00:13:00.422 --> 00:13:01.083]  It's a fact.
[00:13:01.283 --> 00:13:08.770]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:13:08.890 --> 00:13:17.738]  With never-ending late fees over the limit fees and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:13:18.018 --> 00:13:28.604]  The Federal Debt Relief System has created a successful attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecure debts which have been fraudulently created by the banks.
[00:13:28.824 --> 00:13:34.908]  We can terminate your unsecure debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:13:35.108 --> 00:13:40.051]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:13:40.111 --> 00:13:41.492]  Are you tired of searching for great talk radio?
[00:13:41.552 --> 00:13:41.972]  Well, search no more.
[00:13:41.992 --> 00:13:42.973]  We are the GCN Radio Network.
[00:14:12.712 --> 00:14:13.992]  Raging for the truth.
[00:14:14.612 --> 00:14:16.673]  Exposing corruption.
[00:14:16.693 --> 00:14:19.894]  Dismantling the false left-right paradigm.
[00:14:20.194 --> 00:14:24.635]  He's Alex Jones.
[00:14:24.735 --> 00:14:25.975]  We're back live, ladies and gentlemen.
[00:14:25.995 --> 00:14:31.717]  Your calls are coming up in the next segment and throughout this special Sunday edition.
[00:14:31.757 --> 00:14:34.837]  We do this every Sunday because so much happens throughout the weekend.
[00:14:34.977 --> 00:14:36.098]  Five days a week is not enough.
[00:14:36.158 --> 00:14:37.118]  I come in on Sundays.
[00:14:37.816 --> 00:14:38.957]  From 4 to 6 p.m.
[00:14:39.117 --> 00:14:40.417]  Central, 5 to 7 p.m.
[00:14:40.497 --> 00:14:40.837]  Eastern.
[00:14:40.857 --> 00:14:43.278]  I guess that would be 2 to 4 p.m.
[00:14:43.318 --> 00:14:43.799]  Pacific.
[00:14:43.839 --> 00:14:45.719]  And again, we're honored to have you joining us.
[00:14:47.740 --> 00:14:55.664]  I was just thinking as I was driving in to do the show today about the cost, about the real issues that we're talking about.
[00:14:55.684 --> 00:15:00.966]  I get on air and I tell you that there is a secret shadow government.
[00:15:01.046 --> 00:15:02.807]  I tell you it's run by eugenicists.
[00:15:03.479 --> 00:15:17.811]  I tell you that they are putting fluoride in the water supply to brain damage you and to reduce your IQ between 10 and 25 points, depending on which study they look at, worldwide, from Ireland to China to the United States and Canada.
[00:15:19.372 --> 00:15:24.996]  It's even in Scientific American magazine this month, in Reuters last week.
[00:15:26.417 --> 00:15:28.399]  And that's just one issue of thousands.
[00:15:29.346 --> 00:15:44.290]  I hear national talk show hosts getting on air and saying there's no mercury in vaccines when you can go online to any of the vaccine makers and look at the current vaccines and read their list of ingredients on their own drug websites where it says it has mercury, thimerosal in it.
[00:15:45.190 --> 00:15:51.532]  I watch the media, the dominant corporate media, lie and say it's the law that you have to be vaccinated when it is not the law.
[00:15:52.072 --> 00:15:53.352]  It's not the law to go to school.
[00:15:53.412 --> 00:15:54.732]  It's not the law to have a job.
[00:15:54.792 --> 00:15:56.893]  The government can't force things into your body.
[00:15:57.651 --> 00:16:05.936]  And I know that it's just those few claims I just mentioned are so massive in and of themselves, and there's thousands of similar issues.
[00:16:07.537 --> 00:16:24.387]  You know, I made a film called Endgame, Blueprint for Global Enslavement, and in it we only spend about 20 minutes of the two-plus hours on declassified instances of our own government nerve-gassing our own troops, sending them into chambers, telling them they were going to test something on them, and murdering them.
[00:16:24.667 --> 00:16:25.628]  Declassified public.
[00:16:26.355 --> 00:16:47.591]  Our, quote, government, elements of it, taking foster children and putting them in radiation chambers and murdering them with high dosages of radiation, giving the pregnant wives of GIs on bases from the 40s to the 70s uranium and plutonium pills and telling them they were vitamins just to see what type of violent miscarriages they would have.
[00:16:49.688 --> 00:16:56.992]  And a lot of people can't believe that because they wouldn't do that themselves, and you judge the world according to the type of person you are.
[00:16:57.873 --> 00:17:00.595]  Well, if that was the case, we wouldn't have Jeffrey Dahmers.
[00:17:01.215 --> 00:17:02.896]  We wouldn't have Charlie Mansons.
[00:17:03.376 --> 00:17:08.119]  We wouldn't have Joseph Stollins and Mousy Tongues and Adolf Hitler and Fidel Castro.
[00:17:09.280 --> 00:17:09.700]  But we do.
[00:17:10.481 --> 00:17:10.801]  Thank you.
[00:17:11.002 --> 00:17:11.202]  Thank you.
[00:17:27.020 --> 00:17:33.444]  With the aid of search engines, you'll be on university websites, mainstream news sites, where they are admitting everything I'm talking about.
[00:17:33.644 --> 00:17:42.230]  But they take these incredible admissions and put them in the back of the paper, or bury them in a magazine here, a news article there, a news report here, a news report there.
[00:17:44.411 --> 00:17:55.839]  I told you, four weeks after 9-11, the first days that it was announced, that criminal elements of the government were behind the anthrax attacks.
[00:17:56.602 --> 00:17:57.163]  We're good to go.
[00:17:57.203 --> 00:17:57.723]  We're good to go.
[00:18:18.027 --> 00:18:19.068]  Hurting innocent people.
[00:18:19.549 --> 00:18:21.290]  They enjoy doing bad things.
[00:18:21.330 --> 00:18:23.652]  They enjoy enslaving societies.
[00:18:24.093 --> 00:18:27.016]  They enjoy artificially, and I have the British and U.S.
[00:18:27.036 --> 00:18:32.641]  government documents on this, like the Royal Commission on Population, 44 to 49, or State Department Memorandum 200, 1973.
[00:18:32.701 --> 00:18:33.562]  Go pull them up.
[00:18:33.602 --> 00:18:35.824]  Go read them.
[00:18:36.024 --> 00:18:37.105]  They'll be on government websites.
[00:18:37.385 --> 00:18:40.989]  They'll be on White House websites, State Department websites, university sites.
[00:18:41.894 --> 00:18:58.145]  Where they say that they have artificially kept the third world in squalor and caused the population to balloon cold-bloodedly just to ensure that none of those nations ever industrialize and threaten the hegemonic power of the New World Order that controls Europe, the United States, and much of the world.
[00:18:59.826 --> 00:19:06.831]  And I know a lot of you in the corporate world, a lot of you in society, learned very young to follow the leader, you'll go up the ladder,
[00:19:08.083 --> 00:19:08.583]  Pose.
[00:19:08.743 --> 00:19:10.964]  Act like a member of the establishment.
[00:19:11.044 --> 00:19:12.705]  Always take the safe course.
[00:19:13.785 --> 00:19:15.626]  Never stick your neck out.
[00:19:16.626 --> 00:19:19.447]  Never say anything that the media has said is kooky.
[00:19:20.528 --> 00:19:21.368]  Don't be involved.
[00:19:21.388 --> 00:19:23.049]  Don't talk about politics and religion.
[00:19:23.969 --> 00:19:26.450]  Just play ball and you will get ahead.
[00:19:28.044 --> 00:19:40.547]  And I'm asking those people that have, quote, played it safe to count the cost and realize that society is hurtling towards disaster and in so many ways is undergoing ongoing disasters on a daily basis.
[00:19:41.608 --> 00:19:49.690]  And I'm asking you to not just poo-poo the things I talk about here, but to really go and look at the claims that we make here.
[00:19:50.999 --> 00:19:55.520]  Even if you don't believe me or if you think I'm a liar, why don't you want to disprove me?
[00:19:55.600 --> 00:19:58.201]  Why don't you want to go out and find out and prove I'm a liar?
[00:19:58.561 --> 00:20:00.221]  Because you're going to find out I'm not a liar.
[00:20:01.042 --> 00:20:10.064]  And you're afraid to go check into the claims I make and the things I say, because if you do, then you will feel morally obligated to do something.
[00:20:10.664 --> 00:20:13.705]  At least many of you that still are moral individuals.
[00:20:14.423 --> 00:20:14.883]  We're good to go.
[00:20:44.306 --> 00:20:45.667]  That somehow they get ahead.
[00:20:46.108 --> 00:20:51.813]  And then by giggling and being cynical and snickering and not caring, that somehow they get ahead.
[00:20:51.853 --> 00:20:56.157]  And that by laughing at serious issues, that somehow you have power over them.
[00:20:57.938 --> 00:21:06.006]  What you have is a society collapsing, a society unraveling, a society falling apart, first in slow motion and now in fast motion.
[00:21:06.767 --> 00:21:10.149]  Right before our eyes, because other people have a so-what attitude.
[00:21:10.469 --> 00:21:19.895]  So when bad things are happening to you, or when bad drugs put out by Big Pharma are hurting you, or when your child gets brain damage from mercury and the vaccines, nobody's going to care about you.
[00:21:19.915 --> 00:21:28.321]  Or when your rights are violated at a federally funded local checkpoint on a highway, nobody's going to care about you.
[00:21:30.413 --> 00:21:30.913]  We're good to go.
[00:21:30.933 --> 00:21:31.194]  I think?
[00:21:41.272 --> 00:21:49.274]  It's time for many of you who listen to this show and check out my claims and who know that I'm telling the truth, it's time for you to get aggressive.
[00:21:49.334 --> 00:21:51.515]  It's time for you to get active and involved.
[00:21:51.535 --> 00:21:54.476]  And I'm not even going to tell you how you should get active or involved.
[00:21:54.816 --> 00:22:00.898]  You're smart enough from your own position, your own training, your own perspective to know what it is you need to do.
[00:22:01.398 --> 00:22:04.419]  And those things start small but turn into big things over time.
[00:22:05.501 --> 00:22:06.182]  That's one group.
[00:22:06.202 --> 00:22:17.990]  And then there's those of you out there who have attacked me and said that I'm a liar but never give any evidence, never give any truth, never give any true reputation of what I'm saying.
[00:22:18.410 --> 00:22:21.172]  You just throw out terms like poop, nut, crazy.
[00:22:23.474 --> 00:22:35.042]  Well, you need to understand that I've looked at the facts, I've discovered the facts, and I know that we have a criminal world government expanding its power and control and that it
[00:22:35.635 --> 00:22:43.400]  Truly does plan mass culling of the population, forced drugging, poisoning of the water supply.
[00:22:43.420 --> 00:22:44.681]  It's already all ongoing.
[00:22:44.981 --> 00:22:46.042]  It's all compartmentalized.
[00:22:46.102 --> 00:22:48.584]  Even most people in the system meeting it out aren't aware of it.
[00:22:49.024 --> 00:22:50.885]  We're going to talk about this and a lot more after the break.
[00:22:50.905 --> 00:22:51.326]  Stay with us.
[00:22:51.786 --> 00:22:55.048]  Ladies and gentlemen, Abigail's Attic.
[00:23:04.938 --> 00:23:09.820]  Tactio is the most exciting advance in media entertainment to come along in 50 years.
[00:23:10.200 --> 00:23:13.801]  Imagine not only hearing your favorite music, but also feeling it.
[00:23:14.061 --> 00:23:19.563]  Far beyond listening with just your ears, Tactio allows you to actually feel the music you're listening to.
[00:23:19.903 --> 00:23:24.605]  Tactio enhances and amplifies all the sensations that we enjoy when we listen to music.
[00:23:24.885 --> 00:23:33.808]  Just plug in your media player into Tactio and experience the most unbelievable sensation of energy and vitality while you feel the music rush through your body.
[00:23:34.128 --> 00:23:35.750]  You have to feel it to believe it.
[00:23:35.950 --> 00:23:37.631]  Call 888-891-1122.
[00:23:38.452 --> 00:23:40.474]  That's 888-891-1122.
[00:23:40.494 --> 00:23:43.437]  Or visit tactio.com.
[00:23:43.597 --> 00:23:45.999]  That's T-A-C-T-I-O dot com.
[00:23:46.319 --> 00:23:50.944]  Keep listening to GCN for information on future Abigail's Attic concerts featuring Tactio.
[00:23:51.084 --> 00:23:53.746]  And learn how you can save 50% on your Tactio purchase.
[00:23:55.027 --> 00:23:57.950]  Tactio is a registered trademark of DataWeed Labs, makers of right instruments since 1987.
[00:24:00.531 --> 00:24:01.992]  Hi, this is Brother Michael Diamond.
[00:24:02.353 --> 00:24:07.857]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:24:08.338 --> 00:24:16.264]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[00:24:16.784 --> 00:24:20.407]  The package contains six DVDs that contain ten different programs.
[00:24:20.727 --> 00:24:24.329]  Two books that combined are over a thousand pages in other information.
[00:24:24.670 --> 00:24:27.792]  Order now at our website, mostholyfamilymonastery.com.
[00:24:27.992 --> 00:24:31.954]  That's mostholyfamilymonastery.com.
[00:24:32.215 --> 00:24:36.097]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y.
[00:24:36.478 --> 00:24:37.138]  Or call us at 1-800-275-1126.
[00:24:40.320 --> 00:24:40.600]  That's 1-800-275-1126.
[00:24:40.680 --> 00:24:44.982]  Or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:24:45.082 --> 00:24:48.984]  The total cost for this massive package of information is only $10.
[00:24:49.024 --> 00:24:50.804]  $15 for UPS Ground or $30 outside the U.S.
[00:24:59.748 --> 00:25:00.629]  Storable food.
[00:25:00.849 --> 00:25:01.710]  Storable food.
[00:25:01.890 --> 00:25:05.913]  HempUSA.org has an inexpensive, nutritionally dense, high-frequency food.
[00:25:06.073 --> 00:25:17.141]  Hemp, known around the world, will boost your immune system and increase energy levels, detoxifies the body, and reduces junk food cravings, burns fat and builds muscle, and is easy to digest, non-allergenic, and gluten-free.
[00:25:17.281 --> 00:25:18.342]  Can be made into smoothies.
[00:25:18.542 --> 00:25:19.222]  We're good to go.
[00:25:42.110 --> 00:25:47.157]  Remember, vacuum packaging this food will have at least a five-year shelf life stored in a cool, dark, dry place.
[00:25:47.357 --> 00:25:50.521]  Holidays are coming, and this would make a perfect gift for friends and family.
[00:25:50.581 --> 00:25:55.167]  Call today, 908-691-2608 at hempusa.org.
[00:25:55.327 --> 00:25:58.872]  And remember, let your food be your medicine, and your medicine be your food.
[00:25:59.452 --> 00:26:00.092]  It's progressing.
[00:26:00.512 --> 00:26:03.473]  It's only a matter of time until it's completely taken over our lives.
[00:26:04.013 --> 00:26:05.293]  We are entering martial law.
[00:26:05.813 --> 00:26:07.614]  Clearly, America has all the signs.
[00:26:08.094 --> 00:26:11.775]  There is no time like the present to get prepared by protecting yourself and your family.
[00:26:12.195 --> 00:26:17.496]  Find the information you need to arm yourself with an InfoBomb e-book at survivemartiallaw.com.
[00:26:18.016 --> 00:26:22.437]  This e-book will tell you everything you need to know about how to prepare and handle living in martial law.
[00:26:23.047 --> 00:26:25.548]  The worst part of martial law is the beginning stages.
[00:26:25.888 --> 00:26:31.110]  SurviveMartialLaw.com will show you how to stay calm and how to act around controlling troops.
[00:26:31.711 --> 00:26:35.952]  Get tips on where to store valuables, emergency food, and what signs to look for.
[00:26:36.513 --> 00:26:39.534]  Surviving martial law can be difficult, but it is possible.
[00:26:40.054 --> 00:26:45.096]  Arm yourself with knowledge, as this will be the only weapon you will have to protect yourself and your family.
[00:26:45.516 --> 00:26:47.357]  Go to SurviveMartialLaw.com.
[00:26:47.717 --> 00:26:49.478]  That's SurviveMartialLaw.com.
[00:26:49.978 --> 00:26:51.179]  Thank you for listening to GCN.
[00:26:51.420 --> 00:26:52.701]  Visit GCNlive.com today.
[00:27:18.915 --> 00:27:21.055]  All right, let's go ahead and go to some of your phone calls.
[00:27:21.075 --> 00:27:27.917]  Then I'm going to get into the fact that John McCain is incredibly corrupt.
[00:27:28.077 --> 00:27:29.837]  He's an anti-gun, pro-open border.
[00:27:30.717 --> 00:27:36.018]  He is as liberal, using the classical term, as Bill Clinton and Hillary Clinton.
[00:27:36.058 --> 00:27:39.019]  In fact, let's go ahead and roll that little ten-second piece.
[00:27:40.639 --> 00:27:45.620]  Bill Clinton, the former president, talking about you and Hillary Clinton.
[00:27:45.720 --> 00:27:46.180]  Let's watch.
[00:27:47.802 --> 00:27:49.583]  She and John McCain are very close.
[00:27:49.623 --> 00:27:57.229]  They always laugh that if they wound up being the nominees of their party, it would be the most civilized election in American history, and they're afraid they'd put the voters to sleep.
[00:27:58.450 --> 00:28:00.291]  Because they like and respect each other.
[00:28:01.972 --> 00:28:12.319]  And then they go on to admit what good friends they are, and then you have Bill Clinton vacationing, hanging out with Bush Jr., and of course the former First Lady, the mother of the current president.
[00:28:13.240 --> 00:28:16.162]  This is a team, and we now from documents know that
