[00:00:03.270 --> 00:00:06.612]  So many children have lead in their blood in Flint, Michigan.
[00:05:21.821 --> 00:05:24.764]  They're trying, the government here is trying to say that it is different.
[00:05:25.694 --> 00:05:30.159]  But if you put yourself in the ground, you know that they're all connected from township to township.
[00:05:30.480 --> 00:05:33.223]  And they even told us that they sell water to those cities.
[00:05:33.764 --> 00:05:35.186]  So why aren't they being checked?
[00:05:36.024 --> 00:05:48.530]  Right, and I know a lot of this is probably just trying to drive down the panic, but here now you have almost upwards of 7,000 children who are being really, they're going to be devastated with these side effects of lead poisoning for decades.
[00:05:48.870 --> 00:05:50.071]  So how does it make you feel?
[00:05:50.091 --> 00:05:57.935]  Do you agree with Michael Moore or Hillary Clinton when they are saying that this is a race issue, this is a class issue?
[00:05:57.975 --> 00:05:58.755]  Do you agree with that?
[00:05:58.795 --> 00:06:00.656]  I don't agree that it's a race issue at all.
[00:06:01.037 --> 00:06:03.878]  I agree that it's an issue against all the people.
[00:06:05.139 --> 00:06:05.659]  The government
[00:06:07.027 --> 00:06:11.069]  If they cared about, uh, individual race.
[00:06:12.149 --> 00:06:15.550]  Well, I'm a white man and I'm drinking the water.
[00:06:17.231 --> 00:06:17.611]  Yeah.
[00:06:18.491 --> 00:06:23.453]  Um, my, my skin color isn't, you know, I don't think it comes down to skin color.
[00:06:23.813 --> 00:06:32.917]  I think it comes down to why did our government, why did our city officials, our state officials,
[00:06:33.880 --> 00:06:40.523]  Let our infrastructure become so decrepit that we're considered a third world city now.
[00:06:41.143 --> 00:06:41.383]  Right.
[00:06:41.443 --> 00:06:44.205]  Well, Detroit, I mean, they actually had to file bankruptcy.
[00:06:44.225 --> 00:06:47.366]  They're not able to get some federal funding.
[00:06:47.386 --> 00:06:51.288]  And of course, like you said, this is one of the greatest cities in America.
[00:06:51.488 --> 00:06:54.909]  You know, the Americana there from Michigan.
[00:06:54.989 --> 00:06:55.530]  So talk to me.
[00:06:55.630 --> 00:06:57.210]  Have you joined any of these lawsuits?
[00:06:57.271 --> 00:07:00.192]  Are you looking to join any of the lawsuits that have been filed recently?
[00:07:00.836 --> 00:07:02.437]  Yeah, well I haven't joined any yet.
[00:07:02.818 --> 00:07:12.326]  I'm currently looking into having my own separate lawsuit because the class action lawsuit isn't really going after what the problems were.
[00:07:12.906 --> 00:07:19.292]  They're just going after what lead problems were, when really there's all kinds of issues, not just the lead.
[00:07:19.592 --> 00:07:26.498]  There's the chlorination, there's the bacterias, there's the Legionnaires' disease, there's, you know,
[00:07:27.395 --> 00:07:32.730]  It's just on and on right now, but according to them, it's, you know, a simple little fix.
[00:07:33.277 --> 00:07:44.443]  Well, and that's I think the reason why they're probably going with the lead poisoning is because that's a sure thing, done deal, whereas every single water municipality that has their water treated is getting the chlorine.
[00:07:45.283 --> 00:07:51.246]  They're using different sort of coagulants to try and clean out the water depending on where they're pulling the water from.
[00:07:51.266 --> 00:07:55.288]  And so that's what people need to understand is this is happening all across the country.
[00:07:55.608 --> 00:08:00.771]  You really never know what type of mixture you're getting with your water municipality and people need to
[00:08:01.451 --> 00:08:06.514]  Kind of understand that this is not just local to the Flint area.
[00:08:07.074 --> 00:08:08.695]  Now we just have about a minute left.
[00:08:08.835 --> 00:08:11.737]  Are you happy with the response from the governor?
[00:08:11.837 --> 00:08:14.038]  Are you happy with what they're doing now?
[00:08:14.599 --> 00:08:22.383]  I'm not happy with any response at all because they keep bureaucracy moving in the air constantly of what they should do for the problem.
[00:08:22.644 --> 00:08:24.004]  The problem is simple.
[00:08:24.625 --> 00:08:26.406]  Dig up the old pipe and replace it.
[00:08:27.126 --> 00:08:28.147]  How are they going to pay for it?
[00:08:29.005 --> 00:08:31.286]  Well, that's exactly what Americans have to accept.
[00:08:32.026 --> 00:08:32.586]  We're broke.
[00:08:32.646 --> 00:08:33.646]  We don't have any money.
[00:08:33.706 --> 00:08:38.888]  Our government has spent it in other areas and not on our own country.
[00:08:39.728 --> 00:08:44.609]  We need to reel America in and make it back the great country it once was.
[00:08:45.530 --> 00:08:46.510]  Look at Flint now.
[00:08:47.230 --> 00:08:49.051]  Is it the great city it once was?
[00:08:49.591 --> 00:08:57.593]  Is Flint part of America, the great country of development, the great country of freedom?
[00:08:59.025 --> 00:09:11.058]  The great country of, you know, supposedly do whatever you want, but I don't, you know, feel happy with anything that's going on right now within our government.
[00:09:11.158 --> 00:09:11.959]  They're just all...
[00:09:12.893 --> 00:09:16.155]  Up in arms, telling us folks what we should do.
[00:09:16.736 --> 00:09:20.378]  Right, and you know, that is one of the biggest excuses for a big government.
[00:09:20.558 --> 00:09:24.441]  That's the main thing they're supposed to take care of, is the infrastructure of this country.
[00:09:24.781 --> 00:09:30.625]  And as we can see, it's been a huge failure, not only there in Flint, but Michigan, other places as well.
[00:09:30.945 --> 00:09:35.769]  Richard, thank you so much, and we look forward to speaking with you when we touch down in Flint tomorrow.
[00:09:36.328 --> 00:09:36.869]  Yes, ma'am.
[00:09:36.910 --> 00:09:37.691]  Just give me a call.
[00:09:37.711 --> 00:09:43.225]  I'll be glad to show you the city and help you with any information or anything you need while you're here.
[00:09:43.606 --> 00:09:43.907]  Thank you.
[00:10:05.538 --> 00:10:08.521]  I'm not gonna sit here and take it anymore!
[00:10:10.743 --> 00:10:12.124]  Clean, pure drinking water.
[00:10:12.404 --> 00:10:13.685]  You can't survive without it.
[00:10:13.885 --> 00:10:14.806]  But where do you get it?
[00:10:15.086 --> 00:10:20.852]  Alexa Pure Pro is a brand new, groundbreaking gravity-fed water filtration system that is like no other.
[00:10:21.072 --> 00:10:26.797]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:10:26.977 --> 00:10:43.861]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:10:44.241 --> 00:10:46.363]  Filter capacity up to 5,000 gallons.
[00:10:46.723 --> 00:10:47.924]  Stainless steel construction.
[00:10:48.204 --> 00:10:48.985]  Easy assembly.
[00:10:49.225 --> 00:10:49.846]  Low maintenance.
[00:10:50.146 --> 00:10:51.988]  Replacement filters are simple to install.
[00:10:52.248 --> 00:10:59.354]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:10:59.534 --> 00:11:04.518]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:11:04.718 --> 00:11:07.320]  Go to InfowarsStore.com or call 888-253-3139.
