[00:00:10.724 --> 00:00:11.184]  Revenant.
[00:06:47.048 --> 00:06:51.053]  These are a bunch of Morlocks, and the American people are a bunch of Eloy.
[00:06:51.153 --> 00:06:54.056]  When they talk about serving America, you're on the menu.
[00:07:02.947 --> 00:07:08.992]  Again, ladies and gentlemen, you can get six months free at PrisonPlanet.tv, but only for one more week.
[00:07:09.172 --> 00:07:12.435]  Next Monday, the special that only comes around once the year ends.
[00:07:12.495 --> 00:07:23.504]  In fact, we've never offered six months free before, but I really want to get more people to join and be able to watch The Nightly News, to see the live reports we do, the special reports, all my films, e-books, and so much more.
[00:07:24.085 --> 00:07:26.867]  One person can share their membership with 20 people.
[00:07:27.788 --> 00:07:35.954]  And you are funding the absolute, very leading edge, the vanguard of the resistance to the globalist operation on every front.
[00:07:36.074 --> 00:07:40.737]  We have to have our own platform that is harder for them to censor, harder for the system to shut down.
[00:07:40.897 --> 00:07:42.558]  PrisonPlanet.tv.
[00:07:42.638 --> 00:07:48.182]  We put out the daily radio show free with a video and audio feeds at Infowars.com forward slash show.
[00:07:48.302 --> 00:07:56.328]  But it is the members that get the nightly news exclusively and first and the commercial free video podcasts and audio podcasts that are
[00:07:56.428 --> 00:08:12.095]  Paying it forward and financing and helping so many other people see the truth when we put the videos on Facebook, YouTube, and it's PrisonPlanet.TV that finances so much of the cameras, the equipment, the crew.
[00:08:12.495 --> 00:08:13.175]  The Reporters.
[00:08:13.515 --> 00:08:16.536]  You are becoming a PrisonPlanet.TV member.
[00:08:16.796 --> 00:08:24.918]  You get exclusive HD, higher quality, get it first, and then you can download it, share it with friends and family, share your passcode with them, your username.
[00:08:25.138 --> 00:08:29.319]  It's a win-win, and then you're helping finance to put it out for free to everybody.
[00:08:29.539 --> 00:08:30.680]  PrisonPlanet.TV.
