[00:14:10.250 --> 00:14:11.692]  You, Alex, are fearless.
[00:22:55.752 --> 00:22:58.513]  Jones goes to their houses and tells them it didn't happen.
[00:22:58.693 --> 00:23:00.913]  And for years I'm saying, no it happened, I apologize.
[00:23:01.613 --> 00:23:03.074]  I see the whole media set up in this.
[00:23:03.994 --> 00:23:06.216]  And they just go back to it, and it's tactics!
[00:23:06.256 --> 00:23:11.941]  And then they go teach school children about me, and tell them I'm doing it currently, and then exaggerate what I did.
[00:23:13.703 --> 00:23:14.684]  And then sue me for it!
[00:23:14.764 --> 00:23:16.245]  Do you see the methodology?
[00:23:16.305 --> 00:23:17.386]  Do you see the plan?
[00:23:17.426 --> 00:23:20.789]  Saying Trump's a loser, Trump's a criminal, Trump's incontinent.
[00:23:22.030 --> 00:23:24.012]  Trump's a liar, Cavuto turning on him.
[00:23:25.373 --> 00:23:27.515]  And saying, you know, you're the swamp, you stink.
[00:23:28.115 --> 00:23:30.718]  You said you signed more bills than any other president in their first year.
[00:23:32.472 --> 00:23:33.753]  You said you didn't know about your lawyer.
[00:23:33.773 --> 00:23:35.214]  Yes, he had the lawyer do it, exactly.
[00:23:35.734 --> 00:23:36.995]  Doesn't matter, it's his own personal life.
[00:23:37.195 --> 00:23:50.383]  He's delivered 95% of what he said he'd do, and he's gotten a bigger tax cut, and more done, if you look at what he's done, with executive orders and actions and bills, and now this peace deal with North Korea coming up.
[00:23:50.463 --> 00:23:56.407]  He is one of the most successful presidents in our lifetimes, in the last century.
[00:23:57.819 --> 00:24:00.443]  If he beats these globalists, he'll be up there with George Washington.
[00:24:00.804 --> 00:24:04.851]  But the war is now, and there is a coup against the president.
[00:24:05.776 --> 00:24:22.479]  There is a public coup by rogue groups set up by Rosenstein and the Clintons, and these whole cabal have been caught with their fake dossier, that they're still paying money, their own families that work there to make up this fiction, and they file lawsuits on Trump, on myself, on Roger.
[00:24:22.520 --> 00:24:27.341]  We're the big trifecta targets, folks, because they know we're not scared and we're Americana.
[00:24:27.721 --> 00:24:29.181]  And so I'm proud to stand with Trump.
[00:24:29.461 --> 00:24:31.141]  Do I get mad at him sometimes when he goes sideways?
[00:24:31.161 --> 00:24:34.202]  Damn right, because you really get mad at those you care about, your family.
[00:24:35.953 --> 00:24:36.453]  This is it.
[00:24:36.533 --> 00:24:37.734]  This is the war for America.
[00:24:37.774 --> 00:24:38.755]  This is the whole future.
[00:24:38.775 --> 00:24:39.696]  This is the whole thing.
[00:24:40.076 --> 00:24:41.357]  The power's coming back up.
[00:24:41.777 --> 00:24:43.278]  Our generators have properly kicked in.
[00:24:43.318 --> 00:24:46.741]  We have a whole building system, basically, but it didn't kick over right.
[00:24:46.961 --> 00:24:48.422]  I'm having a more expensive big one put in.
[00:24:49.414 --> 00:24:50.254]  Let's go back to Roger.
[00:24:50.634 --> 00:24:52.035]  He'll be hosting all three hours today.
[00:24:52.075 --> 00:24:54.855]  I've got to go take care of emergency operations here in about 30 minutes.
[00:24:54.875 --> 00:24:55.915]  Zach's coming up next segment.
[00:24:56.195 --> 00:24:57.876]  Our great intel source has bombshell info.
[00:24:57.896 --> 00:25:00.076]  Pentagon confirms Chinese fired lasers at U.S.
[00:25:00.096 --> 00:25:00.416]  pilots.
[00:25:00.816 --> 00:25:02.497]  But right now, I'll go back to Roger.
[00:25:02.537 --> 00:25:07.458]  Roger, I cannot express the rogue criminal coup taking place.
[00:25:07.558 --> 00:25:08.758]  They've committed all these crimes.
[00:25:08.778 --> 00:25:10.819]  The illegal wiretapping of his lawyer.
[00:25:10.859 --> 00:25:13.659]  They said they didn't tap Trump Tower.
[00:25:13.939 --> 00:25:15.140]  Got caught lying about that.
[00:25:15.440 --> 00:25:16.620]  This is insane, Roger.
[00:25:18.116 --> 00:25:18.897]  Extraordinary.
[00:25:19.037 --> 00:25:29.845]  So it's reported, I think correctly, that the FBI was wiretapping, was surveilling the phone conversations of Donald Trump's personal attorney, Michael Cohen.
[00:25:30.586 --> 00:25:33.068]  Today they said, oh no, that's not true.
[00:25:33.755 --> 00:25:36.677]  We were only monitoring his conversations.
[00:25:37.218 --> 00:25:40.120]  As far as I know, monitoring means listening in on.
[00:25:40.720 --> 00:25:42.082]  Let me explain.
[00:25:42.162 --> 00:25:45.604]  I explained this back in 2017 when the media was trying to confuse it.
[00:25:45.624 --> 00:25:46.385]  They go, Jones is lying.
[00:25:46.405 --> 00:25:47.286]  There was no wiretap.
[00:25:47.586 --> 00:25:48.827]  Well, they called it wiretaps.
[00:25:49.187 --> 00:25:52.249]  That's an old parlance in legalese and federal code.
[00:25:52.670 --> 00:25:54.871]  Monitoring is the whole NSA term.
[00:25:55.592 --> 00:25:56.112]  Exactly.
[00:25:56.193 --> 00:26:01.417]  So it's digital through their hub because they didn't add a little tap with a recorder on it at the phone company.
[00:26:01.437 --> 00:26:01.717]  Go ahead.
[00:26:02.560 --> 00:26:04.040]  No, it's outdated technology.
[00:26:04.101 --> 00:26:07.422]  The point is, of course, Cohn was under surveillance.
[00:26:08.342 --> 00:26:11.403]  The President's personal attorney was under surveillance.
[00:26:12.803 --> 00:26:27.468]  If Cohn paid Stormy Daniels, a porn star, who's changed her positions in this whole thing more times than she changes them in her videos, that would not be an illegal act.
[00:26:28.260 --> 00:26:32.122]  Even if the president reimbursed Combs, that is not an illegal act.
[00:26:32.162 --> 00:26:33.443]  He didn't use campaign funds.
[00:26:33.863 --> 00:26:35.684]  There's no illegality here.
[00:26:36.124 --> 00:26:43.648]  But juxtapose that with, say, Bill Clinton, a man who violently raped and bit numerous women.
[00:26:44.892 --> 00:26:45.772]  Where was the mainstream media?
[00:26:45.813 --> 00:26:47.153]  And that's the next huge issue.
[00:26:47.173 --> 00:26:48.494]  They've committed all these crimes.
[00:26:48.534 --> 00:26:49.274]  Illegal servers.
[00:26:49.575 --> 00:26:50.295]  Uranium One.
[00:26:50.355 --> 00:26:51.836]  Missing kids in Haiti.
[00:26:51.916 --> 00:26:53.236]  Pedophile airplanes.
[00:26:53.617 --> 00:26:54.897]  Just endless corruption.
[00:26:54.917 --> 00:26:55.778]  The death list.
[00:26:58.319 --> 00:27:00.000]  DNC staffers shot in the back.
[00:27:00.320 --> 00:27:01.601]  Just total insanity.
[00:27:02.001 --> 00:27:03.562]  Investigators investigating that.
[00:27:03.662 --> 00:27:04.923]  Shot in the back in D.C.
[00:27:05.223 --> 00:27:06.203]  Run over with cars.
[00:27:06.444 --> 00:27:06.904]  This is like
[00:27:07.364 --> 00:27:08.524]  Well, you have John Brennan,
[00:27:36.943 --> 00:27:47.632]  A psychopath, the former CIA director, a Wahhabi convert, threatening the President of the United States, saying that Mueller's got the goods.
[00:27:47.752 --> 00:27:48.993]  Brandon, you're not in government.
[00:27:49.053 --> 00:27:49.813]  How would you know?
[00:27:49.954 --> 00:27:51.135]  And he did that two weeks ago.
[00:27:51.175 --> 00:27:52.456]  He said, he said, we got the goods.
[00:27:52.476 --> 00:27:53.597]  You better watch your ass.
[00:27:53.717 --> 00:27:55.398]  A president's coming from Mueller.
[00:27:55.558 --> 00:28:00.983]  And he's the same guy that gets up there and says, you better watch your mouth to the president elect.
[00:28:01.203 --> 00:28:03.104]  That's how arrogant these rogue people are.
[00:28:03.384 --> 00:28:04.706]  They think they're the dictators.
[00:28:04.826 --> 00:28:05.466]  Well, guess what?
[00:28:05.626 --> 00:28:06.067]  You're not.
[00:28:06.667 --> 00:28:11.028]  And if you ever even try to take us all down, know this, you're gonna go down with us, and they know that.
[00:28:11.408 --> 00:28:13.648]  They all know this is an absolute to the end battle.
[00:28:14.269 --> 00:28:16.289]  But the listeners need to get it, and everybody else does.
[00:28:16.309 --> 00:28:17.109]  This isn't a game.
[00:28:17.609 --> 00:28:20.730]  That's why that candy-ass Cavuto pissed his pants and rolled over.
[00:28:20.970 --> 00:28:27.411]  And I'll say this to Sean Hannity, and I'll say this to Tucker Carlson and Dershowitz and people, they got courage.
[00:28:27.671 --> 00:28:30.732]  Find out who the men are around here, ladies and gentlemen.
[00:28:31.977 --> 00:28:34.337]  That little Weasel Shapiro and all of them, they want to throw up.
[00:28:34.357 --> 00:28:37.218]  We'll be back with Roger Stone and then I'm going to kind of let him talk again, Zach.
[00:28:37.258 --> 00:28:37.978]  I'm just really pissed.
[00:28:38.378 --> 00:28:39.999]  But I'm leaving here soon, but Zach's on lunch.
[00:28:40.379 --> 00:28:42.259]  He's got big intel ties into all this as well.
[00:28:42.279 --> 00:28:43.979]  Again, our power went out earlier.
[00:28:43.999 --> 00:28:45.000]  We're getting everything back on.
[00:28:45.020 --> 00:28:47.320]  I'm sorry to the TV affiliates, but it's all coming back on.
[00:28:47.340 --> 00:28:50.921]  We've got a whole system, a whole new system going in to stop this next time.
[00:28:53.001 --> 00:28:55.722]  Mike in Arizona, you're on the air worldwide.
[00:28:55.762 --> 00:28:56.062]  Go ahead.
[00:28:56.992 --> 00:28:58.895]  Oh, Alex, you can rant any day of the week.
[00:28:58.935 --> 00:29:08.348]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[00:29:09.449 --> 00:29:12.814]  And as a longtime InfoWars listener, I want to say thanks.
[00:29:13.334 --> 00:29:15.677]  For the awesome BrainForce AnthroPlex.
[00:29:15.897 --> 00:29:18.059]  My girlfriend would like to say thanks for the AnthroPlex, too.
[00:29:18.139 --> 00:29:18.520]  Thank you.
[00:29:19.200 --> 00:29:21.663]  I use the BioTrue Selenium, the Super Blue toothpaste.
[00:29:21.703 --> 00:29:25.447]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[00:29:26.007 --> 00:29:28.990]  And thank you so much, Alex, for the InfoWars Life products.
[00:29:29.030 --> 00:29:30.011]  They are quality.
[00:29:30.352 --> 00:29:31.593]  I can't wait to get some more.
[00:29:32.093 --> 00:29:34.816]  And thank you so much for doing that for us to keep us healthy.
[00:29:34.976 --> 00:29:35.557]  Absolutely.
[00:29:36.018 --> 00:29:48.940]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order, and be good to each other and ourselves, we can take our country back.
[00:29:53.723 --> 00:30:02.750]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:30:02.830 --> 00:30:11.057]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:30:11.237 --> 00:30:15.901]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:30:16.101 --> 00:30:22.824]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:30:22.884 --> 00:30:29.968]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:30:30.068 --> 00:30:36.931]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:30:37.091 --> 00:30:41.433]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:30:41.573 --> 00:30:44.775]  Available in original or with our immune support infusion blend,
[00:30:44.955 --> 00:30:51.104]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:30:51.264 --> 00:30:52.907]  Available at Infowarslife.com.
[00:30:58.123 --> 00:31:01.225]  Let's go ahead and go to Lloyd in Washington.
[00:31:01.265 --> 00:31:01.765]  You're on the air.
[00:31:01.785 --> 00:31:02.326]  Thanks for holding.
[00:31:02.726 --> 00:31:03.807]  Mr. Alex Jones.
[00:31:04.027 --> 00:31:04.627]  Hey, brother.
[00:31:04.928 --> 00:31:05.308]  Good, man.
[00:31:05.328 --> 00:31:06.128]  Thank you for calling.
[00:31:06.208 --> 00:31:06.769]  Hey, hey.
[00:31:06.869 --> 00:31:11.072]  I just want to say thanks for your products and everything that you're doing to try to save the country.
[00:31:11.172 --> 00:31:17.856]  I mean, I've tried your Secret 12, Super Male, Anthroplex, the Silver Bullet, Biome Defense, Micro ZX.
[00:31:17.976 --> 00:31:19.697]  I mean, it's all good stuff.
[00:31:19.777 --> 00:31:25.961]  Secret 12, if everybody would just drop their energy drinks and get some Secret 12, take a shot of that.
[00:31:27.022 --> 00:31:28.202]  That's the thing about Secret 12.
[00:31:28.263 --> 00:31:30.704]  Just a half a dropper has way more energy.
[00:31:30.764 --> 00:31:32.264]  People ask, why is it sweet?
[00:31:32.664 --> 00:31:34.365]  Real organic B12 is sweet.
[00:31:34.725 --> 00:31:35.445]  And exactly.
[00:31:35.465 --> 00:31:39.727]  When I'm super tired, I go, hey, why am I drinking coffee at 10 at night if I'm going on some show like Coast to Coast?
[00:31:40.067 --> 00:31:40.347]  Boom!
[00:31:40.488 --> 00:31:43.309]  Secret 12, 30 minutes later, massive energy.
[00:31:43.369 --> 00:31:43.909]  It's amazing.
[00:31:43.949 --> 00:31:45.249]  Yeah, that stuff will wake you up.
[00:31:45.330 --> 00:31:48.191]  And the clarity of mind that comes along with that is just amazing.
[00:31:53.476 --> 00:31:56.139]  We're going to continue to stand up for America.
[00:31:56.539 --> 00:32:01.685]  We are going to call BS on the mainstream media when they lie.
[00:32:01.705 --> 00:32:05.288]  This is the essence of InfoWars.
[00:32:05.729 --> 00:32:09.252]  This is why your trip to the InfoWars store is so vitally important.
[00:32:09.853 --> 00:32:21.141]  You see, we don't have any right-wing industrialists or multi-billionaires standing in the wings writing big checks to Alex Jones to subsidize our work here at InfoWars.
[00:32:21.761 --> 00:32:32.509]  We have to depend on the individual InfoWarrior, on men and women out there who believe in freedom, who believe in liberty, and believe in the message that we are delivering.
[00:32:32.829 --> 00:32:38.233]  You can support us by going to the InfoWars store and loading up on some of these terrific products.
[00:32:38.573 --> 00:32:41.834]  Take a look at our t-shirts, our books.
[00:32:42.374 --> 00:32:43.815]  It's a 360 win.
[00:32:44.195 --> 00:32:49.477]  When you buy the Super Blue Silver Moon Gargle, you're helping the fight for freedom.
[00:32:49.757 --> 00:32:51.118]  So please go to the site now.
[00:32:51.558 --> 00:32:53.218]  We need your support.
[00:32:57.340 --> 00:32:59.961]  You're listening to the Alex Jones Show.
[00:33:10.663 --> 00:33:11.983]  The answer to 1984 is 1776.
[00:33:12.303 --> 00:33:18.605]  You're listening to the Alex Jones Show.
[00:33:29.167 --> 00:33:30.247]  That makes the soul feel good.
[00:33:32.688 --> 00:33:38.629]  You know, when they told Robert Plant that song was about devil worship, he got really pissed, because it's the opposite of that.
[00:33:38.729 --> 00:33:39.769]  It's a song against the devil.
[00:33:41.930 --> 00:33:44.812]  I know Jimmy Page is in the occult and bought Alice O'Crowley's castle.
[00:33:45.152 --> 00:33:46.413]  He said that, intrigued him.
[00:33:47.093 --> 00:33:51.896]  You know, Robert Plant having his son die shortly after that, I think, decided black magic wasn't too cool.
[00:33:52.636 --> 00:33:55.798]  And I've heard that, let's just say, directly from very close sources.
[00:33:57.339 --> 00:33:59.800]  Because you see, there's a wind on down the road.
[00:34:00.881 --> 00:34:02.762]  Our shadows taller than our souls.
[00:34:03.982 --> 00:34:08.245]  There's a lady we all know, who shines white light and once it shows,
[00:34:09.793 --> 00:34:11.654]  We are broadcasting worldwide.
[00:34:11.834 --> 00:34:14.775]  I am Alex Jones, your host, going into the enemy attack.
[00:34:15.455 --> 00:34:16.576]  I'm actually excited about it.
[00:34:17.056 --> 00:34:17.856]  I'm enjoying it.
[00:34:18.636 --> 00:34:20.717]  But I'm horrified for the general public.
[00:34:20.737 --> 00:34:22.338]  Now we've got Zach we're going to right now.
[00:34:22.358 --> 00:34:24.779]  Roger's going to be hosting for hours today here.
[00:34:24.799 --> 00:34:25.539]  He was already set up.
[00:34:26.279 --> 00:34:28.000]  We've got our backup power on.
[00:34:28.740 --> 00:34:32.962]  But we're unable to connect to AT&T and a bunch of other telecoms we're on.
[00:34:33.322 --> 00:34:37.804]  So we'll be able to get video back up on the satellites and streams up maybe the next hour or so.
[00:34:37.884 --> 00:34:40.385]  It's not just us, it's other major hubs in Austin are down.
[00:34:40.645 --> 00:34:41.225]  We are up.
[00:34:41.906 --> 00:34:43.166]  So that was actually part of why we were down.
[00:34:43.186 --> 00:34:46.708]  A lot of our power did kick back on, but we're getting consultants in and more is going in next month.
[00:34:47.368 --> 00:34:54.574]  Roger Stone, unprecedented, historic, attempted coup d'etat against the sitting president, an overthrow of an election, unprecedented.
[00:34:54.975 --> 00:34:56.035]  What do we need to do?
[00:34:56.115 --> 00:34:57.016]  What is the next action?
[00:34:57.056 --> 00:34:59.018]  You are the top story in the country, Chang.
[00:34:59.078 --> 00:35:02.721]  Roger Stone is the main focus, and this is unbelievable.
[00:35:02.741 --> 00:35:06.264]  You know, Alex, it's terrifying.
[00:35:06.804 --> 00:35:11.048]  It really is, to realize the way these federal prosecutors
[00:35:11.989 --> 00:35:20.895]  In violation of the law and the Constitution, you just come in and turn your life completely upside down, destroy people, because they're in the way of the coup d'etat.
[00:35:22.116 --> 00:35:40.809]  My comrade-in-arms, my colleague Michael Caputo, who's appeared here on InfoWars numerous times, as well as giving sage commentary for Fox, and occasionally even on CNN, called before the Senate committee, his finances destroyed, he loses all of his clients,
[00:35:42.032 --> 00:35:46.674]  Multiple death threats, has to put in a new security system at his home.
[00:35:48.195 --> 00:35:50.136]  We got guys on the roof with rifles!
[00:35:50.956 --> 00:35:53.317]  I mean, you know what I've had to do?
[00:35:53.377 --> 00:35:54.438]  You know who we go around with.
