[00:00:02.165 --> 00:00:03.590]  We are drugged out!
[00:03:53.939 --> 00:04:03.686]  Didn't mean there wasn't still resistance and things, headwinds, and storms they had to go through, and resistance, but they were in control of the national security apparatus of the West.
[00:04:07.188 --> 00:04:09.690]  And now their final goals come into view.
[00:04:09.750 --> 00:04:17.235]  So I could cover hundreds of incredible news articles, really interesting things happening, a lot of amazing things happening, and they're all important.
[00:04:19.077 --> 00:04:20.678]  But they're all just backdrop
[00:04:21.980 --> 00:04:25.065]  And just part of the fabric of the plans.
[00:04:26.648 --> 00:04:31.236]  And see, are you really conscious, are you really alive if you aren't part of a plan?
[00:04:31.957 --> 00:04:32.939]  Part of your own destiny?
[00:04:32.959 --> 00:04:34.601]  Because the globalists have decided your destiny.
[00:04:35.042 --> 00:04:35.783]  They've got a plan.
[00:04:37.728 --> 00:04:39.289]  And I'm here trying to expose that plan.
[00:04:39.950 --> 00:04:41.931]  It's how we predicted everything you've seen happen.
[00:04:42.652 --> 00:04:43.553]  Because I didn't predict it.
[00:04:43.573 --> 00:04:44.153]  They have a plan.
[00:04:44.193 --> 00:04:45.414]  I was reading their roadmap.
[00:04:45.454 --> 00:04:47.016]  I'm like, wow, they're going to do this.
[00:04:47.056 --> 00:04:47.896]  This is really horrible.
[00:04:47.916 --> 00:04:51.359]  And then as it began to all come true, people said, wow, this guy's smart.
[00:04:51.459 --> 00:04:53.161]  No, they're in control.
[00:04:53.241 --> 00:04:54.321]  I read what they were planning.
[00:04:54.662 --> 00:04:57.504]  Well, some other folks have a bigger plan.
[00:04:57.944 --> 00:04:59.205]  To the Alex Jones Show.
[00:05:02.470 --> 00:05:09.733]  Western Europe has already banned free speech, and an iron curtain of censorship is descending down over the UK.
[00:05:10.113 --> 00:05:17.676]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[00:05:18.037 --> 00:05:21.138]  We know we're only about a year or two behind what's happening in the UK.
[00:05:21.758 --> 00:05:26.022]  CNN and many others are calling for InfoWars to be shut down, taken off the web.
[00:05:26.403 --> 00:05:30.307]  Slate Magazine has a professor and others saying, go beyond censorship.
[00:05:30.527 --> 00:05:33.250]  Brainwash young people against InfoWars.
[00:05:33.690 --> 00:05:37.954]  Psychologically inoculate them with lies so they don't actually hear what we have to say.
[00:05:38.455 --> 00:05:41.478]  We are the most hated news source in the world by globalists.
[00:05:41.898 --> 00:05:56.748]  It is so critical that you go to InfoWars.com forward slash newsletter and sign up for the free newsletter so we can be in contact with you and so the censors can't bully their way in and block us being able to engage in free open dialogue as a society.
[00:05:56.988 --> 00:05:58.269]  That is critical to this fight.
[00:05:58.510 --> 00:06:00.691]  We will prevail if you take action and I know you
[00:06:02.813 --> 00:06:03.373]  Got it.
[00:06:03.393 --> 00:06:09.636]  This transmission is coming to you.
[00:06:09.716 --> 00:06:11.817]  Waging war on corruption.
[00:06:14.098 --> 00:06:19.721]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:36.491 --> 00:06:37.812]  There's an answer to this riddle.
[00:06:39.833 --> 00:06:44.396]  I don't sit here and say, oh look, we're under attack like nobody else in the world except for Trump.
[00:06:44.916 --> 00:06:46.197]  I don't say that to, like, brag.
[00:06:47.039 --> 00:06:51.001]  How do you brag about thousands of articles a week lying about you?
[00:06:51.622 --> 00:06:54.303]  Hundreds of TV programs we know of every week lying.
[00:06:54.984 --> 00:06:58.946]  ABC, CBS, NBC, CNN, Bill Maher.
[00:06:59.687 --> 00:07:02.408]  All of them last week just lying about me.
[00:07:03.129 --> 00:07:05.831]  Four or five Comedy Central shows every week.
[00:07:08.372 --> 00:07:10.273]  They have one show four nights a week that attacks me.
[00:07:11.754 --> 00:07:12.615]  With total lies.
[00:07:12.815 --> 00:07:14.316]  Why are they doing that?
[00:07:15.509 --> 00:07:17.269]  What is it about InfoWars?
[00:07:17.650 --> 00:07:22.631]  What is it we're saying that has them so upset?
[00:07:25.871 --> 00:07:44.996]  And I'd already heard this before from people at the Pentagon, CIA, academics, people I've talked to, Louis Faircon, sitting there having dinner with him at his house, and like a code word two years ago,
[00:07:46.732 --> 00:07:55.754]  He goes, you know, Kanye, he's come and visited us, and Kim Kardashian, and you know, they, they want to do something bigger.
[00:07:55.834 --> 00:07:57.454]  They, they want to change things.
[00:07:57.494 --> 00:07:59.194]  They would like a bigger plan.
[00:07:59.934 --> 00:08:07.536]  And Farrakhan's looking at me, and I'm sitting there, you know, after I've eaten three servings of food, tired, I'm on, uh, the reality TV people?
[00:08:07.696 --> 00:08:08.516]  I'm not really into them.
[00:08:10.796 --> 00:08:14.077]  And then I saw Kanye get up there and say, it's a bigger plan.
[00:08:15.515 --> 00:08:33.483]  And that's what it's called at the highest levels of the breakaway intelligentsia in Hollywood, in banking, in culture that are liberals, they're conservatives, they're straight, they're gay, they're old, they're young, they're black, they're white, they're Asian, they're Hispanic, they're Arab, they're whatever.
[00:08:34.943 --> 00:08:47.447]  But they don't like the big mega bank, big mega corporation, Alphabet, that's the big parent company of Google, YouTube, Tim Cook, Apple, the communist Chinese selling political dissidents organs.
[00:08:47.867 --> 00:08:51.128]  They don't like this really anti-human, post-human plan.
[00:08:53.609 --> 00:08:56.370]  And so they call it the bigger plan.
[00:08:58.931 --> 00:09:04.253]  And you know, I think I'm smart sometimes, but I told the story of going to a business meeting and a brunch yesterday,
[00:09:07.976 --> 00:09:12.937]  I'm looking for the salt over here where the ketchup and the jelly and the sugar's at.
[00:09:13.017 --> 00:09:15.778]  And my business associate goes, Alex, it's right there.
[00:09:15.798 --> 00:09:16.978]  It's right there.
[00:09:18.858 --> 00:09:20.718]  And I already knew all this.
[00:09:20.738 --> 00:09:22.159]  I already knew Trump was resisting.
[00:09:22.179 --> 00:09:24.559]  I already knew there were groups that wanted a pro-human future.
[00:09:25.439 --> 00:09:28.100]  To a point that I could predict what would be in his State of the Union.
[00:09:28.660 --> 00:09:30.100]  I could predict what his speeches would be.
[00:09:30.260 --> 00:09:30.560]  All of it.
[00:09:30.600 --> 00:09:33.461]  Because he's not getting his information from me.
[00:09:34.281 --> 00:09:35.401]  He's getting it from
[00:09:36.587 --> 00:09:58.888]  The deep study and the analysis and the pro-human patriots in the government, that when we got down to the final line of handing America over to the Chinese Communists, letting them run all the major corporations, Hollywood, giving them all the code keys to Alexa, Siri, that they said, man, this is really real.
[00:09:59.769 --> 00:10:01.591]  Then there was a decompartmentalization.
[00:10:03.106 --> 00:10:23.115]  And my broadcast, and Matt Drudge amplifying InfoWars, and other key areas help trigger a debate and a discussion within Silicon Valley, within the Pentagon, within NASA, within the big tech giants.
[00:10:27.377 --> 00:10:28.097]  That is incredible.
[00:10:28.117 --> 00:10:31.639]  And of course, I wasn't the only one talking about this.
[00:10:31.799 --> 00:10:32.459]  It's just that
[00:10:34.497 --> 00:10:44.662]  I was able to get a big enough medium to break through, and then they thought, oh, this crazy sound in Texan and, you know, the stuff he does, we can twist this and discredit this whole movement.
[00:10:44.923 --> 00:10:54.988]  So the government and the corrupt elements amplified me the last few years, thinking that that would discredit the pro-human big plan movement, and instead it supercharged it.
[00:11:02.287 --> 00:11:03.247]  It really is incredible.
[00:11:03.787 --> 00:11:20.491]  When I come back from break, I'm going to give you some of the best news that I've ever seen when it comes to Humanity's Awakening that I was already thinking about naming the show on the video streams today on Facebook, Twitter, YouTube and places.
[00:11:21.051 --> 00:11:26.672]  I was already thinking of naming it this when I came in just from discussions of Paul Watson,
[00:11:27.742 --> 00:11:33.006]  Discusses with my wife, discusses with my children, and what I've done the last two weeks, and what I've been saying on air.
[00:11:33.546 --> 00:11:41.612]  And then suddenly I went and filtered through a couple hundred articles they printed up, just off top news sites, and there was a theme there.
[00:11:43.814 --> 00:11:52.801]  There was a theme that I was already going to go on air with, which again shows the 100th monkey syndrome.
[00:11:54.144 --> 00:12:10.932]  Or phenomenon, where there have been real tests where you'd have a group of monkeys on one island that are research primates being taught to do complex tasks, and then an island seven miles away where there were no monkeys communicating or traveling back and forth.
[00:12:11.392 --> 00:12:21.237]  As soon as these monkeys learned how to do this task, suddenly the monkeys seven miles away knew how to do it.
[00:12:25.091 --> 00:12:26.980]  And that's what the NSA tries to target us.
[00:12:27.000 --> 00:12:29.492]  That's what the deep state, the bad elements of it.
[00:12:30.632 --> 00:12:43.824]  They try to target trends and awakenings and steer them and control them and manipulate them so that they can be in control of human de-evolution towards human exterminism and the rise of this new silicon life form, they believe.
[00:12:43.844 --> 00:12:55.355]  Because the dark force programming their agenda that gives them some advanced knowledge, but it's all twisted, tells them you've got to kill everybody and quote, save the earth first before we give you ascendance, but really they're the ones killing the earth.
[00:12:57.932 --> 00:13:04.837]  And remember, all these young people like Elon Musk and others warned you, beware those that worship AI gods and say the end of humanity's here.
[00:13:05.117 --> 00:13:10.941]  And then sure enough, Silicon Valley launches its priest to counter Musk and myself and says, oh, it's good.
[00:13:11.562 --> 00:13:12.662]  You could be in the elect.
[00:13:13.163 --> 00:13:14.264]  You could be a sentient.
[00:13:14.864 --> 00:13:17.206]  But you'll have to physically die before your brain's uploaded.
[00:13:17.226 --> 00:13:25.592]  Well, I'm sorry, I was already given that idea by the OSS operative and the inventor of the telecommunications satellite.
[00:13:27.148 --> 00:13:30.814]  Sir Arthur C. Clarke, a Luciferian.
[00:13:30.834 --> 00:13:34.519]  I already know about childhood's end, my friend.
[00:13:35.981 --> 00:13:37.644]  No escaping you!
[00:13:40.316 --> 00:13:40.696]  Will be.
[00:13:41.837 --> 00:13:42.437]  Childhood's end.
[00:13:43.157 --> 00:13:45.278]  Warren Buffett, oh it's liberal, it'll save money.
[00:13:45.338 --> 00:13:47.239]  Don't worry doctors, you won't have to kill somebody.
[00:13:47.660 --> 00:13:49.540]  The AI will decide who lives and dies.
[00:13:49.781 --> 00:13:50.901]  And it's name is Thomas!
[00:13:51.702 --> 00:13:53.522]  After Thomas Watson of the death camps.
[00:13:54.083 --> 00:13:55.343]  Who ran the Nazi computers.
[00:13:55.944 --> 00:13:56.564]  Total fact.
[00:13:57.204 --> 00:13:58.705]  But they think you're stupid.
[00:14:01.954 --> 00:14:07.498]  But the thing about all these old globalists is they're all very robotic, they're all very psychotic, they're all very soulless.
[00:14:07.858 --> 00:14:10.840]  So they have to mimic an ape acting like a human, but they can't.
[00:14:11.901 --> 00:14:12.261]  They're not.
[00:14:13.822 --> 00:14:18.806]  But we must transcend them in the great test, or fall.
[00:14:19.554 --> 00:14:28.710]  Now, we come back to the most positive news ever, and then all the other news, and then Dr. Corsi has got intel on the Deep State planning to target Sean Hannity, and Hannity is concerned about that.
[00:14:28.730 --> 00:14:29.772]  They're already targeting Sean Hannity.
[00:14:29.792 --> 00:14:30.734]  They already raided his lawyer.
[00:14:30.794 --> 00:14:31.054]  God.
[00:14:31.475 --> 00:14:32.116]  So that's coming up.
[00:14:33.120 --> 00:14:39.044]  Zach's going to pop in and get into some stuff that he says is a window into all the other stuff that's going on.
[00:14:39.504 --> 00:14:45.148]  Please remember that if you're listening to us on local radio or local TV watching, please tell folks to tune in.
[00:14:45.188 --> 00:14:47.650]  It's that word of mouth that trumps everything they do.
[00:14:47.710 --> 00:14:48.890]  It's the real power you have.
[00:14:48.910 --> 00:14:50.331]  It's the real power we have together.
[00:14:50.812 --> 00:14:56.635]  If you're watching or listening on the internet, send people to InfoWars.com or NewsWars.com to, hey, here's the forbidden stuff.
[00:14:56.916 --> 00:14:58.837]  Here's the guy they say is the most evil man on earth.
[00:14:59.137 --> 00:14:59.878]  Hear what he's saying.
[00:15:00.398 --> 00:15:01.759]  Why are they attacking him everywhere?
[00:15:02.841 --> 00:15:04.261]  Just hear what they don't want you to hear.
[00:15:05.322 --> 00:15:06.402]  Infowars.com.
[00:15:06.462 --> 00:15:07.282]  Newswars.com.
[00:15:08.642 --> 00:15:14.183]  And yes, we have free shipping still going for a few more days at InfowarsStore.com on all of our best-selling nutraceuticals.
[00:15:14.623 --> 00:15:15.684]  X2 is amazing.
[00:15:16.064 --> 00:15:19.224]  Get it 50% off when you combo it with BioTrue Selenium.
[00:15:19.484 --> 00:15:20.185]  The two go together.
[00:15:20.225 --> 00:15:21.445]  Electrochemically, you need them together.
[00:15:21.705 --> 00:15:23.465]  So together, they're 50% off and free shipping.
[00:15:23.765 --> 00:15:26.026]  RainForce Plus, our best-selling nootropic, is 50% off.
[00:15:27.546 --> 00:15:31.249]  That's getting a little bit low on the supplies, though, so that special's gonna end in a couple days.
[00:15:31.509 --> 00:15:36.653]  The real Red Pill Plus with the Pregnenone, the minerals, all the rest of it, now that energy, that's there, free shipping.
[00:15:37.033 --> 00:15:39.035]  Silver Bullet, Alpha Powers, all of it's amazing.
[00:15:39.395 --> 00:15:43.859]  InfoWarsStore.com, InfoWarsLive.com, or AAA-253-3139.
[00:15:44.399 --> 00:15:46.601]  But whatever you do, just keep thinking about freedom.
[00:15:46.981 --> 00:15:48.822]  Keep praying to God for an awakening.
[00:15:49.183 --> 00:15:52.405]  Just keep taking action and bucking the bullies, and don't be afraid.
[00:15:53.966 --> 00:15:58.614]  The internet of the spirit will transmit the information over and through the enemy.
[00:15:58.654 --> 00:15:59.916]  They can't stop the transmission.
[00:16:05.089 --> 00:16:10.610]  Years ago, InfoWarsLife created the powerful MycoZX formula to help you combat internal yeast.
[00:16:10.810 --> 00:16:18.452]  As the years went on, and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[00:16:18.692 --> 00:16:21.872]  MycoZX Plus is the result of the search for that formula.
[00:16:22.032 --> 00:16:29.774]  A unique, natural formula designed to support the body's natural cleansing of yeast and fungal organisms, there's no better product to help your body fight back.
[00:16:30.074 --> 00:16:39.119]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[00:16:39.239 --> 00:16:50.846]  Powered by an impressive list of ingredients, including grapefruit seed extract, pau d'arco bark, and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful micro-balancing properties.
[00:16:51.106 --> 00:16:55.789]  Pick up a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com.
[00:16:55.909 --> 00:16:57.570]  That's InfoWarsLife.com.
[00:17:01.203 --> 00:17:04.526]  Guaranteeing your food independence is a crucial part of prepping.
[00:17:04.886 --> 00:17:12.352]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[00:17:12.913 --> 00:17:19.118]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[00:17:19.598 --> 00:17:28.786]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[00:17:29.506 --> 00:17:36.271]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[00:17:36.672 --> 00:17:41.215]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[00:17:41.736 --> 00:17:43.237]  They even work great for camping!
[00:17:43.697 --> 00:17:50.002]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[00:17:50.462 --> 00:17:52.464]  Don't be caught surprised by an emergency.
[00:17:52.964 --> 00:17:55.665]  Make sure you're stocked up today with all the food you need.
[00:17:55.745 --> 00:17:59.426]  For an affordable price with InfoWars Life Select storable foods.
[00:18:00.866 --> 00:18:04.347]  Living in volcano may sound more dramatic than it really is.
[00:18:04.847 --> 00:18:07.608]  The real drama can be found here in Leilani Estates.
[00:18:08.128 --> 00:18:13.949]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:18:14.389 --> 00:18:17.170]  Volcanic ash may contain heavy metal particles.
[00:18:17.910 --> 00:18:21.352]  An acid rain could lower the pH of the water to unhealthy levels.
[00:18:21.732 --> 00:18:27.794]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:18:28.215 --> 00:18:33.157]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:18:33.905 --> 00:18:37.308]  Next, we tested the water from our Alexa Pure gravity filter.
[00:18:37.848 --> 00:18:44.393]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:18:45.054 --> 00:18:49.737]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:18:50.277 --> 00:18:55.361]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:18:55.962 --> 00:18:59.925]  But more importantly, a good water filtration system will purify it.
[00:19:03.092 --> 00:19:12.015]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:19:12.516 --> 00:19:23.540]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:19:23.940 --> 00:19:29.804]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:19:29.864 --> 00:19:41.150]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:19:41.371 --> 00:19:49.295]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:19:49.556 --> 00:19:51.737]  It's time to take care of your morning routine.
[00:19:52.037 --> 00:19:58.461]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:20:04.765 --> 00:20:07.387]  You're listening to the Alex Jones Show.
[00:20:37.546 --> 00:20:42.630]  From the front lines of the Information War, it's Alex Jones.
[00:20:44.011 --> 00:20:47.013]  What we are looking at is good and evil.
[00:20:55.461 --> 00:20:58.042]  So I've got some very good news for you, my friends.
[00:20:58.462 --> 00:21:14.587]  All over local news stations across the country, all over local papers, I'm noticing, meaning it's not centralized corporate talking points, I'm seeing news articles about Alexa spying on you for Amazon.
[00:21:16.208 --> 00:21:21.590]  I'm seeing articles about families taking the cell phones and smartphones away from their children.
[00:21:22.569 --> 00:21:27.032]  I'm seeing articles about people taking the phones away and getting their lives back.
[00:21:28.553 --> 00:21:31.634]  Paul Watson has been on vacation for 10 days in Spain.
[00:21:31.674 --> 00:21:38.398]  He comes back tomorrow and he was saying to me today that he had his phone turned off for days and he's so happy.
[00:21:39.939 --> 00:21:47.544]  I decided two weeks ago with my daughters, who when they go to a friend's house or a school field trip or whatever, I let them have their, quote, smartphone.
[00:21:48.476 --> 00:22:02.643]  But they got so obsessed with it, with the dopamine programming, the inventors of it, the people that run those systems, they admit it's meant like a slot machine to program your child, to make them depressed when they don't have it.
[00:22:03.244 --> 00:22:04.404]  Took them away for a couple of weeks, 100%.
[00:22:06.605 --> 00:22:15.450]  It's like kids from the 1950s, outside, having fun, totally nice, playing together, doing art, having a great time, playing with the dog, playing with the cat, playing with the baby.
[00:22:16.437 --> 00:22:17.378]  It's great!
[00:22:18.058 --> 00:22:20.160]  It's like they went from being okay to amazing.
[00:22:21.020 --> 00:22:21.581]  Just like that.
[00:22:23.182 --> 00:22:30.367]  And they admit, in major studies, cell phones cause lower IQs, brain damage, depression, and then if you get on the social media, it's even worse.
[00:22:30.447 --> 00:22:38.973]  So, without even looking today, I was planning to come on air and talk about this, but then I saw on Yahoo News, French news agency,
[00:22:40.290 --> 00:22:42.111]  Daily Mail and others, these articles.
[00:22:42.191 --> 00:22:46.792]  A whole bunch of them, just in my stack from what they just printed off major news.
[00:22:47.412 --> 00:22:50.413]  It's already a big phenomenon that people are leaving their smartphones behind.
[00:22:50.913 --> 00:22:51.834]  They're turning them off.
[00:22:51.914 --> 00:22:53.834]  They're spending more time with family.
[00:22:54.274 --> 00:22:56.835]  Smartphone orders are down and flat.
[00:22:59.636 --> 00:23:01.477]  It's absolutely made me happier.
[00:23:01.577 --> 00:23:08.119]  Simon Cowell reveals he hasn't touched his mobile phone in 10 months because it was making him distracted and irritated.
[00:23:09.229 --> 00:23:18.336]  Well, it actually heats up the brain cells in major studies and breaks the DNA, and just old-fashioned cell phone radiation doubles the chances of brain tumors in major studies.
[00:23:18.356 --> 00:23:18.716]  Look it up.
[00:23:19.457 --> 00:23:23.260]  5G and other microwave radiation increases it even worse.
[00:23:25.221 --> 00:23:28.084]  So, how getting rid of a smartphone revolutionized my life?
[00:23:29.705 --> 00:23:35.990]  People have been talking about getting rid of these little computers that dominate and control our lives for years, but now it's the Financial Times.
[00:23:36.090 --> 00:23:37.431]  It's everywhere!
[00:23:39.625 --> 00:23:42.267]  And it's a phenomenon.
[00:23:43.348 --> 00:23:47.152]  And they know this in history, they know this in culture, that there's a tipping point.
[00:23:47.212 --> 00:23:50.475]  And once people get to that point, you can't stop it.
[00:23:50.935 --> 00:23:56.640]  No army can stop an idea whose time has come, said the French philosopher and statesman Victor Hugo.
[00:23:56.680 --> 00:23:57.661]  And I totally agree with it.
[00:23:58.662 --> 00:23:59.703]  Just like Mark Twain said.
[00:24:00.785 --> 00:24:03.807]  In the beginning, a patriot's a scarce man, hated, feared, and scorned.
[00:24:04.128 --> 00:24:09.151]  But in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[00:24:09.792 --> 00:24:13.514]  Try to change things for my family and your family, because I'm a survivalist.
[00:24:14.095 --> 00:24:14.876]  I'm a futurist.
[00:24:15.056 --> 00:24:17.257]  I'm a believer in humans.
[00:24:17.437 --> 00:24:19.139]  I believe in expansionism.
[00:24:21.861 --> 00:24:28.305]  The global sociopaths and followers and psychopaths and cowards and mercenaries look at me and they think, you're a fool.
[00:24:29.967 --> 00:24:30.167]  Really?
[00:24:31.468 --> 00:24:36.269]  I'm a fool because I want a future for humanity, not just what I can get for myself right now.
[00:24:36.929 --> 00:24:37.749]  You're mentally ill.
[00:24:39.670 --> 00:24:45.131]  The first offers to buy me off, almost 20 years ago, were a million a year.
[00:24:46.972 --> 00:24:47.692]  Three million a year.
[00:24:47.712 --> 00:24:48.732]  People say, oh, tell us who did it.
[00:24:48.752 --> 00:24:50.392]  Well, it's business opportunities.
[00:24:50.412 --> 00:24:51.033]  It's corporations.
[00:24:51.053 --> 00:24:52.853]  We're going to control what you say, what you do.
[00:24:52.873 --> 00:24:53.873]  We're going to give you book deals.
[00:24:54.253 --> 00:24:55.474]  I was to be the Glenn Beck.
[00:24:56.754 --> 00:25:00.775]  And finally, they went, okay, we'll give you a $10 million contract.
[00:25:02.745 --> 00:25:05.186]  And we'll give you a book deal and a Fox News show on the weekend.
[00:25:07.828 --> 00:25:13.091]  But, and I remember when I said no, the executive said, I don't make that in five years.
[00:25:14.371 --> 00:25:15.292]  You gotta take this.
[00:25:17.993 --> 00:25:26.958]  And when I didn't take it, a couple years later, Fox was in the New York Daily News saying, Jones wants to be on Fox, but Jones doesn't get to be on Fox.
[00:25:27.058 --> 00:25:28.359]  See their sick culture?
[00:25:29.420 --> 00:25:31.441]  When they know full well I pissed on them.
[00:25:37.699 --> 00:25:44.825]  So, to all of you, with all the censorship and attacks we're under, point your finger and say, oh look, if you promote Infowars, they block you on Twitter and Facebook.
[00:25:45.286 --> 00:25:46.067]  That's the point!
[00:25:46.227 --> 00:25:47.908]  We are the trailblazers.
[00:25:48.349 --> 00:25:49.029]  We're the tip of the spear.
[00:25:49.069 --> 00:25:51.531]  I'm not trying to win popularity contests here.
[00:25:51.792 --> 00:25:52.873]  I'm trying to change the world.
[00:25:54.574 --> 00:25:59.238]  And to get those tipping points, you've got to be unpopular at first, like the first abolitionist.
[00:26:01.661 --> 00:26:03.923]  Thomas Jefferson wanted to free the slaves, but he couldn't get the votes.
[00:26:04.844 --> 00:26:08.846]  And then by 1800, 2% of the North was abolitionists.
[00:26:08.887 --> 00:26:16.691]  But by 1867, slavery was outlawed 65 years later.
[00:26:17.232 --> 00:26:21.674]  So see, to all the followers, I'm going to explain to you how to be a leader.
[00:26:21.694 --> 00:26:23.796]  Because you haven't figured it out yet.
[00:26:24.636 --> 00:26:32.001]  But I was offered $10 million to be Glenn Beck right before 9-11 even happened.
