[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[00:05:40.834 --> 00:05:48.337]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:05:48.777 --> 00:05:52.159]  Get the sleep you deserve and experience the power of knockout.
[00:05:52.459 --> 00:05:56.521]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:05:56.841 --> 00:05:58.402]  That's InfoWarsLife.com
[00:06:01.363 --> 00:06:01.943]  We've got it.
[00:06:01.983 --> 00:06:08.427]  This transmission is coming to you.
[00:06:08.487 --> 00:06:12.629]  Waging war on corruption.
[00:06:12.889 --> 00:06:18.512]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:22.265 --> 00:06:25.767]  That is a video still, a digital still, if you're watching us on television.
[00:06:25.787 --> 00:06:29.269]  For radio listeners, you can go to InfoWars.com forward slash show.
[00:06:29.289 --> 00:06:37.654]  And the video is also being posted as we speak to InfoWars.com, our HD footage, that I think is better than the other footage I've seen.
[00:06:37.674 --> 00:06:45.699]  A lot of it exclusive of Marine One, all three of them, because they use two of them as decoys with anti-missile systems on board.
[00:06:46.659 --> 00:06:53.023]  Landing up at the plateau beneath the mountain in Davos, Switzerland.
[00:06:53.524 --> 00:06:58.407]  And then of course the president getting out and then traveling into Davos.
[00:06:58.447 --> 00:07:05.892]  That happened obviously earlier today because they are what's eight hours ahead of us there in Switzerland.
[00:07:05.912 --> 00:07:09.535]  I guess eight hours ahead of Texas time, seven hours ahead of
[00:07:12.168 --> 00:07:13.869]  New York Time, Eastern Time.
[00:07:14.369 --> 00:07:29.658]  There's an amazing new graph, a new spreadsheet, that goes into more detail about the Deep State Secret Society Insurance Policy Group that the folks at the Epoch Times have put together.
[00:07:30.438 --> 00:07:35.401]  They're the mainly Buddhist-run world newspaper.
[00:07:36.221 --> 00:07:36.401]  I don't
[00:08:00.498 --> 00:08:08.983]  And this basically breaks down how the insurance policy set everybody up in stunning details.
[00:08:09.083 --> 00:08:13.966]  I'm going to be tweeting this out at Real Alex Jones very, very soon.
[00:08:14.726 --> 00:08:18.168]  And coming up at the bottom of the hour, I'm going to go through it piece by piece.
[00:08:19.108 --> 00:08:21.670]  But how the whole operation through Hillary Clinton,
[00:08:23.038 --> 00:08:33.412]  Ran through Fusion GPS, through the Justice Department, through the FBI, through political operatives, who they then pointed their fingers at.
[00:08:34.358 --> 00:08:39.800]  And then into who they tried to set up and who they tried to destroy with Obama coming in.
[00:08:39.860 --> 00:08:40.901]  This is very well done.
[00:08:41.461 --> 00:08:54.467]  Double teaming, giving governmental power in between the political operatives of Hillary, Hollywood, Republican allies, the Democratic Party, between Obama and the intelligence agencies in a pincer attack.
[00:08:56.192 --> 00:09:16.017]  With John Brennan of the CIA and others, along with Robert Mueller, Comey and others, Loretta Lynch, all working in tandem, as well as Jay Johnson, to engage in one of the biggest criminal conspiracies the world has ever seen, that has now been blown absolutely, completely, and totally wide open.
[00:09:18.123 --> 00:09:27.687]  Now, there is a FISA memo that chronicles the last two and a half years activity that was posted to the Director of National Intelligence website and got almost no attention.
[00:09:29.448 --> 00:09:32.389]  William Benny, former Technical Head of the NSA, was contacted and said,
[00:09:33.399 --> 00:09:44.709]  This is the main body, the nine page memo, that Nunes has the secret parts of and that is going to be in a larger summary and report he's going to put out.
[00:09:44.989 --> 00:09:55.698]  But there's four pages he's alluding to that is the blacked out areas of the document that is still classified.
[00:09:55.738 --> 00:10:01.603]  The whole document was classified and that it shows the perjury of Justice Department
[00:10:02.554 --> 00:10:08.157]  Former and current FBI and others on what they've testified to versus what's in the document.
[00:10:08.517 --> 00:10:10.758]  That then connects into the secret society.
[00:10:11.078 --> 00:10:12.719]  It connects into the insurance policy.
[00:10:12.999 --> 00:10:14.760]  It connects into the off-site secret meetings.
[00:10:15.080 --> 00:10:17.321]  It connects into the erased text messages.
[00:10:17.702 --> 00:10:22.124]  And they have text messages where they said, we're now going to all erase our text messages.
[00:10:24.225 --> 00:10:25.906]  But that got picked up in the dragnets.
[00:10:26.506 --> 00:10:27.867]  So they've been caught.
[00:10:28.723 --> 00:10:39.906]  And right now, because we have people that have courage like Devin Nunes, and Trey Gowdy, and Jim Jordan, and others.
[00:10:40.866 --> 00:10:45.047]  Because of this, the whole house of cards is coming down.
[00:10:45.387 --> 00:10:47.308]  So first, the media said there is no memo.
[00:10:49.505 --> 00:10:56.067]  And they came out and said, here's the headline, did Devin Nunes invent his own smoking gun?
[00:10:56.648 --> 00:11:04.910]  We already have the smoking guns with the head, deputy head of the FBI, later the head of the FBI, meeting in secret to organize the insurance policy.
[00:11:04.930 --> 00:11:08.252]  We already have them saying we can't let Trump get in.
[00:11:08.352 --> 00:11:10.032]  When he was president-elect, we've got to stop him.
[00:11:10.292 --> 00:11:17.675]  We have the whole chain of events, from when he was a candidate, to the nominee, to the president-elect.
[00:11:18.854 --> 00:11:21.278]  And they just didn't know what to do with themselves.
[00:11:22.340 --> 00:11:23.843]  And so now they lied to Congress.
[00:11:23.883 --> 00:11:24.564]  Comey lied.
[00:11:24.644 --> 00:11:25.365]  Mueller lied.
[00:11:26.026 --> 00:11:26.828]  McCabe lied.
[00:11:27.148 --> 00:11:30.033]  They all lied over and over again.
[00:11:32.051 --> 00:11:52.777]  Insurance policy, the hole they dug for American voters to kill our will and the restoration of our republic, at least getting control of our country back in the hands of the states and the Congress and the President and the courts, that's all this is, is a second American revolution against a new modern form of globalist colonialism, taking our country back.
[00:11:54.657 --> 00:11:57.658]  And they don't know what to do.
[00:11:59.386 --> 00:12:05.748]  And that's why we're at the critical juncture right now, because the walls are closing in, as Sean Hannity said last night.
[00:12:06.328 --> 00:12:09.469]  As I've been saying for the last few weeks, they're cornered rats.
[00:12:10.750 --> 00:12:13.611]  And the best way to say it is, the walls are closing in.
[00:12:13.651 --> 00:12:14.791]  I describe it as water.
[00:12:15.352 --> 00:12:21.774]  Like in a movie, you know, you're trapped in a submerged boat or something, and the water's coming in.
[00:12:21.834 --> 00:12:24.255]  It's an upside-down, capsized boat.
[00:12:25.215 --> 00:12:28.056]  Or it's one of those old movies where you're in the Egyptian temple,
[00:12:29.028 --> 00:12:33.010]  And all of a sudden, the sand starts pouring in, and a big stone blocks the door.
[00:12:36.032 --> 00:12:40.334]  That is exactly the analogies I've used, and Hannity's boiled it down excellently.
[00:12:40.675 --> 00:12:42.155]  The walls are closing in.
[00:12:42.876 --> 00:12:45.237]  So what are they going to do?
[00:12:46.398 --> 00:12:54.983]  Now that the walls are closing in, now that we know there's a war on America, a war on sovereignty, the New York Times has gone from saying globalism doesn't exist,
[00:12:55.768 --> 00:12:56.749]  Ron Paul's insane.
[00:12:57.049 --> 00:12:57.810]  Trump's insane.
[00:12:57.870 --> 00:12:58.771]  Jones is insane.
[00:12:59.071 --> 00:12:59.992]  Drudge is insane.
[00:13:01.313 --> 00:13:06.378]  To, okay, there's a fox in the globalist henhouse in Davos and our world government's falling apart.
[00:13:07.359 --> 00:13:13.124]  And now the Indian president just joined Trump saying globalism's done.
[00:13:13.404 --> 00:13:14.305]  That clip's coming up.
[00:13:16.047 --> 00:13:17.348]  And now more and more governments
[00:13:18.925 --> 00:13:22.606]  Are saying, we're not handing our power over to you anymore.
[00:13:22.746 --> 00:13:25.206]  This is the collapse of the New World Order.
[00:13:25.887 --> 00:13:27.687]  Doesn't mean some utopia is on the other side.
[00:13:27.727 --> 00:13:28.767]  Doesn't mean everything's gonna be perfect.
[00:13:29.347 --> 00:13:41.990]  But the arrogance of the mega-corporations, who thought they would create private corporate governments that are authoritarian, transfer all our power to them, and exempt themselves from all the regulations and taxes that they foist on us.
[00:13:42.431 --> 00:13:45.791]  This is the beginning of the world awakening to that fraud.
[00:13:46.111 --> 00:13:48.232]  And the fortunes of Google,
[00:13:49.500 --> 00:13:55.862]  Facebook, Twitter, Amazon, especially Apple, all of it is based on this rigged system.
[00:13:56.802 --> 00:14:03.804]  Set up by the globalists, by the Rockefellers, and really expressed by the Clintons, through George W., through Obama.
[00:14:04.204 --> 00:14:13.747]  And it has destroyed the nation state, it has destroyed wealth, it has savaged societies, and now, in office only 340 days.
[00:14:19.408 --> 00:14:21.411]  370 days.
[00:14:21.431 --> 00:14:22.091]  370 days.
[00:14:22.212 --> 00:14:23.753]  Only in office, 370 days.
[00:14:24.414 --> 00:14:31.021]  President Trump is in Davos, just as we told you he was going to do, going in and saying, you're going to listen to me or leave.
[00:14:32.923 --> 00:14:33.904]  You're lucky I'm here.
[00:14:34.966 --> 00:14:38.589]  I'm here to talk about a future for your companies, not screwing people over.
[00:14:39.571 --> 00:14:44.075]  And all of a sudden they're all saying, we like Trump, we like what he's done the last year, he's right, we all got even richer.
[00:14:44.576 --> 00:14:47.719]  But see, they don't want to just get richer, they want to run it and control it all.
[00:14:47.919 --> 00:14:58.989]  So suddenly Lloyd Blankfein and Bezos and all of them are rolling over and showing their bellies right now because the United States of America isn't under their full control.
[00:14:59.469 --> 00:15:00.030]  But believe me,
[00:15:01.684 --> 00:15:04.666]  They will stab the president in the back as soon as they can.
[00:15:04.686 --> 00:15:05.747]  They'll stab us in the back.
[00:15:05.827 --> 00:15:15.114]  It's the nature of these scumbags that would want to make everybody else poor and ally with the communist Chinese so that they could take control of our world.
[00:15:16.595 --> 00:15:17.195]  Think about that.
[00:15:18.576 --> 00:15:24.181]  Allied with the worst authoritarian regimes in the world and Trump's already outflanked.
[00:15:25.171 --> 00:15:28.172]  China with his India move and his South Korea move.
[00:15:28.452 --> 00:15:32.033]  He's already outflanked the EU with his support of Brexit and everything else.
[00:15:32.353 --> 00:15:37.034]  It's already happening because their system's authoritarian, tenuous, and based on lies.
[00:15:37.374 --> 00:15:43.976]  It will be easy to destroy it and build something much better because it's parasitic, but first we've got to beat Hollywood.
[00:15:44.716 --> 00:15:53.926]  The mainstream media stay behind networks that are trying to kick off a civil war in this country and trying to bully the resistance with all these fake sex assault charges.
[00:15:54.247 --> 00:15:56.810]  We got to make it through this final minefield.
[00:15:59.730 --> 00:16:08.412]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:16:08.472 --> 00:16:08.953]  That's right.
[00:16:09.013 --> 00:16:14.014]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:16:14.274 --> 00:16:20.756]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:16:20.956 --> 00:16:28.198]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:16:28.558 --> 00:16:28.718]  Woo!
[00:16:28.778 --> 00:16:29.679]  That's what I'm talking about.
[00:16:29.799 --> 00:16:38.404]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:16:38.544 --> 00:16:47.770]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:16:48.150 --> 00:16:51.472]  Now that's what I call the miracle of food preservation.
[00:16:51.592 --> 00:16:55.534]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:16:55.694 --> 00:16:56.555]  So what are you waiting for?
[00:16:56.755 --> 00:16:59.318]  Check it out right now at InfoWarsStore.com.
[00:17:10.236 --> 00:17:14.840]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:17:14.860 --> 00:17:16.801]  O-O-O-O-Optimum levels.
[00:17:17.202 --> 00:17:18.983]  B vitamins we need every day.
[00:17:19.003 --> 00:17:24.067]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:17:24.267 --> 00:17:25.969]  O-O-O-O-Optimal absorption.
[00:17:26.569 --> 00:17:31.774]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:17:32.234 --> 00:17:32.574]  Secret 12.
[00:17:32.634 --> 00:17:33.395]  O-O-O-O-Optimum levels.
[00:17:33.755 --> 00:17:34.075]  I think so.
[00:17:59.145 --> 00:18:00.526]  Clean, pure drinking water.
[00:18:00.806 --> 00:18:02.087]  You can't survive without it.
[00:18:02.287 --> 00:18:03.188]  But where do you get it?
[00:18:03.488 --> 00:18:09.252]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:18:09.472 --> 00:18:15.196]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:18:15.396 --> 00:18:32.243]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:18:32.643 --> 00:18:34.763]  Filter capacity up to 5,000 gallons.
[00:18:35.144 --> 00:18:36.324]  Stainless steel construction.
[00:18:36.604 --> 00:18:37.364]  Easy assembly.
[00:18:37.644 --> 00:18:38.264]  Low maintenance.
[00:18:38.564 --> 00:18:40.364]  Replacement filters are simple to install.
[00:18:40.645 --> 00:18:47.766]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:18:47.926 --> 00:18:52.947]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:18:53.127 --> 00:18:55.687]  Go to InfowarsStore.com or call 888-253-3139.
[00:18:59.542 --> 00:19:03.606]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:19:04.247 --> 00:19:14.678]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:19:15.559 --> 00:19:19.943]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:19:20.384 --> 00:19:28.331]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:19:28.771 --> 00:19:36.158]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:19:36.498 --> 00:19:38.460]  Wake up refreshed and take on the day.
[00:19:38.920 --> 00:19:46.422]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:19:46.862 --> 00:19:50.262]  Get the sleep you deserve and experience the power of knockout.
[00:19:50.543 --> 00:19:54.583]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:19:54.903 --> 00:19:57.244]  That's InfoWarsLife.com.
[00:20:03.045 --> 00:20:05.706]  You're listening to the Alex Jones Show.
[00:20:21.488 --> 00:20:25.232]  Infowars.com is tomorrow's news.
[00:20:25.552 --> 00:20:29.816]  Today, you're listening to the Alex Jones Show.
[00:20:34.581 --> 00:20:40.326]  So, the mainstream corporate enemy media has already collapsed.
[00:20:41.447 --> 00:20:44.830]  They're all bankrupt, every single one of them, from the New York Times, the Washington Post.
[00:20:45.371 --> 00:20:46.472]  They're all propped up.
[00:20:47.830 --> 00:20:52.153]  By kingpins like Bezos and Carlos Slim, two of the richest men in the world.
[00:20:53.594 --> 00:21:03.582]  And some of the messages came out from the union negotiation with the Washington Post, where the employees are having their promised pay increases and things taken away.
[00:21:04.622 --> 00:21:08.886]  And Bezos' representative actually told him, sit down and shut up.
[00:21:09.226 --> 00:21:10.347]  That was in the news yesterday.
[00:21:10.667 --> 00:21:12.028]  You're lucky to even have a job.
[00:21:12.889 --> 00:21:14.470]  We're taking the promises away.
[00:21:16.280 --> 00:21:17.021]  See how that works?
[00:21:17.461 --> 00:21:18.262]  And they don't care.
[00:21:18.802 --> 00:21:23.146]  They're in there lying 24-7, trying to destroy this country as much as they can.
[00:21:24.067 --> 00:21:28.231]  And when they're done, and Bezos is one, if he's successful, he'll get rid of all of them.
[00:21:29.271 --> 00:21:33.515]  Because Bezos is all about using people up, and throwing them in the gutter.
[00:21:33.936 --> 00:21:40.241]  There it is, WAPO staffers fighting for better wages, told to sit down, shut up, and be grateful for Bezos.
[00:21:40.882 --> 00:21:42.143]  Yeah, it said that they get
[00:21:43.117 --> 00:21:45.419]  They were getting $8 increases a year.
[00:21:46.119 --> 00:21:52.204]  Now he says they're not going to get pay increases and other people are going to have their pay cut if you actually go read what it says.
[00:21:52.264 --> 00:21:53.625]  So that headline's not even strong enough.
[00:21:53.986 --> 00:21:56.848]  But again, that's just a side issue.
[00:21:57.608 --> 00:22:04.694]  Under Trump, hundreds of companies have given $1,000 to $5,000 bonuses to even their lowest level employees.
[00:22:05.475 --> 00:22:06.936]  And the average family's gotten a $13,000 tax decrease.
[00:22:10.407 --> 00:22:30.234]  And the stock market's at 26,000, and there's millions of new jobs, and we've got the highest increases in wages ever recorded, and the lowest black unemployment ever recorded, but CNN, The Washington Post, and everybody, they have endless articles telling you, oh, well, black unemployment is the lowest ever, but here's what's behind it, or wages are up, but here's what's behind it.
[00:22:30.534 --> 00:22:32.495]  It's not Trump, it's Obama!
[00:22:33.575 --> 00:22:34.215]  That's right.
[00:22:34.916 --> 00:22:36.156]  Obama did it all.
[00:22:36.936 --> 00:22:38.457]  Obama got Apple to move back.
[00:22:39.645 --> 00:22:41.526]  Obama called thousands of companies.
[00:22:42.266 --> 00:22:44.207]  No, Trump got the tax cuts.
[00:22:44.547 --> 00:22:46.368]  Trump got the corporate tax cut.
[00:22:47.388 --> 00:22:49.529]  So, that's their talking points.
[00:22:50.090 --> 00:22:52.811]  First off, there'll never be prosperity, you'll never get above 3%.
[00:22:53.291 --> 00:23:00.474]  And then they said, okay, it is gonna probably go to 7 or 8, 9% in the next couple of years.
[00:23:00.514 --> 00:23:02.155]  You're right, it's about 3.3 right now.
[00:23:02.735 --> 00:23:04.796]  Okay, it's Obama, he did it.
[00:23:06.257 --> 00:23:06.757]  Obama did it.
[00:23:08.348 --> 00:23:10.290]  So there you go, ladies and gentlemen.
[00:23:10.790 --> 00:23:12.932]  And getting back to the memo, and I want to open the phones up.
[00:23:13.532 --> 00:23:19.217]  Justice Department makes last-ditch effort to block release of FISA memo.
[00:23:22.699 --> 00:23:30.105]  Peter Schiff and all the usual suspects running the fraud at the congressional level came out and said it's a conspiracy theory, there's nothing there.
[00:23:30.606 --> 00:23:32.227]  Devin Nunes made it up.
[00:23:32.487 --> 00:23:33.208]  Those are the quotes.
[00:23:33.508 --> 00:23:34.489]  That was about two weeks ago.
[00:23:35.376 --> 00:23:36.276]  About all these documents.
[00:23:36.436 --> 00:23:41.578]  Then, they said, okay, it's real, but you can't understand it, so we shouldn't release it.
[00:23:45.779 --> 00:23:48.580]  And now they're saying, uh, don't release it.
[00:23:48.960 --> 00:23:49.401]  Period.
[00:23:49.721 --> 00:23:52.162]  But the Democrats are going to release their own memo.
[00:23:52.882 --> 00:23:58.243]  It's not quotes and text and documents and secret societies and all this other garbage.
[00:23:59.284 --> 00:23:59.444]  No.
[00:24:01.556 --> 00:24:03.557]  No, ladies and gentlemen, it's just their opinion.
[00:24:03.817 --> 00:24:13.863]  Meanwhile, MSNBC, FBI Secret Society, is a dangerous conspiracy theory, even though it's FBI agents telling Congress this and text messages.
[00:24:15.324 --> 00:24:19.786]  Talking about secret meetings and insurance policies, all that's confirmed.
[00:24:19.806 --> 00:24:22.788]  But don't worry, it's a conspiracy theory.
[00:24:22.808 --> 00:24:26.210]  And then let's have an old neocon on there.
[00:24:27.912 --> 00:24:30.733]  To tell everybody that everything is actually okay.
[00:24:31.373 --> 00:24:34.494]  So Justice Department makes last-ditch effort to block release of the FISA Memo.
[00:24:34.754 --> 00:24:36.295]  That's up on InfoWars.com.
[00:24:37.235 --> 00:24:38.016]  And here's the big one.
[00:24:38.296 --> 00:24:44.318]  Comey, Rosenstein, McCabe all named in FISA Memo according to first leak.
[00:24:46.360 --> 00:24:52.668]  Now again, that's the first leak being reported by the Daily Beast, because mainstream media is giving that attention, saying it's the first leak.
[00:24:52.768 --> 00:24:54.090]  No, we've gotten leaks.
[00:24:54.891 --> 00:24:56.253]  Jack Posobiec's gotten leaks.
[00:24:57.274 --> 00:25:01.961]  Roger Stone has talked to four members of Congress, some of them that you see on television.
[00:25:03.559 --> 00:25:09.363]  And as of last night, he still wasn't ready to say what they told him, and he asked me not to say yet.
[00:25:09.844 --> 00:25:19.751]  But he does just tell me all this incredible stuff, just so I know how good his sources are, and then 99% of the time, we wait too long and we get scooped.
[00:25:20.552 --> 00:25:22.153]  That didn't really happen in this Daily Beast.
[00:25:22.613 --> 00:25:24.255]  It's just reporting what we've always known.
[00:25:25.816 --> 00:25:29.799]  Much of what Nunes talks about when he says the secret FISA court memo,
[00:25:31.363 --> 00:25:41.302]  Is the FISA court 99 page memo that gives you the dates of when they were spying, the FISA court saying this is illegal, over and over again?
[00:25:43.339 --> 00:25:44.380]  So the Daily Beast spins it.
[00:25:45.060 --> 00:25:49.824]  Devin Nunes' anti-FBI memo names James Comey, Rod Rosenstein, and Andrew McCabe.
[00:25:50.244 --> 00:25:57.170]  Because they're the ones involved back before Trump was even in office during the campaign.
[00:25:57.190 --> 00:26:02.014]  And when he was president-elect, they're the ones running the FISA operation!
[00:26:02.714 --> 00:26:09.540]  They're the ones taking the Fusion GPS baloney package in.
[00:26:11.089 --> 00:26:12.030]  They're the ones!
[00:26:12.170 --> 00:26:13.891]  That's why that document's important.
[00:26:16.032 --> 00:26:17.513]  It's because it shows the blueprint.
[00:26:17.553 --> 00:26:21.636]  And yes, there's secret parts we haven't released that are the blocked out parts.
[00:26:21.676 --> 00:26:23.517]  But they play semantical games.
[00:26:23.557 --> 00:26:26.479]  Just like the talking point is, Devin Nunes has nothing.
[00:26:26.759 --> 00:26:27.620]  There is nothing.
[00:26:27.660 --> 00:26:28.320]  He made it up.
[00:26:28.720 --> 00:26:30.061]  Alex Jones made it all up.
[00:26:30.141 --> 00:26:30.822]  It's all fake.
[00:26:31.202 --> 00:26:31.842]  It's all fake.
[00:26:32.222 --> 00:26:33.123]  Hillary won.
[00:26:33.383 --> 00:26:34.444]  She's Madam President.
[00:26:35.606 --> 00:26:36.527]  Where's my Madame President?
[00:26:36.547 --> 00:26:39.028]  I guess they've hung it back on the wall by my office.
[00:26:39.989 --> 00:26:41.870]  This is how they play these games.
[00:26:43.591 --> 00:26:52.356]  Oh, and of course, I'm sure we all believe this, CBS News, thousands of FBI-issued phones had a glitch that failed to save text.
[00:26:54.377 --> 00:26:56.578]  Total made-up crap.
[00:26:56.638 --> 00:27:03.222]  That particular Samsung Galaxy phone hardcodes the text
[00:27:04.133 --> 00:27:05.614]  Oh, but they're saying that's what glitched.
[00:27:06.214 --> 00:27:08.555]  But you still have to manually erase them.
[00:27:09.495 --> 00:27:10.996]  And everybody knows that.
[00:27:11.056 --> 00:27:12.137]  So, oh my goodness!
[00:27:12.857 --> 00:27:15.558]  The FBI says we wouldn't do that.
[00:27:16.739 --> 00:27:20.160]  And again, the New York Times said 99% chance Hillary was going to win.
[00:27:21.101 --> 00:27:21.841]  Madam President.
